'day	d a j
abulencia	ʔ a b u l e n s i a
abuli	ʔ a b u l i
abulon	ʔ a b u l o n
abuloy	ʔ a b u l o j
abulug	ʔ a b u l u ɡ
abuluyan	ʔ a b u l u j a n
abunada	ʔ a b u n a d a
abunado	ʔ a b u n a d o
abundansiya	ʔ a b u n d a n s i a
abundansya	ʔ a b u n d a n s j a
abundante	ʔ a b u n d a n t e
abunkolokal	ʔ a b u ŋ k o l o k a l
abunkulokal	ʔ a b u ŋ k u l o k a l
abuod	ʔ a b u ʔ o d
abuor	ʔ a b u ʔ o ɾ
aburan	ʔ a b u ɾ a n
aburido	ʔ a b u ɾ i d o
abursiyon	ʔ a b u ɾ s i o n
abursyon	ʔ a b u ɾ s j o n
abusada	ʔ a b u s a d a
abusado	ʔ a b u s a d o
abusera	ʔ a b u s e ɾ a
abusero	ʔ a b u s e ɾ o
abusibo	ʔ a b u s i b o
abusion	ʔ a b u s j o n
abusiyon	ʔ a b u s i o n
abuso	ʔ a b u s o
abusuhin	ʔ a b u s u h i n
abusyon	ʔ a b u s j o n
abutab	ʔ a b u t a b
abutan	ʔ a b u t a n
abutdan	ʔ a b u t d a n
abutin	ʔ a b u t i n
abutra	ʔ a b u t ɾ a
abuwab	ʔ a b u a b
abuwela	ʔ a b u e l a
abuwelo	ʔ a b u e l o
abuwod	ʔ a b u o d
abuwor	ʔ a b u o ɾ
abwab	ʔ a b w a b
abwela	ʔ a b w e l a
abwelo	ʔ a b w e l o
abyad	ʔ a b j a d
abyador	ʔ a b j a d o ɾ
abyarin	ʔ a b j a ɾ i n
abyasyon	ʔ a b j a s j o n
abyerta	ʔ a b j e ɾ t a
abyerto	ʔ a b j e ɾ t o
abyog	ʔ a b j o ɡ
abyohenesis	ʔ a b j o h e n e s i s
abyolohiya	ʔ a b j o l o h i a
abyugin	ʔ a b j u ɡ i n
academia	ʔ a k a d e m j a
acda	ʔ a k d a ʔ
acierto	ʔ a s j e ɾ t o
aclan	ʔ a k l a n
acopiado	ʔ a k o p j a d o
acorda	ʔ a k o ɾ d a
acosta	ʔ a k o s t a
acuzar	ʔ a k u s a ɾ
acuña	ʔ a k u n j a
ada	ʔ a d a
adagio	ʔ a d a h i o
adahiyo	ʔ a d a h i o
adahyo	ʔ a d a h j o
adajar	ʔ a d a h a ɾ
adamantino	ʔ a d a m a n t i n o
adams	ʔ a d a m s
adan	ʔ a d a n
adapsiyon	ʔ a d a p s i o n
adapsyon	ʔ a d a p s j o n
adaptable	ʔ a d a p t a b l e
adaptado	ʔ a d a p t a d o
adaptador	ʔ a d a p t a d o ɾ
adaptasiyon	ʔ a d a p t a s i o n
adaptasyon	ʔ a d a p t a s j o n
adarga	ʔ a d a ɾ ɡ a
adargilya	ʔ a d a ɾ ɡ i l j a
adbentista	ʔ a d b e n t i s t a
adberbiyal	ʔ a d b e ɾ b i a l
adberbiyo	ʔ a d b e ɾ b i o
adberbyal	ʔ a d b e ɾ b j a l
adberbyo	ʔ a d b e ɾ b j o
adbersaryo	ʔ a d b e ɾ s a ɾ j o
adbersidad	ʔ a d b e ɾ s i d a d
adbertaiser	ʔ a d b e ɾ t a j s e ɾ
adbertayser	ʔ a d b e ɾ t a j s e ɾ
adbertensiya	ʔ a d b e ɾ t e n s i a
adbertensya	ʔ a d b e ɾ t e n s j a
adberti	ʔ a d b e ɾ t i
adbertido	ʔ a d b e ɾ t i d o
adbertismen	ʔ a d b e ɾ t i s m e n
adbertisment	ʔ a d b e ɾ t i s m e n t
adbiyento	ʔ a d b i e n t o
adbokasi	ʔ a d b o k a s i
adbokasiya	ʔ a d b o k a s i a
adbyento	ʔ a d b j e n t o
adegon	ʔ a d e ɡ o n
adela	ʔ a d e l a
adelantado	ʔ a d e l a n t a d o
adelanto	ʔ a d e l a n t o
adelpa	ʔ a d e l p a
adenitis	ʔ a d e n i t i s
adenoma	ʔ a d e n o m a
adepto	ʔ a d e p t o
adereso	ʔ a d e ɾ e s o
aders	ʔ a d e ɾ s
adhan	ʔ a d a n
adhesibo	ʔ a d h e s i b o
adhesyon	ʔ a d h e s j o n
adhetibal	ʔ a d h e t i b a l
adhetibo	ʔ a d h e t i b o
adhika	ʔ a d h i k a ʔ
adhikain	ʔ a d h i k a ʔ i n
adhudika	ʔ a d h u d i k a
adhudikasyon	ʔ a d h u d i k a s j o n
adibina	ʔ a d i b i n a
adibinador	ʔ a d i b i n a d o ɾ
adibino	ʔ a d i b i n o
adidas	ʔ a d i d a s
adik	ʔ a d i k
adiksiyon	ʔ a d i k s i o n
adiksyon	ʔ a d i k s j o n
adikto	ʔ a d i k t o
adilus	ʔ a d i l u s
ading	ʔ a d i ŋ
adiposidad	ʔ a d i p o s i d a d
adiposis	ʔ a d i p o s i s
adiposo	ʔ a d i p o s o
adisinuwebe	ʔ a d i s i n u e b e
adisinwebe	ʔ a d i s i n w e b e
adisiotso	ʔ a d i s i ʔ o t s o
adisisais	ʔ a d i s i s a ʔ i s
adisiseis	ʔ a d i s i s a ʔ i s
adisisiyete	ʔ a d i s i s i e t e
adisisyete	ʔ a d i s i s j e t e
adisiyon	ʔ a d i s i o n
adisiyunal	ʔ a d i s i u n a l
adisyon	ʔ a d i s j o n
adisyonal	ʔ a d i s j o n a l
adisyunal	ʔ a d i s j u n a l
aditibo	ʔ a d i t i b o
adiya	ʔ a d i a
adiyaw	ʔ a d i a w
adiyenda	ʔ a d i e n d a
adiyes	ʔ a d i e s
adiyos	ʔ a d i o s
adkisisyon	ʔ a d k i s i s j o n
adlaw	ʔ a d l a w
adlawan	ʔ a d l a w a n
administra	ʔ a d m i n i s t ɾ a
administrado	ʔ a d m i n i s t ɾ a d o
administrador	ʔ a d m i n i s t ɾ a d o ɾ
administradora	ʔ a d m i n i s t ɾ a d o ɾ a
administrasiyon	ʔ a d m i n i s t ɾ a s i o n
administrasyon	ʔ a d m i n i s t ɾ a s j o n
administratibo	ʔ a d m i n i s t ɾ a t i b o
admirable	ʔ a d m i ɾ a b l e
admirador	ʔ a d m i ɾ a d o ɾ
admiral	ʔ a d m i ɾ a l
admirasiyon	ʔ a d m i ɾ a s i o n
admirasyon	ʔ a d m i ɾ a s j o n
admisiyon	ʔ a d m i s i o n
admisyon	ʔ a d m i s j o n
admiti	ʔ a d m i t i
admitido	ʔ a d m i t i d o
adobado	ʔ a d o b a d o
adobe	ʔ a d o b e
adobo	ʔ a d o b o
adobosilog	ʔ a d o b o s i l o ɡ
adokin	ʔ a d o k i n
adolesens	ʔ a d o l e s e n s
adolesensiya	ʔ a d o l e s e n s i a
adolesensya	ʔ a d o l e s e n s j a
adolesent	ʔ a d o l e s e n t
adolesente	ʔ a d o l e s e n t e
adolfo	ʔ a d o l f o
adonis	ʔ a d o n i s
adopsiyon	ʔ a d o p s i o n
adopsyon	ʔ a d o p s j o n
adopta	ʔ a d o p t a
adoptador	ʔ a d o p t a d o ɾ
adoptiba	ʔ a d o p t i b a
adoptibo	ʔ a d o p t i b o
adora	ʔ a d o ɾ a
adorable	ʔ a d o ɾ a b l e
adorador	ʔ a d o ɾ a d o ɾ
adorasiyon	ʔ a d o ɾ a s i o n
adorasyon	ʔ a d o ɾ a s j o n
adoratris	ʔ a d o ɾ a t ɾ i s
adormidera	ʔ a d o ɾ m i d e ɾ a
adornado	ʔ a d o ɾ n a d o
adornador	ʔ a d o ɾ n a d o ɾ
adorno	ʔ a d o ɾ n o
ados	ʔ a d o s
adose	ʔ a d o s e
adosilog	ʔ a d o s i l o ɡ
adrenal	ʔ a d ɾ e n a l
adrenalina	ʔ a d ɾ e n a l i n a
adres	ʔ a d ɾ e s
adresi	ʔ a d ɾ e s i
adrias	ʔ a d ɾ i a s
adubado	ʔ a d u b a d o
adube	ʔ a d u b e
adula	ʔ a d u l a
adulador	ʔ a d u l a d o ɾ
adulahin	ʔ a d u l a h i n
adulasyon	ʔ a d u l a s j o n
adulatoriyo	ʔ a d u l a t o ɾ i o
adulatoryo	ʔ a d u l a t o ɾ j o
adultera	ʔ a d u l t e ɾ a
adulterado	ʔ a d u l t e ɾ a d o
adulterante	ʔ a d u l t e ɾ a n t e
adulterasiyon	ʔ a d u l t e ɾ a s i o n
adulterasyon	ʔ a d u l t e ɾ a s j o n
adulteriyo	ʔ a d u l t e ɾ i o
adultero	ʔ a d u l t e ɾ o
adulteryo	ʔ a d u l t e ɾ j o
adulto	ʔ a d u l t o
aduwa	ʔ a d u a ʔ
aduwana	ʔ a d u a n a
advincula	ʔ a d b i ŋ k u l a
adwa	ʔ a d w a ʔ
adwana	ʔ a d w a n a
adwanero	ʔ a d w a n e ɾ o
adya	ʔ a d j a
adyap	ʔ a d j a p
adyaw	ʔ a d j a w
adyenda	ʔ a d j e n d a
adyes	ʔ a d j e s
adyis	ʔ a d j i s
adyo	ʔ a d j o
adyos	ʔ a d j o s
adyudikasyon	ʔ a d j u d i k a s j o n
adyus	ʔ a d j u s
aerado	ʔ a e ɾ a d o
aerasyon	ʔ a e ɾ a s j o n
aerea	ʔ a e ɾ e a
aereo	ʔ a e ɾ e o
aerobika	ʔ a e ɾ o b i k a
aerobyo	ʔ a e ɾ o b j o
aerodinamika	ʔ a e ɾ o d i n a m i k a
aerodinamiko	ʔ a e ɾ o d i n a m i k o
aerodromo	ʔ a e ɾ o d ɾ o m o
aerograma	ʔ a e ɾ o ɡ ɾ a m a
aeronauta	ʔ a e ɾ o n a w t a
aeronautika	ʔ a e ɾ o n a w t i k a
aeronawta	ʔ a e ɾ o n a w t a
aeronawtika	ʔ a e ɾ o n a w t i k a
aeronota	ʔ a e ɾ o n o t a
aeronotika	ʔ a e ɾ o n o t i k a
aeroplano	ʔ a e ɾ o p l a n o
aeropobya	ʔ a e ɾ o p o b j a
aeropuwerto	ʔ a e ɾ o p u e ɾ t o
aeropwerto	ʔ a e ɾ o p w e ɾ t o
aerostatika	ʔ a e ɾ o s t a t i k a
aerostatiko	ʔ a e ɾ o s t a t i k o
aerotekniya	ʔ a e ɾ o t e k n i a
aeroteknya	ʔ a e ɾ o t e k n j a
afam	ʔ a f a m
aga	ʔ a ɡ a
agaas	ʔ a ɡ a ʔ a s
agad	ʔ a ɡ a d
agag	ʔ a ɡ a ɡ
agahan	ʔ a ɡ a h a n
agahas	ʔ a ɡ a h a s
agalya	ʔ a ɡ a l j a
agalyas	ʔ a ɡ a l j a s
agam	ʔ a ɡ a m
agamahan	ʔ a ɡ a m a h a n
agap	ʔ a ɡ a p
agapay	ʔ a ɡ a p a j
agape	ʔ a ɡ a p e
agar	ʔ a ɡ a ɾ
agarabyado	ʔ a ɡ a ɾ a b j a d o
agaradera	ʔ a ɡ a ɾ a d e ɾ a
agaran	ʔ a ɡ a ɾ a n
agariko	ʔ a ɡ a ɾ i k o
agas	ʔ a ɡ a s
agata	ʔ a ɡ a t a
agatat	ʔ a ɡ a t a t
agatha	ʔ a ɡ a t a
agaton	ʔ a ɡ a t o n
agatsona	ʔ a ɡ a t s o n a
agaw	ʔ a ɡ a w
agawin	ʔ a ɡ a w i n
agbang	ʔ a ɡ b a ŋ
agbarog	ʔ a ɡ b a ɾ o ɡ
agbarugan	ʔ a ɡ b a ɾ u ɡ a n
agbayani	ʔ a ɡ b a j a n i
agbon	ʔ a ɡ b o n
agbuya	ʔ a ɡ b u j a
agcaoili	ʔ a ɡ k a w i l i
agdangan	ʔ a ɡ d a ŋ a n
agham	ʔ a ɡ h a m
aghambuhay	ʔ a ɡ h a m b u h a j
aghamtao	ʔ a ɡ h a m t a ʔ o
aghamwika	ʔ a ɡ h a m w i k a ʔ
aghimo	ʔ a ɡ h i m o ʔ
aghimuan	ʔ a ɡ h i m u ʔ a n
aghimuin	ʔ a ɡ h i m u ʔ i n
agihap	ʔ a ɡ i h a p
agihon	ʔ a ɡ i h o n
agila	ʔ a ɡ i l a
agilenyo	ʔ a ɡ i l e n j o
agimat	ʔ a ɡ i m a t
agimatan	ʔ a ɡ i m a t a n
aginaldo	ʔ a ɡ i n a l d o
aginalduhan	ʔ a ɡ i n a l d u h a n
agingay	ʔ a ɡ i ŋ a j
agipo	ʔ a ɡ i p o
agiw	ʔ a ɡ i w
agiyot	ʔ a ɡ i o t
agkap	ʔ a ɡ k a p
aglahi	ʔ a ɡ l a h i ʔ
aglipay	ʔ a ɡ l i p a j
aglutinante	ʔ a ɡ l u t i n a n t e
aglutinasiyon	ʔ a ɡ l u t i n a s i o n
aglutinasyon	ʔ a ɡ l u t i n a s j o n
aglutinatibo	ʔ a ɡ l u t i n a t i b o
aglutinin	ʔ a ɡ l u t i n i n
agnas	ʔ a ɡ n a s
agnes	ʔ a ɡ n e s
agnos	ʔ a ɡ n o s
agnostika	ʔ a ɡ n o s t i k a
agnostiko	ʔ a ɡ n o s t i k o
agnostisismo	ʔ a ɡ n o s t i s i s m o
agnus	ʔ a ɡ n u s
agojo	ʔ a ɡ o h o ʔ
agoncillo	ʔ a ɡ o n s i l j o
agong	ʔ a ɡ o ŋ
agos	ʔ a ɡ o s
agosto	ʔ a ɡ o s t o
agoy	ʔ a ɡ o j
agpang	ʔ a ɡ p a ŋ
agpangan	ʔ a ɡ p a ŋ a n
agrabante	ʔ a ɡ ɾ a b a n t e
agrabiado	ʔ a ɡ ɾ a b j a d o
agrabiyado	ʔ a ɡ ɾ a b i a d o
agrabyado	ʔ a ɡ ɾ a b j a d o
agrabyo	ʔ a ɡ ɾ a b j o
agrariya	ʔ a ɡ ɾ a ɾ i a
agrariyo	ʔ a ɡ ɾ a ɾ i o
agrarya	ʔ a ɡ ɾ a ɾ j a
agraryo	ʔ a ɡ ɾ a ɾ j o
agrasiyada	ʔ a ɡ ɾ a s i a d a
agrasiyado	ʔ a ɡ ɾ a s i a d o
agrasyada	ʔ a ɡ ɾ a s j a d a
agrasyado	ʔ a ɡ ɾ a s j a d o
agregado	ʔ a ɡ ɾ e ɡ a d o
agregasyon	ʔ a ɡ ɾ e ɡ a s j o n
agreman	ʔ a ɡ ɾ e m a n
agresibo	ʔ a ɡ ɾ e s i b o
agresiyon	ʔ a ɡ ɾ e s i o n
agresor	ʔ a ɡ ɾ e s o ɾ
agresyon	ʔ a ɡ ɾ e s j o n
agribisnes	ʔ a ɡ ɾ i b i s n e s
agribisnis	ʔ a ɡ ɾ i b i s n i s
agridulse	ʔ a ɡ ɾ i d u l s e
agrikultor	ʔ a ɡ ɾ i k u l t o ɾ
agrikultura	ʔ a ɡ ɾ i k u l t u ɾ a
agrikultural	ʔ a ɡ ɾ i k u l t u ɾ a l
agrikulturalista	ʔ a ɡ ɾ i k u l t u ɾ a l i s t a
agrikulturista	ʔ a ɡ ɾ i k u l t u ɾ i s t a
agrimensor	ʔ a ɡ ɾ i m e n s o ɾ
agrimensura	ʔ a ɡ ɾ i m e n s u ɾ a
agronomia	ʔ a ɡ ɾ o n o m i a
agronomista	ʔ a ɡ ɾ o n o m i s t a
agronomiya	ʔ a ɡ ɾ o n o m i a
agronomo	ʔ a ɡ ɾ o n o m o
agronomya	ʔ a ɡ ɾ o n o m j a
agsikap	ʔ a ɡ s i k a p
agsikapan	ʔ a ɡ s i k a p a n
agta	ʔ a ɡ t a
aguado	ʔ a ɡ w a d o
aguas	ʔ a ɡ w a s
agubak	ʔ a ɡ u b a k
aguda	ʔ a ɡ u d a
agudo	ʔ a ɡ u d o
aguha	ʔ a ɡ u h a
aguhas	ʔ a ɡ u h a s
aguheta	ʔ a ɡ u h e t a
aguhilya	ʔ a ɡ u h i l j a
aguho	ʔ a ɡ u h o ʔ
aguhon	ʔ a ɡ u h o n
aguila	ʔ a ɡ i l a
aguilar	ʔ a ɡ i l a ɾ
aguilera	ʔ a ɡ i l e ɾ a
aguinaldo	ʔ a ɡ i n a l d o
aguirre	ʔ a ɡ i ɾ e
agujo	ʔ a ɡ u h o ʔ
agulo	ʔ a ɡ u l o
agung	ʔ a ɡ u ŋ
agunias	ʔ a ɡ u n i a s
aguniyas	ʔ a ɡ u n i a s
agunyas	ʔ a ɡ u n j a s
agusan	ʔ a ɡ u s a n
agusil	ʔ a ɡ u s i l
agustin	ʔ a ɡ u s t i n
agustina	ʔ a ɡ u s t i n a
agustino	ʔ a ɡ u s t i n o
agustinyanismo	ʔ a ɡ u s t i n j a n i s m o
agusto	ʔ a ɡ u s t o
agutaynen	ʔ a ɡ u t a j n e n
agutaynën	ʔ a ɡ u t a j n ə n
aguwa	ʔ a ɡ u a
aguwador	ʔ a ɡ u a d o ɾ
aguwanta	ʔ a ɡ u a n t a
aguwaras	ʔ a ɡ u a ɾ a s
aguwardiyente	ʔ a ɡ u a ɾ d i e n t e
aguwasa	ʔ a ɡ u a s a
aguwasil	ʔ a ɡ u a s i l
aguwaspotables	ʔ a ɡ u a s p o t a b l e s
aguwatiyempo	ʔ a ɡ u a t i e m p o
aguwela	ʔ a ɡ u e l a
aguwelo	ʔ a ɡ u e l o
aguyod	ʔ a ɡ u j o d
agwa	ʔ a ɡ w a
agwabindita	ʔ a ɡ w a b i n d i t a
agwad	ʔ a ɡ w a d
agwadero	ʔ a ɡ w a d e ɾ o
agwado	ʔ a ɡ w a d o
agwador	ʔ a ɡ w a d o ɾ
agwahas	ʔ a ɡ w a h a s
agwahe	ʔ a ɡ w a h e
