'cha	t͡ʃ aː
baarees	b aː r iː z
baarich	b a r l ɪ t͡ʃ
baashes	b aː ʃ z
baaze	b aː z
baig	b a ɡ
bailes	b eː l
bak	b a k
balbeedhel	b a l b iː d̪ ə l
balke	b a l k
ball	b a l
ballcoot	b aː l k uː t
ballykillaan	b a l iː k ɪ l aː n
ballymore	b a l iː m oː r
balyourin	b a l j ə ʊ r n
bandēle	b a n d ɛː l
bane	b aː n
bargee	b a r d͡ʒ iː
barnaugh	b a r n ɔː
baronie	b a r ʊ n iː
barrm	b a r m
barrn	b a r n
barrough	b a r ə ʊ
barse	b a r s
baskaate	b a s k aː t
baskeat	b a s k ɛː t
bater	b a t ə r
bath	b a t
bathès	b a t̪ s
baulkès	b ɑ l k s
baun	b ɑː n
baush	b a ʃ
bawen	b ɑː n
bawkoon	b aː k uː n
bawshuk	b ɑː ʃ ə k
beanès	b aː n z
bearde	b ɛ r d
bearlough	b a r l ʊ x
beast	b aː s t
beasthès	b ɛː s t̪ s
bebber	b ɛ b ə r
bebbereens	b ɛ b ə r iː n z
bederup	b iː d r ʊ p
bedreede	b ɛ d r iː d
bee	b iː
beedher	b iː d̪ ə r
beeley	b iː l iː
been	b iː n
beeth	b iː θ
begaan	b ə ɡ aː n
beleave	b ə l ɛː v
bellee	b ɛ l iː
belooze	b ɛ l uː z
benagh	b ɛ n ə x
benisons	b ɛ n ɪ z ə n z
bennoate	b ɛ n ɔː t
ber	b aː r
besidh	b ə s ɪ d̪
besithes	b ə s ɪ t̪ s
besmorth	b ə s m ɔ r t̪
besom	b iː s ə m
beteede	b ə t iː d
bethther	b ɛ t̪ ə r
betweesk	b iː t iː ʃ
bhlock	b l aː k
bibbern	b ɪ b ə r n
bidaades	b ɪ d aː d z
bidge	b ɪ d͡ʒ
big	b ɪ ɡ
bile	b iː l
biletha	b iː l t ə
bilethe	b iː l t̪
billeen	b ɪ l iː n
bin	b ɪ n
bla	b l aː
blah	b l aː
blauke	b l aː k
blaukeen	b l aː k iː n
blautheer	b l ɑ ð ə r
blayeen	b l aː iː n
blaze	b l aː z
blenty	b l ɛ n t iː
bless	b l ɛ s
blessed	b l ɛ s t
blin	b l ɪ n
blooed	b l uː d
blooeden	b l uː d ə n
bloomere	b l uː m ə r
blowe	b l ə ʊ
blue	b l uː
boagher	b a r x ə r
boar	b ɔː r
bogey	b oː ɡ iː
bolach	b oː l ə x
boldoon	b a l d uː n
bolsker	b ɑ l s k ə r
boney	b ɔ n iː
booleyin	b uː l iː ə n
boor	b uː r
booraan	b uː r aː n
boouchel	b uː x ə l
boouchelawn	b uː x ə l ɑː n
borde	b ɔ r d
boreen	b oː r iː n
bothom	b ɔ t ə m
bouchure	b ʊ t͡ʃ uː r
bougkt	b ə ʊ k t
boust	b uː s t
bow	b ə ʊ
bowley	b ə ʊ l iː
bra	b r aː
brail	b r eː l
brailès	b r eː l z
bran	b r a n
brandeyrons	b r a n d eː r ə n z
brazon	b r aː z ə n
breal	b r iː l
breed	b r ɛː d
breede	b r iː d
breedegroom	b r iː d ɡ r uː m
brekvast	b r e̞ s f ə s t
brides	b r iː d z
brimel	b r ɪ m ə l
brimelès	b r ɪ m ə l z
brine	b r iː n
bringawn	b r ɪ ŋ ɒː n
bris	b r ɪ s
broan	b r oː n
brocke	b r ɔ k
brode	b r ɔː d
brogeen	b r oː ɡ ɛː n
brogue	b r oː ɡ
brough	b r aː k
broune	b r uː n
brover	b r oː v ə r
bryne	b r a i̯ n
buch	b ʊ k
buckate	b ʊ k aː t
buckaun	b ə k ɑː n
buckeen	b ʊ k iː n
budheree	b ʊ d̪ ə r iː
buee	b w iː
bugaaune	b ʊ ɡ ɑː n
buggoun	b ʊ ɡ uː n
buke	b uː k
bulcod	b ʊ l k ɑ d
bungyawn	b ə n j ɑː n
bunk	b ʊ ŋ k
bunyane	b ə n j aː n
buoyren	b uː r ə n
burdès	b ʊ r d z
burge	b ʊ r d͡ʒ
burstheoune	b ʊ r z t̪ ə ʊ n
bushe	b uː ʃ
busheare	b uː ʃ ɛː r
busheen	b uː ʃ iː n
busk	b o s k
buskins	b ʊ s k ə n z
buskès	b ʊ s k s
buthee	b ɔ d iː
butheree	b ʊ t̪ ə r iː
buthther	b ʊ t̪ ə r
buththone	b ʊ t̪ oː n
butleare	b ʊ t l ɛː r
butts	b o t s
bye	b a i̯
bys	b a i̯ z
caake	k aː k
caam	k aː m
caame	k a m
caars	k aː r z
cafflin	k a f l ə n
calamour	k a l ə m ə ʊ r
callef	k a l ə f
cambaute	k a m b ɑː t
canna	k a n ə
capote	k a p ɔː t
car	k a r
cardife	k a r d iː f
cargun	k a r ɡ ə n
carlins	k a r l ə n z
carolès	k a r oː l z
carrick	k a r ɪ k
carroul	k a r uː l
casteale	k a s t ɛː l
caubaun	k ɑː b ɑː n
caule	k ɔː l
caulthe	k ɑ l t̪
caulès	k ɔː l z
caure	k aː r
caushe	k ɑː ʃ
caut	k aː t
cawlee	k ɑː l iː
cazed	k aː z d
chaamer	t͡ʃ aː m ə r
chapaal	t͡ʃ a p aː l
chappy	t͡ʃ a p iː
chemis	d͡ʒ ɛ m z
chi	t͡ʃ a i̯
chick	t͡ʃ ɪ k
chickès	t͡ʃ ɪ k s
chiese	t͡ʃ iː v ə r z
chisool	t͡ʃ ɪ z ɔː l
chivie	t͡ʃ ɪ v iː
chood	t͡ʃ uː d
choule	t͡ʃ ə ʊ l
choulès	t͡ʃ ə ʊ l z
chourch	t͡ʃ uː r t͡ʃ
choure	t͡ʃ uː r
chourle	t͡ʃ uː r l
chugh	t͡ʃ ʊ x
chyre	t͡ʃ a i̯ r
chyrès	t͡ʃ a i̯ r z
claam	k l aː m
claamogue	k l aː m oː ɡ
clappu	k l a p t
clepe	k l iː p
cley	k l eː
clouk	k l uː k
clugercheen	k l uː x ə r k iː n
co	k w ɔː
coale	k ɔː l
coardhed	k ɔː r d̪ ə d
cobbler	k ɑ b l ə r
cockes	k ɔ k s
colfere	k ɔ l f ɛː r
colpaun	k o l p ɑː n
coltshogue	k a l t ʃ oː ɡ
colyock	k ɑ l j ə k
comfoort	k ʊ m f ɔː r t
commanès	k ɔ m aː n z
commaun	k ɔ m aː n
comree	k ʊ m r iː
condale	k a n d aː l
contented	k ɔ n t ɛ n t ə d
contrishelagh	k ɔ n t r a i̯ ʃ l ə x
cooan	k ɔ n
cooanès	k ɔː n z
cooat	k ɔː t
cool	k uː l
coolaan	k uː l aː n
coolecannan	k ɔː l k a n ə n
cooloor	k ɔ l uː r
cooloors	k ɔː l uː r z
coome	k uː m
coopen	k uː p ə n
coorn	k uː r n
copprouse	k ɔ p r uː s
core	k ɔː r
corkluck	k ɑ r k l ə k
corlag	k o r l a ɡ
cornee	k ɔ r n iː
correate	k ɔ r ɛː t
correatès	k ɔ r ɛː t s
coshes	k ɔ ʃ
coshur	k oː ʃ ə r
cou	k uː
courmach	k uː r m ə x
cournug	k uː r n ʊ ɡ
cousane	k uː s aː n
cowdealeen	k uː d iː l iː n
cowl	k ə ʊ l
cowlee	k uː l iː
cowm	k a i̯ m
cozeen	k ʊ z iː n
cozeens	k ʊ z iː n z
craggès	k r a ɡ z
crahail	k r a h eː l
crake	k r eː k
crame	k r eː m
crap	k r a p
crappès	k r a p s
craueen	k r ɑː iː n
craueet	k r ɑː ɛː t
crave	k r aː v
crawker	k r ɑː k ə r
crawkin	k r ɑː k ə n
creff	k r e̞ f
cress	k r ɛ s
cresst	k r ɛ s t
crewst	k r uː s t
crib	k r ɪ b
crie	k r iː
crockès	k r ɔ k s
crookeen	k r uː k iː n
croowe	k r uː
croue	k r ə ʊ
cry't	k r iː t
cub	k ʊ b
cuck	k ʊ k
cudde	k ɔ d
cuggerin	k o ɡ ə r n
cugley	k ɔː ɡ l iː
cullin	k ʊ l iː n
cullpaak	k uː l p ɛː k
curcagh	k ʊ r k ə x
curk	k o r k t
curkan	k ʊ r k ə n
curkite	k ʊ r k a i̯ t
curneale	k ʊ r n ɛː l
currachy	k ʊ r ə x iː
cursed	k ʊ r s t
curtape	k o r t eː p
curthere	k ɔ r t ɛː r
cusseraane	k o s ə r ɑː n
cuzzeen	k ʊ z iː n
daaily	d a i̯ l iː
dab	d a b
dais	d a i̯ z
dan	d a n
danceen	d a n s iː n
dansth	d a n s t̪
dap	d a p
dauneen	d aː n iː n
dear	d iː r
dearmoth	d iː r m ə t̪
dearnt	d ɛ r n t
dee	d iː
deed	d ɛː d
deemes	d iː m z
deen	d ɛː n
deenees	d ɛː n iː s
deeth	d iː t̪
deeule	d uː l
deevil	d iː l
deight	d iː x t
del	d ɛ l
deligkt	d ə l ɪ k t
delleen	d ɛ l iː n
dellt	d ɛ l t
deoune	d ə ʊ n
dereling	d iː r l ɪ ŋ
derouze	d ɛ r uː z
detch	d ɛ t͡ʃ
dezeen	d ɛ z ɛː n
dhen	d̪ ɛ n
dher	d̪ ɛ r
dhernapès	d̪ ɛ r n aː p s
dhew	d̪ j uː
dhicka	d ɪ k ə
dhicke	d ɪ k
dhing	d̪ ɪ ŋ
dhirtee	d̪ ɪ r t iː
dhoaugh	d ɔː x
dhonal	d ʊ n ə l
dhourk	d ʊ r k
dhraat	d̪ r aː t
dhrashel	d̪ r a ʃ l ə n
dhree	d r iː
dhreeve	d r iː v
dhreise	d̪ r iː s
dhrent	d̪ r ɛ n t
dhresheare	d̪ r ɛ ʃ ɛː r
dhrivès	d̪ r ɪ v z
dhrool	d̪ r uː l
dhunder	d ʊ n d ə r
dhurteen	d̪ ʊ r t iː n
dhurth	d̪ ʊ r t̪
did	d ɪ d
didn'st	d ɪ d n s t
die	d a i̯
dieeght	d iː x t
dig	d ɪ ɡ
digger	d ɪ ɡ ə r
dight	d ɪ x t
dineare	d ɛ n ɛː r
dinna	d ɪ n ə
discorn	d ɪ s k ɑː r n
dishe	d iː ʃ
disheen	d iː ʃ iː n
displayte	d ɪ s p l eː t
doff	d a f
doft	d a f t
dogamaconey	d ɑ ɡ ə m ə k oː n iː
dole	d aː l
don	d ɔ n
doone	d uː n
dosth	d oː s t̪
doughtere	d ɑː t ɛː r
dra	d r aː
draught	d r a f t
drawer	d r ɑː r
drazed	d̪ r eː z d
dreade	d r ɛː d
drigeen	d̪ r ɪ ɡ iː n
driggle	d̪ r ɪ ɡ ə l
drine	d r iː n
drink	d r ɪ ŋ k
droog	d̪ r uː ɡ j
drostal	d r ɔ s t ə l
drowe	d r ɑː
drue	d r uː
drummaun	d r ə m ɑː n
drush	d r ɪ ʃ
dug	d ʊ ɡ
dugadile	d o ɡ ə d ə i̯ l
dugged	d ʊ ɡ ə d
duggès	d ʊ ɡ z
dull	d o l
dullamoo	d o l ə m uː
dullate	d uː l eː t
durst	d ʊ r s t
duucks	d uː k s
dwanty	d w a n t iː
dwellerès	d w ɛ l ɛː r z
dwyth	d w ɪ t̪
dwythen	d w ɪ t̪ ə n
dwytheth	d w ɪ t̪ ə t̪
e'en	ɛː n
eale	ɛː l
eales	ɛː l z
ear	ɛː r
earch	ɛ r t͡ʃ
earchee	ɛ r t͡ʃ iː
earle	ɛː r l
earnough	ɛ r n ə ʊ
east	ɛː s t
eatheet	ɛː t̪ iː t
eave	ɛː v
edweard	ɛ d w ɛ r d
eeeloan	iː l ɔː n
eeerish	iː r ɪ ʃ
een	ɛː n
eenew	iː n uː
eeren	iː r ə n
eeth	iː f
eft	ɛ f t
egast	ə ɡ a s t
egasted	ə ɡ a s t ə d
egges	ɛ ɡ z
eighthest	eː x t̪ ɛ s t
elf	ɛ l f
ellena	ɛ l ə n ə
elles	ɛ l ə s
elvès	ɛ l v z
emothee	ɛ m ɔ t iː
emothes	ɛ m ɔ t̪ s
endeen	ɛ n d iː n
engelhoan	ɛ n ɡ l ɔː n
enneese	ɛ n iː s
enteete	ɛ n t iː t
erelhoan	iː r l ɔː n
erroane	ɛ r ɔː n
erth	œ r d
ess	ɛ s
ete	eː t s
ewer	j uː r
excellencie	ɛ k s ɛ l ɛ n s iː
eyrons	eː r ə n z
eysthe	eː s t̪
eyver	eː v ə r
faace	f aː s
faade	f a d
faads	f aː d z
faaighe	f a i̯
faayth	f a i̯ θ
factes	f a k t s
fad	f a d
fadere	f a d ɛː r
fagoghes	f a ɡ ɔ ɡ z
falloo	f a l uː
falsakeen	f a l s ə k iː n
fan	f a n
fane	f aː n
faney	f aː n iː
fardeen	f a r d iː n
fardele	f a r d ɛː l
fardy	f a r d iː
fare	f aː r
farnogue	f a r n oː ɡ
farragh	f a r ə x
farthoo	f a r t uː
fasagh	f aː s ə x
fash	f a ʃ
fashoon	f a ʃ uː n
fatherlie	f a ð ə r l iː
faulsa	f ɑ l s ə
feand	f ɛː n d
fearde	f ɛ r d
fearse	f iː r s
feight	f a i̯ x t
felt	f ɛ l t
ferde	f ɛ r d
feyer	f eː r
fho	f oː
fhyne	f iː n
fidi	f ɪ d a i̯
flaadhokes	f l aː d̪ ə k s
flaase	f l aː s
fleen	f l ɛː n
fletch	f l ɛ t͡ʃ
fong	f ɔ ŋ
fooster	f uː s t̪ ə r
forlorn	f ɔ r l ɔ r n
forthe	f ɔ r t̪
fose	f oː s
foughlaan	f uː x l aː n
fousthen	f uː s t iː n
fout	f ə ʊ t
fowe	f uː
fowlès	f uː l z
foyle	f ɔ i̯ l
frampled	f r a m p l d
frampès	f r a m p s
freightened	f r iː x t ə n d
frends	f r ɛ n d z
frump	f r ʊ m p
fug	f ʊ ɡ
fungerlagh	f ʊ ŋ ɡ ə r l ə x
furloan	f ʊ r l ɔː n
furlong	f ʊ r l ɔ ŋ
furzey	f ʊ r z iː
gaame	ɡ aː m
gaast	ɡ aː s t
gaaute	j ɛː t
gaaye	ɡ a i̯
gabard	ɡ a b ə r d
gabble	ɡ a b l
gae	ɡ aː
gaffort	ɡ a f ɔ r t
gagee	ɡ aː d͡ʒ ɛː
galore	ɡ ə l oː r
galshied	ɡ ə l ʃ a i̯ d
gandelt	ɡ a n d ə l t
gannt	ɡ a n t
garbe	ɡ a r b
garde	ɡ a r d
garr	ɡ a r
garraane	ɡ ə r aː n
gaubbach	ɡ ɔː b a t͡ʃ
gaudés	ɡ ɑː d iː s
gauntletès	ɡ ɑː n t l ɛː t s
gawg	ɡ ɑː ɡ
gawpseed	ɡ ɑː p s iː d
gazb	ɡ a z b
gazt	ɡ aː z t
gearded	ɡ ɛː r d ɛ d
gee	ɡ iː
geearth	ɡ ɛː r t
geearthès	ɡ ɛː r t̪ s
geerogue	ɡ iː r oː ɡ
gees	ɡ iː z
geeth	ɡ ɛː t̪
geffardth	ɡ ɛ f a r t̪
geinere	d͡ʒ iː n ɑː r
geint	d͡ʒ iː n t
gendrize	d͡ʒ ɛ n d r iː z
generale	d͡ʒ ɛ n ə r aː l
gentleman	d͡ʒ ɛ n t l m a n
get	ɡ ɛ t
ghemboles	ɡ ɛ m b oː l z
ghou	ɡ uː
ghurteare	ɡ ʊ r t ɛː r
gidhaan	ɡ ɪ d̪ aː n
gien	ɡ ɪ ə n
giftes	ɡ ɪ f t s
gimlie	d͡ʒ ɪ m l a i̯
gin	ɡ ɪ n
gist	d͡ʒ i s t
glaade	ɡ l aː d
gladès	ɡ l aː d z
glaude	ɡ l ɑː d
glawmzeen	ɡ l ɑː m s ə n
gleezom	ɡ l iː z ə m
glies	ɡ l iː z
gnafeen	ɡ n a f iː n
goan	ɡ ɔː n
goath	ɡ ɔː t̪
godth	ɡ ɔ t
goe	ɡ uː
goeth	ɡ ɔː t̪
gom	ɡ ɔ m
gome	ɡ ɔː m
gooude	ɡ eː d
gooudee	ɡ uː d iː
gooun	ɡ uː n
goounees	ɡ uː n ɛ s
gorr	ɡ ɔ r
gorseejack	ɡ ɑ r s iː d z a k
gorson	ɡ a r s ə n
goss	ɡ ɔ s
gossoupe	ɡ ɔ s uː p
gosther	ɡ a s t̪ ə r
gother	ɡ ɔ ð ə r
goul	ɡ uː l
goveremente	ɡ ʊ v ɛ r ə m ɛ n t
governere	ɡ ʊ v ə r n ɛː r
gows	ɡ uː z
gozleen	ɡ ɔ z l iː n
gozp	ɡ ɔ s p
graabache	ɡ r aː b ə t͡ʃ
graacuse	ɡ r aː s j uː s
graat	ɡ r aː t
gradjens	ɡ r a d͡ʒ e̞ n s
gradès	ɡ r aː d z
granogue	ɡ r aː n oː ɡ
grassnaythe	ɡ r a s n eː t̪
grate	ɡ r aː t
greash	ɡ r aː s
greatly	ɡ r ɛː t l iː
greeleen	ɡ r ɛː l iː n
green	ɡ r iː n
greeshin	ɡ r iː ʃ ə n
greezee	ɡ r a i̯ z iː
grenge	ɡ r ɛ n d͡ʒ
greoune	ɡ r ə ʊ n
greve	ɡ r ɛː v
grieefeth	ɡ r iː f t
grieend	ɡ r iː n d
grig	ɡ r ɪ ɡ
gring	ɡ r ɪ ŋ
grinnygoreek	ɡ r ɪ n iː ɡ oː r iː k
grip	ɡ r ɪ p
gripès	ɡ r ɪ p s
grue	ɡ r j uː
grummock	ɡ r o m ə k
gruts	ɡ r ʊ t s
gry	ɡ r a i̯
gryne	ɡ r a i̯ n
grynedaane	ɡ r iː d aː n
grynès	ɡ r a i̯ n z
gubbages	ɡ ʊ b a d͡ʒ z
gud	ɡ ɔ d
gudeváre	ɡ uː d v aː r
gurl	ɡ o r l
gurlish	ɡ ʊ r l ɪ ʃ
gurlès	ɡ o r l z
gurragaun	ɡ o r ə ɡ ɑː n
gurry	ɡ o r iː
gurt	ɡ r ʊ t
gurth	ɡ ʊ r t̪
gurthes	ɡ ʊ r t̪ s
ha	h aː
haach	h aː t͡ʃ
haail	h a i̯ l
haapney	h aː p n iː
haar	h aː r
haay	h a i̯
hachee	h aː t͡ʃ iː
haddokès	h a d ə k s
hades	h aː d z
hadh	a d
haeve	h eː v
haghed	h a ɡ d
halleef	h a l ə f
halpish	h a l p ɪ ʃ
ham	h a m
hamaron	h a m ə r ə n
hamas	h aː m ə z
hamsraw	h a m z r ɔː
hang	h a ŋ
hap	h a p
happie	h a p iː
hard	h a r d
hardhel	h a r d̪ ə l
hardishe	h a r d iː ʃ
hark	h a r k
harnothes	h a r n ʊ t̪ s
harpeare	h a r p ɛː r
harpleat	h a r p l ɛː t
harr	h a r
harrm	h a r m
harroue	h a r ə ʊ
hatcheat	h a t͡ʃ ɛː t
haul	h ɑː l
haulyare	h ɑː l j eː r
hawlse	h ɑ l s
hea	h eː
hea'de	h iː d
hea's	h iː z
heaaven	h œː v ə n
heade	h aː d
heale	h ɛː l
hearesth	h a r ɛ s t
hearth	h a r t
hearthilee	h a r t ɪ l iː
heech	h iː t͡ʃ
heed	h iː d
heel	h iː l
heep	h ɛː p
heereen	h iː r iː n
heeve	h iː v
heifteen	h i f t iː n
heigh	h iː
heighed	h iː x t
hel	h ɛ l
helbough	h ɛ l b oː x
hele	h iː l
helle	h ɛ l
help	h ɛ l p
helt	h ɛ l t
hempeen	h ɛ m p iː n
hemust	h iː m ɔː s t
hen	h ɛ n
hend	h ɛ n d
henee	h ɛ n iː
henteen	h ɛ n t iː n
henès	h ɛ n z
heouse	h uː z
her	h ɛ r
here	h aː r
hereen	h ɛ r iː n
hereenès	h ɛ r iː n z
hert	h ɛ r t
heste	h ɛ s t
het	h ɛ t
heve	h ɛ v
hey	h a i̯
hi	h
hiereen	h iː r iː n
hime	h a i̯ m
himzil	h ɪ m z ɪ l
hindreth	h ɪ n d r ɛ t̪
hint	h ɪ n t
hip	h ɪ p
his	h eː z
hist	f ɛ s t
histfullès	h ɪ s t f ʊ l z
hiver	h a i̯ v ə r
ho	h ɔː
hoane	h ɔː n
hoanès	h ɔː n z
hoat	h ɔː t
hock	h ɑ k
hog	h ɔ ɡ
hol	h ʊ l
hole	h ɔː l
holeyaun	h oː l j ɑː n
holghe	h ɔ l ɡ aː v
holly	h ɔ l iː
hollydie	h ɔ l iː d a i̯
hoorn	h ɔː r n
hoornta	h uː r n t ə
hopes	h ɔː p s
hore	h ɔː r
horsloan	h ɔ r z l ɔː n
houghany	h uː x ə n iː
houle	h ə ʊ l
howe	h ə ʊ
huck	h ʊ k
huddle	h ʊ d ə l
hullès	h ʊ l z
hulmogee	h ʊ l m ɔː x iː
hungherth	h ʊ ŋ ɡ ə r t̪
hungree	h ʊ ŋ ɡ r iː
hushlin	h o ʃ l ə n
hye	h a i̯
hyle	h a i̯ l
ich	ɪ t͡ʃ
iee	iː
ieen	eː n
ill	ɪ l
ing	iː
ingsaury	ɪ ŋ s ɔː r iː
iree	a i̯ r iː
irishmen	iː r ɪ ʃ m ɛ n
is	ɛ z
ishe	a i̯ ʃ
it	ɪ t
it's	ɪ t s
itzel	ɪ t z ɛ l
ivery	ɛ r ɪ t͡ʃ
jaames	d͡ʒ aː m z
jaane	d͡ʒ aː n
jameen	d͡ʒ a m iː n
jauaan	d͡ʒ uː aː n
jennate	d͡ʒ ɛ n aː t
jid	d͡ʒ ɪ d
jigges	d͡ʒ ɪ ɡ z
jinnymog	d͡ʒ ɪ n iː m ɑ ɡ
jock	d͡ʒ ɔ k
jockeen	d͡ʒ a k iː n
joee	d͡ʒ ɔ iː
joees	d͡ʒ ɔ iː z
jone	d͡ʒ ɔː n
jooudge	d͡ʒ uː d͡ʒ
josef	d͡ʒ ɔː z ɛ f
joude	d͡ʒ ɑː d
kaase	k aː s
kaayle	k a i̯ l
kakeen	k aː k iː n
kappas	k a p ə s
kaudès	k ɑ d z
kealeen	k iː l iː n
kearnt	k ɛ r n t
keech	k iː t͡ʃ
keeine	k eː n
keeler	k iː l ə r
keen	k iː n
keep	k iː p
keeves	k iː v z
keillet	k eː l t
keillès	k eː l s
ken	k ɛ n
keough	k ə ʊ x
keow	k ə ʊ
kerchure	k ɛ r t͡ʃ uː r
kerwaane	k iː r w aː n
kesse	k ɛ s
kewe	k uː
khimed	k a i̯ m d
khuingoke	k w ɪ ŋ oː k
khuingokee	k w ɪ ŋ oː k iː
khulears	k ʊ l ɛː r z
kie	k a i̯
kilmannan	k ɪ l m a n ə n
kilmoor	k ɪ l m ɔː r
kimleare	k ɪ m l ɛː r
kimmelt	k ɪ m ə l t
kinge	k ɪ ŋ
kink	k ɪ ŋ k
kinket	k ɪ ŋ k t
kippeens	k ɪ p iː n z
kishe	k ɪ ʃ
kisth	k ɪ s t̪
kiver	k ɪ v ə r
kivert	k ɪ v ə r t
knaggee	k n a ɡ iː
knapp	k n a p
knappas	k n a p ə s
knaugh	k n uː x
knaughaan	k n a x aː n
kneen	k n iː n
knew	k n j uː
knockeen	k n ɔ k iː n
knockt	k n ɔ k t
knoouledge	k n uː l ɛ d͡ʒ
knouth	k n ə ʊ
knuckelès	k n ʊ k ə l z
koaver	k ɔː v ə r
konnee	k ə n iː
koornt	k uː r n t
kotch	k ɔ t͡ʃ
kotlieough	k ɔ t l iː ʊ
kraanberry	k r aː n b ɛ r iː
kruck	k r ʊ k
kuddan	k ʊ d ə n
kun	k ʊ n
kunnife	k ə n iː f
kurkeen	k ʊ r k iː n
kwingokee	k w ɪ ŋ oː k iː
laace	l aː s
laady	l aː d iː
laafe	l aː f
laane	l aː n
laas	l aː z
laate	l aː t
laately	l aː t l iː
laave	l aː v
laaye	l a i̯
labstaar	l a b s t aː r
lacheate	l a t͡ʃ ɛː t
lacheny	l a x ə n iː
lamporte	l a m p ɔ r t
lar	l a r
lash	l a ʃ
lass	l a s
lauckeen	l a k ɪ n
lauckès	l ɑ k s
laupe	l ɑː p
laupeen	l a p iː n
lauthest	l ɑː t̪ ɛ s t
leam	l iː m
lear	l ɛː r
learry	l ɛ r iː
lee	l iː
leech	l ɛː t͡ʃ
leed	l ɛː d
leeesth	l iː s t̪
leeigh	l eː x
leeigheen	l eː x iː n
leen	l iː n
leeoon	l iː uː n
leet	l iː t
left	l ɛ f t
leiough	l iː x
lemethès	l iː m ɛː t̪ s
lereke	l a r ə k
letch	l ɛ t͡ʃ
leth	l ɛ t̪
lethel	l ɛ t̪ ə l
leveen	l ɑ v iː n
levers	l ɛ v ə r z
lewer	l iː w ə r
lhauch	l ɑ k
lhauchès	l ɑ k s
lhaung	l ɔ ŋ
lhaungher	l ɔː ŋ ɡ ə r
lhawm	l uː m
lhoan	l oː n
lhose	l a s
lhowsaane	l ə ʊ s aː n
lhowse	l ɑː s
lhuck	l uː k
lhug	l ʊ ɡ
lhuske	l ʊ s k
lhuskès	l ʊ s k s
lhygt	l ɪ x t
libe	l j ə i̯ b
lick	l ɪ k
lickeen	l ɪ k iː n
lickweese	l ɪ k w iː z
lidg'd	l ɪ d͡ʒ d
lief	l iː f
liest	l iː s t
lightzom	l ɪ x t z ə m
ling	l ɪ ŋ
live	l ɪ v
liveen	l ɪ v iː n
liveer	l iː v ɛː r
livertie	l ɪ v ɛ r t iː
lizure	l a i̯ z uː r
llean	l j iː n
llour	l j ə ʊ r
loard	l ɔː r d
looke	l uː k
looracaun	l uː r ə k aː n
loothee	l uː θ iː
lootheed	l uː θ iː d
loove	l uː v
lossed	l ɔ s ə d
lotherwite	l ɔː ð ə r w iː t
lough	l ʊ x
loughraan	l uː x r aː n
lournagh	l uː r n ə x
louthee	l uː θ iː
lovat	l ʊ v a t
lownnick	l ʊ n ɪ k
loyale	l ɔ y aː l
luckie	l ʊ k iː
luggès	l ʊ ɡ z
lurkaan	l ʊ r k aː n
luther	l ʊ ð ə r
lye	l i e̞
maake	m aː k
maakere	m aː k ɛː r
maakes	m aː k s
maarkeet	m a r k ɛː t
maarl	m aː r l
maate	m aː d
macht	m ɑ k t
mad	m a d
maggota	m a ɡ ɔ t aː
