־אי	a i
אולימפי	o l i m p i
אולם	u l a m
אולפן	u l p a n
אומנות	u m a n u t
אוניברסיטה	u n i v e ʁ s i t a
אונן	o n a n
אוננות	o n a n u t
אונסכ״ו	u n e s k o
אוסטריה	o s t ʁ i j a
אוסטרליה	o s t ʁ a l j a
אוסף	o s e f
אופן	o f e n
אופנוע	o f a n o a
אופקים	o f a k i m
אוצר	o t͡s a ʁ
אוקיינוס	o k j a n o s
אוקסיטניה	o k s i t a n j a
אור	o ʁ
אוראניה	u ʁ a n j a
אורגזמה	o ʁ ɡ a z m a
אורגניזם	o ʁ ɡ a n i z e m
אורוגוואי	u ʁ u ɡ w a j
אורז	o ʁ e z
אורח	o j ʁ̞ a χ
אורחה	o ʁ χ a
אורי	o ʁ i
אוריגמי	o ʁ i ɡ a m i
אורן	o ʁ e n
אורניום	u r a n j u m
אורפיאוס	o ʁ f e u s
אות	o tʰ
אותיום	o t j o m
אותם	o j s ɔ m
אותן	o j s ɔ n
אותנו	o j s ɔ n u
אז	ʔ a z
אזהרה	a z h a r a
אזור	e z o ʁ
אזמל	i z m e l
אח	a χ
אחד	e h ɒ d
אחדות	a χ d u t
אחו	a χ u
אחושרמוטה	a χ u ʃ a ʁ m u t a
אחות	a χ o t
אחז	a χ a z
אחיינית	ʔ a χ j a n i t
אחלה	a χ l a
אחמתא	a ħ m ə θ ɔː
אחרי	a χ a ʁ e
אחריות	a χ ʁ a j u t
אחשדרפן	a χ a ʃ d a ʁ p a n
אחשורוש	a χ a ʃ v e ʁ o ʃ
אחת	a χ a s
אחתו	a χ o t o
אטימה	a t i m a
אטלק	i t l e k
אטמוספירה	a t m o s f e ʁ a
אטר	a t a ʁ
איב	a j a v
איבד	i b e d
איבה	e v a
איבוד	i b u d
איבר	e j v a ʁ
איגרוף	i ɡ ʁ u f
איגרת	ʔ i ɡ e ʁ e t
איה	a j e
איוב	i j j oː β
איווה	i v a
איום	a j o m
איזבל	i z e v e l
איזנקוט	ʔ a j z e n k o t
איחל	i χ e l
איחר	i χ e ʁ
איטי	i t i
איטלקית	i t a l k i t
אייל	a j a l
איילונית	a j l o n i t
איים	i j e m
אייר	i j a ʁ
איך	e χ
איכות	e χ u t
איכס	i χ s
איכר	i k a ʁ
איל	a j i l
איליריה	i l i ʁ j a
אילן	i l a n
אימהות	i m a h u t
אין	e n
אינדיגו	i n d i ɡ o
אינטגרציה	i n t e ɡ ʀ a t s j a
אינטראקציה	i n t e ʁ a k t͡s i j a
אינשאללה	i n ʃ a l a
איפה	e f o
איפנון	i f n u n
איפר	i f e ʁ
איראן	i ʁ a n
אירוע	e ʁ u a
אירלנד	i ʁ l a n d
אירש	e ʁ e s
איש	i ʃ
אישית	i ʃ i t
אית״ן	e t a n
אכום	a χ o m
אכזרי	a χ z a ʁ i
אכל	a χ a l
אכלה	a χ l a
אכן	a χ e n
אל	a l
אלא	e l a
אלדעה	e l d a a
אלה	e l e
אלוה	e l o a h
אלוהים	e l o h i m
אלומיניום	a l u m i n j u m
אלון	a l o n
אלוף	a l u f
אלטאי	a l t a j
אליה	a l j a
אליהו	e l i j a h u
אלייך	e l a i χ
אליך	e l a i χ
אלים	a l i m
אלימות	a l i m u t
אלכסנדריה	a l e k s a n d ʁ i j a
אלף	a l e f
אלתית	i l t i t
אל״ף	a l e f
אם	e j m
אמא	i m a
אמבטיה	a m b a t j a
אמד	a m a d
אמה	a m a
אמונה	e m u n a
אמין	a m i n
אמיתי	a m i t i
אמן	a m e n
אמפרסנד	a m p e ʁ s a n d
אמציה	a m a t͡s j a
אמריקה	a m e ʁ i k a
אמש	e m e ʃ
אמת	e m e s
אנגלי	a ŋ ɡ l i
אנגליה	a ŋ ɡ l i j a
אנגלית	a ŋ ɡ l i t
אנג׳רה	e n d͡ʒ a ʀ a
אנדרוגינוס	a n d ʁ o ɡ i n o s
אנו	a n u
אנוכי	a n o χ i
אנוש	a n u ʃ
אנושות	e n o ʃ u t
אנחנו	a n a χ n u
אנטומולוגיה	e n t o m o l o ɡ j a
אנטיכריסטוס	a n t i k ʁ i s t o s
אנטישמי	a n t i ʃ e m i
אנטישמיות	a n t i ʃ e m i j u t
אנטל	a n a t e l
אני	a n i
אננס	a n a n a s
אננסים	a n a n a s i m
אנערף	a n a a ʁ e f
אנפוף	i n p u f
אנציקלופדיה	e n t͡s i k l o p e d j a
אנרגיה	e n e ʁ ɡ i a
אסור	a s u ʁ
אסותא	a s u t a
אסטרואיד	a s t e ʁ o i d
אסטרופיזיקה	a s t ʁ o f i z i k a
אסימטרייה	a s i m e t ʁ i j a
אסיר	a s i ʁ
אסנת	a s e n a t
אסף	a s a f
אספירין	a s p i ʁ i n
אספלט	a s f a l t
אספקלריה	a s p a k l a ʁ j a
אספרנטו	e s p e ʁ a n t o
אסתר	e s t e j r
אף	a f
אפוד	e f o d
אפיין	i f j e n
אפילו	a f i l u
אפיקורוס	e p i k o r o s
אפליקציה	a p l i k a t͡s j a
אפעה	e f e
אפר	a f a ʁ
אפרטהייד	a p a ʁ t a j d
אפרסמון	a f a ʀ s e m o n
אפרסמונים	a f a ʁ s e m o n i m
אפשר	e f ʃ a ʁ
אפשרי	e f ʃ a r i
אפ׳חד	a f χ a d
אצבע	e s b æ
אצבען	e t͡s b a a n
אצולה	a t͡s u l a
אצטילן	a t͡s e t i l e n
אצל	e t͡s e l
אצר	a t͡s a ʁ
אקוודור	e k w a d o ʁ
אקונומיקה	e k o n o m i k a
אקורד	a k o ʁ d
אקלים	a k l i m
אקליפטוס	e k a l i p t u s
ארבה	a ʁ b a
ארבע	a r b a
ארבעה	a r b a a
ארבעים	a ʁ b a i m
ארגמן	a ʁ ɡ a m a n
ארגנטינה	a ʁ ɡ e n t i n a
ארוחה	a ʁ u χ a
ארוך	a ʁ o χ
ארומה	a ʁ o m a
ארון	a ʁ o n
ארי	a ʁ i
אריאל	a ʁ i e l
ארידתא	a ʁ i d a t a
אריה	a ʁ j e
אריזונה	a ʁ i z o n a
אריסטו	a ʁ i s t o
אריתריאה	e ʁ i t ʁ e a
ארכיטקטורה	a ʁ χ i t e k t u ʁ a
ארכן	a ʁ χ a n
ארכנופוביה	a ʁ a χ n o f o b j a
ארם	a ʁ a m
ארמון	a r m o n
ארמני	a r m e n i
ארמנית	a ʁ m e n i t
ארנב	ʔ a r n aː b
ארנבת	ʔ a r n ɛː v ɛ θ
ארנק	a ʁ n a k
ארץ	e r e s
ארצות	a ʁ a t͡s o t
ארר	ʔ a ʁ a ʁ
אררט	a ʁ a ʁ a t
אש	e ʃ
אשדוד	a ʃ d o d
אשה	i ʃ a
אשון	a ʃ u n
אשור	a ʃ u ʁ
אשורית	a ʃ u ʁ i t
אשך	a ʃ a χ
אשכול	e ʃ k o l
אשכיים	ɛ ʃ χ a i m
אשכים	a ʃ a χ i m
אשכר	e ʃ k a ʁ
אשל	e ʃ e l
אשלגן	a ʃ l e ɡ a n
אשם	a ʃ a m
אשמדאי	a ʃ m e d a j
אשמה	a ʃ m a
אשף	a ʃ a f
אשפה	a ʃ p a
אשפז	i ʃ p e z
אשקלון	a ʃ k e l o n
אשר	a ʃ e ʁ
אש״ל	e ʃ e l
את	a t
אתאיזם	a t e i z e m
אתגר	e t ɡ a ʁ
אתה	a t a
אתון	a t o n
אתיופיה	e t j o p j a
אתם	a t e m
אתמול	e t m o l
אתן	a t e n
ב־	b a
בא	b a
באובב	b a o b a b
באולינג	b a u̯ l i ŋ ɡ
באוש	b e o ʃ
באש	b a a ʃ
בבונג	b a b o n a ɡ
בבל	b a b e l
בבלי	b a b e l i
בבקשה	b e v a k a ʃ a
בגרות	b a ɡ ʁ u t
בג״ץ	b a ɡ a t͡s
בדולח	b d o l a χ
בדיוק	b e d i j u k
בדיל	b d i l
בדליכא	b i d e l e k a
בדק	b a d a k
בהוטן	b u t a n
בהכרח	b e e χ ʁ a χ
בהלה	b e a l a
בהמה	b e h e m a
בהמות	b e h e m o t
בהקדם	b e e k d e m
בואר	b o a ʁ
בוב	b o b
בודד	b o d e d
בודקה	b u d k e
בוהן	b o e n
בוטן	b o t e n
בולבול	b u l b u l
בוליביה	b o l i v j a
בוקר	b o k e ʁ
בורא	b o ʁ e
בורות	b u ʁ u t
בוריאטיה	b u ʁ j a t j a
בוש־דו־רון	b u ʃ d u ʁ o n
בושת	b eː ʃ æː θ
בזבז	b i z b e z
בזמן	b a z m a n
בזמנו	b i z m a n o
בזק	b e z e k
בחוץ	b a χ u t͡s
בחור	b a ħ u r
בחייך	b e χ a j a i χ
בחירה	b e χ i ʁ a
בחר	b a χ a ʁ
בטוח	b a t u a χ
בטח	b a t a χ
בטיחות	b e t i χ u t
בידה	b i d e
ביהל	b i h e j l
ביזיון	b i z a j o n
ביזנטי	b i z a n t i
ביטא	b i t e
ביטוח	b i t u a χ
ביטחון	b i t a χ o n
ביטקוין	b i t k o j n
בייגל	b e j ɡ e l
ביית	b i j e t
בימה	b i m a
בין	b e n
בינה	b i n a
ביצה	b e j t͡s a
ביקש	b i k e ʃ
בירה	b i ʁ a
בירות	b i ʁ o t
בישול	b i ʃ u l
בית	b a j i s
בי״כ	b e t ‿ k n e s e t
בכבוד	b e x ɒ v o d
בכי	b e χ i
בכיף	b e k e f
בלבוסטה	b a l a b u s t e
בלבל	b i l b e l
בלו	b ə l oː
בלוט	b a l u t
בלטשאצר	b e l t e ʃ a t͡s a ʁ
בליז	b e l i z
בלסטין	b a l a s t i n
בלשנות	b a l ʃ a n u t
בלת״ם	b a l t a m
במה	b a m a
במהירות	b e m e h i ʁ u t
במו	b e m o
במזל	b e m a z a l
במקום	b a m a k o m
בן	b e n
בנה	b a n a
בנות	b ɔ n o θ
בני	b a n a j
בניין	b i n j a n
בנים	b ɔ n iː m
בנימוס	b e n i m u s
בנימין	b i n j a m i n
בננה	b a n a n a
בסבלנות	b e s a v l a n u t
בסדר	b e s e d e r
בסיסי	b s i s i
בס״ד	b a s a d
בעיה	b a a j a
בעל	b a a l
בצל	b a t͡s a l
בצע	b e s æ
בצק	b a t͡s e k
בצרון	b i sˤ sˤ ɔː r oː n
בקבוק	b a k b u k
בקבקר	b a k b a k a r
בקע	b a k a
בקר	b a k a ʁ
בקרוב	b e k a ʁ o v
בר	b a ʁ
בראשית	b a r eː ʃ i θ
ברבדוס	b a ʁ b e d o s
ברבור	b a ʁ b u ʁ
ברוך	b a ʁ u χ
ברור	b a ʁ u ʁ
ברז	b e ʁ e z
ברזיל	b ʁ a z i l
ברזים	b ʁ a z i m
ברח	b a ʁ a χ
בריום	b a ʀ j u m
בריכה	b ʁ e χ a
בריליום	b e r i l j u m
ברית	b ə r i t
ברכה	b ʁ a χ a
ברמות	b e ʁ a m o t
ברציפות	b e r e t͡s i f u t
ברק	b a ʁ a k
ברקוס	b a ʀ q oː s
בשביל	b i ʃ v i l
בשגגה	b i s h ɡ a ɡ a
בשל	b e ʃ e l
בשן	b a ʃ a n
בשעטו״מ	b e ʃ a a t u m
בשר	b a s a ʁ
בת	b a t
בתולה	b e t u l a
בתים	b a t i m
בתר	b a t a r
גאה	ɡ e e
גאוגרפיה	ɡ e o ɡ ʁ a f j a
גאווה	ɡ a a v a
גארפילד	ɡ a ʁ f i l d
גב	ɡ a v
גבוה	ɡ a v o a
גבול	ɡ v u l
גבינה	ɡ v i n a
גבירה	ɡ e v i ʁ a
גבעה	ɡ i v a
גבר	ɡ e v e ʁ
גברבר	ɡ v a ʁ v a ʁ
גבריאל	ɡ a v r iː ʔ eː l
גברת	ɡ e v e ʁ e t
גג	ɡ a ɡ
גדוד	ɡ d u d
גדול	ɡ a d o l
גדליה	ɡ a d a l j aː
גדר	ɡ a d e ʁ
גדרון	ɡ i d ʁ o n
גואטמלה	ɡ u a t e m a l a
גוג	ɡ o ɡ
גודש	ɡ o d e ʃ
גוויה	ɡ v i j a
גווע	ɡ a v a
גוזל	ɡ o z a l
גוי	ɡ o j
גולה	ɡ o l a
גולית	ɡ o l j a t
גולן	ɡ o l a n
גומא	ɡ o m e
גוף	ɡ u f
גוץ	ɡ u t͡s
גורל	ɡ o ʁ a l
גזבר	ɡ i z b a ʁ
גזה	ɡ i z a
גזוז	ɡ a z o z
גזל	ɡ a z a l
גזענות	ɡ i z a n u t
גזר	ɡ e z e ʁ
גז׳דור	ɡ i ʒ d u ʁ
גז׳דר	ɡ i ʒ d e ʁ
גחן	d͡ʒ ɔː ħ æː n
גיא	ɡ a j
גיאנה	ɡ i j a n a
גיבור	ɡ i b o ʁ
גיגל	ɡ i ɡ e l
גידול	ɡ i d u l
גידף	ɡ i d e f
גיהנום	ɡ e e n o m
גיטרה	ɡ i t a ʁ a
גילוף	ɡ i l u f
גיליוטינה	ɡ i l j o t i n a
גיליוטינות	ɡ i l j o t i n o t
גירד	ɡ e ʁ e d
גישה	ɡ i ʃ a
גישור	ɡ i ʃ u ʁ
גישר	ɡ i ʃ e ʁ
גלויה	ɡ l u j a
גלח	ɡ a l a χ
גלח״ץ	ɡ a l χ a t͡s
גלידה	ɡ l i d a
גלמוד	ɡ a l m u d
גלצ״ח	ɡ a l t͡s a χ
גלש	ɡ a l a ʃ
גם	d ʒ æ m
גמבה	ɡ a m b a
גמגם	ɡ i m ɡ e m
גמל	d͡ʒ a mː ɔː l
גן	ɡ a n
גנב	d ʒ ɔ n æ v
גס	ɡ a s
גפן	d ʒ æ f æ n
גרב	ɡ e ʁ e v
גרביון	ɡ a ʁ b i j o n
גרון	ɡ a ʁ o n
גרף	ɡ a ʁ a f
גרש	ɡ e ʁ e ʃ
גרשם	ɡ e ʁ ʃ o m
גשום	ɡ a ʃ u m
גשם	ɡ a ʃ m
גשן	d͡ʒ øː ʃ æ n
גשר	ɡ a ʃ a ʁ
גת	ɡ a t
ג׳וק	d ʒ u k
ג׳חנון	d͡ʒ a ħ n u n
ג׳יבוטי	d͡ʒ i b u t i
ג׳יפ	d͡ʒ i p
ג׳ירף	d͡ʒ i ʁ a f
ג׳ירפה	d ʒ i ʁ a f a
ג׳קפרוט	d͡ʒ a k f ʁ u t
ג׳ריקן	d͡ʒ e ʁ i k a n
דאדאיזם	d a d a i z e m
דב	d o v
דבורה	d v o r a
דבילי	d e b i l i
דבק	d a v a k
דבר	d a b a r
דברים	d a v ɔː ʀ̟ iː m
דברת	d a b e ʁ e t
דבש	d v a ʃ
דבשת	d a b b a ʃ a θ
דג	d a ɡ
דגדגן	d a ɡ d e ɡ a n
דגה	d a ɡ a
דגל	d e ɡ e l
דגן	d a ɡ a n
דגש	d a ɡ e ʃ
דוב	d o b
דובאי	d u b a j
דובדבן	d u v d e v a n
דוגרי	d u ɡ ʁ i
דוד	d a b i d
דודה	d o d a
דוח	d u a χ
דוך	d u χ
דוכיפת	d u χ i f a t
דולב	d o l e v
דולר	d o l a r
דופק	d o f e k
דחוף	d a χ u f
דחליל	d a χ l i l
דיבלל	d i v l e l
דיבר	d i b e ʁ
דיג	d a j i ɡ
דיו	d i j o
דיכאון	d i k a o n
דיכוי	d i k u j
דימם	d i m e m
דין	d iː n
דיקטטורה	d i k t a t u ʁ a
דיקציה	d i k t͡s i j a
דיר	d i ʁ
דירה	d i ʁ a
דלבי	d o l v e
דלבים	d l a v i m
דלי	d l i
דליקה	d l e k a
דלפון	d a l f o n
דלקת	d a l e k e t
דלת	d e l e t
דם	d a m
דמוקרטיה	d e m o k r a t j a
דמות	d m u t
דמיון	d i m j o n
דממה	d m a m a
דן	d a n
דנהבה	d i n h a v a
דני	d a n i
דניאל	d a n i j e l
דנמרק	d e n e m a ʁ k
דעה	d e a
דעיכה	d e i χ a
דעת	d a ʔ a t
דף	d a f
דפק	d a f a k
דפקט	d e f e k t
דפקתי	d a f a k t i
דפרסיה	d e p ʁ e s i j a
דקירה	d k i ʁ a
דקל	d e k e l
דקלם	d i k l e m
דקר	d a k a ʁ
דרום	d ɔ ʀ o m
דרך	d a ʁ a χ
דרכון	d a ʁ k o n
דרכמון	d a ʁ k e m o n
דרקון	d a r q o n
דשא	d e ʃ e
דת	d a t
ד״ר	d o k t o ʁ
ה־	h a
האזין	e e z i n
האריך	h e e ʁ i χ
הארץ	h a a ʁ e t͡s
הבאיש	h i b ʔ iː ʃ
הבדיל	h i v d i l
הבה	a v a
הביא	h e v i
הביך	e v i χ
הבין	e v i n
הביס	h e b i s
הביע	h i b i a
הבל	h e v e l
הבנה	h a v a n a
הברה	a v a ʁ a
הגביר	h i ɡ b i ʁ
הגה	h a ɡ a
הגיע	h i ɡ i a
הגעיל	h i ɡ i l
הדהים	h i d h i m
הדוניזם	e d o n i z e m
הדסה	h a d a s a
הדשיא	h i d ʃ i
ההסה	e e s a
הוא	h u
הואיל	h o i l
הוארך	h o o ʁ a χ
הודה	h o d a
הודו	h o d u
הודיע	h o d i a
הודעה	h o d a a
הווה	h o v e
הוכחה	h o χ a ħ a
הומו	h o m o
הומוסקסואליות	h o m o s e k s u a l i u t
הונדורס	o n d u ʁ a s
הוסיף	h o s i f
הועיל	h o i l
הופיע	h o f i a
הוציא	h o t͡s i
הוקיע	h o k i a
הוקע	h u k a
הורדוס	h o ʁ d o s
הושע	h o ʃ e a
הזדיין	h i z d a j e n
הזדמנות	h i z d a m n u t
הזוי	h a z u j
הזכיר	h i z k i ʁ
החדיר	e χ d i ʁ
החזיק	h e χ e z i k
החל	e χ e l
החליף	e χ l i f
החלקרח	a χ a l a k e ʁ a χ
החמיא	h e χ e m i
החנה	e χ e n a
החשיך	e χ ʃ i χ
הטביע	h i t b i a
הטה	h i t a
הטיס	e t i s
היא	h i
היגר	h i ɡ e ʁ
היה	a j a
היטב	e j t e v
היטלר	h i t l e ʁ
הייתה	a j t a
הייתי	a i t i
היכרות	e k e ʁ u t
הימשה	h i m ʃ a
היריון	e ʁ a j o n
הכחיד	h i k χ i d
הכחיש	h i k χ i ʃ
הכין	e χ i n
הכניע	h i χ n i a
הכת	e χ e t
הכתיב	h i χ t i v
הלאה	h a l a
הלאים	h i l i m
הלבין	h i l b i n
הלוואה	a l v a a
הלוואי	a l v a j
הלחיץ	h i l χ i t͡s
הלחם	h e l χ e m
הליום	h e l j u m
הלך	a l a χ
הלכה	h a l a χ a
הללויה	a l e l u j a
הללוקה	h a l e l u k a
הלעיב	h i l i v
הם	e m
המה	a m a
המון	h a m o n
המית	e m i t
המליץ	h i m l i t͡s
המן	h a m a n
הן	e n
הנדסה	a n d a s a
הנה	h e n n ɔ
הס	h a s
הסביר	h i s b i ʁ
הסגביר	h i s ɡ v i ʁ
הסיכאזם	h a s i χ a z ɛ m
הסתבך	h i s t a b e χ
הסתובב	h i s t o v e v
הסתופף	h i s t o f e f
הסתיר	h i s t i ʁ
הסתפר	h i s t a p e r
הסתתר	h i s t a t e ʁ
העדין	h e e d i n
העולם	a o l a m
העליב	h e e l i v
העמיס	e e m i s
העפיל	e e f i l
העריך	e e ʁ i χ
הפגיז	h i f ɡ i z
הפגין	h i f ɡ i n
הפיק	e f i k
הפך	h a f a χ
הפליט	h i f l i t
הפעם	h a p a a m
הפצה	h a f a t͡s a
הפציץ	h i f t͡s i t͡s
הפרעה	a f r a a
הפשיט	h i f ʃ i t
הצהיר	h i t͡s h i ʁ
הצחיק	h i s h i ɢ
הצטחק	h i s t æ h e ɢ
הצטרפות	h i t͡s t a r f u t
הציל	h i t͡s i l
הצעיק	h i t͡s i k
הצצה	a t͡s a t͡s a
הקהיל	h i k h i l
הקיא	e k i
הקריס	h i k ʁ i s
הקשיב	h i k ʃ i v
הר	h a ʁ
הראה	e ʁ a
הראל	h a ʁ e l
הרבה	a ʁ b e
הרביץ	h i ʁ b i t͡s
הרגל	e ʁ ɡ e l
הרגע	a ʁ e ɡ a
הריח	h e ʁ i a χ
הריסה	a ʁ i s a
השאיר	h i ʃ i ʁ
השואה	a ʃ o a
השוואה	a ʃ v a a
השווה	h i ʃ v a
השוויץ	h i ʃ v i t͡s
השחית	h i ʃ ħ iː tʰ
השיר	h i ʃ i ʁ
השכים	h i ʃ k i m
השליג	h i ʃ l i ɡ
השליש	h i ʃ l i ʃ
השלכה	a ʃ l a χ a
השם	h a ʃ e m
השמיט	h i ʃ m i t
השמין	h i ʃ m i n
השפעה	h a ʃ p a a
השפריץ	h i ʃ p ʁ i t͡s
השקה	h i ʃ k a
השקיע	h i ʃ k i a
השקיף	h i ʃ k i f
השקעה	a ʃ k a a
השתאה	h i ʃ t a e
השתגע	h i ʃ t a ɡ e a
השתדל	h i ʃ t a d e l
השתזף	h i ʃ t a z e f
השתחוה	h i ʃ t a ħ a w a
השתין	h i ʃ t i n
השתכנז	h i ʃ t a k n e z
השתלבות	h i ʃ t a l v u t
השתלט	h i ʃ t a l e t
השתמט	h i ʃ t a m e t
השתעמם	h i ʃ t a a m e m
התאבד	h i t a b e d
התאבדות	h i t a b d u t
התאבל	h i t a b e l
התאגד	h i t a ɡ e d
התאהב	h i t a e v
התאושש	h i t o ʃ e ʃ
התאפיין	h i t a f j e n
התאפר	h i t a p e ʁ
התבודד	h i t b o d e d
התבודדות	h i t b o d e d u t
התבטל	h i t b a t e l
התבכיין	h i t b a χ j e n
התגאה	h i t ɡ a e
התגרש	h i t ɡ a ʁ e ʃ
התגשם	h i t ɡ a ʃ e m
התחיל	h i t χ i l
התחלה	a t χ a l a
התחלק	h i t χ a l e k
התחמק	h i t χ a m e k
התחפש	h i t χ a p e s
התחרט	h i t χ a ʁ e t
התחתן	h i t χ a t e n
התיוון	h i t j a v e n
התיז	h i t i z
התיחס	h i t j a χ e s
התייאש	h i t j a e ʃ
התייבש	h i t j a b e ʃ
התייהד	h i s y a h e j d
התיישב	h i t j a ʃ e v
התיש	h i t i ʃ
התכוון	h i t k a v e n
התכייף	h i t k a j e f
התכרבל	h i t k a ʁ b e l
התכתב	h i t k a t e v
התלבש	h i s l a b e j ʃ
התלונן	h i t l o n e n
התלכלך	h i t l a χ l e χ
התלקח	h i t l a k e a χ
התמכר	h i t m a χ e ʁ
התמקח	h i t m a k e a χ
התמרמר	h i t m a ʁ m e ʁ
התנצל	h i t n a t͡s e l
התנשא	h i t n a s e
התעדה	h i t a d a
התערבב	h i t a ʁ b e v
התעשר	h i t a ʃ e ʁ
התפנה	h i t p a n a
התפעל	h i t p a e l
התפשט	h i t p a ʃ e t
התפתח	h i t p a t e a χ
התקבץ	h i t k a b e t͡s
התקווצ׳ץ׳	h i t k a v t͡ʃ e t͡ʃ
התקוממות	h i t k o m e m u t
התקטן	h i t k a t e n
התרגל	h i t r a ɡ e l
התרפא	h i t ʁ a p e
ו־	v e
ובכן	u v χ e n
וואחש	w a χ ʃ
ווק	w o k
ויאמר	v a j e j m ɛ r
ויילס	w e j l s
ויסטריה	v i s t e ʁ i a
ויסקי	v i s k i
ויקימילון	v i k i m i l o n
ויקיפדיה	v i k i p e d j a
ויקרא	v a j i k r a
וכו׳	v ə χ u
ולא	w a l oː ʔ
ולהאלה	v a l h a l a
ונצואלה	v e n e t͡s u e l a
וסת	v e s e t
ורד	v e ʁ e d
ורונה	v e r o n a
וריד	v ʁ i d
ושתי	v a ʃ t i
זאב	z e ʔ e v
זאבה	z e e v a
זב	z a v
זבד	z e v e d
זבוב	z v u v
זבל	z a v a l
זברה	z e b ʁ a
זג	z a ɡ
זה	z a
זהב	z a h a v
זהבן	z a h a v a n
זהורית	z e h o ʁ i t
זהיר	z a h i ʁ
זובי	z u b b i
זוועה	z a w aː ʕ aː
זוחת	z o χ e t
זוטה	z u t a
זומבי	z o m b i
זונה	z o n a
זז	z a z
זחלת	z o ħ ɛ l ɛ tʰ
זיבי	z i b b i
זיהום	z i h u m
זיוה	z i v a
זיז	z i z
זיין	z i j e n
זיכרון	z i k a ʁ o n
זיעה	z e a
זיקורת	z i k u ʁ a t
זירקוניום	z i r k o n j u m
זיתים	z e j t i m
זכוכית	z χ u χ i t
זכר	z a x a r
זלזול	z i l z u l
זמזומילה	z i m z u m i l a
זמיר	z a m i r
זמן	z m a n
זן	z a n
זנגביל	z a n ɡ v i l
זנה	z a n a
זעזע	z i z e a
זערורי	z a a ʁ u ʁ i
זרבובית	z a ʁ b u v i t
זרג	z e ʁ e ɡ
זרובבל	z r u b ɔ v e l
זרוע	z a ʁ u a
זרח	z a r a ħ
זרם	z e ʁ e m
זרמה	z i r m aː
זרע	z a r a ʕ
ח	χ e t
חבילה	χ a v i l a
חביתה	χ a v i t a
חבל	ħ a b l
חבקוק	ħ a b a qˤ qˤ uː qˤ
חבר	x a v e j r
חברון	ħ ɛ v r oː n
חברותא	χ a v ʁ u t a
חברתי	χ a v ʁ a t i
חבש	x ɔ v a ʃ
חגב	χ a ɡ a v
חגורה	χ a ɡ o ʁ a
חדירה	χ a d i ʁ a
חדר	χ a d a ʁ
חדש	χ a d a ʃ
חדשות	χ a d a ʃ o t
חוב	ħ a w b
חובה	ħ e v ɔ
חוגה	χ u ɡ a
חודש	χ o d e ʃ
חוה	ħ a v v a
חוח	ħ o a ħ
חוחית	χ o χ i t
חוט	ħ uː tˤ
חוי	h i v i
חולדה	χ u l d a
חולצה	χ u l t͡s a
חום	h o m
חומץ	χ o m e t͡s
חומר	ħ o m e r
חומרה	χ o m r a
חומש	χ u m a ʃ
חוף	χ o f
חופן	ħ o f e n
חוצפן	χ u t͡s p a n
חוק	χ o k
חוקר	χ o k e ʁ
חורבן	ħ u r b a n
חורג	χ o ʁ e ɡ
חורף	χ o ʁ e f
חורפי	χ o ʁ f e j
חורפים	χ o ʁ a f i m
חושך	χ o ʃ e χ
חו״ל	χ u l
חזיר	χ a z i ʁ
