aachen	aː χ ə n
abbaugerät	ʔ a p b a oː g eː ʁ ɛ t
abbaugeräusche	ʔ a p b a oː g eː ʁ ɔ ɔʏ̯ ʃ ə
abbauleistung	ʔ a p b a oː l ə ɪ s t ʊ ŋ
abbauleitzentrale	ʔ a p b a oː l a eː t s ɛ n t ʁ a l ə
abbauleitzentralen	ʔ a p b a oː l a eː t s ɛ n t ʁ a l ə n
abbaumaschine	ʔ a p b a oː m a ʃ ɪ n ə
abbaumaschinen	ʔ a p b a oː m a ʃ ɪ n ə n
abbaumaterial	ʔ a p b a oː m a t eː ʁ iː a l
abbaumenge	ʔ a p b a oː m ɛ ŋ ə
abbaumengen	ʔ a p b a oː m ɛ ŋ ə n
abbaumöglichkeit	ʔ a p b a oː m œ g l ɪ ç k ə iː t
abbaumöglichkeiten	ʔ a p b a oː m œ g l ɪ ç k ə iː t ə n
abbaus	ʔ a p b a oː s
abbaust	ʔ a p b a oː s t
abbausysteme	ʔ a p b a oː z ʏ s t ə m ə
abbausystemen	ʔ a p b a oː z ʏ s t ə m ə n
abbaut	ʔ a p b a oː t
abbaute	ʔ a p b a oː t ə
abbauten	ʔ a p b a oː t ə n
abbautest	ʔ a p b a oː t ɛ s t
abbautet	ʔ a p b a oː t ə t
abbauwerkzeug	ʔ a p b a oː v ɛ ʁ k t s ɔ ɔʏ̯ k
abbauwerkzeuge	ʔ a p b a oː v ɛ ʁ k t s ɔ ɔʏ̯ g ə
abbauwerkzeugen	ʔ a p b a oː v ɛ ʁ k t s ɔ ɔʏ̯ g ə n
abbauwerkzeuges	ʔ a p b a oː v ɛ ʁ k t s ɔ ɔʏ̯ g ə s
abbauwerkzeugs	ʔ a p b a oː v ɛ ʁ k t s ɔ ɔʏ̯ k s
abbekomme	ʔ a p b ə k ɔ m m ə
abbekommen	ʔ a p b ə k ɔ m ə n
abbekommst	ʔ a p b ə k ɔ m m s t
abbekommt	ʔ a p b ə k ɔ m m t
abberufe	ʔ a p b ə ʁ uː f ə
abberufen	ʔ a p b ə ʁ uː f ə n
abberufend	ʔ a p b ə ʁ uː f ɛ n t
abberufende	ʔ a p b ə ʁ uː f ɛ n d ə
abberufendem	ʔ a p b ə ʁ uː f ɛ n d ə m
abberufenden	ʔ a p b ə ʁ uː f ɛ n d ə n
abberufender	ʔ a p b ə ʁ uː f ɛ n d ɐ
abberufendes	ʔ a p b ə ʁ uː f ɛ n d ə s
abberufene	ʔ a p b ə ʁ uː f ə n ə
abberufenem	ʔ a p b ə ʁ uː f ə n ə m
abberufenen	ʔ a p b ə ʁ uː f ə n ə n
abberufener	ʔ a p b ə ʁ uː f ə n ɐ
abberufenes	ʔ a p b ə ʁ uː f ə n ə s
abberufst	ʔ a p b ə ʁ ʊ f s t
abberuft	ʔ a p b ə ʁ ʊ f t
abberufung	ʔ a p b ə ʁ uː f ʊ ŋ
abberufungen	ʔ a p b ə ʁ uː f ʊ ŋ ə n
abbestelle	ʔ a p b ə ʃ t ɛ l l ə
abbestellen	a b ə ʃ t ɛ l ə n
abbestellend	ʔ a p b ə ʃ t ɛ l l ɛ n t
abbestellende	ʔ a p b ə ʃ t ɛ l l ɛ n d ə
abbestellendem	ʔ a p b ə ʃ t ɛ l l ɛ n d ə m
abbestellenden	ʔ a p b ə ʃ t ɛ l l ɛ n d ə n
abbestellender	ʔ a p b ə ʃ t ɛ l l ɛ n d ɐ
abbestellendes	ʔ a p b ə ʃ t ɛ l l ɛ n d ə s
abbestellst	ʔ a p b ə ʃ t ɛ l l s t
abbestellt	ʔ a p b ə ʃ t ɛ l l t
abbestellte	ʔ a p b ə ʃ t ɛ l l t ə
abbestelltem	ʔ a p b ə ʃ t ɛ l l t ə m
abbestellten	ʔ a p b ə ʃ t ɛ l l t ə n
abbestellter	ʔ a p b ə ʃ t ɛ l l t ɐ
abbestelltes	ʔ a p b ə ʃ t ɛ l l t ə s
abbestelltest	ʔ a p b ə ʃ t ɛ l l t ɛ s t
abbestelltet	ʔ a p b ə ʃ t ɛ l l t ə t
abbestellung	ʔ a p b ə ʃ t ɛ l l ʊ ŋ
abbestellungen	ʔ a p b ə ʃ t ɛ l l ʊ ŋ ə n
abbettele	ʔ a p b ə t eː l ə
abbetteln	ʔ a p b ə t ɛ l n
abbettelnd	ʔ a p b ə t ɛ l n t
abbettelnde	ʔ a p b ə t ɛ l n d ə
abbettelndem	ʔ a p b ə t ɛ l n d ə m
abbettelnden	ʔ a p b ə t ɛ l n d ə n
abbettelnder	ʔ a p b ə t ɛ l n d ɐ
abbettelndes	ʔ a p b ə t ɛ l n d ə s
abbettelst	ʔ a p b ə t ɛ l s t
abbettelt	ʔ a p b ə t ɛ l t
abbettelte	ʔ a p b ə t ɛ l t ə
abbettelten	ʔ a p b ə t ɛ l t ə n
abbetteltest	ʔ a p b ə t ɛ l t ɛ s t
abbetteltet	ʔ a p b ə t ɛ l t ə t
abbettle	ʔ a p b ə t t l ə
abbezahlbar	ʔ a p b ə t s a l b a ʁ
abbezahlbare	ʔ a p b ə t s a l b a ʁ ə
abbezahlbarem	ʔ a p b ə t s a l b a ʁ ə m
abbezahlbaren	ʔ a p b ə t s a l b a ʁ ə n
abbezahlbarer	ʔ a p b ə t s a l b a ʁ ɐ
abbezahlbares	ʔ a p b ə t s a l b a ʁ ə s
abbezahle	ʔ a p b ə t s a l ə
abbezahlen	a b ə t s aː l ə n
abbezahlend	ʔ a p b ə t s a l ɛ n t
abbezahlende	ʔ a p b ə t s a l ɛ n d ə
abbezahlendem	ʔ a p b ə t s a l ɛ n d ə m
abbezahlenden	ʔ a p b ə t s a l ɛ n d ə n
abbezahlender	ʔ a p b ə t s a l ɛ n d ɐ
abbezahlendes	ʔ a p b ə t s a l ɛ n d ə s
abbezahlst	ʔ a p b ə t s a l s t
abbezahlt	ʔ a p b ə t s a l t
abbezahlte	ʔ a p b ə t s a l t ə
abbezahltem	ʔ a p b ə t s a l t ə m
abbezahlten	ʔ a p b ə t s a l t ə n
abbezahlter	ʔ a p b ə t s a l t ɐ
abbezahltes	ʔ a p b ə t s a l t ə s
abbezahltest	ʔ a p b ə t s a l t ɛ s t
abbezahltet	ʔ a p b ə t s a l t ə t
abbiege	ʔ a p b iː g ə
abbiegen	ʔ a p b iː g ə n
abbiegend	ʔ a p b iː g ɛ n t
abbiegende	ʔ a p b iː g ɛ n d ə
abbiegendem	ʔ a p b iː g ɛ n d ə m
abbiegenden	ʔ a p b iː g ɛ n d ə n
abbiegender	ʔ a p b iː g ɛ n d ɐ
abbiegendes	ʔ a p b iː g ɛ n d ə s
abbiegst	ʔ a p b iː k s t
abbiegt	ʔ a p b iː k t
abbild	ʔ a p b ɪ l t
abbilde	ʔ a p b ɪ l d ə
abbilden	a p b ɪ l d ə n
abbildend	ʔ a p b ɪ l d ɛ n t
abbildende	ʔ a p b ɪ l t ʔ ɛ n d eː
abbildendem	ʔ a p b ɪ l d ɛ n d ə m
abbildenden	ʔ a p b ɪ l t ʔ ɛ n d ə n
abbildender	ʔ a p b ɪ l d ɛ n d ɐ
abbildendes	ʔ a p b ɪ l t ʔ ɛ n d ə s
abbilder	ʔ a p b ɪ l d ɐ
abbildern	ʔ a p b ɪ l d ɛ ʁ n
abbildes	ʔ a p b ɪ l d ə s
abbildest	ʔ a p b ɪ l d ɛ s t
abbildet	ʔ a p b ɪ l d ə t
abbildete	ʔ a p b ɪ l d ə t ə
abbildeten	ʔ a p b ɪ l d ə t ə n
abbildetest	ʔ a p b ɪ l d ə t ɛ s t
abbildetet	ʔ a p b ɪ l d ə t ə t
abbildung	a p b ɪ l d ʊ ŋ
abbildungen	ʔ a p b ɪ l d ʊ ŋ ə n
abbinde	ʔ a p b ɪ n d ə
abbinden	ʔ a p b ɪ n d n
abbindend	ʔ a p b ɪ n d ɛ n t
abbindende	ʔ a p b ɪ n d ɛ n d ə
abbindendem	ʔ a p b ɪ n d ɛ n d ə m
abbindenden	ʔ a p b ɪ n d ɛ n d ə n
abbindender	ʔ a p b ɪ n d ɛ n d ɐ
abbindendes	ʔ a p b ɪ n d ɛ n d ə s
abbindest	ʔ a p b ɪ n d ɛ s t
abbindet	ʔ a p b ɪ n d ə t
abbitte	ʔ a p b ɪ t ə
abbitten	ʔ a p b ɪ t ə n
abbittest	ʔ a p b ɪ t ɛ s t
abbittet	ʔ a p b ɪ t ə t
abblase	ʔ a p b l aː z ə
abblasen	ʔ a p b l aː z ə n
abblasend	ʔ a p b l aː z ɛ n t
abblasende	ʔ a p b l aː z ɛ n d ə
abblasendem	ʔ a p b l aː z ɛ n d ə m
abblasenden	ʔ a p b l aː z ɛ n d ə n
abblasender	ʔ a p b l aː z ɛ n d ɐ
abblasendes	ʔ a p b l aː z ɛ n d ə s
abblast	ʔ a p b l a s t
abblende	ʔ a p b l ɛ n d ə
abblenden	ʔ a p b l ɛ n d ə n
abblendend	ʔ a p b l ɛ n d ɛ n t
abblendende	ʔ a p b l ɛ n d ɛ n d ə
abblendendem	ʔ a p b l ɛ n d ɛ n d ə m
abblendenden	ʔ a p b l ɛ n d ɛ n d ə n
abblendender	ʔ a p b l ɛ n d ɛ n d ɐ
abblendendes	ʔ a p b l ɛ n d ɛ n d ə s
abblendest	ʔ a p b l ɛ n d ɛ s t
abblendet	ʔ a p b l ɛ n d ə t
abblendete	ʔ a p b l ɛ n d ə t ə
abblendeten	ʔ a p b l ɛ n d ə t ə n
abblendetest	ʔ a p b l ɛ n d eː t ɛ s t
abblendetet	ʔ a p b l ɛ n d ə t ə t
abblendlicht	ʔ a p b l ɛ n d l ɪ ç t
abblendlichter	ʔ a p b l ɛ n d l ɪ ç t ɐ
abblendlichtern	ʔ a p b l ɛ n d l ɪ ç t ɛ ʁ n
abblendlichtes	ʔ a p b l ɛ n d l ɪ ç t ə s
abblendlichts	ʔ a p b l ɛ n d l ɪ ç t s
abblendschalter	ʔ a p b l ɛ n t ʃ a l t ɐ
abblendschaltern	ʔ a p b l ɛ n t ʃ a l t ɛ ʁ n
abblendschalters	ʔ a p b l ɛ n t ʃ a l t ɛ ʁ s
abblitze	ʔ a p b l ɪ t s ə
abblitzen	ʔ a p b l ɪ t s ə n
abblitzend	ʔ a p b l ɪ t s ɛ n t
abblitzende	ʔ a p b l ɪ t s ɛ n d ə
abblitzendem	ʔ a p b l ɪ t s ɛ n d ə m
abblitzenden	ʔ a p b l ɪ t s ɛ n d ə n
abblitzender	ʔ a p b l ɪ t s ɛ n d ɐ
abblitzendes	ʔ a p b l ɪ t s ɛ n d ə s
abblitzest	ʔ a p b l ɪ t s ɛ s t
abblitzt	ʔ a p b l ɪ t s t
abblitzte	ʔ a p b l ɪ t s t ə
abblitzten	ʔ a p b l ɪ t s t ə n
abblitztest	ʔ a p b l ɪ t s t ɛ s t
abblitztet	ʔ a p b l ɪ t s t ə t
abblocke	ʔ a p b l ɔ k ə
abblocken	a b l ɔ k ə n
abblockend	ʔ a p b l ɔ k ɛ n t
abblockende	ʔ a p b l ɔ k ɛ n d ə
abblockendem	ʔ a p b l ɔ k ɛ n d ə m
abblockenden	ʔ a p b l ɔ k ɛ n d ə n
abblockender	ʔ a p b l ɔ k ɛ n d ɐ
abblockendes	ʔ a p b l ɔ k ɛ n d ə s
abblockst	ʔ a p b l ɔ k s t
abblockt	ʔ a p b l ɔ k t
abblockte	ʔ a p b l ɔ k t ə
abblockten	ʔ a p b l ɔ k t ə n
abblocktest	ʔ a p b l ɔ k t ɛ s t
abblocktet	ʔ a p b l ɔ k t ə t
abblättere	ʔ a p b l ɛ t ɐ ə
abblättern	ʔ a p b l ɛ t ɐ n
abblätternd	ʔ a p b l ɛ t ɛ ʁ n t
abblätternde	ʔ a p b l ɛ t ɛ ʁ n d ə
abblätterndem	ʔ a p b l ɛ t ɛ ʁ n d ə m
abblätternden	ʔ a p b l ɛ t ɛ ʁ n d ə n
abblätternder	ʔ a p b l ɛ t ɛ ʁ n d ɐ
abblätterndes	ʔ a p b l ɛ t ɛ ʁ n d ə s
abblätterst	ʔ a p b l ɛ t ɛ ʁ s t
abblättert	ʔ a p b l ɛ t ɛ ʁ t
abblätterte	ʔ a p b l ɛ t ɛ ʁ t ə
abblätterten	ʔ a p b l ɛ t ɛ ʁ t ə n
abblättertest	ʔ a p b l ɛ t ɛ ʁ t ɛ s t
abblättertet	ʔ a p b l ɛ t ɛ ʁ t ə t
abblättre	ʔ a p b l ɛ t t ʁ ə
abbrach	ʔ a p b ʁ a x
abbrachen	ʔ a p b ʁ a x ə n
abbrachest	ʔ a p b ʁ a x ɛ s t
abbrachst	ʔ a p b ʁ a x s t
abbracht	ʔ a p b ʁ a x t
abbrachte	ʔ a p b ʁ a x t ə
abbrachten	ʔ a p b ʁ a x t ə n
abbrachtest	ʔ a p b ʁ a x t ɛ s t
abbrachtet	ʔ a p b ʁ a x t ə t
abbrannte	ʔ a p b ʁ a n n t ə
abbrannten	ʔ a p b ʁ a n n t ə n
abbranntest	ʔ a p b ʁ a n n t ɛ s t
abbranntet	ʔ a p b ʁ a n n t ə t
abbrause	ʔ a p b ʁ a oː z ə
abbrausen	ʔ a p b ʁ a oː z ə n
abbrausend	ʔ a p b ʁ a oː z ɛ n t
abbrausende	ʔ a p b ʁ a oː z ɛ n d ə
abbrausendem	ʔ a p b ʁ a oː z ɛ n d ə m
abbrausenden	ʔ a p b ʁ a oː z ɛ n d ə n
abbrausender	ʔ a p b ʁ a oː z ɛ n d ɐ
abbrausendes	ʔ a p b ʁ a oː z ɛ n d ə s
abbrausest	ʔ a p b ʁ a oː z ɛ s t
abbraust	ʔ a p b ʁ a oː s t
abbrauste	ʔ a p b ʁ a oː s t ə
abbrausten	ʔ a p b ʁ a oː s t ə n
abbraustest	ʔ a p b ʁ a oː s t ɛ s t
abbraustet	ʔ a p b ʁ a oː s t ə t
abbreche	ʔ a p b ʁ ɛ ç ə
abbrechen	ʔ a p b ʁ ɛ ç ə n
abbrechend	ʔ a p b ʁ ɛ ç ɛ n t
abbrechende	ʔ a p b ʁ ɛ ç ɛ n d ə
abbrechendem	ʔ a p b ʁ ɛ ç ɛ n d ə m
abbrechenden	ʔ a p b ʁ ɛ ç ɛ n d ə n
abbrechender	ʔ a p b ʁ ɛ ç ɛ n d ɐ
abbrechendes	ʔ a p b ʁ ɛ ç ɛ n d ə s
abbrecht	ʔ a p b ʁ ɛ ç t
abbremse	ʔ a p b ʁ ɛ m z ə
abbremsen	a b ʁ ɛ m z ə n
abbremsend	ʔ a p b ʁ ɛ m z ɛ n t
abbremsende	ʔ a p b ʁ ɛ m z ɛ n d ə
abbremsendem	ʔ a p b ʁ ɛ m z ɛ n d ə m
abbremsenden	ʔ a p b ʁ ɛ m z ɛ n d ə n
abbremsender	ʔ a p b ʁ ɛ m z ɛ n d ɐ
abbremsendes	ʔ a p b ʁ ɛ m z ɛ n d ə s
abbremsest	ʔ a p b ʁ ɛ m z ɛ s t
abbremsgeschwindigkeit	ʔ a p b ʁ ɛ m s g ɛ ʃ v ɪ n d ɪ k k ə iː t
abbremsgeschwindigkeiten	ʔ a p b ʁ ɛ m s g ɛ ʃ v ɪ n d ɪ k k ə iː t ə n
abbremst	ʔ a p b ʁ ɛ m s t
abbremste	ʔ a p b ʁ ɛ m s t ə
abbremsten	ʔ a p b ʁ ɛ m s t ə n
abbremstest	ʔ a p b ʁ ɛ m s t ɛ s t
abbremstet	ʔ a p b ʁ ɛ m s t ə t
abbremsverhalten	ʔ a p b ʁ ɛ m s v ɛ ʁ a l t ə n
abbremsverhaltens	ʔ a p b ʁ ɛ m s v ɛ ʁ a l t ɛ n s
abbrenne	ʔ a p b ʁ ɛ n n ə
abbrennen	a b ʁ ɛ n ə n
abbrennend	ʔ a p b ʁ ɛ n n ɛ n t
abbrennende	ʔ a p b ʁ ɛ n n ɛ n d ə
abbrennendem	ʔ a p b ʁ ɛ n n ɛ n d ə m
abbrennenden	ʔ a p b ʁ ɛ n n ɛ n d ə n
abbrennender	ʔ a p b ʁ ɛ n n ɛ n d ɐ
abbrennendes	ʔ a p b ʁ ɛ n n ɛ n d ə s
abbrennst	ʔ a p b ʁ ɛ n n s t
abbrennt	ʔ a p b ʁ ɛ n n t
abbrichst	ʔ a p b ʁ ɪ ç s t
abbricht	ʔ a p b ʁ ɪ ç t
abbringe	ʔ a p b ʁ ɪ ŋ ə
abbringen	ʔ a p b ʁ ɪ ŋ ə n
abbringend	ʔ a p b ʁ ɪ ŋ ɛ n t
abbringende	ʔ a p b ʁ ɪ ŋ ɛ n d ə
abbringendem	ʔ a p b ʁ ɪ ŋ ɛ n d ə m
abbringenden	ʔ a p b ʁ ɪ ŋ ɛ n d ə n
abbringender	ʔ a p b ʁ ɪ ŋ ɛ n d ɐ
abbringendes	ʔ a p b ʁ ɪ ŋ ɛ n d ə s
abbringst	ʔ a p b ʁ ɪ ŋ s t
abbringt	ʔ a p b ʁ ɪ ŋ t
abbruch	a b ʁ ʊ χ
abbrucharbeit	ʔ a p b ʁ ʊ x a ʁ b ə iː t
abbrucharbeiten	ʔ a p b ʁ ʊ x a ʁ b ə iː t ə n
abbruchbedingung	ʔ a p b ʁ ʊ x b eː d ɪ ŋ ʊ ŋ
abbruchbedingungen	ʔ a p b ʁ ʊ x b eː d ɪ ŋ ʊ ŋ ə n
abbruchobjekt	ʔ a p b ʁ ʊ x ɔ p j ɛ k t
abbruchobjekte	ʔ a p b ʁ ʊ x ɔ p j ɛ k t ə
abbruchobjekten	ʔ a p b ʁ ʊ x ɔ p j ɛ k t ə n
abbruchobjektes	ʔ a p b ʁ ʊ x ɔ p j ɛ k t ə s
abbruchobjekts	ʔ a p b ʁ ʊ x ɔ p j ɛ k t s
abbruchreif	ʔ a p b ʁ ʊ x ʁ a eː f
abbruchreife	ʔ a p b ʁ ʊ x ʁ a eː f ə
abbruchreifem	ʔ a p b ʁ ʊ x ʁ a eː f ə m
abbruchreifen	ʔ a p b ʁ ʊ x ʁ a eː f ə n
abbruchreifer	ʔ a p b ʁ ʊ x ʁ a eː f ɐ
abbruchreifes	ʔ a p b ʁ ʊ x ʁ a eː f ə s
abbruchs	ʔ a p b ʁ ʊ k s
abbruchunternehmen	ʔ a p b ʁ ʊ x ʊ n t ɛ ʁ n eː m ə n
abbruchunternehmens	ʔ a p b ʁ ʊ x ʊ n t ɛ ʁ n eː m ɛ n s
abbruchunternehmer	ʔ a p b ʁ ʊ x ʊ n t ɛ ʁ n eː m ɐ
abbruchunternehmers	ʔ a p b ʁ ʊ x ʊ n t ɛ ʁ n eː m ɛ ʁ s
abbrände	ʔ a p b ʁ ɛ n d ə
abbränden	ʔ a p b ʁ ɛ n d ə n
abbröckele	ʔ a p b ʁ œ k eː l ə
abbröckeln	ʔ a p b ʁ œ k ɛ l n
abbröckelnd	ʔ a p b ʁ œ k ɛ l n t
abbröckelnde	ʔ a p b ʁ œ k ɛ l n d ə
abbröckelndem	ʔ a p b ʁ œ k ɛ l n d ə m
abbröckelnden	ʔ a p b ʁ œ k ɛ l n d ə n
abbröckelnder	ʔ a p b ʁ œ k ɛ l n d ɐ
abbröckelndes	ʔ a p b ʁ œ k ɛ l n d ə s
abbröckelst	ʔ a p b ʁ œ k ɛ l s t
abbröckelt	ʔ a p b ʁ œ k ɛ l t
abbröckelte	ʔ a p b ʁ œ k ɛ l t ə
abbröckelten	ʔ a p b ʁ œ k ɛ l t ə n
abbröckeltest	ʔ a p b ʁ œ k ɛ l t ɛ s t
abbröckeltet	ʔ a p b ʁ œ k ɛ l t ə t
abbröckle	ʔ a p b ʁ œ k l ə
abbuche	ʔ a p b ʊ x ə
abbuchen	a b uː χ ə n
abbuchend	ʔ a p b ʊ x ɛ n t
abbuchende	ʔ a p b ʊ x ɛ n d ə
abbuchendem	ʔ a p b ʊ x ɛ n d ə m
abbuchenden	ʔ a p b ʊ x ɛ n d ə n
abbuchender	ʔ a p b ʊ x ɛ n d ɐ
abbuchendes	ʔ a p b ʊ x ɛ n d ə s
abbuchst	ʔ a p b ʊ x s t
abbucht	ʔ a p b ʊ x t
abbuchte	ʔ a p b ʊ x t ə
abbuchten	ʔ a p b ʊ x t ə n
abbuchtest	ʔ a p b ʊ x t ɛ s t
abbuchtet	ʔ a p b ʊ x t ə t
abbuchung	ʔ a p b ʊ x ʊ ŋ
abbuchungen	ʔ a p b ʊ x ʊ ŋ ə n
abbürste	ʔ a p b ʏ ʁ s t ə
abbürsten	ʔ a p b ʏ ʁ s t ə n
abbürstend	ʔ a p b ʏ ʁ s t ɛ n t
abbürstende	ʔ a p b ʏ ʁ s t ɛ n d ə
abbürstendem	ʔ a p b ʏ ʁ s t ɛ n d ə m
abbürstenden	ʔ a p b ʏ ʁ s t ɛ n d ə n
abbürstender	ʔ a p b ʏ ʁ s t ɛ n d ɐ
abbürstendes	ʔ a p b ʏ ʁ s t ɛ n d ə s
abbürstest	ʔ a p b ʏ ʁ s t ɛ s t
abbürstet	ʔ a p b ʏ ʁ s t ə t
abbürstete	ʔ a p b ʏ ʁ s t ə t ə
abbürsteten	ʔ a p b ʏ ʁ s t ə t ə n
abbürstetest	ʔ a p b ʏ ʁ s t eː t ɛ s t
abbürstetet	ʔ a p b ʏ ʁ s t ə t ə t
abdampfe	ʔ a p d a m p͡f ə
abdampfen	ʔ a p d a m p͡f ə n
abdampfend	ʔ a p d a m p͡f ɛ n t
abdampfende	ʔ a p d a m p͡f ʔ ɛ n d eː
abdampfendem	ʔ a p d a m p͡f ɛ n d ə m
abdampfenden	ʔ a p d a m p͡f ʔ ɛ n d ə n
abdampfender	ʔ a p d a m p͡f ɛ n d ɐ
abdampfendes	ʔ a p d a m p͡f ʔ ɛ n d ə s
abdampfst	ʔ a p d a m p͡f ʃ t
abdampft	ʔ a p d a m p͡f t
abdampfte	ʔ a p d a m p͡f t ə
abdampften	ʔ a p d a m p͡f t ə n
abdampftest	ʔ a p d a m p͡f t ɛ s t
abdampftet	ʔ a p d a m p͡f t ə t
abdanke	ʔ a p d a ŋ k ə
abdanken	ʔ a p d a ŋ k ŋ
abdankend	ʔ a p d a ŋ k ɛ n t
abdankende	ʔ a p d a ŋ k ɛ n d ə
abdankendem	ʔ a p d a ŋ k ɛ n d ə m
abdankenden	ʔ a p d a ŋ k ɛ n d ə n
abdankender	ʔ a p d a ŋ k ɛ n d ɐ
abdankendes	ʔ a p d a ŋ k ɛ n d ə s
abdankst	ʔ a p d a ŋ k ʃ t
abdankt	ʔ a p d a ŋ k t
abdankte	ʔ a p d a ŋ k t ə
abdankten	ʔ a p d a ŋ k t ə n
abdanktest	ʔ a p d a ŋ k t ɛ s t
abdanktet	ʔ a p d a ŋ k t ə t
abdankung	ʔ a p d a ŋ k ʊ ŋ
abdankungen	ʔ a p d a ŋ k ʊ ŋ ə n
abdeckbar	ʔ a p d ɛ k b a ʁ
abdeckbare	ʔ a p d ɛ k b a ʁ ə
abdeckbarem	ʔ a p d ɛ k b a ʁ ə m
abdeckbaren	ʔ a p d ɛ k b a ʁ ə n
abdeckbarer	ʔ a p d ɛ k b a ʁ ɐ
abdeckbares	ʔ a p d ɛ k b a ʁ ə s
abdeckblech	ʔ a p d ɛ k b l ɛ ç
abdeckbleche	ʔ a p d ɛ k b l ɛ ç ə
abdeckblechen	ʔ a p d ɛ k b l ɛ ç ə n
abdeckblechs	ʔ a p d ɛ k b l ɛ k s
abdecke	ʔ a p d ɛ k ə
abdecken	a p d ɛ k ə n
abdeckend	ʔ a p d ɛ k ɛ n t
abdeckende	ʔ a p d ɛ k ɛ n d ə
abdeckendem	ʔ a p d ɛ k ɛ n d ə m
abdeckenden	ʔ a p d ɛ k ɛ n d ə n
abdeckender	ʔ a p d ɛ k ɛ n d ɐ
abdeckendes	ʔ a p d ɛ k ɛ n d ə s
abdecker	ʔ a p d ɛ k ɐ
abdeckern	ʔ a p d ɛ k ɛ ʁ n
abdeckers	ʔ a p d ɛ k ɛ ʁ s
abdeckkappe	ʔ a p d ɛ k k a p p ə
abdeckkappen	ʔ a p d ɛ k k a p p ə n
abdeckklappe	ʔ a p d ɛ k k l a p p ə
abdeckklappen	ʔ a p d ɛ k k l a p p ə n
abdeckmaterial	ʔ a p d ɛ k m a t eː ʁ iː a l
abdeckplane	ʔ a p d ɛ k p l a n ə
abdeckplanen	ʔ a p d ɛ k p l a n ə n
abdeckplatte	ʔ a p d ɛ k p l a t ə
abdeckplatten	ʔ a p d ɛ k p l a t ə n
