'n	m
abendlied	aː b ə n t l iː t
abendluft	aː b ə n t l ʊ f t
abendläuten	aː b n̩ t l ɔ ɪ̯ t n̩
abendmahlsgemeinschaft	aː b n̩ t m aː l s ɡ ə m a ɪ̯ n ʃ a f t
abendmahlsgottesdienst	aː b n̩ t m aː l s ɡ ɔ t ə s d iː n s t
abendspaziergang	a b n̩ t ʃ p a t͡s iː ɐ̯ ɡ a ŋ
abendstimmung	aː b ə n t ʃ t ɪ m ʊ ŋ
abendstunde	aː b n̩ t ʃ t ʊ n d ə
abenteuer	aː b ə n t ɔ ʏ̯ ɐ
abenteuerreise	aː b n̩ t ɔ ɪ̯ ɐ ʁ a ɪ̯ z ə
abenteuerroman	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n
abenteuerromane	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n
abenteuerromanes	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n ɛ s
abenteuerromans	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n s
abenteuerspielplatz	aː b n̩ t ɔ ɪ̯ ɐ ʃ p iː l p l a t͡s
aber	aː b ɐ
aberglaube	aː b ɐ ɡ l a ʊ̯ b ə
aberglaubens	ʔ aː b ɐ ɡ l a ʊ̯ b m̩ s
abernten	a p ɛ r n t ə n
aberwitz	aː b ɐ v ɪ t͡s
abfahrer	a p f aː ʁ ɐ
abfahrt	a p f aː r t
abfallbehälter	a p f a l b ə h ɛ l t ɐ
abfallbehälters	a p f a l b ə h ɛ l t ɐ s
abfallcontainer	a p f a l k ɔ n t ɛ ɪ̯ n ɐ
abfalleimer	a p f a l a ɪ̯ m ɐ
abfallkorb	a p f a l k ɔ ʁ p
abfalltonne	a p f a l t ɔ n ə
abfasser	a p f a s ɐ
abfassung	a p f a s ʊ ŋ
abfertigung	a p f ɛ ʁ t i ɡ ʊ ŋ
abfertigungsgebäude	a p f ɛ ʁ t i ɡ ʊ ŋ s ɡ ə b ɔ ɪ̯ d ə
abfertigungsschalter	a p f ɛ ʁ t i ɡ ʊ ŋ s ʃ a l t ɐ
abfeuerung	a p f ɔ ʏ̯ ə ʁ ʊ ŋ
abfindung	a p f ɪ n d ʊ ŋ
abflug	ʔ a p f l uː k
abfluges	ʔ a p f l uː ɡ ə s
abflugs	ʔ a p f l uː k s
abflugzeit	a p f l uː k t s a ɪ̯ t
abfluss	a p f l ʊ s
abflussrohr	a p f l ʊ s ʁ oː ɐ̯
abflüge	ʔ a p f l yː ɡ ə
abfolge	a p f ɔ l ɡ ə
abfrage	ʔ a p f ʁ aː ɡ ə
abfragen	ʔ a p f ʁ aː ɡ ŋ̩
abfräsen	a p f ʁ eː z ə n
abfuhr	a p f uː ɐ̯
abführmittel	a p f yː ɐ̯ m ɪ t l̩
abgabe	a p ɡ aː b ə
abgabeleistung	ʔ a p ɡ aː b ə l a ɪ̯ s t ʊ ŋ
abgang	a p ɡ a ŋ
abganges	ʔ a p ɡ a ŋ ə s
abgangs	ʔ a p ɡ a ŋ s
abgasskandal	a p ɡ aː s s k a n d aː l
abgassonderuntersuchung	a p ɡ aː s z ɔ n d ɐ ʊ n t ɐ z uː x ʊ ŋ
abgassonderuntersuchungen	a p ɡ aː s z ɔ n d ɐ ʔ ʊ n t ɐ z uː x ʊ ŋ ə n
abgasstrom	a p ɡ aː s ʃ t r oː m
abgefeimtheit	a p ɡ ə f a ɪ̯ m t h a ɪ̯ t
abgehen	a p ɡ eː ə n
abgeher	a p ɡ eː ɐ
abgelegenheit	ʔ a p ɡ ə l eː ɡ ŋ̩ h a ɪ̯ t
abgeordnetenhaus	a p ɡ ə ʔ ɔ ʁ d n ə t n̩ h a ʊ̯ s
abgeordneter	a p ɡ ə ʔ ɔ ʁ d n ə t ɐ
abgesandte	a p ɡ ə z a n t ə
abgesandter	a p ɡ ə z a n t ɐ
abgesang	a p ɡ ə z a ŋ
abgeschiedenheit	ʔ a p ɡ ə ʃ iː d n̩ h a ɪ̯ t
abglanz	a p ɡ l a n t͡s
abgott	a p ɡ ɔ t
abgraben	ʔ a p ɡ ʁ aː b m̩
abgrenzung	a p ɡ ʁ ɛ n t s ʊ ŋ
abgrund	a p ɡ ʁ ʊ n t
abguss	a p ɡ ʊ s
abguß	a p ɡ ʊ s
abgänger	a p ɡ ɛ ŋ ɐ
abgötterei	a p ɡ œ t ə ʁ a ɪ̯
abhandlung	a p h a n d l ʊ ŋ
abhandlungen	a p h a n d l ʊ ŋ ə n
abheben	a p h eː b ə n
abheber	a p h eː b ɐ
abholen	a p h oː l ə n
abholung	a p h oː l ʊ ŋ
abholzung	a p h ɔ l t s ʊ ŋ
abhängigkeit	a p h ɛ ŋ ɪ ç k a ɪ̯ t
abhören	a p h øː r ə n
abhörer	a p h øː r ɐ
abhörgeräte	a p h øː ɐ̯ ɡ ə ʁ ɛː t ə
abhörgeräten	a p h øː ɐ̯ ɡ ə ʁ ɛː t n̩
abhörgerätes	a p h øː ɐ̯ ɡ ə ʁ ɛː t ə s
abhörgeräts	a p h øː ɐ̯ ɡ ə ʁ ɛː t͡s
abi	a b i
abisolierzange	a p ʔ i z o l iː ɐ̯ t͡s a ŋ ə
abiturient	a b i t u ʁ i̯ ɛ n t
abklingen	a p k l ɪ ŋ ə n
abklären	a p k l ɛː ɐ̯ n
abklärer	a p k l ɛː ʁ ɐ
abklärers	a p k l ɛː ʁ ɐ s
abklärung	ʔ a p k l eː ʁ ʊ ŋ
abkommen	ʔ a p k ɔ m ə n
abkunft	a p k ʊ n f t
abkupfern	a p k ʊ p͡f ɐ n
abkömmling	a p k œ m l ɪ ŋ
abkühlung	ʔ a p k yː l ʊ ŋ
abkürzung	a p k ʏ ʁ t s ʊ ŋ
abkürzungsdschungel	a p k ʏ ʁ t͡s ʊ ŋ s d͡ʒ ʊ ŋ ə l
abkürzungsverzeichnis	a p k ʏ ʁ t͡s ʊ ŋ s f ɛ ɐ̯ t͡s a ɪ̯ ç n ɪ s
abkürzungszeichen	a p k ʏ ʁ t͡s ʊ ŋ s t͡s a ɪ̯ ç ə n
abladeplätze	ʔ a p l aː d ə p l ɛ t s ə
ablage	a p l aː ɡ ə
ablagern	ʔ a p l aː ɡ ɐ n
ablaktation	a p l a k t a t͡s i̯ oː n
ablass	a p l a s
ablassbrief	a p l a s b ʁ iː f
ablativ	a p l a t iː f
ablaut	a p l a ʊ̯ t
ableger	a p l eː ɡ ɐ
ableismus	ɛ ɪ̯ b ə l ɪ s m ʊ s
ableitungsmorphem	a p l a ɪ̯ t ʊ ŋ s m ɔ ʁ f eː m
ablenkung	a p l ɛ ŋ k ʊ ŋ
ablenkungsmanöver	a p l ɛ ŋ k ʊ ŋ s m a n øː v ɐ
ablenkungstaktik	a p l ɛ ŋ k ʊ ŋ s t a k t ɪ k
ablichtung	a p l ɪ ç t ʊ ŋ
abluft	a p l ʊ f t
ablösung	a p l øː z ʊ ŋ
abmachung	a p m a χ ʊ ŋ
abmagerung	a p m aː ɡ ə ʁ ʊ ŋ
abmagerungskur	a p m aː ɡ ə ʁ ʊ ŋ s k uː ɐ̯
abmahnung	a p m aː n ʊ ŋ
abmarsch	ʔ a p m a ʁ ʃ
abmeldungen	a p m ɛ l d ʊ ŋ ə n
abmessen	ʔ a p m ɛ s ə n
abmessung	a p m ɛ s ʊ ŋ
abmähen	a p m ɛː ə n
abnagen	a p n aː ɡ n̩
abnager	a p n aː ɡ ɐ
abnahme	a p n aː m ə
abnehmer	a p n eː m ɐ
abneigung	ʔ a p n a ɪ̯ ɡ ʊ ŋ
abneigungen	ʔ a p n a ɪ̯ ɡ ʊ ŋ ə n
abnormität	a p n ɔ ʁ m i t ɛː t
abnutzen	ʔ a p n ʊ t s n̩
abnutzung	a p n ʊ t s ʊ ŋ
abnutzungskriegen	a p n ʊ t͡s ʊ ŋ s k ʁ iː ɡ n̩
abo	a b o
abordnung	a p ʔ ɔ ʁ t n ʊ ŋ
abort	a b ɔ ʁ t
abpfiff	ʔ a p p f ɪ f
abpfiffe	ʔ a p p f ɪ f ə
abpfiffes	ʔ a p p f ɪ f ə s
abpfiffs	ʔ a p p f ɪ f s
abpressen	a p p ʁ ɛ s ə n
abraham	aː b ʁ a h a m
abrasionsplatte	a p ʁ a z i̯ oː n s p l a t ə
abrechnung	a p ʁ ɛ ç n ʊ ŋ
abrede	ʔ a p ʁ eː d ə
abreise	ʔ a p ʀ a ɪ̯ z ə
abreisen	ʔ a p ʁ a ɪ̯ z n̩
abreißen	ʔ a p ʁ a ɪ̯ s n̩
abreißer	a p ʁ a ɪ̯ s ɐ
abreißers	a p ʁ a ɪ̯ s ɐ s
abringen	a p ʁ ɪ ŋ ə n
abrissbirne	a p ʁ ɪ s b ɪ ʁ n ə
abrissparty	a p r ɪ s p aː ɐ̯ t i
abrunden	a p r ʊ n d ə n
abruzzen	a b r ʊ t s ə n
abrüstung	a p ʁ ʏ s t ʊ ŋ
abrüstungskonferenz	a p ʁ ʏ s t ʊ ŋ s k ɔ n f e ʁ ɛ n t͡s
absage	a p s aː ɡ ə
absagen	a p z aː ɡ n̩
absatz	a p z a t͡s
absatzmarkt	a p z a t͡s m a ʁ k t
absatzspanne	a p z a t͡s ʃ p a n ə
absatztaktik	a p z a t͡s t a k t ɪ k
absatzzeichen	a p z a t s t s a ɪ̯ ç ə n
abschaben	a p ʃ aː b n̩
abschaffung	a p ʃ a f ʊ ŋ
abschaum	a p ʃ a ʊ̯ m
abscheu	ʔ a p ʃ ɔ ʏ̯
abscheulichkeit	ʔ a p ʃ ɔ ɪ̯ l ɪ ç k a ɪ̯ t
abschied	a p ʃ iː t
abschiedsfeier	a p ʃ iː t͡s f a ɪ̯ ɐ
abschiedskuss	a p ʃ iː t͡s k ʊ s
abschirmung	a p ʃ ɪ ʁ m ʊ ŋ
abschlachten	a p ʃ l a x t n̩
abschlag	a p ʃ l aː k
abschleifen	a p ʃ l a ɪ̯ f ə n
abschleppwagen	a p ʃ l ɛ p v aː ɡ ə n
abschließen	ʔ a p ʃ l iː s n̩
abschluss	a p ʃ l ʊ s
abschlussfeier	a p ʃ l ʊ s f a ɪ̯ ɐ
abschlussphase	a p ʃ l ʊ s f aː s ɛ
abschmelzung	a p ʃ m ɛ l t s ʊ ŋ
abschneider	a p ʃ n a ɪ̯ d ɐ
abschneiderin	a p ʃ n a ɪ̯ d ə ʁ ɪ n
abschneiders	a p ʃ n a ɪ̯ d ɐ s
abschneidung	a p ʃ n a ɪ̯ d ʊ ŋ
abschnitt	a p ʃ n ɪ t
abschnittsende	a p ʃ n ɪ t s ɛ n d ə
abschottung	a p ʃ ɔ t ʊ ŋ
abschreckung	a p ʃ ʁ ɛ k ʊ ŋ
abschreckungswaffen	a p ʃ ʁ ɛ k ʊ ŋ s v a f ə n
abschreibung	a p ʃ ʁ a ɪ̯ b ʊ ŋ
abschrift	a p ʃ ʁ ɪ f t
abschub	a p ʃ uː p
abschuften	a p ʃ ʊ f t ə n
abschuss	a p ʃ ʊ s
abschweifung	a p ʃ v a ɪ̯ f ʊ ŋ
abschwung	a p ʃ v ʊ ŋ
abschälen	a p ʃ ɛː l ə n
abschätzen	a p ʃ ɛ t s ə n
abschäumen	a p ʃ ɔ ɪ̯ m ə n
abseits	a p z a ɪ̯ t s
abseitsfalle	a p z a ɪ̯ t͡s f a l ə
abseitstor	a p z a ɪ̯ t͡s t oː ɐ̯
absence	a p s ãː s
absenden	a p z ɛ n d ə n
absender	a p z ɛ n d ɐ
absenderin	a p z ɛ n d ə ʁ ɪ n
absicherer	a p z ɪ ç ə ʁ ɐ
absicht	a p z ɪ ç t
absichtserklärung	a p z ɪ ç t͡s ʔ ɛ ɐ̯ k l ɛː ʁ ʊ ŋ
absiedeln	a p z iː d ə l n
absinth	a p z ɪ n t
absolutadjektiv	a p z o l uː t ʔ a t j ɛ k t iː f
absolutheit	a p z o l uː t h a ɪ̯ t
absolution	a p z̥ o l u t͡s i̯ oː n
absolventin	a p s ɔ l v ɛ n t ɪ n
absorption	a p z ɔ ʁ p t͡s i̯ oː n
absorptionsfähigkeit	a p z ɔ ʁ p t͡s i̯ oː n s f ɛː ɪ ç k a ɪ̯ t
abspann	a p ʃ p a n
absperrhahn	a p ʃ p ɛ r h aː n
abspielgeräten	a p ʃ p iː l ɡ ə ʁ ɛː t n̩
absprache	a p ʃ p ʁ aː x ə
abspringen	a p ʃ p ʁ ɪ ŋ ə n
abstammung	a p ʃ t a m ʊ ŋ
abstand	a p ʃ t a n t
abstatt	a p ʃ t a t
abstecher	a p ʃ t ɛ ç ɐ
absteige	a p ʃ t a ɪ̯ ɡ ə
absteiger	a p ʃ t a ɪ̯ ɡ ɐ
absteigerin	a p ʃ t a ɪ̯ ɡ ə ʁ ɪ n
absteigerinnen	a p ʃ t a ɪ̯ ɡ ə ʁ ɪ n ə n
abstellfläche	a p ʃ t ɛ l f l ɛ ç ə
abstellgleis	a p ʃ t ɛ l ɡ l a ɪ̯ s
abstieg	a p ʃ t iː k
abstimmung	ʔ a p ʃ t ɪ m ʊ ŋ
abstinenz	a p s t i n ɛ n t s
abstoßen	ʔ a p ʃ t oː s n̩
abstoßung	a p ʃ t oː s ʊ ŋ
abstrahlung	a p ʃ t ʁ aː l ʊ ŋ
abstrich	a p ʃ t ʁ ɪ ç
abstumpfung	a p ʃ t ʊ m p͡f ʊ ŋ
absturz	a p ʃ t ʊ ʁ t s
absucher	ʔ a p z uː x ɐ
absuchers	ʔ a p z uː x ɐ s
absurdistan	a p z ʊ ʁ d ɪ s t aː n
absurdität	a p z ʊ ʁ d i t ɛː t
absägen	a p z eː ɡ n̩
abt	a p t
abtausch	a p t a ʊ̯ ʃ
abtei	a p t a ɪ̯
abteikirche	a p t a ɪ̯ k ɪ ʁ ç ə
abteikirchen	a p t a ɪ̯ k ɪ ʁ ç ə n
abteil	a p t a ɪ̯ l
abteilung	a p t a ɪ̯ l ʊ ŋ
abtragung	a p t ʁ aː ɡ ʊ ŋ
abtreibung	a p t ʁ a ɪ̯ b ʊ ŋ
abtreibungsbefürworter	a p t ʁ a ɪ̯ b ʊ ŋ s b ə f yː ɐ̯ v ɔ ʁ t ɐ
abtreibungsbefürwortern	a p t ʀ a ɪ̯ b ʊ ŋ s b ə f yː ɐ̯ v ɔ ʁ t n
abtreibungsgegner	a p t ʁ a ɪ̯ b ʊ ŋ s ɡ eː ɡ n ɐ
abtrennung	a p t ʁ ɛ n ʊ ŋ
abtritt	a p t ʁ ɪ t
abtropfsiebe	a p t ʁ ɔ p͡f̩ z iː b ə
abtropfsiebes	a p t ʁ ɔ p͡f̩ z iː b ə s
abtropfsiebs	a p t ʁ ɔ p͡f̩ z iː p s
abtönung	a p t øː n ʊ ŋ
abtönungspartikel	a p t øː n ʊ ŋ s p a ʁ t ɪ k l̩
abtötung	a p t øː t ʊ ŋ
abulie	a b u l iː
abwahl	a p v aː l
abwanderung	a p v a n d ə ʁ ʊ ŋ
abwandlung	a p v a n d l ʊ ŋ
abwart	a p v a ʁ t
abwasch	a p v a ʃ
abwasser	a p v a s ə ʁ
abwasserkanal	a p v a s ɐ k a n aː l
abwasserreinigung	a p v a s ɐ ʁ a ɪ̯ n ɪ ɡ ʊ ŋ
abwechslung	a p v ɛ k s l ʊ ŋ
abwehrmechanismus	a p v eː ɐ̯ m e ç a n ɪ s m ʊ s
abwehrspieler	a p v ɛ ɐ̯ ʃ p iː l ɐ
abwehrspielerin	a p v ɛ ɐ̯ ʃ p iː l ə ʁ ɪ n
abweichen	a p v a ɪ̯ ç n̩
abweicher	a p v a ɪ ç ɐ
abweicherin	a p v a ɪ ç ə ʁ ɪ n
abweicherinnen	a p v a ɪ ç ə ʁ ɪ n ə n
abweichers	a p v a ɪ ç ɐ s
abweichler	a p v a ɪ̯ ç l ɐ
abweichlerin	a p v a ɪ̯ ç l ə ʁ ɪ n
abweichung	a p v a ɪ̯ ç ʊ ŋ
abwertung	a p v eː ɐ̯ t ʊ ŋ
abwracken	a p v ʁ a k ə n
abwrackprämie	a p v ʁ a k p ʁ ɛː m i̯ ə
abwurf	a p v ʊ ʁ f
abwurfes	a p v ʊ ʁ f ə s
abwurfs	a p v ʊ ʁ f s
abwägen	a p v eː ɡ n̩
abwürfe	a p v ʏ ʁ f ə
abwürgen	a p v ʏ r ɡ ə n
abwürger	a p v ʏ r ɡ ɐ
abzeichen	a p t s a ɪ̯ ç ə n
abzeichnen	ʔ a p t͡s a ɪ̯ ç n ə n
abzieher	a p t͡s iː ɐ
abziehung	a p t s iː ʊ ŋ
abzocke	a p t͡s ɔ k ə
abzug	a p t͡s uː k
abzweigung	a p t͡s v a ɪ ɡ ʊ ŋ
abzwicken	a p t͡s v ɪ k n̩
abzählreim	a p t͡s eː l ʁ a ɪ̯ m
abänderer	a p ɛ n d ɐ ʁ ɐ
abändern	a p ɛ n d ɐ n
abänderung	ʔ a p ʔ ɛ n d ə ʁ ʊ ŋ
abänderungen	ʔ a p ʔ ɛ n d ə ʁ ʊ ŋ ə n
abänderungsantrag	a p ɛ n d ə r ʊ ŋ s a n t r aː k
abänderungsvorschlag	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l aː k
abänderungsvorschlages	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l aː ɡ ə s
abänderungsvorschlags	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l aː k s
abänderungsvorschläge	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l ɛː ɡ ə
acai	a s a iː
accessoire	a k s ɛ s u̯ aː ʁ
account	a k a ʊ̯ n t
accum	a k ʊ m
acetaldehyd	a t s eː t ʔ a l d ə h ʏ t
acetylgruppen	a t͡s e t y l ɡ ʁ ʊ p ə n
acetylsalicylsäure	a t s e t yː l z a l i t s yː l z ɔ ʏ̯ ʁ ə
ach	a x
achaier	a ç aː ɪ ɐ
achatschnecke	a x aː t ʃ n ɛ k ə
achern	a x ɐ n
achillesferse	a x ɪ l ə s f ɛ r z ə
achillessehne	a x ɪ l ɛ s z eː n ə
achim	a x iː m
achsel	a k s ə l
achselhöhle	a k s ə l h øː l ə
achselklappe	a k s ə l k l a p ə
achselstück	a k s ə l ʃ t ʏ k
achselzucken	a k s l̩ t͡s ʊ k n̩
achsenmacht	a k s n̩ m a x t
achsenzeit	a k s n̩ t͡s a ɪ̯ t
acht	a x t
achtbarkeit	a χ t b aː ɐ̯ k a ɪ̯ t
achteck	a x t ɛ k
achteckpyramide	a x t ɛ k p y ʁ a m iː d ə
achteckpyramiden	a x t ɛ k p y ʁ a m iː d ə n
achtel	a x t ə l
achtelnote	a x t l̩ n oː t ə
achter	a x t ɐ
achterbahn	ʔ a x t ɐ b aː n
achterbahnen	ʔ a x t ɐ b aː n ə n
achterl	a x t ɛ ʁ l
achterschiff	a x t ɐ ʃ ɪ f
achterteil	a x t ə ʁ t a ɪ̯ l
achtflächner	a x t f l ɛ ç n ɐ
achtkampf	a x t k a m p͡f
achtsamkeit	a χ t z aː m k a ɪ̯ t
achttausendstel	ɑ x t t a ʊ z n̩ t͡s t ɮ̩
achtunddreißig	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç
achtunddreißigstel	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə l
achtunddreißigstels	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə l s
achtundvierzig	a x t ʊ n t f ɪ ʁ t͡s ɪ ç
achtundvierzigeck	a x t ʊ n t f ɪ ʁ t͡s ɪ ç ɛ k
achtundvierzigecke	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k ə
achtundvierzigeckes	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k ə s
achtundvierzigecks	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k s
achtundvierzigjährige	a x t ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ɡ ə
achtundvierzigjähriger	a x t ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ɡ ɐ
achtundvierzigstel	a x t ʊ n t f ɪ ʁ t͡s ɪ ç s t ə l
achtundvierzigstels	a x t ʊ n t f ɪ ʁ t͡s ɪ ç s t ə l s
achtundzwanzig	a x t ʊ n t t͡s v a n t͡s ɪ ç
achtundzwanzigecke	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k ə
achtundzwanzigeckes	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k ə s
achtundzwanzigecks	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k s
achtundzwanzigstel	a x t ʊ n t t͡s v a n t͡s ɪ ç s t ə l
achtundzwanzigstels	a x t ʊ n t t͡s v a n t͡s ɪ ç s t ə l s
achtungserfolg	a x t ʊ ŋ s ɛ r f ɔ l k
achtzehn	a x t͡s eː n
achtzehneck	a x t s eː n ɛ k
achtzehnecke	a x t s eː n ɛ k ə
achtzehneckes	a x t s eː n ɛ k ə s
achtzehnecks	a x t s eː n ɛ k s
achtzehntel	a x t͡s eː n t ə l
achtzehntels	a x t͡s eː n t ə l s
achtzig	a x t͡s ɪ k
achtzigeck	a x t s ɪ ç ɛ k
achtzigecke	a x t s ɪ ç ɛ k ə
achtzigeckes	a x t s ɪ ç ɛ k ə s
achtzigecks	a x t s ɪ ç ɛ k s
achtzigtausendstel	ɑ x t s ɪ ç t a ʊ z n̩ t͡s t ɮ̩
acidität	a t s i d i t ɛː t
acker	ʔ a k ɐ
ackermann	a k ɐ m a n
acryl	a k ʁ yː l
acrylfarbe	a k ʁ yː l f a ʁ b ə
acrylglas	a k ʁ yː l ɡ l aː s
action	ɛ k t ʃ ə n
actioncomic	ɛ k t͡ʃ n̩ k ɔ m ɪ k
actionfilm	ɛ k t͡ʃ n̩ f ɪ l m
adabei	aː d a b a ɪ̯
adalbert	aː d a l b ɛ ʁ t
adam	aː d a m
adamec	a d a m ɛ t͡s
adametz	a d a m ɛ t͡s
adaption	a d a p t͡s i̯ oː n
additiv	a d i t iː f
adebar	aː d ə b aː ɐ̯
adelbert	aː d l̩ b ɛ ʁ t
adele	a d eː l ə
adelsbezeichnung	aː d l̩ s b ə t͡s a ɪ̯ ç n ʊ ŋ
adelsbezeichnungen	aː d l̩ s b ə t͡s a ɪ̯ ç n ʊ ŋ ə n
adelsgeschlecht	ʔ aː d l̩ ɡ ə ʃ l ɛ ç t
adelsheim	aː d l̩ s h a ɪ̯ m
adelsname	aː d ə l s n aː m ə
adelsprädikat	aː d l̩ s p ʁ ɛ d i k aː t
adelsstand	aː d l̩ s ʃ t a n t
adelung	aː d ə l ʊ ŋ
adelungen	aː d ə l ʊ ŋ ə n
adenin	a d e n iː n
adenom	a d e n oː m
adenosintriphosphat	a d e n o z iː n t ʁ iː f ɔ s f aː t
ader	ʔ aː d ɐ
aderhaut	aː d ɐ h a u t
aderlass	aː d ɐ l a s
adern	ʔ aː d ɐ n
adhäsion	a t h ɛ z ɪ̯ oː n
adidas	a d i d a s
adieu	a d j øː
adilette	a d i l ɛ t ə
adjektiv	a d j ɛ k t iː f
adjektive	a t j ɛ k t iː v ə
adjunkt	a t j ʊ n k t
adjunktor	a t j ʊ ŋ k t oː ɐ̯
adjutant	a d j u t a n t
adlatus	a d l aː t ʊ s
adler	aː d l ə r
