'ch	χ
adweitheg	a d w e i̯ θ ɛ ɡ
adweithegwyr	a d w e i̯ θ ɛ ɡ w ɪ r
adweithegydd	a d w e i̯ θ eː ɡ ɪ ð
adweithio	a d w e i̯ θ j ɔ
adweithiol	a d w e i̯ θ j ɔ l
adweithiwr	a d w e i̯ θ j ʊ r
adweithydd	a d w e i̯ θ ɪ ð
adwen	a d w ɛ n
adwthio	a d ʊ θ j ɔ
adwy	a d ʊ i̯
adwyth	a d ʊ i̯ θ
adwythig	a d ʊ i̯ θ ɪ ɡ
adyn	a d ɪ n
aeaf	e i̯ a
aech	a i̯ χ
aed	a i̯ d
aeddan	e i̯ ð a n
aeddfed	e i̯ ð v ɛ d
aeddfedrwydd	e i̯ ð v ɛ d r ʊ i̯ ð
aeddfedu	e i̯ ð v eː d i
aeddon	e i̯ ð ɔ n
ael	a i̯ l
aelan	e i̯ l a n
aelddu	e i̯ l ð i
aeled	e i̯ l ɛ d
aeledau	e i̯ l eː d ɛ
aeliau	e i̯ l j a i̯
aeliog	e i̯ l j ɔ ɡ
aelod	e i̯ l ɔ d
aelodaeth	e i̯ l oː d a i̯ θ
aelodaethau	e i̯ l ɔ d e i̯ θ a i̯
aelodau	e i̯ l oː d a i̯
aelodi	e i̯ l oː d i
aelwen	e i̯ l w ɛ n
aelwyd	e i̯ l ʊ i̯ d
aelwydydd	e i̯ l ʊ i̯ d ɪ ð
aelwyn	e i̯ l w ɪ n
aem	a i̯ m
aen	a i̯ n
aent	a i̯ n t
aer	a i̯ r
aeres	e i̯ r ɛ s
aerfen	e i̯ r v ɛ n
aerio	e i̯ r j ɔ
aerobeg	e i̯ r oː b ɛ ɡ
aerobig	e i̯ r oː b ɪ ɡ
aerofod	a i̯ r oː v ɔ d
aeron	e i̯ r ɔ n
aerona	e i̯ r oː n a
aeronen	e i̯ r oː n ɛ n
aeronog	e i̯ r oː n ɔ ɡ
aeronwen	e i̯ r ɔ n
aeronwy	e i̯ r ɔ n ʊ i̯
aerwy	e i̯ r ʊ i̯
aet	a i̯ t
aeth	a i̯ θ
aethai	e i̯ θ a i̯
aethant	e i̯ θ a n t
aethech	e i̯ θ ɛ χ
aethem	e i̯ θ ɛ m
aethent	e i̯ θ ɛ n t
aethid	e i̯ θ ɪ d
aethit	e i̯ θ ɪ t
aethnen	e i̯ θ n ɛ n
aethnenni	e i̯ θ n ɛ n i
aethoch	e i̯ θ ɔ χ
aethom	e i̯ θ ɔ m
aethon	e i̯ θ ɔ n
aethont	e i̯ θ ɔ n t
aethost	e i̯ θ ɔ s d
aethpwyd	e i̯ θ p ʊ i̯ d
aethus	e i̯ θ ɪ s
aethwn	e i̯ θ ʊ n
aethwy	e i̯ θ ʊ i̯
aets	a i̯ t s
aetsh	a i̯ t ʃ
aetshys	e i̯ t ʃ ɪ z
af	aː
afal	a v a l
afalau	a v a l a i̯
afalbren	a v a b r ɛ n
afaleua	a v a l e i̯ a
afallen	a v a ɬ ɛ n
afallennau	a v a ɬ ɛ n a i̯
afallon	a v a ɬ ɔ n
afan	a v a n
afanc	a v a ŋ k
afancod	a v a ŋ k ɔ d
afanen	a v a n ɛ n
affaith	a f a i̯ θ
affeithiad	a f e i̯ θ j a d
affeithio	a f e i̯ θ j ɔ
affelion	a f ɛ l j ɔ n
affer	k a f ɛ r
affganistan	a f ɡ a n ɪ s d a n
afflau	a f l a i̯
affliw	a f l ɪ u̯
affrica	a f r ɪ k a
affrig	a f r ɪ ɡ
affwys	a f ʊ i̯ s
affwysau	a f ʊ i̯ s a i̯
affwysedd	a f ʊ i̯ s ɛ ð
affwysol	a f ʊ i̯ s ɔ l
afiach	a v j a χ
afiaith	a v j a i̯ θ
afiechyd	a v j eː χ ɪ d
afiechydon	a v j ɛ χ ə d ɔ n
aflafar	a v l a v a r
aflan	a v l a n
aflednais	a v l ɛ d n a i̯ s
aflendid	a v l ɛ n d ɪ d
afleoli	a v l ɛ oː l i
aflerwch	a v l eː r ʊ χ
afles	a v l ɛ s
aflesol	a v l ɛ s ɔ l
aflonydd	a v l oː n ɪ ð
aflonyddiad	a v l ɔ n ə ð j a d
aflonyddu	a v l ɔ n ə ð i
aflonyddwch	a v l ɔ n ə ð ʊ χ
aflonyddwr	a v l ɔ n ə ð ʊ r
afloyw	a v l ɔ i̯ u
afloywder	a v l ɔ i̯ w d ɛ r
aflun	a v l ɪ n
afluniaidd	a v l ɨ̞ n j a i̯ ð
afluniedig	a v l ɪ n j eː d ɪ ɡ
aflunio	a v l ɪ n j ɔ
aflwydd	a v l ʊ i̯ ð
aflwyddiannus	a v l ʊ i̯ ð j a n ɪ s
aflwyddiant	a v l ʊ i̯ ð j a n t
aflwyddo	a v l ʊ i̯ ð ɔ
aflym	a v l ɪ m
aflywodraeth	a v l ə w ɔ d r a i̯ θ
aflywodraethol	a v l ə w ɔ d r e i̯ θ ɔ l
aflywodraethu	a v l ə w ɔ d r e i̯ θ i
aflywodraethus	a v l ə w ɔ d r e i̯ θ ɪ s
aflêr	a v l eː r
afocado	a v ɔ k a d ɔ
afocados	a v ɔ k a d ɔ z
afon	a v ɔ n
afondaith	a v ɔ n d a i̯ θ
afondeithiau	a v ɔ n d e i̯ θ j a i̯
afonfarch	a v ɔ n v a r χ
afonfeirch	a v ɔ n v e i̯ r χ
afonig	a v oː n ɪ ɡ
afonol	a v oː n ɔ l
afonwy	a v ɔ n ʊ i̯
afonydd	a v oː n ɪ ð
afr	a v a r
afradlon	a v r a d l ɔ n
afradlonedd	a v r a d l oː ɛ ð
afradloni	a v r a d l oː n i
afradu	a v r a d i
afraid	a v r a i̯ d
afreidiau	a v r e i̯ d j a i̯
afreidiol	a v r e i̯ d j ɔ l
afreol	a v r̥ eː ɔ l
afreolaeth	a v r ɛ oː l a i̯ θ
afreolaidd	a v r ɛ oː l a i̯ ð
afreolusrwydd	a v r ɛ ɔ l ɪ s r ʊ i̯ ð
afresymol	a v r ɛ s ə m ɔ l
afresymoldeb	a v r ɛ s ə m ɔ l d ɛ b
afrifed	a v r iː v ɛ d
afrllad	a v r ɬ a d
afrosgo	a v r ɔ s ɡ o
afrwydd	a v r ʊ i̯ ð
afrytel	a v r ə t ɛ l
afu	a v i
afuad	a v iː a d
afuau	a v iː a i̯
afwyn	a v ʊ i̯ n
ag	a ɡ
agen	a ɡ ɛ n
agendor	a ɡ ɛ n d ɔ r
agennog	a ɡ ɛ n ɔ ɡ
agennol	a ɡ ɛ n ɔ l
ager	a ɡ ɛ r
agerau	a ɡ eː r a i̯
agerdd	a ɡ ɛ r ð
agerddlong	a ɡ ɛ r ð l ɔ ŋ
agerfad	a ɡ ɛ r v a d
agerforthwyl	a ɡ ɛ r v ɔ r θ u i̯ l
agerlong	a ɡ ɛ r l ɔ ŋ
agerlongau	a ɡ ɛ r l ɔ ŋ a i̯
agerstalwm	a ɡ ɛ r s t a l u m
ageru	a ɡ eː r i
agnes	a ɡ n ɪ s
agnest	a ɡ n ɛ s t
agor	a ɡ ɔ r
agora	a ɡ oː r a
agoraf	a ɡ oː r a
agorai	a ɡ oː r a i̯
agorawd	a ɡ oː r a u̯ d
agored	a ɡ oː r ɛ d
agoret	a ɡ oː r ɛ t
agorfa	a ɡ ɔ r v a
agori	a ɡ oː r i
agoriad	a ɡ ɔ r j a d
agoriadol	a ɡ ɔ r j a d ɔ l
agorwr	a ɡ oː r ʊ r
agorwyr	a ɡ ɔ r w ɪ r
agorydd	a ɡ oː r ɪ ð
agos	a ɡ ɔ s
agosach	a ɡ ɔ s a χ
agosatrwydd	a ɡ ɔ s a t r ʊ i̯ ð
agosrwydd	a ɡ ɔ s r ʊ i̯ ð
agosáu	a ɡ ɔ s a i̯
agwedd	a ɡ w ɛ ð
agweddi	a ɡ w eː ð i
agweddïau	a ɡ w ɛ ð iː a i̯
ai	a i̯
aidan	e i̯ d ə n
aidd	a i̯ ð
aiden	e i̯ d ə n
aiff	a i̯ f
aifft	a i̯ f d
ail	a i̯ l
ailadeiladu	a i̯ l a d e i̯ l a d i
ailadrodd	a i̯ l a d r ɔ ð
ailbeintio	a i̯ l b e i̯ n t j ɔ
ailddodi	a i̯ l ð oː d i
aildoddi	a i̯ l d oː ð i
aildrefnu	a i̯ l d r e v n i
aildyfu	a i̯ l d ə v i
ailenedigaeth	a i̯ l ɛ n ɛ d iː ɡ a i̯ θ
ailfeddiannu	a i̯ l v ɛ ð j a n i
ailffurfio	a i̯ l f ɪ r v j ɔ
ailfodelu	a i̯ l v ɔ d eː l i
ailgodi	a i̯ l ɡ oː d i
ailgyfeiria	a i̯ l ɡ ə v e i̯ r j a
ailgyfeiriaf	a i̯ l ɡ ə v e i̯ r j a
ailgyfeirio	a i̯ l ɡ ə v e i̯ r j ɔ
ailgyflenwad	a i̯ l ɡ ə v l ɛ n w a d
ailgyflenwi	a i̯ l ɡ ə v l ɛ n w i
ailgyflwyno	a i̯ l ɡ ə v l ʊ i̯ n ɔ
ailgyfuniad	a i̯ l ɡ ə v ɪ n j a d
ailgyfuno	a i̯ l ɡ ə v iː n ɔ
ailgylchu	a i̯ l ɡ ə l χ i
ailgynefino	a i̯ l ɡ ə n ɛ v ɪ n ɔ
aillt	a i̯ ɬ d
ailosod	a i̯ l ɔ s ɔ d
ailsefydlu	a i̯ l s ɛ v ə d l ɨ
ailymgnawdoliad	a ɪ l ə m ɡ n a ʊ d ɔ l j a d
ailystyriaeth	a i̯ l ə s d ə r j a i̯ θ
ailystyried	a i̯ l ə s d ə r j ɛ d
air	a i̯ r
ais	a i̯ s
ait	a i̯ t
aitsh	a i̯ t ʃ
alaeth	a l a i̯ θ
alaethus	a l e i̯ θ ɪ s
alan	a l a n
alana	a l a n a
alannon	a l a n ɔ n
alar	a l a r
alarch	a l a r χ
alaw	a l a u̯
alawn	a l a u̯ n
alban	a l b a n
albanau	a l b a n a i̯
albaneg	a l b a n ɛ ɡ
albania	a l b a n j a
albaniad	a l b a n j a d
albanwr	a l b aː n ʊ r
albwm	a l b ʊ m
alcali	a l k a l i
alcalïaidd	a l k a l i a i̯ ð
alcemeg	a l k ɛ m ɛ ɡ
alcohol	a l k ɔ h ɔ l
alcoholaidd	a l k ɔ h ɔ l a i̯ ð
alcoholig	a l k ɔ h ɔ l i ɡ
alcwyn	a l k ʊ i̯ n
aldith	a l d ɪ θ
aldramon	a l d r a m ɔ n
aldrydd	a l d r ə ð
aldwyn	a l d ʊ i̯ n
aldwyth	a l d ʊ i̯ θ
aldyth	a l d ɪ θ
alec	a l ɪ k
aled	a l ɛ d
aleff	a l ɛ f
alfarch	a l v a r χ
algeria	a l d͡ʒ iː r j a
alis	a l ɪ s
all	a ɬ
alla	a ɬ a
allaf	a ɬ a v
allai	a ɬ a i̯
allan	a ɬ a n
allanadlu	a ɬ a n a d l i
allanfa	a ɬ a n v a
allaniad	a ɬ a n j a d
allanol	a ɬ a n ɔ l
allant	a ɬ a n t
allblyg	a ɬ b l ɪ ɡ
allen	a ɬ ɛ n
aller	a ɬ ɛ r
allforiad	a ɬ v ɔ r j a d
allforiadwy	a ɬ v ɔ r j a d ʊ i̯
allforio	a ɬ v ɔ r j ɔ
allforion	a ɬ v ɔ r j ɔ n
allforiwr	a ɬ v ɔ r j ʊ r
allforol	a ɬ v oː r ɔ l
allforwyr	a ɬ v ɔ r w ɪ r
allforyn	a ɬ v oː r ɪ n
allfudiad	a ɬ v ɪ d j a d
allfudo	a ɬ v iː d ɔ
allglofan	a ɬ ɡ l oː v a n
allgludiad	a ɬ ɡ l ɪ d j a d
allgludo	a ɬ ɡ l iː d ɔ
allgofnodi	a ɬ ɡ ɔ v n oː d i
alli	a ɬ i
allo	a ɬ ɔ
allor	a ɬ ɔ r
allorwas	a ɬ ɔ r w a s
allosod	a ɬ ɔ s ɔ d
allt	a ɬ d
alltraw	a ɬ t r a u̯
alltro	a ɬ d r ɔ
alltroëdig	a ɬ t r ɔ eː d ɪ ɡ
alltud	a ɬ d ɪ d
alltudiad	a ɬ d ɪ d j a d
alltudiaeth	a ɬ t ɪ d j a i̯ θ
alltudio	a ɬ t ɪ d j ɔ
alltwen	a ɬ t w ɛ n
allwedd	a ɬ w ɛ ð
allweddell	a ɬ w eː ð ɛ ɬ
allweddellau	a ɬ w ɛ ð ɛ ɬ a i̯
allwthio	a ɬ ʊ θ j ɔ
allwyd	a ɬ ʊ i̯ d
allyrru	a ɬ ə r i
almaen	a l m a i̯ n
almaeneg	a l m e i̯ n ɛ ɡ
almaenes	a l m e i̯ n ɛ s
almaenwr	a l m e i̯ n ʊ r
almanac	a l m a n a k
almanaciau	a l m a n a k j a i̯
almon	a l m ɔ n
almonau	a l m oː n a i̯
aloi	a l o i̯
alon	a l ɔ n
alpaidd	a l p a i̯ ð
alpau	a l p a i̯
altro	a l t r ɔ
alun	a l ɪ n
aluna	a l ɪ n a
alwen	a l w ɛ n
alwena	a l w ɛ n a
alwina	a l w ɪ n a
alwminiwm	a l ʊ m ɪ n j ʊ m
alwyn	a l ʊ i̯ n
alys	a l ɪ s
am	a m
amaethyddiaeth	a m e i̯ θ ə ð j a i̯ θ
aman	a m a n
amanita	a m a n ɪ t a
amanwy	a m a n ʊ i̯
amarch	a m a r χ
amau	a m a
ambell	a m b ɛ ɬ
ambeutu	a m b e i̯ t i
ambiti	a m b ɪ t i
ambiwlans	a m b ɪ u̯ l a n s
ambiwlansys	a m b ɪ u̯ l a n s ɪ z
amcan	a m k a n
amcangyfrif	a m k a ŋ ɡ ə v r i
amcangyfrifon	a m k a ŋ ɡ ə v r iː v ɔ n
amcanion	a m k a n j ɔ n
amcanu	a m k a n i
