aa	ɑː
bruada	b̥ r u ɐ̯ d̥ ɐ
bruck	b̥ r u k
bruckn	b̥ r u k x ŋ̩
brunzln	b̥ r u n t͡s l̩ n
brunzn	b̥ r u n d̥ː s n̩
brånd	b̥ r ɒ̃ː n d̥
bschäftign	b̥ ʃ e̞ f d̥ i ɡ̥ ŋ̩
bsteck	b̥ ʃ d̥ e ɡ̥
bsuach	b̥ s u ɐ̯ x
bsuachn	b̥ s u ɐ̯ x ŋ
bsuacht	b̥ s u ɐ̯ x d̥
bsuf	b̥ s uː f
bsuffa	p s u fː ɐ
bsunder	b̥ s u n d̥ ɐ
bsunders	b̥ s u n d̥ ɐ s
bua	b̥ u ɐ̯
buach	b̥ u ɐ̯ x
buam	b̥ u ɐ̯ m
buama	b̥ u ɐ̯ m ɐ
buchsn	b̥ u ɡ̥ s n̩
buidl	b̥ u i̯ d̥ l̩
burgamoasta	b u ɐ̯ ɡ̊ ɐ m o ɐ̯ sː d̥ ɐ
burgermaster	b̥ u ɐ̯ ɡ̥ ɐ m ɑː s d̥ ɐ
bursch	b̥ u ɐ̯ ʃ
burtståg	b̥ u ɐ̯ d̥ s d̥ ɔ ɡ̥
burzltåg	b̥ u ɐ̯ d̥ s l̩ d̥ ɔ ɡ̥
buserer	b̥ u s ɐ r ɐ
butta	b u t a
buxn	b̥ u ɡ̥ s n̩
bweis	b̥ v æː s
båcha	b̥ ɒː x ɐ
båchn	b̥ ɔ x ŋ̩
båd	b̥ ɔː d̥
båhn	b̥ ɒ̃ː n
båmstig	b̥ ɒ̃ m s d̥ ɪ ɡ̥
bånd	b̥ ɒ̃ː n d̥
bånk	b̥ ɒ̃ː ŋ k
bånkert	b̥ ɒ̃ ŋ ɡ̥ ɐ d̥
bårt	b̥ ɔ ɐ̯ d̥
böckln	b̥ e̞ ɡ̥ː l̩ n
böcklt	b̥ ɛ ɡ̥ l d̥
büd	b̥ yː d̥
büllich	b̥ y l i ç
büllichsduafer	b̥ y l i ç s d̥ u ɐ f ɐ
büsln	b̥ yː s l̩ n
d'ehre	d̥ e ɐ̯ r ɛ
daad	d̥ aː d̥
daaß	d̥ aː s
dackn	d̥ ɑ ɡ̥ː ɴ̩
dad	d̥ aː d̥
daham	d̥ ɑ h ɑː m
dahoam	d̥ ɑ h ɔ ɐ̯ m
dam	d̥ ɑː m
damenradl	d̥ ɑː m ɐ n r ɑː d̥ l̩
damisch	d̥ ɑˑ m i ʃ
daubn	d̥ a u̯ m
dauna	d̥ ɑ ɔ̯ n ɐ
daune	d̥ ɑ ɔ̯ n ɛ
dauni	d̥ ɑ ɔ̯ n i
dawei	d̥ ɐ v ɑ ɛ̯
dawäu	d̥ ɐ v ɶː
daß	d̥ aː s
deafn	d̥ e̞ ɐ̯ f n̩
deansdåg	d̥ ɛ ɐ̯ n s d̥ ɔ ɡ̥
dearisch	d̥ ɛ r i ʃ
dei	d̥ æː
deife	d̥ a ɛ̯ f ɛ
deiner	d̥ æː n ɐ
deitn	d̥ æː d̥ː n̩
deitsch	d̥ a i̯ t͡ʃ
deitschland	d̥ a i̯ t͡ʃ l ɒ n d̥
della	d̥ ɛ l ɐ
denkn	d̥ e ŋ ɡ̥ː ŋ
denkt	d̥ e ŋ ɡ̥ː d̥
deppert	d̥ ɛ b̥ː ɐ d̥
derfa	d̥ e ɐ̯ fː ɐ
derfn	d̥ e ɐ̯ fː ɱ̩
derglengan	d̥ ɐ ɡ̥ l e̞ ŋ ɐ n
derisch	d̥ ɛ r i ʃ
derstessn	d̥ ɐ ʃ d̥ ɛ sː n̩
derwischn	d̥ ɐ v i ʃ n̩
derwoatn	d̥ ɐ v ɔ ɐ̯ d̥ n̩
derzöhn	d ɐ d̥ s œː n
des	d eː s
deschek	d̥ e̞ ʃ e̞ k
dia	d̥ iː ɐ̯
diafn	d̥ i ɐ̯ f n̩
dichter	d i ç t a
diensdåg	d̥ i n s d̥ ɔ ɡ̥
dillo	d̥ ɪ l o
disch	d̥ i ʃː
do	d̥ oː
doa	d̥ o ɐ̯
dodl	d̥ oː d l̩
dodln	d̥ oː d l̩ n
dokta	d̥ o k t ɐ
dort	d̥ o r t
dortn	d̥ ɔ ɐ d̥ː n̩
dou	d̥ ɔ u̯
drahn	d̥ r aː n
dram	d̥ r aː m
dramhappert	d̥ r ɑː m h ɑ b̥ː ɐ t
dramma	d̥ r a m ɐ
draußt	d̥ r ɒː s t
dreckert	d̥ r e̞ ɡ̥ː ɐ d̥
dreg	d̥ r eː ɡ̊
drei	d̥ r æː
dreier	d̥ r æː ɐ
dreiradl	d̥ r æː r ɑː d̥ l̩
dringa	d̥ r i ŋ ɐ
drobn	d̥ r oː m
druckn	d̥ r u ɡ̥ː ŋ̩
duaf	d̥ u ɐ f
duart	d̥ u ɐ̯ t
duatn	d̥ ʊ ɐ d̥ː n̩
dumper	d̥ u m b̥ː ɐ
dunnersdåg	d̥ u n ɐ s d̥ ɔ ɡ̥
durscht	d̥ u ɐ̯ ʃ d̥
durtn	d̥ ʊ ɐ d̥ː n̩
då	d̥ ɔː
dåch	d̥ ɔ χ
dåg	d̥ ɔː ɡ̊
dåmpf	d̥ ɒ̃ m b̥ f
dåmpfnudl	d̥ ɔ m b̥ f n u d l̩
dånk	d̥ ɒ̃ ŋ k
dånkn	d̥ ɒ̃ ŋ ɡ̥ ɴ̩
dånkschee	d̥ ɒ̃ ŋ ɡ̥ ʃ eː
dåss	d ɔ s
eahm	e ɐ̯ m
eahna	e ɐ̯ n ɐ
eck	e̞ ɡ̥ː
eckn	e̞ ɡ̥ː ŋ
eich	a i̯ ç
eidruck	æː d̥ r u ɡ̥ː
eier	a ɛ̯ ɐ
eierschas	æː ɐ ʃ ɑː s
eierschwammerl	ɑ ɛ̯ ɐ ʃ v ɑ m ɐ l
eierspeis	æː ɐ ʃ b̥ æː s
eifoarn	æː f ɔ ɐ n
eifühn	æː f yː n
eifün	æː f yː n
eina	a i̯ n ɐ
einahn	a ɛ̯ n ɑː n
eine	a ɛ̯ n ɛ
einedrahn	æː n ɛ d̥ r ɑː n
einedrahrer	æː n ɛ d̥ r ɑː r ɐ
einfoarn	æː f ɔ ɐ n
eini	a i̯ n i
eireißn	a ɛ̯ r a ɛ̯ s n̩
eischlåfn	æː ʃ l ɔ f ɱ̩
eisoizn	æː s ɔ e̯ d̥ s n̩
ejf	ɛ e f
ellabogn	e̞ l ɐ b̥ o̞ː ŋ
enk	e ŋ k
enterisch	e̞ n d̥ː ɐ r i ʃ
entrisch	e̞ n d̥ː r i ʃ
entsoizn	e n d̥ s ɔ e̯ d̥ s n̩
epfe	e̞ b̥ː f œ
er	e ɐ̯
erd	e̞ ɐ̯ d̥
erdepfe	e̞ ɐ d̥ e̞ b̥ː f œ
erdn	e̞ ɐ̯ d̥ n̩
erdåpfe	e̞ ɐ d̥ ɔ b̥ː f œ
erfün	ɛ ɐ̯ f yː n
erzherzog	eː ɐ̯ t͡s h eː ɐ̯ t͡s ɔ k
esl	eː s l̩
essn	e sː n̩
estareich	e s d̥ ɐ r a i̯ ç
eß	e s
fad	f ɑː d̥
famülie	f ɑ m y l j ɛ
feier	f æː ɐ
feitl	f a ɛ̯ d̥ l̩
ferschn	f e̞ ɐ̯ ʃ n̩
fetzn	f e̞ˑ d̥ s n̩
fetznschedl	f e t͡s n̩ ʃ eː d l̩
fia	f i ɐ̯
fiachtn	f i ɐ x d̥ n̩
fiara	f iː ɐ̯ r ɐ
fiare	f iː ɐ̯ r ɛ
fiari	f iː ɐ̯ r i
fiarn	f i ɐ̯ n
fimf	f i m f
fimfer	f i ɱ f ɐ
findn	f i n d n̩
finfer	f i ɱ f ɐ
fisch	f i ʃ
fischln	f i ʃ l̩ n
flauchn	f l ɑ ɔ x ŋ̩
fleischpflanzerl	f l a ɪ̯ ʃ b̥ f l a n t͡s ɐ l
fleischpflanzl	f l a ɪ̯ ʃ b̥ f l a n t͡s l̩
fliagn	f l i ɐ̯ ŋ
fligl	f l i ɐ̯ ɡ̊ l̩
flåch	f l ɔ χ
flåschn	f l ɔ ʃ n̩
foam	f o ɐ̯ m
foarb	f o ɐ̯ b̥
foarn	f ɔ ɐ̯ n
foarradl	f ɔ ɐ̯ r ɑː d̥ l̩
foi	f ɔ e
foign	f ɔ e ɡ̥ ŋ̩
foin	f ɔ e n
fois	f ɔ e s
foitn	f ɔ e d̥ː n̩
fotz	f o t͡s
fotzn	f o t͡s n̩
fouß	f o u̯ s
freid	f r æː d̥
freida	f r a ɪ̯ d̥ ɐ
freidåg	f r ɑ ɛ̯ d̥ ɔ ɡ̥
fressn	f r e sː n̩
friah	f r i ɐ̯
frosch	f r o ʃ
fruah	f r u ɐ̯
fruahjoahr	f r u ɐ̯ j ɔ ɐ̯
fruahjåar	f r u ɐ̯ j ɔ ɐ̯
fruahjåhr	f r u ɐ̯ j ɔ a̯
fråg	f r ɔː ɡ̥
frågn	f r ɔː ŋ
frånk	f r ɒ̃ ŋ k
fuaß	f u ɐ̯ s
fuim	f u e m
fut	f u t
fäuln	f ɶː n
fånga	f ɒ ŋ ɐ
fångan	f ɒ̃ ŋ ɐ n
fön	f œː n
fühn	f yː n
füm	f yː m
fün	f yː n
gach	ɡ̥ ɑː χ
gachn	ɡ̥ ɑː x ŋ
gacki	ɡ̥ ɑ ɡ̥ː i
gatsch	ɡ̥ ɑ d̥ ʃ
gatschn	ɡ̥ ɑ d̥ ʃ n̩
gatscht	ɡ̥ ɑ d̥ ʃ d̥
gebn	ɡ̥ eː m
gedånke	ɡ̥ e̞ d̥ ɒ̃ː ŋ ɡ̥ː ɛ
geh	ɡ̊ eː
gejb	ɡ̊ ɛ i̯ b̥
gejd	ɡ̥ e̞ʲ d̥
gemma	ɡ̥ ɛ m ɐ
germ	ɡ̥ e̞ ɐ̯ m
germknedl	ɡ̥ e̞ ɐ̯ m k n e̞ d l̩
geschroa	k ʃ r o ɐ̯
gflogn	ɡ̥ f l oː ŋ
gfoin	ɡ̥ f ɔ e n
gfrast	ɡ̥ f r ɑ s t
gfrein	ɡ̥ f r æː n
gfries	ɡ̥ f r iː s
gfrieß	ɡ̥ f r iː s
gfäult	ɡ̥ f ɶː d̥
gfüh	ɡ̥ f yː
ghabt	ɡ̊ h ɒ b̥ t
ghearn	kʰ e̞ ɐ̯ n
ghoidn	kʰ ɔ e̯ d n̩
giftln	ɡ̥ i f d̥ l̩ n
glabn	ɡ̊ l aː m
glander	ɡ̥ l ɑ n d̥ ɐ
glaserl	ɡ̥ l a s ɐ l
glaubn	ɡ̥ l ɑ ɔ̯ m
glei	ɡ̥ l æː
gleich	ɡ̥ l æː ç
glick	ɡ̥ l i ɡ̥
glockn	ɡ̥ l o̞ k ŋ
glumpert	ɡ̥ l u m b̥ː ɐ t
glurn	ɡ̥ l u ɐ n
glånga	ɡ̊ l ɒ ŋ ɐ
gmias	ɡ̥ m i ɐ̯ s
gmoa	ɡ̊ m o ɐ̯
gnack	ɡ̥ n ɑ k
gneißer	ɡ̥ n æː sː ɐ
gneißn	ɡ̥ n æː s n̩
gnua	ɡ̥ n u ɐ
goaschtig	ɡ̥ ɔ ɐ̯ ʃ d̥ i k
goatn	ɡ̥ ɔ ɐ d̥ː n̩
goaß	ɡ̊ o ɐ̯ s
goid	ɡ̥ o e d̥
goschn	ɡ̥ o̞ ʃ n̩
grantig	ɡ̥ r ɑ n t ɪ k
grantln	ɡ̥ r ɑ n d̥ː l̩ n
grau	ɡ̊ r a ʊ̯
grea	ɡ̊ r e ɐ̯
greibl	ɡ̥ r æː β ɛ
greißlich	ɡ̥ r æː s l i ç
grenz	ɡ̥ r e̞ n d̥ s
gretzn	ɡ̥ r e d̥͡s n̩
grewecherl	ɡ̥ r e̞ v e̞ ç ɐ l
grewegerl	ɡ̥ r e̞ v e̞ ɡ̥ ɐ l
griaß	ɡ̥ r i ɐ s
griaßlert	ɡ̥ r i ɐ s l ɐ d̥
griaßn	ɡ̥ r i ɐ̯ s n̩
grindig	ɡ̥ r i n d i ɡ̥
griss	ɡ̥ r i s
groß	ɡ̊ r o u̯ s
grätzn	ɡ̥ r e̞ː t͡s n̩
grås	ɡ̊ r oː s
grü	ɡ̥ r yː
grün	ɡ̥ r yː n
gschaftlhuber	ɡ̥ ʃ ɑ f t l̩ h u̯ ɐ b̥ ɐ
gschamig	ɡ̥ ʃ ɑː m i ɡ̥
gschamt	ɡ̥ ʃ ɑː m d̥
gschegn	ɡ̥ ʃ e̞ ŋ
gschehn	k ʃ e̞ː n
gscheid	ɡ ʃ a ɪ̯ t
gscheidwaschl	ɡ̥ ʃ a ɛ̯ d̥ v a ʃ l̩
gscheitscheißer	ɡ̥ ʃ a ɛ̯ d̥ ʃ a ɛ̯ s ɐ
gschicht	k ʃ i x d̥
gschissn	ɡ̥ ʃ ɪ s n̩
gschmåckn	ɡ̥ ʃ m ɔ ɡ̥ː ŋ
gschnas	ɡ̥ ʃ n ɑː s
gschnidn	ɡ̥ ʃ n iː d̥ː n̩
gschråpp	ɡ̥ ʃ r ɔ p
gschupft	ɡ̥ ʃ u b̥ f d̥
gschwind	ɡ̥ ʃ v i n d̥
gschäft	ɡ̥ ʃ e̞ f d̥
gsetz	ɡ̥ s e̞ː d̥ s
gsicht	k͡s i ç d̥
gsichter	k͡s i ç d̥ ɐ
gsichtern	k͡s i ç d̥ ɐ n
gspickt	ɡ̥ ʃ b̥ ɪ ɡ̥ d̥
gspiebanes	ɡ̥ ʃ b̥ iː b̥ ɐ n ɛ s
gspiebm	ɡ̥ ʃ b̥ iː m
gsteaml	ɡ̥ ʃ d̥ e̞ ɐ m l̩
gstinkert	ɡ s c h d i n ɡ à d
gstoit	ɡ̥ ʃ d̥ ɔ e t
gstättn	ɡ̥ ʃ d̥ e̞ d̥ː n̩
gstö	ɡ̥ ʃ d̥ œː
gsund	ɡ̥ s u n d̥
guad	ɡ̥ u ɐ̯ d̥
gugerschecken	ɡ̥ u ɡ̥ ɐ ʃ e ɡ̥ː ŋ̩
gunnan	ɡ̥ u n ɐ n
gurkn	ɡ̥ u ɐ̯ ɡ̥ː ɴ̣
gusch	ɡ̥ uː ʃ
guster	ɡ̥ u s d̥ ɐ
gusto	ɡ̥ u s d̥ o
gwahr	ɡ̊ ʋ aː
gweb	ɡ̥ v e̞ː b̥
gwen	ɡ̊ β eː n
gwicht	ɡ̥ v i ç d̥
gwirks	ɡ̥ v ɪ ɐ̯ k s
gwoit	ɡ̥ v ɔ e d̥
gwåmpert	ɡ̥ v ɒ̃ m b̥ː ɐ d̥
gwånd	ɡ̥ v ɒ̃ n d̥
gäid	ɡ̥ e̞ʲ d̥
gåatn	ɡ̥ ɔ ɐ̯ d̥ː n̩
gåbl	ɡ̊ oː b̥ l̩
gång	ɡ̥ ɒ̃ː ŋ
gåns	ɡ̥ ɒ̃ n s
gånz	ɡ̥ ɒ̃ n d̥ s
gårtn	ɡ̥ ɔ ɐ̯ d̥ː n̩
gåssn	ɡ̥ ɔ sː n̩
gåst	ɡ̥ ɔ s d̥
gö	ɡ̥ œ
göd	ɡ̥ œː d̥
gölb	ɡ̊ œ l b̥
gösn	ɡ̥ œː s n̩
götn	ɡ̥ œ d̥ː n̩
gööb	ɡ̥ œː b̥
haberer	h ɑː β ɐ r ɐ
hackler	h ɑ ɡ̥ː l̩ ɐ
hackln	h ɑ ɡ̥ː l̩ n
haderlump	h ɔ d̥ ɐ l u m p
hadern	h ɔ d̥ ɐ n
haglich	h ɑː ɡ̥ l i ç
haid	h a ɪ̯ d
happig	h ɑ b̥ː i ç
happl	h ɑ b̥ː l̩
haring	h ɑː r i ŋ
harpfn	h ɑː b̥ f ɱ̩
hatschert	h ɑː d̥͡ʃ ɐ d̥
haubn	h ɑ ɔ̯ b̥ m̩
hauptspeis	h ɑ ɔ̯ b̥ d̥ ʃ b̥ ɑ ɛ̯ s
haus	h ɒ ɔ̯ s
hausviech	h a̯ u s f iː ç
hawara	h ɑˑ β ɐ r ɐ
haxn	h ɑ ɡ̥ s n̩
haßn	h ɑː s n̩
hearn	h e̞ ɐ̯ n
hebn	h eː m
hefl	h e̞ f l̩
hefn	h e̞ f ɱ̩
heftl	h e̞ f d̥ l̩
heier	h æː ɐ
heislschmäh	h æː s l̩ ʃ m e̞ː
hendl	h e̞ n d̥ l̩
henn	h eː n
henna	h eː n ɐ
hepfa	h e̞ b̥ f ɐ
hepfn	h e̞ b̥ f ɱ̩
her	h e ɐ̯
herobn	h e ɐ̯ r oː m
herz	h e ɐ̯ t͡s
herzkaschperl	h e̞ ɐ̯ d̥ s k ɑ ʃ b̥ ɐ l
herzkasperl	h e̞ ɐ̯ d̥ s k ɑ ʃ b̥ ɐ l
hetz	h e̞ t s
hi	h iː
hiafler	h i ɐ̯ f l ɐ
himme	h i m e
hinich	h iː n i ç
hinig	h iː n i ç
hinta	h i n tː ɐ
hinti	h i n tː i
hintra	h i n t r ɐ
hintre	h i n t r ɛ
hintri	h i n t r i
hirn	h i ɐ n
hoaglich	h ɔ ɐ̯ ɡ̥ l i ç
hoar	h ɔ ɐ̯
hoat	h ɔ ɐ̯ d̥
hoaß	h aː s
hoaßn	h ɔ ɐ̯ s n̩
hoib	h o e b̥
hoiber	h o e b̥ ɐ
hoibert	h o e b̥ ɐ d̥
hoidn	h ɔ e̯ d n̩
hoin	h o e̯ n
hois	h ɔ e s
holler	h o l ɐ
hosn	h oː s n̩
huachn	h u ɐ̯ x ŋ
huat	h u ɐ t
hudln	h uː d̥ l̩ n
hund	h u n d̥
hundln	h u n d̥ l̩ n
hupfa	h u b̥ f ɱ̩
hupfn	h u b̥ f ɱ̩
hur	h uː ɐ
häferl	h e̞ f ɐ l
häfn	h e̞ f ɱ̩
hängan	h ɛ ŋ ɐ n
häusl	h a ɛ̯ s l̩
håbn	h ɒː m
håckn	h ɔ ɡ̥ː ŋ
håmma	h ɔ m ɐ
håmmer	h ɒ̃ː m ɐ
håmsterradl	h ɒ̃ m s d̥ ɐ r ɑː d̥ l̩
hånd	h ɑ n d̥
håns	h ɒ n s
hås	h ɔː s
höfn	h œː f ɱ̩
höi	h ə i̯
i	i
iada	i ɐ̯ d̥ ɐ
iatz	i ɐ̯ t͡s
ihr	i ɐ̯
ihrer	i ɐ̯ r ɐ
insekt	i n s ɛ k t
irchsn	i ɐ k s n̩
is	i s
iwahaps	i β ɐ h ɑ b̥ s
iwahaupt	i β ɐ h ɑ ɔ̯ b̥ d̥
iwahaupts	i β ɐ h ɑ ɔ̯ b̥ d̥ s
iwalegn	i β ɐ l e̞ː ŋ
jausn	j ɑ ɔ̯ s n̩
jeier	j æː ɐ
jeiern	j æː ɐ n
jessas	j e̞ s ɑ s
jo	j oː
joahr	j ɔ ɐ̯
jå	j ɒː
jåar	j ɔ ɐ̯
jågn	j ɔː ŋ
jåhr	j o ɐ̯
jössas	j ø s ɑ s
kaas	kʰ aː s
kaffa	k ɑ f ɐ
kaffee	k ɑ f e̞ː
kafn	k ɑː f ɱ̩
kafää	k a f eː
kammerl	kʰ ɑ m ɐ l
kampe	kʰ ɑ m b̥ː ɛ
kampl	kʰ ɑ m b̥ː ɛ
karfiol	k ɑ f iʲ o e
kas	k χ aː s
kaschn	kʰ ɑ ʃ n̩
kaschperl	k ɑ ʃ b̥ ɐ l
kaschperltheater	k ɑ ʃ b̥ ɐ l d̥ e̞ ɐ̯ d̥ ɐ
kasler	k ɑː s l ɐ
kasln	kʰ ɑː s l̩ n
kasperl	k ɑ ʃ b̥ ɐ l
kasperltheater	k ɑ ʃ b̥ ɐ l d̥ e̞ ɐ̯ d̥ ɐ
kaufn	k ɒː f ɱ̩
kemma	k e m ɐ
kemman	k ɛ m ɐ n
kenigreich	k e̞ n i ɡ̥ r ɑ ɛ̯ ç
kenna	kʰ e n ɐ
keppln	kʰ e̞ b̥ː l̩ n
kerper	kʰ e̞ ɐ̯ b̥ː ɐ
kersch	kʰ ɛ ɐ̯ ʃ
kerschn	kʰ ɛ ɐ̯ ʃ n̩
kieberei	k iː v ə ʁ æː
kieberer	k iː v ə ʁ ɐ
kind	kʰ i n d̥
kini	kʰ eː n e
kipfler	kʰ i b̥ f l ɐ
kirschn	kʰ i ɐ̯ ʃ n̩
kiwe	k iˑ β ɛ
kla	ɡ̥ l aː
klaa	ɡ̥ l aː
kladl	ɡ̥ l ɑː d̥ l̩
klass	ɡ̥ l ɑ s
klescher	ɡ̥ l e̞ ʃ ɐ
kleschn	ɡ̥ l e̞ ʃ n̩
kloa	ɡ̥ l ɔ ɐ̯
kloan	kˣ l ɔ ɐ̯ n
klumpert	ɡ̥ l u m b̥ː ɐ t
kluppn	ɡ̥ l u b̥ m
klågn	ɡ̥ l oː ŋ
knedl	ɡ̥ n e̞ d̥ l̩
knia	ɡ̥ n i ɐ̯
knofe	k n o β ə
knotzn	ɡ̥ n ɔ t͡s n̩
koa	k o ɐ̯
koatn	k ɔ ɐ d̥ː n̩
kocha	k o̞ː x ɐ
kochn	k o̞ː x ŋ̩
koffer	k oˑ f ɐ
koi	k o e
koid	kʰ oː e d̥
koni	kʰ oː n i
kostn	kʰ oː s d̥ n̩
kouh	kʰ o u̯
kraas	ɡ̥ r ɑː s
krahn	ɡ̊ r aː n
kraxn	ɡ̊ r ɑ ɡ̊ s n̩
kreiz	ɡ̥ r æː d̥ s
krewecherl	ɡ̥ r e̞ v e̞ ç ɐ l
krewegerl	ɡ̥ r e̞ v e̞ ɡ̥ ɐ l
kriag	ɡ̥ r i ɐ̯ ɡ̥
kriagn	ɡ̥ r i ɐ̯ ŋ
krispindl	ɡ̥ r i ʃ b̥ i n d̥ l̩
kroas	ɡ̥ r ɔ ɐ̯ s
kräuln	ɡ̥ r ɶː l n̩
kråchn	k r ɔ χ ŋ̩
kråft	ɡ̥ r ɔ f d̥
kråmpn	k r ɒ̃ m b̥ː m̩
kuachn	kʰ u ɐ̯ x ŋ
kuah	kʰ u ɐ̯
kumma	k u m ɐ
kumman	k u m ɐ n
kåatn	k ɔ ɐ d̥ː n̩
kåder	kʰ ɔː d̥ ɐ
kåmm	kʰ ɒ̃ m
kåmmer	kʰ ɒ̃ m ɐ
kåmpf	kʰ ɒ̃ m b̥ f
kåppn	k ɔ b̥ m̩
kåtz	kʰ ɒ t s
laam	l ɑː m
laar	l aː
ladtuan	l ɑ d̥ˑ u ɐ̯ n
laffa	l a fː ɐ
lahm	l ɑː m
lamperl	l ɑ m b̥ː ɐ l
lar	l aː
later	l ɑ dː ɐ
laufn	l ɑ ɔ̯ f ɱ̩
laufradl	l ɑ ɔ̯ f r ɑː d̥ l̩
learna	l e̞ ɐ̯ n ɐ
lebn	l eː m
leffl	l e fː e
legn	l e̞ː ŋ
leiberl	l a ɛ̯ β ɐ l
leich	l æː ç
leicht	l æː ç d̥
leidln	l æː d̥ l̩ n
leit	l a i̯ d̥
lenkradl	l e̞ ŋ̩ ɡ̥ r ɑː d̥ l̩
lesn	l eː s n̩
letschert	l eː d̥ ʃ ɐ d̥
lewa	l eː ʋ ɐ
lewakas	l eː β ɐ kʰ aː s
liab	l i ɐ̯ b̥
liacht	l i ɐ̯ x t
liagn	l i ɐ̯ ŋ
liegn	l iː ŋ
lila	l iː l ɐ
lindn	l i n d̥ n̩
loab	l o ɐ̯ b̥
loam	l ɔ ɐ m
loater	l o ɐ̯ tː ɐ
lois	l o i̯ s
