aha	a h a
manaakitanga	m a n a a k i t a ŋ a
manaakitia	m a n a a k i t i a
manako	m a n a k o
manatū	m a n a t uː
manawa	m a n a w a
mane	m a n e
manei	m a n e i
manga	m a ŋ a
mangeo	m a ŋ e o
mangu	m a ŋ u
mangā	m a ŋ aː
mangō	m a ŋ oː
manu	m a n u
marae	m a r a e
marama	m a r a m a
maramataka	m a r a m a t a k a
marino	m a r i n o
marutau	m a r u t a u
mata	m a t a
mataku	m a t a k u
matangi	m a t a ŋ i
matariki	m a t a r i k i
matau	m a t a u
matawā	m a t a w aː
mate	m a t e
mati	m a t i
matikuku	m a t i k u k u
matimati	m a t i m a t i
matira	m a t i r a
matiu	m a t i u
mato	m a t o
matomato	m a t o m a t o
matua	m a t u a
matuku	m a t u k u
matā	m a t aː
maunga	m a u ŋ a
mauri	m a u r i
mauī	m a u iː
mea	m e a
mei	m e i
merekara	m e r e k a r a
mihi	m i h i
mihinare	m i h i n a r e
mina	m i n a
miraka	m i r a k a
miriona	m i r i o n a
miti	m i t i
miware	m i w a r e
moa	m o a
moana	m o a n a
moe	m o e
moemoeā	m o e m o e aː
moenga	m o e ŋ a
moeone	m o e o n e
moeriki	m o e r i k i
moko	m o k o
moni	m o n i
moto	m o t o
motokā	m o t o k aː
motopaika	m o t o p a i k a
motu	m o t u
mua	m u a
muhumuhu	m u h u m u h u
mura	m u r a
muri	m u r i
mutu	m u t u
mutunga	m u t u ŋ a
mā	m aː
māehe	m aː e h e
māhina	m aː h i n a
māhī	m aː h iː
māhū	m aː h uː
mākona	m aː k o n a
mākutu	m aː k u t u
māmā	m aː m aː
māngoingoi	m aː ŋ o i ŋ o i
mānu	m aː n u
mānuka	m aː n u k a
māori	m aː o r i
māpere	m aː p e r e
mārama	m aː r a m a
mārena	m aː r e n a
mārie	m aː r i e
mātaki	m aː t a k i
mātakitaki	m aː t a k i t a k i
mātau	m aː t a u
mātou	m aː t o u
māua	m aː u a
māui	m aː u i
māwhero	m aː ɸ e r o
mētara	m eː t a r a
mīti	m iː t i
mōkō	m oː k oː
mōmona	m oː m o n a
mōrena	m oː r e n a
n	n
nama	n a m a
namu	n a m u
namunamuā	n a m u n a m u aː
nana	n a n a
nanenane	n a n e n a n e
nanua	n a n u a
neke	n e k e
ng	ŋ
ngahuru	ŋ a h u r u
nganga	ŋ a ŋ a
ngaro	ŋ a r o
ngaru	ŋ a r u
ngeru	ŋ e r u
nguru	ŋ u r u
ngutoro	ŋ u t o r o
ngā	ŋ aː
ngākau	ŋ aː k a u
ngāmotu	ŋ aː m o t u
ngāruawāhia	ŋ aː r u a w aː h i a
ngāti	ŋ aː t i
ngāwhā	ŋ aː ɸ aː
niho	n i h o
niko	n i k o
niu	n i u
niukāhera	n i u k aː h e r a
noa	n o a
noema	n o e m a
noho	n o h o
nohu	n o h u
nui	n u i
nuku	n u k u
nāhinara	n aː h i n a r a
nānā	n aː n aː
nōwei	n oː w e i
nūpepa	n uː p e p a
o	o
oka	o k a
oketopa	o k e t o p a
one	o n e
oni	o n i
ono	o n o
ora	o r a
oro	o r o
oti	o t i
p	p
paea	p a e a
paekākāriki	p a e k aː k aː r i k i
pahikara	p a h i k a r a
pahū	p a h uː
paihamu	p a i h a m u
paihikara	p a i h i k a r a
pakakina	p a k a k i n a
pakanga	p a k a ŋ a
pakangakite	p a k a ŋ a k i t e
paki	p a k i
pakiaka	p a k i a k a
pamakaranete	p a m a k a r a n e t e
panana	p a n a n a
panata	p a n a t a
pango	p a ŋ o
paoi	p a o i
papa	p a p a
papakupu	p a p a k u p u
papi	p a p i
paraire	p a r a i r e
parakuihi	p a r a k u i h i
paramata	p a r a m a t a
paraparaumu	p a r a p a r a u m u
pararata	p a r a r a t a
parauri	p a r a u r i
pari	p a r i
parihitini	p a r i h i t i n i
parāoa	p a r aː o a
pata	p a t a
patu	p a t u
pea	p e a
peara	p e a r a
peka	p e k a
pene	p e n e
pepa	p e p a
pepe	p e p e
pera	p e r a
pere	p e r e
pereti	p e r e t i
peterehema	p e t e r e h e m a
piana	p i a n a
piapia	p i a p i a
pihi	p i h i
piki	p i k i
pikitia	p i k i t i a
piko	p i k o
pipi	p i p i
pirihimana	p i r i h i m a n a
piringa	p i r i ŋ a
piriona	p i r i o n a
piripane	p i r i p a n e
piriti	p i r i t i
piti	p i t i
pito	p i t o
pitonga	p i t o ŋ a
piupiu	p i u p i u
poaka	p o a k a
pohewatanga	p o h e w a t a ŋ a
poi	p o i
poihākena	p o i h aː k e n a
poipiripi	p o i p i r i p i
pona	p o n a
pongipongi	p o ŋ i p o ŋ i
poniu	p o n i u
pono	p o n o
poro	p o r o
poroporo	p o r o p o r o
poti	p o t i
pouaka	p o u a k a
pouako	p o u a k o
pounamu	p o u n a m u
pounemu	p o u n e m u
pua	p u a
puka	p u k a
pukamata	p u k a m a t a
pukapuka	p u k a p u k a
puke	p u k e
puku	p u k u
pukuhiko	p u k u h i k o
puna	p u n a
punga	p u ŋ a
pungapunga	p u ŋ a p u ŋ a
puru	p u r u
purupuru	p u r u p u r u
puta	p u t a
putiputi	p u t i p u t i
pā	p aː
pāhihi	p aː h i h i
pākau	p aː k a u
pākehā	p aː k e h aː
pākete	p aː k e t e
pāniora	p aː n i o r a
pārara	p aː r a r a
pāremata	p aː r e m a t a
pāreti	p aː r e t i
pāti	p aː t i
pātiki	p aː t i k i
pāua	p aː u a
pēke	p eː k e
pēpi	p eː p i
pēpuere	p eː p u e r e
pī	p iː
pīhopa	p iː h o p a
pīkake	p iː k a k e
pītau	p iː t a u
pīwhi	p iː ɸ i
pō	p oː
pōhara	p oː h a r a
pōhutukawa	p oː h u t u k a w a
pōhēhē	p oː h eː h eː
pōkai	p oː k a i
pōkiha	p oː k i h a
pōneke	p oː n e k e
pōpō	p oː p oː
pōro	p oː r o
pōti	p oː t i
pū	p uː
pūkaka	p uː k a k a
pūkeko	p uː k e k o
pūkāea	p uː k aː e a
pūkākā	p uː k aː k aː
pūngāwerewere	p uː ŋ aː w e r e w e r e
pūpū	p uː p uː
pūtangitangi	p uː t a ŋ i t a ŋ i
r	r
ra	r a
rae	r a e
rahi	r a h i
raihi	r a i h i
raiona	r a i o n a
raka	r a k a
raki	r a k i
rakiraki	r a k i r a k i
rama	r a m a
rangatira	r a ŋ a t i r a
rangatiratanga	r a ŋ a t i r a t a ŋ a
rangi	r a ŋ i
rango	r a ŋ o
rapunga	r a p u ŋ a
rara	r a r a
raro	r a r o
rau	r a u
raumanga	r a u m a ŋ a
rawa	r a w a
rehu	r e h u
rehurehu	r e h u r e h u
reipa	r e i p a
reka	r e k a
reme	r e m e
renga	r e ŋ a
rengarenga	r e ŋ a r e ŋ a
reo	r e o
rewa	r e w a
riha	r i h a
riki	r i k i
rima	r i m a
rimu	r i m u
ringa	r i ŋ a
ripi	r i p i
ripo	r i p o
riria	r i r i a
riripeti	r i r i p e t i
roa	r o a
roaka	r o a k a
roha	r o h a
roki	r o k i
romeinia	r o m e i n i a
rongo	r o ŋ o
rongonui	r o ŋ o n u i
rongoā	r o ŋ o aː
rorohiko	r o r o h i k o
rorouira	r o r o u i r a
roto	r o t o
rotorua	r o t o r u a
rua	r u a
ruaki	r u a k i
ruku	r u k u
runga	r u ŋ a
ruru	r u r u
ruruku	r u r u k u
rā	r aː
rāapa	r aː a p a
rāhina	r aː h i n a
rāhipere	r aː h i p e r e
rāhoroi	r aː h o r o i
rāhui	r aː h u i
rākau	r aː k a u
rāmere	r aː m e r e
rānana	r aː n a n a
rāpare	r aː p a r e
rāpere	r aː p e r e
rāpeti	r aː p e t i
rārima	r aː r i m a
rārua	r aː r u a
rārā	r aː r aː
rātahi	r aː t a h i
rātaka	r aː t a k a
rātapu	r aː t a p u
rātoru	r aː t o r u
rātou	r aː t o u
rātāhuihui	r aː t aː h u i h u i
rātū	r aː t uː
rāua	r aː u a
rāwhiti	r aː ɸ i t i
rāwhā	r aː ɸ aː
rēnata	r eː n a t a
rēpara	r eː p a r a
rēparo	r eː p a r o
rō	r oː
rōpū	r oː p uː
rūhia	r uː h i a
rūma	r uː m a
rūpi	r uː p i
rūtene	ɾ uː t e n e
t	t
tae	t a e
taeturi	t a e t u r i
taha	t a h a
tahepuia	t a h e p u i a
tahi	t a h i
tahito	t a h i t o
tahu	t a h u
tahua	t a h u a
tai	t a i
taika	t a i k a
taka	t a k a
takahē	t a k a h eː
takeketonga	t a k e k e t o ŋ a
takihī	t a k i h iː
takiwā	t a k i w aː
takiwātanga	t a k i w aː t a ŋ a
taku	t a k u
tama	t a m a
tamahine	t a m a h i n e
tamaiti	t a m a i t i
tamanuiterā	t a m a n u i t e r aː
tamariki	t a m a r i k i
tamatea	t a m a t e a
tamāhine	t a m aː h i n e
tana	t a n a
tangata	t a ŋ a t a
tangi	t a ŋ i
tangiweto	t a ŋ i w e t o
taniwha	t a n i ɸ a
tanu	t a n u
tapa	t a p a
tapahi	t a p a h i
tapatapātiu	t a p a t a p aː t i u
tapu	t a p u
tara	t a r a
taraute	t a r a u t e
tari	t a r i
taringa	t a r i ŋ a
taro	t a r o
taru	t a r u
tarākona	t a r aː k o n a
tarāpunga	t a r aː p u ŋ a
tatau	t a t a u
tau	t a u
taumata	t a u m a t a
taupō	t a u p oː
taura	t a u r a
tauraki	t a u r a k i
tauranga	t a u r a ŋ a
te	t e
tea	t e a
teka	t e k a
tekau	t e k a u
tenga	t e ŋ a
terepōno	t e r e p oː n o
terewhōno	t e r e ɸ oː n o
tia	t i a
tiaki	t i a k i
tika	t i k a
tiki	t i k i
tikinare	t i k i n a r e
tina	t i n a
tinei	t i n e i
tino	t i n o
tio	t i o
tipu	t i p u
tiri	t i r i
tiriti	t i r i t i
tiro	t i r o
tiā	t i aː
toa	t o a
tohi	t o h i
tohutō	t o h u t oː
toke	t o k e
tokerau	t o k e r a u
toki	t o k i
toko	t o k o
tokotoko	t o k o t o k o
tona	t o n a
tonga	t o ŋ a
tore	t o r e
toro	t o r o
toru	t o r u
tote	t o t e
toto	t o t o
tua	t u a
tuahine	t u a h i n e
tuahiwi	t u a h i w i
tui	t u i
tuitui	t u i t u i
tuke	t u k e
tuki	t u k i
tuku	t u k u
tukutuku	t u k u t u k u
tumu	t u m u
tuna	t u n a
tungāne	t u ŋ aː n e
tunu	t u n u
tupu	t u p u
tupua	t u p u a
turaki	t u r a k i
turi	t u r i
turu	t u r u
tute	t u t e
tā	t aː
tāhuhu	t aː h u h u
tāite	t aː i t e
tāke	t aː k e
tāku	t aː k u
tākuta	t aː k u t a
tāna	t aː n a
tāone	t aː o n e
tāonewhīra	t aː o n e ɸ iː r a
tāpu	t aː p u
tāra	t aː r a
tārewa	t aː r e w a
tāriana	t aː r i a n a
tātarakihi	t aː t a r a k i h i
tātou	t aː t o u
tāturi	t aː t u r i
tāu	t aː u
tāua	t aː u a
tāuwhiuwhi	t aː u ɸ i u ɸ i
tāwhiri	t aː ɸ i r i
tāwini	t aː w i n i
tēneti	t eː n e t i
tēpu	t eː p u
tētahi	t eː t a h i
tētē	t eː t eː
tī	t iː
tīhema	t iː h e m a
tīhi	t iː h i
tīra	t iː r a
tō	t oː
tōhi	t oː h i
tōna	t oː n a
tōtara	t oː t a r a
tōu	t oː u
tū	t uː
tūmanako	t uː m a n a k o
tūmau	t uː m a u
tūrei	t uː r e i
tūtae	t uː t a e
tūtaki	t uː t a k i
tūāuri	t uː aː u r i
tūī	t uː iː
u	u
ua	u a
uaua	u a u a
uhi	u h i
uira	u i r a
uku	u k u
uma	u m a
umere	u m e r e
unu	u n u
upoko	u p o k o
ura	u r a
uraura	u r a u r a
uri	u r i
uru	u r u
urunga	u r u ŋ a
uta	u t a
utauta	u t a u t a
utuutu	u t u u t u
uwhi	u ɸ i
w	w
wae	w a e
waea	w a e a
waha	w a h a
wahakura	w a h a k u r a
wahawaha	w a h a w a h a
wahine	w a h i n e
wai	w a i
waikanae	w a i k a n a e
waimarie	w a i m a r i e
waiporoporo	w a i p o r o p o r o
wairarapa	w a i r a r a p a
wairua	w a i r u a
waitangi	w a i t a ŋ i
waka	w a k a
wakatono	w a k a t o n o
wani	w a n i
wanira	w a n i r a
warapī	w a r a p iː
ware	w a r e
waro	w a r o
waru	w a r u
wati	w a t i
wehi	w e h i
weka	w e k a
wenerei	w e n e r e i
wera	w e r a
wewehi	w e w e h i
wh	ɸ
whaea	ɸ a e a
whai	ɸ a i
whakaari	ɸ a k a a r i
whakaaro	ɸ a k a a r o
whakaatu	ɸ a k a a t u
whakaauau	ɸ a k a a u a u
whakamahara	ɸ a k a m a h a r a
whakamauī	ɸ a k a m a u iː
whakapakotanga	ɸ a k a p a k o t a ŋ a
whakapapa	ɸ a k a p a p a
whakarangona	ɸ a k a r a ŋ o n a
whakarongo	ɸ a k a r o ŋ o
whakarongona	ɸ a k a r o ŋ o n a
whakarākei	ɸ a k a r aː k e i
whakataka	ɸ a k a t a k a
whakataukī	ɸ a k a t a u k iː
whakatāne	ɸ a k a t aː n e
whakawahi	ɸ a k a w a h i
whana	ɸ a n a
whanga	ɸ a ŋ a
whanganui	ɸ a ŋ a n u i
whangārei	ɸ a ŋ aː r e i
whao	ɸ a o
whara	ɸ a r a
wharangi	ɸ a r a ŋ i
wharau	ɸ a r a u
whare	ɸ a r e
wharo	ɸ a r o
whata	ɸ a t a
whatu	ɸ a t u
whatura	ɸ a t u r a
whau	ɸ a u
wheke	ɸ e k e
whenu	ɸ e n u
whenua	ɸ e n u a
whero	ɸ e r o
whetū	ɸ e t uː
whinirana	ɸ i n i r a n a
whio	ɸ i o
whiri	ɸ i r i
whiti	ɸ i t i
whitu	ɸ i t u
whiu	ɸ i u
whiwhi	ɸ i ɸ i
whutupōro	ɸ u t u p oː r o
whā	ɸ aː
whāki	ɸ aː k i
whāmere	ɸ aː m e r e
whānako	ɸ aː n a k o
whānau	ɸ aː n a u
whāriki	ɸ aː r i k i
whē	ɸ eː
wiki	w i k i
wiri	w i r i
wuruhi	w u r u h i
wuruwhi	w u r u ɸ i
wā	w aː
wāna	w aː n a
wānaka	w aː n a k a
wānanga	w aː n a ŋ a
wīwī	w iː w iː
wūrongikongi	w uː r o ŋ i k o ŋ i
ā	aː
āe	aː e
āhahā	aː h a h aː
āheahea	aː h e a h e a
āhia	aː h i a
āhuahanga	aː h u a h a ŋ a
āhuatanga	aː h u a t a ŋ a
āhumehume	aː h u m e h u m e
āku	aː k u
ākuhata	aː k u h a t a
āna	aː n a
ānau	aː n a u
āngi	aː ŋ i
āniwaniwa	aː n i w a n i w a
āpaka	aː p a k a
āperire	aː p e r i r e
āpiha	aː p i h a
āporo	aː p o r o
āpuru	aː p u r u
āpōpō	aː p oː p oː
ārai	aː r a i
ārohirohi	aː r o h i r o h i
āta	aː t a
ātaraita	aː t a r a i t a
ātea	aː t e a
āu	aː u
āwhato	aː ɸ a t o
āwherika	aː ɸ e r i k a
āwhiowhio	aː ɸ i o ɸ i o
āwhā	aː ɸ aː
ē	eː
ēkara	eː k a r a
ētahi	eː t a h i
ī	iː
īkara	iː k a r a
ō	oː
ōku	oː k u
ōna	oː n a
ōpango	oː p a ŋ o
ōrea	oː r e a
ōritetanga	oː r i t e t a ŋ a
ōriwa	oː r i w a
ōtākou	oː t aː k o u
ōu	oː u
ū	uː
ūropi	uː r o p i
ḵ	k
