aba	a b a
agresívny	a ɡ r e s iː v n i
agrobiológia	a ɡ r ɔ b i ɔ l ɔː ɡ i a
agronómia	a ɡ r ɔ n ɔː m i a
agroturizmus	a ɡ r ɔ t u r i z m u s
agáta	a ɡ aː t a
agónia	a ɡ ɔː n i a
ahoj	a ɦ ɔ j
aids	a j t͡s
ainčina	a i n t͡ʃ i n a
aj	a j
ajhľa	a j ɦ ʎ a
ak	a k
akademický	a k a ɟ e m i t͡s k iː
akančina	a k a n t͡ʃ i n a
akcelerácia	a k t͡s e l e r aː t͡s i a
akceptovať	a k t͡s e p t ɔ v a c
akceptuje	a k t͡s e p t u j e
akceptujem	a k t͡s e p t u j e m
akceptujeme	a k t͡s e p t u j e m e
akceptujete	a k t͡s e p t u j e c e
akceptuješ	a k t͡s e p t u j e ʃ
akceptujú	a k t͡s e p t u j uː
akcia	a k t͡s i a
akcidentálny	a k t͡s i ɟ e n t aː l n i
akkadčina	a k a t͡ʃː i n a
akkra	a kː r a
aklimatizovať	a k ʎ i m a c i z ɔ v a c
aklimatizácia	a k l i m a t i z aː t͡s i a
akné	a k n eː
ako	a k ɔ
akomodácia	a k ɔ m ɔ d aː t͡s i a
akonáhle	a k ɔ n aː ɦ l ɛ
akordeón	a k ɔ r d e ɔː n
akordeónový	a k ɔ r ɟ e ɔː n ɔ v iː
akreditácia	a k r e d i t aː t͡s i a
akrobatický	a k r ɔ b a c i t͡s k iː
akronym	a k r ɔ n i m
aktivizácia	a k t i v i z aː t͡s i a
aktivovať	a k c i v ɔ v a c
aktivácia	a k t i v aː t͡s i a
aktualita	a k t u a l i t a
aktualizmus	a k t u a l i z m u s
aktualizovaný	a k t u a ʎ i z ɔ v a n iː
aktualizovať	a k t u a ʎ i z ɔ v a c
aktualizuje	a k t u a ʎ i z u j e
aktualizujú	a k t u a ʎ i z u j uː
aktualizácia	a k t u a l i z aː t͡s i a
aktuálnejší	a k t u aː l ɲ e j ʃ iː
aktuálny	a k t u aː l n i
aktínium	a k t iː n ɪ j ʊ m
aktívum	a k t iː v u m
akumulovať	a k u m u l ɔ v a c
akumulácia	a k u m u l aː t͡s i a
akupunktúra	a k u p u n k t uː r a
akurátnosť	a k u r aː t n ɔ s c
akustickosť	a k u s c i t͡s k ɔ s c
akustický	a k u s c i t͡s k iː
akuzatív	a k u z a t iː v
akváriový	a k v aː r i ɔ v iː
akvárium	a k v aː r i u m
aká	a k aː
aký	a k iː
akýkoľvek	a k iː k ɔ ʎ v ɛ k
alabama	a l a b a m a
alah	a ɫ a x
alan	a ɫ a n
alandy	a ɫ a n d i
albert	a l b e r t
alberta	a l b e r t a
albinizmus	a l b i n i z m u s
albrecht	a l b r e x t
albánsko	a l b aː n s k ɔ
albánsky	a ɫ b aː n s k i
albánčina	a ɫ b aː n t͡ʃ i n a
albín	a ɫ b iː n
albína	a l b iː n a
alchymický	a l x i m i t͡s k iː
alchýmia	a l x iː m i a
alebo	a ʎ e b ɔ
alegorický	a ʎ e ɡ ɔ r i t͡s k iː
alegória	a l e ɡ ɔː r i a
alena	a l ɛ n a
alergén	a l e r ɡ eː n
aleutčina	a ʎ e u t͡ʃː i n a
alexander	a l e k s a n d e r
alexandra	a l e k s a n d r a
alexej	a l ɛ k s ɛ j
aleš	a l ɛ ʃ
alfabetizácia	a l f a b e t i z aː t͡s i a
alfonz	a ɫ f ɔ n s
alfréd	a ɫ f r ɛː t
algebrický	a l ɡ e b r i t͡s k iː
algoritmický	a l ɡ ɔ r i t m i t͡s k iː
algoritmizovať	a l ɡ ɔ r i t m i z ɔ v a c
algoritmizácia	a l ɡ ɔ r i t m i z aː t͡s i a
algoritmus	a l ɡ ɔ r i t m u s
alibi	a l i b i
alica	a l i t͡s a
alienácia	a l i e n aː t͡s i a
aliterácia	a l i t e r aː t͡s i a
aljaška	a lʲ a ʃ k a
alka	a l k a
alkalizovať	a l k a ʎ i z ɔ v a c
alkalizácia	a l k a l i z aː t͡s i a
alkohol	a l k ɔ ɦ ɔ l
alkoholický	a l k ɔ ɦ ɔ ʎ i t͡s k iː
alkoholik	a l k ɔ ɦ ɔ l i k
alkoholika	a l k ɔ ɦ ɔ l i k a
alkoholizmus	a l k ɔ ɦ ɔ l i z m u s
alkoholizovať	a l k ɔ ɦ ɔ ʎ i z ɔ v a c
alkoholizácia	a l k ɔ ɦ ɔ l i z aː t͡s i a
alkoholový	a l k ɔ ɦ ɔ l ɔ v iː
alkín	a l k iː n
allatív	a l a t iː v
almanach	a l m a n a x
alograf	a l ɔ ɡ r a f
alografný	a l ɔ ɡ r a v n iː
alojz	a ɫ ɔ j s
alokovať	a l ɔ k ɔ v a c
alokácia	a l ɔ k aː t͡s i a
alomorf	a l ɔ m ɔ r f
alomorfa	a l ɔ m ɔ r f a
alomorfou	a l ɔ m ɔ r f ɔ v
alomorfu	a l ɔ m ɔ r f u
alomorfy	a l ɔ m ɔ r f i
alpami	a l p a m i
alpinizmus	a l p i n i z m u s
alpský	a l p s k iː
alpy	a l p i
alpách	a l p aː x
alpám	a l p aː m
altajčina	a l t a j t͡ʃ i n a
alternátor	a l t e r n aː t ɔ r
alternátorový	a l c e r n aː t ɔ r ɔ v iː
altman	a l t m a n
altruista	a l t r u i s t a
altruistický	a l t r u i s c i t͡s k iː
altruizmus	a l t r u i z m u s
altsaxofón	a l t s a k s ɔ f ɔː n
altsaxofónový	a l t͡sː a k s ɔ f ɔː n ɔ v iː
alánd	a ɫ aː n t
alžbeta	a l ʒ b e t a
alžír	a l ʒ iː r
alžírsko	a l ʒ iː r s k ɔ
amalgamácia	a m a l ɡ a m aː t͡s i a
amalgám	a m a l ɡ aː m
ambivalencia	a m b i v a l e n t͡s i a
ambivalentnejší	a m b i v a ʎ e n t ɲ e j ʃ iː
ambivalentný	a m b i v a ʎ e n t n iː
ambrož	a m b r ɔ ʃ
ambruš	a m b r u ʃ
ambróz	a m b r ɔ s
amcha	a m x a
americký	a m e r i t͡s k iː
amerikanizmu	a m e r i k a n i z m u
amerikanizmus	a m e r i k a n i z m u s
amerikanizovať	a m e r i k a ɲ i z ɔ v a c
amerikanizácia	a m e r i k a n i z aː t͡s i a
američan	a m ɛ r i t͡ʃ a n
američanka	a m e r i t͡ʃ a n k a
amerícium	a m ɛ r iː t͡s ɪ j ʊ m
ametyst	a m e t i s t
amfora	a m f ɔ r a
amharčina	a m ɦ a r t͡ʃ i n a
amicenko	a m i t͡s e n k ɔ
ammán	a m aː n
amnestia	a m n e s t i a
amnézia	a m n ɛː z i a
amortizovať	a m ɔ r c i z ɔ v a c
amortizácia	a m ɔ r t i z aː t͡s i a
amplitúda	a m p l i t uː d a
amputovať	a m p u t ɔ v a c
amputácia	a m p u t aː t͡s i a
amrich	a m r i x
amália	a m aː l i a
anabaptizmus	a n a b a p t i z m u s
anabela	a n a b e l a
anachronický	a n a x r ɔ ɲ i t͡s k iː
anachronizmu	a n a x r ɔ n i z m u
anachronizmus	a n a x r ɔ n i z m u s
anafylaxia	a n a f i l a k s i a
analfabetizmus	a n a l f a b e t i z m u s
analfabetka	a n a l f a b e t k a
analytický	a n a l i c i t͡s k iː
analyzovať	a n a l i z ɔ v a c
analyzuje	a n a l i z u j e
analyzujú	a n a l i z u j uː
analógia	a n a l ɔː ɡ i a
anamnéza	a n a m n eː z a
ananás	a n a n aː s
ananásový	a n a n aː s ɔ v iː
anarchistický	a n a r x i s c i t͡s k iː
anarchizmu	a n a r x i z m u
anarchizmus	a n a r x i z m u s
anarchopacifizmus	a n a r x ɔ p a t͡s i f i z m u s
anarchosyndikalizmus	a n a r x ɔ s i n d i k a l i z m u s
anastázia	a n a s t aː z i a
anatomický	a n a t ɔ m i t͡s k iː
anatómia	a n a t ɔː m i a
anaxagoras	a n a k s a ɡ o r a s
anciáš	a n t͡s i aː ʃ
anciáša	a n t͡s i aː ʃ a
anciáši	a n t͡s i aː ʃ i
andami	a n d a m i
andorra	a n d ɔ rː a
andoč	a n d ɔ t͡ʃ
andrea	a n d r e a
andreides	a n d r e i d e s
andrej	a n d r ɛ j
andrejco	a n d r e j t͡s ɔ
andris	a n d r i s
androcentrizmus	a n d r ɔ t͡s e n t r i z m u s
andruch	a n d r u x
anduliek	a n d u ʎ ɪ̯ e k
andulka	a n d u l k a
andulky	a n d u l k i
andy	a n d i
andó	a n d ɔː
anekdota	a n e ɡ d ɔ t a
anekdotický	a ɲ e ɡ d ɔ c i t͡s k iː
anemický	a ɲ e m i t͡s k iː
anestéziológia	a n e s t eː z i ɔ l ɔː ɡ i a
aneta	a ɲ e t a
anežka	a ɲ e ʃ k a
angela	a n ɡ e l a
angelika	a n ɡ e l i k a
anglicizmus	a n ɡ ʎ i t͡s i z m u s
anglicko	a n ɡ ʎ i t͡s k ɔ
anglická	a n ɡ ʎ i t͡s k aː
anglické	a n ɡ ʎ i t͡s k eː
anglický	a n ɡ ʎ i t͡s k iː
anglikanizmus	a n ɡ l i k a n i z m u s
angličtina	a n ɡ ʎ i t͡ʃ c i n a
angličtinou	a n ɡ ʎ i t͡ʃ c i n ɔ v
angličtinu	a n ɡ ʎ i t͡ʃ c i n u
angličtiny	a n ɡ ʎ i t͡ʃ c i n i
angola	a n ɡ ɔ l a
angström	a n k s t r e m
angströme	a n k s t r ø m e
angströmu	a n k s t r ø m u
ani	a ɲ i
anihilácia	a n i ɦ i l aː t͡s i a
anjel	a ɲ ɪ̯ e l
anjelský	a ɲ ɪ̯ e s k iː
ankara	a n k a r a
anketovať	a n k e t ɔ v a c
anna	a nː a
annu	a n n u
anojkonymum	a n ɔ j k ɔ n i m u m
anonymný	a n ɔ n i m n iː
anormálny	a n ɔ r m aː l n i
antagonistický	a n t a ɡ ɔ ɲ i s c i t͡s k iː
antagonizmus	a n t a ɡ ɔ n i z m u s
antal	a n t a l
antalovič	a n t a l ɔ v i t͡ʃ
antananarivo	a n t a n a n a r i v ɔ
antiamerikanizmus	a n t i a m e r i k a n i z m u s
antiboľševizmus	a n t i b ɔ ʎ ʃ e v i z m u s
anticipovať	a n c i t͡s i p ɔ v a c
anticipácia	a n t i t͡s i p aː t͡s i a
anticyklóna	a n t i t͡s i k l ɔː n a
antifašizmu	a n t i f a ʃ i z m u
antifašizmus	a n t i f a ʃ i z m u s
antifeminizmus	a n t i f e m i n i z m u s
antiglobalizmus	a n t i ɡ l ɔ b a l i z m u s
antiglobalizácia	a n t i ɡ l ɔ b a l i z aː t͡s i a
antikapitalizmu	a n t i k a p i t a l i z m u
antikapitalizmus	a n t i k a p i t a l i z m u s
antiklerikalizmu	a n t i k l e r i k a l i z m u
antikolonializmus	a n t i k ɔ l ɔ n i a l i z m u s
antikomunizmu	a n t i k ɔ m u n i z m u
antikomunizmus	a n t i k ɔ m u n i z m u s
antikoro	a n c i k ɔ r ɔ
antimilitarizmus	a n t i m i l i t a r i z m u s
antimón	a n t i m ɔː n
antirasistický	a n c i r a s i s c i t͡s k iː
antirasizmus	a n t i r a s i z m u s
antisemita	a n t i s e m i t a
antisemitizmu	a n t i s e m i t i z m u
antisemitizmus	a n t i s e m i t i z m u s
antisemitský	a n c i s e m i t͡s k iː
antisionizmu	a n t i s i ɔ n i z m u
antisionizmus	a n t i s i ɔ n i z m u s
antl	a n t l̩
antolík	a n t ɔ ʎ iː k
antológia	a n t ɔ l ɔː ɡ i a
anton	a n t ɔ n
antonymum	a n t ɔ n i m u m
antoš	a n t ɔ ʃ
antropocentrizmus	a n t r ɔ p ɔ t͡s e n t r i z m u s
antropologička	a n t r ɔ p ɔ l ɔ ɡ i t͡ʃ k a
antropológ	a n t r ɔ p ɔ l ɔː k
antropológia	a n t r ɔ p ɔ l ɔː ɡ i a
antropomorfický	a n t r ɔ p ɔ m ɔ r f i t͡s k iː
antropomorfizmus	a n t r ɔ p ɔ m ɔ r f i z m u s
antropomorfizácia	a n t r ɔ p ɔ m ɔ r f i z aː t͡s i a
antroponymum	a n t r ɔ p ɔ n i m u m
antuka	a n t u k a
antukový	a n t u k ɔ v iː
antuky	a n t u k i
antálek	a n t aː ʎ e k
anténa	a n t eː n a
antónia	a n t ɔː n i a
antúk	a n t uː k
anémia	a n eː m i a
ančic	a n t͡ʃ i t͡s
apalovič	a p a l ɔ v i t͡ʃ
apartheid	a p a r d ɦ e i t
apatieka	a p a c ɪ̯ e k a
apelativizačný	a p e l a c i v i z a t͡ʃ n iː
apelativizácia	a p e l a t i v i z aː t͡s i a
apelativizácie	a p e l a t i v i z aː t͡s i e
apelatívum	a p e l a t iː v u m
aperitív	a p e r i t iː v
aperitívový	a p e r i c iː v ɔ v iː
apetít	a p e t iː t
aplaudovať	a p l a u d ɔ v a c
aplikácia	a p l i k aː t͡s i a
apo	a p ɔ
apokalypsa	a p ɔ k a l i p s a
apolitický	a p ɔ ʎ i c i t͡s k iː
apologetický	a p ɔ l ɔ ɡ e c i t͡s k iː
aproximácia	a p r ɔ k s i m aː t͡s i a
apríl	a p r iː ɫ
aprílový	a p r iː l ɔ v iː
arabizmus	a r a b i z m u s
arabizovať	a r a b i z ɔ v a c
arabizácia	a r a b i z aː t͡s i a
arabčina	a r a p t͡ʃ i n a
aragonit	a r a ɡ ɔ n i t
aragonitový	a r a ɡ ɔ ɲ i t ɔ v iː
aramejčina	a r a m e j t͡ʃ i n a
arandčina	a r a n t͡ʃː i n a
araukánčina	a r a u k aː n t͡ʃ i n a
arbitrárny	a r b i t r aː r n i
arborétum	a r b ɔ r eː t u m
archa	a r x a
archaický	a r x a i t͡s k iː
archanjel	a r x a ɲ ɪ̯ e l
archanjelský	a r x a ɲ ɪ̯ e l s k iː
archeologička	a r x e ɔ l ɔ ɡ i t͡ʃ k a
archeológ	a r x e ɔ l ɔː k
archeológia	a r x e ɔ l ɔː ɡ i a
architektúra	a r x i t ɛ k t uː r a
archivovať	a r x i v ɔ v a c
archivár	a r x i v aː r
archivárka	a r x i v aː r k a
arcibiskup	a r t͡s i b i s k u p
arcibiskupský	a r t͡s i b i s k u p s k iː
arcidiecéza	a r t͡s i d i e t͡s eː z a
argaláš	a r ɡ a l aː ʃ
argentína	a r ɡ e n c iː n a
argentínčan	a r ɡ e n c iː n t͡ʃ a n
argentínčanka	a r ɡ e n t iː n t͡ʃ a n k a
argumentácia	a r ɡ u m e n t aː t͡s i a
argón	a r ɡ ɔː n
aristokracia	a r i s t ɔ k r a t͡s i a
aristokrat	a r i s t ɔ k r a t
aristokratický	a r i s t ɔ k r a c i t͡s k iː
aristoteles	a r i s t ɔ t ɛ l ɛ s
arizona	a r i z ɔ n a
arkansas	a r k a n s a s
arménsko	a r m eː n s k ɔ
arménčina	a r m eː n t͡ʃ i n a
arno	a r n ɔ
arnold	a r n ɔ l d
arogancia	a r ɔ ɡ a n t͡s i a
arogantnejší	a r ɔ ɡ a n t ɲ e j ʃ iː
arogantný	a r ɔ ɡ a n t n iː
arpád	a r p aː t
artikulovanie	a r t i k u l ɔ v a ɲ ɪ̯ e
artikulovať	a r c i k u l ɔ v a c
artikulácia	a r t i k u l aː t͡s i a
artritída	a r t r i t iː d a
artúr	a r t uː r
arzén	a r z ɛː n
arábia	a r aː b i a
asertívnosť	a s e r c iː v n ɔ s c
asertívny	a s e r t iː v n i
asexualita	a s e k s u a l i t a
asexuality	a s e k s u a ʎ i t i
asimilovať	a s i m i l ɔ v a c
asimilácia	a s i m i l aː t͡s i a
asmara	a s m a r a
asociácia	a s ɔ t͡s i aː t͡s i a
aspirácia	a s p i r aː t͡s i a
astigmatizmus	a s t i ɡ m a t i z m u s
astma	a s t m a
astrachán	a s t r a x aː n
astrofyzika	a s t r ɔ f i z i k a
astrologička	a s t r ɔ l ɔ ɡ i t͡ʃ k a
astroláb	a s t r ɔ l aː p
astrológ	a s t r ɔ l ɔː k
astrológia	a s t r ɔ l ɔː ɡ i a
astronautika	a s t r ɔ n a v t i k a
astronóm	a s t r ɔ n ɔː m
astronómia	a s t r ɔ n ɔː m i a
astát	a s t aː t
astátový	a s t aː t ɔ v iː
astátu	a s t aː t u
asunción	a s u n s i ɔː n
asymetria	a s i m e t r i a
asymetrický	a s i m e t r i t͡s k iː
asztalos	a s t a l ɔ ʃ
asýrčina	a s iː r t͡ʃ i n a
atakovať	a t a k ɔ v a c
atavizmus	a t a v i z m u s
ateizmus	a t e i z m u s
atletický	a t ʎ e c i t͡s k iː
atmosféra	a t m ɔ s f eː r a
atomizovať	a t ɔ m i z ɔ v a c
atomizácia	a t ɔ m i z aː t͡s i a
atrakcia	a t r a k t͡s i a
atraktívnosť	a t r a k c iː v n ɔ s c
atrament	a t r a m e n t
atény	a t eː n i
atóm	a t ɔː m
atómový	a t ɔː m ɔ v iː
audiencia	a v d i e n t͡s i a
auer	a u e r
augmentatívum	a u ɡ m e n t a t iː v u m
august	a v ɡ u s t
augusta	a u ɡ u s t a
augustový	a u ɡ u s t ɔ v iː
augustín	a v ɡ u s t iː n
aurel	a u̯ r ɛː ɫ
aurélia	a v r eː l i a
austrália	a v s t r aː l i a
auta	a u̯ t a
autami	a u̯ t a m i
aute	a u̯ c ɛ
autistický	a u c i s c i t͡s k iː
autizmus	a u t i z m u s
auto	a u̯ t ɔ
autobus	a u̯ t ɔ b u s
autobuse	a v t ɔ b u s e
autocenzúra	a u t ɔ t͡s e n z uː r a
autoerotizmus	a u t ɔ e r ɔ t i z m u s
autokracia	a v t ɔ k r a t͡s i a
autom	a u̯ t ɔ m
automatizovať	a u t ɔ m a c i z ɔ v a c
automatizácia	a v t ɔ m a t i z aː t͡s i a
automobil	a u t ɔ m ɔ b i l
automobilový	a u t ɔ m ɔ b i l ɔ v iː
autonómia	a v t ɔ n ɔː m i a
autonómny	a u t ɔ n ɔː m n i
autorizovať	a u t ɔ r i z ɔ v a c
autorizuje	a u t ɔ r i z u j e
autorizujem	a u t ɔ r i z u j e m
autorizujeme	a u t ɔ r i z u j e m e
autorizujete	a u t ɔ r i z u j e c e
autorizuješ	a u t ɔ r i z u j e ʃ
autorizujú	a u t ɔ r i z u j uː
autorizácia	a v t ɔ r i z aː t͡s i a
autostop	a u t ɔ s t ɔ p
autostopu	a u t ɔ s t ɔ p u
autostráda	a u t ɔ s t r aː d a
autový	a u t ɔ v iː
autu	a u̯ t u
autách	a u̯ t aː x
autám	a u̯ t aː m
avarčina	a v a r t͡ʃ i n a
avatára	a v a t aː r a
avestčina	a v e s t͡ʃː i n a
avokádo	a v ɔ k aː d ɔ
avšak	a f ʃ a k
azbest	a z b e s t
azbuka	a z b u k a
azda	a z d a
azerbajdžan	a z e r b a j d͡ʒ a n
azerbajdžančina	a z e r b a j d͡ʒ a n t͡ʃ i n a
azimut	a z i m u t
azimutálny	a z i m u t aː l n i
azyl	a z i l
azylový	a z i l ɔ v iː
azylu	a z i l u
ašchabad	a ʃ x a b a t
b	p
baba	b a b a
babami	b a b a m i
babarik	b a b a r i k
babe	b a b e
babica	b a b i t͡s a
babirád	b a b i r aː t
babič	b a b i t͡ʃ
babička	b a b i t͡ʃ k a
babiš	b a b i ʃ
babjak	b a b j a k
babnič	b a b ɲ i t͡ʃ
babona	b a b ɔ n a
babou	b a b ɔ v
babrať	b a b r a c
babu	b a b u
babus	b a b u s
baby	b a b i
babách	b a b aː x
babák	b a b aː k
babám	b a b aː m
babčo	b a p t͡ʃ ɔ
babčák	b a p t͡ʃ aː k
bachleda	b a x ʎ e d a
bachor	b a x ɔ r
bachora	b a x ɔ r a
bachore	b a x ɔ r e
bachory	b a x ɔ r i
bachratá	b a x r a t aː
bachratý	b a x r a t iː
bacula	b a t͡s u l a
badkať	b a t k a c
badura	b a d u r a
badžgoň	b a d͡ʒ ɡ ɔ ɲ
badžo	b a d͡ʒ ɔ
bagatelizovať	b a ɡ a c e ʎ i z ɔ v a c
bagdad	b a ɡ d a t
bago	b a ɡ ɔ
bagáž	b a ɡ aː ʃ
bahaizmus	b a ɦ a i z m u s
bahamy	b a ɦ a m i
bahrajn	b a ɦ r a j n
bahrajňan	b a ɦ r a j ɲ a n
bahrajňanka	b a ɦ r a j ɲ a n k a
baht	b aː t
bahtu	b aː t u
bajer	b a j e r
bajko	b a j k ɔ
bajonet	b a j ɔ n e t
bajza	b a j z a
bajúz	b a j uː s
bajúza	b a j uː z a
baka	b a k a
bako	b a k ɔ
bakoš	b a k ɔ ʃ
bakteriológia	b a k t e r i ɔ l ɔː ɡ i a
baktéria	b a k t eː r i a
baktérie	b a k t ɛː r i ɛ
baku	b a k u
bakuľa	b a k u ʎ a
balabán	b a l a b aː n
balaj	b a l a j
balaš	b a l a ʃ
balaško	b a l a ʃ k ɔ
balažovič	b a l a ʒ ɔ v i t͡ʃ
balažovjech	b a l a ʒ ɔ v j e x
balciar	b a l t͡s ɪ̯ a r
balco	b a l t͡s ɔ
baldrián	b a l d r i aː n
balega	b a ʎ e ɡ a
balej	b a ʎ e j
baleáry	b a l ɛ aː r i
baleťák	b a ʎ e c aː k
bali	b a ʎ i
baliga	b a ʎ i ɡ a
balistický	b a ʎ i s c i t͡s k iː
baliť	b a ʎ i c
balkanizácia	b a l k a n i z aː t͡s i a
balko	b a l k ɔ
balkón	b a l k ɔː n
balla	b a lː a
ballek	b a l ʎ e k
balneológia	b a l n e ɔ l ɔː ɡ i a
balog	b a l ɔ k
balogh	b a l ɔ k x
baltazár	b a l t a z aː r
balvín	b a l v iː n
balzamovať	b a l z a m ɔ v a c
baláchať	b a l aː x a c
balák	b a l aː k
baláž	b a l aː ʃ
balón	b a l ɔː n
balúch	b a l uː x
bamako	b a m a k ɔ
bambus	b a m b u s
bambusový	b a m b u s ɔ v iː
bangkok	b a n k ɔ k
bangladéš	b a n ɡ l a d eː ʃ
bangladéšan	b a n ɡ l a d eː ʃ a n
bangladéšanka	b a n ɡ l a d eː ʃ a n k a
bango	b a n ɡ ɔ
bangui	b a n ɡ i
banjul	b a n d͡ʒ u l
banka	b a n k a
bankami	b a ŋ k a m i
banke	b a ŋ k ɛ
bankomat	b a n k ɔ m a t
bankovka	b a n k ɔ v k a
bankrotovať	b a n k r ɔ t ɔ v a c
banku	b a ŋ k u
banky	b a ŋ k i
bankár	b a n k aː r
bankársky	b a n k aː r s k i
banán	b a n aː n
banáš	b a n aː ʃ
baníctvo	b a ɲ iː t͡s v ɔ
baník	b a ɲ iː k
banínec	b a ɲ iː ɲ e t͡s
baníčka	b a ɲ iː t͡ʃ k a
baptista	b a p t i s t a
baptisti	b a p t i s c i
baptistka	b a p c i s t k a
bara	b a r a
baran	b a r a n
baranovič	b a r a n ɔ v i t͡ʃ
baraní	b a r a ɲ iː
baranček	b a r a n t͡ʃ e k
barančeka	b a r a n t͡ʃ e k a
barančeky	b a r a n t͡ʃ e k i
barbados	b a r b a d ɔ s
barbara	b a r b a r a
barbarizmus	b a r b a r i z m u s
barbarizovať	b a r b a r i z ɔ v a c
barbarizácia	b a r b a r i z aː t͡s i a
barbarský	b a r b a r s k iː
barbora	b a r b ɔ r a
barborík	b a r b ɔ r iː k
bardejov	b a r ɟ e j ɔ v
bari	b a r i
bariak	b a r ɪ̯ a k
barikáda	b a r i k aː d a
barikádovať	b a r i k aː d ɔ v a c
barina	b a r i n a
barinka	b a r i n k a
barkus	b a r k u s
barmanský	b a r m a n s k iː
barmčina	b a r m t͡ʃ i n a
barnák	b a r n aː k
