't	ə t
douter	d ɔ u̯ t ə ʁ
drenke	d ʁ e ŋ k ə
drenkes	d ʁ e ŋ k ə s
driet	d r i ə̯ t
driete	d r i ə̯ t ə
droon	d ʀ oː n
droum	d ʁ ɔ u̯ m
druf	d ʁ u f
druuf	d ʁ uː f
dräkksakk	d ʁ ɛ k z a k
dröpp	d ʀ ø p
due̩t	d u ə̯ t
dump	d u m p
détsämmber	d e t͡s ɛ m b ə ʁ
déër	d e ə̯ ʁ
déïk	d e i̯ k
dösch	d ø ʃ
ech	æ ç
echel	æ x ə l
eik	ɛ i̯ k
filu	f i l u
flanell	f l a n ɛ l
frattel	f ʁ a t ə l
fulaar	f u l aː ʁ
fébruwaar	f e b r u ʋ aː ʁ
gebétt	ɣ ə b e t
geer	ɣ eː ʁ
geistere	ʝ ɛ i̯ s t ə ʁ ə
gennep	ɣ æ n ə p
gerkaamer	ʝ ɛ ʁ k aː m ə ʁ
gerkäämer	ʝ ɛ ʁ k e ə̯ m ə ʁ
gerkäämerke	ʝ ɛ ʁ k e ə̯ m ə ʁ k ə
gerkäämerkes	ʝ ɛ ʁ k e ə̯ m ə ʁ k ə s
gewölv	ɣ ə w œ ˨ l ə f
gitaar	ɣ i t aː ʁ
gott	ɣ ɔ t
goustech	ɣ ɔ u̯ s t ə ç
gout	ɣ ɔ u̯ ˦ t
gras	ɣ ʁ aː ˨ s
grase	ɣ ʁ aː z ə
grashook	ɣ ʁ a s h oː k
grevors	ɣ ʁ eː v ɔ ʁ s
géll	ɣ e l
haane̩köl	h aː n ə k ø l
haasemaunt	h aː z ə m a u̯ n t
haegelsem	h æː ɣ ə l s ə m
haej	h æː i̯
hals	h a l s
haors	h ɔː ʁ s
haundert	h a u̯ n d ə ʁ t
haunt	h a u̯ n t
haus	h a u̯ s
haïnt	h a i̯ ˨ n t
haïntwärrek	h a i̯ n t ʋ ɛ ʁ ə k
heebel	h eː b ə l
heie	h ɛ i̯ ə
helje	h æ ʎ ə
hiemel	h i ə̯ m ə l
hie̩re̩	h i ə̯ ʁ ə
hit	h ɪ t
hiër	h i ə̯ ʁ
hoff	h ɔ f
hooktant	h oː k t a n t
hooriṣǫn	h oː ʁ i z ɔ n
hoot	h oː t
houbliërik	h o u̯ b l i ə̯ ʁ e k
huss	h u ˦ s
huus	h uː ˨ s
huuslue̩k	h uː s l u ə̯ k
huut	h uː t
häri	h ɛ ʁ i
héll	h e l
hétt	h e t
héïm	h e i̯ m
héïvesch	h e i̯ v ə ʃ
höll	h œ l
hömmel	h œ m ə l
iir	iː ʁ
ijselstein	ɛ i̯ s ə l s t ɛ i̯ n
janne	j a n ə
jannewaar	j a n ə ʋ aː ʁ
johr	j ɔ ə̯ ʁ
jong	j o ŋ
joër	j ɔ ə̯ ʁ
joërhaundert	j ɔ ə̯ ʁ h a u̯ n d ə ʁ t
juss	j u s
juuli	j uː l i
juuni	j uː n i
kabiin	k a b iː n
kakau	k a k a u̯
kalle	k a l ə
karakoll	k a ʁ a k ɔ l
kathedrol	k a t ə d ʁ ɔː l
kathedrole	k a t ə d ʁ ɔː l ə
kathedrolke	k a t ə d ʁ ɔː l k ə
kathedrölke	k a t ə d ʁ œː l k ə
kaïnt	k a i̯ n t
kepèl	k ə p ɛ l
kerk	k e ʁ ə k
kerke	k e ʁ ə k ə
kerkhoff	k e ʁ ə k h ɔ f
kerkplei	k ɛ ʁ ə k p l ɛ i̯
kerkske	k e ʁ ə k s k ə
kerkskes	k e ʁ ə k s k ə s
kessel	k æ s ə l
kie̩sch	k i ə̯ ʃ
kie̩sche̩prum	k i ə̯ ʃ ə p ʁ u m
klee	k l e ə̯
klie̩	k l i ə̯
klock	k l ɔ k
klocke	k l ɔ k ə
klockske	k l ɔ k s k ə
kniin	k n iː ˦ n
knofloe̩k	k n o f l o ə̯ k
knoflue̩k	k n o f l u ə̯ k
knäät	k n e ə̯ t
kné	k n eː
knöödel	k n øː d ə l
koke̩snue̩t	k o k ə̯ s n u ə̯ t
kommelejuuën	k o m ə l ə j uː ə̯ n
kommissjuuën	k o m i s j uː ə̯ n
kommparatiif	k ɔ m p a ʁ a t iː f
konnst	k ɔ n s t
kook	k oː k
koore	k oː ʁ ə
kossmoss	k ɔ s m ɔ s
kouk	k ɔ u̯ k
kreech	k ʁ eː ç
kriëk	k ʁ i ə̯ k
krokkedill	k r o k ə d i l
kroëpétt	k ʁ ɔ ə̯ p e t
kroëpéttschlaat	k ʁ ɔ ə̯ p e t ʃ l aː t
krue̩n	k ʁ u ə̯ n
kruud	k ʁ uː t
krüts	k ʁ y t͡s
ku	k uː
kâssele	k ɑː s ə l ə
kärrts	k ɛ ʁ t͡s
käüche	k ɔ ʏ̯ x ə
kölle	k œ l ə
kölsch	k œ l ʃ
könnegänn	k ø n ə ɣ ɛ n
könnek	k ø n ə k
körref	k ø ˦ ʁ ə f
küsch	k y ʃ
küschel	k y ʒ ə l
küschvärreke	k y ʃ v ɛ ʁ ə k ə
küük	k y ə̯ k
kǫe̩l	k ɔ ə̯ ˦ l
lakks	l a k s
lakrétts	l a k ʁ e t͡s
lamp	l a m p
land	l a ˨ n t
lande	l a n d ə
lavvabo	l a v a b o
laïnt	l a i̯ n t
laïnts	l a i̯ n t͡s
laïntsvall	l a i̯ n t͡s v a l
leech	l eː ˦ ç
leed	l eː ˦ t
leeder	l eː ˦ d ə ʁ
leet	l eː t
le̩wäi	l ə ʋ ɛ i̯
le̩wäit	l ə ʋ ɛ i̯ t
libäll	l i b ɛ l
liif	l iː f
liik	l iː k
liin	l iː n
liist	l iː s t
linejaal	l i n ə j aː l
linejaale	l i n ə j aː l ə
lottem	l ɔ t ə m
loët	l ɔ ə̯ t
lue̩k	l u ə̯ k
luuëne	l y ə̯ n ə
länder	l æ n d ə ʁ
läpel	l e ə̯ p ə l
läävesmeddel	l e ə̯ v ə s m e d ə l
léjjer	l e j ə ʁ
léëpel	l e ə̯ p ə l
léëver	l e ə̯ v ə ʁ
léït	l e i̯ ˦ t
lóm	l o m
lü	l y
maart	m aː ʁ t
macedonisch	m ɑ s ə d oː ² n i s
mael	m æː l
maersele	m æː ʁ s ə l ə
marrmoër	m a ʁ m ɔ ə̯ ʁ
maschin	m a ʃ i n
masching	m a ʃ i ŋ
mastick	m a s t i k
masticke	m a s t i k ə
mauntwaater	m a u̯ n t ʋ aː t ə ʁ
meddeböök	m e d ə b øː k
meemoori	m eː m oː ʁ i
mele̩k	m e l ə k
mele̩ktangk	m e l ə k t a ŋ k
mele̩ktant	m e l ə k t a n t
menütt	m ə n y t
meschtreech	m ə ʃ t ʁ eː ç
metz	m ɛ t͡s
meulenhoek	m øː l ə n h u k
me̩luun	m ə l uː n
middelar	m ɪ d ə l a ʁ
mieëldere	m iː ə̯ l d ə ʁ ə
mime̩l	m i m ə l
minn	m i n
minsch	m i n ʃ
mo	m ɔ
modder	m o d ə ʁ
moddergoëdes	m o d ə ʁ ɣ ɔ ə̯ d ə s
modderschproëk	m o d ə ʁ ʃ p ʁ ɔ ə̯ k
monakko	m o n a k o
monndech	m ɔ n d ə ç
mook	m oː k
moën	m ɔ ə̯ n
mull	m u l
muur	m uː ˦ ʁ
muus	m uː s
märrek	m ɛ ʁ ə k
märrts	m ɛ ʁ t͡s
määl	m e ə̯ l
méël	m e ə̯ l
méï	m e i̯
mökk	m ø k
mönnt	m ø n t
mörge	m œ ˦ ʁ ə ɣ ə
mösch	m ø ʃ
möële	m œ ə̯ l ə
möëlepärrtje	m œ ə̯ l ə p ɛ ʁ t͡ʃ ə
möön	m øː n
mǫe̩nt	m ɔ e̯ n t
mǫndeklips	m ɔ n d e k l i p s
mǫnt	m ɔ n t
mǫǫnt	m ɔː n t
naach	n aː x
naagel	n aː ɣ ə l
naas	n aː s
naat	n aː ˧ t
nach	n a x
nollt	n ɔ l t
notitts	n o t i t͡s
novämmber	n o v ɛ m b ə ʁ
noëber	n ɔ ə̯ b ə r
nuu	n uː
néërlaïnt	n e ə ʁ l a i̯ n t
nöümǫǫnt	n ø y̯ m ɔː n t
o	o
oeldere	u l d ə ʁ ə
off	ɔ f
offere	ɔ f ə ʁ ə
ogusst	o ɣ u s t
ohs	oː s
okktoober	ɔ k t oː b ə ʁ
oliif	o l iː f
ooft	ɔ ə̯ f t
osstere	o s t ə ʁ ə
otersóm	oː t ə ʁ s o m
ouchsape̩l	ɔ u̯ x s a p ə l
ovend	ɔ ə̯ v ə n t
oëke	ɔ ə̯ k ə
oëlech	ɔ ə̯ l ə ç
oëm	ɔ ə̯ m
oër	ɔ ə̯ ʁ
oëve	ɔ ə̯ v ə
oëvent	ɔ ə̯ v ə n t
pann	p a n
pappegaï	p a p ə ɣ a i̯
paprika	p a p ˨ ʁ i k a
parreplü	p a ʁ ə p l y
passtuër	p a s t u ə̯ ʁ
païnt	p a i̯ n t
pie̩tsch	p i ə̯ t͡ʃ
piin	p iː n
piip	p iː p
pingke̩r	p i ŋ k ə ʁ
pië	p i ə̯
plaan	p l aː n
plant	p l a n t
plante	p l a n t ə
plasmeule	p l a s m øː l ə
platt	p l a t
plaïnt	p l a i̯ n t
plei	p l e i̯
plemp	p l e m p
plouch	p l ɔ u̯ x
ploëch	p l ɔ ə̯ ç
pléséër	p l e z e ə̯ ʁ
plüschprumm	p l y ʃ p ʁ u m
plüüschprum	p l yː ʃ p ʁ u m
poor	p oː ʁ
porré	p ɔ ʁ eː
poërt	p ɔ ə̯ ʁ t
poëschdaach	p ɔ ə̯ ʃ d aː x
poësche	p ɔ ə̯ ʃ ə
prum	p ʁ u m
päschtaake̩l	p ɛ ʃ t aː k ə l
péërt	p e ə̯ ʁ t
pöll	p ø l
rabarrber	ʁ a b a ʁ b ə ʁ
rabau	ʁ a b a u̯
radau	ʁ a d a u̯
raïnt	ǀ ʁ a i̯ n t
re̩barbe̩r	ʁ ə b a ʁ b ə ʁ
re̩nät	ʁ ə n ɛ t
riev	ʁ iː f
rievkook	ʁ iː f k oː k
riifkouk	ʁ iː f k ɔ u̯ k
riin	ʁ iː n
ro	ʁ oː
rot	ʁ ɔ ə̯ ˦ t
rottelé	ʁ o t ə l e
ruum	ʁ uː m
ruë	ʁ u ə̯
ruës	ʁ u ə̯ s
rään	ʁ ɛː n
räänboëch	ʁ ɛː n b ɔ ə̯ ç
rök	ʁ ø k
rǫnge̩	ʁ ɔ ŋ ə
sallem	z a l ə m
sammstech	z a m s t ə ç
satz	z a t͡s
saundech	z a u̯ n d ə ç
schatte	ʃ a t ə
scheesös	ʒ eː z ø s
schepp	ʃ e p
schiif	ʃ iː f
schlaat	ʃ l aː t
schlang	ʃ l a ŋ
schluuch	ʃ l uː x
schläk	ʃ l ɛ k ˨
schnauts	ʃ n a u̯ t͡s
schnavel	ʃ n aː v ə l
schniitant	ʃ n i t a n t
schnitaïnt	ʃ n i t a i̯ ˦ n t
schnië	ʃ n i ə̯
schnütts	ʃ n y t͡s
schokkel	ʃ o k ə l
scholk	ʃ o l ə k
schonnsreem	ʃ o n s ʁ eː m
schorrsch	ʃ ɔ ʁ ʃ
schosster	ʃ o s t ə ʁ
schotteleplakk	ʃ o t ə l ə p l a k
schoun	ʃ ɔ u̯ n
schounbaïnt	ʃ ɔ u̯ n b a i̯ n t
schowwer	ʃ o ʋ ə ʁ
schoëp	ʃ ɔ ə̯ p
schpannong	ʃ p a n o ŋ
schpektaake̩l	ʃ p e k t aː k ə l
schpitaal	ʃ p i t aː l
schproch	ʃ p ʁ o x
schproëk	ʃ p ʁ ɔ ə̯ k
schpäk	ʃ p ɛ k
schpäkk	ʃ p ɛ k
schpäktaake̩l	ʃ p ɛ k t aː k ə l
schriin	ʃ ʁ iː n
schriine	ʃ ʁ iː n ə
schruuthaan	ʃ ʁ uː t h aː n
schtar	ʃ t a ʁ
schtat	ʃ t a t
schtats	ʃ t a t͡s
schtatt	ʃ t a t
schtokk	ʃ t ɔ k
schtroët	ʃ t ʁ ɔ ə̯ t
schträss	ʃ t ʁ ɛ s
schtäin	ʃ t ɛ i̯ ˨ n
schtärrt	ʃ t ɛ ʁ t
schtäär	ʃ t ɛː ʁ
schtéllde	ʃ t e l d ə
schtéï	ʃ t e i̯ ˨
schtéïn	ʃ t e i̯ ˦ n
schtökk	ʃ t ø k
schuël	ʃ u ə̯ l
schwaïn	ʒ ʋ a i̯ n
schwester	ʃ w ɛ s t ə ʁ
schäng	ʃ ɛ ŋ
schänk	ʃ ɛ ŋ k
schöppsel	ʃ œ p s ə l
si	z iː
sieböök	z iː b øː k
sië	z i ə̯
siël	z i ə̯ l
sjteil	ʃ t ɛ i̯ l
smákt	s m a k t
sokk	z ɔ k
sonne	z o n ə
soom	z ɔ ə̯ ˨ m
sou	z ɔ u̯
soëm	z ɔ ə̯ m
suppstantiif	z u p s t a n t iː f
sänn	z ɛ n
säunt	z ø y̯ n t
séllep	z e l ə p
sépptämmber	z e p t ɛ m b ə ʁ
séïl	z e i̯ l
söster	z ø s t ə ʁ
söütechkéït	z ø y̯ t ə ç k e i̯ t
söüthout	z ø y̯ t h ɔ u̯ t
tangk	t a ŋ k
tant	t a n t
taïnt	t a i̯ ˦ n t
tegele	t eː ʝ ə l ə
teike	t ɛ i̯ ˦ k ə
tied	t iː ˨ t
tiendere	t iː n d ə ʁ ə
ting	t i ŋ
tiën	t i ə̯ n
tomme	t o m ə
tong	t o ŋ
tonge	t o ŋ ə
toum	t ɔ u̯ m
trottwaar	t ʁ o t ʋ aː ʁ
tsigerätt	t͡s i ɣ ə ʀ ɛ t
tsitrue̩n	t͡s i t ʁ u ə̯ n
tsokker	t͡s o k ə ʁ
tsoërt	t͡s ɔ ə̯ ʁ t
tsupp	t͡s u p
tunäll	t u n ɛ l
tuun	t uː n
tälde̩r	t ɛ l d ə ʁ
téjaater	t e j aː t ə ʁ
tüüt	t yː t
tǫmpuske̩	t ɔ m p u s k ə
ue̩rschprongk	u ə̯ ʁ ʃ p ʁ o ŋ k
uër	u ə̯ ʁ
vaam	v aː m
vaat	v aː t
vadder	v a d ə ʁ
vallje	v a l j ə
vaors	v ɔː ʁ s
velde	v æ l d ə
venlo	v æ n l oː
venroj	v ɛ n ʁ ɔ i̯
verschett	v ə ʁ ʃ ɛ t
vieh	v i ə̯
viich	v iː x
vlügel	v l y ə̯ ˨ ʝ ə l
vlǫǫr	v l ɔː ʁ
vogel	v oː ˨ ɣ ə l
vorm	v o ʁ ə m
voëgel	v ɔ ə̯ ɣ ə l
vredepieël	v ʁ eː d ə p i ə̯ l
vro	v ʁ ɔː
vroumännsch	v ʁ ɔ u̯ m ɛ n ʃ
vrǫme̩sch	v ʁ ɔ m ə ʃ
vue̩r	v u ə̯ ʁ ˧
vugel	v u ə̯ ˨ ɣ ə l
vuus	v u ə̯ s
vuër	v u ə̯ ʁ
väl	v ɛ l
vännster	v ɛ n s t ə ʁ
värrep	v ɛ ʁ ə p
väësch	v ɛ ə̯ ʃ
väöle	v œː l ə
vürsch	v y ə̯ ʃ
vǫlmǫǫnt	v ɔ l m ɔː n t
waac͜he̩l	ʋ aː ɣ ə l
waater	ʋ aː t ə ʁ
waïnt	ʋ a i̯ ˦ n t
waïnter	ʋ a i̯ n t ə ʁ
weech	ʋ eː ç
wengkte̩rön	ʋ e ŋ k t ə ʁ ø n
wiif	ʋ iː f
wiin	ʋ iː n
wijjer	ʋ i j ə ʁ
wouv	ʋ ɔ u̯ f
woëch	ʋ ɔ ə̯ ç
woërt	ʋ ɔ ə̯ ʁ t
woësch	ʋ ɔ ə̯ ʃ
wânsem	ʋ ɑː n s ə m
wéttfro	ʋ e t f ʁ oː
wéëk	ʋ e ə̯ k
wéër	ʋ e ə̯ ˦ ʁ
wéërvräüsch	ʋ e ə̯ ʁ v ʁ ɔ ʏ̯ ʃ
wéët	ʋ e ə̯ t
wéïch	ʋ e i̯ ç
wöërtsbouk	ʋ œ ə̯ ʁ t͡s b ɔ u̯ k
wǫlbe̩r	ʋ ɔ l b ə ʁ
zaerem	z æː ʁ ə m
zarett	t͡s a ʀ ɜ t
achte	ɑ x t ə
alabonneur	ɑ l ɑ b ɔ n œ ʀ
alltiits	a l t iː t͡s
alltits	a l t i t͡s
altied	ɑ l t iː t
ambäteere̩	a m b ɛ t eː ʁ ə
aomezeik	ɔː m ə z ɛ i̯ k
apporteere	a p ɔ ʁ t eː ʁ ə
april	ɑ p ʀ i l
astrein	ɑ s t ʀ ɛː ˨ n
augustus	ɑ u̯ ɣ ʏ s t ə s
aunder	a u̯ n d ə ʁ
avvencere	ɑ v ə n s eː ʀ ə
avventouw	ɑ v ə n t ɔ ʋ
backe	b a k ə
bacterie	b ɑ k t eː ² ʀ i
baere	b æː ʀ ə
bal	b ɑ l
balle	b ɑ l ə
baom	b ɔ̀ː m
basstele	b a s t ə l ə
bats	b ɑ t͡s
beer	b eː ʀ
berg	b æ ˦ ʀ ə ç
bestósse	b ə s t o s ə
besöëke	b ə z ø ə̯ k ə
beuk	b øː ˦ k
be̩c͜hriipe̩	b ə ɣ ʁ iː p ə
be̩schäie̩	b ə ʃ ɛ i̯ j ə
bies	b i s
biewaord	b iː ˨ w ɔː ʀ t
biezar	b iː z ɑ ʀ
bleikblom	b l ɛː ² ɡ b l ɔ m
blom	b l ɔ m
bloodslieër	b l oː d z l i ə̯ ʀ
blósse	b l o s ə
boe	b u
boeat	b uː ɑ̯ t
boenaotouw	b u n ɒ t ɔ ʋ
boerum	b u ʀ ʏ m
bomma	b ɔ m aː
bompa	b ɔ m p aː
book	b oː k
brazzelèt	b ʀ ɑ z ə l ɛ t
bressem	b ʁ æ s ə m
broor	b ʀ oː ʀ
brèssem	b ʁ ɛ s ə m
bröl	b ʀ œ l
brööje̩	b ʁ øː j ə
bäöke	b œː k ə
bèdzje	b ɛ d͡ʒ ə
bèdzjere	b ɛ d͡ʒ ə ʀ ə
bèlle	b ɛ l ə
béï	b e i̯
böëke	b ø ə̯ k ə
camera	k aː ² m ə ʀ a
computer	k ɔ m p j u t ə ʀ
crappuul	k ʀ ɑ p y l
c͜he̩wikst	ɣ ə ʋ i k s t
c͜hriipe̩	ɣ ʁ iː p ə
da	d aː
daak	d aː k
dabbe	d ɑ b ə
december	d e s æ m b ə ʀ
deer	d eː ʀ
dek	d e k
demmele	d æ m ə l ə
dengke̩	d e ŋ k ə
denieëre	d ə n i ə̯ ʀ ə
der	d æ ʀ
dieëw	d i ə̯ ʋ
dik	d e k
do	d oː
donneere	d o n eː ʁ ə
doon	d oː n
doëne	d ɔ ə̯ n ə
dreen	d ʀ eː n
drie̩ne̩	d ʁ i ə̯ n ə
dränke	d ʁ ɛ ŋ k ə
dróppel	d ʀ o p ə l
drüüg	d ʁ y ə̯ ç
dängke̩	d ɛ ŋ k ə
dänke	d ɛ ŋ k ə
déë	d e ə̯
dónnieëre	d o n i ə̯ ʀ ə
döbe̩	d ø b ə
döcks	d ø k s
döckser	d ø k s ə ʁ
dönke	d œ ŋ k ə
effe	æ f ə
ei	ɛ i̯
estósse	ə s t o s ə
euver	øː v ə ʀ
februari	f e b ʀ u aː ʀ i
formeleere	f ɔ ʁ m ə l eː ʁ ə
fókke	f o k ə
gaon	ɣ ɔː n
gekaleerd	ɣ ə k a l eː ʁ d
geschéë	ɣ ə ʃ e ə̯
get	ʝ æ t
gevlügeld	ɣ ə v l y ə̯ ʝ ə l t
gewiekst	ɣ ə ʋ iː k s t
goëne	ɣ ɔ ə̯ n ə
graat	ɣ ʀ aː t
greutsj	ɣ ʀ øː t ʃ ˦˨
grut	ɣ ʁ u t
gruët	ɣ ʁ u ə̯ t
gsm	ɣ eː ¹ j æ z æ m
gälp	ɣ æ l ə p
gätt	ɣ ɛ t
génneraliseere	ɣ e n ə ʁ a l i z eː ʁ ə
génnereere	ɣ e n ə ʁ eː ʁ ə
haane	h aː n ə
hae	h æː
hand	h ɑ n t
heim	h ɛ i̯ m
hieër	h i ə̯ ʁ
hoeg	ɦ u x
hukke	h u k ə
huusege	h uː z ə ɣ ə
héë	h e ə̯
héïvesche	h e i̯ v ə ʃ ə
höbbe	ɦ œ b ə
höëm	h œ ə̯ m
höër	h œ ə̯ ʁ
iich	iː ç
iire	iː ʁ ə
jonk	j ɔ ŋ k
joë	j ɔ ə̯
kaoke	k ɔː k ə
kauche	k a u̯ x ə
kaut	k a u̯ t
kische	k i ʃ ə
klevver	k l ɛ v ə ʁ
klämme	k l ɛ m ə
kléïn	k l e i̯ n
klǫǫr	k l ɔː ʁ
kniipe	k n iː p ə
konntakkteere	k ɔ n t a k t eː ʁ ə
kooke	k oː k ə
korrt	k o ʁ t
koupe	k ɔ u̯ p ə
koëme	k o ə̯ m ə
kriegel	k ʁ i ə̯ ʝ ə l
kriische	k ʁ iː ʃ ə
krijje	k ʁ i j ə
krolle	k ʁ ɔ l ə
kruupe	k ʁ uː p ə
kuusj	k y ʃ
kwääle	k ʋ ɛː l ə
kómplezant	k o m p l e z a n t
köndech	k ø n d e x
könne	k ø n ə
köppe	k ø p ə
kǫndech	k ɔ n d e x
laache	l aː x ə
labööre̩	l a b øː ʁ ə
leve	l e ə̯ ˨ v ə
lijje	l i j ə
liëne	l i ə̯ n ə
liëre	l i ə̯ ʁ ə
loupe	l ɔ u̯ p ə
loëte	l ɔ ə̯ t ə
luure	l uː ʁ ə
luustere	l uː s t ə ʁ ə
läkke	l ɛ k ə
léjje	l e j ə
léëch	l e ə̯ ç
léëge	l e ə̯ ʝ ə
léëse	l e ə̯ z ə
léët	l e ə̯ t
léëve	l e ə̯ v ə
léïf	l e i̯ f
léïge	l e i̯ ʝ ə
lösse	l œ s ə
lösteg	l œ s t ə x
lüüte	l y ə̯ t ə
maake	m aː k ə
maale	m aː l ə
manscheere	m a n ʒ eː ʁ ə
massakreere	m a s a k ʁ eː ʁ ə
mich	m i x
miener	m i n ə r
miich	m iː ç
miiner	m iː n ə ʁ
mir	m i r
mobielke	m o b i l k ə
motte	m o t ə
moële	m ɔ ə̯ l ə
mächtech	m ɛ ç t ə ç
mächteg	m æ ç t e ç
männech	m ɛ n ə ç
mäülech	m ɔ ʏ̯ l ə ç
métt	m e t
mö	m ø ʏ̯
natt	n a t
natts	n a t͡s
neet	n eː t
noë	n ɔ ə̯
néttmië	n e t m i ə̯
nö	n ø
nösele	n ø z ə l ə
növve	n ø v ə
nööme	n øː m ə
nöüme	n ø y̯ m ə
nüün	n yː n
onger	o ŋ ə ʁ
opääte	o p e ə̯ t ə
oëme	ɔ ə̯ m ə
oëne	ɔ ə̯ n ə
pafferik	p ɑ f ə ʀ ɪ k
peseere	p ə z eː ʁ ə
piipe	p iː p ə
pläkke	p l ɛ k ə
prake̩ṣeere̩	p ʁ a k ə z eː ʁ ə
pännseere	p ɛ n z eː ʁ ə
pésse	p e s ə
ramm	ʁ a m
rezenoabel	ʁ e z ə n ɔː b ə l
rieje	r i j ɐ
rieze	r iː z ɐ
riive	ʁ iː v ə
rijje	ʁ i j ə
romaaniseere	ʁ o m aː n i z eː ʁ ə
rouke	ʁ ɔ u̯ k ə
roupe	ʁ ɔ u̯ p ə
rätts	ʁ ɛ t͡s
rättserömm	ʁ ɛ t͡s ə ʁ ø m
rääne	ʁ ɛː n ə
réët	ʁ e ə̯ t
röüjech	ʁ ø y̯ j ə ç
rüë	ʁ y ə̯
rüüke	ʁ yː k ə
saïlde	z a i̯ l d ə
schaluës	ʒ a l u ə̯ s
scheine	ʃ ɛ i̯ n ə
scheint	ʃ ɛ i̯ n t
schenge	ʃ e ŋ ə
schien	ʃ i ə̯ n
schiene	s x iː n ə
schiine	ʃ iː n ə
schikk	ʃ i k
schloëne	ʃ l ɔ ə̯ n ə
schloëpe	ʃ l ɔ ə̯ p ə
schléët	ʃ l e ə̯ t
schnape̩	ʃ n a p ə
schnijje	ʃ n i j ə
schnéïje	ʃ n e i̯ ə
schoope	ʃ ɔː p ə
schpeke̩leere̩	ʃ p e k ə l eː ʁ ə
schpréëke	ʃ p ʁ e ə̯ k ə
schpéële	ʃ p e ə̯ l ə
schriive	ʃ ʁ iː v ə
schtoë	ʃ t ɔ ə̯
schtärreve	ʃ t ɛ ʁ ə v ə
schtéll	ʃ t e l
schtélle	ʃ t e l ə
schwarrt	ʒ ʋ a ʁ t
schwattse	ʃ ʋ a t͡s ə
schwieve	ʃ ʋ i ə̯ v ə
schwijje	ʒ ʋ i j ə
schwoër	ʒ ʋ ɔ ə̯ ʁ
