'tain	t ɛ̃
abattants	a b a t ɑ̃
abattes	a b a t
abatteur	a b a t œ ʁ
abatteurs	a b a t œ ʁ
abatteuse	a b a t ø z
abattiez	a b a t j e
abattions	a b a t j ɔ̃
abattis	a b a t i
abattisse	a b a t i s
abattissent	a b a t i s
abattisses	a b a t i s
abattissiez	a b a t i s j e
abattissions	a b a t i s j ɔ̃
abattons	a b a t ɔ̃
abattrai	a b a t ʁ e
abattraient	a b a t ʁ ɛ
abattrais	a b a t ʁ ɛ
abattras	a b a t ʁ a
abattrez	a b a t ʁ e
abattriez	a b a t ʁ i j e
abattrions	a b a t ʁ i j ɔ̃
abattrons	a b a t ʁ ɔ̃
abatture	a b a t y ʁ
abattures	a b a t y ʁ
abattée	a b a t e
abattées	a b a t e
abatée	a b a t e
abaxial	a b a k s j a l
abaya	a b a j a
abayais	a b e j ɛ
abayas	a b e j a
abayent	a b ɛ j
abayer	a b e j e
abayerai	a b ɛ j ʁ e
abayerait	a b ɛ j ʁ ɛ
abayes	a b ɛ j
abayez	a b e j e
abayons	a b e j ɔ̃
abayâmes	a b e j a m
abayé	a b e j e
abaza	a b a z a
abaïasse	a b a j a s
abaïassent	a b a j a s
abaïasses	a b a j a s
abaïe	a b a j
abaïer	a b a j e
abaïerai	a b a j ʁ e
abaïerais	a b a j ʁ ɛ
abaïerez	a b a j ʁ e
abaïeriez	a b a j ə ʁ j e
abaïerons	a b a j ʁ ɔ̃
abaïez	a b a j e
abaïions	a b a j j ɔ̃
abbaretz	a b a ʁ ɛ
abbarois	a b a ʁ w a
abbaroise	a b a ʁ w a z
abbasside	a b a s i d
abbatial	a b a s j a l
abbatiale	a b a s j a l
abbatiat	a b a s j a
abbatiaux	a b a s j o
abbayes	a b e i
abbecourt	a b k u ʁ
abbecourtois	a b k u ʁ t w a
abbecourtoise	a b k u ʁ t w a z
abbenanais	a b n a n ɛ
abbenanaise	a b e n a n ɛ z
abbevillien	a b v i l j ɛ̃
abbevillois	a b v i l w a
abbevilloise	a b v i l w a z
abby	a b i
abbécourt	a b e k u ʁ
abbécourtois	a b e k u ʁ t w a
abbécourtoise	a b e k u ʁ t w a z
abbévillois	a b e v i l w a
abc	a b e s e
abcèderai	a p s e d ʁ e
abcèderions	a p s e d ə ʁ j ɔ̃
abcès	a p s ɛ
abcédait	a p s e d ɛ
abcédas	a p s e d a
abcéder	a p s e d e
abcéderaient	a p s e d ʁ ɛ
abcéderas	a p s e d ʁ a
abcéderez	a p s e d ʁ e
abcédez	a p s e d e
abcédographie	a p s e d ɔ ɡ ʁ a f i
abcédons	a p s e d ɔ̃
abcédâmes	a p s e d a m
abcédâtes	a p s e d a t
abcédé	a p s e d e
abcédées	a p s e d e
abdeslam	a b d ə s l a m
abdias	a b d i a
abdicataire	a b d i k a t ɛ ʁ
abdicatif	a b d i k a t i f
abdications	a b d i k a s j ɔ̃
abdicatives	a b d i k a t i v
abdiqua	a b d i k a
abdiquasse	a b d i k a s
abdiquasses	a b d i k a s
abdiquent	a b d i k
abdiquera	a b d i k ʁ a
abdiquerai	a b d i k ʁ e
abdiqueraient	a b d i k ʁ ɛ
abdiqueras	a b d i k ʁ a
abdiquerez	a b d i k ʁ e
abdiquerons	a b d i k ʁ ɔ̃
abdiqueront	a b d i k ʁ ɔ̃
abdiques	a b d i k
abdiquez	a b d i k e
abdiquons	a b d i k ɔ̃
abdiqués	a b d i k e
abdo	a b d o
abdomens	a b d ɔ m ɛ n
abdominal	a b d ɔ m i n a l
abdominale	a b d ɔ m i n a l
abdominales	a b d ɔ m i n a l
abdos	a b d o
abdoul	a b d u l
abdoulaye	a b d u l a j
abdoulla	a b d u l a
abducens	a b d y s ɛ n s
abducteur	a b d y k t œ ʁ
abducteurs	a b d y k t œ ʁ
abductif	a b d y k t i f
abduction	a b d y k s j ɔ̃
abductions	a b d y k s j ɔ̃
abductrice	a b d y k t ʁ i s
abductrices	a b d y k t ʁ i s
abeau	a b o
abeilardiser	a b e l a ʁ d i z e
abeillage	a b e j a ʒ
abeiller	a b e j e
abeillers	a b e j e
abeillier	a b e j e
abeilliers	a b e j e
abeillé	a b e j e
abeillée	a b e j e
abelia	a b e l j a
abelin	a b l ɛ̃
abelone	a b l ɔ n
aber	a b ɛ ʁ
aberdeen	a b ɛ ʁ d i n
aberdonien	a b ɛ ʁ d ɔ n j ɛ̃
aberra	a b e ʁ a
aberrai	a b e ʁ e
aberraient	a b e ʁ ɛ
aberrais	a b e ʁ ɛ
aberrait	a b e ʁ ɛ
aberrance	a b e ʁ ɑ̃ s
aberrante	a b e ʁ ɑ̃ t
aberrantes	a b e ʁ ɑ̃ t
aberrants	a b e ʁ ɑ̃
aberras	a b e ʁ a
aberrasse	a b e ʁ a s
aberrassent	a b e ʁ a s
aberrasses	a b e ʁ a s
aberrassiez	a b e ʁ a s j e
aberrassions	a b e ʁ a s j ɔ̃
aberration	a b e ʁ a s j ɔ̃
aberrations	a b e ʁ a s j ɔ̃
aberre	a b ɛ ʁ
aberrent	a b ɛ ʁ
aberrer	a b e ʁ e
aberrera	a b e ʁ ə ʁ a
aberrerai	a b e ʁ ə ʁ e
aberreraient	a b e ʁ ə ʁ ɛ
aberrerais	a b e ʁ ə ʁ ɛ
aberrerait	a b e ʁ ə ʁ ɛ
aberreras	a b e ʁ ə ʁ a
aberrerez	a b e ʁ ə ʁ e
aberreriez	a b e ʁ ə ʁ j e
aberrerions	a b e ʁ ə ʁ j ɔ̃
aberrerons	a b e ʁ ə ʁ ɔ̃
aberreront	a b e ʁ ə ʁ ɔ̃
aberres	a b ɛ ʁ
aberrez	a b e ʁ e
aberriez	a b e ʁ j e
aberrions	a b e ʁ j ɔ̃
aberrons	a b e ʁ ɔ̃
aberrâmes	a b e ʁ a m
aberrât	a b e ʁ a
aberrâtes	a b e ʁ a t
aberrèrent	a b e ʁ ɛ ʁ
aberré	a b e ʁ e
abers	a b ɛ ʁ
abessif	a b e s i f
abessifs	a b e s i f
abeurver	a b œ ʁ v e
abhorrable	a b ɔ ʁ a b l
abhorrables	a b ɔ ʁ a b l
abhorrassent	a b ɔ ʁ a s
abhorrer	a b ɔ ʁ e
abhorrions	a b ɔ ʁ j ɔ̃
abidjan	a b i d ʒ ɑ̃
abidjanais	a b i d ʒ a n ɛ
abidjanaise	a b i d ʒ a n ɛ z
abies	a b j ɛ s
abigeat	a b i ʒ a
abigéat	a b i ʒ e a
abimant	a b i m ɑ̃
abiment	a b i m
abimes	a b i m
abiogenèse	a b j ɔ ʒ n ɛ z
abiogenèses	a b j ɔ ʒ n ɛ z
abiotique	a b j ɔ t i k
abiotiquement	a b j ɔ t i k m ɑ̃
abisser	a b i s e
abitbol	a b i t b ɔ l
abiteboul	a b i t b u l
abitibi	a b i t i b i
abitibien	a b i t i b j ɛ̃
abitibienne	a b i t i b j ɛ n
abiétacée	a b j e t a s e
abiétacées	a b j e t a s e
abiétaie	a b j e t ɛ
abiéticole	a b j e t i k ɔ l
abiétin	a b j e t ɛ̃
abiétine	a b j e t i n
abiétiné	a b j e t i n e
abiétinée	a b j e t i n e
abiétinées	a b j e t i n e
abjadique	a b ʒ a d i k
abjectement	a b ʒ ɛ k t ə m ɑ̃
abjections	a b ʒ ɛ k s j ɔ̃
abjurai	a b ʒ y ʁ e
abjuraient	a b ʒ y ʁ ɛ
abjurais	a b ʒ y ʁ ɛ
abjurait	a b ʒ y ʁ ɛ
abjurant	a b ʒ y ʁ ɑ̃
abjuras	a b ʒ y ʁ a
abjurasse	a b ʒ y ʁ a s
abjurassent	a b ʒ y ʁ a s
abjurasses	a b ʒ y ʁ a s
abjurassiez	a b ʒ y ʁ a s j e
abjurassions	a b ʒ y ʁ a s j ɔ̃
abjurateur	a b ʒ y ʁ a t œ ʁ
abjuration	a b ʒ y ʁ a s j ɔ̃
abjurations	a b ʒ y ʁ a s j ɔ̃
abjuratoire	a b ʒ y ʁ a t w a ʁ
abjure	a b ʒ y ʁ
abjurent	a b ʒ y ʁ
abjurer	a b ʒ y ʁ e
abjurera	a b ʒ y ʁ ə ʁ a
abjurerai	a b ʒ y ʁ ə ʁ e
abjureraient	a b ʒ y ʁ ə ʁ ɛ
abjurerais	a b ʒ y ʁ ə ʁ ɛ
abjurerait	a b ʒ y ʁ ə ʁ ɛ
abjureras	a b ʒ y ʁ ə ʁ a
abjurerez	a b ʒ y ʁ ə ʁ e
abjureriez	a b ʒ y ʁ ə ʁ j e
abjurerions	a b ʒ y ʁ ə ʁ j ɔ̃
abjurerons	a b ʒ y ʁ ə ʁ ɔ̃
abjureront	a b ʒ y ʁ ə ʁ ɔ̃
abjures	a b ʒ y ʁ
abjuriez	a b ʒ y ʁ j e
abjurions	a b ʒ y ʁ j ɔ̃
abjurons	a b ʒ y ʁ ɔ̃
abjurâmes	a b ʒ y ʁ a m
abjurât	a b ʒ y ʁ a
abjurâtes	a b ʒ y ʁ a t
abjurèrent	a b ʒ y ʁ ɛ ʁ
abjuré	a b ʒ y ʁ e
abjurée	a b ʒ y ʁ e
abjurées	a b ʒ y ʁ e
abjurés	a b ʒ y ʁ e
abkhazien	a b k a z j ɛ̃
ablactation	a b l a k t a s j ɔ̃
ablactations	a b l a k t a s j ɔ̃
ablata	a b l a t a
ablatable	a b l a t a b l
ablatas	a b l a t a
ablater	a b l a t e
ablatif	a b l a t i f
ablatifs	a b l a t i f
ablation	a b l a s j ɔ̃
ablative	a b l a t i v
ableret	a b l ə ʁ ɛ
ablerets	a b l ə ʁ ɛ
ables	a b l
ablette	a b l ɛ t
ablettes	a b l ɛ t
ablier	a b l i j e
ablon	a b l ɔ̃
ablons	a b l ɔ̃
abluant	a b l y ɑ̃
abluent	a b l y
abluer	a b l y e
ablution	a b l y s j ɔ̃
ablutionner	a b l y s j ɔ n e
ablépharie	a b l e f a ʁ i
abnormal	a b n ɔ ʁ m a l
abnégation	a b n e ɡ a s j ɔ̃
abnégations	a b n e ɡ a s j ɔ̃
abnéguer	a b n e ɡ e
abnégué	a b n e ɡ e
aboi	a b w a
aboies	a b w a
aboiteau	a b w a t o
abola	a b ɔ l a
abolas	a b ɔ l a
aboler	a b ɔ l e
aboles	a b ɔ l
abolira	a b ɔ l i ʁ a
abolissable	a b ɔ l i s a b l
abolissables	a b ɔ l i s a b l
abolissement	a b ɔ l i s m ɑ̃
abolissements	a b ɔ l i s m ɑ̃
abolit	a b ɔ l i
abolitif	a b ɔ l i t i f
abolition	a b ɔ l i s j ɔ̃
abolitioniste	a b ɔ l i s j ɔ n i s t
abolitionnisme	a b ɔ l i s j ɔ n i s m
abolitionnismes	a b ɔ l i s j ɔ n i s m
abolitionnistes	a b ɔ l i s j ɔ n i s t
abomey	a b ɔ m ɛ
abomiffreuse	a b ɔ m i f ʁ ø z
abomiffreux	a b ɔ m i f ʁ ø
abomina	a b ɔ m i n a
abominai	a b ɔ m i n e
abominaient	a b ɔ m i n ɛ
abominais	a b ɔ m i n ɛ
abominait	a b ɔ m i n ɛ
abominant	a b ɔ m i n ɑ̃
abominas	a b ɔ m i n a
abominasse	a b ɔ m i n a s
abominassent	a b ɔ m i n a s
abominasses	a b ɔ m i n a s
abominassiez	a b ɔ m i n a s j e
abominassions	a b ɔ m i n a s j ɔ̃
abomine	a b ɔ m i n
abominent	a b ɔ m i n
abominer	a b ɔ m i n e
abominera	a b ɔ m i n ʁ a
abominerai	a b ɔ m i n ʁ e
abomineraient	a b ɔ m i n ʁ ɛ
abominerais	a b ɔ m i n ʁ ɛ
abominerait	a b ɔ m i n ʁ ɛ
abomineras	a b ɔ m i n ʁ a
abominerez	a b ɔ m i n ʁ e
abomineriez	a b ɔ m i n ə ʁ j e
abominerions	a b ɔ m i n ə ʁ j ɔ̃
abominerons	a b ɔ m i n ʁ ɔ̃
abomineront	a b ɔ m i n ʁ ɔ̃
abomines	a b ɔ m i n
abominez	a b ɔ m i n e
abominiez	a b ɔ m i n j e
abominions	a b ɔ m i n j ɔ̃
abominons	a b ɔ m i n ɔ̃
abominâmes	a b ɔ m i n a m
abominât	a b ɔ m i n a
abominâtes	a b ɔ m i n a t
abominèrent	a b ɔ m i n ɛ ʁ
abominé	a b ɔ m i n e
abominée	a b ɔ m i n e
abominées	a b ɔ m i n e
abominés	a b ɔ m i n e
abondances	a b ɔ̃ d ɑ̃ s
abondantissime	a b ɔ̃ d ɑ̃ t i s i m
abondement	a b ɔ̃ d m ɑ̃
abonder	a b ɔ̃ d e
abonderais	a b ɔ̃ d ʁ ɛ
abondes	a b ɔ̃ d
abondée	a b ɔ̃ d e
abondées	a b ɔ̃ d e
abondés	a b ɔ̃ d e
abonne	a b ɔ n
abonnement	a b ɔ n m ɑ̃
abonnent	a b ɔ n
abonner	a b ɔ n e
abonnera	a b ɔ n ʁ a
abonnes	a b ɔ n
abonni	a b ɔ n i
abonnie	a b ɔ n i
abonnies	a b ɔ n i
abonnir	a b ɔ n i ʁ
abonnira	a b ɔ n i ʁ a
abonnirai	a b ɔ n i ʁ e
abonniraient	a b ɔ n i ʁ ɛ
abonnirais	a b ɔ n i ʁ ɛ
abonnirait	a b ɔ n i ʁ ɛ
abonniras	a b ɔ n i ʁ a
abonnirent	a b ɔ n i ʁ
abonnirez	a b ɔ n i ʁ e
abonniriez	a b ɔ n i ʁ j e
abonnirions	a b ɔ n i ʁ j ɔ̃
abonnirons	a b ɔ n i ʁ ɔ̃
abonniront	a b ɔ n i ʁ ɔ̃
abonnis	a b ɔ n i
abonnissaient	a b ɔ n i s ɛ
abonnissais	a b ɔ n i s ɛ
abonnissait	a b ɔ n i s ɛ
abonnissant	a b ɔ n i s ɑ̃
abonnisse	a b ɔ n i s
abonnissement	a b ɔ n i s m ɑ̃
abonnissent	a b ɔ n i s
abonnisses	a b ɔ n i s
abonnissez	a b ɔ n i s e
abonnissiez	a b ɔ n i s j e
abonnissions	a b ɔ n i s j ɔ̃
abonnissons	a b ɔ n i s ɔ̃
abonnit	a b ɔ n i
abonnées	a b ɔ n e
abonnîmes	a b ɔ n i m
abonnît	a b ɔ n i
abonnîtes	a b ɔ n i t
abordai	a b ɔ ʁ d e
abordas	a b ɔ ʁ d a
abordasse	a b ɔ ʁ d a s
abordassent	a b ɔ ʁ d a s
abordasses	a b ɔ ʁ d a s
abordassiez	a b ɔ ʁ d a s j e
abordassions	a b ɔ ʁ d a s j ɔ̃
abordera	a b ɔ ʁ d ə ʁ a
aborderai	a b ɔ ʁ d ə ʁ e
aborderaient	a b ɔ ʁ d ə ʁ ɛ
aborderais	a b ɔ ʁ d ə ʁ ɛ
aborderait	a b ɔ ʁ d ə ʁ ɛ
aborderas	a b ɔ ʁ d ə ʁ a
aborderez	a b ɔ ʁ d ə ʁ e
aborderiez	a b ɔ ʁ d ə ʁ j e
aborderions	a b ɔ ʁ d ə ʁ j ɔ̃
aborderons	a b ɔ ʁ d ə ʁ ɔ̃
aborderont	a b ɔ ʁ d ə ʁ ɔ̃
abordeur	a b ɔ ʁ d œ ʁ
abordeurs	a b ɔ ʁ d œ ʁ
abordez	a b ɔ ʁ d e
abordiez	a b ɔ ʁ d j e
abordions	a b ɔ ʁ d j ɔ̃
abordâmes	a b ɔ ʁ d a m
abordât	a b ɔ ʁ d a
abordâtes	a b ɔ ʁ d a t
abornement	a b ɔ ʁ n ə m ɑ̃
aborner	a b ɔ ʁ n e
abornerait	a b ɔ ʁ n ə ʁ ɛ
abortif	a b ɔ ʁ t i f
abortifs	a b ɔ ʁ t i f
abortive	a b ɔ ʁ t i v
abot	a b o
aboteau	a b ɔ t o
abots	a b o
abou	a b u
aboucha	a b u ʃ a
abouchaient	a b u ʃ ɛ
abouchais	a b u ʃ ɛ
abouchait	a b u ʃ ɛ
abouchas	a b u ʃ a
abouchasse	a b u ʃ a s
abouchassent	a b u ʃ a s
abouchasses	a b u ʃ a s
abouchassiez	a b u ʃ a s j e
abouchassions	a b u ʃ a s j ɔ̃
abouche	a b u ʃ
abouchement	a b u ʃ m ɑ̃
abouchent	a b u ʃ
aboucher	a b u ʃ e
aboucheraient	a b u ʃ ʁ ɛ
aboucherais	a b u ʃ ʁ ɛ
aboucherait	a b u ʃ ʁ ɛ
aboucheriez	a b u ʃ ə ʁ j e
aboucherions	a b u ʃ ə ʁ j ɔ̃
abouchiez	a b u ʃ j e
abouchions	a b u ʃ j ɔ̃
abouchâmes	a b u ʃ a m
abouchât	a b u ʃ a
abouchâtes	a b u ʃ a t
abouchée	a b u ʃ e
abouchées	a b u ʃ e
abouchés	a b u ʃ e
aboudabien	a b u d a b j ɛ̃
aboudabienne	a b u d a b j ɛ n
aboudhabien	a b u d a b j ɛ̃
aboudhabienne	a b u d a b j ɛ n
abougri	a b u ɡ ʁ i
abougrie	a b u ɡ ʁ i
abougrir	a b u ɡ ʁ i ʁ
aboulent	a b u l
abouler	a b u l e
aboulera	a b u l ʁ a
aboulerai	a b u l ʁ e
abouleras	a b u l ʁ a
aboulerez	a b u l ʁ e
aboulerons	a b u l ʁ ɔ̃
abouleront	a b u l ʁ ɔ̃
aboulie	a b u l i
aboulies	a b u l i
aboulique	a b u l i k
abouliques	a b u l i k
aboulons	a b u l ɔ̃
abouta	a b u t a
aboutai	a b u t e
aboutaient	a b u t ɛ
aboutais	a b u t ɛ
aboutait	a b u t ɛ
aboutant	a b u t ɑ̃
aboutas	a b u t a
aboutasse	a b u t a s
aboutassent	a b u t a s
aboutasses	a b u t a s
aboutassiez	a b u t a s j e
aboutassions	a b u t a s j ɔ̃
aboute	a b u t
aboutement	a b u t m ɑ̃
aboutent	a b u t
abouter	a b u t e
abouteraient	a b u t ʁ ɛ
