'tain	t ɛ̃
adélie	a d e l i
afar	a f a ʁ
afghan	a f ɡ ɑ̃
afghane	a f ɡ a n
afghanistan	a f ɡ a n i s t ɑ̃
africain	a f ʁ i k ɛ̃
africaine	a f ʁ i k ɛ n
africaines	a f ʁ i k ɛ n
afrique	a f ʁ i k
agamemnon	a ɡ a m ɛ m n ɔ̃
agathe	a ɡ a t
agde	a ɡ d
agen	a ʒ ɛ̃
aggée	a ʒ e
aglukark	a ɡ l u k a ʁ k
aglukkaq	a ɡ l u k a k
agly	a ɡ l i
agneau	a ɲ o
agniers	a ɲ e
agnès	a ɲ ɛ s
agout	a ɡ u
agésilas	a ʒ e z i l a s
aimé	e m e
aimée	e m e
ain	ɛ̃
aisne	ɛ n
aiton	e t ɔ̃
aixois	ɛ k s w a
aixoise	ɛ k s w a z
ajaccien	a ʒ a k s j ɛ̃
ajaccienne	a ʒ a k s j ɛ n
ajaccio	a ʒ a k s j o
ajacéen	a ʒ a s e ɛ̃
ajacéenne	a ʒ a s e ɛ n
akhannouch	a k a n u ʃ
akiko	a k i k o
akkadien	a k a d j ɛ̃
akkadienne	a k a d j ɛ n
akkouche	a k u ʃ
akram	a k ʁ a m
akrem	a k ʁ ɛ m
akwesasne	a k w e s a s n e
alabama	a l a b a m a
alabamien	a l a b a m j ɛ̃
alabamienne	a l a b a m j ɛ n
alain	a l ɛ̃
alais	a l ɛ
alaska	a l a s k a
alaskain	a l a s k ɛ̃
alaskaine	a l a s k ɛ n
alaskien	a l a s k j ɛ̃
alaskienne	a l a s k j ɛ n
alaïa	a l a j a
alban	a l b ɑ̃
albanais	a l b a n ɛ
albanaise	a l b a n ɛ z
albane	a l b a n
albanie	a l b a n i
albanien	a l b a n j ɛ̃
albert	a l b ɛ ʁ
alberta	a l b ɛ ʁ t a
alberte	a l b ɛ ʁ t
albertine	a l b ɛ ʁ t i n
albi	a l b i
albien	a l b j ɛ̃
albouy	a l b w i j
alceste	a l s ɛ s t
alcibiade	a l s i b j a d
alcée	a l s e
aldebaran	a l d ə b a ʁ ɑ̃
alençon	a l ɑ̃ s ɔ̃
alep	a l ɛ p
alesi	a l e z i
alex	a l ɛ k s
alexa	a l ɛ k s a
alexandra	a l ɛ k s ɑ̃ d ʁ a
alexandre	a l ɛ k s ɑ̃ d ʁ
alexandrescu	a l ɛ k s ɑ̃ d ʁ ɛ s k u
alexandrie	a l ɛ k s ɑ̃ d ʁ i
alexandrin	a l ɛ k s ɑ̃ d ʁ ɛ̃
alexandrine	a l ɛ k s ɑ̃ d ʁ i n
alexandrovsk	a l ɛ k s ɑ̃ d ʁ ɔ f s k
alexanian	a l ɛ k s a n j ɑ̃
alexia	a l ɛ k s i a
alexis	a l ɛ k s i
alexy	a l ɛ k s i
alexya	a l ɛ k s j a
alfa	a l f a
alfandari	a l f ɑ̃ d a ʁ i
alfortville	a l f ɔ ʁ v i l
alfred	a l f ʁ ɛ d
alger	a l ʒ e
algide	a l ʒ i d
algérie	a l ʒ e ʁ i
algérien	a l ʒ e ʁ j ɛ̃
algérienne	a l ʒ e ʁ j ɛ n
alice	a l i s
alicia	a l i s j a
aline	a l i n
alix	a l i k s
alizé	a l i z e
alizée	a l i z e
aliénor	a l j e n ɔ ʁ
allaire	a l ɛ ʁ
allais	a l ɛ
allard	a l a ʁ
allein	a l ɛ̃
allemagne	a l m a ɲ
allemand	a l m ɑ̃
allemands	a l m ɑ̃
allier	a l j e
alloula	a l u l a
almohade	a l m ɔ a d
alouane	a l w a n
alpes	a l p
alphandéry	a l f ɑ̃ d e ʁ i
alphonse	a l f ɔ̃ s
alphonsine	a l f ɔ̃ s i n
alphée	a l f e
alsace	a l z a s
alsacien	a l z a s j ɛ̃
altaï	a l t a j
althée	a l t e
alzen	a l z ɑ̃
alès	a l ɛ s
alénya	a l e n j a
alépin	a l e p ɛ̃
amadou	a m a d u
amalric	a m a l ʁ i k
amand	a m ɑ̃
amanda	a m ɑ̃ d a
amandine	a m ɑ̃ d i n
amapá	a m a p a
amar	a m a ʁ
amari	a m a ʁ i
amarouche	a m a ʁ u ʃ
amaury	a m ɔ ʁ i
amazonie	a m a z ɔ n i
ambre	ɑ̃ b ʁ
ameline	a m l i n
amhara	a m a ʁ a
amherst	a m œ ʁ s t
ami	a m i
amiel	a m j ɛ l
amiens	a m j ɛ̃
amin	a m i n
amine	a m i n
ammerschwihr	a m ə ʁ ʃ v i ʁ
amos	a m ɔ s
amour	a m u ʁ
amoureux	a m u ʁ ø
amouroux	a m u ʁ u
amphipolis	ɑ̃ f i p ɔ l i s
ampère	ɑ̃ p ɛ ʁ
amrani	a m ʁ a n i
amraoui	a m ʁ a w i
amrou	a m ʁ u
amsterdam	a m s t ɛ ʁ d a m
amélie	a m e l i
américain	a m e ʁ i k ɛ̃
américaine	a m e ʁ i k ɛ n
amérique	a m e ʁ i k
anansi	a n a n s i
anasazi	a n a s a z i
anastase	a n a s t a z
anastasie	a n a s t a z i
anatole	a n a t ɔ l
anatolie	a n a t ɔ l i
anaxagore	a n a k s a ɡ ɔ ʁ
anaxarque	a n a k s a ʁ k
anaximandre	a n a k s i m ɑ̃ d ʁ
anaximène	a n a k s i m ɛ n
anaïs	a n a i s
ancyre	ɑ̃ s i ʁ
ancône	ɑ̃ k o n
andalousie	ɑ̃ d a l u z i
andes	ɑ̃ d
andie	ɑ̃ d i
andocide	ɑ̃ d ɔ s i d
andorre	ɑ̃ d ɔ ʁ
andreassian	ɑ̃ d ʁ e a s j ɑ̃
andretti	ɑ̃ d ʁ e t i
andrin	ɑ̃ d ʁ ɛ̃
andrinople	ɑ̃ d ʁ i n ɔ p l
andromède	ɑ̃ d ʁ ɔ m ɛ d
androuet	ɑ̃ d ʁ u ɛ
andré	ɑ̃ d ʁ e
andréan	ɑ̃ d ʁ e ɑ̃
andréana	ɑ̃ d ʁ e a n a
andréane	ɑ̃ d ʁ e a n
andréanne	ɑ̃ d ʁ e a n
andréassian	ɑ̃ d ʁ e a s j ɑ̃
andrée	ɑ̃ d ʁ e
ange	ɑ̃ ʒ
angelier	ɑ̃ ʒ ə l j e
angelin	ɑ̃ ʒ l ɛ̃
angeline	ɑ̃ ʒ l i n
angers	ɑ̃ ʒ e
anglade	ɑ̃ ɡ l a d
anglais	ɑ̃ ɡ l ɛ
anglaise	ɑ̃ ɡ l ɛ z
anglefort	ɑ̃ ɡ l ə f ɔ ʁ
angleterre	ã ɡ l ə t a ɛ̯ ʁ
angliche	ɑ̃ ɡ l i ʃ
angliches	ɑ̃ ɡ l i ʃ
angola	ɑ̃ ɡ ɔ l a
angora	ɑ̃ ɡ ɔ ʁ a
angoulême	ɑ̃ ɡ u l ɛ m
angoumois	ɑ̃ ɡ u m w a
angèle	ɑ̃ ʒ ɛ l
angélina	ɑ̃ ʒ e l i n a
angéline	ɑ̃ ʒ e l i n
angélique	ɑ̃ ʒ e l i k
anichinabé	a n i ʃ i n a b e
anita	a n i t a
anjou	ɑ̃ ʒ u
ankara	ɑ̃ k a ʁ a
anna	a n a
annabelle	a n a b ɛ l
annam	a n a m
anne	a n
annecy	a n s i
annette	a n ɛ t
annick	a n i k
annie	a n i
annonay	a n ɔ n ɛ
anselme	ɑ̃ s ɛ l m
antananarivo	ɑ̃ t a n a n a ʁ i v o
antarctique	ɑ̃ t a ʁ k t i k
antarès	ɑ̃ t a ʁ ɛ s
antibes	ɑ̃ t i b
anticlée	ɑ̃ t i k l e
antigue	ɑ̃ t i ɡ
antillais	ɑ̃ t i j ɛ
antillaise	ɑ̃ t i j ɛ z
antillaises	ɑ̃ t i j ɛ z
antilles	ɑ̃ t i j
antioche	ɑ̃ t j ɔ ʃ
antiochien	ɑ̃ t j ɔ ʃ j ɛ̃
antiochos	ɑ̃ t j ɔ k ɔ s
antiphon	ɑ̃ t i f ɔ̃
antiquité	ɑ̃ t i k i t e
antisthène	ɑ̃ t i s t ɛ n
antoine	ɑ̃ t w a n
antoinette	ɑ̃ t w a n ɛ t
antras	ɑ̃ t ʁ a s
anubis	a n y b i s
anvers	ɑ̃ v ɛ ʁ
aoi	a ɔ i
aoste	a ɔ s t
aostois	a ɔ s t w a
aounit	a u n i t
aouste	a u t
apache	a p a ʃ
apamène	a p a m ɛ n
apamée	a p a m e
apaméen	a p a m e ɛ̃
apennins	a p e n ɛ̃
aphrodite	a f ʁ ɔ d i t
apocalypse	a p ɔ k a l i p s
apollin	a p ɔ l ɛ̃
apollinaire	a p ɔ l i n ɛ ʁ
apolline	a p ɔ l i n
apollodore	a p ɔ l ɔ d ɔ ʁ
apollon	a p ɔ l ɔ̃
apollonia	a p ɔ l ɔ n j a
apollonie	a p ɔ l ɔ n i
appalaches	a p a l a ʃ
apt	a p t
apulée	a p y l e
aquilée	a k i l e
aquiléen	a k i l e ɛ̃
aquitaine	a k i t ɛ n
aquitanien	a k i t a n j ɛ̃
arabe	a ʁ a b
arabie	a ʁ a b i
aragon	a ʁ a ɡ ɔ̃
aragonais	a ʁ a ɡ ɔ n ɛ
aramée	a ʁ a m e
arbace	a ʁ b a s
arbonne	a ʁ b ɔ n
arbrissel	a ʁ b ʁ i s ɛ l
arcachon	a ʁ k a ʃ ɔ̃
arcangues	a ʁ k ɑ̃ ɡ
arceneaux	a ʁ s ə n o
archag	a ʁ ʃ a ɡ
archambault	a ʁ ʃ ɑ̃ b o l
archiloque	a ʁ ʃ i l ɔ k
archimède	a ʁ ʃ i m ɛ d
archélaüs	a ʁ ʃ e l a y s
arctique	a ʁ k t i k
ardennes	a ʁ d ɛ n
ardouin	a ʁ d w ɛ̃
ardèche	a ʁ d ɛ ʃ
areuse	a ʁ ø z
argelès	a ʁ ʒ ə l ɛ
argenteuil	a ʁ ʒ ɑ̃ t œ j
argentine	a ʁ ʒ ɑ̃ t i n
argovie	a ʁ ɡ ɔ v i
ariane	a ʁ j a n
aristarque	a ʁ i s t a ʁ k
aristippe	a ʁ i s t i p
aristobule	a ʁ i s t ɔ b y l
aristophane	a ʁ i s t ɔ f a n
aristote	a ʁ i s t ɔ t
aristée	a ʁ i s t e
aristénète	a ʁ i s t e n ɛ t
arize	a ʁ i z
ariège	a ʁ j ɛ ʒ
ariégeois	a ʁ j e ʒ w a
arkhangelsk	a ʁ k ɑ̃ ʒ ɛ l s k
arkhanguelsk	a ʁ k ɑ̃ ɡ ɛ l s k
arlequin	a ʁ l ə k ɛ̃
arles	a ʁ l
arlette	a ʁ l ɛ t
arlon	a ʁ l ɔ̃
armand	a ʁ m ɑ̃
armandine	a ʁ m ɑ̃ d i n
armanet	a ʁ m a n ɛ
armel	a ʁ m ɛ l
armelle	a ʁ m ɛ l
armin	a ʁ m i n
armoricain	a ʁ m ɔ ʁ i k ɛ̃
arménie	a ʁ m e n i
arnaud	a ʁ n o
arnault	a ʁ n o l
arno	a ʁ n o
arntfield	a ʁ n t f i l d
arnulfinge	a ʁ n y l f ɛ̃ ʒ
arpajon	a ʁ p a ʒ ɔ̃
arpavon	a ʁ p a v ɔ̃
arquisat	a ʁ k i z a
arrouet	a ʁ w ɛ
arruda	a ʁ u d a
arsace	a ʁ s a s
arsenault	a ʁ s ə n o l
arsinoé	a ʁ s i n ɔ e
arsène	a ʁ s ɛ n
artagnan	a ʁ t a ɲ ɑ̃
artaxerxès	a ʁ t a k s ɛ ʁ k s ɛ s
arthabaska	a ʁ t a b a s k a
arthur	a ʁ t y ʁ
artigat	a ʁ t i ɡ a
artigues	a ʁ t i ɡ
artillac	a ʁ t i j a k
artois	a ʁ t w a
artémide	a ʁ t e m i d
artémides	a ʁ t e m i d
artémis	a ʁ t e m i s
arundel	a ʁ y n d ɛ l
arverne	a ʁ v ɛ ʁ n
arviat	a ʁ v i a t
arzou	a ʁ z u
arès	a ʁ ɛ s
ascarat	a s k a ʁ a
ascension	a s ɑ̃ s j ɔ̃
asclèpe	a s k l ɛ p
asclépiade	a s k l e p j a d
asco	a s k o
ascou	a s k u
ascoux	a k u
asiatique	a z j a t i k
asie	a z i
aslani	a s l a n i
asperger	a s p ɛ ʁ ɡ ə ʁ
assedic	a s e d i k
assise	a s i z
assouan	a s w ɑ̃
assouline	a s u l i n
assyrie	a s i ʁ i
astié	a s t j e
astolphe	a s t ɔ l f
astrid	a s t ʁ i d
astruc	a s t ʁ y k
asturies	a s t y ʁ i
astérix	a s t e ʁ i k s
atambaïev	a t ɑ̃ b a j ɛ v
ath	a t
athanase	a t a n a z
athènes	a t ɛ n
athéna	a t e n a
athénaïs	a t e n a i s
atlantide	a t l ɑ̃ t i d
atlantique	a t l ɑ̃ t i k
atlas	a t l a s
atropate	a t ʁ ɔ p a t
atropatie	a t ʁ ɔ p a s i
atropatien	a t ʁ ɔ p a s j ɛ̃
atropatès	a t ʁ ɔ p a t ɛ s
atsuko	a t s u k o
attal	a t a l
attale	a t a l
attalie	a t a l i
attique	a t i k
atton	a t ɔ̃
aube	o b
auberjonois	o b ɛ ʁ ʒ ɔ n w a
aubin	o b ɛ̃
aubrac	o b ʁ a k
auch	o ʃ
auclair	o k l ɛ ʁ
aucoin	o k w ɛ̃
aude	o d
audet	o d ɛ
audierne	o d j ɛ ʁ n
audrey	o d ʁ e
audric	o d ʁ i k
audréane	o d ʁ e a n
audréanne	o d ʁ e a n
audrée	o d ʁ e
audureau	o d y ʁ o
auger	o ʒ e
augier	o ʒ j e
augsbourg	o ɡ z b u ʁ
auguste	o ɡ y s t
augustin	o ɡ y s t ɛ̃
augustine	o ɡ y s t i n
aulnay	o l n ɛ
aumond	o m ɔ̃
aupaluk	a u p a l y k
auriane	o ʁ j a n
aurignac	ɔ ʁ i ɲ a k
aurigny	ɔ ʁ i ɲ i
aurillac	o ʁ i j a k
auriol	o ʁ j ɔ l
aurore	o ʁ ɔ ʁ
aurélia	ɔ ʁ e l j a
aurélie	ɔ ʁ e l i
aurélien	ɔ ʁ e l j ɛ̃
australasie	o s t ʁ a l a z i
australie	o s t ʁ a l i
auteuil	o t œ j
auteuillois	o t œ j w a
auteuilloise	o t œ j w a z
authier	o t j e
automédon	o t ɔ m e d ɔ̃
autriche	o t ʁ i ʃ
autrichien	o t ʁ i ʃ j ɛ̃
autrichienne	o t ʁ i ʃ j ɛ n
auvergnat	o v ɛ ʁ ɲ a
auvergne	o v ɛ ʁ ɲ
auxerre	o s ɛ ʁ
auzas	o z a
avantès	a v ɑ̃ t ɛ s
avent	a v ɑ̃
aventin	a v ɑ̃ t ɛ̃
averne	a v ɛ ʁ n
aveyron	a v e ʁ ɔ̃
avicenne	a v i s ɛ n
avignon	a v i ɲ ɔ̃
avril	a v ʁ i l
axe	a k s
axel	a k s ɛ l
axelle	a k s ɛ l
aya	a j a
ayako	a j a k o
aylmer	e l m ɛ ʁ
aymara	ɛ j m a ʁ a
aymen	a j m ɛ n
aymeric	ɛ m ʁ i k
ayumi	a j u m i
azerbaïdjan	a z ɛ ʁ b a j d ʒ ɑ̃
azincourt	a z ɛ̃ k u ʁ
aznavour	a z n a v u ʁ
aznavourian	a z n a v u ʁ j ɑ̃
azraël	a z ʁ a ɛ l
aztèque	a s t ɛ k
aztèques	a z t ɛ k
azzedine	a z e d i n
azéri	a z e ʁ i
açores	a s ɔ ʁ
açorien	a s ɔ ʁ j ɛ̃
açoréen	a s ɔ ʁ e ɛ̃
aïcha	a i ʃ a
aïd	a i d
aïnou	a i n u
aïssata	a i s a t a
aïssatou	a i s a t u
bac	b a k
batral	b a t ʁ a l
bcbg	b e s e b e ʒ e
bce	b e s e ø
bd	b e d e
bfr	b e ɛ f ɛ ʁ
bm	b e ɛ m
bmw	b e e m w e
bnp	b e ɛ n p e
bo	b e o
bp	b e p e
bpco	b e p e s e o
bq	b e k y
bst	b e ɛ s t e
bzd	b e z ɛ d d e
bzds	b e z ɛ d d e
baalbeck	b a a l b ɛ k
babolein	b a b ɔ l ɛ̃
babylone	b a b i l ɔ n
babylonie	b a b i l ɔ n i
bacchylide	b a k i l i d
bachelet	b a ʃ l ɛ
bachkir	b a ʃ k i ʁ
bachkirie	b a ʃ k i ʁ i
bactriane	b a k t ʁ i j a n
bade	b a d
badois	b a d w a
badr	b a d ə ʁ
bagdad	b a ɡ d a d
bagotville	b a ɡ ɔ t v i l
baham	b a ɑ̃
bahamas	b a a m a
bahloul	b a h l u l
bahreïn	b a ʁ ɛ j n
bahreïni	b a ʁ ɛ j n i
bahreïnien	b a ʁ ɛ j n j ɛ̃
bahreïnienne	b a ʁ ɛ j n j ɛ n
bainghen	b ɛ̃ ɡ ɑ̃
bakavi	b a k a v i
bakhmout	b a k m u t
bakinois	b a k i n w a
bakinoise	b a k i n w a z
bakinoises	b a k i n w a z
bakou	b a k u
balance	b a l ɑ̃ s
balazeïkine	b a l a z ə i k i n
balbec	b a l b ɛ k
balduc	b a l d y k
baliar	b a l j a ʁ
balinais	b a l i n ɛ
baloutchistan	b a l u t ʃ i s t ɑ̃
balzac	b a l z a k
bamako	b a m a k o
bandelier	b ɑ̃ d ə l j e
banff	b a n f
bangkok	b a ŋ k ɔ k
bangladesh	b ɑ̃ ɡ l a d ɛ ʃ
bankass	b ɑ̃ k a s
bannalec	b a n a l ɛ k
baptiste	b a t i s t
baraduc	b a ʁ a d y k
barbade	b a ʁ b a d
barbara	b a ʁ b a ʁ a
barbe	b a ʁ b
barbudien	b a ʁ b y d j ɛ̃
barcelone	b a ʁ s ə l ɔ n
bardawil	b a ʁ d a w i l
bardella	b a ʁ d e l a
bardot	b a ʁ d o
barkmere	b a ʁ k m e ʁ
barnabé	b a ʁ n a b e
barnaoul	b a ʁ n a u l
barrault	b a ʁ o l
barraute	b a ʁ o t
barrelier	b a ʁ ə l j e
barrette	b a ʁ ɛ t
barrès	b a ʁ ɛ s
barré	b a ʁ e
barthes	b a ʁ t
barthès	b a ʁ t ɛ
barthélemy	b a ʁ t e l e m i
baruc	b a ʁ y k
baruch	b a ʁ u ʃ
bary	b a ʁ i
barèges	b a ʁ ɛ ʒ
basile	b a z i l
basilicate	b a z i l i k a t
basilide	b a z i l i d
basle	b a l
basque	b a s k
bassatne	b a s a t n e
bassorah	b a s ɔ ʁ a
bassussarry	b a s y s a ʁ i
bastien	b a s t j ɛ̃
bastienne	b a s t j ɛ n
bastiennes	b a s t j ɛ n
bastille	b a s t i j
bastogne	b a s t ɔ ɲ
batave	b a t a v
bathurst	b a t y ʁ s t
batman	b a t m a n
baudouin	b o d w ɛ̃
baumé	b o m e
baup	b o
bavière	b a v j ɛ ʁ
bayle	b ɛ j l
bayonne	b a j ɔ n
bazille	b a z i j
beatles	b i t œ l s
beauce	b o s
beauceville	b o s v i l
beauchamp	b o ʃ ɑ̃
beaudry	b o d ʁ i
beaufortain	b o f ɔ ʁ t ɛ̃
beaujeu	b o ʒ ø
beaujolais	b o ʒ ɔ l ɛ
beaumont	b o m ɔ̃
beaune	b o n
beaupré	b o p ʁ e
beauregard	b o ʁ ə ɡ a ʁ
beauséjour	b o z e ʒ u ʁ
beauvais	b o v ɛ
beauval	b o v a l
becquart	b e k a ʁ
beigbeder	b ɛ ɡ b e d e
beijing	b e d ʒ i ŋ
bektach	b ɛ k t a ʃ
belattek	b e l a t ɛ k
belaïd	b ə l a i d
belcourt	b ɛ l k u ʁ
belfiore	b ɛ l f j ɔ ʁ
belfort	b ɛ l f ɔ ʁ
belge	b ɛ l ʒ
belgique	b ɛ l ʒ i k
belgrade	b ɛ l ɡ ʁ a d
belize	b e l i z
belkaïd	b ɛ l k a i d
bella	b e l a
bellechasse	b ɛ l ʃ a s
bellecombe	b ɛ l k ɔ̃ b
bellefontaine	b ɛ l f ɔ̃ t ɛ n
bellegarde	b ɛ l ɡ a ʁ d
bellegueule	b ɛ l ɡ œ l
belleterre	b ɛ l t ɛ ʁ
belley	b e l ɛ j
belmessous	b ɛ l m e s u s
belsunce	b ɛ l z ɛ̃ s
benasque	b ə n a s k
benchiba	b ɛ n ʃ i b a
bengale	b ɛ̃ ɡ a l
benjamin	b ɛ̃ ʒ a m ɛ̃
benoist	b ə n w a
benoît	b ə n w a
benvignat	b ɑ̃ v i ɲ a
berbère	b ɛ ʁ b ɛ ʁ
berbères	b ɛ ʁ b ɛ ʁ
berbérie	b ɛ ʁ b e ʁ i
bercy	b ɛ ʁ s i
beresford	b i ɝ s f ɝ d
bergerac	b ɛ ʁ ʒ ə ʁ a k
bergson	b ɛ ʁ ɡ s ɔ̃
berlin	b ɛ ʁ l ɛ̃
berlinois	b ɛ ʁ l i n w a
berlinoise	b ɛ ʁ l i n w a z
berlinoises	b ɛ ʁ l i n w ɑ z
bermudes	b ɛ ʁ m y d
bernabeu	b ɛ ʁ n a b ø
bernadette	b ɛ ʁ n a d ɛ t
bernard	b ɛ ʁ n a ʁ
berne	b ɛ ʁ n
bernon	b ɛ ʁ n ɔ̃
berry	b e ʁ i
berthe	b ɛ ʁ t
berthierville	b ɛ ʁ t j ɛ ʁ v i l
bertine	b ɛ ʁ t i n
bertrand	b ɛ ʁ t ʁ ɑ̃
besac	b ə z a k
besacier	b ə z a s j e
besançon	b ə z ɑ̃ s ɔ̃
bestiac	b ɛ s t j a k
betafo	b e t a f o
betchat	b ɛ t ʃ a t
bethléem	b ɛ t l e ɛ m
bethléhem	b ɛ t l e ɛ m
bethsabée	b ɛ t s a b e
bettachini	b e t a ʃ i n i
bettembos	b e t ɑ̃ b o
beyala	b e j a l a
beyrouth	b e ʁ u t
beyrouthin	b e ʁ u t ɛ̃
beyrouthine	b e ʁ u t i n
bhoutan	b u t ɑ̃
biafra	b j a f ʁ a
bible	b i b l
bichat	b i ʃ a
bicêtre	b i s ɛ t ʁ
bidart	b i d a ʁ
bidule	b i d y l
bifröst	b i f ʁ ɔ s t
bigonville	b i ɡ ɔ̃ v i l
bihouix	b i w i
bikini	b i k i n i
binche	b ɛ̃ ʃ
binedama	b i n e d a m a
binoche	b i n ɔ ʃ
bioteau	b j ɔ t o
birette	b i ʁ ɛ t
birmanie	b i ʁ m a n i
biscaye	b i s k a j
biscaïchipy	b i s k a i ʃ i p i
bishnoï	b i ʃ n ɔ i
bisounours	b i z u n u ʁ s
bièvre	b j ɛ v ʁ
biélorusse	b j e l ɔ ʁ y s
biélorussie	b j e l ɔ ʁ y s i
black	b l a k
blacks	b l a k
blagnac	b l a ɲ a k
blaignac	b l e ɲ a k
blaise	b l ɛ z
blanc	b l ɑ̃
blanche	b l ɑ̃ ʃ
blandine	b l ɑ̃ d i n
blendecques	b l ɑ̃ d ɛ k
bligny	b l i ɲ i
bloc	b l ɔ k
blois	b l w a
blouin	b l u ɛ̃
bluetooth	b l u t u s
blumenfeld	b l y m œ n f ɛ l d
bob	b ɔ b
bobigny	b o b i ɲ i
bobovnikoff	b ɔ b ɔ v n i k ɔ f
boche	b ɔ ʃ
bohême	b ɔ ɛ m
boileau	b w a l o
boilly	b ɔ j i
boily	b w a l i
boisbriand	b w a b ʁ i j ɑ̃
boissevain	b w a s v ɛ̃
boissezon	b w a s z ɔ̃
boisvert	b w a s v ɛ ʁ
boivin	b w a v ɛ̃
bolduc	b ɔ l d y k
bolivie	b ɔ l i v i
bollé	b ɔ l e
bologne	b ɔ l ɔ ɲ
bombay	b ɔ̃ b ɛ
bompas	b ɔ̃ p a
bonaparte	b ɔ n a p a ʁ t
bonaventure	b ɔ n a v ɑ̃ t y ʁ
bondou	b ɔ̃ d u
boniface	b ɔ n i f a s
bonifacio	b ɔ n i f a s j o
bonjour	b ɔ̃ ʒ u ʁ
bonn	b ɔ n
bonnœuvre	b ɔ n œ v ʁ
bonzom	b ɔ̃ z ɔ̃
bonzon	b ɔ̃ z ɔ̃
boran	b ɔ ʁ ɑ̃
bordeaux	b ɔ ʁ d o
bordelais	b ɔ ʁ d ə l ɛ
bordenet	b ɔ ʁ d ə n ɛ
borezza	b ɔ ʁ e z a
boriaud	b ɔ ʁ j o
bornéo	b ɔ ʁ n e o
bosnie	b ɔ s n i
bostonien	b ɔ s t ɔ n j ɛ̃
botnie	b ɔ t n i
botswana	b ɔ t s w a n a
botte	b ɔ t
bouallegue	b w a l ɛ ɡ
bouchard	b u ʃ a ʁ
boucher	b u ʃ e
boucherville	b u ʃ ɛ ʁ v i l
bouchette	b u ʃ ɛ t
bouctouche	b u k t u ʃ
bouddha	b u d a
boudine	b u d i n
boudokhane	b u d ɔ k a n
boudreau	b u d ʁ o
boudreaux	b u d ʁ o
bougainville	b u ɡ ɛ̃ v i l
bougareit	b u ɡ a ʁ ɛ t
bouglainval	b u ɡ l ɛ̃ v a l
bouhadeb	b u a d ɛ b
bouix	b w i
boukhobza	b u k ɔ b z a
boulahroud	b u l a h ʁ u d
boulbi	b u l b i
bouleternère	b u l t ɛ ʁ n ɛ ʁ
boulibané	b u l i b a n e
boulogne	b u l ɔ ɲ
boulonnais	b u l ɔ n ɛ
boulonnaise	b u l ɔ n ɛ z
boundou	b u n d u
bourbon	b u ʁ b ɔ̃
bourdieu	b u ʁ d j ø
bourdin	b u ʁ d ɛ̃
bourgat	b u ʁ ɡ a
bourges	b u ʁ ʒ
bourgogne	b u ʁ ɡ ɔ ɲ
bouriatie	b u ʁ j a t i
