a	ɐ
abalável	ɐ b ɐ l ɐ v e w
abalão	ɐ b ɐ l ɐ̃ ɐ̃w̃
abalões	ɐ b ɐ l õ s s
abamec	ɐ b ɐ̃ m e k
abamectina	ɐ b ɐ m e k i t i n ɐ
abana	ɐ b ɐ n ɐ
abanando	ɐ b ɐ n ɐ̃ d u
abanar	ɐ b ɐ n ɐ ɹ
abanazado	ɐ b ɐ n ɐ z ɐ d o
abanazar	ɐ b ɐ n ɐ z ɐ
abancar	ɐ b ɐ̃ k ɐ
abandalhar	ɐ b ɐ̃ d ɐ ʎ ɐ
abandar	ɐ b ɐ̃ d ɐ
abandeirar	ɐ b ɐ̃ d e ɾ ɾ ɐ
abandião	ɐ b ɐ̃ d i ɐ̃ ɐ̃w̃
abandiões	ɐ b ɐ̃ d i õ s s
abandona	ɐ b ɐ̃ d õ n ɐ
abandonada	ɐ b ɐ̃ d o n ɐ d ɐ
abandonadamente	ɐ b ɐ̃ d o n ɐ d ɐ m ẽ t e
abandonadas	ɐ b ɐ̃ d o n ɐ d ɐ s
abandonado	ɐ b ɐ̃ d o n ɐ d u
abandonador	ɐ b ɐ̃ d o n ɐ d o ɹ
abandonados	ɐ b ɐ̃ d o n ɐ d u s
abandonai	ɐ b ɐ̃ d o n ɐ ɾ
abandonais	ɐ b ɐ̃ d o n ɐ ɾ s
abandonam	ɐ b ɐ̃ d õ n ɐ̃w̃
abandonamos	ɐ b ɐ̃ d o n ɐ̃ m u s
abandonando	ɐ b ɐ̃ d o n ɐ̃ d u
abandonar	ɐ b ɐ̃ d o n ɐ ɹ
abandonara	ɐ b ɐ̃ d o n ɐ ɾ ɐ
abandonaram	ɐ b ɐ̃ d o n ɐ ɾ ɐ̃w̃
abandonaras	ɐ b ɐ̃ d o n ɐ ɾ ɐ s
abandonardes	ɐ b ɐ̃ d o n ɐ ɹ d i s
abandonarei	ɐ b ɐ̃ d o n ɐ ɾ e ɾ
abandonareis	ɐ b ɐ̃ d o n ɐ ɾ e ɾ s
abandonarem	ɐ b ɐ̃ d o n ɐ ɾ ẽj̃
abandonaremos	ɐ b ɐ̃ d o n ɐ ɾ e m o s
abandonares	ɐ b ɐ̃ d o n ɐ ɾ e s
abandonaria	ɐ b ɐ̃ d o n ɐ ɾ i ɐ
abandonariam	ɐ b ɐ̃ d o n ɐ ɾ i ɐ̃ ɐ̃w̃
abandonarias	ɐ b ɐ̃ d o n ɐ ɾ i ɐ s
abandonarmos	ɐ b ɐ̃ d o n ɐ ɹ m u s
abandonará	ɐ b ɐ̃ d o n ɐ ɾ ɐ
abandonarás	ɐ b ɐ̃ d o n ɐ ɾ ɐ ɾ s
abandonarão	ɐ b ɐ̃ d o n ɐ ɾ ɐ̃ ɐ̃w̃
abandonaríamos	ɐ b ɐ̃ d o n ɐ ɾ i ɐ m o s
abandonaríeis	ɐ b ɐ̃ d o n ɐ ɾ i e ɾ s
abandonas	ɐ b ɐ̃ d o n ɐ s
abandonasse	ɐ b ɐ̃ d o n ɐ s i
abandonassem	ɐ b ɐ̃ d o n ɐ s ẽ s
abandonasses	ɐ b ɐ̃ d o n ɐ s e s
abandonaste	ɐ b ɐ̃ d o n ɐ s t e
abandonastes	ɐ b ɐ̃ d o n ɐ s t e s
abandonava	ɐ b ɐ̃ d o n ɐ v ɐ
abandonavam	ɐ b ɐ̃ d o n ɐ v ɐ̃ ɐ̃w̃
abandonavas	ɐ b ɐ̃ d o n ɐ v ɐ s
abandone	ɐ b ɐ̃ d õ n i
abandonei	ɐ b ɐ̃ d o n ej
abandoneis	ɐ b ɐ̃ d o n e ɾ s
abandonem	ɐ b ɐ̃ d õ n ẽj̃
abandonemos	ɐ b ɐ̃ d o n e m o s
abandones	ɐ b ɐ̃ d o n e s
abandono	ɐ b ɐ̃ d õ n u
abandonos	ɐ b ɐ̃ d o n o s
abandonou	ɐ b ɐ̃ d õ n ow
abandoná	ɐ b ɐ̃ d o n ɐ
abandonáramos	ɐ b ɐ̃ d o n ɐ ɾ ɐ m o s
abandonáreis	ɐ b ɐ̃ d o n ɐ ɾ e ɾ s
abandonásseis	ɐ b ɐ̃ d o n ɐ s e ɾ s
abandonássemos	ɐ b ɐ̃ d o n ɐ s e m o s
abandonávamos	ɐ b ɐ̃ d o n ɐ v ɐ m o s
abandonáveis	ɐ b ɐ̃ d o n ɐ v e ɾ s
abandonável	ɐ b ɐ̃ d o n ɐ v e w
abaneadela	ɐ b ɐ n e ɐ d e l ɐ
abaneenga	ɐ b ɐ n e ẽ ɡ ɐ
abanete	ɐ b ɐ n e t e
abanheenga	ɐ b ɐ ɲ e ẽ ɡ ɐ
abanico	ɐ b ɐ n i k o
abano	ɐ b ɐ n o
abantesma	ɐ b ɐ̃ t e z m ɐ
abanão	ɐ b ɐ n ɐ̃ ɐ̃w̃
abanões	ɐ b ɐ n õ s s
abap	ɐ b ɐ p
abaporu	ɐ b ɐ p o ɾ u
abar	ɐ b ɐ
abarbar	ɐ b ɐ ɹ b ɐ
abarca	ɐ b ɐ ɹ k ɐ
abarcar	ɐ b ɐ ɹ k ɐ ɹ
abarcara	ɐ b ɐ ɹ k ɐ ɾ ɐ
abarcares	ɐ b ɐ ɹ k ɐ ɾ i s
abarmão	ɐ b ɐ ɹ m ɐ̃ ɐ̃w̃
abarmões	ɐ b ɐ ɹ m õ s s
abarregado	ɐ b ɐ ʁ e ɡ ɐ d o
abarregar	ɐ b ɐ ʁ e ɡ ɐ
abarrego	ɐ b ɐ ʁ e ɡ ɐ ʁ
abarreguei	ɐ b ɐ ʁ e ɡ e ɾ
abarrotada	ɐ b ɐ ʁ o t ɐ d ɐ
abarrotado	ɐ b ɐ ʁ o t ɐ d u
abarrotados	ɐ b ɐ ʁ o t ɐ d u s
abarrotar	ɐ b ɐ ʁ o t ɐ ɹ
abarticular	ɐ b ɐ ɹ t i k u l ɐ ɹ
abará	ɐ b ɐ ɾ ɐ
abaré	ɐ b ɐ ɾ e
abas	ɐ b ɐ s
abasia	ɐ b ɐ z i ɐ
abastada	ɐ b ɐ s t ɐ d ɐ
abastadas	ɐ b ɐ s t ɐ d ɐ s
abastado	ɐ b ɐ s t ɐ d o
abastados	ɐ b ɐ s t ɐ d u s
abastança	ɐ b ɐ s t ɐ̃ s ɐ
abastar	ɐ b ɐ s t ɐ
abastardar	ɐ b ɐ s t ɐ ɹ d ɐ
abastece	ɐ b ɐ s t e s i
abastecedor	ɐ b ɐ s t e s e d o ɹ
abastecem	ɐ b ɐ s t e s ẽj̃
abastecendo	ɐ b ɐ s t e s ẽ d u
abastecer	ɐ b ɐ s t e s e ɹ
abasteceu	ɐ b ɐ s t e s ew
abastecida	ɐ b ɐ s t e s i d ɐ
abastecidas	ɐ b ɐ s t e s i d ɐ s
abastecido	ɐ b ɐ s t e s i d u
abastecidos	ɐ b ɐ s t e s i d u s
abastecimento	ɐ b ɐ s t e s ĩ m ẽ t u
abastimento	ɐ b ɐ s t i m ẽ t o
abastionada	ɐ b ɐ s t i o n ɐ d ɐ
abastionadas	ɐ b ɐ s t i o n ɐ d ɐ s
abastionado	ɐ b ɐ s t i o n ɐ d o
abastionados	ɐ b ɐ s t i o n ɐ d o s
abastionar	ɐ b ɐ s t i o n ɐ
abata	ɐ b ɐ t ɐ
abatam	ɐ b ɐ t ɐ̃ ɐ̃w̃
abatanado	ɐ b ɐ t ɐ n ɐ d o
abate	ɐ b ɐ t ʃ i
abatedouro	ɐ b ɐ t e d ow ɾ u
abatedouros	ɐ b ɐ t e d ow ɾ u s
abatem	ɐ b ɐ t ẽj̃
abater	ɐ b ɐ t e ɹ
abateram	ɐ b ɐ t e ɾ ɐ̃w̃
abates	ɐ b ɐ t ʃ i s
abateu	ɐ b ɐ t ew
abati	ɐ b ɐ t i
abatida	ɐ b ɐ t ʃ i d ɐ
abatidas	ɐ b ɐ t ʃ i d ɐ s
abatido	ɐ b ɐ t ʃ i d u
abatidos	ɐ b ɐ t ʃ i d u s
abatimento	ɐ b ɐ t ʃ ĩ m ẽ t u
abatimentos	ɐ b ɐ t ʃ ĩ m ẽ t u s
abatis	ɐ b ɐ t i s
abatiá	ɐ b ɐ t i ɐ
abaton	ɐ b ɐ t õ
abaular	ɐ b ɐ u l ɐ
abav	ɐ b ɐ v
abaxial	ɐ b ɐ k s i ɐ w
abaxialmente	ɐ b ɐ k s i ɐ w m ẽ t e
abaíba	ɐ b ɐ i b ɐ
abaíra	ɐ b ɐ i ɾ ɐ
abb	ɐ b b
abba	ɐ b b ɐ
abbado	ɐ b b ɐ d u
abbas	ɐ b b ɐ s
abbc	ɐ b b k
abbeville	ɐ b e v i l e
abbey	ɐ b b e i
abbott	ɐ b b o t ʃ t ʃ
abc	ɐ b k
abcca	ɐ b k k ɐ
abcd	ɐ b k d ʒ
abcem	ɐ b s ẽj̃
abcfarma	ɐ b k f ɐ ʁ m ɐ
abcisão	ɐ b i s i z ɐ̃ ɐ̃w̃
abcz	ɐ b k s
abcásia	ɐ b i k ɐ z i ɐ
abd	ɐ b d ʒ
abdala	ɐ b d ɐ l ɐ
abdalla	ɐ b d ɐw l ɐ
abdallah	ɐ b d ɐw l ɐ
abdc	ɐ b d ʒ k
abdel	ɐ b d ɛw
abdellah	ɐ b d ɛw l ɐ
abdelmassih	ɐ b d ew m ɐ s i
abdenur	ɐ b d e n u ɹ
abdias	ɐ b i d i ɐ s
abdic	ɐ b d ʒ i k
abdica	ɐ b d ʒ i k ɐ
abdicar	ɐ b d ʒ i k ɐ ɹ
abdicou	ɐ b d ʒ i k ow
abdicável	ɐ b d i k ɐ v e w
abdo	ɐ b d u
abdome	ɐ b d õ m i
abdomes	ɐ b d o m e s
abdominais	ɐ b d o m ĩ n ɐj s
abdominal	ɐ b d o m ĩ n ɐw
abdominalmente	ɐ b d o m i n ɐ w m ẽ t e
abdominojugular	ɐ b d o m i n o ʒ u ɡ u l ɐ ʁ
abdominoplastia	ɐ b d o m i n o p l ɐ s t i ɐ
abdul	ɐ b d u w
abdula	ɐ b d u l ɐ
abdullah	ɐ b d u w l ɐ
abdutivamente	ɐ b d u t i v ɐ m ẽ t e
abdutivo	ɐ b d u t i v o
abdutor	ɐ b d u t o ɹ
abduzir	ɐ b d u z i
abduziu	ɐ b d u z i w
abdução	ɐ b d u s ɐ̃ ɐ̃w̃
abdômen	ɐ b d ʒ o m ẽ
abe	ɐ b i
abeberar	ɐ b e b e ɾ ɐ
abebé	ɐ b e b e
abeccs	ɐ b e k k s
abecedarianismo	ɐ b e s e d ɐ ɾ i ɐ n i z m o
abecedarianismos	ɐ b e s e d ɐ ɾ i ɐ n i z m o s
abecedário	ɐ b e s e d ɐ ɾ i u
abecip	ɐ b e s i p
abecitrus	ɐ b e s i t ɾ uj s
abecoinha	ɐ b e k o i ɲ ɐ
abecs	ɐ b e k s
abecásia	ɐ b e k ɐ z i ɐ
abed	ɐ b e d ʒ
abegão	ɐ b e ɡ ɐ̃ ɐ̃w̃
abegões	ɐ b e ɡ õ s s
abeiro	ɐ b e ɾ ɾ o
abeiros	ɐ b e ɾ ɾ o s
abeirão	ɐ b e ɾ ɾ ɐ̃ ɐ̃w̃
abeirões	ɐ b e ɾ ɾ õ s s
abeiva	ɐ b ej v ɐ
abejaruco	ɐ b e ʒ ɐ ɾ u k o
abel	ɐ b ɛw
abelardo	ɐ b e l ɐ ʁ d u
abelha	ɐ b e ʎ ɐ
abelhado	ɐ b e ʎ ɐ d o
abelhar	ɐ b e ʎ ɐ
abelharuco	ɐ b e ʎ ɐ ɾ u k o
abelhas	ɐ b e ʎ ɐ s
abelhei	ɐ b e ʎ e ɾ
abelheira	ɐ b e ʎ e ɾ ɾ ɐ
abelheiro	ɐ b e ʎ e ɾ ɾ o
abelhinha	ɐ b e ʎ i ɲ ɐ
abelho	ɐ b e ʎ o
abelhudismo	ɐ b e ʎ u d i z m o
abelhudismos	ɐ b e ʎ u d i z m o s
abelhudo	ɐ b e ʎ u d u
abelhão	ɐ b e ʎ ɐ̃ ɐ̃w̃
abeliano	ɐ b e l i ɐ n o
abelissauro	ɐ b e l i s ɐ w ɾ o
abelita	ɐ b e l i t ɐ
abelmosco	ɐ b e w m o s k o
abemd	ɐ b ẽ d ʒ
abenaki	ɐ b e n ɐ k i
abençoa	ɐ b ẽ s o ɐ
abençoada	ɐ b ẽ s o ɐ d ɐ
abençoado	ɐ b ẽ s o ɐ d u
abençoados	ɐ b ẽ s o ɐ d u s
abençoar	ɐ b ẽ s o ɐ ɹ
abençoe	ɐ b ẽ s o i
abençoo	ɐ b ẽ s o o
abercrombie	ɐ b e ɹ k ɾ õ b i
aberdeen	ɐ b e ʁ d e ẽ
abernéssia	ɐ b e ʁ n ɛ s i ɐ
aberrante	ɐ b e ʁ ɐ̃ t ʃ i
aberrantemente	ɐ b e ʁ ɐ̃ t e m ẽ t e
aberrar	ɐ b e ʁ ɐ
aberrativo	ɐ b e ʁ ɐ t i v o
aberratório	ɐ b e ʁ ɐ t o ɾ i o
aberração	ɐ b e ʁ ɐ s ɐ̃w̃
aberrações	ɐ b e ʁ ɐ s õj̃ s
aberrometria	ɐ b e ʁ o m e t ɾ i ɐ
aberrância	ɐ b e ʁ ɐ̃ s i ɐ
aberrômetro	ɐ b e ʁ o m e t ɾ o
abert	ɐ b e ɹ t ʃ
aberta	ɐ b e ɹ t ɐ
abertamente	ɐ b e ɹ t ɐ m ẽ t ʃ i
abertas	ɐ b e ɹ t ɐ s
aberto	ɐ b e ɹ t u
abertos	ɐ b e ɹ t u s
abertura	ɐ b e ɹ t u ɾ ɐ
abertural	ɐ b e ɹ t u ɾ ɐ w
aberturas	ɐ b e ɹ t u ɾ ɐ s
abertão	ɐ b e ɹ t ɐ̃ ɐ̃w̃
abertões	ɐ b e ɹ t õ s s
abes	ɐ b i s
abespinhar	ɐ b e s p i ɲ ɐ
abespão	ɐ b e s p ɐ̃ ɐ̃w̃
abespões	ɐ b e s p õ s s
abestado	ɐ b e s t ɐ d o
abestar	ɐ b e s t ɐ
abetalipoproteinemia	ɐ b e t ɐ l i p o p ɾ o t e i n e m i ɐ
abetarda	ɐ b e t ɐ ɹ d ɐ
abeto	ɐ b e t o
abetouro	ɐ b e t o w ɾ o
abeviliano	ɐ b e v i l i ɐ n o
abezerrado	ɐ b e z e ʁ ɐ d o
abf	ɐ b f
abhinaya	ɐ b i n ɐ ɾ ɐ
abhyanga	ɐ b ɾ ɐ̃ ɡ ɐ
abi	ɐ b i
abia	ɐ b i ɐ
abibe	ɐ b i b e
abic	ɐ b i k
abicalçados	ɐ b i k ɐw s ɐ d u s
abicar	ɐ b i k ɐ
abichanar	ɐ b i ʃ ɐ n ɐ
abidiel	ɐ b i d ʒ i ɛw
abidos	ɐ b i d o s
abiec	ɐ b i e k
abieiro	ɐ b i e ɾ ɾ o
abietato	ɐ b i e t ɐ t o
abietina	ɐ b i e t i n ɐ
abifa	ɐ b i f ɐ
abifarma	ɐ b i f ɐ ʁ m ɐ
abifumo	ɐ b i f ũ m u
abigail	ɐ b i ɡ ɐj w
abigeato	ɐ b i ʒ e ɐ t o
abigouro	ɐ b i ɡ o w ɾ o
abigouros	ɐ b i ɡ o w ɾ o s
abigraf	ɐ b i ɡ ɾ ɐ f
abijã	ɐ b i ʒ ɐ̃
abijão	ɐ b i ʒ ɐ̃ ɐ̃w̃
abilasão	ɐ b i l ɐ z ɐ̃ ɐ̃w̃
abilidade	ɐ b i l i d ɐ d e
abilio	ɐ b i l i u
abilolado	ɐ b i l o l ɐ d o
abimael	ɐ b ĩ m ɐ ɛw
abimaq	ɐ b ĩ m ɐ k
abimeleque	ɐ b i m e l e k e
abinee	ɐ b ĩ n e i
abio	ɐ b i u
abiogenético	ɐ b i o ʒ e n e t i k o
abiogênese	ɐ b i o ʒ e n e z e
abiogênico	ɐ b i o ʒ e n i k o
abiola	ɐ b i o l ɐ
abiologia	ɐ b i o l o ʒ i ɐ
abiológico	ɐ b i o l o ʒ i k o
abiose	ɐ b i o z e
abioticamente	ɐ b i o t i k ɐ m ẽ t e
abiotrofia	ɐ b i o t ɾ o f i ɐ
abiotrófico	ɐ b i o t ɾ o f i k o
abiove	ɐ b i o v i
abipla	ɐ b i p l ɐ
abiplast	ɐ b i p l ɐ s t ʃ
abipão	ɐ b i p ɐ̃ ɐ̃w̃
abipões	ɐ b i p õ s s
abiq	ɐ b i k
abiquim	ɐ b i k ĩ
abirritar	ɐ b i ʁ i t ɐ
abish	ɐ b i ʃ
abismado	ɐ b i z m ɐ d u
abismal	ɐ b i z m ɐ w
abismalmente	ɐ b i z m ɐ w m ẽ t e
abismar	ɐ b i z m ɐ
abismo	ɐ b i z m u
abismos	ɐ b i z m u s
abismático	ɐ b i z m ɐ t i k o
abissal	ɐ b i s ɐ w
abissalmente	ɐ b i s ɐ w m ẽ t e
abissopelágico	ɐ b i s o p e l ɐ ʒ i k o
abissínia	ɐ b i s i n i ɐ
abissínio	ɐ b i s i n i o
abit	ɐ b i t ʃ
abita	ɐ b i t ɐ
abitrigo	ɐ b i t ɾ i ɡ u
abitur	ɐ b i t u ɹ
abiu	ɐ b i w
abiótico	ɐ b i o t i k o
abjeccionismo	ɐ b ʒ e k s i o n i z m o
abjeccionismos	ɐ b ʒ e k s i o n i z m o s
abjecto	ɐ b ʒ e k t o
abjecção	ɐ b ʒ e k s ɐ̃ ɐ̃w̃
abjetamente	ɐ b i ʒ e t ɐ m ẽ t e
abjeto	ɐ b i ʒ e t o
abjeção	ɐ b i ʒ e s ɐ̃ ɐ̃w̃
abjudicar	ɐ b i ʒ u d i k ɐ
abjunção	ɐ b i ʒ ũ s ɐ̃ ɐ̃w̃
abjurador	ɐ b i ʒ u ɾ ɐ d o ɹ
abjurar	ɐ b i ʒ u ɾ ɐ
abjuratório	ɐ b i ʒ u ɾ ɐ t o ɾ i o
abjuração	ɐ b i ʒ u ɾ ɐ s ɐ̃ ɐ̃w̃
abkhazia	ɐ b i k ɐ z i ɐ
abkházia	ɐ b k ɐ z i ɐ
abl	ɐ b w
ablaquear	ɐ b l ɐ k i ɐ
ablaqueação	ɐ b l ɐ k e ɐ s ɐ̃ ɐ̃w̃
ablastina	ɐ b l ɐ s t i n ɐ
ablastêmico	ɐ b l ɐ s t e m i k o
ablativo	ɐ b l ɐ t i v o
ablação	ɐ b l ɐ s ɐ̃ ɐ̃w̃
ablegado	ɐ b l e ɡ ɐ d o
ablegar	ɐ b l e ɡ ɐ
ablepsia	ɐ b l e p s i ɐ
abluir	ɐ b l u i
abluminal	ɐ b l u m i n ɐ w
abluvião	ɐ b l u v i ɐ̃ ɐ̃w̃
abluviões	ɐ b l u v i õ s s
ablução	ɐ b l u s ɐ̃ ɐ̃w̃
abn	ɐ b n
abnega	ɐ b i n e ɡ ɐ
abnegado	ɐ b n e ɡ ɐ d u
abnegados	ɐ b n e ɡ ɐ d u s
abnegar	ɐ b i n e ɡ ɐ
abnegação	ɐ b n e ɡ ɐ s ɐ̃w̃
abnego	ɐ b i n e ɡ o
abnor	ɐ b n o ɹ
abnormal	ɐ b n o ɹ m ɐ w
abnt	ɐ b n t ʃ
abo	ɐ b o
abobada	ɐ b o b ɐ d ɐ
abobadar	ɐ b o b ɐ d ɐ
abobado	ɐ b o b ɐ d o
abobar	ɐ b o b ɐ
aboboreira	ɐ b o b o ɾ e ɾ ɾ ɐ
abobrinha	ɐ b o b ɾ ĩ ɲ ɐ
abobrinhas	ɐ b o b ɾ ĩ ɲ ɐ s
abocanha	ɐ b o k ɐ̃ ɲ ɐ
abocanhar	ɐ b o k ɐ ɲ ɐ ɹ
abocanhava	ɐ b o k ɐ ɲ ɐ v ɐ
abocanhou	ɐ b o k ɐ ɲ ow
abogangado	ɐ b o ɡ ɐ̃ ɡ ɐ d o
aboiar	ɐ b o ɾ ɐ
aboiz	ɐ b o i s
abolar	ɐ b o l ɐ
abole	ɐ b o l i
aboletar	ɐ b o l e t ɐ
abolicionismo	ɐ b o l i s i o n i z m u
abolicionista	ɐ b o l i s i o n i s t ɐ
abolida	ɐ b o l i d ɐ
abolidas	ɐ b o l i d ɐ s
abolido	ɐ b o l i d u
abolidos	ɐ b o l i d u s
abolir	ɐ b o l i ɹ
aboliu	ɐ b o l iw
abolição	ɐ b o l i s ɐ̃w̃
abolível	ɐ b o l i v e w
abomasal	ɐ b o m ɐ z ɐ w
abomasite	ɐ b o m ɐ z i t e
abomaso	ɐ b o m ɐ z o
abomei	ɐ b o m e ɾ
abomina	ɐ b o m ĩ n ɐ
abominar	ɐ b o m ĩ n ɐ ɹ
abominavelmente	ɐ b o m i n ɐ v e w m ẽ t e
abominação	ɐ b o m i n ɐ s ɐ̃ ɐ̃w̃
abominações	ɐ b o m i n ɐ s õ s s
abominábil	ɐ b o m i n ɐ b i w
abomináveis	ɐ b o m ĩ n ɐ v ej s
abominável	ɐ b o m ĩ n ɐ v ew
abomé	ɐ b o m e
abona	ɐ b o n ɐ
abondança	ɐ b õ d ɐ̃ s ɐ
abono	ɐ b õ n u
abonos	ɐ b õ n u s
aboral	ɐ b o ɾ ɐ w
aboralmente	ɐ b o ɾ ɐ w m ẽ t e
aborda	ɐ b o ʁ d ɐ
abordada	ɐ b o ʁ d ɐ d ɐ
abordadas	ɐ b o ʁ d ɐ d ɐ s
abordado	ɐ b o ʁ d ɐ d u
abordados	ɐ b o ʁ d ɐ d u s
abordagem	ɐ b o ʁ d ɐ ʒ ẽj̃
abordagens	ɐ b o ʁ d ɐ ʒ ẽ s
abordam	ɐ b o ʁ d ɐ̃w̃
abordando	ɐ b o ʁ d ɐ̃ d u
abordar	ɐ b o ʁ d ɐ ɹ
