muy	m u ʝ
montevideo	m o n t e b i d e o
moscú	m o s k u
pri	p ɾ i
quiénes	k ʝ e n e s
tom	t o m
via	b ʝ a
android	a n d ɾ oi d
futbol	f u t b o l
henry	e n r i
kim	k i m
onu	o n u
pop	p o p
park	p a ɾ k
segun	s e g u n
serlo	s e ɾ l o
ta	t a
thomas	t o m a s
todavia	t o d a b ʝ a
unico	u n i k o
veracruz	b e ɾ a k ɾ u θ
william	wi ʎ ʝ a m
min	m i n
ruiz	r wi θ
sebastián	s e b a s t ʝ a n
tele	t e l e
ademas	a d e m a s
guadalajara	g wa d a l a x a ɾ a
love	l o b e
sa	s a
we	we
xvi	k s b i
america	a m e ɾ i k a
dió	d ʝ o
fifa	f i f a
joda	x o d a
privacidad	p ɾ i b a θ i d a d
tour	t ou ɾ
all	a ʎ
apple	a p p l e
big	b i g
frank	f ɾ a n k
info	i m f o
mauricio	m au ɾ i θ ʝ o
queria	k e ɾ ʝ a
récord	r e k o ɾ d
vol	b o l
wow	wo w
bob	b o b
kevin	k e b i n
op	o p
fan	f a n
international	i n t e ɾ n a t ʝ o n a l
iphone	i f o n e
or	o ɾ
paulo	p au l o
play	p l a ʝ
ponte	p o n t e
videojuegos	b i d e o x we g o s
vii	b i i
chris	t͡ʃ ɾ i s
elena	e l e n a
hitler	i t l e ɾ
medina	m e d i n a
ningun	n i n g u n
rajoy	r a x o ʝ
this	t i s
xi	k s i
anna	a n n a
aragón	a ɾ a g o n
chicago	t͡ʃ i k a g o
galicia	g a l i θ ʝ a
mail	m ai l
mary	m a ɾ i
queres	k e ɾ e s
at	a t
av	a b
berlín	b e ɾ l i n
ios	ʝ o s
king	k i n g
medellín	m e d e ʎ i n
smith	e s m i t
steve	s t e b e
with	wi t
adn	a d n
cia	θ ʝ a
com	k o m
estrés	e s t ɾ e s
eva	e b a
federico	f e d e ɾ i k o
hey	e ʝ
jodido	x o d i d o
mac	m a k
mini	m i n i
oaxaca	o a k s a k a
po	p o
ramírez	r a m i ɾ e θ
suárez	s wa ɾ e θ
alan	a l a n
disney	d i s n e ʝ
fox	f o k s
from	f ɾ o m
jiménez	x i m e n e θ
joe	x o e
miss	m i s
tuit	t wi t
walter	wa l t e ɾ
boy	b o ʝ
free	f ɾ e e
gutiérrez	g u t ʝ e r e θ
marihuana	m a ɾ i wa n a
mia	m ʝ a
scott	s k o t
st	e s t
star	s t a ɾ
valladolid	b a ʎ a d o l i d
vietnam	b ʝ e t n a m
africa	a f ɾ i k a
alexander	a l e k s a n d e ɾ
cádiz	k a d i θ
dificil	d i f i θ i l
full	f u ʎ
juárez	x wa ɾ e θ
mike	m i k e
news	n eu s
test	t e s t
tí	t i
ad	a d
angel	a n x e l
center	θ e n t e ɾ
jackson	x a k s o n
jones	x o n e s
joseph	x o s e f
podria	p o d ɾ ʝ a
sudáfrica	s u d a f ɾ i k a
albert	a l b e ɾ t
alli	a ʎ i
american	a m e ɾ i k a n
gonzalo	g o n θ a l o
jose	x o s e
kong	k o n g
li	l i
pelotudo	p e l o t u d o
press	p ɾ e s
quédate	k e d a t e
rapido	r a p i d o
tenés	t e n e s
bill	b i ʎ
bs	b e s
day	d a ʝ
du	d u
hollywood	o ʎ i wo d
mami	m a m i
paris	p a ɾ i s
paula	p au l a
pibe	p i b e
sara	s a ɾ a
suecia	s we θ ʝ a
ai	ai
angeles	a n x e l e s
facil	f a θ i l
hong	o n g
like	l i k e
microsoft	m i k ɾ o s o f t
molina	m o l i n a
mérida	m e ɾ i d a
posts	p o s t s
sarah	s a ɾ a
that	t a t
corazon	k o ɾ a θ o n
donald	d o n a l d
iva	i b a
live	l i b e
nazi	n a θ i
reúne	r eu n e
sam	s a m
simon	s i m o n
vidal	b i d a l
wikipedia	wi k i p e d ʝ a
brian	b ɾ ʝ a n
chat	t͡ʃ a t
est	e s t
eta	e t a
eu	eu
fidel	f i d e l
georgia	x e o ɾ x ʝ a
hungría	u n g ɾ i a
ia	ʝ a
musica	m u s i k a
netflix	n e t f l i k s
podia	p o d ʝ a
tokio	t o k ʝ o
uh	u
charlie	t͡ʃ a ɾ l ʝ e
huele	we l e
lara	l a ɾ a
marcelo	m a ɾ θ e l o
muñoz	m u ɲ o θ
nobel	n o b e l
álvarez	a l b a ɾ e θ
andrea	a n d ɾ e a
cartagena	k a ɾ t a x e n a
edward	e d wa ɾ d
eric	e ɾ i k
film	f i l m
gustaria	g u s t a ɾ ʝ a
héctor	e k t o ɾ
janeiro	x a n ei ɾ o
juana	x wa n a
logo	l o g o
lol	l o l
may	m a ʝ
roger	r o x e ɾ
team	t e a m
victor	b i k t o ɾ
adam	a d a m
dile	d i l e
estatus	e s t a t u s
fi	f i
irak	i ɾ a k
jalisco	x a l i s k o
lady	l a d i
life	l i f e
migrantes	m i g ɾ a n t e s
open	o p e n
ray	r a ʝ
wifi	wi f i
aguirre	a g i r e
ahorita	a o ɾ i t a
farc	f a ɾ k
green	g ɾ e e n
ing	i n g
ip	i p
latinoamericanos	l a t i n o a m e ɾ i k a n o s
messi	m e s i
papi	p a p i
pib	p i b
set	s e t
uribe	u ɾ i b e
xv	k s b
your	ʝ ou ɾ
bici	b i θ i
boston	b o s t o n
ernesto	e ɾ n e s t o
ford	f o ɾ d
home	o m e
junior	x u n ʝ o ɾ
nelson	n e l s o n
ortiz	o ɾ t i θ
policia	p o l i θ ʝ a
querés	k e ɾ e s
tio	t ʝ o
tuits	t wi t s
uds	u d s
west	we s t
will	wi ʎ
ali	a l i
bla	b l a
blue	b l we
cuán	k wa n
ej	e x
fc	f k
guadalupe	g wa d a l u p e
guayaquil	g wa ʝ a k i l
increible	i n k ɾ ei b l e
johnson	x o n s o n
master	m a s t e ɾ
nazis	n a θ i s
not	n o t
pelicula	p e l i k u l a
samuel	s a m we l
sostenible	s o s t e n i b l e
air	ai ɾ
batman	b a t m a n
boludo	b o l u d o
elizabeth	e l i θ a b e t
jonathan	x o n a t a n
line	l i n e
márquez	m a ɾ k e θ
off	o f
sir	s i ɾ
unica	u n i k a
white	wi t e
ac	a k
américas	a m e ɾ i k a s
atras	a t ɾ a s
cole	k o l e
der	d e ɾ
ego	e g o
ix	i k s
miller	m i ʎ e ɾ
out	ou t
pon	p o n
rubén	r u b e n
são	s ã o
usd	u s d
wilson	wi l s o n
álvaro	a l b a ɾ o
abc	a b k
alla	a ʎ a
amazon	a m a θ o n
atencion	a t e n θ ʝ o n
belgrano	b e l g ɾ a n o
flash	f l a s
iván	i b a n
omar	o m a ɾ
pr	p ɾ
saint	s ai n t
sofía	s o f i a
unam	u n a m
vázquez	b a θ k e θ
arthur	a ɾ t u ɾ
cap	k a p
comun	k o m u n
em	e m
il	i l
joan	x o a n
julián	x u l ʝ a n
latinoamericano	l a t i n o a m e ɾ i k a n o
maldonado	m a l d o n a d o
marie	m a ɾ ʝ e
men	m e n
samsung	s a m s u n g
valentín	b a l e n t i n
élite	e l i t e
bruno	b ɾ u n o
catalunya	k a t a l u ɲ ʝ a
christian	t͡ʃ ɾ i s t ʝ a n
dj	d x
emma	e m m a
frio	f ɾ ʝ o
jason	x a s o n
jesus	x e s u s
pibes	p i b e s
unesco	u n e s k o
university	u n i b e ɾ s i t i
what	wa t
xii	k s i i
abraham	a b ɾ a a m
cali	k a l i
decia	d e θ ʝ a
express	e k s p ɾ e s
je	x e
jode	x o d e
leopoldo	l e o p o l d o
michoacán	m i t͡ʃ o a k a n
mo	m o
opinion	o p i n ʝ o n
oviedo	o b ʝ e d o
recien	r e θ ʝ e n
ar	a ɾ
carl	k a ɾ l
davis	d a b i s
debut	d e b u t
dinamarca	d i n a m a ɾ k a
evangelio	e b a n x e l ʝ o
good	g o o d
habian	a b ʝ a n
kirchner	k i ɾ t͡ʃ n e ɾ
leon	l e o n
lopez	l o p e θ
marx	m a ɾ k s
memes	m e m e s
noreste	n o ɾ e s t e
oliver	o l i b e ɾ
tel	t e l
tim	t i m
union	u n ʝ o n
accion	a k θ ʝ o n
bo	b o
chan	t͡ʃ a n
clinton	k l i n t o n
cojones	k o x o n e s
inc	i n k
jim	x i m
justin	x u s t i n
karma	k a ɾ m a
maratón	m a ɾ a t o n
paises	p ai s e s
von	b o n
williams	wi ʎ ʝ a m s
afganistán	a f g a n i s t a n
aguilar	a g i l a ɾ
andy	a n d i
ap	a p
au	au
bot	b o t
déjame	d e x a m e
expresidente	e k s p ɾ e s i d e n t e
gregorio	g ɾ e g o ɾ ʝ o
jeje	x e x e
latinoamericana	l a t i n o a m e ɾ i k a n a
mexicanas	m e k s i k a n a s
mirá	m i ɾ a
nintendo	n i n t e n d o
peru	p e ɾ u
perón	p e ɾ o n
piñera	p i ɲ e ɾ a
power	p o we ɾ
serbia	s e ɾ b ʝ a
tailandia	t ai l a n d ʝ a
tenerife	t e n e ɾ i f e
tucumán	t u k u m a n
adolfo	a d o l f o
bruce	b ɾ u θ e
cervantes	θ e ɾ b a n t e s
croacia	k ɾ o a θ ʝ a
deberia	d e b e ɾ ʝ a
dra	d ɾ a
hill	i ʎ
hs	s
informacion	i m f o ɾ m a θ ʝ o n
leonardo	l e o n a ɾ d o
malvinas	m a l b i n a s
marc	m a ɾ k
national	n a t ʝ o n a l
pierre	p ʝ e r e
pija	p i x a
relacion	r e l a θ ʝ o n
trujillo	t ɾ u x i ʎ o
united	u n i t e d
wall	wa ʎ
yucatán	ʝ u k a t a n
camara	k a m a ɾ a
face	f a θ e
gold	g o l d
hot	o t
journal	x ou ɾ n a l
mallorca	m a ʎ o ɾ k a
meme	m e m e
ong	o n g
pense	p e n s e
ryan	r ʝ a n
ví	b i
arts	a ɾ t s
boom	b o o m
claudio	k l au d ʝ o
cool	k o o l
hall	a ʎ
harvard	a ɾ b a ɾ d
ho	o
johnny	x o n n i
ke	k e
lewis	l e wi s
morelos	m o ɾ e l o s
podés	p o d e s
rioja	r ʝ o x a
roy	r o ʝ
salazar	s a l a θ a ɾ
sun	s u n
inter	i n t e ɾ
jacob	x a k o b
jordan	x o ɾ d a n
little	l i t t l e
michel	m i t͡ʃ e l
morgan	m o ɾ g a n
núm	n u m
oir	oi ɾ
perdon	p e ɾ d o n
politica	p o l i t i k a
simpson	s i m p s o n
xiv	k s i b
anne	a n n e
anthony	a n t o n i
best	b e s t
gerardo	x e ɾ a ɾ d o
group	g ɾ ou p
hashtag	a s t a g
hazlo	a θ l o
hp	p
julian	x u l ʝ a n
league	l e a g e
long	l o n g
party	p a ɾ t i
rap	r a p
sep	s e p
soria	s o ɾ ʝ a
almería	a l m e ɾ i a
ba	b a
blogs	b l o g s
compañia	k o m p a ɲ ʝ a
doc	d o k
duarte	d wa ɾ t e
evo	e b o
grand	g ɾ a n d
if	i f
jajajajaja	x a x a x a x a x a
jane	x a n e
lenin	l e n i n
michelle	m i t͡ʃ e ʎ e
ml	m l
potter	p o t t e ɾ
robin	r o b i n
school	s t͡ʃ o o l
telefono	t e l e f o n o
tl	t l
vih	b i
bad	b a d
cayo	k a ʝ o
chef	t͡ʃ e f
down	d ow n
extremadura	e k s t ɾ e m a d u ɾ a
fmi	f m i
gabriela	g a b ɾ ʝ e l a
ine	i n e
ivan	i b a n
jamaica	x a m ai k a
karen	k a ɾ e n
look	l o o k
núñez	n u ɲ e θ
querétaro	k e ɾ e t a ɾ o
rodriguez	r o d ɾ i g e θ
sandra	s a n d ɾ a
sebastian	s e b a s t ʝ a n
tenian	t e n ʝ a n
trans	t ɾ a n s
varela	b a ɾ e l a
area	a ɾ e a
argelia	a ɾ x e l ʝ a
atenas	a t e n a s
autoestima	au t o e s t i m a
bulgaria	b u l g a ɾ ʝ a
clic	k l i k
dejame	d e x a m e
francis	f ɾ a n θ i s
guanajuato	g wa n a x wa t o
guevara	g e b a ɾ a
horacio	o ɾ a θ ʝ o
howard	o wa ɾ d
ian	ʝ a n
just	x u s t
lisboa	l i s b o a
mc	m k
mediática	m e d ʝ a t i k a
ms	m e s
ne	n e
nicolas	n i k o l a s
nigeria	n i x e ɾ ʝ a
pekín	p e k i n
republica	r e p u b l i k a
rivas	r i b a s
singapur	s i n g a p u ɾ
sudamérica	s u d a m e ɾ i k a
tweets	t we e t s
uber	u b e ɾ
vió	b ʝ o
wey	we ʝ
ávila	a b i l a
amlo	a m l o
beatriz	b e a t ɾ i θ
borges	b o ɾ x e s
chance	t͡ʃ a n θ e
ei	ei
ferrari	f e r a ɾ i
game	g a m e
gordon	g o ɾ d o n
gps	g e p e s
gral	g ɾ a l
haití	ai t i
inusual	i n u s wa l
lola	l o l a
lugo	l u g o
music	m u s i k
natalia	n a t a l ʝ a
now	n ow
otan	o t a n
pakistán	p a k i s t a n
record	r e k o ɾ d
tamaulipas	t a m au l i p a s
urss	u ɾ s
viena	b ʝ e n a
xbox	k s b o k s
email	e m ai l
jajaj	x a x a x
jennifer	x e n n i f e ɾ
nacion	n a θ ʝ o n
network	n e t wo ɾ k
peli	p e l i
peliculas	p e l i k u l a s
preocupante	p ɾ e o k u p a n t e
quizas	k i θ a s
sinaloa	s i n a l o a
steven	s t e b e n
velasco	b e l a s k o
walker	wa l k e ɾ
óscar	o s k a ɾ
abu	a b u
alice	a l i θ e
chavez	t͡ʃ a b e θ
cup	k u p
fbi	f b i
finde	f i n d e
girl	x i ɾ l
here	e ɾ e
io	ʝ o
jon	x o n
lei	l ei
malasia	m a l a s ʝ a
manchester	m a ɲ t͡ʃ e s t e ɾ
muchisimo	m u t͡ʃ i s i m o
méndez	m e n d e θ
néstor	n e s t o ɾ
pd	p e d e
profe	p ɾ o f e
ram	r a m
reúnen	r eu n e n
situacion	s i t wa θ ʝ o n
stalin	s t a l i n
warner	wa ɾ n e ɾ
was	wa s
ahh	a
anderson	a n d e ɾ s o n
beach	b e a t͡ʃ
diaz	d ʝ a θ
edgar	e d g a ɾ
educacion	e d u k a θ ʝ o n
gary	g a ɾ i
halloween	a ʎ o we e n
have	a b e
hdp	d e p e
hockey	o k e ʝ
homero	o m e ɾ o
kelly	k e ʎ i
kit	k i t
larry	l a r i
lic	l i k
lincoln	l i n k o l n
mu	m u
nomás	n o m a s
oido	oi d o
pal	p a l
palermo	p a l e ɾ m o
pamplona	p a m p l o n a
premium	p ɾ e m ʝ u m
queen	k e e n
stone	s t o n e
sucre	s u k ɾ e
verguenza	b e ɾ g e n θ a
zapata	θ a p a t a
abel	a b e l
acosta	a k o s t a
allen	a ʎ e n
ariel	a ɾ ʝ e l
billy	b i ʎ i
carter	k a ɾ t e ɾ
centroamérica	θ e n t ɾ o a m e ɾ i k a
dragon	d ɾ a g o n
garcia	g a ɾ θ ʝ a
hip	i p
houston	ou s t o n
huelva	we l b a
island	i s l a n d
jeff	x e f
maracaibo	m a ɾ a k ai b o
martha	m a ɾ t a
patagonia	p a t a g o n ʝ a
ponce	p o n θ e
project	p ɾ o x e k t
ross	r o s
sant	s a n t
segovia	s e g o b ʝ a
ted	t e d
vélez	b e l e θ
yoga	ʝ o g a
adios	a d ʝ o s
bang	b a n g
bay	b a ʝ
bell	b e ʎ
bio	b ʝ o
bro	b ɾ o
cafe	k a f e
call	k a ʎ
cancer	k a n θ e ɾ
cantabria	k a n t a b ɾ ʝ a
cecilia	θ e θ i l ʝ a
chi	t͡ʃ i
della	d e ʎ a
domínguez	d o m i n g e θ
get	x e t
imagenes	i m a x e n e s
jay	x a ʝ
jujuy	x u x u ʝ
jun	x u n
karl	k a ɾ l
kenia	k e n ʝ a
matías	m a t i a s
moon	m o o n
movistar	m o b i s t a ɾ
pacheco	p a t͡ʃ e k o
part	p a ɾ t
pinochet	p i n o t͡ʃ e t
pt	p t
ra	r a
road	r o a d
see	s e e
valparaíso	b a l p a ɾ ai s o
angela	a n x e l a
chabon	t͡ʃ a b o n
estes	e s t e s
finlandia	f i n l a n d ʝ a
grey	g ɾ e ʝ
high	i g
im	i m
mayoria	m a ʝ o ɾ ʝ a
narco	n a ɾ k o
norteamérica	n o ɾ t e a m e ɾ i k a
prohíbe	p ɾ oi b e
punk	p u n k
putin	p u t i n
russell	r u s e ʎ
sanchez	s a ɲ t͡ʃ e θ
sms	e s m e s
taiwán	t ai wa n
wars	wa ɾ s
xq	k s k
afp	a f p
antioquia	a n t ʝ o k ʝ a
aprox	a p ɾ o k s
ball	b a ʎ
cameron	k a m e ɾ o n
cat	k a t
clark	k l a ɾ k
colo	k o l o
dave	d a b e
die	d ʝ e
einstein	ei n s t ei n
er	e ɾ
fernandez	f e ɾ n a n d e θ
globalización	g l o b a l i θ a θ ʝ o n
guy	g u ʝ
hop	o p
inés	i n e s
jan	x a n
jessica	x e s i k a
jodan	x o d a n
jovenes	x o b e n e s
mediático	m e d ʝ a t i k o
nba	m b a
ninja	n i n x a
oea	o e a
oxford	o k s f o ɾ d
perez	p e ɾ e θ
peronismo	p e ɾ o n i s m o
podcast	p o d k a s t
premier	p ɾ e m ʝ e ɾ
prevé	p ɾ e b e
rodolfo	r o d o l f o
wayne	wa i n e
alvarado	a l b a ɾ a d o
box	b o k s
bue	b we
car	k a ɾ
carnet	k a ɾ n e t
christopher	t͡ʃ ɾ i s t o f e ɾ
cáceres	k a θ e ɾ e s
darío	d a ɾ i o
empatía	e m p a t i a
jin	x i n
joel	x o e l
martinez	m a ɾ t i n e θ
paraná	p a ɾ a n a
parker	p a ɾ k e ɾ
pág	p a g
quo	k o
tijuana	t i x wa n a
toronto	t o ɾ o n t o
uk	u k
valdés	b a l d e s
version	b e ɾ s ʝ o n
villanueva	b i ʎ a n we b a
watch	wa t͡ʃ
about	a b ou t
bartolomé	b a ɾ t o l o m e
benjamin	b e n x a m i n
camp	k a m p
coahuila	k o a wi l a
cooper	k o o p e ɾ
cuestion	k we s t ʝ o n
cómic	k o m i k
ep	e p
figueroa	f i g e ɾ o a
franklin	f ɾ a n k l i n
habra	a b ɾ a
insumos	i n s u m o s
jordi	x o ɾ d i
khan	k a n
land	l a n d
latin	l a t i n
lu	l u
nancy	n a n θ i
nápoles	n a p o l e s
people	p e o p l e
petersburgo	p e t e ɾ s b u ɾ g o
poblacion	p o b l a θ ʝ o n
sexualmente	s e k s wa l m e n t e
society	s o θ ʝ e t i
suite	s wi t e
uy	u ʝ
bank	b a n k
cam	k a m
dean	d e a n
epn	e p n
esten	e s t e n
fierro	f ʝ e r o
first	f i ɾ s t
grant	g ɾ a n t
hernán	e ɾ n a n
hi	i
how	o w
inversionistas	i m b e ɾ s ʝ o n i s t a s
ipad	i p a d
jodida	x o d i d a
kate	k a t e
know	k n ow
marshall	m a ɾ s a ʎ
nina	n i n a
noel	n o e l
pj	p x
román	r o m a n
superman	s u p e ɾ m a n
tranqui	t ɾ a n k i
videojuego	b i d e o x we g o
vincent	b i n θ e n t
vip	b i p
wi	wi
alexis	a l e k s i s
austin	au s t i n
bachelet	b a t͡ʃ e l e t
blas	b l a s
cabron	k a b ɾ o n
celu	θ e l u
ch	t͡ʃ
champions	t͡ʃ a m p ʝ o n s
chavismo	t͡ʃ a b i s m o
decis	d e θ i s
dei	d ei
durango	d u ɾ a n g o
elite	e l i t e
emprendimiento	e m p ɾ e n d i m ʝ e n t o
estaria	e s t a ɾ ʝ a
hillary	i ʎ a ɾ i
jodiendo	x o d ʝ e n d o
lider	l i d e ɾ
luke	l u k e
marín	m a ɾ i n
mb	m b
norman	n o ɾ m a n
office	o f f i θ e
page	p a x e
piba	p i b a
point	p oi n t
rené	r e n e
sport	s p o ɾ t
aa	a a
alejandra	a l e x a n d ɾ a
amy	a m ʝ
arequipa	a ɾ e k i p a
ban	b a n
barranquilla	b a r a n k i ʎ a
brooklyn	b ɾ o o k l i n
business	b u s i n e s
but	b u t
ceo	θ e o
chau	t͡ʃ au
chavista	t͡ʃ a b i s t a
contreras	k o n t ɾ e ɾ a s
cu	k u
direccion	d i ɾ e k θ ʝ o n
eddie	e d d ʝ e
estabamos	e s t a b a m o s
facto	f a k t o
france	f ɾ a n θ e
frances	f ɾ a n θ e s
fred	f ɾ e d
harris	a r i s
jerry	x e r i
lorca	l o ɾ k a
martí	m a ɾ t i
mud	m u d
old	o l d
pelotudos	p e l o t u d o s
roman	r o m a n
tc	t k
tips	t i p s
toluca	t o l u k a
ab	a b
amateur	a m a t eu ɾ
arizona	a ɾ i θ o n a
badajoz	b a d a x o θ
barry	b a r i
dylan	d i l a n
heavy	e a b i
jueza	x we θ a
ken	k e n
mp	m p
ochoa	o t͡ʃ o a
podrias	p o d ɾ ʝ a s
suscriptores	s u s k ɾ i p t o ɾ e s
thompson	t o m p s o n
usb	u s b
vigo	b i g o
war	wa ɾ
yang	ʝ a n g
albacete	a l b a θ e t e
ayala	a ʝ a l a
biodiversidad	b ʝ o d i b e ɾ s i d a d
carajos	k a ɾ a x o s
cauca	k au k a
cs	k s
emily	e m i l i
gonzalez	g o n θ a l e θ
got	g o t
interes	i n t e ɾ e s
isis	i s i s
josh	x o s
líbano	l i b a n o
massa	m a s a
nov	n o b
osorio	o s o ɾ ʝ o
pas	p a s
pen	p e n
pereira	p e ɾ ei ɾ a
phil	f i l
philip	f i l i p
promocional	p ɾ o m o θ ʝ o n a l
sanz	s a n θ
smartphone	s m a ɾ t f o n e
store	s t o ɾ e
tarragona	t a r a g o n a
webs	we b s
whisky	wi s k i
yahoo	ʝ a o o
aaron	a a ɾ o n
acapulco	a k a p u l k o
adriana	a d ɾ ʝ a n a
alfred	a l f ɾ e d
azerbaiyán	a θ e ɾ b ai ʝ a n
bin	b i n
charlotte	t͡ʃ a ɾ l o t t e
chelsea	t͡ʃ e l s e a
cn	k n
dead	d e a d
dennis	d e n n i s
dni	d n i
east	e a s t
esp	e s p
grace	g ɾ a θ e
gray	g ɾ a ʝ
iu	ʝ u
leido	l ei d o
mercosur	m e ɾ k o s u ɾ
petro	p e t ɾ o
rachel	r a t͡ʃ e l
ruth	r u t
sic	s i k
sicilia	s i θ i l ʝ a
sorry	s o r i
tag	t a g
terry	t e r i
valdivia	b a l d i b ʝ a
valley	b a ʎ e ʝ
videoclip	b i d e o k l i p
vitoria	b i t o ɾ ʝ a
way	wa ʝ
zacatecas	θ a k a t e k a s
élites	e l i t e s
andrade	a n d ɾ a d e
avila	a b i l a
buda	b u d a
cairo	k ai ɾ o
division	d i b i s ʝ o n
egresados	e g ɾ e s a d o s
ferrer	f e r e ɾ
franquismo	f ɾ a n k i s m o
hamilton	a m i l t o n
humberto	u m b e ɾ t o
institute	i n s t i t u t e
keith	k ei t
liverpool	l i b e ɾ p o o l
london	l o n d o n
maradona	m a ɾ a d o n a
multinacionales	m u l t i n a θ ʝ o n a l e s
máster	m a s t e ɾ
net	n e t
nose	n o s e
olga	o l g a
place	p l a θ e
pokémon	p o k e m o n
qe	k e
reir	r ei ɾ
robinson	r o b i n s o n
short	s o ɾ t
susan	s u s a n
trolls	t ɾ o ʎ s
val	b a l
vladimir	b l a d i m i ɾ
who	wo
xavier	k s a b ʝ e ɾ
april	a p ɾ i l
aznar	a θ n a ɾ
budapest	b u d a p e s t
cancún	k a n k u n
college	k o ʎ e x e
cumbia	k u m b ʝ a
dallas	d a ʎ a s
detras	d e t ɾ a s
douglas	d ou g l a s
drones	d ɾ o n e s
durán	d u ɾ a n
estereotipos	e s t e ɾ e o t i p o s
franquista	f ɾ a n k i s t a
fé	f e
hans	a n s
ibarra	i b a r a
iso	i s o
jacques	x a k k e s
jajajaj	x a x a x a x
jejeje	x e x e x e
jodas	x o d a s
kurt	k u ɾ t
margaret	m a ɾ g a ɾ e t
miraflores	m i ɾ a f l o ɾ e s
nico	n i k o
nicole	n i k o l e
north	n o ɾ t
pandemia	p a n d e m ʝ a
pol	p o l
reality	r e a l i t i
roberts	r o b e ɾ t s
roll	r o ʎ
seúl	s eu l
square	s k wa ɾ e
standard	s t a n d a ɾ d
tablet	t a b l e t
tendria	t e n d ɾ ʝ a
tommy	t o m m i
url	u ɾ l
wa	wa
wordpress	wo ɾ d p ɾ e s
album	a l b u m
andré	a n d ɾ e
bernard	b e ɾ n a ɾ d
buenísimo	b we n i s i m o
camacho	k a m a t͡ʃ o
canada	k a n a d a
casita	k a s i t a
catherine	k a t e ɾ i n e
cha	t͡ʃ a
chen	t͡ʃ e n
collins	k o ʎ i n s
columbia	k o l u m b ʝ a
comics	k o m i k s
cristian	k ɾ i s t ʝ a n
dic	d i k
elías	e l i a s
energia	e n e ɾ x ʝ a
graham	g ɾ a a m
homo	o m o
huesca	we s k a
jung	x u n g
lauren	l au ɾ e n
magazine	m a g a θ i n e
manager	m a n a x e ɾ
marvel	m a ɾ b e l
morris	m o r i s
pemex	p e m e k s
perry	p e r i
prof	p ɾ o f
reestructuración	r e e s t ɾ u k t u ɾ a θ ʝ o n
rivadavia	r i b a d a b ʝ a
service	s e ɾ b i θ e
television	t e l e b i s ʝ o n
tia	t ʝ a
user	u s e ɾ
annie	a n n ʝ e
carcel	k a ɾ θ e l
castellón	k a s t e ʎ o n
chad	t͡ʃ a d
cuéntame	k we n t a m e
