حتى	ħ a t aː
القوات	a l q a w aː t
المصرية	a l m a sˤ r i j j a
لديها	l a d iː h aː
نفسي	n a f s i j j
وقال	w a q aː l
الحب	a l ħ a b b a
الشركة	a ʃ ʃ a r k a
المياه	a l m i j aː h
ترى	t a r aː
جون	d͡ʒ a w n
نشر	n a ʃ a r a
الأقل	a l ʔ a q a l a
الموضوع	a l m a w dˤ uː ʕ
تكن	t a k a n n a
أهل	ʔ a h a l a
الداخلية	a d d aː x i l i j j a
القدم	a l q a d a m a
الماء	a l m aː ʔ
المركز	a l m a r k a z a
الوصول	a l w a sˤ uː l
شئ	ʃ i ʔ a
قامت	q aː m i t
منا	m a n aː
المال	a l m aː l
بهم	b a h a m a
جميعا	d͡ʒ a m iː ʕ a n
قلت	q a l a t a
لهذه	l a h ð a h a
أعمال	ʔ a ʕ m aː l
إليك	ʔ i l iː k
البيت	a l b iː t
السكان	a s s i k aː n
السياسي	a s s i j aː s i j j
العزيز	a l ʕ a z iː z
توجد	t a w a d͡ʒ d͡ʒ a d a
سوى	s a w aː
الأشخاص	a l ʔ a ʃ x aː sˤ
الكبير	a l k a b iː r
مدى	m a d aː
الأمريكي	a l ʔ a m r iː k i j j
السلطة	a s s a l tˤ a
النظر	a n n a ðˤ a r a
الوزراء	a l w a z r aː ʔ
بعدها	b a ʕ d a h aː
تعد	t a ʕ a d d a
يأتي	j a ʔ t i j j
إنك	ʔ i n k
إنها	ʔ i n h aː
الأيام	a l ʔ a j aː m
البحر	a l b a ħ a r a
الحركة	a l ħ a r a k a
السبب	a s s a b a b a
القديمة	a l q a d iː m a
الليل	a l l iː l
الوطن	a l w a tˤ a n a
دعم	d a ʕ a m a
يريد	j a r iː d
الشخصية	a ʃ ʃ a x sˤ i j j a
بدلا	b a d a l a n
قطر	q a tˤ a r a
كله	k a l a h a
لكي	l a k i j j
وحتى	w a ħ t aː
التالي	a t t aː l i j j
السابقة	a s s aː b i q a
الصورة	a sˤ sˤ uː r a
الفريق	a l f a r iː q
الوحيد	a l w a ħ iː d
الوضع	a l w a dˤ dˤ a ʕ a
انها	i n h aː
بطريقة	b a tˤ r iː q a
سواء	s a w aː ʔ
شكل	ʃ a k a l a
وتم	w a t a m a
وعن	w a ʕ a n a
السوري	a s s uː r i j j
المجموعة	a l m a d͡ʒ m uː ʕ a
المحلية	a l m a ħ l i j j a
بأنها	b a ʔ a n h aː
تحدث	t a ħ a d d a θ a
فما	f a m aː
نقل	n a q a l a
وبين	w a b iː n
يعلم	j a ʕ l a m
ينبغي	j a n b a ɣ i j j
أعتقد	ʔ a ʕ t a q a d a
الدم	a d d a m m a
السورية	a s s uː r i j j a
الطاقة	a tˤ tˤ aː q a
الطريقة	a tˤ tˤ a r iː q a
القرن	a l q a r a n a
القلب	a l q a l a b a
مناطق	m u n aː tˤ i q
مهمة	m a h m a
الأسبوع	a l ʔ a s b uː ʕ
الثورة	a θ θ uː r a
الجزيرة	a l d͡ʒ a z iː r a
الحدود	a l ħ a d uː d
الدوري	a d d uː r i j j
الماضية	a l m aː dˤ i j j a
النوع	a n n a w a ʕ a
باستخدام	b aː s t i x d aː m
لدينا	l a d iː n aː
معك	m a ʕ a k a
أننا	ʔ a n n aː
أيها	ʔ a j h aː
الأخير	a l ʔ a x iː r
المحكمة	a l m a ħ k a m a
شركات	ʃ a r a k aː t
لاحقا	l aː ħ i q aː
لديهم	l a d iː h a m
الأشياء	a l ʔ a ʃ j aː ʔ
الأعلى	a l ʔ a ʕ l aː
الحالة	a l ħ aː l a
الحالي	a l ħ aː l i j j
القرار	a l q i r aː r
القيام	a l q i j aː m
الكريم	a l k a r iː m
حل	ħ a l l
سكان	s a k aː n
وسائل	w a s aː ʔ i l
أعلنت	ʔ a ʕ l a n t
افضل	i f dˤ a l l a
الإعلام	a l ʔ i ʕ l aː m
الإنترنت	a l ʔ i n t a r a n t
الحزب	a l ħ a z a b a
الخليج	a l x a l iː d͡ʒ
السجن	a s s a d͡ʒ a n a
العلم	a l ʕ a l a m a
تستطيع	t a s t a tˤ iː ʕ
شارك	ʃ aː r a k a
مرات	m a r aː t
ونحن	w a n ħ a n a
يعود	j a ʕ uː d
أنني	ʔ a n a n i j j
الثالثة	a θ θ aː l i θ a
الدكتور	a d d a k t uː r
القضية	a l q a dˤ i j j a
المرة	a l m a r a
المواد	a l m a w aː d
تبقى	t a b a q q aː
تعيش	t a ʕ a j j a ʃ a
عنك	ʕ a n a k a
فهي	f a h i j j
لديه	l a d iː h
يستطيع	j a s t a tˤ iː ʕ
الإسلامي	a l ʔ i s l aː m i j j
المثال	a l m i θ aː l
النوم	a n n a w m
سجل	s a d͡ʒ a l a
عني	ʕ a n i j j
كلا	k a l aː
مش	m a ʃ ʃ
وصل	w a sˤ a l a
أنحاء	ʔ a n ħ aː ʔ
الحال	a l ħ aː l
الممكن	a l m a m k a n a
تمت	t a m a t t a
خمس	x a m a s a
سيدي	s a j d i j j
عليكم	ʕ a l iː k a m
كبيرا	k a b iː r aː
كثيرة	k a θ iː r a
لكنها	l a k a n h aː
ولكنه	w a l a k a n a h
يعيش	j a ʕ iː ʃ
القادمة	a l q aː d a m a
الكلام	a l k i l aː m
بعيدا	b a ʕ iː d aː
تستخدم	t a s t a x d a m a
وراء	w a r aː ʔ
البشر	a l b a ʃ a r a
البلد	a l b a l a d a
الليلة	a l l iː l a
المشروع	a l m a ʃ r uː ʕ
بسرعة	b a s r a ʕ a
تصل	t a sˤ a l l a
لأنها	l a ʔ a n h aː
وهذه	w a h ð a h a
of	o f
الأساسية	a l ʔ a s aː s i j j a
البيانات	a l b i j aː n aː t
الخارج	a l x aː r a d͡ʒ
الخامس	a l x aː m i s
الخدمة	a l x a d a m a
السؤال	a s s u ʔ aː l
الصلاة	a sˤ sˤ a l aː h
النفس	a n n a f a s a
الهدف	a l h a d a f a
بعضهم	b a ʕ dˤ a h a m
للعمل	l a l ʕ a m a l
وهناك	w a h n aː k
يصل	j a sˤ a l a
الإمام	a l ʔ i m aː m
الرابع	a r r aː b i ʕ
الزواج	a z z a w aː d͡ʒ
الشمالية	a ʃ ʃ a m aː l i j j a
الصغير	a sˤ sˤ a ɣ iː r
العائلة	a l ʕ aː ʔ i l a
العرض	a l ʕ a r a dˤ a
الهجوم	a l h a d͡ʒ uː m
بحق	b a ħ a q a
الأمير	a l ʔ a m iː r
الاقتصادية	a l i q t i sˤ aː d i j j a
الثقافة	a θ θ i q aː f a
الشعر	a ʃ ʃ a ʕ a r a
الكتب	a l k a t a b a
المستقبل	a l m u s t a q b a l
ايضا	iː dˤ aː
تحتاج	t a ħ t aː d͡ʒ
الجنوبية	a l d͡ʒ a n uː b i j j a
الطرق	a tˤ tˤ a r a q a
القادم	a l q aː d i m
النادي	a n n aː d i j j
بنا	b a n aː
تقع	t a q a ʕ ʕ a
حالات	ħ aː l aː t
مشاكل	m a ʃ aː k i l
يعتقد	j a ʕ t a q a d
أريد	ʔ a r iː d
أفراد	ʔ a f r aː d
الإنجليزية	a l ʔ i n d͡ʒ a l iː z i j j a
الدينية	a d d iː n i j j a
الشهر	a ʃ ʃ a h a r a
العسكري	a l ʕ a s k a r i j j
القائمة	a l q aː ʔ i m a
القديم	a l q a d iː m
الكبيرة	a l k a b iː r a
المالية	a l m aː l i j j a
المدن	a l m a d a n a
الهواء	a l h a w aː ʔ
تعود	t a ʕ a w w a d a
شباب	ʃ a b b aː b
الأحداث	a l ʔ a ħ d aː θ
البلدان	a l b a l d aː n
الحكومية	a l ħ a k uː m i j j a
السيارات	a s s i j aː r aː t
الصحية	a sˤ sˤ a ħ i j j a
المؤتمر	a l m u ʔ t a m a r
تأتي	t a ʔ t i j j
جائزة	d͡ʒ aː ʔ i z a
قوية	q a w i j j a
كلمات	k a l a m aː t
نتائج	n a t aː ʔ i d͡ʒ
وعندما	w a ʕ a n d a m aː
الانسان	a l aː n s aː n
الدعم	a d d a ʕ a m a
المادة	a l m aː d a
المدارس	a l m a d aː r i s
الميلاد	a l m iː l aː d
بعنوان	b a ʕ n a w aː n
تطوير	t a tˤ w iː r
خدمات	x a d a m aː t
خطر	x a tˤ a r a
رحلة	r a ħ l a
مباشر	m u b aː ʃ i r
وفاة	w a f aː h
يرى	j a r aː
and	a n d
أربع	ʔ a r b a ʕ a
الخبر	a l x a b a r a
الدنيا	a d d a n j aː
السياسة	a s s i j aː s a
تحب	t a ħ a b b a
تغير	t a ɣ a j j a r a
لست	l a s t
وانا	w aː n aː
يحتاج	j a ħ t aː d͡ʒ
يلي	j a l i j j
أنفسهم	ʔ a n f a s h a m
الروسية	a r r uː s i j j a
الشارع	a ʃ ʃ aː r i ʕ
الضوء	a dˤ dˤ a w ʔ
الطائرة	a tˤ tˤ aː ʔ i r a
القيادة	a l q i j aː d a
بحيث	b a ħ iː θ
تبدأ	t a b a d d a ʔ a
تجمع	t a d͡ʒ a m m a ʕ a
سياسية	s i j aː s i j j a
عديدة	ʕ a d iː d a
عندي	ʕ a n d i j j
عنهم	ʕ a n h a m
قصيرة	q a sˤ iː r a
وغير	w a ɣ iː r
الأخبار	a l ʔ a x b aː r
الإسرائيلي	a l ʔ i s r aː ʔ iː l i j j
التجارية	a t t i d͡ʒ aː r i j j a
الزمن	a z z a m a n a
السيارة	a s s i j aː r a
الضغط	a dˤ dˤ a ɣ a tˤ a
الكاتب	a l k aː t i b
الموجودة	a l m uː d͡ʒ uː d a
بنسبة	b a n s a b a
سبق	s a b a q a
قدر	q a d a r a
كافة	k aː f a
يؤدي	j u ʔ d i j j
الأوروبي	a l ʔ uː r uː b i j j
الجنوب	a l d͡ʒ a n uː b
الحلقة	a l ħ a l a q a
الشيء	a ʃ ʃ iː ʔ
المنظمة	a l m a n ðˤ a m a
المواقع	a l m a w aː q i ʕ
النواب	a n n a w aː b
الواحد	a l w aː ħ i d
سورية	s uː r i j j a
وكيف	w a k iː f
ولقد	w a l q a d
الإنسانية	a l ʔ i n s aː n i j j a
الجهاز	a l d͡ʒ i h aː z
السادس	a s s aː d i s
الفضاء	a l f i dˤ aː ʔ
المهم	a l m a h a m a
تصبح	t a sˤ a b b a ħ a
قيادة	q i j aː d a
للجميع	l a l d͡ʒ a m iː ʕ
نريد	n a r iː d
وصف	w a sˤ a f a
يسمى	j a s m aː
to	t o
أعرف	ʔ a ʕ r a f a
أكون	ʔ a k uː n
الأبيض	a l ʔ a b iː dˤ
الأفلام	a l ʔ a f l aː m
العظيم	a l ʕ a ðˤ iː m
القوى	a l q a w aː
انهم	i n h a m m a
عمله	ʕ a m l a h
قطاع	q a tˤ tˤ aː ʕ
أجهزة	ʔ a d͡ʒ h a z a
الحسن	a l ħ a s a n a
الوحيدة	a l w a ħ iː d a
تدخل	t a d a x x a l a
جي	d͡ʒ a j j
سياسي	s i j aː s i j j
لبعض	l a b ʕ a dˤ a
وأيضا	w a ʔ iː dˤ aː
يجري	j a d͡ʒ a r i j j
يحب	j a ħ a b a
أمن	ʔ a m a n a
الأحيان	a l ʔ a ħ j aː n
الأسد	a l ʔ a s a d a
الإرهاب	a l ʔ i r h aː b
الرياضية	a r r i j aː dˤ i j j a
العراقية	a l ʕ i r aː q i j j a
القمر	a l q a m a r a
المدني	a l m a d a n i j j
المعروف	a l m a ʕ r uː f
المهمة	a l m a h m a
تسبب	t a s a b b a b a
تشير	t a ʃ a j j a r a
قائلا	q aː ʔ i l a n
قدمت	q a d a m a t
قصص	q a sˤ a sˤ a
كلنا	k a l a n aː
لعام	l a ʕ aː m
لفترة	l a f t a r a
مصرية	m a sˤ r i j j a
معينة	m a ʕ iː n a
مقتل	m u q t a l
منكم	m u n k a m
نظرة	n a ðˤ r a
وقعت	w a q ʕ a t
يريدون	j a r iː d uː n
يقع	j a q a ʕ a
الباب	a l b aː b
الخدمات	a l x a d a m aː t
السفر	a s s a f a r a
السيدة	a s s iː d a
العلماء	a l ʕ i l m aː ʔ
اللبنانية	a l l i b n aː n i j j a
المسجد	a l m a s d͡ʒ a d
بالكامل	b i l k aː m i l
بكثير	b a k θ iː r
تمثل	t a m a θ θ a l a
زوجته	z a w d͡ʒ a t a h
طرف	tˤ a r a f a
ظهرت	ðˤ a h r a t
موجودة	m a w d͡ʒ uː d a
يبلغ	j a b l a ɣ
الأسلحة	a l ʔ a s l a ħ a
الإدارة	a l ʔ i d aː r a
البحرية	a l b a ħ r i j j a
البيئة	a l b iː ʔ a
الدعوة	a d d a ʕ w a
الصعب	a sˤ sˤ a ʕ a b a
الغرب	a l ɣ a r a b a
المرض	a l m a r a dˤ a
خلالها	x a l aː l a h aː
سان	s aː n a
عسكرية	ʕ a s k a r i j j a
قالوا	q aː l a w aː
كلام	k a l aː m
لابد	l aː b i d
لكرة	l a k r a
ملايين	m a l aː j iː n
أستطيع	ʔ a s t a tˤ iː ʕ
الأسود	a l ʔ a s uː d
الإسرائيلية	a l ʔ i s r aː ʔ iː l i j j a
الاسم	a l aː s i m
الحالية	a l ħ aː l i j j a
الحرية	a l ħ a r i j j a
الحي	a l ħ i j j
العراقي	a l ʕ i r aː q i j j
الفرصة	a l f a r sˤ a
القبض	a l q a b a dˤ a
النفط	a n n a f a tˤ a
الهيئة	a l h iː ʔ a
تجعل	t a d͡ʒ a ʕ ʕ a l a
سكس	s a k a s a
لديك	l a d iː k
وبعض	w a b ʕ a dˤ a
الأحزاب	a l ʔ a ħ z aː b
الاول	a l aː w a l a
التاريخية	a t t aː r iː x i j j a
الذهب	a ð ð a h a b a
الرسالة	a r r i s aː l a
الرقم	a r r a q a m a
السلاح	a s s i l aː ħ
الظروف	a ðˤ ðˤ a r uː f
المنظمات	a l m a n ðˤ a m aː t
بشدة	b a ʃ d a
تبحث	t a b a ħ ħ a θ a
تبدو	t a b a d d uː
حفل	ħ a f a l a
قليلة	q a l iː l a
هى	h aː
يشير	j a ʃ iː r
in	i n
الأراضي	a l ʔ a r aː dˤ i j j
الإيراني	a l ʔ iː r aː n i j j
التحكم	i l t a ħ k a m a
الخوف	a l x a w w a f a
الذهاب	a ð ð a h aː b
السابع	a s s aː b i ʕ
الشاب	a ʃ ʃ aː b
المدير	a l m a d iː r
الواضح	a l w aː dˤ i ħ
بث	b a θ θ
بلاد	b a l aː d
جزءا	d͡ʒ a z ʔ aː
فقال	f a q aː l
وربما	w a r b a m aː
أقدم	ʔ a q d a m a
أهداف	ʔ a h d aː f
الأمل	a l ʔ a m a l a
الحالات	a l ħ aː l aː t
الحديثة	a l ħ a d iː θ a
العصر	a l ʕ a sˤ a r a
العهد	a l ʕ a h a d a
القتل	a l q a t a l a
الملكي	a l m a l a k i j j
اليهود	a l j a h uː d
بان	b aː n a
بخصوص	b a x sˤ uː sˤ
بعضها	b a ʕ dˤ a h aː
تحاول	t a ħ aː w a l a
حقيقية	ħ a q iː q i j j a
عمره	ʕ a m r a h
لجميع	l a d͡ʒ m iː ʕ
مصري	m a sˤ r i j j
منع	m a n a ʕ a
نرى	n a r aː
واسعة	w aː s i ʕ a
ويقول	w a j q uː l
أثر	ʔ a θ r
الجريمة	a l d͡ʒ a r iː m a
الحوار	a l ħ a w aː r
الروسي	a r r uː s i j j
العلمية	a l ʕ a l a m i j j a
العلوم	a l ʕ a l uː m
الكلمة	a l k a l a m a
الكنيسة	a l k a n iː s a
اللون	a l l uː n
تحتوي	t a ħ t a w i j j
زوجها	z a w d͡ʒ a h aː
للبيع	l a l b iː ʕ
نكون	n a k uː n
إلينا	ʔ i l iː n aː
الأعضاء	a l ʔ a ʕ dˤ aː ʔ
الإطلاق	a l ʔ i tˤ l aː q
البريطانية	a l b a r iː tˤ aː n i j j a
البناء	a l b i n aː ʔ
الرأس	a r r a ʔ a s a
الرابط	a r r aː b i tˤ
العلاقة	a l ʕ i l aː q a
الفساد	a l f i s aː d
الفن	a l f a n a
القاضي	a l q aː dˤ i j j
القتال	a l q i t aː l
المقاومة	a l m a q aː w a m a
النقل	a n n a q a l a
الوحدة	a l w a ħ d a
بد	b a d d
توفير	t a w f iː r
يقال	j a q aː l
أحدا	ʔ a ħ d aː
أى	ʔ aː
اخرى	i x r aː
اعرف	i ʕ r a f a
الأحياء	a l ʔ a ħ j aː ʔ
التجارة	i l t i d͡ʒ aː r a
الثقافية	a θ θ i q aː f i j j a
الحفاظ	a l ħ i f aː ðˤ
الدستور	a d d a s t uː r
الرأي	a r r a ʔ i j j
الشيطان	a ʃ ʃ iː tˤ aː n
الطب	a tˤ tˤ a b b a
القرية	a l q a r i j j a
تملك	t a m a l l a k a
حقيقي	ħ a q iː q i j j
ضعف	dˤ a ʕ a f a
لويس	l a w iː s
مجموعات	m a d͡ʒ m uː ʕ aː t
أقوى	ʔ a q w aː
الأوروبية	a l ʔ uː r uː b i j j a
التاسع	i l t aː s i ʕ
الداخل	a d d aː x i l
الدور	a d d uː r
الصحيح	a sˤ sˤ a ħ iː ħ
الصينية	a sˤ sˤ iː n i j j a
القومي	a l q uː m i j j
الكهرباء	a l k i h r i b aː ʔ
المواطن	a l m a w aː tˤ i n
بعمل	b a ʕ m a l
جاءت	d͡ʒ aː ʔ i t
طبيعي	tˤ a b iː ʕ i j j
كشف	k a ʃ a f a
لحقوق	l a ħ q uː q
نعرف	n a ʕ r a f
الإشارة	a l ʔ i ʃ aː r a
الثقافي	a θ θ i q aː f i j j
الحاجة	a l ħ aː d͡ʒ a
الدرجة	a d d a r d͡ʒ a
العقل	a l ʕ a q a l a
العلمي	a l ʕ a l a m i j j
الفقر	a l f a q a r a
القانونية	a l q aː n uː n i j j a
بلغ	b a l a ɣ a
تشكل	t a ʃ a k k a l a
ذكرت	ð a k r a t
عرفت	ʕ a r a f t
فصل	f a sˤ a l a
فيهم	f a j h a m
يحتوي	j a ħ t a w i j j
اسمها	i s m a h aː
الجنة	a l d͡ʒ a n a
الكتابة	a l k i t aː b a
الوسطى	a l w a s tˤ aː
بسيطة	b a s iː tˤ a
تشعر	t a ʃ a ʕ ʕ a r a
تمكن	t a m a k k a n a
تنتهي	t a n t a h i j j
توفي	t a w f i j j
حينها	ħ a j n a h aː
دوما	d uː m aː
عملت	ʕ a m a l t
يمر	j a m a r a
أرى	ʔ a r aː
الأزمة	a l ʔ a z m a
الأماكن	a l ʔ a m aː k i n
الإخوان	a l ʔ i x w aː n
الإيرانية	a l ʔ iː r aː n i j j a
البقاء	a l b i q aː ʔ
التصوير	a t t a sˤ w iː r
الشعبي	a ʃ ʃ a ʕ b i j j
الطبيب	a tˤ tˤ a b iː b
العقد	a l ʕ a q a d a
الفصل	a l f a sˤ a l a
القائد	a l q aː ʔ i d
المركزية	a l m a r k a z i j j a
النهائي	a n n i h aː ʔ i j j
تتم	t a t a m m a
تي	t a j j
جديدا	d͡ʒ a d iː d aː
رأيت	r a ʔ iː t
شرح	ʃ a r a ħ a
فضلا	f a dˤ a l a n
مبنى	m a b n aː
وسيلة	w a s iː l a
يعتمد	j a ʕ t a m a d
الأفراد	a l ʔ a f r aː d
الإعلان	a l ʔ i ʕ l aː n
الاهتمام	a l aː h t i m aː m
البريد	a l b a r iː d
البيضاء	a l b iː dˤ aː ʔ
الرسول	a r r a s uː l
السوداء	a s s uː d aː ʔ
الشديد	a ʃ ʃ a d iː d
الصف	a sˤ sˤ a f a
القراءة	a l q i r aː ʔ a
المركزي	a l m a r k a z i j j
النشاط	a n n i ʃ aː tˤ
بطل	b a tˤ a l a
بقوة	b a q w a
تؤدي	t u ʔ d i j j
تابع	t aː b a ʕ a
تبلغ	t a b a l l a ɣ a
زي	z a j j
ضغط	dˤ a ɣ a tˤ a
عنده	ʕ a n d a h a
فأنت	f a ʔ a n t
فعله	f a ʕ l a h
لتحقيق	l a t a ħ q iː q
مجتمع	m u d͡ʒ t a m a ʕ
منظمات	m a n ðˤ a m aː t
نجم	n a d͡ʒ a m a
وإلى	w a ʔ i l aː
وضعت	w a dˤ ʕ a t
أمرا	ʔ a m r aː
الأدب	a l ʔ a d a b a
الأمة	a l ʔ a m a
التعبير	a t t a ʕ b iː r
الجو	a l d͡ʒ uː
الطيران	a tˤ tˤ iː r aː n
اللبناني	a l l i b n aː n i j j
المحيط	a l m a ħ iː tˤ
الملكة	a l m a l a k a
المناسب	a l m a n aː s i b
الواقعة	a l w aː q i ʕ a
بقيادة	b a q j aː d a
فأنا	f a ʔ n aː
فضلك	f a dˤ l a k
قادة	q aː d a
وحده	w a ħ d a h a
وسوف	w a s uː f
وهكذا	w a h k a ð aː
on	o n
أشعر	ʔ a ʃ ʕ a r a
الأسباب	a l ʔ a s b aː b
الجنود	a l d͡ʒ a n uː d
الحديد	a l ħ a d iː d
الحل	a l ħ a l l a
الحمد	a l ħ a m a d a
الداخلي	a d d aː x i l i j j
السينما	a s s iː n a m aː
الشاعر	a ʃ ʃ aː ʕ i r
الشيعة	a ʃ ʃ iː ʕ a
القدر	a l q a d a r a
الكون	a l k uː n
امام	i m aː m m a
بالتأكيد	b i t t a ʔ k iː d
تبين	t a b iː n
تزيد	t a z a j j a d a
تساعد	t a s aː ʕ a d a
تشمل	t a ʃ a m m a l a
تعزيز	t a ʕ z iː z
تواصل	t a w aː sˤ a l a
سبع	s a b a ʕ a
فشل	f a ʃ a l a
قادرة	q aː d i r a
قوى	q a w aː
مرتين	m a r t iː n
أخذت	ʔ a x ð a t a
أعني	ʔ a ʕ n i j j
احمد	i ħ m a d d a
الأمراض	a l ʔ a m r aː dˤ
الحملة	a l ħ a m l a
الفعل	a l f a ʕ a l a
القطاع	a l q i tˤ aː ʕ
اللاعب	a l l aː ʕ i b
ببعض	b a b ʕ a dˤ a
توفر	t a w a f f a r a
خلفية	x a l a f i j j a
ظروف	ðˤ a r uː f
غيره	ɣ a j r a h
قواعد	q a w aː ʕ i d
قوانين	q a w aː n iː n
كمية	k a m i j j a
مباريات	m a b aː r i j j aː t
أزمة	ʔ a z m a
اقول	i q w a l l a
الإتصال	a l ʔ i t sˤ aː l
البلدة	a l b a l d a
البنك	a l b a n k
الثامن	a θ θ aː m i n
السن	a s s a n a
بوك	b uː k
تحصل	t a ħ a sˤ sˤ a l a
تستحق	t a s t a ħ a q a
علما	ʕ a l a m aː
قديمة	q a d iː m a
ولذلك	w a l ð a l a k
الأسئلة	a l ʔ a s ʔ i l a
الألم	a l ʔ a l a m a
الإجراءات	a l ʔ i d͡ʒ r aː ʔ aː t
الإيمان	a l ʔ iː m aː n
الحظ	a l ħ a ðˤ ðˤ a
السادسة	a s s aː d i s a
الصحف	a sˤ sˤ a ħ a f a
العالي	a l ʕ aː l i j j
القصر	a l q a sˤ a r a
المجموعات	a l m a d͡ʒ m uː ʕ aː t
الملابس	a l m a l aː b i s
النيل	a n n iː l
اليمين	a l j a m iː n
اليومية	a l j uː m i j j a
اننا	i n n aː
بحرية	b a ħ r i j j a
بوجود	b uː d͡ʒ uː d
تطور	t a tˤ a w w a r a
ذوي	ð a w i j j
رسمية	r a s a m i j j a
عندها	ʕ a n d a h aː
فرض	f a r a dˤ a
كلهم	k a l h a m
ماهو	m aː h uː
ملعب	m a l ʕ a b
وأما	w a ʔ m aː
يخرج	j a x r a d͡ʒ
يعاني	j a ʕ aː n i j j
الأفكار	a l ʔ a f k aː r
الأهلية	a l ʔ a h l i j j a
الجنرال	a l d͡ʒ i n r aː l
