in	i n
ரக	ɾ ɐ ɡ ɐ
two	t w oː
அவல	ɐ ʋ ɐ l ɐ
தடவ	t̪ ɐ ɖ ɐ ʋ ɐ
act	a k t
boss	b ɔ s
data	d a t a
dinakaran	d i n a k a r a n
entry	ɛ n t r i
ii	iː
song	s o n ɡ
பழக	p ɐ ɻ ɐ ɡ ɐ
dinamalar	d i n a m a l a r
director	d i r ɛ k t o r
reference	r ɛ f ɛ r ɛ n s
party	p a r t i
very	v ɛ r i
நவ	n̪ ɐ ʋ ɐ
ad	a d
girl	ɡ i r l
na	n a
uk	u k
தன	t̪ ɐ n ɐ
மனநல	m ɐ n ɐ n̪ ɐ l ɐ
app	a p
click	k l i k
original	o r i d͡ʒ i n a l
non	n ɔ n
district	d i s t r i k t
hall	h a l
தவற	t̪ ɐ ʋ ɐ r ɐ
oh	oː
posted	p o s t ɛ d
short	ʃ ɔ r t
students	s t u d ɛ n t͡s
அகல	ɐ ɡ ɐ l ɐ
back	b a k
நம	n̪ ɐ m ɐ
body	b o d i
kamal	k a m a l
big	b i ɡ
co	k oː
image	i m a d͡ʒ
last	l a s t
ma	m a
south	s uː θ
test	t ɛ s t
tips	t i p s
un	u n
many	m a n i
red	r e d
show	ʃ ɔ w
sarkar	s a r k a r
ஆள	ɑː ɭ ɐ
al	a l
karunanidhi	k a r u n a n i d i
mass	m a s
white	w a j t
into	i n t o
இல	ɪ l ɐ
call	k a l
da	d a
land	l a n d
start	s t a r t
tax	t a k s
word	w o r d
govt	ɡ o f t
real	r e a l
கனரக	k ɐ n ɐ ɾ ɐ ɡ ɐ
தடகள	t̪ ɐ ɖ ɐ ɡ ɐ ɭ ɐ
class	k l a s
end	ɛ n d
just	d͡ʒ u s t
management	m a n a d͡ʒ m ɛ n t
network	n ɛ t w ɔ r k
wife	w a j f
உள	ʊ ɭ ɐ
also	a l s o
di	d i
lord	l o r d
malaysia	m a l a j s i a
mark	m a r k
raja	r a d͡ʒ a
self	s ɛ l f
status	s t a t u s
அவன	ɐ ʋ ɐ n ɐ
ஜன	d͡ʑ ɐ n ɐ
small	s m a l
அவள	ɐ ʋ ɐ ɭ ɐ
உதய	ʊ d̪ ɐ j ɐ
கவர	k ɐ ʋ ɐ ɾ ɐ
பரவ	p ɐ ɾ ɐ ʋ ɐ
gandhi	ɡ a n d i
srilanka	s r i l a n k a
content	k ɔ n t ɛ n t
left	l ɛ f t
rajini	r a d͡ʒ i n i
வசன	ʋ ɐ t͡ɕ ɐ n ɐ
auto	a u̯ t o
match	m a t͡ʃ
ram	r a m
speech	s p iː t͡ʃ
help	h ɛ l p
china	t͡ʃ i n a
form	f ɔ r m
key	k e j
mla	m l aː
nasa	n a s a
should	ʃ uː l d
எழ	e ɻ ɐ
கதற	k ɐ d̪ ɐ r ɐ
பரம	p ɐ ɾ ɐ m ɐ
anti	a n t i
care	k aː r
jan	d͡ʒ a n
மகர	m ɐ ɡ ɐ ɾ ɐ
contact	k ɔ n t a k t
did	d i d
local	l o k a l
must	m u s t
sunday	s u n d a j
ஆகம	ɑː ɡ ɐ m ɐ
நரக	n̪ ɐ ɾ ɐ ɡ ɐ
karnataka	k a r n a t a k a
night	n a j t
அவர	ɐ ʋ ɐ ɾ ɐ
வரல	ʋ ɐ ɾ ɐ l ɐ
chief	t͡ʃ iː f
well	w ɛ l
men	m ɛ n
pakistan	p a k i s t a n
park	p a r k
ab	a b
ac	a k
army	a r m i
art	a r t
bigg	b i ɡ
child	t͡ʃ i l d
fm	ɛ f ɛ m
light	l a j t
madras	m a d r a s
max	m a k s
mother	m oː ð ə r
need	n iː d
north	n ɔ r θ
அகர	ɐ ɡ ɐ ɾ ɐ
ஆவண	ɑː ʋ ɐ ɳ ɐ
கவன	k ɐ ʋ ɐ n ɐ
தக	t̪ ɐ ɡ ɐ
தட	t̪ ɐ ɖ ɐ
தவ	t̪ ɐ ʋ ɐ
author	a u̯ θ o r
department	d e p a r t m e n t
khan	k a n
master	m a s t ə r
true	t r uː
boy	b ɔ j
united	u n i t ɛ d
ஈர	iː ɾ ɐ
பரத	p ɐ ɾ ɐ d̪ ɐ
fast	f a s t
ஆழ	ɑː ɻ ɐ
blue	b l uː
br	b eː ɛ r
color	k o l o r
copy	k ɔ p i
final	f i n a l
gst	d͡ʒ eː ɛ s t eː
ok	o k
press	p r ɛ s
கண	k ɐ ɳ ɐ
வலய	ʋ ɐ l ɐ j ɐ
card	k a r d
dark	d a r k
fans	f a n s
mah	m aː
abdul	a b d u l
bookmark	b uː k m a r k
edited	e d i t e d
hindi	h i n d i
mi	m i
print	p r i n t
rio	r i o
rock	r ɔ k
saturday	s a t u r d a j
sep	s e p
she	ʃ eː
student	s t u d ɛ n t
sweet	s w iː t
thanks	t a n k s
york	j ɔ r k
அற	ɐ r ɐ
மலர	m ɐ l ɐ ɾ ɐ
ரத	ɾ ɐ d̪ ɐ
boys	b ɔ j s
il	i l
ms	ɛ m ɛ s
program	p r o ɡ r a m
stop	s t ɔ p
tamils	t a m i l s
block	b l ɔ k
logic	l ɔ d͡ʒ i k
screen	s k r iː n
shop	ʃ ɔ p
total	t o t a l
வண	ʋ ɐ ɳ ɐ
fi	f i
palanisamy	p a l a n i s a m i
tag	t a ɡ
talk	t a l k
youth	j uː θ
guru	ɡ u r u
materials	m a t e r i a l s
bill	b i l
kanyakumari	k a ɲ a k u m a r i
secret	s ɛ k r ɛ t
ai	a i̯
cool	k uː l
edit	e d i t
force	f ɔ r s
hard	h a r d
ka	k a
li	l i
os	o s
கத	k ɐ d̪ ɐ
check	t͡ʃ ɛ k
fan	f a n
natural	n a t u r a l
rasi	r a s i
அர	ɐ ɾ ɐ
ஏக	eː ɡ ɐ
five	f iː v e
four	f uː r
living	l i v i n ɡ
sand	s a n d
singapore	s i n ɡ a p o r e
age	a d͡ʒ
father	f a ð ə r
fund	f u n d
large	l a r d͡ʒ
airport	ɛ r p ɔ r t
apps	a p s
ba	b a
birth	b i r θ
born	b o r n
conference	k ɔ n f ɛ r ɛ n s
et	e t
hair	h a i r
hand	h a n d
loss	l ɔ s
mit	m i t
nagar	n a ɡ a r
organic	o r ɡ a n i k
pa	p a
past	p a s t
person	p ɛ r s o n
serial	s e r i a l
silver	s i l v ə r
smart	s m a r t
sub	s u b
உர	ʊ ɾ ɐ
சமரச	t͡ɕ ɐ m ɐ ɾ ɐ t͡ɕ ɐ
மதன	m ɐ d̪ ɐ n ɐ
ajith	a d͡ʒ i θ
ali	a l i
basic	b a s i k
ready	r ɛ d i
schools	ʃ uː l s
simple	s i m p l ə
கவச	k ɐ ʋ ɐ t͡ɕ ɐ
bad	b a d
ban	b a n
editor	e d i t o r
lady	l a d i
limited	l i m i t e d
shankar	ʃ a n k a r
vishal	v i ʃ aː l
week	w iː k
கலவர	k ɐ l ɐ ʋ ɐ ɾ ɐ
concept	k ɔ n s ɛ p t
sa	s a
still	s t i l
wi	w i
fight	f a j t
fish	f i ʃ
jio	d͡ʒ i o
smartphone	s m a r t f oː n
des	d e s
ip	i p
plant	p l a n t
speed	s p iː d
technical	t ɛ k n i k a l
ஹர	h ɐ ɾ ɐ
chat	t͡ʃ a t
flight	f l a j t
oct	ɔ k t
ops	o p s
pradesh	p r a d ɛ ʃ
royal	r o j a l
sasikala	s a s i k a l a
works	w ɔ r k s
ar	a r
dhanush	d a n u ʃ
int	i n t
isis	i s i s
members	m ɛ m b ə r s
sad	s a d
solar	s o l a r
thank	t a n k
yes	j e s
சத	t͡ɕ ɐ d̪ ɐ
direct	d i r ɛ k t
ex	ɛ k s
golden	ɡ o l d ə n
jayalalithaa	d͡ʒ a j a l a l i t h aː
mars	m a r s
murugan	m u r u ɡ a n
wide	w a j d
industry	i n d u s t r i
paste	p a s t e
proof	p r uː f
via	v i a
ஊற	uː r ɐ
மரகத	m ɐ ɾ ɐ ɡ ɐ d̪ ɐ
count	k a u̯ n t
path	p a θ
sky	s k iː
பரவச	p ɐ ɾ ɐ ʋ ɐ t͡ɕ ɐ
grand	ɡ r a n d
nayanthara	n a j a n t h a r a
மல	m ɐ l ɐ
album	a l b u m
asia	a s i a
camp	k a m p
capital	k a p i t a l
fall	f a l
french	f r ɛ n t͡ʃ
stay	s t a j
tata	t a t a
transformation	t r a n s f o r m a ʃ o n
unit	u n i t
ஆஆஆ	ɑː ɑː
சரவண	t͡ɕ ɐ ɾ ɐ ʋ ɐ ɳ ɐ
aa	aː
agent	a d͡ʒ ɛ n t
analysis	a n a l i s i s
arm	a r m
beyond	b e j o n d
buy	b u j
could	k uː l d
cross	k r ɔ s
david	d a v i d
devi	d e v i
diwali	d i w a l i
dt	d eː t eː
fact	f a k t
films	f i l m s
garden	ɡ a r d ə n
gun	ɡ u n
haasan	h aː s a n
half	h a l f
japan	d͡ʒ a p a n
kama	k a m a
korean	k o r e a n
legal	l e ɡ a l
malayalam	m a l a j a l a m
mk	ɛ m k a
palan	p a l a n
rbi	r b i
runs	r u n s
sivakarthikeyan	s i v a k a r t i k e j a n
six	s i k s
stage	s t aː d͡ʒ
suresh	s u r ɛ ʃ
talks	t a l k s
task	t a s k
topic	t ɔ p i k
try	t r iː
und	u n d
vid	v i d
ஏத	eː d̪ ɐ
கனக	k ɐ n ɐ ɡ ɐ
பதற	p ɐ d̪ ɐ r ɐ
ap	a p
famous	f a m u s
feel	f iː l
library	l i b r a r i
stand	s t a n d
stress	s t r ɛ s
tell	t ɛ l
உலர	ʊ l ɐ ɾ ɐ
ஏல	eː l ɐ
ரமண	ɾ ɐ m ɐ ɳ ɐ
church	t͡ʃ u r t͡ʃ
flower	f l a w ə r
fluid	f l u i d
term	t ɛ r m
wild	w i l d
ஆல	ɑː l ɐ
away	a w a j
facts	f a k t s
ministry	m i n i s t r i
miss	m i s
plans	p l a n s
ஆவன	ɑː ʋ ɐ n ɐ
வழ	ʋ ɐ ɻ ɐ
cloud	k l a u̯ d
gujarat	ɡ u d͡ʒ a r a t
salary	s a l a r i
trust	t r u s t
இமய	ɪ m ɐ j ɐ
எம	e m ɐ
british	b r i t i ʃ
prakash	p r a k a ʃ
si	s i
telugu	t e l u ɡ u
turn	t u r n
vikram	v i k r a m
எத	e d̪ ɐ
தம	t̪ ɐ m ɐ
duty	d u t i
major	m a d͡ʒ o r
negative	n e ɡ a t i v e
pan	p a n
ramadoss	r a m a d ɔ s
stock	s t ɔ k
சன	t͡ɕ ɐ n ɐ
electric	e l ɛ k t r i k
fresh	f r ɛ ʃ
instagram	i n s t a ɡ r a m
jesus	d͡ʒ e s u s
kill	k i l
lankan	l a n k a n
pass	p a s
shah	ʃ aː
silva	s i l v a
tank	t a n k
ஓத	oː d̪ ɐ
bit	b i t
bridge	b r i d͡ʒ
brother	b r ɔ ð ə r
ips	i p s
ist	i s t
lift	l i f t
multi	m u l t i
paris	p a r i s
trisha	t r i ʃ a
அசர	ɐ t͡ɕ ɐ ɾ ɐ
ஆய	ɑː j ɐ
ஆர	ɑː ɾ ɐ
உணவக	ʊ ɳ ɐ ʋ ɐ ɡ ɐ
வரத	ʋ ɐ ɾ ɐ d̪ ɐ
electronics	e l ɛ k t r ɔ n i k s
simbu	s i m b u
கமல	k ɐ m ɐ l ɐ
fraud	f r a u̯ d
kaala	k aː l a
material	m a t e r i a l
mount	m a u̯ n t
parts	p a r t͡s
reality	r e a l i t i
ta	t a
virtual	v i r t u a l
இவன	ɪ ʋ ɐ n ɐ
depth	d ɛ p t
factory	f a k t ɔ r i
jayakumar	d͡ʒ a j a k u m a r
pen	p ɛ n
popular	p o p u l a r
uthayan	u t h a j a n
ஒர	o ɾ ɐ
ஓர	oː ɾ ɐ
kolkata	k o l k a t a
krishna	k r i ʃ n a
staff	s t a f
starts	s t a r t͡s
track	t r a k
various	v a r j u s
gap	ɡ a p
guy	ɡ u j
korea	k o r e a
primary	p r i m a r i
swiss	s w i s
எனற	e n ɐ r ɐ
நமஹ	n̪ ɐ m ɐ h ɐ
balaji	b a l a d͡ʒ i
deep	d iː p
falls	f a l s
gift	ɡ i f t
hill	h i l
numbers	n u m b ə r s
step	s t ɛ p
within	w i ð i n
worth	w ɔ r θ
adult	a d u l t
dd	d eː d eː
logo	l o ɡ o
mini	m i n i
planet	p l a n e t
risk	r i s k
sharma	ʃ a r m a
tweet	t w iː t
victory	v i k t ɔ r i
vivobiggboss	v i v o b i ɡ b o s
wishes	w i ʃ ə s
அபய	ɐ b ɐ j ɐ
ஆஆஆஆ	ɑː ɑː ɑː
ஊர	uː ɾ ɐ
கதவ	k ɐ d̪ ɐ ʋ ɐ
மனச	m ɐ n ɐ t͡ɕ ɐ
aka	a k a
alt	a l t
bharat	b a r a t
cook	k uː k
flag	f l aː ɡ
iron	i r o n
lakshmi	l a k ʃ m i
moral	m o r a l
opinion	o p i n j o n
tour	t uː r
vijayakanth	v i d͡ʒ a j a k a n t
உண	ʊ ɳ ɐ
உத	ʊ d̪ ɐ
கலகல	k ɐ l ɐ ɡ ɐ l ɐ
தகர	t̪ ɐ ɡ ɐ ɾ ɐ
ago	a ɡ o
animal	a n i m a l
ann	a n
ask	a s k
basin	b a s i n
below	b ɛ l ɔ w
biggboss	b i ɡ b ɔ s
bird	b i r d
brand	b r a n d
buddha	b u d d a
caste	k a s t e
chart	t͡ʃ a r t
conflict	k ɔ n f l i k t
das	d a s
dharmapuri	d a r m a p u r i
diamond	d i a m o n d
dont	d o n t
fa	f a
goa	ɡ o a
hits	h i t͡s
hockey	h ɔ k i
interest	i n t ə r ɛ s t
kamaveri	k a m a v e r i
labour	l a b uː r
makkal	m a k k a l
met	m e t
military	m i l i t a r i
minutes	m i n u t e s
narendra	n a r ɛ n d r a
nifty	n i f t i
nu	n u
op	o p
otha	o t a
owl	a w l
pp	p eː p eː
punjab	p u n d͡ʒ a b
rahul	r a h u l
rama	r a m a
route	r uː t
sabha	s a b a
send	s ɛ n d
sheet	ʃ iː t
shri	ʃ r iː
sister	s i s t ə r
soap	s o a p
surya	s u r j a
syndrome	s i n d r oː m
trans	t r a n s
trump	t r u m p
vi	v i
vishnu	v i ʃ n u
wa	w a
walk	w a l k
want	w a n t
wire	w a j r
worship	w o r ʃ i p
அம	ɐ m ɐ
ஆணவ	ɑː ɳ ɐ ʋ ɐ
ஆற	ɑː r ɐ
கப	k ɐ b ɐ
கபட	k ɐ b ɐ ɖ ɐ
பத	p ɐ d̪ ɐ
பன	p ɐ n ɐ
aadhaar	aː d h aː r
across	a k r ɔ s
covid	k o v i d
dress	d r ɛ s
mid	m i d
normal	n ɔ r m a l
room	r uː m
solid	s o l i d
soul	s uː l
spiritual	s p i r i t u a l
உட	ʊ ɖ ɐ
கம	k ɐ m ɐ
கவ	k ɐ ʋ ɐ
படல	p ɐ ɖ ɐ l ɐ
begins	b e ɡ i n s
cambridge	k a m b r i d͡ʒ
disk	d i s k
mani	m a n i
naan	n aː n
சவ	t͡ɕ ɐ ʋ ɐ
நர	n̪ ɐ ɾ ɐ
aus	a u̯ s
bin	b i n
lion	l i oː n
map	m a p
priya	p r i j a
semi	s ə m i
மகத	m ɐ ɡ ɐ d̪ ɐ
ரச	ɾ ɐ t͡ɕ ɐ
babu	b a b u
charles	t͡ʃ a r l ɛ s
electronic	e l ɛ k t r ɔ n i k
farm	f a r m
fat	f a t
federal	f e d ə r a l
mental	m ɛ n t a l
panel	p a n ɛ l
shift	ʃ i f t
stars	s t a r s
storm	s t ɔ r m
suriya	s u r i j a
thanjavur	t a n d͡ʒ a v u r
பவ	p ɐ ʋ ɐ
gulf	ɡ u l f
hari	h a r i
ict	i k t
industrial	i n d u s t r i a l
poor	p oː r
bag	b a ɡ
banks	b a n k s
branch	b r a n t͡ʃ
donald	d o n a l d
iit	iː t
inc	i n k
inch	i n t͡ʃ
kamalhaasan	k a m a l h aː s a n
masala	m a s a l a
profit	p r o f i t
கடக	k ɐ ɖ ɐ ɡ ɐ
ananda	a n a n d a
din	d i n
glass	ɡ l a s
poster	p o s t ə r
trail	t r e l
ரண	ɾ ɐ ɳ ɐ
artist	a r t i s t
criminal	k r i m i n a l
electrical	e l ɛ k t r i k a l
jaya	d͡ʒ a j a
kalam	k a l a m
less	l ɛ s
malar	m a l a r
pin	p i n
அன	ɐ n ɐ
சட	t͡ɕ ɐ ɖ ɐ
மமக	m ɐ m ɐ ɡ ɐ
andhra	a n d r a
animals	a n i m a l s
cult	k u l t
dha	d a
dry	d r iː
pay	p a j
salt	s a l t
sector	s ɛ k t o r
visual	v i z u a l
wish	w i ʃ
ஆச	ɑː t͡ɕ ɐ
உற	ʊ r ɐ
ஜய	d͡ʑ ɐ j ɐ
agreement	a ɡ r i m e n t
cast	k a s t
chance	t͡ʃ a n s
confidence	k ɔ n f i d ɛ n s
maha	m a h a
pack	p a k
panchayat	p a n t͡ʃ a j a t
rail	r eː l
rural	r u r a l
san	s a n
sugar	s u ɡ a r
ten	t ɛ n
tirupati	t i r u p a t i
activity	a k t i v i t i
anushka	a n u ʃ k a
band	b a n d
colony	k o l o n i
es	e s
import	i m p o r t
kala	k a l a
manual	m a n u a l
ot	o t
polls	p ɔ l s
scientific	ʃ i ɛ n t i f i k
shock	ʃ ɔ k
terms	t ɛ r m s
ci	t͡ʃ i
gay	ɡ a j
groups	ɡ r u p s
lab	l a b
ministers	m i n i s t ə r s
oscar	o s k a r
palm	p a l m
plastic	p l a s t i k
powder	p a w d ə r
protected	p r o t ɛ k t ɛ d
trend	t r ɛ n d
ஆகல	ɑː ɡ ɐ l ɐ
நவரச	n̪ ɐ ʋ ɐ ɾ ɐ t͡ɕ ɐ
ambani	a m b a n i
au	a u̯
boat	b o a t
cia	t͡ʃ i a
gif	ɡ i f
karthi	k a r t i
இவர	ɪ ʋ ɐ ɾ ɐ
api	a p i
bala	b a l a
calls	k a l s
ganesh	ɡ a n e ʃ
hotels	h o t ɛ l s
kitchen	k i t͡ʃ ə n
marina	m a r i n a
mohamed	m o h aː m e d
ra	r a
rank	r a n k
saudi	s a u̯ d i
trial	t r i a l
upsc	u p ʃ
vao	v a o
chan	t͡ʃ a n
individual	i n d i v i d u a l
lee	l eː
marks	m a r k s
rana	r a n a
respect	r ɛ s p ɛ k t
sangam	s a n ɡ a m
sinhala	s i n h a l a
wait	w a i t
ஈன	iː n ɐ
கர	k ɐ ɾ ɐ
பழய	p ɐ ɻ ɐ j ɐ
யவன	j ɐ ʋ ɐ n ɐ
வல	ʋ ɐ l ɐ
arabia	a r a b i a
corona	k o r o n a
distribution	d i s t r i b u ʃ o n
glory	ɡ l ɔ r i
lotus	l o t u s
oc	o k
pour	p uː r
purple	p u r p l ə
radius	r a d i u s
sai	s a i̯
shall	ʃ a l
சர	t͡ɕ ɐ ɾ ɐ
atomic	a t ɔ m i k
dan	d a n
draft	d r a f t
fly	f l iː
gram	ɡ r a m
multimedia	m u l t i m e d i a
projects	p r o d͡ʒ ɛ k t s
இவள	ɪ ʋ ɐ ɭ ɐ
chopra	t͡ʃ o p r a
ep	e p
feed	f iː d
genius	d͡ʒ e n i u s
ja	d͡ʒ a
jack	d͡ʒ a k
plants	p l a n t͡s
srinivasa	s r i n i v a s a
தசரத	t̪ ɐ t͡ɕ ɐ ɾ ɐ d̪ ɐ
aiims	a i i m s
bull	b u l
clip	k l i p
equipment	ɛ k w i p m ɛ n t
forms	f ɔ r m s
grid	ɡ r i d
independent	i n d e p ɛ n d ɛ n t
kit	k i t
limit	l i m i t
lock	l ɔ k
maharashtra	m a h a r a ʃ t r a
qualified	k w a l i f iː d
rocks	r ɔ k s
sample	s a m p l ə
thirumavalavan	θ i r u m a v a l a v a n
until	u n t i l
ஏவ	eː ʋ ɐ
comics	k ɔ m i k s
damage	d a m a d͡ʒ
drama	d r a m a
fit	f i t
sport	s p ɔ r t
til	t i l
ultra	u l t r a
ஓய	oː j ɐ
தடய	t̪ ɐ ɖ ɐ j ɐ
batch	b a t͡ʃ
critics	k r i t i k s
desktop	d ɛ s k t ɔ p
door	d oː r
fill	f i l
graphic	ɡ r a f i k
jai	d͡ʒ a i̯
pi	p i
protect	p r o t ɛ k t
sarathkumar	s a r a θ k u m a r
vip	v i p
winter	w i n t ə r
writers	w r i t ə r s
democratic	d e m o k r a t i k
died	d iː d
domestic	d o m ɛ s t i k
ebook	e b uː k
fuck	f u k
jump	d͡ʒ u m p
mahal	m a h a l
para	p a r a
ri	r i
sam	s a m
shadow	ʃ a d o w
stills	s t i l s
ya	j a
yet	j e t
ஊக	uː ɡ ɐ
எல	e l ɐ
சயன	t͡ɕ ɐ j ɐ n ɐ
belt	b ɛ l t
bond	b o n d
empty	ɛ m p t i
er	eː r
fernando	f ɛ r n a n d o
giant	ɡ i a n t
rahulgandhi	r a h u l ɡ a n d i
spirit	s p i r i t
talent	t a l ɛ n t
blast	b l a s t
brothers	b r ɔ ð ə r s
coal	k o a l
cyclone	s i k l oː n
dai	d a i̯
debt	d ɛ p t
dindigul	d i n d i ɡ u l
eu	e u̯
previous	p r e v i u s
sap	s a p
silent	s i l ɛ n t
summit	s u m m i t
tam	t a m
ye	j e
சரக	t͡ɕ ɐ ɾ ɐ ɡ ɐ
banana	b a n a n a
cord	k o r d
coronavirus	k o r o n a v i r u s
factor	f a k t o r
gravity	ɡ r a v i t i
lunar	l u n a r
monitor	m o n i t o r
permanent	p ɛ r m a n ɛ n t
prasad	p r a s a d
quick	k w i k
rani	r a n i
ratio	r a t i o
scholarship	ʃ o l a r ʃ i p
span	s p a n
statistics	s t a t i s t i k s
tanjore	t a n d͡ʒ o r e
tna	t n a
vasantham	v a s a n t h a m
ஊத	uː d̪ ɐ
மய	m ɐ j ɐ
baba	b a b a
ben	b ɛ n
che	t͡ʃ e
intel	i n t ɛ l
kalki	k a l k i
laws	l a w s
owners	a w n ə r s
pad	p a d
serious	s e r i u s
uttar	u t t a r
vijaya	v i d͡ʒ a j a
cid	t͡ʃ i d
clusters	k l u s t ə r s
cosmic	k ɔ z m i k
delta	d ɛ l t a
dual	d u a l
engineers	e n d͡ʒ i n ɛː r s
flu	f l uː
further	f u r ð ə r
gita	ɡ i t a
giving	ɡ i v i n ɡ
kiss	k i s
motors	m o t o r s
mouth	m a u̯ θ
oviya	o v i j a
provide	p r o v i d e
romantic	r o m a n t i k
tel	t ɛ l
went	w ɛ n t
wins	w i n s
ஒட	o ɖ ɐ
தசம	t̪ ɐ t͡ɕ ɐ m ɐ
மழ	m ɐ ɻ ɐ
client	k l i ɛ n t
grass	ɡ r a s
hills	h i l s
kaadhal	k aː d h a l
krishnan	k r i ʃ n a n
radha	r a d a
sensor	s ɛ n s o r
sunny	s u n n i
unlimited	u n l i m i t e d
wave	w aː v e
ak	a k
ans	a n s
dangerous	d a n d͡ʒ ə r u s
ipo	i p o
lunch	l u n t͡ʃ
minimum	m i n i m u m
odisha	o d i ʃ a
shirt	ʃ i r t
tamilan	t a m i l a n
tourist	t u r i s t
ஆதர	ɑː d̪ ɐ ɾ ɐ
ஆபரண	ɑː b ɐ ɾ ɐ ɳ ɐ
உபகரண	ʊ b ɐ ɡ ɐ ɾ ɐ ɳ ɐ
சதய	t͡ɕ ɐ d̪ ɐ j ɐ
administrative	a d m i n i s t r a t i v e
arya	a r j a
christ	k r i s t
critical	k r i t i k a l
cry	k r iː
directors	d i r ɛ k t o r s
finals	f i n a l s
frequency	f r ɛ k w ɛ n s i
mango	m a n ɡ o
publish	p u b l i ʃ
silk	s i l k
tourism	t u r i z m
bell	b ɛ l
castro	k a s t r o
ego	e ɡ o
eli	e l i
evil	e v i l
fusion	f u z j o n
kapoor	k a p oː r
maps	m a p s
mask	m a s k
narayanan	n a r a j a n a n
pit	p i t
rand	r a n d
roman	r o m a n
roof	r uː f
scientist	ʃ i ɛ n t i s t
split	s p l i t
topics	t ɔ p i k s
transit	t r a n s i t
trip	t r i p
activist	a k t i v i s t
dust	d u s t
favorite	f a v o r i t e
include	i n k l uː d
par	p a r
patel	p a t ɛ l
pick	p i k
practical	p r a k t i k a l
yuvan	j u v a n
நள	n̪ ɐ ɭ ɐ
begin	b e ɡ i n
coconut	k o k o n u t
dutch	d u t͡ʃ
goat	ɡ o a t
karan	k a r a n
killer	k i l ə r
mag	m a ɡ
orange	o r a n d͡ʒ
prabhu	p r a b u
random	r a n d o m
sat	s a t
sharp	ʃ a r p
ship	ʃ i p
steps	s t ɛ p s
ui	u i
wikipedia	w i k i p e d i a
உபய	ʊ b ɐ j ɐ
சரண	t͡ɕ ɐ ɾ ɐ ɳ ɐ
ஜனக	d͡ʑ ɐ n ɐ ɡ ɐ
பக	p ɐ ɡ ɐ
லவ	l ɐ ʋ ɐ
aanmeegam	aː n m eː ɡ a m
crop	k r ɔ p
pak	p a k
robot	r o b o t
உல	ʊ l ɐ
abu	a b u
adi	a d i
apj	a p i d͡ʒ
bai	b a i̯
bright	b r a j t
charity	t͡ʃ a r i t i
clinic	k l i n i k
clock	k l ɔ k
emi	e m i
grant	ɡ r a n t
judge	d͡ʒ u d͡ʒ
kar	k a r
