km	k a ɛ m
over	ɔ v e
trad	t ʁ a d
tweets	t w i t
afro	a f ʁ o
benalla	b ə n a l a
coll	k ɔ l
dance	d ɑ̃ s
drone	d ʁ ɔ n
messi	m e s i
métropolitaine	m e t ʁ ɔ p ɔ l i t ɛ n
rob	ʁ ɔ b
syrien	s i ʁ j ɛ̃
toxique	t ɔ k s i k
télécommunications	t e l e k ɔ m y n i k a s j ɔ̃
aaron	a a ʁ ɔ̃
airbus	ɛ ʁ b y
apocalypse	a p ɔ k a l i p s
consécutive	k ɔ̃ s e k y t i v
gabon	ɡ a b ɔ̃
jesus	ʒ ə z y
terry	t ɛ ʁ i
university	y n i v ɛ ʁ s i t i
xvie	k s v i
cocaïne	k ɔ k a i n
communautaires	k ɔ m y n o t ɛ ʁ
connards	k ɔ n a ʁ
deschamps	d ɛ ʃ ɑ̃
europa	ø ʁ ɔ p a
exclusivité	ɛ k s k l y z i v i t e
féminisme	f e m i n i s m
golden	ɡ ɔ l d ɛ n
indonésie	ɛ̃ d ɔ n e z i
linéaire	l i n e ɛ ʁ
lopez	l ɔ p e
manhattan	m a n a t ɑ̃
pcf	p e s e ɛ f
startup	s t a ʁ t y p
stp	ɛ s t e p e
taff	t a f
uranium	y ʁ a n j ɔ m
ème	ɛ m
comportant	k ɔ̃ p ɔ ʁ t ɑ̃
ibn	i b ɛ n
importations	ɛ̃ p ɔ ʁ t a s j ɔ̃
optimisation	ɔ p t i m i z a s j ɔ̃
putains	p y t ɛ̃
troll	t ʁ ɔ l
tyler	t i l e
british	b ʁ i t i ʃ
emblée	ɑ̃ b l e
harvard	a ʁ v a ʁ
icône	i k o n
ivan	i v ɑ̃
jr	ʒ e ɛ ʁ
merkel	m ɛ ʁ k ɛ l
ny	n i
palestinien	p a l ɛ s t i n j ɛ̃
politicien	p ɔ l i t i s j ɛ̃
présidentiel	p ʁ e z i d ɑ̃ s j ɛ l
rdc	ɛ ʁ d e s e
réacteur	ʁ e a k t œ ʁ
séville	s e v i l
électorat	e l ɛ k t ɔ ʁ a
awards	a w a ʁ
carla	k a ʁ l a
djihadistes	d ʒ i a d i s t
développeurs	d e v l ɔ p œ ʁ
faso	f a z o
isère	i z ɛ ʁ
jon	ʒ ɔ̃
soul	s u l
taubira	t o b i ʁ a
tueurs	t ɥ œ ʁ
élaborer	e l a b ɔ ʁ e
assainissement	a s ɛ n i s m ɑ̃
bouygues	b u i ɡ
energie	ɑ̃ n ɛ ʁ ʒ i
gt	ʒ e t e
humoriste	y m ɔ ʁ i s t
model	m ɔ d ɛ l
parution	p a ʁ y s j ɔ̃
protagonistes	p ʁ ɔ t a ɡ ɔ n i s t
qi	k i
south	s u t
syrienne	s i ʁ j ɛ n
videos	v i d e o
élysée	e l i z e
adams	a d a m
chuck	ʃ y k
coeurs	k œ ʁ
constituant	k ɔ̃ s t i t ɥ ɑ̃
genèse	ʒ ə n ɛ z
harris	a ʁ i
miguel	m i ɡ ɛ l
neil	n ɛ j
prostituée	p ʁ ɔ s t i t ɥ e
sélectionneur	s e l ɛ k s j ɔ n œ ʁ
value	v a l y
éliminatoires	e l i m i n a t w a ʁ
abou	a b u
accro	a k ʁ o
accélère	a k s e l ɛ ʁ
apparait	a p a ʁ ɛ
audi	o d i
coéquipier	k ɔ e k i p j e
drones	d ʁ ɔ n
how	o
nominations	n ɔ m i n a s j ɔ̃
oxford	ɔ k s f ɔ ʁ
rein	ʁ ɛ̃
soccer	s ɔ k s e
sos	s o
when	w ɛ n
wild	w i l d
abstention	a p s t ɑ̃ s j ɔ̃
accessibilité	a k s e s i b i l i t e
autisme	o t i s m
charleroi	ʃ a ʁ l ə ʁ w a
drama	d ʁ a m a
fb	ɛ f b e
gagnante	ɡ a ɲ ɑ̃ t
houston	u s t ɔ̃
linda	l ɛ̃ d a
npd	ɛ n p e d e
roma	ʁ ɔ m a
séisme	s e i s m
uber	y b e
vagin	v a ʒ ɛ̃
war	w a ʁ
barça	b a ʁ s a
check	ʃ ɛ k
essonne	e s ɔ n
inédits	i n e d i
litige	l i t i ʒ
next	n ɛ k s t
north	n ɔ ʁ t
opérationnelle	ɔ p e ʁ a s j ɔ n ɛ l
requêtes	ʁ ə k ɛ t
réacteurs	ʁ e a k t œ ʁ
sherbrooke	ʃ ɛ ʁ b ʁ u k
soviétiques	s ɔ v j e t i k
sr	ɛ s ɛ ʁ
trilogie	t ʁ i l ɔ ʒ i
visés	v i z e
warren	w a ʁ ɛ n
alep	a l ɛ p
algorithme	a l ɡ ɔ ʁ i t m
bc	b e s e
chrome	k ʁ ɔ m
comics	k ɔ m i k
commentateurs	k ɔ m ɑ̃ t a t œ ʁ
eddie	ɛ d i
eden	e d ɛ n
episode	ɛ p i z ɔ d
fisc	f i s k
focus	f ɔ k y
gout	ɡ u
initiation	i n i s j a s j ɔ̃
kiev	k j ɛ v
liga	l i ɡ a
marvel	m a ʁ v ɛ l
mitchell	m i t ʃ ɛ l
never	n ə v e
perry	p ɛ ʁ i
porsche	p ɔ ʁ ʃ
switch	s w i t ʃ
tank	t ɑ̃ k
tarn	t a ʁ n
varsovie	v a ʁ s ɔ v i
wolf	w ɔ l f
wtf	w e t e ɛ f
affichent	a f i ʃ
calories	k a l ɔ ʁ i
casablanca	k a z a b l ɑ̃ k a
dennis	d ɛ n i
eddy	ɛ d i
emballage	ɑ̃ b a l a ʒ
environnementales	ɑ̃ v i ʁ ɔ n m ɑ̃ t a l
fantasmes	f ɑ̃ t a s m
fashion	f a ʃ j ɔ̃
fonctionnalités	f ɔ̃ k s j ɔ n a l i t e
here	ɛ ʁ
hillary	i l a ʁ i
identifie	i d ɑ̃ t i f i
lanceur	l ɑ̃ s œ ʁ
margaret	m a ʁ ɡ a ʁ ɛ
permanents	p ɛ ʁ m a n ɑ̃
ralph	ʁ a l f
saxons	s a k s ɔ̃
susan	s y z ɑ̃
bombardier	b ɔ̃ b a ʁ d j e
castro	k a s t ʁ o
cb	s e b e
dédicace	d e d i k a s
escroquerie	ɛ s k ʁ ɔ k ʁ i
fédérales	f e d e ʁ a l
généralisée	ʒ e n e ʁ a l i z e
instabilité	ɛ̃ s t a b i l i t e
jamie	ʒ a m i
liam	l j a m
mercato	m ɛ ʁ k a t o
noah	n o a
only	ɔ̃ l i
partenariats	p a ʁ t ə n a ʁ j a
pm	p e ɛ m
précipitations	p ʁ e s i p i t a s j ɔ̃
roberto	ʁ ɔ b ɛ ʁ t o
réalisateurs	ʁ e a l i z a t œ ʁ
sophia	s ɔ f j a
url	y ʁ l
uruguay	y ʁ y ɡ ɛ
voice	v w a s
émancipation	e m ɑ̃ s i p a s j ɔ̃
abidjan	a b i d ʒ ɑ̃
bitcoin	b i t k w ɛ̃
coéquipiers	k ɔ e k i p j e
crack	k ʁ a k
développeur	d e v l ɔ p œ ʁ
hidalgo	i d a l ɡ o
honda	ɔ̃ d a
inscrivez	ɛ̃ s k ʁ i v e
joan	ʒ ɔ ɑ̃
mia	m j a
millénaire	m i l e n ɛ ʁ
mlp	ɛ m ɛ l p e
médian	m e d j ɑ̃
pv	p e v e
recrue	ʁ ə k ʁ y
soft	s ɔ f t
urine	y ʁ i n
affrontements	a f ʁ ɔ̃ t m ɑ̃
boycott	b ɔ j k ɔ t
brandon	b ʁ ɑ̃ d ɔ̃
certification	s ɛ ʁ t i f i k a s j ɔ̃
contamination	k ɔ̃ t a m i n a s j ɔ̃
dédiés	d e d j e
eure	œ ʁ
hétéro	e t e ʁ o
indemnisation	ɛ̃ d ɛ m n i z a s j ɔ̃
kent	k ɑ̃
kid	k i d
kurt	k y ʁ
law	l a w
lola	l ɔ l a
louvain	l u v ɛ̃
magic	m a ʒ i k
médiévale	m e d j e v a l
prédécesseurs	p ʁ e d e s e s œ ʁ
ressortissants	ʁ ə s ɔ ʁ t i s ɑ̃
rita	ʁ i t a
room	ʁ u m
sharon	ʃ a ʁ ɔ̃
shirts	ʃ i ʁ
thompson	t ɔ̃ p s ɔ̃
todd	t ɔ d
vih	v i
zombie	z ɔ̃ b i
énergétiques	e n ɛ ʁ ʒ e t i k
anthropologie	ɑ̃ t ʁ ɔ p ɔ l ɔ ʒ i
anus	a n y
arizona	a ʁ i z o n a
bryan	b ʁ i j ɑ̃
cheikh	ʃ ɛ k
collins	k ɔ l ɛ̃
cégep	s e ʒ ɛ p
déclenchement	d e k l ɑ̃ ʃ m ɑ̃
ends	ɑ̃
obésité	ɔ b e z i t e
orge	ɔ ʁ ʒ
patricia	p a t ʁ i s j a
rc	ɛ ʁ s e
reconstitution	ʁ ə k ɔ̃ s t i t y s j ɔ̃
rogers	ʁ ɔ ʒ e
sebastian	s ə b a s t j ɑ̃
spider	s p i d e
talk	t a l k
true	t ʁ y
eco	e k o
erdogan	ɛ ʁ d ɔ ɡ ɑ̃
has	a
kyle	k i l
link	l ɛ̃ k
neymar	n ɛ m a ʁ
octroi	ɔ k t ʁ w a
piece	p j ɛ s
rallye	ʁ a l i
remix	ʁ ə m i k s
tactiques	t a k t i k
tremblay	t ʁ ɑ̃ b l ɛ
vera	v ə ʁ a
vulnérables	v y l n e ʁ a b l
adrian	a d ʁ i j ɑ̃
airlines	ɛ ʁ l i n
antibiotiques	ɑ̃ t i b j ɔ t i k
assureur	a s y ʁ œ ʁ
clauses	k l o z
collaborer	k ɔ l a b ɔ ʁ e
cyr	s i ʁ
deutsche	d ø t ʃ
diffamation	d i f a m a s j ɔ̃
digitale	d i ʒ i t a l
endurance	ɑ̃ d y ʁ ɑ̃ s
gouverneurs	ɡ u v ɛ ʁ n œ ʁ
guilde	ɡ i l d
hydrocarbures	i d ʁ ɔ k a ʁ b y ʁ
itunes	i t y n
marois	m a ʁ w a
milices	m i l i s
murphy	m y ʁ f i
name	n a m
notification	n ɔ t i f i k a s j ɔ̃
pick	p i k
provoquent	p ʁ ɔ v ɔ k
rafael	ʁ a f a ɛ l
royaumes	ʁ w a j o m
ruth	ʁ y t
tinder	t ɛ̃ d e
actu	a k t y
band	b ɑ̃
beaulieu	b o l j ø
calmez	k a l m e
comète	k ɔ m ɛ t
conjointe	k ɔ̃ ʒ w ɛ̃ t
diffusés	d i f y z e
discriminations	d i s k ʁ i m i n a s j ɔ̃
enfoirés	ɑ̃ f w a ʁ e
engouement	ɑ̃ ɡ u m ɑ̃
estivale	ɛ s t i v a l
gatineau	ɡ a t i n o
helen	ɛ l ɛ n
hybrides	i b ʁ i d
hélicoptères	e l i k ɔ p t ɛ ʁ
illégales	i l e ɡ a l
investiture	ɛ̃ v ɛ s t i t y ʁ
juventus	ʒ y v ɑ̃ t y
madison	m a d i z ɔ̃
mega	m e ɡ a
nam	n a m
planétaire	p l a n e t ɛ ʁ
reich	ʁ ɛ ʃ
requise	ʁ ə k i z
rp	ɛ ʁ p e
sanchez	s ɑ̃ ʃ e
saveurs	s a v œ ʁ
shop	ʃ ɔ p
signalisation	s i ɲ a l i z a s j ɔ̃
suspense	s y s p ɑ̃ s
touch	t u ʃ
transporteur	t ʁ ɑ̃ s p ɔ ʁ t œ ʁ
émetteur	e m ɛ t œ ʁ
adjectif	a d ʒ ɛ k t i f
ajustement	a ʒ y s t ə m ɑ̃
aka	a k a
assumé	a s y m e
atlanta	a t l ɑ̃ t a
blair	b l ɛ ʁ
bénéficiant	b e n e f i s j ɑ̃
cable	k a b l
cocktails	k ɔ k t a j
conrad	k ɔ̃ ʁ a d
control	k ɔ̃ t ʁ ɔ l
derniere	d ɛ ʁ n j e ʁ
endettement	ɑ̃ d ɛ t m ɑ̃
fascisme	f a s i s m
interdisant	ɛ̃ t ɛ ʁ d i z ɑ̃
isolation	i z ɔ l a s j ɔ̃
leonardo	l e ɔ n a ʁ d o
other	ɔ t e
salvador	s a l v a d ɔ ʁ
seo	s e o
smart	s m a ʁ
song	s ɔ̃ ɡ
supervision	s y p ɛ ʁ v i z j ɔ̃
torres	t ɔ ʁ
work	w ɔ ʁ k
xxie	k s i
aligner	a l i ɲ e
apostolique	a p ɔ s t ɔ l i k
bp	b e p e
brexit	b ʁ ɛ k s i
enfuit	ɑ̃ f ɥ i
hannah	a n a
humoristique	y m ɔ ʁ i s t i k
imposés	ɛ̃ p o z e
jong	ʒ ɔ̃ ɡ
mel	m ɛ l
morris	m ɔ ʁ i
québécoises	k e b e k w a z
sm	ɛ s ɛ m
spoiler	s p w a l e
td	t e d e
too	t u
vanne	v a n
viole	v j ɔ l
éolien	e ɔ l j ɛ̃
bangladesh	b ɑ̃ ɡ l a d ɛ ʃ
betty	b ɛ t i
cargo	k a ʁ ɡ o
chanel	ʃ a n ɛ l
community	k ɔ m y n i t i
consolidation	k ɔ̃ s ɔ l i d a s j ɔ̃
contrôleurs	k ɔ̃ t ʁ o l œ ʁ
corner	k ɔ ʁ n e
cruz	k ʁ y
crystal	k ʁ i s t a l
damon	d a m ɔ̃
death	d i t
dépistage	d e p i s t a ʒ
easy	i z i
empathie	ɑ̃ p a t i
envois	ɑ̃ v w a
espere	ɛ s p ɛ ʁ
filiation	f i l j a s j ɔ̃
gallery	ɡ a l ʁ i
gates	ɡ a t
gouvernemental	ɡ u v ɛ ʁ n ə m ɑ̃ t a l
gp	ʒ e p e
haram	a ʁ a m
homophobe	ɔ m ɔ f ɔ b
incompétence	ɛ̃ k ɔ̃ p e t ɑ̃ s
jt	ʒ e t e
kansas	k ɑ̃ s a
manitoba	m a n i t ɔ b a
mutuelles	m y t ɥ ɛ l
mémorial	m e m ɔ ʁ j a l
protocoles	p ʁ ɔ t ɔ k ɔ l
some	s ɔ m
sporting	s p ɔ ʁ t i ŋ
there	t ɛ ʁ
trek	t ʁ ɛ k
utopie	y t ɔ p i
ward	w a ʁ
wi	w i
éditorial	e d i t ɔ ʁ j a l
africa	a f ʁ i k a
bfmtv	b e ɛ f ɛ m t e v e
board	b o a ʁ
clarke	k l a ʁ k
dordogne	d ɔ ʁ d ɔ ɲ
elvis	ɛ l v i
empare	ɑ̃ p a ʁ
expiration	ɛ k s p i ʁ a s j ɔ̃
gameplay	ɡ a m p l ɛ
gestionnaires	ʒ ɛ s t j ɔ n ɛ ʁ
généralités	ʒ e n e ʁ a l i t e
inversion	ɛ̃ v ɛ ʁ s j ɔ̃
jesse	ʒ ɛ s
klaus	k l o
martinez	m a ʁ t i n e
naze	n a z
ores	ɔ ʁ
prometteur	p ʁ ɔ m ɛ t œ ʁ
quantique	k ɑ̃ t i k
refonte	ʁ ə f ɔ̃ t
rip	ʁ i p
réalisant	ʁ e a l i z ɑ̃
seth	s ɛ t
surréaliste	s y ʁ e a l i s t
tesla	t ɛ l a
télévisée	t e l e v i z e
unitaire	y n i t ɛ ʁ
utérus	y t e ʁ y
violeur	v j ɔ l œ ʁ
égide	e ʒ i d
anal	a n a l
anarchiste	a n a ʁ ʃ i s t
ashley	a ʃ l ɛ
assurez	a s y ʁ e
blabla	b l a b l a
bluetooth	b l y t u t
brice	b ʁ i s
collecter	k ɔ l ɛ k t e
doug	d u ɡ
décompte	d e k ɔ̃ t
exhaustive	ɛ ɡ z o s t i v
hamas	a m a
intrusion	ɛ̃ t ʁ y z j ɔ̃
ion	j ɔ̃
ir	i ʁ
javier	ʒ a v j e
jordanie	ʒ ɔ ʁ d a n i
judaïsme	ʒ y d a i s m
luna	l y n a
madonna	m a d ɔ n a
moléculaire	m ɔ l e k y l ɛ ʁ
montréalais	m ɔ̃ t ʁ e a l ɛ
mt	ɛ m t e
network	n ɛ t w ɔ ʁ k
ohio	o j o
raciale	ʁ a s j a l
requises	ʁ ə k i z
rpg	ɛ ʁ p e ʒ e
shaw	ʃ a w
shoah	ʃ o a
signifiant	s i ɲ i f j ɑ̃
significativement	s i ɲ i f i k a t i v m ɑ̃
strip	s t ʁ i p
thermiques	t ɛ ʁ m i k
trade	t ʁ a d
violée	v j ɔ l e
xl	k s ɛ l
abc	a b e s e
ace	a s
antisémites	ɑ̃ t i z e m i t
appuis	a p ɥ i
baltimore	b a l t i m ɔ ʁ
benzema	b ɛ̃ z m a
bradley	b ʁ a d l ɛ
burundi	b y ʁ œ̃ d i
continental	k ɔ̃ t i n ɑ̃ t a l
cost	k ɔ s t
covid	k ɔ v i d
crane	k ʁ a n
dassault	d a s o
désactiver	d e z a k t i v e
freinage	f ʁ ɛ n a ʒ
gm	ɡ e ɛ m
hal	a l
jugées	ʒ y ʒ e
kids	k i d
kings	k i ŋ
latino	l a t i n o
marvin	m a ʁ v ɛ̃
md	ɛ m d e
nissan	n i s ɑ̃
nokia	n ɔ k j a
orgasme	ɔ ʁ ɡ a s m
oz	o
reed	ʁ i d
spotify	s p ɔ t i f i
suggèrent	s y ɡ ʒ ɛ ʁ
viktor	v i k t ɔ ʁ
willy	w i l i
éditoriale	e d i t ɔ ʁ j a l
abrutis	a b ʁ y t i
af	a f
affluence	a f l y ɑ̃ s
ame	a m
aviv	a v i v
building	b ɥ i l d i ŋ
commémoration	k ɔ m e m ɔ ʁ a s j ɔ̃
coute	k u t
deep	d i p
dortmund	d ɔ ʁ m œ̃
dublin	d y b l ɛ̃
décideurs	d e s i d œ ʁ
détecté	d e t ɛ k t e
efforce	e f ɔ ʁ s
esther	ɛ s t e
evans	ə v ɑ̃
exclue	ɛ k s k l y
explore	ɛ k s p l ɔ ʁ
harrison	a ʁ i z ɔ̃
history	i s t ɔ ʁ i
investisseur	ɛ̃ v ɛ s t i s œ ʁ
irl	i ʁ l
lane	l a n
loir	l w a ʁ
luxembourgeois	l y k s ɑ̃ b u ʁ ʒ w a
maximal	m a k s i m a l
mentionnées	m ɑ̃ s j ɔ n e
palestinienne	p a l ɛ s t i n j ɛ n
plaza	p l a z a
préconise	p ʁ e k ɔ n i z
rebecca	ʁ ə b ɛ k a
rodriguez	ʁ ɔ d ʁ i ɡ e
vegan	v e ɡ ɑ̃
wade	w a d
étaler	e t a l e
algorithmes	a l ɡ ɔ ʁ i t m
atlético	a t l e t i k o
captain	k a p t ɛ̃
capteur	k a p t œ ʁ
channel	ʃ a n ɛ l
claudio	k l o d j o
cristiano	k ʁ i s t j a n o
démantèlement	d e m ɑ̃ t ɛ l m ɑ̃
foy	f w a
gallo	ɡ a l o
hanouna	a n u n a
incluent	ɛ̃ k l y
infirmerie	ɛ̃ f i ʁ m ʁ i
intolérance	ɛ̃ t ɔ l e ʁ ɑ̃ s
irlandaise	i ʁ l ɑ̃ d ɛ z
ji	ʒ i
katherine	k a t ʁ i n
kenny	k ɛ n i
lrem	l ʁ ɛ m
mason	m a z ɔ̃
mercenaires	m ɛ ʁ s ə n ɛ ʁ
pittsburgh	p i t s b œ ʁ ɡ
review	ʁ ə v j u
réalisatrice	ʁ e a l i z a t ʁ i s
sweet	s w i t
wells	w ɛ l
éoliennes	e ɔ l j ɛ n
achèvement	a ʃ ɛ v m ɑ̃
agro	a ɡ ʁ o
anarchie	a n a ʁ ʃ i
annexion	a n ɛ k s j ɔ̃
anton	ɑ̃ t ɔ̃
bernie	b ɛ ʁ n i
bites	b i t
curry	k y ʁ i
curtis	k y ʁ t i
descartes	d ɛ s k a ʁ t
dg	d e ʒ e
décrivent	d e k ʁ i v
energy	ɛ n ɛ ʁ ʒ i
enfoiré	ɑ̃ f w a ʁ e
enrique	ɑ̃ ʁ i k
gaga	ɡ a ɡ a
gomez	ɡ ɔ m e
humanisme	y m a n i s m
imprimante	ɛ̃ p ʁ i m ɑ̃ t
indre	ɛ̃ d ʁ
islamisme	i s l a m i s m
ivg	i v e ɡ e
juridictions	ʒ y ʁ i d i k s j ɔ̃
lorenzo	l ɔ ʁ ɑ̃ z o
memphis	m ɑ̃ f i
michigan	m i ʃ i ɡ ɑ̃
need	n i d
objectivité	ɔ b ʒ ɛ k t i v i t e
politico	p ɔ l i t i k o
pornographie	p ɔ ʁ n ɔ ɡ ʁ a f i
repêchage	ʁ ə p ɛ ʃ a ʒ
tuto	t y t o
ukrainienne	y k ʁ ɛ n j ɛ n
vétérans	v e t e ʁ ɑ̃
wallace	w a l a s
alberto	a l b ɛ ʁ t o
allégeance	a l e ʒ ɑ̃ s
aragon	a ʁ a ɡ ɔ̃
armistice	a ʁ m i s t i s
avérer	a v e ʁ e
blu	b l y
bourgmestre	b u ʁ ɡ m ɛ s t ʁ
calvados	k a l v a d o
combo	k ɔ̃ b o
detroit	d ə t ʁ w a
five	f i v
gun	ɡ œ̃
intel	ɛ̃ t ɛ l
intimidation	ɛ̃ t i m i d a s j ɔ̃
macro	m a k ʁ o
migratoire	m i ɡ ʁ a t w a ʁ
monétaires	m ɔ n e t ɛ ʁ
muller	m y l e
nordique	n ɔ ʁ d i k
pk	p e k a
please	p l i z
polluants	p ɔ l ɥ ɑ̃
possiblement	p ɔ s i b l ə m ɑ̃
posts	p ɔ s t
prédateur	p ʁ e d a t œ ʁ
quil	k i l
ribéry	ʁ i b e ʁ i
sociologique	s ɔ s j ɔ l ɔ ʒ i k
sérum	s e ʁ ɔ m
taxation	t a k s a s j ɔ̃
telecom	t ɛ l k ɔ m
temporel	t ɑ̃ p ɔ ʁ ɛ l
today	t ɔ d ɛ
woody	w u d i
érigé	e ʁ i ʒ e
abdel	a b d ɛ l
castle	k a s t l
centraux	s ɑ̃ t ʁ o
cosmique	k ɔ s m i k
denver	d ɑ̃ v e
différend	d i f e ʁ ɑ̃
entraine	ɑ̃ t ʁ ɛ n
