اس	ə s
ذریعے	z ə ɾ iː eː
رہیں	ɾ ə ɦ ẽː
سپریم	s ə p ɾ iː m
ملا	m ə l ɑː
نبی	n ə b iː
پورے	p uː ɾ eː
چاہئے	t͡ʃ ɑː ɦ eː
کیس	k ɛː s
آتے	ɑː t̪ eː
جیسا	d͡ʒ iː s ɑː
شمار	ʃ ə m ɑː ɾ
پہنچ	p ə ɦ ə n t͡ʃ
آخر	ɑː x ə ɾ
اقبال	ɪ q b ɑː l
تعمیر	t̪ ə m iː ɾ
چاہتا	t͡ʃ ɑː ɦ ə t̪ ɑː
عوامی	ə ʋ ɑː m iː
نمبر	n ə m b ə ɾ
کمیشن	k ə m eː ʃ ə n
جلد	d͡ʒ ə l d̪
حد	ɦ ə d̪
حیثیت	ɦ ɛː s ɪ j ə t̪
سکے	s ə k eː
میچ	m iː t͡ʃ
آتی	ɑː t̪ iː
تاکہ	t̪ ɑː k ɑ
بڑھ	b ə ɽʱ
تمہارے	t̪ ə m ɦ ɑː ɾ eː
ظاہر	z ɑː ɦ ɪ ɾ
ڈال	ɖ ɑː l
ڈالر	ɖ ɑː l ə ɾ
کانفرنس	k ɑː n f ə ɾ ə n s
کمپنی	k ə m p ə n iː
زخمی	z ə x m iː
ملے	m ə l eː
پڑے	p ə ɽ eː
چلا	t͡ʃ ə l ɑː
گئیں	ɡ ə ẽː
اتنی	ə t̪ n iː
بنی	b ə n iː
درج	d̪ ə ɾ ə d͡ʒ
لا	l ɑː
باوجود	b ɑː ʋ d͡ʒ uː d̪
تبدیلی	t̪ ə b d̪ iː l iː
خطاب	x ə t̪ ɑː b
رہنے	ɾ ə ɦ n eː
نتیجے	n ə t̪ iː d͡ʒ eː
تلاش	t̪ ə l ɑː ʃ
ذمہ	z ə m ɑ
چل	t͡ʃ ə l
رہتے	ɾ ə ɦ t̪ eː
لگ	l ə ɡ
چلے	t͡ʃ ə l eː
کردہ	k ə ɾ d̪ ɑ
رضی	ɾ ə z iː
نکل	n ə k ə l
باپ	b ɑː p
حوالے	ɦ ə ʋ ɑː l eː
سابق	s ɑː b ɪ q
صوبائی	s uː b ɑː iː
کہنے	k ə ɦ n eː
ہوگئی	ɦ oː ɡ ə iː
الدین	ə l d̪ iː n
حل	ɦ ə l
رہتا	ɾ ə ɦ t̪ ɑː
کئے	k ə eː
اٹھا	ə ʈʰ ɑː
رکھے	ɾ ə kʰ eː
محفوظ	m ə ɦ f uː z
حکمران	ɦ ə k m ə ɾ ɑː n
رکھی	ɾ ə kʰ iː
لائن	l ɑː ɪ n
کردی	k ə ɾ d̪ iː
ہسپتال	ɦ ə s p ə t̪ ɑː l
آئیں	ɑː ẽː
آپریشن	ɑː p ɾ eː ʃ ə n
بننے	b ə n n eː
بھٹو	bʱ ə ʈ oː
محمود	m ə ɦ m uː d̪
من	m ə n
چھوٹے	t͡ʃʰ oː ʈ eː
آصف	ɑː s ə f
سماجی	s ə m ɑː d͡ʒ iː
لگتا	l ə ɡ t̪ ɑː
لگی	l ə ɡ iː
مشتمل	m ʊ ʃ t̪ ə m ə l
جنہوں	d͡ʒ ə n ɦ õː
شدید	ʃ ə d̪ iː d̪
ملنے	m ə l n eː
پارلیمنٹ	p ɑː ɾ l iː m ə n ʈ
کھانے	kʰ ɑː n eː
بتایا	b ə t̪ ɑː j ɑː
جانتے	d͡ʒ ɑː n t̪ eː
علامہ	ɪ l ɑː m ɑ
مار	m ɑː ɾ
مقرر	m ə q ɾ ə ɾ
کررہے	k ə ɾ ɾ ə ɦ eː
گرد	ɡ ə ɾ d̪
شریک	ʃ ə ɾ iː k
شمالی	ʃ ə m ɑː l iː
نیشنل	n eː ʃ n ə l
نیچے	n iː t͡ʃ eː
چونکہ	t͡ʃ uː n k ɑ
کرپشن	k ə ɾ p ə ʃ ə n
کہتا	k ə ɦ t̪ ɑː
آل	ɑː l
بندی	b ə n d̪ iː
جے	d͡ʒ eː
خیبر	x ɛː b ə ɾ
داری	d̪ ɑː ɾ iː
سوشل	s oː ʃ ə l
مال	m ɑː l
متاثر	m ʊ t̪ ɑː s ɪ ɾ
اپ	ə p
سلسلے	s ə l s ə l eː
شاہد	ʃ ɑː ɦ ɪ d̪
شک	ʃ ə k
فرق	f ə ɾ q
لیئے	l ɛː eː
پس	p ə s
بطور	b ə t̪ uː ɾ
بل	b ə l
بیٹھے	b eː ʈʰ eː
تعلیمی	t̪ ə l iː m iː
زرداری	z ə ɾ d̪ ɑː ɾ iː
وفاقی	ʋ ə f ɑː q iː
ادھر	ə d̪ʱ ə ɾ
ایچ	iː t͡ʃ
ریکارڈ	ɾ eː k ɑː ɾ ɖ
عنہ	ə n ɑ
رکھنا	ɾ ə kʰ n ɑː
سائٹ	s ɑː ɪ ʈ
ٹھیک	ʈʰ eː k
کرنی	k ə ɾ n iː
کروں	k ə ɾ õː
ہائی	ɦ ɑː iː
ہزاروں	ɦ ə z ɑː ɾ õː
الحق	ə l ɦ ə q
رکھیں	ɾ ə kʰ ẽː
عبد	ə b d̪
فائرنگ	f ɑː ɪ ɾ ə ŋ ɡ
لینڈ	l ɛː n ɖ
لیڈر	l eː ɖ ə ɾ
پریس	p ə ɾ iː s
ارکان	ə ɾ k ɑː n
بیٹھ	b eː ʈʰ
شخصیت	ʃ ə x s ɪ j ə t̪
فیصلے	f ɛː s l eː
پایا	p ɑː j ɑː
پرویز	p ə ɾ ʋ eː z
پوچھا	p oː t͡ʃʰ ɑː
پڑھ	p ə ɽʱ
کاری	k ɑː ɾ iː
یونین	j uː n iː n
بدل	b ə d̪ ə l
برائے	b ə ɾ ɑː eː
تقریب	t̪ ə q ɾ iː b
حصے	ɦ ə s eː
سنی	s ə n iː
لحاظ	l ə ɦ ɑː z
پا	p ɑː
احتساب	ɪ ɦ t̪ ɪ s ɑː b
الرحمن	ə l ɾ ə ɦ m ə n
اکبر	ə k b ə ɾ
روڈ	ɾ oː ɖ
سربراہ	s ə ɾ b ə ɾ ɑː ɦ
عرصہ	ə ɾ s ɑ
مرزا	m ə ɾ z ɑː
سنا	s ə n ɑː
سوا	s ə ʋ ɑː
طالب	t̪ ɑː l ɪ b
معاشی	m ʊ ɑː ʃ iː
ویڈیو	ʋ eː ɖ ɪ j oː
چھوٹی	t͡ʃʰ oː ʈ iː
کانگریس	k ɑː ŋ ɡ ɾ iː s
افسوس	ə f s uː s
دوسروں	d̪ oː s ə ɾ õː
سری	s ə ɾ iː
فوری	f uː ɾ iː
لگانے	l ə ɡ ɑː n eː
مضبوط	m ə z b uː t̪
مین	m iː n
ورنہ	ʋ ə ɾ n ɑ
پائی	p ɑː iː
پڑتا	p ə ɽ t̪ ɑː
ہوجائے	ɦ oː d͡ʒ ɑː eː
جارہا	d͡ʒ ɑː ɾ ɦ ɑː
حلقے	ɦ ə l q eː
سعید	s ə iː d̪
عملی	ə m l iː
پہنچا	p ə ɦ ə n t͡ʃ ɑː
ذاتی	z ɑː t̪ iː
شرح	ʃ ə ɾ ɦ
صحابہ	s ə ɦ ɑː b ɑ
عرصے	ə ɾ s eː
نثار	n ɪ s ɑː ɾ
پائے	p ɑː eː
کیں	k ẽː
الزامات	ɪ l z ɑː m ɑː t̪
الہی	ə l ɦ iː
بد	b ə d̪
بنائی	b ə n ɑː iː
بنائے	b ə n ɑː eː
بک	b ə k
تمہاری	t̪ ə m ɦ ɑː ɾ iː
شہروں	ʃ ə ɦ ɾ õː
مجموعی	m ə d͡ʒ m uː iː
نمایاں	n ə m ɑː j ɑ̃ː
کھلاڑی	kʰ ə l ɑː ɽ iː
گزر	ɡ ʊ z ə ɾ
اسکے	ə s k eː
بولا	b uː l ɑː
جانتا	d͡ʒ ɑː n t̪ ɑː
راست	ɾ ɑː s t̪
سردار	s ə ɾ d̪ ɑː ɾ
لگایا	l ə ɡ ɑː j ɑː
پڑ	p ə ɽ
برابر	b ə ɾ ɑː b ə ɾ
عثمان	ɪ s m ɑː n
فرما	f ə ɾ m ɑː
لکھ	l ə kʰ
مالی	m ɑː l iː
ملتی	m ə l t̪ iː
پابندی	p ɑː b ə n d̪ iː
افواج	ə f ʋ ɑː d͡ʒ
اکرم	ə k ɾ ə m
برقرار	b ə ɾ q ə ɾ ɑː ɾ
جارہی	d͡ʒ ɑː ɾ ɦ iː
رحمت	ɾ ə ɦ m ə t̪
شیعہ	ʃ iː ɑ
متعلقہ	m ʊ t̪ ə ə l l ə q ɑ
وکیل	ʋ ə k iː l
یورپی	j uː ɾ p iː
حامل	ɦ ɑː m ɪ l
در	d̪ ə ɾ
ریاستی	ɾ ɪ j ɑː s t̪ iː
سالوں	s ɑː l õː
فیس	f iː s
نسبت	n ə s b ə t̪
واپسی	ʋ ɑː p s iː
ٹیکنالوجی	ʈ eː k n ɑː l oː d͡ʒ iː
گر	ɡ ə ɾ
اپیل	ə p iː l
باب	b ɑː b
بھیجا	bʱ eː d͡ʒ ɑː
دیکھیں	d̪ eː kʰ ẽː
رو	ɾ oː
رکھتی	ɾ ə kʰ t̪ iː
سکیں	s ə k ẽː
لکھے	l ə kʰ eː
ویسے	ʋ ɛː s eː
ٹیکس	ʈ eː k ə s
پہنچے	p ə ɦ ə n t͡ʃ eː
کرلیا	k ə ɾ l ɪ j ɑː
آن	ɑː n
بابا	b ɑː b ɑː
بتا	b ə t̪ t̪ ɑː
بورڈ	b uː ɾ ɖ
دیکھے	d̪ eː kʰ eː
سلمان	s ə l m ɑː n
طلبہ	t̪ ə l b ɑ
فروغ	f ə ɾ uː ɣ
لاکھوں	l ɑː kʰ õː
کارکنوں	k ɑː ɾ k ə n õː
جنہیں	d͡ʒ ə n ɦ ẽː
حکومتی	ɦ ə k uː m ə t̪ iː
ذرا	z ə ɾ ɑː
سالہ	s ɑː l ɑ
فاروق	f ɑː ɾ uː q
لائے	l ɑː eː
لگائے	l ə ɡ ɑː eː
میٹر	m eː ʈ ə ɾ
کربلا	k ə ɾ b ə l ɑː
گاہ	ɡ ɑː ɦ
امت	ə m t̪
بخاری	b ə x ɑː ɾ iː
حاضر	ɦ ɑː z ɪ ɾ
وابستہ	ʋ ɑː b ɪ s t̪ ɑ
کتابوں	k ə t̪ ɑː b õː
کن	k ə n
کھا	kʰ ɑː
گو	ɡ oː
اسکی	ə s k iː
انڈین	ə n ɖ iː n
بالا	b ɑː l ɑː
براہ	b ə ɾ ɑː ɦ
حقیقی	ɦ ə q iː q iː
راجہ	ɾ ɑː d͡ʒ ɑ
روایات	ɾ ə ʋ ɑː j ɑː t̪
عامر	ɑː m ə ɾ
فائنل	f ɑː ɪ n ə l
فرماتے	f ə ɾ m ɑː t̪ eː
فروخت	f ə ɾ uː x t̪
ماڈل	m ɑː ɖ ɪ l
پیداوار	p ɛː d̪ ɑː ʋ ɑː ɾ
چاہتی	t͡ʃ ɑː ɦ ə t̪ iː
بھاری	bʱ ɑː ɾ iː
بھرپور	bʱ ə ɾ p uː ɾ
خانے	x ɑː n eː
سسٹم	s ə s ʈ ə m
سونے	s uː n eː
سکول	s ə k uː l
طریقے	t̪ ə ɾ iː q eː
مواد	m ə ʋ ɑː d̪
مہینے	m ə ɦ iː n eː
پالیسی	p ɑː l iː s iː
انکے	ə ŋ k eː
رقم	ɾ ə q m
پڑی	p ə ɽ iː
ڈالا	ɖ ɑː l ɑː
کتنی	k ə t̪ n iː
انکی	ə ŋ k iː
بہادر	b ə ɦ ɑː d̪ ə ɾ
تیزی	t̪ eː z iː
جاں	d͡ʒ ɑ̃ː
حکمرانوں	ɦ ə k m ə ɾ ɑː n õː
خبریں	x ə b ɾ ẽː
دریافت	d̪ ə ɾ j ɑː f ə t̪
دھماکے	d̪ʱ ə m ɑː k eː
سازی	s ɑː z iː
شہریوں	ʃ ə ɦ ɾ ɪ j õː
صحافیوں	s ə ɦ ɑː f ɪ j õː
عباسی	ɪ b ɑː s iː
پڑھیں	p ə ɽʱ ẽː
آپس	ɑː p ə s
اعزاز	ɪ z ɑː z
بھیج	bʱ eː d͡ʒ
تحقیقات	t̪ ə ɦ q iː q ɑː t̪
تیسری	t̪ ɛː s ɾ iː
حرکت	ɦ ə ɾ k ə t̪
خالد	x ɑː l ɪ d̪
دیوار	d̪ eː ʋ ɑː ɾ
صادق	s ɑː d̪ ɪ q
نیٹ	n eː ʈ
کتنے	k ə t̪ n eː
گل	ɡ ə l
اثرات	ɪ s ɾ ɑː t̪
اختتام	ɪ x t̪ ɪ t̪ ɑː m
بولنے	b uː l n eː
بیرونی	b ɛː ɾ uː n iː
جاؤ	d͡ʒ ɑː uː
صدیقی	s ə d̪ iː q iː
لانے	l ɑː n eː
لکھتے	l ə kʰ t̪ eː
لکھی	l ə kʰ iː
مارے	m ɑː ɾ eː
نشانہ	n ɪ ʃ ɑː n ɑ
اٹھانے	ə ʈʰ ɑː n eː
حیدر	ɦ ɛː d̪ ə ɾ
دئیے	d̪ ə ɪ j eː
زبردست	z ə b ə ɾ d̪ ɪ s t̪
سننے	s ə n n eː
مر	m ə ɾ
مولوی	m oː l ʋ iː
وسطی	ʋ ə s t̪ iː
پیمانے	p ɛː m ɑː n eː
گزار	ɡ ʊ z ɑː ɾ
ہونی	ɦ uː n iː
احسن	ə ɦ s ə n
انہی	ə n ɦ iː
بحق	b ə ɦ q
بنائیں	b ə n ɑː ẽː
جلدی	d͡ʒ ə l d̪ iː
حصول	ɦ ə s uː l
حلقوں	ɦ ə l q õː
خاتمے	x ɑː t̪ m eː
مارکیٹ	m ɑː ɾ k eː ʈ
پڑھنے	p ə ɽʱ n eː
پکڑ	p ə k ə ɽ
کھلاڑیوں	kʰ ə l ɑː ɽ ɪ j õː
urdu	ʊ ɾ d̪ uː
آئندہ	ɑː ɪ n d̪ ɑ
آگیا	ɑː ɡ j ɑː
اقدامات	ɪ q d̪ ɑː m ɑː t̪
بھول	bʱ uː l
تیرے	t̪ ɛː ɾ eː
دوں	d̪ õː
روایتی	ɾ ə ʋ ɑː j ə t̪ iː
شخصیات	ʃ ə x s ɪ j ɑː t̪
مبینہ	m ə b iː n ɑ
مرتب	m ʊ ɾ t̪ ə b
منصوبے	m ə n s uː b eː
پیپلزپارٹی	p ɛː p l ɪ z p ɑː ɾ ʈ iː
چلتا	t͡ʃ ə l t̪ ɑː
چلنے	t͡ʃ ə l n eː
کتابیں	k ə t̪ ɑː b ẽː
کرام	k ə ɾ ɑː m
کھل	kʰ ə l
بر	b ə ɾ
تے	t̪ eː
حزب	ɦ ə z b
عائشہ	ɑː ɪ ʃ ɑ
فیض	f ɛː z
قدرتی	q ə d̪ ɾ ə t̪ iː
لڑکیوں	l ə ɽ k ɪ j õː
لیکر	l eː k ə ɾ
اساتذہ	ɪ s ɑː t̪ ɪ z ɑ
حدود	ɦ ə d̪ uː d̪
سربراہی	s ə ɾ b ə ɾ ɑː ɦ iː
سلیم	s ə l iː m
شپ	ʃ ə p
وہیں	ʋ ə ɦ ẽː
ڈالنے	ɖ ɑː l n eː
ڈپٹی	ɖ ə p ʈ iː
کشمیری	k ə ʃ m iː ɾ iː
اٹھ	ə ʈʰ
بیشتر	b eː ʃ t̪ ə ɾ
جامع	d͡ʒ ɑː m eː
جتنی	d͡ʒ ə t̪ n iː
جذبات	d͡ʒ ə z b ɑː t̪
دستیاب	d̪ ə s t̪ ɪ j ɑː b
رحم	ɾ ə ɦ m
شور	ʃ uː ɾ
عدلیہ	ə d̪ l ɪ j ɑ
قریشی	q ə ɾ iː ʃ iː
ورک	ʋ ə ɾ ə k
وصول	ʋ ə s uː l
ڈے	ɖ eː
کیساتھ	k ɛː s ɑː t̪ʰ
ہمراہ	ɦ ə m ɾ ɑː ɦ
آکر	ɑː k ə ɾ
بالی	b ɑː l iː
جات	d͡ʒ ɑː t̪
حکمت	ɦ ə k m ə t̪
خرید	x ə ɾ iː d̪
دیکھو	d̪ eː kʰ oː
قریبی	q ə ɾ iː b iː
لکھنے	l ə kʰ n eː
ملین	m ə l iː n
ون	ʋ ə n
پاکستانیوں	p ɑː k ɪ s t̪ ɑː n ɪ j õː
پڑھا	p ə ɽʱ ɑː
چاہیئے	t͡ʃ ɑː ɦ ɪ j eː
کرانے	k ə ɾ ɑː n eː
کررہی	k ə ɾ ɾ ə ɦ iː
کھلے	kʰ ə l eː
کہے	k ə ɦ eː
آفس	ɑː f ə s
ایجنسی	iː d͡ʒ ə n s iː
ایشن	iː ʃ ə n
با	b ɑː
بول	b uː l
بچ	b ə t͡ʃ
تباہی	t̪ ə b ɑː ɦ iː
جنس	d͡ʒ ə n s
ری	ɾ iː
مداخلت	m ʊ d̪ ɑː x ɪ l ə t̪
ممبر	m ʊ m b ə ɾ
نجات	n ə d͡ʒ ɑː t̪
پن	p ə n
کارڈ	k ɑː ɾ ɖ
کرلی	k ə ɾ l iː
of	ɔ f
آیات	ɑː j ɑː t̪
باری	b ɑː ɾ iː
حصوں	ɦ ə s õː
سول	s uː l
سٹی	s ə ʈ iː
سیاہ	s ə j j ɑː ɦ
فلموں	f ə l ə m õː
لایا	l ɑː j ɑː
محبوب	m ə ɦ b uː b
مسعود	m ə s uː d̪
کارکن	k ɑː ɾ k ə n
کرایا	k ə ɾ ɑː j ɑː
ہورہی	ɦ uː ɾ ɦ iː
برادری	b ə ɾ ɑː d̪ ɾ iː
بٹ	b ə ʈ
بھلا	bʱ ə l ɑː
بیٹھا	b eː ʈʰ ɑː
دیکھی	d̪ eː kʰ iː
صدارت	s ə d̪ ɑː ɾ ə t̪
عبداللہ	ɪ b d̪ ɑː l l ɑ
عسکری	ə s k ə ɾ iː
فرمائے	f ə ɾ m ɑː eː
مجید	m ə d͡ʒ iː d̪
نافذ	n ɑː f ɪ z
ووڈ	ʋ oː ɖ
کافر	k ɑː f ə ɾ
ہورہا	ɦ uː ɾ ɦ ɑː
افسران	ə f s ə ɾ ɑː n
روکنے	ɾ oː k n eː
صدارتی	s ə d̪ ɑː ɾ ə t̪ iː
عظمی	ə z m iː
قادری	q ɑː d̪ ɾ iː
مابین	m ɑː b iː n
مضامین	m ʊ z ɑː m iː n
ملتے	m ə l t̪ eː
میڈیکل	m eː ɖ eː k ə l
پہلو	p ə ɦ l oː
کاٹ	k ɑː ʈ
کردیں	k ə ɾ d̪ ẽː
and	ɑː n d̪
ابی	ə b iː
ایسوسی	iː s uː s iː
تیری	t̪ ɛː ɾ iː
سوچا	s uː t͡ʃ ɑː
صدیق	s ə d̪ iː q
مرنے	m ə ɾ n eː
نعرے	n ə ɾ eː
وزن	ʋ ə z ə n
چلتے	t͡ʃ ə l t̪ eː
کش	k ə ʃ
کہتی	k ə ɦ t̪ iː
یزید	j ə z iː d̪
اہتمام	ɪ ɦ t̪ ɪ m ɑː m
بناتے	b ə n ɑː t̪ eː
ترقیاتی	t̪ ə ɾ q ɪ j ɑː t̪ iː
جانوروں	d͡ʒ ɑː n ʋ ə ɾ õː
جانی	d͡ʒ ɑː n iː
خاں	x ɑ̃ː
دان	d̪ ɑː n
رانا	ɾ ɑː n ɑː
رفیق	ɾ ə f iː q
غازی	ɣ ɑː z iː
فرائض	f ə ɾ ɑː ɪ z
لوڈ	l oː ɖ
لگائی	l ə ɡ ɑː iː
ٹرمپ	ʈ ə ɾ m ə p
چلانے	t͡ʃ ə l ɑː n eː
کثیر	k ə s iː ɾ
کرائے	k ə ɾ ɑː eː
یقینی	j ə q iː n iː
ایوارڈ	iː ʋ ɑː ɾ ɖ
جسمانی	d͡ʒ ə s m ɑː n iː
طارق	t̪ ɑː ɾ ɪ q
فرار	f ə ɾ ɑː ɾ
ملت	m ə l ə t̪
ویں	ʋ ẽː
ڈرامے	ɖ ə ɾ ɑː m eː
کمار	k ə m ɑː ɾ
کیفیت	k ɛː f ɪ j ə t̪
اہلکار	ə ɦ l ɪ k ɑː ɾ
تیسرے	t̪ ɛː s ɾ eː
جارہے	d͡ʒ ɑː ɾ ɦ eː
حاجی	ɦ ɑː d͡ʒ iː
ذہنی	z ə ɦ n iː
شاندار	ʃ ɑː n d̪ ɑː ɾ
علاقائی	ɪ l ɑː q ɑː iː
فرد	f ə ɾ d̪
فوجیوں	f oː d͡ʒ ɪ j õː
مان	m ɑː n
موٹر	m oː ʈ ə ɾ
ناموں	n ɑː m õː
پانے	p ɑː n eː
چترال	t͡ʃ ɪ t̪ ɾ ɑː l
کاروائی	k ɑː ɾ ʋ ɑː iː
کرا	k ə ɾ ɑː
کشمیریوں	k ə ʃ m iː ɾ ɪ j õː
گن	ɡ ə n
ازاں	ə z ɑ̃ː
بنتا	b ə n t̪ ɑː
بیک	b eː k
دلیل	d̪ ə l iː l
غربت	ɣ ə ɾ b ə t̪
قمر	q ə m ə ɾ
لڑکے	l ə ɽ k eː
لگتی	l ə ɡ t̪ iː
مارا	m ɑː ɾ ɑː
مخالفین	m ʊ x ɑː l ɪ f iː n
ناکامی	n ɑː k ɑː m iː
نبوت	n ə b uː t̪
نما	n ə m ɑː
نمائندوں	n ə m ɑː ɪ n d̪ õː
نیو	n ɪ j oː
پار	p ɑː ɾ
ڈر	ɖ ə ɾ
ڈگری	ɖ ə ɡ ɾ iː
کروا	k ə ɾ ʋ ɑː
کوششوں	k oː ʃ ʃ õː
کھلی	kʰ ə l iː
احتجاجی	ɪ ɦ t̪ ɪ d͡ʒ ɑː d͡ʒ iː
اسلامیہ	ɪ s l ɑː m ɪ j ɑ
اسٹیٹ	ə s ʈ eː ʈ
بائیں	b ɑː ẽː
بلاول	b ə l ɑː ʋ ə l
تینوں	t̪ ɛː n õː
دا	d̪ ɑː
درجے	d̪ ə ɾ d͡ʒ eː
مرحوم	m ə ɾ ɦ uː m
پولنگ	p oː l ə ŋ ɡ
پہنچنے	p ə ɦ ə n t͡ʃ n eː
کروانے	k ə ɾ ʋ ɑː n eː
کلاس	k ə l ɑː s
کھلا	kʰ ə l ɑː
گواہ	ɡ ʊ ʋ ɑː ɦ
اختیارات	ɪ x t̪ ɪ j ɑː ɾ ɑː t̪
بلیک	b ə l iː k
بھری	bʱ ə ɾ iː
تبلیغ	t̪ ə b l iː ɣ
ترمیم	t̪ ə ɾ m iː m
جمال	d͡ʒ ə m ɑː l
خصوصیات	x ə s uː s ɪ j ɑː t̪
دورے	d̪ uː ɾ eː
رجوع	ɾ ə d͡ʒ uː
رسائی	ɾ ə s ɑː iː
سرگرمیوں	s ə ɾ ɡ ə ɾ m ɪ j õː
سپر	s ə p ə ɾ
عارف	ɑː ɾ ɪ f
فنڈ	f ə n ɖ
منڈی	m ə n ɖ iː
مہدی	m ə ɦ d̪ iː
وائرس	ʋ ɑː ɪ ɾ ɪ s
پارک	p ɑː ɾ ə k
پڑتی	p ə ɽ t̪ iː
ہٹ	ɦ ə ʈ
آگئی	ɑː ɡ ə iː
اشیاء	ɪ ʃ j ɑː
اصلاحات	ɪ s l ɑː ɦ ɑː t̪
اضلاع	ɪ z l ɑː
اعداد	ɪ d̪ ɑː d̪
ام	ə m
امان	ə m ɑː n
رضوی	ɾ ə z ʋ iː
عقیدہ	ə q iː d̪ ɑ
غصہ	ɣ ə s s ɑ
فرمائی	f ə ɾ m ɑː iː
فلسطینی	f ə l ə s t̪ iː n iː
پڑھے	p ə ɽʱ eː
چاہیں	t͡ʃ ɑː ɦ ẽː
کاموں	k ɑː m õː
آرہی	ɑː ɾ ɦ iː
اشعار	ɪ ʃ ɑː ɾ
انور	ə n ʋ ə ɾ
اٹھایا	ə ʈʰ ɑː j ɑː
بڑھتی	b ə ɽʱ t̪ iː
بیرون	b ɛː ɾ uː n
ثاقب	s ɑː q ɪ b
دائیں	d̪ ɑː ẽː
رہائشی	ɾ ə ɦ ɑː ɪ ʃ iː
لمبی	l ə m b iː
نفس	n ə f s
نمائش	n ə m ɑː ɪ ʃ
پینے	p ɛː n eː
ڈیزائن	ɖ eː z ɑː ɪ n
ڈیٹا	ɖ eː ʈ ɑː
کہی	k ə ɦ iː
