পর	p ɔ ɾ
বধ	b ɔ d̪ʱ
big	b i ɡ
উই	u̯ i
কন	k ɔ n
ধরব	d̪ʱ ɔ ɾ o b
ফরম	f ɔ ɾ o m
রন	r ɔ n
ইভ	i bʱ
ঢল	ɖʱ ɔ l
আচরন	a t͡ʃ ɾ o n
এমনও	e m n o
করছ	k ɔ ɾ o t͡ʃʰ
জনপদ	d͡ʒ ɔ n p ɔ d̪
বহর	b ɔ h o ɾ
আহরণ	a h ɾ o n
উইলসন	u̯ i l ʃ ɔ n
গমন	ɡ ɔ m o n
গলফ	ɡ ɔ l o f
শক	ʃ ɔ k
সজল	ʃ ɔ d͡ʒ o l
school	ʃ u l
ইল	i l
এট	e ʈ
উইক	u̯ i k
এইড	e i̯ ɖ
ডক	ɖ ɔ k
ধরল	d̪ʱ ɔ ɾ o l
পলক	p ɔ l o k
রকমই	r ɔ k m o i̯
সবল	ʃ ɔ b o l
একইরকম	e k i ɾ k ɔ m
last	l a s t
sorry	s o r i
আনব	a n o b
জট	d͡ʒ ɔ ʈ
পশম	p ɔ ʃ o m
black	b l a k
ঐসব	o i̯ ʃ ɔ b
খজনক	kʰ ɔ d͡ʒ n ɔ k
ছক	t͡ʃʰ ɔ k
মঠ	m ɔ ʈʰ
bd	b e d e
আমন	a m o n
দলগত	d̪ ɔ l ɡ ɔ t̪ o
মদন	m ɔ d̪ o n
game	ɡ e j m
le	l e
miss	m i s
oh	o
আবরণ	a b ɾ o n
এরকমই	e ɾ k o m i
করন	k ɔ ɾ o n
net	n e t
একবছর	e k b ɔ t͡ʃʰ ɔ ɾ
যশ	d͡ʒ ɔ ʃ
top	t ɔ p
গন	ɡ ɔ n
মর	m ɔ ɾ
লবন	l ɔ b o n
ma	m a
এরপরও	e ɾ p ɔ ɾ o
kiss	k i s
ইশ	i ʃ
ওক	o k
ডগ	ɖ ɔ ɡ
back	b a k
class	k l a s
family	f a m i l i
fuck	f u k
ইউএনও	i u̯ e n o
এসকল	e s k ɔ l
শপ	ʃ ɔ p
হরণ	h ɔ ɾ o n
ইউজ	i u̯ d͡ʒ
কতই	k ɔ t̪ o i̯
চলত	t͡ʃ ɔ l o t̪
জমজ	d͡ʒ ɔ m o d͡ʒ
من	m a n
আপস	a p o ʃ
ইউর	i u̯ ɾ
আশ	a ʃ
ধস	d̪ʱ ɔ ʃ
পণ	p ɔ n
মঈন	m o i̯ n
data	d a t a
watch	w a t͡ʃ
ফরয	f ɔ ɾ o d͡ʒ
আইনত	a i̯ n ɔ t̪
আত	a t̪
এবছর	e b t͡ʃʰ ɔ ɾ
নল	n ɔ l
পটল	p ɔ ʈ o l
মদদ	m ɔ d̪ o d̪
রহম	r ɔ h o m
click	k l i k
se	s e
চলন	t͡ʃ ɔ l o n
ali	a l i
لا	l a
উইন	u̯ i n
একশত	e k ʃ ɔ t̪
আও	a o̯
আপদ	a p ɔ d̪
ইলম	i l o m
এসএ	e ʃ e
বলছ	b ɔ l o t͡ʃʰ
হরর	h ɔ ɾ o ɾ
das	d a s
dhaka	d a k a
আইএমএফ	a i̯ e m e f
ইউএসএ	i u̯ e ʃ e
এইট	e i̯ ʈ
ওঠ	o ʈʰ
কবল	k ɔ b o l
বলবৎ	b ɔ l b ɔ t̪
এরপরই	e ɾ p o ɾ o i̯
বপন	b ɔ p o n
arabic	a ɾ a b i k
অলআউট	ɔ l a u̯ ʈ
ফলক	f ɔ l o k
book	b u k
die	d i
yes	j e s
এমএনএ	e m e n e
ঘটক	ɡʱ ɔ ʈ ɔ k
তল	t̪ ɔ l
হপ	h ɔ p
es	e s
pm	p e ɛ m
singh	s i ŋ
আইডল	a i̯ ɖ ɔ l
এফএম	e f e m
কটন	k ɔ ʈ o n
ডস	ɖ ɔ ʃ
gold	ɡ o l d
উইশ	u̯ i ʃ
ওন	o n
জলজ	d͡ʒ ɔ l o d͡ʒ
les	l e s
let	l e t
মকর	m ɔ k o ɾ
মরন	m ɔ ɾ o n
son	s o n
পট	p ɔ ʈ
সফট	ʃ ɔ f ʈ
los	l o s
করস	k ɔ ɾ o ʃ
চলল	t͡ʃ ɔ l o l
পরব	p ɔ ɾ o b
ফন	f ɔ n
হর	h ɔ ɾ
sea	s e a
ya	j a
অতপর	ɔ t̪ o p ɔ ɾ
উড	u ɖ
উপশম	u p ɔ ʃ o m
ফটক	f ɔ ʈ ɔ k
bye	b a j e
sweet	s w i t
পরশ	p ɔ ɾ o ʃ
বরন	b ɔ ɾ o n
এসএম	e ʃ e m
ভন	bʱ ɔ n
apps	a p s
দলও	d̪ ɔ l o
পরখ	p ɔ ɾ o kʰ
রগ	r ɔ ɡ
লট	l ɔ ʈ
صلى	sˤ a l a
ইউএই	i u̯ e i̯
খল	kʰ ɔ l
গণভবন	ɡ ɔ n bʱ ɔ b o n
সমর	ʃ ɔ m o ɾ
গজব	ɡ ɔ d͡ʒ o b
থর	t̪ʰ ɔ ɾ
দমকল	d̪ ɔ m k ɔ l
পবন	p ɔ b o n
বচন	b ɔ t͡ʃ o n
da	d a
di	d i
na	n a
pic	p i k
cup	k u p
আজমল	a d͡ʒ m ɔ l
ইউএন	i u̯ e n
সহমত	ʃ ɔ h m ɔ t̪
done	d o n e
feel	f i l
pro	p ɾ o
town	t a u̯ n
অমল	ɔ m o l
হইত	h o i̯ t̪
tell	t e l
অতল	ɔ t̪ o l
আদল	a d̪ o l
গল	ɡ ɔ l
ami	a m i
আনলক	a n l ɔ k
উঠব	u ʈʰ ɔ b
ধকল	d̪ʱ ɔ k o l
ac	a k
قد	q a d
আনল	a n o l
জশ	d͡ʒ ɔ ʃ
পচন	p ɔ t͡ʃ o n
যব	d͡ʒ ɔ b
king	k i ŋ
আমরণ	a m ɾ o n
উম	u m
এপ	e p
বইও	b o i̯ o
li	l i
mi	m i
sun	s u n
ইউআরএল	i u̯ a ɾ e l
books	b u k s
জবস	d͡ʒ ɔ b o ʃ
alone	a l o n e
ask	a s k
bro	b ɾ o
ইটস	i ʈ o ʃ
she	ʃ e
ta	t a
ছল	t͡ʃʰ ɔ l
টর	ʈ ɔ ɾ
du	d u
usd	u s d e
ওপরই	o p ɾ o i̯
abu	a b u
club	k l u b
কথক	k ɔ t̪ʰ o k
চক	t͡ʃ ɔ k
allah	a l a
ki	k i
won	w o n
এআই	e a i̯
একজনই	e k d͡ʒ o n i
এমএলএ	e m e l e
এমএস	e m e ʃ
ডর	ɖ ɔ ɾ
বনজ	b ɔ n o d͡ʒ
রইস	r o i̯ ʃ
actress	a k t ɾ e s
mamata	m a m a t a
qui	k i
আযম	a d͡ʒ o m
ওএস	o e ʃ
কও	k ɔ o̯
করম	k ɔ ɾ o m
ঝটপট	d͡ʒʱ ɔ ʈ p ɔ ʈ
টড	ʈ ɔ ɖ
much	m u t͡ʃ
public	p u b l i k
উওর	u̯ o ɾ
facts	f a k t s
fast	f a s t
জবর	d͡ʒ ɔ b o ɾ
তব	t̪ ɔ b
নকআউট	n ɔ k a u̯ ʈ
female	f e m a l e
আইল	a i̯ l
জর	d͡ʒ ɔ ɾ
attack	a t a k
galaxy	ɡ a l a k s i
pc	p e s e
que	k e
উলফ	u l ɔ f
উৎপল	u t̪ p ɔ l
লন	l ɔ n
minister	m i n i s t e
sa	s a
আইজ	a i̯ d͡ʒ
ইগর	i ɡ o ɾ
ঈষৎ	i ʃ ɔ t̪
উডস	u ɖ o ʃ
seo	s e o
আদ	a d̪
উদর	u d̪ o ɾ
গণকবর	ɡ ɔ n o k b ɔ ɾ
con	k o n
আইএসআই	a i̯ e ʃ a i̯
আরএফএল	a ɾ e f e l
copy	k o p i
las	l a s
এরর	e ɾ o ɾ
ফলস	f ɔ l o ʃ
বসতঘর	b ɔ ʃ t̪ ɔ ɡʱ ɔ ɾ
abc	a b e s e
alokito	a l o k i t o
des	d e s
map	m a p
tag	t a ɡ
te	t e
আইপড	a i̯ p ɔ ɖ
এইসকল	e i̯ s k ɔ l
ফলদ	f ɔ l o d̪
মস	m ɔ ʃ
ko	k o
luck	l u k
pussy	p u s i
su	s u
জস	d͡ʒ ɔ ʃ
রও	r ɔ o̯
ডল	ɖ ɔ l
funny	f u n i
আকমল	a k m ɔ l
আছর	a t͡ʃʰ o ɾ
খরচও	kʰ ɔ ɾ t͡ʃ o
বশ	b ɔ ʃ
রণ	r ɔ n
ab	a b
محمد	m a ħ m a d
উইচ	u̯ i t͡ʃ
চট	t͡ʃ ɔ ʈ
america	a m e ɾ i k a
dc	d e s e
plus	p l u s
wa	w a
ke	k e
mit	m i t
officer	o f i s e
অবশ	ɔ b o ʃ
আইএলও	a i̯ e l o
বম	b ɔ m
ভরণ	bʱ ɔ ɾ o n
bit	b i t
cia	s i a
কমর	k ɔ m o ɾ
চপ	t͡ʃ ɔ p
মনও	m ɔ n o
bogra	b o ɡ ɾ a
بن	b a n
ঋন	r i n
গলদ	ɡ ɔ l o d̪
লই	l o i̯
para	p a ɾ a
অজ	ɔ d͡ʒ
খবরও	kʰ ɔ b ɾ o
জনগণও	d͡ʒ ɔ n ɡ ɔ n o
নটর	n ɔ ʈ o ɾ
হয	h ɔ d͡ʒ
yo	j o
পথই	p ɔ t̪ʰ o i̯
cell	s e l
ne	n e
أكبر	ʔ a k b a r
ওপরও	o p ɾ o
win	w i n
في	f i
এফআইআর	e f a i̯ a ɾ
এমএম	e m e m
ba	b a
sp	e s p e
এপস	e p o ʃ
এব	e b
এমআরআই	e m a ɾ a i̯
বইন	b o i̯ n
dvd	d e v e d e
match	m a t͡ʃ
tu	t u
খই	kʰ o i̯
টব	ʈ ɔ b
পন	p ɔ n
area	a ɾ e a
bf	b e ɛ f
lama	l a m a
os	o s
ul	u l
wwe	w e
উপদল	u p ɔ d̪ o l
এমআই	e m a i̯
কজন	k ɔ d͡ʒ o n
গট	ɡ ɔ ʈ
মতও	m ɔ t̪ o
হবস	h ɔ b o ʃ
fucking	f u k i ŋ
ja	d͡ʒ a
কতক	k ɔ t̪ o k
কনর	k ɔ n o ɾ
খবরই	kʰ ɔ b ɾ o i̯
থট	t̪ʰ ɔ ʈ
feed	f i d
jo	d͡ʒ o
ka	k a
আইওএম	a i̯ o e m
আনত	a n o t̪
উঠ	u ʈʰ
এনএসএ	e n e ʃ e
এলটন	e l ʈ ɔ n
কক	k ɔ k
কজ	k ɔ d͡ʒ
si	s i
আইও	a i̯ o
টগবগ	ʈ ɔ ɡ b ɔ ɡ
ফলত	f ɔ l o t̪
মনন	m ɔ n o n
মহরত	m ɔ h ɾ ɔ t̪
access	a k s e s
deep	d i p
tea	t e a
yu	j u
ইউন	i u̯ n
ইদ	i d̪
এমএলএম	e m e l e m
ডম	ɖ ɔ m
সরণ	ʃ ɔ ɾ o n
block	b l ɔ k
ঠক	ʈʰ ɔ k
পথও	p ɔ t̪ʰ o
লজ	l ɔ d͡ʒ
less	l e s
sony	s o n i
tale	t a l e
tokyo	t o k j o
yet	j e t
এআর	e a ɾ
এগ	e ɡ
রই	r o i̯
হইব	h o i̯ b
glass	ɡ l a s
keep	k i p
mac	m a k
mass	m a s
sub	s u b
such	s u t͡ʃ
আকন	a k o n
আয	a d͡ʒ
পরত	p ɔ ɾ o t̪
ce	s e
dot	d o t
minutes	m i n u t e s
আবদ	a b o d̪
বনধ	b ɔ n o d̪ʱ
middle	m i d l e
phase	f e j z
success	s u k s e s
চকচক	t͡ʃ ɔ k t͡ʃ ɔ k
poetry	p o e t ɾ i
sick	s i k
une	u n e
অদল	ɔ d̪ o l
অধম	ɔ d̪ʱ o m
ওরস	o ɾ o ʃ
কপ	k ɔ p
নম	n ɔ m
পরল	p ɔ ɾ o l
ভরত	bʱ ɔ ɾ o t̪
abdullah	a b d u l a
cat	k a t
cut	k u t
dec	d e k
meet	m i t
ইএ	i e
উজ	u d͡ʒ
এইজ	e i̯ d͡ʒ
বশত	b ɔ ʃ o t̪
aa	a a
ca	k a
dj	d e ʒ e
una	u n a
ইআর	i a ɾ
বসল	b ɔ ʃ o l
api	a p i
bus	b u s
canada	k a n a d a
weekly	w i k l i
এইচআর	e i̯ t͡ʃ a ɾ
এফএ	e f e
delete	d e l e t e
fat	f a t
took	t u k
আইনও	a i̯ n o
আউশ	a u̯ ʃ
আরএস	a ɾ e ʃ
ইক	i k
গর	ɡ ɔ ɾ
added	a d e d
cu	k u
nu	n u
আউল	a u̯ l
put	p u t
shahbag	ʃ a b a ɡ
আইআর	a i̯ a ɾ
ইউথ	i u̯ t̪ʰ
ইফ	i f
এনএ	e n e
বটম	b ɔ ʈ o m
হগ	h ɔ ɡ
عبد	ʕ a b a d
baba	b a b a
feeling	f i l i ŋ
pe	p e
ইসমত	i s m ɔ t̪
এইমস	e i̯ m ɔ ʃ
এএ	e e
ওত	o t̪
দলসহ	d̪ ɔ l ʃ ɔ h o
সফলও	ʃ ɔ f l o
lyrics	l i ɾ i k s
tripura	t ɾ i p u ɾ a
উহ	u h o
এসআর	e ʃ a ɾ
কলস	k ɔ l o ʃ
পক	p ɔ k
সঙ	ʃ ɔ ŋ
analysis	a n a l i s i s
benefits	b e n e f i t s
mba	m b a
try	t ɾ i
আকর	a k o ɾ
এমএল	e m e l
কট	k ɔ ʈ
clip	k l i p
lo	l o
max	m a k s
minute	m i n u t e
ইউএফও	i u̯ e f o
এমএইচ	e m e i̯ t͡ʃ
ওলসন	o l ʃ ɔ n
কচ	k ɔ t͡ʃ
ধপ	d̪ʱ ɔ p
মহররম	m ɔ h o ɾ ɔ ɾ o m
lot	l o t
pa	p a
planet	p l a n e t
অকপট	ɔ k o p ɔ ʈ
অমত	ɔ m o t̪
মইন	m o i̯ n
christ	k ɾ i s t
ex	e k s
feet	f i t
আওস	a o̯ ʃ
এইউ	e i̯ u
এইস	e i̯ ʃ
কমও	k ɔ m o
জনপথ	d͡ʒ ɔ n p ɔ t̪ʰ
ধরত	d̪ʱ ɔ ɾ o t̪
নঈম	n o i̯ m
pass	p a s
profile	p ɾ o f i l e
আইএনএ	a i̯ e n e
আরন	a ɾ o n
ইউএসএসআর	i u̯ e ʃ e ʃ a ɾ
কব	k ɔ b
নফল	n ɔ f o l
নস	n ɔ ʃ
ghosh	ɡ o ʃ
pcb	p e s e b e
tribune	t ɾ i b u n e
একন	e k o n
ঐই	o i̯ i
ওপ	o p
across	a k ɾ ɔ s
cannot	k a n o t
chat	ʃ a t
paris	p a ɾ i s
অহন	ɔ h o n
আইএম	a i̯ e m
আইএসও	a i̯ e ʃ o
akash	a k a ʃ
على	ʕ a l a
ইউই	i u̯ i
ঊন	u n
এএস	e e ʃ
বকবক	b ɔ k b ɔ k
শহরসহ	ʃ ɔ h o ɾ ʃ ɔ h o
alex	a l ɛ k s
least	l e a s t
traffic	t ɾ a f i k
অম	ɔ m
ইর	i ɾ
উইস	u̯ i ʃ
ওফ	o f
মরল	m ɔ ɾ o l
ago	a ɡ o
anas	a n a s
bcs	b e s e s
fi	f i
logo	l o ɡ o
natok	n a t o k
podcast	p o d k a s t
shop	ʃ ɔ p
tony	t o n i
অবশই	ɔ b ʃ o i̯
এমএফএ	e m e f e
ফখর	f ɔ kʰ o ɾ
মতনই	m ɔ t̪ o n i
হলফ	h ɔ l o f
flag	f l a ɡ
এরল	e ɾ o l
চলব	t͡ʃ ɔ l o b
টপস	ʈ ɔ p o ʃ
বখত	b ɔ kʰ ɔ t̪
সহজতম	ʃ ɔ h d͡ʒ ɔ t̪ o m
আগমণ	a ɡ m o n
ইপ	i p
এলএ	e l e
বলবত	b ɔ l b ɔ t̪
সরগরম	ʃ ɔ ɾ ɡ ɔ ɾ o m
apu	a p u
mu	m u
noc	n ɔ k
ইউএসএইড	i u̯ e ʃ e i̯ ɖ
শরত	ʃ ɔ ɾ o t̪
patro	p a t ɾ o
উৎসবও	u t̪ ʃ ɔ b o
ওজ	o d͡ʒ
জমজম	d͡ʒ ɔ m d͡ʒ ɔ m
loop	l u p
six	s i k s
wake	w e j k
আসক	a ʃ ɔ k
ইউএনওর	i u̯ e n o ɾ
এনএইচএল	e n e i̯ t͡ʃ e l
এনএস	e n e ʃ
রমন	r ɔ m o n
category	k a t e ɡ o ɾ i
cd	s e d e
mo	m o
pedro	p e d ɾ o
pete	p e t e
shadow	ʃ a d o w
আরশ	a ɾ o ʃ
উৎকট	u t̪ k ɔ ʈ
থম	t̪ʰ ɔ m
fifty	f i f t i
gu	ɡ u
neo	n e o
শহরও	ʃ ɔ h o ɾ o
imo	i m o
krishna	k ɾ i ʃ n a
ministry	m i n i s t ɾ i
ni	n i
noaa	n o a a
process	p ɾ o s e s
shah	ʃ a
আজগর	a d͡ʒ ɡ ɔ ɾ
ওএসএম	o e ʃ e m
খন	kʰ ɔ n
গডস	ɡ ɔ ɖ o ʃ
সরন	ʃ ɔ ɾ o n
হকসহ	h ɔ k ʃ ɔ h o
doc	d ɔ k
paz	p a s
trophy	t ɾ o f i
tube	t u b e
ye	j e
ঈশ	i ʃ
এহন	e h o n
ঘট	ɡʱ ɔ ʈ
ঝর	d͡ʒʱ ɔ ɾ
ফগ	f ɔ ɡ
সল	ʃ ɔ l
carry	k a r i
effect	e f ɛ k t
fifa	f i f a
shahbagh	ʃ a b a ɡ
tr	t e ɾ e
একশর	e k ʃ ɔ ɾ
এফএসএফ	e f e ʃ e f
কওন	k ɔ o̯ n
চই	t͡ʃ o i̯
বসন	b ɔ ʃ o n
সদন	ʃ ɔ d̪ o n
হম	h ɔ m
academy	a k a d e m i
ana	a n a
ct	k e t e
library	l i b ɾ a ɾ i
luis	l u i s
অড	ɔ ɖ
ইউল	i u̯ l
উরস	u ɾ o ʃ
এফএও	e f e o
গফ	ɡ ɔ f
ডডস	ɖ ɔ ɖ o ʃ
হইও	h o i̯ o
bring	b ɾ i ŋ
fell	f e l
sobre	s o b ɾ e
till	t i l
unit	u n i t
আরএফ	a ɾ e f
টল	ʈ ɔ l
পদই	p ɔ d̪ o i̯
bill	b i l
memory	m e m o ɾ i
rab	r a b
solo	s o l o
কহ	k ɔ h o
ডজ	ɖ ɔ d͡ʒ
তট	t̪ ɔ ʈ
বইই	b o i̯ i
শরফ	ʃ ɔ ɾ o f
finish	f i n i ʃ
icu	i k u
kelly	k e l i
অস	ɔ ʃ
আউ	a u̯
এমএসএন	e m e ʃ e n
হনন	h ɔ n o n
aka	a k a
apply	a p l i
guatemala	ɡ w a t e m a l a
lucky	l u k i
mary	m a ɾ i
ny	n i
supreme	s u p ɾ e m e
عن	ʕ a n
আইএমও	a i̯ e m o
এএন	e e n
জলপথ	d͡ʒ ɔ l p ɔ t̪ʰ
ap	a p
catch	k a t͡ʃ
ceo	s e o
dacca	d a k a
itu	i t u
mix	m i k s
ইএমআই	i e m a i̯
করবই	k ɔ ɾ b o i̯
গণক	ɡ ɔ n o k
নখর	n ɔ kʰ o ɾ
রওনক	r ɔ o̯ n ɔ k
রজন	r ɔ d͡ʒ o n
লঙ	l ɔ ŋ
শর	ʃ ɔ ɾ
ah	a
bo	b o
despacito	d e s p a s i t o
nos	n o s
qu	k u
satellite	s a t e l i t e
shakib	ʃ a k i b
এমএমএ	e m e m e
এমএসএফ	e m e ʃ e f
সফদর	ʃ ɔ f d̪ ɔ ɾ
সলভ	ʃ ɔ l o bʱ
mela	m e l a
mitra	m i t ɾ a
primary	p ɾ i m a ɾ i
tune	t u n e
علي	ʕ a l i j j
আনন	a n o n
আরএল	a ɾ e l
উৎসও	u t̪ ʃ o
জনস	d͡ʒ ɔ n o ʃ
ash	a ʃ
babu	b a b u
idea	i d e a
male	m a l e
pas	p a s
tax	t a k s
week	w i k
আকরম	a k ɾ ɔ m
উদগত	u d̪ ɡ ɔ t̪ o
কখ	k ɔ kʰ
লও	l ɔ o̯
লকড	l ɔ k o ɖ
হলও	h ɔ l o
cinema	s i n e m a
fish	f i ʃ
gone	ɡ o n e
johnny	d͡ʒ o n i
linux	l i n u k s
pp	p e p e
sri	s r i
telegraph	t e l e ɡ ɾ a f
wiki	w i k i
অক	ɔ k
অবস	ɔ b o ʃ
আতপ	a t̪ ɔ p
আবরন	a b ɾ o n
ইচ	i t͡ʃ
এইচএম	e i̯ t͡ʃ e m
bitch	b i t͡ʃ
kazi	k a z i
meets	m i t s
pablo	p a b l o
sales	s a l e s
sheep	ʃ i p
tagore	t a ɡ o ɾ e
كتاب	k i t aː b
ইএস	i e ʃ
ইহ	i h o
ওরই	o ɾ o i̯
ফলও	f ɔ l o
বশর	b ɔ ʃ o ɾ
buffalo	b u f a l o
fit	f i t
limit	l i m i t
photographic	f o t o ɡ ɾ a f i k
pre	p ɾ e
rani	r a n i
আইড	a i̯ ɖ
আজমত	a d͡ʒ m ɔ t̪
জক	d͡ʒ ɔ k
পড	p ɔ ɖ
ফলজ	f ɔ l o d͡ʒ
africa	a f ɾ i k a
creek	k ɾ i k
effects	e f ɛ k t s
looks	l u k s
ما	m a
এবন	e b o n
এসবও	e s b o
কষ	k ɔ ʃ
ধলই	d̪ʱ ɔ l o i̯
ফট	f ɔ ʈ
ass	a s
push	p u ʃ
আরএনএ	a ɾ e n e
আরএসএ	a ɾ e ʃ e
ধবন	d̪ʱ ɔ b o n
ধবল	d̪ʱ ɔ b o l
সময	ʃ ɔ m o d͡ʒ
ae	a e
lie	l i
someone	s o m e o n e
twin	t w i n
আইক	a i̯ k
এমএএইচ	e m e e̯ i t͡ʃ
চমচম	t͡ʃ ɔ m t͡ʃ ɔ m
শবর	ʃ ɔ b o ɾ
calling	k a l i ŋ
fishing	f i ʃ i ŋ
goa	ɡ o a
gui	ɡ i
proof	p ɾ u f
sabha	s a b a
ufo	u f o
আইউব	a i̯ u b
এনএসআই	e n e ʃ a i̯
খর	kʰ ɔ ɾ
তথন	t̪ ɔ t̪ʰ o n
পদও	p ɔ d̪ o
ভরন	bʱ ɔ ɾ o n
হকস	h ɔ k o ʃ
como	k o m o
neck	n e k
psc	p e ʃ e
ses	s e s
task	t a s k
আইএ	a i̯ e
ঈল	i l
উইথআউট	u̯ i t̪ʰ a u̯ ʈ
গগলস	ɡ ɔ ɡ l o ʃ
চমন	t͡ʃ ɔ m o n
ছট	t͡ʃʰ ɔ ʈ
দত	d̪ ɔ t̪ o
ফটবল	f ɔ ʈ b ɔ l
শরদ	ʃ ɔ ɾ o d̪
alba	a l b a
finally	f i n a l i
ls	e l e s
mask	m a s k
po	p o
taka	t a k a
wish	w i ʃ
আইআরএ	a i̯ a ɾ e
ইএফই	i e f i
এফএএ	e f e e
কইল	k o i̯ l
খরব	kʰ ɔ ɾ o b
ডগস	ɖ ɔ ɡ o ʃ
লল	l ɔ l
সখ	ʃ ɔ kʰ
সনৎ	ʃ ɔ n o t̪
ships	ʃ i p s
tata	t a t a
উইগ	u̯ i ɡ
এনএম	e n e m
জগদল	d͡ʒ ɔ ɡ d̪ ɔ l
blast	b l a s t
falling	f a l i ŋ
ideas	i d e a s
messi	m e s i
micro	m i k ɾ o
mri	m ɾ i
philippe	f i l i p e
powell	p o w e l
sucks	s u k s
track	t ɾ a k
wi	w i
