de	d e
românești	r o m ɨ n e ʃ tʲ
aibă	a j b ə
il	i l
luptă	l u p t ə
motiv	m o t i v
văd	v ə d
clar	k l a r
locale	l o k a l e
locuri	l o k u rʲ
ma	m a
membru	m e m b r u
ochii	o k i j
total	t o t a l
ului	u l u j
unii	u n i j
vieții	v j e t͡s i j
ajutorul	a ʒ u t o r u
ajută	a ʒ u t ə
dea	d e̯ a
du	d u
ideea	i d e e̯ a
politice	p o l i t i t͡ʃ e
uri	u rʲ
următoarele	u r m ə t o̯ a r e l e
întreaga	ɨ n t r e̯ a ɡ a
apare	a p a r e
cărți	k ə r t͡sʲ
diverse	d i v e r s e
fiica	f i i k a
lista	l i s t a
scrie	s k r i e
statul	s t a t u
afara	a f a r a
devine	d e v i n e
michael	m i k a e l
participat	p a r t i t͡ʃ i p a t
soția	s o t͡s i a
studii	s t u d i j
exista	e ɡ z i s t a
inima	i n i m a
intr	i n t r
metri	m e t r i
publice	p u b l i t͡ʃ e
telefon	t e l e f o n
totodată	t o t o d a t ə
york	j o r k
întâmplă	ɨ n t ɨ m p l ə
activitate	a k t i v i t a t e
ajutor	a ʒ u t o r
buna	b u n a
cultural	k u l t u r a l
dezvoltarea	d e z v o l t a r e̯ a
director	d i r e k t o r
dumneavoastră	d u m n e̯ a v o̯ a s t r ə
evenimente	e v e n i m e n t e
internaționale	i n t e r n a t͡s i o n a l e
perfect	p e r f e k t
prezintă	p r e z i n t ə
universitatea	u n i v e r s i t a t e̯ a
zonă	z o n ə
întâlnire	ɨ n t ɨ l n i r e
acestor	a t͡ʃ e s t o r
afaceri	a f a t͡ʃ e rʲ
anume	a n u m e
apărut	a p ə r u t
dolari	d o l a rʲ
naturale	n a t u r a l e
obicei	o b i t͡ʃ e j
plan	p l a n
privește	p r i v e ʃ t e
puterea	p u t e r e̯ a
rolul	r o l u
statele	s t a t e l e
săptămâni	s ə p t ə m ɨ nʲ
unite	u n i t e
altele	a l t e l e
andrei	a n d r e j
camera	k a m e r a
dan	d a n
david	d a v i d
filme	f i l m e
final	f i n a l
fratele	f r a t e l e
imagini	i m a d͡ʒ i nʲ
publică	p u b l i k ə
românească	r o m ɨ n e̯ a s k ə
școala	ʃ k o̯ a l a
calitate	k a l i t a t e
curtea	k u r t e̯ a
funcția	f u n k t͡s i a
lansat	l a n s a t
lucrări	l u k r ə rʲ
nivelul	n i v e l u
oamenilor	o̯ a m e n i l o r
privire	p r i v i r e
ulterior	u l t e r i o r
alți	a l t͡sʲ
centru	t͡ʃ e n t r u
cerut	t͡ʃ e r u t
domnului	d o m n u l u j
membrii	m e m b r i j
plecat	p l e k a t
sociale	s o t͡ʃ i a l e
sunteți	s u n t e t͡sʲ
vasile	v a s i l e
constantin	k o n s t a n t i n
facut	f a k u t
lemn	l e m n
numit	n u m i t
oră	o r ə
pana	p a n a
piața	p j a t͡s a
sediul	s e d i u
săptămână	s ə p t ə m ɨ n ə
uniunii	u n i u n i j
vedem	v e d e m
șef	ʃ e f
câștigat	k ɨ ʃ t i ɡ a t
lumii	l u m i j
ministru	m i n i s t r u
munca	m u n k a
obținut	o b t͡s i n u t
trimis	t r i m i s
acțiune	a k t͡s i u n e
adrian	a d r i a n
ambele	a m b e l e
caut	k a u t
descoperit	d e s k o p e r i t
post	p o s t
putin	p u t i n
regele	r e d͡ʒ e l e
vârsta	v ɨ r s t a
accident	a k t͡ʃ i d e n t
clasa	k l a s a
curs	k u r s
echipă	e k i p ə
fiu	f j u
guvernului	ɡ u v e r n u l u j
jocuri	ʒ o k u rʲ
legea	l e d͡ʒ e̯ a
mers	m e r s
radu	r a d u
raport	r a p o r t
spatele	s p a t e l e
stabilit	s t a b i l i t
strada	s t r a d a
încercat	ɨ n t͡ʃ e r k a t
știi	ʃ t i j
anumite	a n u m i t e
atenție	a t e n t͡s i e
aveam	a v e̯ a m
aveau	a v e̯ a w
comuna	k o m u n a
conducerea	k o n d u t͡ʃ e r e̯ a
deschis	d e s k i s
doresc	d o r e s k
faceți	f a t͡ʃ e t͡sʲ
fara	f a r a
oferă	o f e r ə
online	o n l i n e
peter	p e t e r
restul	r e s t u
alta	a l t a
anunțat	a n u n t͡s a t
calea	k a l e̯ a
dezvoltare	d e z v o l t a r e
evident	e v i d e n t
fete	f e t e
folosite	f o l o s i t e
lumina	l u m i n a
napoca	n a p o k a
procesul	p r o t͡ʃ e s u
situația	s i t u a t͡s i a
titlul	t i t l u
art	a r t
as	a s
ceilalți	t͡ʃ e j l a l t͡sʲ
celelalte	t͡ʃ e l e l a l t e
companii	k o m p a n i j
control	k o n t r o l
importantă	i m p o r t a n t ə
intre	i n t r e
james	ʒ a m e s
pun	p u n
puncte	p u n k t e
părți	p ə r t͡sʲ
viata	v j a t a
victor	v i k t o r
vorbit	v o r b i t
vremea	v r e m e̯ a
altor	a l t o r
circa	t͡ʃ i r k a
condus	k o n d u s
consideră	k o n s i d e r ə
cultură	k u l t u r ə
cuvânt	k u v ɨ n t
economice	e k o n o m i t͡ʃ e
lucrările	l u k r ə r i l e
ministerul	m i n i s t e r u
ocupat	o k u p a t
rol	r o l
răspuns	r ə s p u n s
societatea	s o t͡ʃ i e t a t e̯ a
web	w e b
așteaptă	a ʃ t e̯ a p t ə
crede	k r e d e
cursul	k u r s u
ediția	e d i t͡s i a
frumoasă	f r u m o̯ a s ə
generală	d͡ʒ e n e r a l ə
intră	i n t r ə
sfârșit	s f ɨ r ʃ i t
susținut	s u s t͡s i n u t
timpului	t i m p u l u j
urmat	u r m a t
șeful	ʃ e f u
știm	ʃ t i m
and	a n d
cercetare	t͡ʃ e r t͡ʃ e t a r e
câțiva	k ɨ t͡s i v a
elemente	e l e m e n t e
fim	f i m
internațională	i n t e r n a t͡s i o n a l ə
lucrează	l u k r e̯ a z ə
muzeul	m u z e w
numeroase	n u m e r o̯ a s e
radio	r a d i o
sistemului	s i s t e m u l u j
trebuia	t r e b u j a
urmează	u r m e̯ a z ə
vede	v e d e
ăsta	ə s t a
creșterea	k r e ʃ t e r e̯ a
cuvinte	k u v i n t e
ieșit	j e ʃ i t
intermediul	i n t e r m e d i u
internet	i n t e r n e t
mijlocul	m i ʒ l o k u
teatru	t e̯ a t r u
teritoriul	t e r i t o r i u
vorbim	v o r b i m
articole	a r t i k o l e
companie	k o m p a n i e
cuvântul	k u v ɨ n t u
dna	d n a
echipei	e k i p e j
iau	j a w
legate	l e ɡ a t e
masa	m a s a
membri	m e m b r i
partidului	p a r t i d u l u j
prezența	p r e z e n t͡s a
prieteni	p r i e t e nʲ
totală	t o t a l ə
adevărul	a d e v ə r u
aflate	a f l a t e
apar	a p a r
daniel	d a n i e l
funcționează	f u n k t͡s i o n e̯ a z ə
omului	o m u l u j
proces	p r o t͡ʃ e s
schimbat	s k i m b a t
săptămâna	s ə p t ə m ɨ n a
zic	z i k
zone	z o n e
alegerile	a l e d͡ʒ e r i l e
america	a m e r i k a
atac	a t a k
ba	b a
decis	d e t͡ʃ i s
externe	e k s t e r n e
folosesc	f o l o s e s k
găsește	ɡ ə s e ʃ t e
henry	h e n r i
iii	i i j
interiorul	i n t e r i o r u
lunii	l u n i j
materiale	m a t e r i a l e
ministrul	m i n i s t r u
muzica	m u z i k a
prezentat	p r e z e n t a t
proiectului	p r o j e k t u l u j
sens	s e n s
spital	s p i t a l
sport	s p o r t
surse	s u r s e
ultimele	u l t i m e l e
vest	v e s t
întrebări	ɨ n t r e b ə rʲ
culturale	k u l t u r a l e
economică	e k o n o m i k ə
energie	e n e r d͡ʒ i e
fizică	f i z i k ə
mintea	m i n t e̯ a
propria	p r o p r i a
realizate	r e a l i z a t e
rece	r e t͡ʃ e
situat	s i t u a t
stă	s t ə
ti	t i
viitoare	v i i t o̯ a r e
vârstă	v ɨ r s t ə
atat	a t a t
considerat	k o n s i d e r a t
culturii	k u l t u r i j
editura	e d i t u r a
fată	f a t ə
liga	l i ɡ a
marii	m a r i j
multor	m u l t o r
poziția	p o z i t͡s i a
rog	r o ɡ
sper	s p e r
termenul	t e r m e n u
vi	v i
înregistrat	ɨ n r e d͡ʒ i s t r a t
întrebat	ɨ n t r e b a t
apariția	a p a r i t͡s i a
articol	a r t i k o l
colaborare	k o l a b o r a r e
companiei	k o m p a n i e j
constituie	k o n s t i t u j e
controlul	k o n t r o l u
cuprinde	k u p r i n d e
galerie	ɡ a l e r i e
generale	d͡ʒ e n e r a l e
interes	i n t e r e s
intrarea	i n t r a r e̯ a
județului	ʒ u d e t͡s u l u j
prietenii	p r i e t e n i j
românilor	r o m ɨ n i l o r
spațiu	s p a t͡s i w
stânga	s t ɨ n ɡ a
suprafață	s u p r a f a t͡s ə
transport	t r a n s p o r t
umane	u m a n e
vorbesc	v o r b e s k
țin	t͡s i n
acordat	a k o r d a t
animale	a n i m a l e
armata	a r m a t a
casei	k a s e j
cazuri	k a z u rʲ
celei	t͡ʃ e l e j
codul	k o d u
contra	k o n t r a
doamna	d o̯ a m n a
extrem	e k s t r e m
fostul	f o s t u
inițial	i n i t͡s i a l
jocul	ʒ o k u
li	l i
localitatea	l o k a l i t a t e̯ a
marele	m a r e l e
ni	n i
persoana	p e r s o̯ a n a
plină	p l i n ə
proiect	p r o j e k t
proiectul	p r o j e k t u
satul	s a t u
socială	s o t͡ʃ i a l ə
termen	t e r m e n
tipuri	t i p u rʲ
valea	v a l e̯ a
viitorul	v i i t o r u
încheiat	ɨ n k e j a t
corpului	k o r p u l u j
faptului	f a p t u l u j
iti	i t i
militare	m i l i t a r e
oferit	o f e r i t
on	o n
paris	p a r i s
planul	p l a n u
poporului	p o p o r u l u j
seria	s e r i a
sfântului	s f ɨ n t u l u j
spunea	s p u n e̯ a
transilvania	t r a n s i l v a n i a
ungaria	u ŋ ɡ a r i a
utilizarea	u t i l i z a r e̯ a
așadar	a ʃ a d a r
bogdan	b o ɡ d a n
comun	k o m u n
creștere	k r e ʃ t e r e
cumva	k u m v a
căreia	k ə r e j a
decat	d e k a t
dragostea	d r a ɡ o s t e̯ a
gândit	ɡ ɨ n d i t
imi	i m i
interior	i n t e r i o r
interne	i n t e r n e
it	i t
pagina	p a d͡ʒ i n a
petru	p e t r u
securitate	s e k u r i t a t e
tatălui	t a t ə l u j
tom	t o m
tânăr	t ɨ n ə r
vadă	v a d ə
întâlnit	ɨ n t ɨ l n i t
case	k a s e
central	t͡ʃ e n t r a l
ciuda	t͡ʃʲ u d a
continuare	k o n t i n u a r e
căruia	k ə r u j a
folosind	f o l o s i n d
forme	f o r m e
ha	h a
institutul	i n s t i t u t u
menționat	m e n t͡s i o n a t
mulțumesc	m u l t͡s u m e s k
neagră	n e̯ a ɡ r ə
ordinul	o r d i n u
par	p a r
războiul	r ə z b o j u
scos	s k o s
state	s t a t e
sînt	s ɨ n t
unități	u n i t ə t͡sʲ
vrem	v r e m
acțiuni	a k t͡s i u nʲ
aduc	a d u k
corp	k o r p
cunosc	k u n o s k
documente	d o k u m e n t e
echipe	e k i p e
elena	e l e n a
festivalul	f e s t i v a l u
industria	i n d u s t r i a
live	l i v e
onoare	o n o̯ a r e
postul	p o s t u
regina	r e d͡ʒ i n a
sala	s a l a
scop	s k o p
secolul	s e k o l u
teatrul	t e̯ a t r u
ucis	u t͡ʃ i s
anilor	a n i l o r
centrală	t͡ʃ e n t r a l ə
club	k l u b
direcția	d i r e k t͡s i a
drepturile	d r e p t u r i l e
existența	e ɡ z i s t e n t͡s a
folosește	f o l o s e ʃ t e
găsesc	ɡ ə s e s k
material	m a t e r i a l
or	o r
parlamentul	p a r l a m e n t u
parlamentului	p a r l a m e n t u l u j
petrecut	p e t r e k u t
politica	p o l i t i k a
poliția	p o l i t͡s i a
popescu	p o p e s k u
secolului	s e k o l u l u j
sezonul	s e z o n u
trecută	t r e k u t ə
trimite	t r i m i t e
uitat	u j t a t
valoarea	v a l o̯ a r e̯ a
zilele	z i l e l e
zonele	z o n e l e
știți	ʃ t i t͡sʲ
acțiunea	a k t͡s i u n e̯ a
administrația	a d m i n i s t r a t͡s i a
aminte	a m i n t e
britanie	b r i t a n i e
comunei	k o m u n e j
cunoscute	k u n o s k u t e
căror	k ə r o r
duc	d u k
grupului	ɡ r u p u l u j
iulia	j u l i a
militar	m i l i t a r
mișcare	m i ʃ k a r e
moldovei	m o l d o v e j
ocupă	o k u p ə
programul	p r o ɡ r a m u
sezon	s e z o n
spațiul	s p a t͡s i u
text	t e k s t
to	t o
comerciale	k o m e r t͡ʃ i a l e
doriți	d o r i t͡sʲ
eminescu	e m i n e s k u
florin	f l o r i n
făcute	f ə k u t e
interesant	i n t e r e s a n t
modelul	m o d e l u
moderne	m o d e r n e
municipiul	m u n i t͡ʃ i p i u
non	n o n
obiecte	o b j e k t e
populației	p o p u l a t͡s i e j
puternică	p u t e r n i k ə
revista	r e v i s t a
speciale	s p e t͡ʃ i a l e
titlu	t i t l u
traian	t r a j a n
trăiesc	t r ə j e s k
școlii	ʃ k o l i j
adresa	a d r e s a
campania	k a m p a n i a
condițiile	k o n d i t͡s i i l e
frumoase	f r u m o̯ a s e
lucrarea	l u k r a r e̯ a
max	m a k s
mutat	m u t a t
numește	n u m e ʃ t e
parcursul	p a r k u r s u
poezie	p o e z i e
pro	p r o
părinte	p ə r i n t e
richard	r i k a r d
ridică	r i d i k ə
scenă	s t͡ʃ e n ə
simțit	s i m t͡s i t
spună	s p u n ə
televiziune	t e l e v i z i u n e
ajute	a ʒ u t e
apei	a p e j
asociația	a s o t͡ʃ i a t͡s i a
charles	k a r l e s
datelor	d a t e l o r
dimensiuni	d i m e n s i u nʲ
dumitru	d u m i t r u
excepția	e k s t͡ʃ e p t͡s i a
facultatea	f a k u l t a t e̯ a
finală	f i n a l ə
folosirea	f o l o s i r e̯ a
interviu	i n t e r v j u
legat	l e ɡ a t
municipiului	m u n i t͡ʃ i p i u l u j
organizarea	o r ɡ a n i z a r e̯ a
pavel	p a v e l
publicată	p u b l i k a t ə
realizarea	r e a l i z a r e̯ a
relații	r e l a t͡s i j
sprijinul	s p r i ʒ i n u
stilul	s t i l u
tau	t a w
toții	t o t͡s i j
înaltă	ɨ n a l t ə
înțeleg	ɨ n t͡s e l e ɡ
activități	a k t i v i t ə t͡sʲ
adevărată	a d e v ə r a t ə
arme	a r m e
arta	a r t a
cont	k o n t
devină	d e v i n ə
dincolo	d i n k o l o
evenimentul	e v e n i m e n t u
făcea	f ə t͡ʃ e̯ a
istorice	i s t o r i t͡ʃ e
iubesc	j u b e s k
liberă	l i b e r ə
linia	l i n i a
lipsa	l i p s a
magazin	m a ɡ a z i n
motive	m o t i v e
necesare	n e t͡ʃ e s a r e
noroc	n o r o k
parcul	p a r k u
scurtă	s k u r t ə
spania	s p a n i a
super	s u p e r
trăit	t r ə i t
tudor	t u d o r
ultimii	u l t i m i j
următoarea	u r m ə t o̯ a r e̯ a
utilizat	u t i l i z a t
vis	v i s
ana	a n a
categoria	k a t e ɡ o r i a
crește	k r e ʃ t e
depinde	d e p i n d e
existat	e ɡ z i s t a t
fusese	f u s e s e
legătura	l e ɡ ə t u r a
marcat	m a r k a t
ofițer	o f i t͡s e r
palatul	p a l a t u
populare	p o p u l a r e
san	s a n
specifice	s p e t͡ʃ i f i t͡ʃ e
standard	s t a n d a r d
statelor	s t a t e l o r
suferit	s u f e r i t
sursă	s u r s ə
uite	u j t e
următorul	u r m ə t o r u
utilizate	u t i l i z a t e
școli	ʃ k o l i
arătat	a r ə t a t
caracter	k a r a k t e r
contează	k o n t e̯ a z ə
eveniment	e v e n i m e n t
forță	f o r t͡s ə
inca	i n k a
iv	i v
muncii	m u n t͡ʃ i j
origine	o r i d͡ʒ i n e
ortodoxă	o r t o d o k s ə
răspunsul	r ə s p u n s u
sensul	s e n s u
sisteme	s i s t e m e
telefonul	t e l e f o n u
urgență	u r d͡ʒ e n t͡s ə
înaintea	ɨ n a i n t e̯ a
întrebare	ɨ n t r e b a r e
armată	a r m a t ə
arăta	a r ə t a
comanda	k o m a n d a
comisia	k o m i s i a
continuat	k o n t i n u a t
cunoscută	k u n o s k u t ə
devin	d e v i n
familii	f a m i l i j
lee	l e e
listă	l i s t ə
locală	l o k a l ə
maximă	m a k s i m ə
mondială	m o n d i a l ə
observat	o b s e r v a t
ocazia	o k a z i a
ortodoxe	o r t o d o k s e
plac	p l a k
posibilitatea	p o s i b i l i t a t e̯ a
relațiile	r e l a t͡s i i l e
robert	r o b e r t
starea	s t a r e̯ a
structura	s t r u k t u r a
acasa	a k a s a
ajutat	a ʒ u t a t
ben	b e n
cealaltă	t͡ʃ e̯ a l a l t ə
dovedit	d o v e d i t
for	f o r
imagine	i m a d͡ʒ i n e
larg	l a r ɡ
linie	l i n i e
modern	m o d e r n
natura	n a t u r a
obiective	o b j e k t i v e
opera	o p e r a
oprit	o p r i t
pagini	p a d͡ʒ i nʲ
personală	p e r s o n a l ə
poziție	p o z i t͡s i e
primii	p r i m i j
realizată	r e a l i z a t ə
recunoscut	r e k u n o s k u t
romania	r o m a n i a
rămân	r ə m ɨ n
spectacol	s p e k t a k o l
unitate	u n i t a t e
următoare	u r m ə t o̯ a r e
acțiunile	a k t͡s i u n i l e
afirmă	a f i r m ə
așteptat	a ʃ t e p t a t
cod	k o d
comunitatea	k o m u n i t a t e̯ a
efectuat	e f e k t u a t
episodul	e p i s o d u
făcută	f ə k u t ə
gabriel	ɡ a b r i e l
magazine	m a ɡ a z i n e
marius	m a r i u s
martin	m a r t i n
matei	m a t e j
ministerului	m i n i s t e r u l u j
plante	p l a n t e
practică	p r a k t i k ə
primesc	p r i m e s k
problemele	p r o b l e m e l e
producția	p r o d u k t͡s i a
protecție	p r o t e k t͡s i e
rugăm	r u ɡ ə m
schimbă	s k i m b ə
scrise	s k r i s e
scrisă	s k r i s ə
vedeți	v e d e t͡sʲ
victoria	v i k t o r i a
vândut	v ɨ n d u t
walter	w a l t e r
apel	a p e l
atacat	a t a k a t
centrale	t͡ʃ e n t r a l e
concursul	k o n k u r s u
contact	k o n t a k t
crezut	k r e z u t
călătorie	k ə l ə t o r i e
cărei	k ə r e j
dans	d a n s
gradul	ɡ r a d u
jocurile	ʒ o k u r i l e
lansarea	l a n s a r e̯ a
largă	l a r ɡ ə
legii	l e d͡ʒ i j
marginea	m a r d͡ʒ i n e̯ a
naturală	n a t u r a l ə
piatra	p j a t r a
populația	p o p u l a t͡s i a
port	p o r t
premii	p r e m i j
publicate	p u b l i k a t e
puternice	p u t e r n i t͡ʃ e
suprafața	s u p r a f a t͡s a
treaba	t r e̯ a b a
târgu	t ɨ r ɡ u
unitatea	u n i t a t e̯ a
vlad	v l a d
asociației	a s o t͡ʃ i a t͡s i e j
biblioteca	b i b l i o t e k a
capitala	k a p i t a l a
colegiul	k o l e d͡ʒ i u
condamnat	k o n d a m n a t
cumpărat	k u m p ə r a t
cuvintele	k u v i n t e l e
deschisă	d e s k i s ə
don	d o n
economie	e k o n o m i e
evoluția	e v o l u t͡s i a
formarea	f o r m a r e̯ a
ilie	i l i e
inimă	i n i m ə
jucători	ʒ u k ə t o rʲ
mark	m a r k
medicină	m e d i t͡ʃ i n ə
morții	m o r t͡s i j
natură	n a t u r ə
obiect	o b j e k t
participă	p a r t i t͡ʃ i p ə
plătit	p l ə t i t
principalele	p r i n t͡ʃ i p a l e l e
proprii	p r o p r i j
propriul	p r o p r i u
păcate	p ə k a t e
relația	r e l a t͡s i a
societate	s o t͡ʃ i e t a t e
străinătate	s t r ə i n ə t a t e
tineri	t i n e rʲ
toata	t o̯ a t a
trecerea	t r e t͡ʃ e r e̯ a
întrebarea	ɨ n t r e b a r e̯ a
adoptat	a d o p t a t
apărare	a p ə r a r e
baia	b a j a
boli	b o l i
capacitatea	k a p a t͡ʃ i t a t e̯ a
capăt	k a p ə t
cărora	k ə r o r a
forța	f o r t͡s a
grupuri	ɡ r u p u rʲ
istoriei	i s t o r i e j
mesajul	m e s a ʒ u
poată	p o̯ a t ə
primește	p r i m e ʃ t e
primului	p r i m u l u j
privința	p r i v i n t͡s a
prof	p r o f
păr	p ə r
părul	p ə r u
recent	r e t͡ʃ e n t
simte	s i m t e
străine	s t r ə i n e
thomas	t o m a s
atenția	a t e n t͡s i a
copiilor	k o p i i l o r
dedicat	d e d i k a t
directorul	d i r e k t o r u
dăm	d ə m
ex	e k s
fizice	f i z i t͡ʃ e
hotărât	h o t ə r ɨ t
iei	j e j
liceul	l i t͡ʃ e w
lovit	l o v i t
lucian	l u t͡ʃ i a n
persoanele	p e r s o̯ a n e l e
poezii	p o e z i j
propus	p r o p u s
realizează	r e a l i z e̯ a z ə
referă	r e f e r ə
regelui	r e d͡ʒ e l u j
revenit	r e v e n i t
rămână	r ə m ɨ n ə
satu	s a t u
scena	s t͡ʃ e n a
scăzut	s k ə z u t
sfânta	s f ɨ n t a
spunem	s p u n e m
trec	t r e k
umană	u m a n ə
unirea	u n i r e̯ a
website	w e b s i t e
întâmpla	ɨ n t ɨ m p l a
științifice	ʃ t i i n t͡s i f i t͡ʃ e
adam	a d a m
aparține	a p a r t͡s i n e
comercial	k o m e r t͡ʃ i a l
credem	k r e d e m
culturală	k u l t u r a l ə
datele	d a t e l e
decizia	d e t͡ʃ i z i a
existente	e ɡ z i s t e n t e
femeilor	f e m e j l o r
fierbinte	f j e r b i n t e
grad	ɡ r a d
hai	h a j
implicat	i m p l i k a t
județean	ʒ u d e t͡s e̯ a n
limbii	l i m b i j
liviu	l i v j u
numită	n u m i t ə
organizației	o r ɡ a n i z a t͡s i e j
perfectă	p e r f e k t ə
poarta	p o̯ a r t a
pop	p o p
presupune	p r e s u p u n e
prezentare	p r e z e n t a r e
președintelui	p r e ʃ e d i n t e l u j
principale	p r i n t͡ʃ i p a l e
publicului	p u b l i k u l u j
roșii	r o ʃ i j
spui	s p u j
suflet	s u f l e t
vizită	v i z i t ə
voia	v o j a
actuală	a k t u a l ə
anna	a n n a
anti	a n t i
aspect	a s p e k t
civile	t͡ʃ i v i l e
crezi	k r e zʲ
denumirea	d e n u m i r e̯ a
efect	e f e k t
financiare	f i n a n t͡ʃ i a r e
folosită	f o l o s i t ə
greșit	ɡ r e ʃ i t
literatura	l i t e r a t u r a
luptat	l u p t a t
nava	n a v a
negre	n e ɡ r e
numără	n u m ə r ə
original	o r i d͡ʒ i n a l
participarea	p a r t i t͡ʃ i p a r e̯ a
personale	p e r s o n a l e
piesa	p j e s a
profesori	p r o f e s o rʲ
profesorul	p r o f e s o r u
rezultatele	r e z u l t a t e l e
rezultatul	r e z u l t a t u
scott	s k o t
studiul	s t u d i u
treacă	t r e̯ a k ə
uita	u j t a
vederea	v e d e r e̯ a
vladimir	v l a d i m i r
zbor	z b o r
înscris	ɨ n s k r i s
academiei	a k a d e m i e j
aducă	a d u k ə
afirmat	a f i r m a t
aflată	a f l a t ə
agricole	a ɡ r i k o l e
americane	a m e r i k a n e
artiști	a r t i ʃ tʲ
atins	a t i n s
biserici	b i s e r i t͡ʃʲ
bucur	b u k u r
carieră	k a r i e r ə
citesc	t͡ʃ i t e s k
clubului	k l u b u l u j
comisiei	k o m i s i e j
deosebire	d e o s e b i r e
departamentul	d e p a r t a m e n t u
electrice	e l e k t r i t͡ʃ e
evenimentele	e v e n i m e n t e l e
feminin	f e m i n i n
francez	f r a n t͡ʃ e z
international	i n t e r n a t i o n a l
