να	n a
εάν	e a n
θέλετε	θ e l e t e
κάποιο	k a p i o
μικρή	m i k ɾ i
παιχνίδι	p e x n i ð i
συμφωνία	s i ɱ f o n i a
σχέδιο	s ç e ð i o
άλλοι	a l i
δήμου	ð i m u
δεισ	ð i s
καλύτερο	k a l i t e ɾ o
οποίεσ	o p i e s
πλευρά	p l e v ɾ a
ξέρει	k s e ɾ i
πατέρασ	p a t e ɾ a s
χώρο	x o ɾ o
in	i n
άλλοσ	a l o s
ήρθε	i ɾ θ e
εμένα	e m e n a
βέβαια	v e v e a
δική	ð i c i
ποιο	p i o
πολλοί	p o l i
έδωσε	e ð o s e
αμέσωσ	a m e s o s
ανάπτυξη	a n a p t i k s i
δίνει	ð i n i
εθνική	e θ n i c i
εκλογέσ	e k l o ʝ e s
επόμενη	e p o m e n i
ηταν	i t a n
μεγαλύτερη	m e ɣ a l i t e ɾ i
φίλοι	f i l i
αυτο	a f t o
δούμε	ð u m e
θέσεισ	θ e s i s
κάποιον	k a p i o n
καμιά	k a m ɲ a
κόσμου	k o z m u
μερικέσ	m e ɾ i c e s
συνήθωσ	s i n i θ o s
συχνά	s i x n a
χώρεσ	x o ɾ e s
ίδιοσ	i ð i o s
αρέσει	a ɾ e s i
θεσσαλονίκησ	θ e s a l o n i c i s
πάνε	p a n e
ταινία	t e n i a
διάστημα	ð i̯ a s t i m a
είπα	i p a
ελληνικήσ	e l i n i c i s
επίθεση	e p i θ e s i
επίπεδο	e p i p e ð o
κράτοσ	k ɾ a t o s
πληροφορίεσ	p l i ɾ o f o ɾ i e s
τύπου	t i p u
ήθελα	i θ e l a
βρίσκονται	v ɾ i s k o n d e
γιοσ	ʝ o s
γονείσ	ɣ o n i s
κυβέρνησησ	c i v e ɾ n i s i s
μήνα	m i n a
μόνοσ	m o n o s
πήγε	p i ʝ e
πεισ	p i s
πόλησ	p o l i s
μένα	m e n a
τί	t i
υπήρχε	i p i ɾ ç e
υπουργόσ	i p u ɾ ɣ o s
αποτελέσματα	a p o t e l e z m a t a
εχω	e x o
μόνη	m o n i
φωτογραφίεσ	f o t o ɣ r a f i e s
έκανα	e k a n a
αυτήσ	a f t i s
βίντεο	v i n d e o
κάποιεσ	k a p i e s
λόγια	l o ʝ a
λόγοσ	l o ɣ o s
νέασ	n e a s
ομάδασ	o m a ð a s
πέρα	p e ɾ a
σκοπό	s k o p o
φωσ	f o s
βλέπεισ	v l e p i s
δεύτερη	ð e f t e ɾ i
εντόσ	e n d o s
θάλασσα	θ a l a s a
πορεία	p o ɾ i a
έλεγχο	e l e ŋ x o
αλλα	a l a
αλλιώσ	a ʎ o s
δυνάμεισ	ð i n a m i s
θέλουμε	θ e l u m e
μεγαλύτερο	m e ɣ a l i t e ɾ o
μορφή	m o ɾ f i
όλων	o l o n
έκαναν	e k a n a n
αντί	a n d i
γιώργοσ	ʝ o ɾ ɣ o s
είδα	i ð a
εχει	e ç i
μέλλον	m e l o n
μέση	m e s i
νέεσ	n e e s
πέρασε	p e ɾ a s e
ρόλο	ɾ o l o
όνομά	o n o m a
δείχνει	ð i x n i
δεύτερο	ð e f t e ɾ o
εμάσ	e m a s
εργασίασ	e ɾ ɣ a s i a s
ημέρεσ	i m e ɾ e s
θέλεισ	θ e l i s
μέλοσ	m e l o s
ομάδεσ	o m a ð e s
περισσότερεσ	p e ɾ i s o t e ɾ e s
πραγματικότητα	p ɾ a ɣ m a t i k o t i t a
πόλεμο	p o l e m o
τρόποσ	t ɾ o p o s
υπόθεση	i p o θ e s i
έργα	e ɾ ɣ a
έρθει	e ɾ θ i
ανά	a n a
απέναντι	a p e n a n d i
αριθμό	a ɾ i θ m o
γιο	ʝ o
είδοσ	i ð o s
κάπου	k a p u
λίγα	l i ɣ a
μεγάλεσ	m e ɣ a l e s
μερικά	m e ɾ i k a
περιοχέσ	p e ɾ i o ç e s
σένα	s e n a
σχέσεισ	s ç e s i s
τίτλο	t i t l o
τύπο	t i p o
φίλουσ	f i l u s
άνθρωπο	a n θ ɾ o p o
γιάννησ	ʝ a n i s
δημιουργία	ð i m i u ɾ ʝ i a
θάνατο	θ a n a t o
κάποιοι	k a p i i
κατηγορία	k a t i ɣ o ɾ i a
κομμάτι	k o m a t i
ξέρετε	k s e ɾ e t e
ξεκίνησε	k s e c i n i s e
οποίοι	o p i i
πάντωσ	p a n d o s
πείτε	p i t e
αθηνών	a θ i n o n
αυτοκίνητο	a f t o c i n i t o
ελα	e l a
εσένα	e s e n a
κα	k a
παράλληλα	p a ɾ a l i l a
πρώτοσ	p ɾ o t o s
αγώνεσ	a ɣ o n e s
αριθμόσ	a ɾ i θ m o s
δισ	ð i s
ενδιαφέρον	e n ð i̯ a f e ɾ o n
εσάσ	e s a s
κρίση	k ɾ i s i
μαμά	m a m a
νέου	n e u
νίκοσ	n i k o s
πάρω	p a ɾ o
πήρα	p i ɾ a
στ	s t
τέτοιο	t e t i o
χιλιάδεσ	ç i ʎ a ð e s
χρόνοσ	x ɾ o n o s
αέρα	a e ɾ a
δικά	ð i k a
είδουσ	i ð u s
εξήσ	e k s i s
επιτροπή	e p i t ɾ o p i
μάχη	m a ç i
παγκόσμια	p a ŋ ɡ o z m ɲ a
έλεγε	e l e ʝ e
γενικά	ʝ e n i k a
ειδικά	i ð i k a
ετσι	e t͡s i
θεόσ	θ e o s
ιδέα	i ð e a
κανένασ	k a n e n a s
παίρνει	p e ɾ n i
παρουσία	p a ɾ u s i a
τηλέφωνο	t i l e f o n o
όσουσ	o s u s
άνδρεσ	a n ð ɾ e s
άντρεσ	a n d ɾ e s
έτοσ	e t o s
βρέθηκε	v ɾ e θ i c e
γκολ	ɡ o l
εε	e e
εθνικήσ	e θ n i c i s
ελληνικού	e l i n i k u
επόμενο	e p o m e n o
κάνε	k a n e
οταν	o t a n
πολλούσ	p o l u s
σεξ	s e k s
συνεργασία	s i n e ɾ ɣ a s i a
σωστά	s o s t a
σύντομα	s i n d o m a
δημοκρατίασ	ð i m o k ɾ a t i a s
διαδικασία	ð i̯ a ð i k a s i a
εύκολα	e f k o l a
κίνηση	c i n i s i
μεγάλα	m e ɣ a l a
σύνολο	s i n o l o
υγείασ	i ʝ i a s
όσοι	o s i
άρεσε	a ɾ e s e
έλληνασ	e l i n a s
βιβλία	v i v l i a
γάμο	ɣ a m o
δωρεάν	ð o ɾ e a n
δύσκολο	ð i s k o l o
εδω	e ð o
κάντε	k a n d e
μέρη	m e ɾ i
μείνει	m i n i
πάρε	p a ɾ e
πανεπιστήμιο	p a n e p i s t i m i o
πούμε	p u m e
πρωθυπουργόσ	p ɾ o θ i p u ɾ ɣ o s
σημαντική	s i m a n d i c i
σοβαρά	s o v a ɾ a
συγκεκριμένα	s i ŋ ɟ e k ɾ i m e n a
ανήκει	a n i c i
βήμα	v i m a
γνωστό	ɣ n o s t o
δυστυχώσ	ð i s t i x o s
κόμμα	k o m a
λειτουργία	l i t u ɾ ʝ i a
μικρά	m i k ɾ a
νησί	n i s i
ξέρουν	k s e ɾ u n
περιοχήσ	p e ɾ i o ç i s
τέσσερισ	t e s e ɾ i s
τόσα	t o s a
υπουργείο	i p u ɾ ʝ i o
by	b a j
άνω	a n o
αιώνα	e o n a
αποτελούν	a p o t e l u n
εικόνεσ	i k o n e s
εξαιτίασ	e k s e t i a s
επιστροφή	e p i s t ɾ o f i
θεού	θ e u
κράτουσ	k ɾ a t u s
κύριο	c i ɾ i o
μιλάει	m i l a i
νέων	n e o n
φέρει	f e ɾ i
άντρα	a n d ɾ a
αθήνασ	a θ i n a s
διαφορά	ð i̯ a f o ɾ a
εξέλιξη	e k s e l i k s i
καιρόσ	c e ɾ o s
παίζει	p e z i
πανεπιστημίου	p a n e p i s t i m i u
έγιναν	e ʝ i n a n
απλώσ	a p l o s
αριστερά	a ɾ i s t e ɾ a
εξ	e k s
επιτέλουσ	e p i t e l u s
εταιρείασ	e t e ɾ i a s
εχεισ	e ç i s
νέοσ	n e o s
ξέρουμε	k s e ɾ u m e
φέτοσ	f e t o s
χρόνου	x ɾ o n u
άντρασ	a n d ɾ a s
ακούω	a k u o
δήμο	ð i m o
δήμοσ	ð i m o s
εθνικό	e θ n i k o
λίγεσ	l i ʝ e s
σημερινή	s i m e ɾ i n i
ταυτόχρονα	t a f t o x ɾ o n a
τού	t u
γράφει	ɣ ɾ a f i
δεσ	ð e s
είδη	i ð i
εισ	i s
εκατ	e k a t
ελλάδοσ	e l a ð o s
επαφή	e p a f i
ζήτησε	z i t i s e
λέτε	l e t e
μιλάμε	m i l a m e
πολιτικήσ	p o l i t i c i s
πολυ	p o l i
πόσα	p o s a
συνθήκεσ	s i n θ i c e s
τράπεζα	t ɾ a p e z a
τύποσ	t i p o s
αλλάξει	a l a k s i
βγει	v ʝ i
βρω	v ɾ o
δημήτρησ	ð i m i t ɾ i s
διαφορετικά	ð i̯ a f o ɾ e t i k a
εκπαίδευση	e k p e ð e f s i
επιτροπήσ	e p i t ɾ o p i s
ιστοσελίδα	i s t o s e l i ð a
κύριοσ	c i ɾ i o s
οικονομική	i k o n o m i c i
πήγα	p i ɣ a
παρέα	p a ɾ e a
παραγωγήσ	p a ɾ a ɣ o ʝ i s
πρώτεσ	p ɾ o t e s
ρούχα	ɾ u x a
σκηνή	s c i n i
συνέχισε	s i n e ç i s e
τελικό	t e l i k o
τζον	d͡z o n
έπεσε	e p e s e
αλλαγέσ	a l a ʝ e s
ανθρώπων	a n θ ɾ o p o n
βάροσ	v a ɾ o s
δήλωσε	ð i l o s e
επικεφαλήσ	e p i c e f a l i s
ευρώπησ	e v ɾ o p i s
ζει	z i
κανέναν	k a n e n a n
λειτουργεί	l i t u ɾ ʝ i
παρακάτω	p a ɾ a k a t o
πλάκα	p l a k a
πολίτεσ	p o l i t e s
στάση	s t a s i
υπήρξε	i p i ɾ k s e
φίλη	f i l i
φεστιβάλ	f e s t i v a l
άλλον	a l o n
ένωσησ	e n o s i s
ήθελε	i θ e l e
αεκ	a e k
αττικήσ	a t i c i s
βαθμό	v a θ m o
δημόσιο	ð i m o s i o
κοπέλα	k o p e l a
μεγάλοσ	m e ɣ a l o s
ολα	o l a
σημαντικά	s i m a n d i k a
τάξη	t a k s i
έστειλε	e s t i l e
έχοντασ	e x o n d a s
ασφαλείασ	a s f a l i a s
βλέπει	v l e p i
γίνουν	ʝ i n u n
γιατι	ʝ a t i
δημοτικό	ð i m o t i k o
διεθνή	ð i e θ n i
εντελώσ	e n d e l o s
εξωτερικό	e k s o t e ɾ i k o
θεωρείται	θ e o ɾ i t e
κατασκευή	k a t a s c e v i
μπει	b i
περισσότεροι	p e ɾ i s o t e ɾ i
προφανώσ	p ɾ o f a n o s
συλλόγου	s i l o ɣ u
σχολεία	s x o l i a
φύγει	f i ʝ i
έχασε	e x a s e
αναφέρεται	a n a f e ɾ e t e
αξία	a k s i a
δεξιά	ð e k s ç a
ιστορίασ	i s t o ɾ i a s
μείωση	m i o s i
οποίων	o p i o n
πάρεισ	p a ɾ i s
ποιον	p i o n
ποσοστό	p o s o s t o
συμβουλίου	s i ɱ v u l i u
συστήματοσ	s i s t i m a t o s
έτουσ	e t u s
απόσταση	a p o s t a s i
δικαιώματα	ð i c e o m a t a
εφαρμογή	e f a ɾ m o ʝ i
κατηγορίεσ	k a t i ɣ o ɾ i e s
κρήτησ	k ɾ i t i s
νδ	n ð
οπωσ	o p o s
περιπτώσεισ	p e ɾ i p t o s i s
σελίδα	s e l i ð a
στόχο	s t o x o
συνολικά	s i n o l i k a
σωστό	s o s t o
υπέροχο	i p e ɾ o x o
υπήρχαν	i p i ɾ x a n
όποιοσ	o p i o s
at	a t
ανακοίνωσε	a n a c i n o s e
ανακοίνωση	a n a c i n o s i
αργά	a ɾ ɣ a
βόρεια	v o ɾ i a
εκείνο	e c i n o
εκείνοσ	e c i n o s
επιχειρήσεισ	e p i ç i ɾ i s i s
ζώα	z o a
κρεβάτι	k ɾ e v a t i
λόγουσ	l o ɣ u s
μάθημα	m a θ i m a
μικρόσ	m i k ɾ o s
ολόκληρη	o l o k l i ɾ i
πάτε	p a t e
πρόεδρο	p ɾ o e ð ɾ o
σκέψη	s c e p s i
σπίτια	s p i t ç a
σωστή	s o s t i
τομέα	t o m e a
χρυσό	x ɾ i s o
new	n j u
έκανεσ	e k a n e s
έφερε	e f e ɾ e
ανάπτυξησ	a n a p t i k s i s
βρεισ	v ɾ i s
διακοπέσ	ð i̯ a k o p e s
εξουσία	e k s u s i a
καθηγητήσ	k a θ i ʝ i t i s
κανόνεσ	k a n o n e s
κατ	k a t
κώστασ	k o s t a s
λέξεισ	l e k s i s
μακεδονίασ	m a c e ð o n i a s
μπορούσαν	b o ɾ u s a n
πάρουν	p a ɾ u n
πολέμου	p o l e m u
φίλοσ	f i l o s
χάσει	x a s i
έδαφοσ	e ð a f o s
έργου	e ɾ ɣ u
έστω	e s t o
βασιλιά	v a s i ʎ a
βασιλιάσ	v a s i ʎ a s
γενική	ʝ e n i c i
γησ	ʝ i s
διάθεση	ð i̯ a θ e s i
διότι	ð i o t i
ευρωπαϊκή	e v ɾ o p a i c i
κάπωσ	k a p o s
καθένασ	k a θ e n a s
κινητό	c i n i t o
κομμάτια	k o m a t ç a
κτίριο	k t i ɾ i o
μέτρων	m e t ɾ o n
μνήμη	m n i m i
πολιτικό	p o l i t i k o
πρόσωπα	p ɾ o s o p a
ραντεβού	ɾ a n d e v u
στιγμέσ	s t i ɣ m e s
σώματοσ	s o m a t o s
φτάσει	f t a s i
ύψοσ	i p s o s
έγραψε	e ɣ ɾ a p s e
έπειτα	e p i t a
δικαστήριο	ð i k a s t i ɾ i o
δολάρια	ð o l a ɾ ʝ a
εταιρία	e t e ɾ i a
θεό	θ e o
κατάφερε	k a t a f e ɾ e
μάνα	m a n a
πεδίο	p e ð i o
ποιοι	p i i
προέδρου	p ɾ o e ð ɾ u
σεζόν	s e z o n
ταινίεσ	t e n i e s
de	d e
έφτασε	e f t a s e
βλέπουμε	v l e p u m e
γεγονότα	ʝ e ɣ o n o t a
διεύθυνση	ð i e f θ i n s i
εβδομάδεσ	e v ð o m a ð e s
εγω	e ɣ o
θανάτου	θ a n a t u
καλόσ	k a l o s
κεντρική	c e n d ɾ i c i
μέγεθοσ	m e ʝ e θ o s
μαθήματα	m a θ i m a t a
νησιά	n i s ç a
οικονομικών	i k o n o m i k o n
περιμένει	p e ɾ i m e n i
πλαίσιο	p l e s i o
πλανήτη	p l a n i t i
ποιόσ	p i o s
πόλεμοσ	p o l e m o s
τιμέσ	t i m e s
υπηρεσίεσ	i p i ɾ e s i e s
ύπνο	i p n o
βασικά	v a s i k a
γιάννη	ʝ a n i
γυναικών	ʝ i n e k o n
δήμαρχοσ	ð i m a ɾ x o s
δίνουν	ð i n u n
διάφορεσ	ð i̯ a f o ɾ e s
δύσκολη	ð i s k o l i
ελπίζω	e l p i z o
εύκολο	e f k o l o
ισχύει	i s ç i i
μοιάζει	m i a z i
μπήκε	b i c e
πίεση	p i e s i
παίκτεσ	p e k t e s
πειραιά	p i ɾ e a
πολιτισμού	p o l i t i z m u
πτώση	p t o s i
σταματήσει	s t a m a t i s i
όρουσ	o ɾ u s
for	f o ɾ
άνοιξε	a n i k s e
ακολουθεί	a k o l u θ i
βόλτα	v o l t a
γεννήθηκε	ʝ e n i θ i c e
δεδομένων	ð e ð o m e n o n
διευθυντήσ	ð i e f θ i n d i s
είπαν	i p a n
εργασία	e ɾ ɣ a s i a
λίγη	l i ʝ i
μόνοι	m o n i
νερού	n e ɾ u
ξαφνικά	k s a f n i k a
οκ	o k
περιμένουμε	p e ɾ i m e n u m e
πραγματοποιήθηκε	p ɾ a ɣ m a t o p i i θ i c e
πρεπει	p ɾ e p i
πρόσβαση	p ɾ o z v a s i
πόνο	p o n o
συστήματα	s i s t i m a t a
τωρα	t o ɾ a
φυλακή	f i l a c i
χώροσ	x o ɾ o s
άφησε	a f i s e
αγώνασ	a ɣ o n a s
αρκετέσ	a ɾ c e t e s
γνωστή	ɣ n o s t i
δρόμουσ	ð ɾ o m u s
ειμαι	i m e
ελληνικέσ	e l i n i c e s
επάνω	e p a n o
εποχήσ	e p o ç i s
κάναμε	k a n a m e
μένει	m e n i
μιλάσ	m i l a s
πραγματικό	p ɾ a ɣ m a t i k o
προσωπική	p ɾ o s o p i c i
σα	s a
σταθμό	s t a θ m o
συμβεί	s i ɱ v i
φύση	f i s i
news	n j u s
άγιοσ	a ʝ o s
άμεσα	a m e s a
δείχνουν	ð i x n u n
εκκλησίασ	e k l i s i a s
επιστολή	e p i s t o l i
ημέρασ	i m e ɾ a s
θάνατοσ	θ a n a t o s
καλέσ	k a l e s
μοναδική	m o n a ð i c i
μοναδικό	m o n a ð i k o
νόμο	n o m o
νότια	n o t ç a
πέσει	p e s i
πήραν	p i ɾ a n
πράξεισ	p ɾ a k s i s
προσπαθεί	p ɾ o s p a θ i
τέχνησ	t e x n i s
τελική	t e l i c i
τουρκίασ	t u ɾ c i a s
τρίτο	t ɾ i t o
χρειάζονται	x ɾ i a z o n d e
video	v i d e o
άλλαξε	a l a k s e
απαντήσεισ	a p a n d i s i s
απλό	a p l o
βγήκε	v ʝ i c e
βλέπετε	v l e p e t e
δηλώσεισ	ð i l o s i s
διαγωνισμό	ð i̯ a ɣ o n i z m o
εισαι	i s e
ενότητα	e n o t i t a
ερωτήσεισ	e ɾ o t i s i s
εχουμε	e x u m e
ζώνη	z o n i
ιστορίεσ	i s t o ɾ i e s
καθαρά	k a θ a ɾ a
μαθητέσ	m a θ i t e s
ολυμπιακόσ	o l i m b i a k o s
πίνακα	p i n a k a
περιβάλλον	p e ɾ i v a l o n
πηγέσ	p i ʝ e s
προσπάθησε	p ɾ o s p a θ i s e
ρεκόρ	ɾ e k o ɾ
σούπερ	s u p e ɾ
στρατό	s t ɾ a t o
στόχοσ	s t o x o s
υπόλοιπα	i p o l i p a
χρονικό	x ɾ o n i k o
έργων	e ɾ ɣ o n
αλ	a l
ανθρώπου	a n θ ɾ o p u
βουλευτέσ	v u l e f t e s
γίνω	ʝ i n o
δεδομένα	ð e ð o m e n a
ειδήσεισ	i ð i s i s
επιλογέσ	e p i l o ʝ e s
εσωτερικό	e s o t e ɾ i k o
ηθοποιόσ	i θ o p i o s
κατόπιν	k a t o p i n
λογαριασμό	l o ɣ a ɾ ʝ a z m o
μέρουσ	m e ɾ u s
μακεδονία	m a c e ð o n i a
μαλακίεσ	m a l a c i e s
μικρέσ	m i k ɾ e s
νόμοσ	n o m o s
πολιτικέσ	p o l i t i c e s
τω	t o
όντωσ	o n d o s
έμεινε	e m i n e
αλλάζει	a l a z i
αντικείμενα	a n d i c i m e n a
βουλήσ	v u l i s
βουλευτήσ	v u l e f t i s
δίκτυο	ð i k t i o
ελέγχου	e l e ŋ x u
ευτυχώσ	e f t i x o s
καθεστώσ	k a θ e s t o s
κείμενο	c i m e n o
λαόσ	l a o s
μήκοσ	m i k o s
ξεκινά	k s e c i n a
οδηγεί	o ð i ʝ i
ολοι	o l i
οποίουσ	o p i u s
πλήρη	p l i ɾ i
πόλεισ	p o l i s
φέρνει	f e ɾ n i
φυσικό	f i s i k o
ατόμων	a t o m o n
βρεθεί	v ɾ e θ i
γραμμέσ	ɣ ɾ a m e s
δίκαιο	ð i c e o
δολοφονία	ð o l o f o n i a
δυνατό	ð i n a t o
εμφανίζεται	e ɱ f a n i z e t e
επίσημη	e p i s i m i
καλύτεροσ	k a l i t e ɾ o s
κοίτα	c i t a
κορυφή	k o ɾ i f i
λάθη	l a θ i
ματσ	m a t͡s
νωρίσ	n o ɾ i s
οικονομικά	i k o n o m i k a
ολυμπιακό	o l i m b i a k o
οποιαδήποτε	o p i a ð i p o t e
παπούτσια	p a p u t͡s ç a
παράσταση	p a ɾ a s t a s i
προκαλεί	p ɾ o k a l i
σύλλογοσ	s i l o ɣ o s
τέλη	t e l i
τέτοιεσ	t e t i e s
χειρότερο	ç i ɾ o t e ɾ o
αγαπάσ	a ɣ a p a s
απίστευτο	a p i s t e f t o
διαμέρισμα	ð i̯ a m e ɾ i z m a
ενασ	e n a s
μεγάλησ	m e ɣ a l i s
μεταφορά	m e t a f o ɾ a
μονάδεσ	m o n a ð e s
μονο	m o n o
μουσικήσ	m u s i c i s
οικογένειασ	i k o ʝ e n i a s
ολόκληρο	o l o k l i ɾ o
πήγαινε	p i ʝ e n e
σκέψεισ	s c e p s i s
τελείωσε	t e l i o s e
τελευταίεσ	t e l e f t e e s
τομ	t o m
τριών	t ɾ i o n
χρήστη	x ɾ i s t i
έλεγα	e l e ɣ a
ακούσ	a k u s
αντίστοιχα	a n d i s t i x a
αφήνει	a f i n i
γινόταν	ʝ i n o t a n
γλυκό	ɣ l i k o
διεθνέσ	ð i e θ n e s
διεθνούσ	ð i e θ n u s
είδε	i ð e
εννοείσ	e n o i s
εξωτερικών	e k s o t e ɾ i k o n
επιστρέψει	e p i s t ɾ e p s i
λαό	l a o
μίλησε	m i l i s e
μελών	m e l o n
νιώθεισ	ɲ o θ i s
οδηγόσ	o ð i ɣ o s
περαιτέρω	p e ɾ e t e ɾ o
πολιτικά	p o l i t i k a
προφίλ	p ɾ o f i l
στάδιο	s t a ð i o
συγγραφέασ	s i ŋ ɣ r a f e a s
συνεχίζει	s i n e ç i z i
συνεχώσ	s i n e x o s
υπάρξει	i p a ɾ k s i
χειμώνα	ç i m o n a
χρησιμοποιείται	x ɾ i s i m o p i i t e
χρυσή	x ɾ i s i
χρόνων	x ɾ o n o n
απολύτωσ	a p o l i t o s
βαθμούσ	v a θ m u s
δημήτρη	ð i m i t ɾ i
διαφορετικέσ	ð i̯ a f o ɾ e t i c e s
διαφορετικό	ð i̯ a f o ɾ e t i k o
επίσημα	e p i s i m a
επίσκεψη	e p i s c e p s i
ιστορικό	i s t o ɾ i k o
κάτσε	k a t͡s e
κοινωνική	c i n o n i c i
κόμματοσ	k o m a t o s
κώλο	k o l o
μπαρ	b a ɾ
παιδείασ	p e ð i a s
περιμένεισ	p e ɾ i m e n i s
συγκέντρωση	s i ŋ ɟ e n d ɾ o s i
τεράστια	t e ɾ a s t ç a
άκρη	a k ɾ i
αίματοσ	e m a t o s
αντίθετα	a n d i θ e t a
απόλυτα	a p o l i t a
δρόμοσ	ð ɾ o m o s
είπεσ	i p e s
εκδηλώσεισ	e k ð i l o s i s
ελεύθερη	e l e f θ e ɾ i
ελληνικών	e l i n i k o n
κατι	k a t i
κιόλασ	c o l a s
κρίμα	k ɾ i m a
νέοι	n e i
νεκρόσ	n e k ɾ o s
πολλών	p o l o n
πράγματι	p ɾ a ɣ m a t i
πρόσφατα	p ɾ o s f a t a
στρατιώτεσ	s t ɾ a t ç o t e s
συγκεκριμένο	s i ŋ ɟ e k ɾ i m e n o
