the	t e
red	ʁ ɛ d͡ʒ
ricos	ʁ i k o s
riscos	ʁ i s k o s
seguido	s e ɡ i d o
setores	s e t o ɾ e s
testemunhas	t e s t e m u ɲ a s
this	t i s
acontecimentos	a k õ t e s i m ẽ t o s
atingiu	a t͡ʃ ĩ ʒ i w
atitudes	a t͡ʃ i t u d e s
bill	b i w
ce	s e
classes	k l a s e s
define	d e f i n e
encontrados	ĩ k õ t ɾ a d o s
externa	e s t ɛ ɻ n ɐ
federais	f e d e ɾ a j s
free	f ɾ e e
ondas	õ d a s
open	o p ẽ j̃
receberam	ʁ e s e b e ɾ ɐ̃ w̃
reuniões	ʁ e w n i õ j̃ s
revolta	ʁ e v ɔ w t a
street	i s t ɾ i t͡ʃ
tim	t͡ʃ ĩ
angeles	ɐ̃ ʒ ɛ l e s
anna	ɐ n a
companhias	k õ p ɐ ɲ i a s
concordo	k õ k o ɻ d u
decide	d e s i d e
diretora	d͡ʒ i ɾ e t o ɾ a
envolvido	ĩ v o w v i d o
esperamos	e s p e ɾ ɐ m o s
estatísticas	e s t a t͡ʃ i s t͡ʃ i k a s
explicou	e s p l i k o
fatores	f a t o ɾ e s
governos	ɡ o v ɛ ɻ n u s
graves	ɡ ɾ a v e s
humanas	u m ɐ n a s
imagine	i m a ʒ i n e
integrantes	ĩ t e ɡ ɾ ɐ̃ t e s
inúmeras	i n u m e ɾ a s
joe	ʒ ɔ e
parceiros	p a ɻ s e j ɾ u s
positiva	p o z i t͡ʃ i v a
sarah	s a ɾ a
surge	s u ɻ ʒ i
técnicos	t ɛ k i n i k o s
acabam	a k a b ɐ̃ w̃
alterações	a w t e ɾ a s õ j̃ s
antónio	ɐ̃ t ɔ n i o
ativa	a t͡ʃ i v a
básica	b a z i k a
causou	k a w z o
circunstâncias	s i ɻ k ũ s t ɐ̃ s i ɐ s
comunicações	k o m u n i k a s õ j̃ s
descobre	d e s k ɔ b ɾ e
ep	ɛ p e
escritos	e s k ɾ i t o s
graus	ɡ ɾ a w s
investimentos	ĩ v e s t͡ʃ i m ẽ t o s
jackson	ʒ a k i s õ
les	l e j s
madrid	m a d ɾ i d͡ʒ
manifestações	m a n i f e s t a s õ j̃ s
or	o ɻ
relatórios	ʁ e l a t ɔ ɾ i o s
revistas	ʁ e v i s t a s
salários	s a l a ɾ i o s
steve	i s t ɛ v e
voltei	v o w t e j
zonas	z o n a s
índios	ĩ d͡ʒ i o s
charlie	ʃ a ɻ l i
clubes	k l u b e s
coletiva	k o l e t͡ʃ i v a
conselhos	k õ s e ʎ o s
construído	k õ s t ɾ u i d o
críticos	k ɾ i t͡ʃ i k o s
dezenas	d e z e n a s
encontros	ĩ k õ t ɾ o s
envolve	ĩ v ɔ w v e
episódios	e p i z ɔ d͡ʒ i o s
famosos	f a m o z o s
gil	ʒ i w
ligados	l i ɡ a d o s
marcada	m a ɻ k a d ɐ
opiniões	o p i n i õ j̃ s
palmeiras	p a w m e j ɾ a s
sugere	s u ʒ ɛ ɾ e
superiores	s u p e ɾ i ɔ ɾ e s
acusações	a k u z a s õ j̃ s
cartões	k a ɻ t õ j̃ s
esportes	e s p ɔ ɻ t͡ʃ i s
estações	e s t a s õ j̃ s
formada	f o ɻ m a d ɐ
instruções	ĩ s t ɾ u s õ j̃ s
interessa	ĩ t e ɾ ɛ s a
interessado	ĩ t e ɾ e s a d o
mike	m a j k e
permitindo	p e ɻ m i t͡ʃ ĩ d u
postou	p o s t o
reúne	ʁ e u n e
segredos	s e ɡ ɾ e d o s
star	i s t a
that	t a t͡ʃ
thomas	t o m a s
ambientais	ɐ̃ b i ẽ t a j s
apresentando	a p ɾ e z ẽ t ɐ̃ d o
assinado	a s i n a d o
aviões	a v i õ j̃ s
câmeras	k ɐ m e ɾ a s
decidi	d e s i d͡ʒ i
encontramos	ĩ k õ t ɾ ɐ m o s
evidências	e v i d ẽ s i a s
fronteiras	f ɾ õ t e j ɾ a s
imagino	i m a ʒ i n o
independentes	ĩ d e p ẽ d ẽ t e s
mantendo	m ɐ̃ t ẽ d o
quadrinhos	k w a d ɾ i ɲ o s
resultou	ʁ e z u w t o
sam	s ɐ̃ w̃
acção	a k s ɐ̃ w̃
americanas	a m e ɾ i k ɐ n a s
anunciado	a n ũ s i a d o
assume	a s u m e
brincando	b ɾ ĩ k ɐ̃ d o
comentou	k o m ẽ t o
construída	k õ s t ɾ u i d a
culturas	k u w t u ɾ a s
demonstra	d e m õ s t ɾ a
direcção	d͡ʒ i ɾ e k s ɐ̃ w̃
email	e m a j w
escravos	e s k ɾ a v o s
exige	e z i ʒ e
ficaria	f i k a ɾ i a
figuras	f i ɡ u ɾ a s
florestas	f l o ɾ ɛ s t a s
lindas	l ĩ d a s
lutas	l u t a s
manteve	m ɐ̃ t ɛ v e
prémio	p ɾ ɛ m i o
publicados	p u b l i k a d o s
ray	ʁ e j
re	ʁ e
representam	ʁ e p ɾ e z ẽ t ɐ̃ w̃
rurais	ʁ u ɾ a j s
seguros	s e ɡ u ɾ o s
cia	s i a
cuidados	k u j d a d o s
descreve	d e s k ɾ ɛ v e
emoções	e m o s õ j̃ s
empresários	ĩ p ɾ e z a ɾ i o s
encontraram	ĩ k õ t ɾ a ɾ ɐ̃ w̃
escolhas	e s k o ʎ a s
escrevi	e s k ɾ e v i
género	ʒ ɛ n e ɾ o
imigrantes	i m i ɡ ɾ ɐ̃ t e s
interessados	ĩ t e ɾ e s a d o s
ligada	l i ɡ a d a
mundiais	m ũ d͡ʒ i a j s
prêmios	p ɾ e m i o s
reconhecido	ʁ e k o ɲ e s i d o
reservas	ʁ e z ɛ ɻ v ɐ s
toneladas	t o n e l a d a s
un	ũ
administrativa	a d͡ʒ i m i n i s t ɾ a t͡ʃ i v a
ajudá	a ʒ u d a
amei	a m e j
apresentações	a p ɾ e z ẽ t a s õ j̃ s
armadas	a ɻ m a d ɐ s
bebidas	b e b i d a s
botafogo	b o t a f o ɡ o
cansada	k ɐ̃ s a d a
destacou	d e s t a k o
encontradas	ĩ k õ t ɾ a d a s
entrei	ĩ t ɾ e j
entrevistas	ĩ t ɾ e v i s t a s
escolheu	e s k o ʎ e w
esqueceu	e s k e s e w
indústrias	ĩ d u s t ɾ i a s
king	k ĩ
necessárias	n e s e s a ɾ i a s
nelson	n e w s õ
plataformas	p l a t a f ɔ ɻ m ɐ s
play	p l e j
preocupa	p ɾ e o k u p a
referências	ʁ e f e ɾ ẽ s i a s
resolveu	ʁ e z o w v e w
turistas	t u ɾ i s t a s
aliados	a l i a d o s
aponta	a p õ t a
atingido	a t͡ʃ ĩ ʒ i d o
brian	b ɾ i ɐ̃
cantando	k ɐ̃ t ɐ̃ d o
chegamos	ʃ e ɡ ɐ m o s
criminosos	k ɾ i m i n o z o s
critérios	k ɾ i t ɛ ɾ i o s
entraram	ĩ t ɾ a ɾ ɐ̃ w̃
estaduais	e s t a d u a j s
fornece	f o ɻ n ɛ s i
gerações	ʒ e ɾ a s õ j̃ s
investigações	ĩ v e s t͡ʃ i ɡ a s õ j̃ s
ligo	l i ɡ o
matérias	m a t ɛ ɾ i a s
necessários	n e s e s a ɾ i o s
negociações	n e ɡ o s i a s õ j̃ s
novidades	n o v i d a d e s
prisioneiros	p ɾ i z i o n e j ɾ o s
quadros	k w a d ɾ o s
torcedores	t o ɻ s e d o ɾ i s
adam	a d ɐ̃ w̃
agências	a ʒ ẽ s i a s
associações	a s o s i a s õ j̃ s
aumentou	a w m ẽ t o
bandas	b ɐ̃ d a s
buenos	b u e n o s
cargos	k a ɻ ɡ u s
divulgado	d͡ʒ i v u w ɡ a d o
inúmeros	i n u m e ɾ o s
passagens	p a s a ʒ ẽ j̃ s
pesquisadores	p e s k i z a d o ɾ e s
plena	p l e n a
poderosa	p o d e ɾ ɔ z a
possibilidades	p o s i b i l i d a d e s
preparando	p ɾ e p a ɾ ɐ̃ d o
prof	p ɾ ɔ f
realiza	ʁ e a l i z a
reconhece	ʁ e k o ɲ ɛ s e
relatos	ʁ e l a t o s
únicos	u n i k o s
alternativas	a w t e ɻ n a t͡ʃ i v ɐ s
aprovada	a p ɾ o v a d a
assassinado	a s a s i n a d o
conceitos	k õ s e j t o s
contribuições	k õ t ɾ i b u i s õ j̃ s
democrática	d e m o k ɾ a t͡ʃ i k a
empregos	ĩ p ɾ e ɡ o s
encontre	ĩ k õ t ɾ e
faltam	f a w t ɐ̃ w̃
junior	ʒ u n i o ɻ
ouvidos	o v i d o s
populações	p o p u l a s õ j̃ s
reformas	ʁ e f ɔ ɻ m ɐ s
simon	s i m õ
sintomas	s ĩ t o m a s
vencedores	v ẽ s e d o ɾ e s
vitórias	v i t ɔ ɾ i a s
android	ɐ̃ d ɾ ɔ j d͡ʒ
aplicações	a p l i k a s õ j̃ s
apresentada	a p ɾ e z ẽ t a d a
assumiu	a s u m i w
aumentando	a w m ẽ t ɐ̃ d o
ba	b a
causando	k a w z ɐ̃ d o
contemporânea	k õ t ẽ p o ɾ ɐ n e a
discussões	d͡ʒ i s k u s õ j̃ s
durou	d u ɾ o
itens	i t ẽ j̃ s
mini	m i n i
mudando	m u d ɐ̃ d o
nasce	n a s e
normas	n ɔ ɻ m ɐ s
odeia	o d ɛ j a
procure	p ɾ o k u ɾ e
promovido	p ɾ o m o v i d o
tentativas	t ẽ t a t͡ʃ i v a s
volte	v ɔ w t e
árabes	a ɾ a b e s
actualmente	a k t u a w m ẽ t e
associados	a s o s i a d o s
carol	k a ɾ ɔ w
componentes	k õ p o n ẽ t e s
conquistou	k õ k i s t o
continuo	k õ t͡ʃ i n u o
dan	d ɐ̃
don	d õ
edições	e d͡ʒ i s õ j̃ s
eleitores	e l e j t o ɾ e s
eletrônicos	e l e t ɾ o n i k o s
gera	ʒ ɛ ɾ a
long	l õ
lutando	l u t ɐ̃ d o
mandei	m ɐ̃ d e j
mentiras	m ẽ t͡ʃ i ɾ a s
músicos	m u z i k o s
ocupa	o k u p a
percebeu	p e ɻ s e b e w
perderam	p e ɻ d e ɾ ɐ̃ w̃
protecção	p ɾ o t e k s ɐ̃ w̃
sessões	s e s õ j̃ s
st	i s t e
thiago	t i a ɡ o
tradições	t ɾ a d͡ʒ i s õ j̃ s
videos	v i d e o s
visa	v i z a
actual	a k t u a w
apaixonada	a p a j ʃ o n a d a
aprendeu	a p ɾ ẽ d e w
ativos	a t͡ʃ i v o s
bombeiros	b õ b e j ɾ o s
chegue	ʃ ɛ ɡ e
começamos	k o m e s ɐ m o s
down	d a w̃
faixas	f a j ʃ a s
green	ɡ ɾ e ẽ j̃
históricos	i s t ɔ ɾ i k o s
incríveis	ĩ k ɾ i v e j s
inter	ĩ t e
jones	ʒ o n e s
julia	ʒ u l i a
libertadores	l i b e ɻ t a d o ɾ i s
ofereceu	o f e ɾ e s e w
policia	p o l i s i a
semi	s e m i
vende	v ẽ d e
acidentes	a s i d ẽ t e s
ameaças	a m e a s a s
argumentos	a ɻ ɡ u m ẽ t u s
bandidos	b ɐ̃ d͡ʒ i d o s
bbc	b e b e s e
defendeu	d e f ẽ d e w
dependendo	d e p ẽ d ẽ d o
empregados	ĩ p ɾ e ɡ a d o s
estarem	e s t a ɾ ẽ j̃
financeiros	f i n ɐ̃ s e j ɾ o s
ingressos	ĩ ɡ ɾ ɛ s o s
inicia	i n i s i a
iphone	i f o n e
jurídica	ʒ u ɾ i d͡ʒ i k a
legislativa	l e ʒ i z l a t͡ʃ i v a
lembranças	l ẽ b ɾ ɐ̃ s a s
mudaram	m u d a ɾ ɐ̃ w̃
permitem	p e ɻ m i t ẽ j̃
permitido	p e ɻ m i t͡ʃ i d u
produzida	p ɾ o d u z i d a
proprietários	p ɾ o p ɾ i e t a ɾ i o s
recusou	ʁ e k u z o
rose	ʁ ɔ z e
saíram	s a i ɾ ɐ̃ w̃
séria	s ɛ ɾ i a
wilson	w i w s õ
atinge	a t͡ʃ ĩ ʒ e
blocos	b l ɔ k o s
can	k ɐ̃
conhecidas	k o ɲ e s i d a s
contendo	k õ t ẽ d o
corta	k ɔ ɻ t ɐ
descreveu	d e s k ɾ e v e w
descubra	d e s k u b ɾ a
doces	d ɔ s e s
duvido	d u v i d o
econômicas	e k o n o m i k a s
estacionamento	e s t a s i o n a m ẽ t o
ganhei	ɡ ɐ ɲ e j
informa	ĩ f ɔ ɻ m ɐ
iniciais	i n i s i a j s
interessantes	ĩ t e ɾ e s ɐ̃ t e s
manoel	m a n o ɛ w
melo	m ɛ l o
pan	p ɐ̃
parentes	p a ɾ ẽ t e s
pp	p e p e
privadas	p ɾ i v a d a s
protestos	p ɾ o t ɛ s t o s
reações	ʁ e a s õ j̃ s
roger	ʁ o ʒ e
sofrendo	s o f ɾ ẽ d o
tendências	t ẽ d ẽ s i a s
aceitou	a s e j t o
american	a m e ɾ i k ɐ̃
balas	b a l a s
brazil	b ɾ a z i w
dedicada	d e d͡ʒ i k a d a
ensina	ĩ s i n a
específica	e s p e s i f i k a
estratégias	e s t ɾ a t ɛ ʒ i a s
falhas	f a ʎ a s
inscrições	ĩ s k ɾ i s õ j̃ s
internos	ĩ t ɛ ɻ n u s
jane	ʒ ɐ n e
lisa	l i z a
mantido	m ɐ̃ t͡ʃ i d o
mercados	m e ɻ k a d u s
motores	m o t o ɾ e s
ocorrem	o k o ʁ ẽ j̃
preocupada	p ɾ e o k u p a d a
raios	ʁ a j o s
suspeitos	s u s p e j t o s
tentam	t ẽ t ɐ̃ w̃
tentaram	t ẽ t a ɾ ɐ̃ w̃
territórios	t e ʁ i t ɔ ɾ i o s
afirmando	a f i ɻ m ɐ̃ d u
age	a ʒ e
anuncia	a n ũ s i a
bebês	b e b e j s
celulares	s e l u l a ɾ e s
chuvas	ʃ u v a s
con	k õ
desenvolvidos	d e z ĩ v o w v i d o s
edifícios	e d͡ʒ i f i s i o s
feridos	f e ɾ i d o s
guerras	ɡ ɛ ʁ a s
jim	ʒ ĩ
kelly	k ɛ l i
mix	m i k s
musicais	m u z i k a j s
obteve	o b i t ɛ v e
parlamentares	p a ɻ l a m ẽ t a ɾ i s
produzidos	p ɾ o d u z i d o s
prometo	p ɾ o m e t o
remédios	ʁ e m ɛ d͡ʒ i o s
tarefas	t a ɾ ɛ f a s
tratados	t ɾ a t a d o s
