να	n a
καμιά	k a m ɲ a
κόσμου	k o z m u
μερικέσ	m e ɾ i c e s
συνήθωσ	s i n i θ o s
συχνά	s i x n a
χώρεσ	x o ɾ e s
αρέσει	a ɾ e s i
θεσσαλονίκησ	θ e s a l o n i c i s
πάνε	p a n e
ταινία	t e n i a
είπα	i p a
ελληνικήσ	e l i n i c i s
επίθεση	e p i θ e s i
επίπεδο	e p i p e ð o
πληροφορίεσ	p l i ɾ o f o ɾ i e s
τύπου	t i p u
ήθελα	i θ e l a
βρίσκονται	v ɾ i s k o n d e
γιοσ	ʝ o s
γονείσ	ɣ o n i s
κυβέρνησησ	c i v e ɾ n i s i s
μήνα	m i n a
μόνοσ	m o n o s
πήγε	p i ʝ e
πόλησ	p o l i s
μένα	m e n a
τί	t i
υπήρχε	i p i ɾ ç e
υπουργόσ	i p u ɾ ɣ o s
εχω	e x o
μόνη	m o n i
φωτογραφίεσ	f o t o ɣ r a f i e s
έκανα	e k a n a
αυτήσ	a f t i s
βίντεο	v i n d e o
λόγοσ	l o ɣ o s
νέασ	n e a s
ομάδασ	o m a ð a s
πέρα	p e ɾ a
σκοπό	s k o p o
φωσ	f o s
δεύτερη	ð e f t e ɾ i
εντόσ	e n d o s
θάλασσα	θ a l a s a
πορεία	p o ɾ i a
έλεγχο	e l e ŋ x o
αλλα	a l a
αλλιώσ	a ʎ o s
δυνάμεισ	ð i n a m i s
θέλουμε	θ e l u m e
μεγαλύτερο	m e ɣ a l i t e ɾ o
μορφή	m o ɾ f i
όλων	o l o n
έκαναν	e k a n a n
αντί	a n d i
γιώργοσ	ʝ o ɾ ɣ o s
είδα	i ð a
εχει	e ç i
μέλλον	m e l o n
μέση	m e s i
νέεσ	n e e s
πέρασε	p e ɾ a s e
ρόλο	ɾ o l o
όνομά	o n o m a
δείχνει	ð i x n i
δεύτερο	ð e f t e ɾ o
εμάσ	e m a s
εργασίασ	e ɾ ɣ a s i a s
ημέρεσ	i m e ɾ e s
μέλοσ	m e l o s
ομάδεσ	o m a ð e s
πραγματικότητα	p ɾ a ɣ m a t i k o t i t a
πόλεμο	p o l e m o
τρόποσ	t ɾ o p o s
υπόθεση	i p o θ e s i
έργα	e ɾ ɣ a
έρθει	e ɾ θ i
ανά	a n a
απέναντι	a p e n a n d i
αριθμό	a ɾ i θ m o
είδοσ	i ð o s
λίγα	l i ɣ a
μεγάλεσ	m e ɣ a l e s
μερικά	m e ɾ i k a
περιοχέσ	p e ɾ i o ç e s
σένα	s e n a
σχέσεισ	s ç e s i s
τίτλο	t i t l o
τύπο	t i p o
φίλουσ	f i l u s
άνθρωπο	a n θ ɾ o p o
γιάννησ	ʝ a n i s
δημιουργία	ð i m i u ɾ ʝ i a
θάνατο	θ a n a t o
κατηγορία	k a t i ɣ o ɾ i a
κομμάτι	k o m a t i
ξέρετε	k s e ɾ e t e
ξεκίνησε	k s e c i n i s e
πάντωσ	p a n d o s
πείτε	p i t e
αθηνών	a θ i n o n
αυτοκίνητο	a f t o c i n i t o
ελα	e l a
εσένα	e s e n a
κα	k a
παράλληλα	p a ɾ a l i l a
πρώτοσ	p ɾ o t o s
αγώνεσ	a ɣ o n e s
αριθμόσ	a ɾ i θ m o s
δισ	ð i s
ενδιαφέρον	e n ð i̯ a f e ɾ o n
εσάσ	e s a s
κρίση	k ɾ i s i
μαμά	m a m a
νέου	n e u
νίκοσ	n i k o s
πάρω	p a ɾ o
πήρα	p i ɾ a
στ	s t
τέτοιο	t e t i o
χιλιάδεσ	ç i ʎ a ð e s
χρόνοσ	x ɾ o n o s
αέρα	a e ɾ a
δικά	ð i k a
είδουσ	i ð u s
εξήσ	e k s i s
επιτροπή	e p i t ɾ o p i
μάχη	m a ç i
έλεγε	e l e ʝ e
γενικά	ʝ e n i k a
ειδικά	i ð i k a
ετσι	e t͡s i
θεόσ	θ e o s
ιδέα	i ð e a
κανένασ	k a n e n a s
παρουσία	p a ɾ u s i a
τηλέφωνο	t i l e f o n o
όσουσ	o s u s
άντρεσ	a n d ɾ e s
έτοσ	e t o s
βρέθηκε	v ɾ e θ i c e
γκολ	ɡ o l
εε	e e
εθνικήσ	e θ n i c i s
ελληνικού	e l i n i k u
επόμενο	e p o m e n o
κάνε	k a n e
οταν	o t a n
πολλούσ	p o l u s
σεξ	s e k s
συνεργασία	s i n e ɾ ɣ a s i a
σωστά	s o s t a
σύντομα	s i n d o m a
διαδικασία	ð i̯ a ð i k a s i a
εύκολα	e f k o l a
κίνηση	c i n i s i
μεγάλα	m e ɣ a l a
σύνολο	s i n o l o
υγείασ	i ʝ i a s
όσοι	o s i
άρεσε	a ɾ e s e
έλληνασ	e l i n a s
βιβλία	v i v l i a
γάμο	ɣ a m o
δωρεάν	ð o ɾ e a n
δύσκολο	ð i s k o l o
εδω	e ð o
μέρη	m e ɾ i
μείνει	m i n i
πάρε	p a ɾ e
πούμε	p u m e
πρωθυπουργόσ	p ɾ o θ i p u ɾ ɣ o s
σημαντική	s i m a n d i c i
σοβαρά	s o v a ɾ a
συγκεκριμένα	s i ŋ ɟ e k ɾ i m e n a
βήμα	v i m a
γνωστό	ɣ n o s t o
δυστυχώσ	ð i s t i x o s
κόμμα	k o m a
λειτουργία	l i t u ɾ ʝ i a
μικρά	m i k ɾ a
νησί	n i s i
ξέρουν	k s e ɾ u n
περιοχήσ	p e ɾ i o ç i s
τέσσερισ	t e s e ɾ i s
τόσα	t o s a
υπουργείο	i p u ɾ ʝ i o
άνω	a n o
αιώνα	e o n a
αποτελούν	a p o t e l u n
εικόνεσ	i k o n e s
εξαιτίασ	e k s e t i a s
επιστροφή	e p i s t ɾ o f i
θεού	θ e u
κράτουσ	k ɾ a t u s
κύριο	c i ɾ i o
μιλάει	m i l a i
νέων	n e o n
άντρα	a n d ɾ a
αθήνασ	a θ i n a s
διαφορά	ð i̯ a f o ɾ a
εξέλιξη	e k s e l i k s i
καιρόσ	c e ɾ o s
παίζει	p e z i
πανεπιστημίου	p a n e p i s t i m i u
έγιναν	e ʝ i n a n
απλώσ	a p l o s
αριστερά	a ɾ i s t e ɾ a
εξ	e k s
επιτέλουσ	e p i t e l u s
εταιρείασ	e t e ɾ i a s
εχεισ	e ç i s
νέοσ	n e o s
ξέρουμε	k s e ɾ u m e
φέτοσ	f e t o s
άντρασ	a n d ɾ a s
ακούω	a k u o
δήμο	ð i m o
δήμοσ	ð i m o s
εθνικό	e θ n i k o
σημερινή	s i m e ɾ i n i
ταυτόχρονα	t a f t o x ɾ o n a
τού	t u
δεσ	ð e s
είδη	i ð i
εισ	i s
εκατ	e k a t
ελλάδοσ	e l a ð o s
επαφή	e p a f i
ζήτησε	z i t i s e
λέτε	l e t e
μιλάμε	m i l a m e
πολιτικήσ	p o l i t i c i s
πολυ	p o l i
πόσα	p o s a
συνθήκεσ	s i n θ i c e s
τράπεζα	t ɾ a p e z a
τύποσ	t i p o s
αλλάξει	a l a k s i
βγει	v ʝ i
βρω	v ɾ o
δημήτρησ	ð i m i t ɾ i s
διαφορετικά	ð i̯ a f o ɾ e t i k a
εκπαίδευση	e k p e ð e f s i
επιτροπήσ	e p i t ɾ o p i s
ιστοσελίδα	i s t o s e l i ð a
κύριοσ	c i ɾ i o s
οικονομική	i k o n o m i c i
παρέα	p a ɾ e a
παραγωγήσ	p a ɾ a ɣ o ʝ i s
πρώτεσ	p ɾ o t e s
ρούχα	ɾ u x a
σκηνή	s c i n i
συνέχισε	s i n e ç i s e
τελικό	t e l i k o
έπεσε	e p e s e
αλλαγέσ	a l a ʝ e s
ανθρώπων	a n θ ɾ o p o n
βάροσ	v a ɾ o s
δήλωσε	ð i l o s e
επικεφαλήσ	e p i c e f a l i s
ευρώπησ	e v ɾ o p i s
ζει	z i
κανέναν	k a n e n a n
λειτουργεί	l i t u ɾ ʝ i
παρακάτω	p a ɾ a k a t o
πλάκα	p l a k a
πολίτεσ	p o l i t e s
στάση	s t a s i
φίλη	f i l i
άλλον	a l o n
ένωσησ	e n o s i s
ήθελε	i θ e l e
αεκ	a e k
αττικήσ	a t i c i s
βαθμό	v a θ m o
δημόσιο	ð i m o s i o
κοπέλα	k o p e l a
μεγάλοσ	m e ɣ a l o s
ολα	o l a
σημαντικά	s i m a n d i k a
έστειλε	e s t i l e
έχοντασ	e x o n d a s
ασφαλείασ	a s f a l i a s
βλέπει	v l e p i
γίνουν	ʝ i n u n
γιατι	ʝ a t i
δημοτικό	ð i m o t i k o
εντελώσ	e n d e l o s
θεωρείται	θ e o ɾ i t e
κατασκευή	k a t a s c e v i
προφανώσ	p ɾ o f a n o s
συλλόγου	s i l o ɣ u
σχολεία	s x o l i a
φύγει	f i ʝ i
έχασε	e x a s e
αναφέρεται	a n a f e ɾ e t e
αξία	a k s i a
μείωση	m i o s i
οποίων	o p i o n
πάρεισ	p a ɾ i s
ποσοστό	p o s o s t o
συμβουλίου	s i ɱ v u l i u
συστήματοσ	s i s t i m a t o s
έτουσ	e t u s
απόσταση	a p o s t a s i
δικαιώματα	ð i c e o m a t a
εφαρμογή	e f a ɾ m o ʝ i
κατηγορίεσ	k a t i ɣ o ɾ i e s
νδ	n ð
περιπτώσεισ	p e ɾ i p t o s i s
σελίδα	s e l i ð a
στόχο	s t o x o
συνολικά	s i n o l i k a
σωστό	s o s t o
υπέροχο	i p e ɾ o x o
υπήρχαν	i p i ɾ x a n
ανακοίνωσε	a n a c i n o s e
ανακοίνωση	a n a c i n o s i
αργά	a ɾ ɣ a
βόρεια	v o ɾ i a
εκείνο	e c i n o
εκείνοσ	e c i n o s
ζώα	z o a
κρεβάτι	k ɾ e v a t i
λόγουσ	l o ɣ u s
μάθημα	m a θ i m a
μικρόσ	m i k ɾ o s
πάτε	p a t e
πρόεδρο	p ɾ o e ð ɾ o
σκέψη	s c e p s i
σπίτια	s p i t ç a
σωστή	s o s t i
τομέα	t o m e a
χρυσό	x ɾ i s o
έκανεσ	e k a n e s
έφερε	e f e ɾ e
βρεισ	v ɾ i s
εξουσία	e k s u s i a
καθηγητήσ	k a θ i ʝ i t i s
κανόνεσ	k a n o n e s
κατ	k a t
κώστασ	k o s t a s
λέξεισ	l e k s i s
μακεδονίασ	m a c e ð o n i a s
πάρουν	p a ɾ u n
πολέμου	p o l e m u
φίλοσ	f i l o s
χάσει	x a s i
έδαφοσ	e ð a f o s
έστω	e s t o
βασιλιά	v a s i ʎ a
βασιλιάσ	v a s i ʎ a s
γενική	ʝ e n i c i
γησ	ʝ i s
διάθεση	ð i̯ a θ e s i
διότι	ð i o t i
κάπωσ	k a p o s
καθένασ	k a θ e n a s
κινητό	c i n i t o
κομμάτια	k o m a t ç a
κτίριο	k t i ɾ i o
μνήμη	m n i m i
πολιτικό	p o l i t i k o
στιγμέσ	s t i ɣ m e s
σώματοσ	s o m a t o s
φτάσει	f t a s i
ύψοσ	i p s o s
έπειτα	e p i t a
δικαστήριο	ð i k a s t i ɾ i o
δολάρια	ð o l a ɾ ʝ a
εταιρία	e t e ɾ i a
θεό	θ e o
κατάφερε	k a t a f e ɾ e
μάνα	m a n a
πεδίο	p e ð i o
ποιοι	p i i
προέδρου	p ɾ o e ð ɾ u
σεζόν	s e z o n
ταινίεσ	t e n i e s
έφτασε	e f t a s e
βλέπουμε	v l e p u m e
γεγονότα	ʝ e ɣ o n o t a
διεύθυνση	ð i e f θ i n s i
εβδομάδεσ	e v ð o m a ð e s
εγω	e ɣ o
θανάτου	θ a n a t u
καλόσ	k a l o s
μέγεθοσ	m e ʝ e θ o s
μαθήματα	m a θ i m a t a
νησιά	n i s ç a
οικονομικών	i k o n o m i k o n
πλαίσιο	p l e s i o
πλανήτη	p l a n i t i
ποιόσ	p i o s
πόλεμοσ	p o l e m o s
τιμέσ	t i m e s
υπηρεσίεσ	i p i ɾ e s i e s
ύπνο	i p n o
βασικά	v a s i k a
γιάννη	ʝ a n i
δήμαρχοσ	ð i m a ɾ x o s
δίνουν	ð i n u n
δύσκολη	ð i s k o l i
ελπίζω	e l p i z o
εύκολο	e f k o l o
ισχύει	i s ç i i
μπήκε	b i c e
πίεση	p i e s i
πειραιά	p i ɾ e a
πολιτισμού	p o l i t i z m u
πτώση	p t o s i
σταματήσει	s t a m a t i s i
άνοιξε	a n i k s e
ακολουθεί	a k o l u θ i
βόλτα	v o l t a
γεννήθηκε	ʝ e n i θ i c e
δεδομένων	ð e ð o m e n o n
διευθυντήσ	ð i e f θ i n d i s
είπαν	i p a n
εργασία	e ɾ ɣ a s i a
λίγη	l i ʝ i
μόνοι	m o n i
νερού	n e ɾ u
οκ	o k
πραγματοποιήθηκε	p ɾ a ɣ m a t o p i i θ i c e
πρεπει	p ɾ e p i
πρόσβαση	p ɾ o z v a s i
πόνο	p o n o
συστήματα	s i s t i m a t a
τωρα	t o ɾ a
φυλακή	f i l a c i
χώροσ	x o ɾ o s
άφησε	a f i s e
αγώνασ	a ɣ o n a s
αρκετέσ	a ɾ c e t e s
γνωστή	ɣ n o s t i
δρόμουσ	ð ɾ o m u s
ειμαι	i m e
ελληνικέσ	e l i n i c e s
επάνω	e p a n o
εποχήσ	e p o ç i s
κάναμε	k a n a m e
μένει	m e n i
μιλάσ	m i l a s
πραγματικό	p ɾ a ɣ m a t i k o
προσωπική	p ɾ o s o p i c i
σα	s a
σταθμό	s t a θ m o
συμβεί	s i ɱ v i
φύση	f i s i
άμεσα	a m e s a
δείχνουν	ð i x n u n
εκκλησίασ	e k l i s i a s
επιστολή	e p i s t o l i
ημέρασ	i m e ɾ a s
θάνατοσ	θ a n a t o s
καλέσ	k a l e s
μοναδική	m o n a ð i c i
μοναδικό	m o n a ð i k o
νόμο	n o m o
πέσει	p e s i
πήραν	p i ɾ a n
πράξεισ	p ɾ a k s i s
προσπαθεί	p ɾ o s p a θ i
τέχνησ	t e x n i s
τουρκίασ	t u ɾ c i a s
τρίτο	t ɾ i t o
χρειάζονται	x ɾ i a z o n d e
άλλαξε	a l a k s e
απαντήσεισ	a p a n d i s i s
απλό	a p l o
βγήκε	v ʝ i c e
βλέπετε	v l e p e t e
δηλώσεισ	ð i l o s i s
εισαι	i s e
ενότητα	e n o t i t a
ερωτήσεισ	e ɾ o t i s i s
εχουμε	e x u m e
ζώνη	z o n i
καθαρά	k a θ a ɾ a
μαθητέσ	m a θ i t e s
ολυμπιακόσ	o l i m b i a k o s
πίνακα	p i n a k a
περιβάλλον	p e ɾ i v a l o n
πηγέσ	p i ʝ e s
προσπάθησε	p ɾ o s p a θ i s e
ρεκόρ	ɾ e k o ɾ
σούπερ	s u p e ɾ
στρατό	s t ɾ a t o
υπόλοιπα	i p o l i p a
χρονικό	x ɾ o n i k o
έργων	e ɾ ɣ o n
αλ	a l
ανθρώπου	a n θ ɾ o p u
βουλευτέσ	v u l e f t e s
γίνω	ʝ i n o
δεδομένα	ð e ð o m e n a
ειδήσεισ	i ð i s i s
επιλογέσ	e p i l o ʝ e s
ηθοποιόσ	i θ o p i o s
κατόπιν	k a t o p i n
λογαριασμό	l o ɣ a ɾ ʝ a z m o
μακεδονία	m a c e ð o n i a
μαλακίεσ	m a l a c i e s
μικρέσ	m i k ɾ e s
νόμοσ	n o m o s
πολιτικέσ	p o l i t i c e s
τω	t o
όντωσ	o n d o s
έμεινε	e m i n e
αλλάζει	a l a z i
αντικείμενα	a n d i c i m e n a
βουλήσ	v u l i s
βουλευτήσ	v u l e f t i s
δίκτυο	ð i k t i o
ελέγχου	e l e ŋ x u
ευτυχώσ	e f t i x o s
καθεστώσ	k a θ e s t o s
κείμενο	c i m e n o
λαόσ	l a o s
μήκοσ	m i k o s
ξεκινά	k s e c i n a
οδηγεί	o ð i ʝ i
ολοι	o l i
οποίουσ	o p i u s
πλήρη	p l i ɾ i
φέρνει	f e ɾ n i
φυσικό	f i s i k o
ατόμων	a t o m o n
βρεθεί	v ɾ e θ i
γραμμέσ	ɣ ɾ a m e s
δίκαιο	ð i c e o
δολοφονία	ð o l o f o n i a
δυνατό	ð i n a t o
εμφανίζεται	e ɱ f a n i z e t e
επίσημη	e p i s i m i
καλύτεροσ	k a l i t e ɾ o s
κοίτα	c i t a
κορυφή	k o ɾ i f i
λάθη	l a θ i
νωρίσ	n o ɾ i s
οικονομικά	i k o n o m i k a
ολυμπιακό	o l i m b i a k o
οποιαδήποτε	o p i a ð i p o t e
παπούτσια	p a p u t͡s ç a
παράσταση	p a ɾ a s t a s i
προκαλεί	p ɾ o k a l i
σύλλογοσ	s i l o ɣ o s
τέλη	t e l i
τέτοιεσ	t e t i e s
χειρότερο	ç i ɾ o t e ɾ o
αγαπάσ	a ɣ a p a s
απίστευτο	a p i s t e f t o
ενασ	e n a s
μεγάλησ	m e ɣ a l i s
μεταφορά	m e t a f o ɾ a
μονάδεσ	m o n a ð e s
μονο	m o n o
μουσικήσ	m u s i c i s
πήγαινε	p i ʝ e n e
σκέψεισ	s c e p s i s
τελείωσε	t e l i o s e
τελευταίεσ	t e l e f t e e s
τομ	t o m
χρήστη	x ɾ i s t i
έλεγα	e l e ɣ a
ακούσ	a k u s
αντίστοιχα	a n d i s t i x a
αφήνει	a f i n i
γινόταν	ʝ i n o t a n
γλυκό	ɣ l i k o
διεθνέσ	ð i e θ n e s
διεθνούσ	ð i e θ n u s
είδε	i ð e
εννοείσ	e n o i s
επιστρέψει	e p i s t ɾ e p s i
λαό	l a o
μίλησε	m i l i s e
μελών	m e l o n
νιώθεισ	ɲ o θ i s
οδηγόσ	o ð i ɣ o s
περαιτέρω	p e ɾ e t e ɾ o
πολιτικά	p o l i t i k a
προφίλ	p ɾ o f i l
στάδιο	s t a ð i o
συγγραφέασ	s i ŋ ɣ r a f e a s
συνεχίζει	s i n e ç i z i
συνεχώσ	s i n e x o s
χειμώνα	ç i m o n a
χρησιμοποιείται	x ɾ i s i m o p i i t e
χρυσή	x ɾ i s i
απολύτωσ	a p o l i t o s
βαθμούσ	v a θ m u s
δημήτρη	ð i m i t ɾ i
διαφορετικέσ	ð i̯ a f o ɾ e t i c e s
διαφορετικό	ð i̯ a f o ɾ e t i k o
επίσημα	e p i s i m a
επίσκεψη	e p i s c e p s i
κοινωνική	c i n o n i c i
κόμματοσ	k o m a t o s
κώλο	k o l o
μπαρ	b a ɾ
παιδείασ	p e ð i a s
άκρη	a k ɾ i
αίματοσ	e m a t o s
αντίθετα	a n d i θ e t a
απόλυτα	a p o l i t a
δρόμοσ	ð ɾ o m o s
εκδηλώσεισ	e k ð i l o s i s
ελληνικών	e l i n i k o n
κατι	k a t i
κρίμα	k ɾ i m a
νέοι	n e i
νεκρόσ	n e k ɾ o s
πολλών	p o l o n
πράγματι	p ɾ a ɣ m a t i
πρόσφατα	p ɾ o s f a t a
συγκεκριμένο	s i ŋ ɟ e k ɾ i m e n o
τμήματοσ	t m i m a t o s
τοπική	t o p i c i
τράπεζεσ	t ɾ a p e z e s
χρησιμοποιούν	x ɾ i s i m o p i u n
όροσ	o ɾ o s
αποκλειστικά	a p o k l i s t i k a
αφήσει	a f i s i
βγάλει	v ɣ a l i
βραβείο	v ɾ a v i o
γνωρίζει	ɣ n o ɾ i z i
δυνατά	ð i n a t a
ιδέεσ	i ð e e s
κανάλι	k a n a l i
κώστα	k o s t a
μετα	m e t a
οικογένειά	i k o ʝ e n i a
ομιλία	o m i l i a
πάρουμε	p a ɾ u m e
πραγματική	p ɾ a ɣ m a t i c i
προ	p ɾ o
σειράσ	s i ɾ a s
συνέβη	s i n e v i
τόπο	t o p o
χρειαστεί	x ɾ i a s t i
χτεσ	x t e s
όπλα	o p l a
έρωτα	e ɾ o t a
βλέπουν	v l e p u n
βρέθηκαν	v ɾ e θ i k a n
βρουν	v ɾ u n
βόμβα	v o ɱ v a
γάλα	ɣ a l a
γλυκιά	ɣ l i c a
κίνημα	c i n i m a
καλύτερεσ	k a l i t e ɾ e s
καταλαβαίνεισ	k a t a l a v e n i s
κιλά	c i l a
λαού	l a u
μισή	m i s i
παρ	p a ɾ
τεστ	t e s t
υπόλοιπο	i p o l i p o
φοβάσαι	f o v a s e
άλλου	a l u
αγγλικά	a ŋ ɡ l i k a
ανέφερε	a n e f e ɾ e
αυτοκίνητα	a f t o c i n i t a
βγάζει	v ɣ a z i
δημοσιογράφοσ	ð i m o s i o ɣ ɾ a f o s
είσοδο	i s o ð o
ειδική	i ð i c i
εκδόσεισ	e k ð o s i s
εκπαίδευσησ	e k p e ð e f s i s
επίπεδα	e p i p e ð a
ηλικίασ	i l i c i a s
κανονικά	k a n o n i k a
κεντρικό	c e n d ɾ i k o
κωνσταντίνοσ	k o n s t a n d i n o s
λάβει	l a v i
μετάφραση	m e t a f ɾ a s i
νομίζεισ	n o m i z i s
ουσιαστικά	u s i a s t i k a
παλιό	p a ʎ o
πιστεύουν	p i s t e v u n
πλήρωσ	p l i ɾ o s
πολιτικών	p o l i t i k o n
σκότωσε	s k o t o s e
συγκεκριμένη	s i ŋ ɟ e k ɾ i m e n i
συνέδριο	s i n e ð ɾ i o
σχολήσ	s x o l i s
σύζυγοσ	s i z i ɣ o s
υπεύθυνοσ	i p e f θ i n o s
υπολογιστή	i p o l o ʝ i s t i
χωρών	x o ɾ o n
όσον	o s o n
ύπαρξη	i p a ɾ k s i
έλλειψη	e l i p s i
έτη	e t i
αμάξι	a m a k s i
βία	v i a
βασίλησ	v a s i l i s
γυναίκασ	ʝ i n e k a s
δίνεισ	ð i n i s
δεκαετία	ð e k a e t i a
διαδρομή	ð i̯ a ð ɾ o m i
δρ	ð ɾ
δυτικήσ	ð i t i c i s
είπαμε	i p a m e
επανάσταση	e p a n a s t a s i
θύματα	θ i m a t a
κέντρου	c e n d ɾ u
κλείσει	k l i s i
κρατάει	k ɾ a t a i
πιθανό	p i θ a n o
προσφέρει	p ɾ o s f e ɾ i
τεχνική	t e x n i c i
χρησιμοποιώντασ	x ɾ i s i m o p i o n d a s
άμεση	a m e s i
αδελφόσ	a ð e l f o s
αποτελείται	a p o t e l i t e
βασικό	v a s i k o
γάμοσ	ɣ a m o s
δουν	ð u n
δυνατή	ð i n a t i
εξετάσεισ	e k s e t a s i s
κόστοσ	k o s t o s
κώδικα	k o ð i k a
λειτουργίασ	l i t u ɾ ʝ i a s
μαύρη	m a v ɾ i
μεγάλου	m e ɣ a l u
μηνύματα	m i n i m a t a
νέουσ	n e u s
νόμου	n o m u
ομάδων	o m a ð o n
πιστεύει	p i s t e v i
προσπάθειεσ	p ɾ o s p a θ i e s
σήμα	s i m a
τηλ	t i l
χρέοσ	x ɾ e o s
έρευνεσ	e ɾ e v n e s
αγ	a ɣ
αγωνιστική	a ɣ o n i s t i c i
αγώνων	a ɣ o n o n
ανήκουν	a n i k u n
βάθοσ	v a θ o s
γύρο	ʝ i ɾ o
διεθνείσ	ð i e θ n i s
εθνικού	e θ n i k u
εταιρείεσ	e t e ɾ i e s
