af	a f
præsident	p r ɛ s i d ɛ n t
resultater	r ɛ s u l t aː t ə r
øvrige	ø v r iː ə
amerikanske	a m e r i k aː n s k ə
dengang	d ɛ n ɡ a n ɡ
derudover	d e r u d ɔ v ə r
formål	f ɔ r m ɔː l
kørte	k ø r t ə
ledelse	l eː ð ə l s ə
muligheder	m uː l i h eː d ə r
sider	s iː d ə r
social	s o s j aː l
ét	e t
anders	a n ə r s
ejer	a j ə r
klub	k l uː b
max	m a k s
model	m o d ɛ l
smule	s m uː l ə
sport	s p ɔ r t
straks	s t r a k s
tyske	t y s k ə
åh	ɔːˀ
alder	a l ə r
david	d a v iːˀ ð
dét	d e t
hader	h aː d ə r
internationale	e n t ə r n a ɕ o n aː l ə
kommuner	k ɔ m uː n ə r
kontakt	k ɔ n t a k t
koster	k ɔ s t ə r
lægge	l ɛ ɡ ə
mødte	m ø t ə
opgave	ɔ p ɡ aː v ə
private	p r i v aː t ə
smukt	s m o k t
starten	s t a r t ə n
stoppe	s t ɔ p ə
trækker	t r ɛ k ə r
tænkt	t ɛ n k t
all	a l
energi	eː n ə r ɡ iː
frank	f r a n k
natten	n a t ə n
navnet	n a v n ə ð
oppe	ɔ p ə
passe	p a s ə
stemmer	s t ɛ m ə r
tillykke	t e l ø k ə
vender	v ɛ n ə r
glade	ɡ l aː d ə
hente	h ɛ n t ə
klubben	k l o b ə n
kraft	k r a f t
regler	r a j l ə r
vigtige	v e k t i ə
endda	ɛ n d a
køb	k øːˀ b
ligeledes	l iː ə l eː ð ə s
mindste	m e n s t ə
profil	p r o f iː l
stopper	s t ɔ p ə r
almindelig	a l m e n ə l i
fortsætte	f ɔ r t s ɛ t ə
hotel	h o t ɛ l
hænder	h ɛ n ə r
if	i f
indlæg	e n l ɛ ɡ
levende	l ɛ v ə n ə
medicin	m e d i s iː n
skyldes	s k y l ə s
snakker	s n a k ə r
visse	v i s ə
åbner	ɔː b n ə r
damer	d aː m ə r
fuldstændig	f u l s t ɛ n d i
hund	h o nˀ
meste	m ɛ s t ə
morten	m ɔ r t ə n
rammer	r a m ə r
ramt	r a m t
selve	s ɛ l v ə
skønt	s k ø n t
snak	s n a k
stykker	s t ø k ə r
arbejdede	a r b a j d ə ð ə
bygget	b y ɡ ə ð
fuck	f o k
nærmest	n ɛ r m ə s t
serie	s eː r i ə
smart	s m a r t
svarer	s v aː r ə r
tom	t ɔ m
harry	h a r i
information	e n f ɔ r m a ɕ oˀ n
james	j aː m ə s
lækkert	l ɛ k ə r t
magt	m a k t
my	m yː
projekt	p r o j ɛ k t
toppen	t ɔ p ə n
artikler	a r t e k l ə r
dels	d ɛ l s
hænger	h ɛ n ɡ ə r
oh	oːˀ
ole	oː l ə
omgang	ɔ m ɡ a n ɡ
politikere	p o l i t i k eː r ə
primært	p r i m ɛ r t
solen	s oː l ə n
hyggeligt	h y ɡ ə l i t
hånden	h ɔ n ə n
jamen	j aː m ə n
mødes	m øː ð ə s
mødt	m ø t
netværk	n e t v ɛ r k
ordet	o r d ə ð
planer	p l aː n ə r
retten	r ɛ t ə n
runde	r o n ə
simpelthen	s e m p ə l t h eː n
stærke	s t ɛ r k ə
veje	v a j ə
bud	b u d
følelser	f øː l ə l s ə r
kalde	k a l ə
krigen	k r iː ə n
larsen	l a r s ə n
nævnt	n ɛ vˀ n t
priser	p r iː s ə r
savner	s a v n ə r
tabte	t a p t ə
andersen	a n ə r s ə n
drikke	d r e k ə
døren	d øː r ə n
grænser	ɡ r ɛ n s ə r
kørt	k ø r t
lavere	l a v eː r ə
manglende	m a n ɡ l ɛ n ə
olsen	ɔ l s ə n
privat	p r i v aː t
stoffer	s t ɔ f ə r
vende	v ɛ n ə
version	v ɛ r s j oː n
begyndt	b e ɡ ø n t
bliv	b l iːˀ v
borgere	b ɔ r ɡ eː r ə
dagens	d aː ɣ ə n s
derimod	d e r i m oː d
forventer	f ɔ r v ɛ n t ə r
gaden	ɡ aː d ə n
kaldes	k a l ə s
kritik	k r i t i k
kæft	k ɛ f t
lukke	l o k ə
plus	p l uː s
rart	r a r t
sager	s aː ɣ ə r
sendte	s ɛ n t ə
stiller	s t e l ə r
tider	t iː d ə r
virke	v e r k ə
christian	k r e s t j aː n
dybt	d y p t
hurtigere	h u r t i ɡ eː r ə
kaldte	k a l t ə
omfatter	ɔ m f a t ə r
partier	p a r t j ə r
plejer	p l a j ə r
rolig	r oː l i
sammenhæng	s a m ə n h ɛ n ɡ
skifte	s k e f t ə
fjerne	f j ɛ r n ə
skoler	s k oː l ə r
svenske	s v ɛ n s k ə
søster	s ø s t ə r
tab	t aː b
tjek	t j ɛ k
vilde	v i l ə
amerikansk	a m e r i k aː n s k
black	b l a k
byens	b yː ə n s
dækker	d ɛ k ə r
endte	ɛ n t ə
føle	f øː l ə
grønne	ɡ r œ n ə
jens	j ɛ n s
kunst	k o n s t
kvalitet	k v a l i t eː t
lykkedes	l ø k ə ð ə s
pladser	p l a s ə r
sagtens	s a k t ə n s
situation	s i t u a ɕ oˀ n
staten	s t aː t ə n
såsom	s ɔː s ɔ m
såvel	s ɔː v ə l
tingene	t e n ɡ ə n ə
ugen	uː ə n
varer	v aː r ə r
åbenbart	ɔː b ə n b a r t
begyndelsen	b e ɡ ø n ə l s ə n
cirka	s i r k a
føles	f øː l ə s
klubber	k l o b ə r
kunder	k o n ə r
minder	m e n ə r
navne	n a v n ə
skidt	s k i t
skud	s k u d
svaret	s v aː r ə ð
tjene	t j eː n ə
udsat	u d s a t
varme	v a r m ə
vidt	v i t
art	a r t
beklager	b e k l aː ɣ ə r
falde	f a l ə
general	ɡ e n ə ʁ ɑˀ l
halvdelen	h a l v d eː l ə n
havet	h aː v ə ð
kina	k iː n a
konkurrence	k ɔ n k u r ɛ n s ə
løs	l øː s
teknisk	t ɛ k n i s k
ændrer	ɛ n d r ə r
gæster	ɡ ɛ s t ə r
gøres	ɡ øː r ə s
kirken	k i r k ə n
luft	l o f t
lukker	l o k ə r
mads	m a s
mister	m e s t ə r
reglerne	r a j l ə r n ə
blomster	b l ɔ m s t ə r
fantastiske	f a n t a s t i s k ə
gives	ɡ iː v ə s
grader	ɡ r aː d ə r
grupper	ɡ r o p ə r
grænsen	ɡ r ɛ n s ə n
halvt	h a l v t
international	e n t ə r n a ɕ o n aː l
jylland	j y l a n
munden	m o n ə n
målet	m ɔː l ə ð
opgaver	ɔ p ɡ aː v ə r
produkter	p r o d o k t ə r
samfundet	s a m f o n ə ð
skudt	s k u t
sommeren	s ɔ m ə r ə n
spanien	s p a n i ə n
taber	t aː b ə r
analyse	a n a l yː s ə
dets	d ɛ t s
eksempelvis	ɛ k s ɛ m p ə l v iː s
eksempler	ɛ k s ɛ m p l ə r
flotte	f l ɔ t ə
historisk	h i s t oː r i s k
kongen	k ɔ n ɡ ə n
konstant	k ɔ n s t a n t
kræfter	k r ɛ f t ə r
køge	k øː j ə
landbrug	l a n b r uːˀ
lært	l ɛ r t
pakke	p a k ə
parken	p a r k ə n
ramme	r a m ə
skoven	s k ɔː v ə n
såkaldte	s ɔ k a l t ə
tilfreds	t e l f r e s
transport	t r a n s p ɔ r t
øget	øː j ə ð
anlæg	a n l ɛ ɡ
bærer	b ɛː r ə r
centrum	s ɛ n t r ɔ m
chris	k r iː s
debat	d e b a t
drømme	d r œ m ə
dygtig	d y k t i
faldet	f a l ə ð
forklare	f ɔ r k l aː r ə
frie	f r iː ə
frit	f r i t
glemmer	ɡ l ɛ m ə r
glemte	ɡ l ɛ m t ə
handel	h a n ə l
hjertet	j ɛ r t ə ð
kilometer	k i l o m eː t ə r
listen	l e s t ə n
læste	l ɛ s t ə
nemmere	n ɛ m ə r ə
næppe	n ɛ p ə
nærmere	n ɛ r m eː r ə
rettigheder	r ɛ t i h eː d ə r
skifter	s k e f t ə r
tjener	t j eː n ə r
anne	a n ə
center	s ɛ n t ə r
deler	d eː l ə r
fede	f eː ð ə
glas	ɡ l aː s
grunden	ɡ r o n ə n
italien	i t a l j ə n
klassiske	k l a s i s k ə
løgn	l ø j n
rige	r iː ə
single	s e n ɡ l ə
tekniske	t ɛ k n i s k ə
umiddelbart	u m i d ə l b a r t
varmt	v a r m t
beskytte	b e s k ø t ə
firma	f i r m a
former	f ɔ r m ə r
fuldt	f u l t
følte	f ø l t ə
gave	ɡ aː v ə
gruppen	ɡ r o p ə n
ii	iː
jack	j a k
kontrakt	k ɔ n t r a k t
linje	l e n j ə
luften	l o f t ə n
lytter	l y t ə r
løse	l øː s ə
mørke	m œ r k ə
paa	p aː
risiko	r i s i k o
ryggen	r ø ɡ ə n
skibet	s k iː b ə ð
tryk	t r ø k
anna	a n a
bornholm	b ɔ r n h ɔ l m
drejer	d r a j ə r
familier	f a m i l j ə r
fanden	f a n ə n
fornøjelse	f ɔ r n ø j ə l s ə
forskere	f ɔ r s k eː r ə
fortjener	f ɔ r t j eː n ə r
hunde	h o n ə
hva	v a
klassisk	k l a s i s k
længde	l ɛ n ɡ d ə
opnå	ɔ p n ɔ
planen	p l aː n ə n
tour	t uː r
universitet	u n i v ɛ r s i t eː t
virkede	v e r k ə ð ə
aktiviteter	a k t i v i t eː t ə r
am	a m
besluttede	b e s l u t ə ð ə
bestyrelsen	b e s t yː r ə l s ə n
guds	ɡ u s
guide	ɡ iː d ə
kevin	k e v iː n
lukkede	l o k ə ð ə
markant	m a r k a n t
pladsen	p l a s ə n
professionel	p r o f ɛ s j o n ɛ l
programmer	p r o ɡ r a m ə r
soldater	s ɔ l d aː t ə r
stat	s t a t
stigende	s t iː ə n ə
street	s t r eː ə ð
trak	t r a k
yngre	ø n ɡ r ə
bevægelse	b e v ɛː ɡ ə l s ə
bort	b ɔ r t
byer	b yː ə r
flyttede	f l ø t ə ð ə
foretrækker	f ɔ r ə t r ɛ k ə r
held	h ɛ lˀ
karriere	k a r i eː r ə
lover	l ɔ v ə r
lyset	l yː s ə ð
rapport	r a p ɔ r t
rasmussen	r a s m u s ə n
skov	s k ɔ v
tekster	t ɛ k s t ə r
tjekke	t j ɛ k ə
udstyr	u d s t yː r
ødelagt	øː ð ə l a ɡ t
betyde	b e t yː d ə
brænder	b r ɛ n ə r
bunden	b o n ə n
byder	b yː d ə r
dans	d a n s
døden	d øː ð ə n
dømt	d œ m t
evner	ɛ v n ə r
franske	f r a n s k ə
fremme	f r ɛ m ə
frivillige	f r i v i l i ə
fylder	f y l ə r
følelse	f øː l ə l s ə
hot	h o t
korte	k ɔ r t ə
kroppen	k r ɔ p ə n
ledere	l eː d ə r ə
låne	l ɔː n ə
mary	m a r i
mærkeligt	m ɛ r k ə l i t
sikke	s e k ə
smide	s m iː ð ə
stadion	s t a d j oː n
united	u n i t eː d
vokser	v ɔ k s ə r
wow	v ɔ w
av	a v
beliggende	b e l e ɡ ə n ə
diverse	d i v ɛ r s ə
farver	f a r v ə r
forlade	f ɔ r l aː d ə
henter	h ɛ n t ə r
lægen	l ɛː ɣ ə n
minut	m i n u t
møller	m ø l ə r
omfattende	ɔ m f a t ə n ə
publikum	p u b l i k ɔ m
senest	s eː n ə s t
skader	s k aː d ə r
travlt	t r a v l t
tusind	t u s e n d
windows	v e n d ɔ w s
øst	ø s t
derved	d ɛ r v ə ð
digitale	d i ɡ i t aː l ə
dækket	d ɛ k ə ð
faste	f a s t ə
formentlig	f ɔ r m ɛ n t l i
ideer	i d eː ə r
imponerende	e m p o n eː r ə n ə
kaste	k a s t ə
kiggede	k i ɡ ə ð ə
klima	k l iː m a
myndigheder	m ø n d i h eː d ə r
pigerne	p iː ə r n ə
politiker	p o l i t i k ə r
positiv	p o s i t iː v
prøvede	p r øː v ə ð ə
smager	s m aː ɣ ə r
spist	s p e s t
syge	s yː ə
your	j uː r
aftalen	a f t aː l ə n
aktive	a k t iː v ə
bekendt	b e k ɛ n t
dejlige	d a j l i ə
fader	f aː d ə r
forklarer	f ɔ r k l aː r ə r
førte	f œ r t ə
gangen	ɡ a n ɡ ə n
ik	e k
klarer	k l aː r ə r
konservative	k ɔ n s ɛ r v a t iː v ə
links	l e n k s
lækre	l ɛ k r ə
nyder	n yː d ə r
omvendt	ɔ m v ɛ n t
one	oː n ə
ramte	r a m t ə
regner	r a j n ə r
rejste	r a j s t ə
stress	s t r ɛ s
alvor	a l v ɔ r
best	b ɛ s t
flytter	f l ø t ə r
forstået	f ɔ r s t ɔːˀ ə ð
kaldet	k a l ə ð
mængde	m ɛ n ɡ d ə
opleve	ɔ p l eː v ə
overblik	ɔ v ə r b l e k
professionelle	p r o f ɛ s j o n ɛ l ə
real	r e aː l
rene	r eː n ə
syn	s yː n
udstyret	u d s t yː r ə ð
weekenden	v iː k ə n ə n
bane	b aː n ə
befinder	b e f e n ə r
beskrevet	b e s k r eː v ə ð
beskriver	b e s k r iː v ə r
beskyttelse	b e s k ø t ə l s ə
carl	k a r l
danskerne	d a n s k ɛ r n ə
finalen	f i n aː l ə n
folkeparti	f ɔ l k ə p a r t iː
inspiration	e n s p i r a ɕ oˀ n
planter	p l a n t ə r
rummet	r o m ə ð
sengen	s ɛ n ɡ ə n
situationen	s i t u a ɕ oˀ n ə n
slap	s l a p
slappe	s l a p ə
slutter	s l u t ə r
stoppede	s t ɔ p ə ð ə
sådanne	s ɔ d a n ə
varm	v a r m
vendte	v ɛ n t ə
brøndby	b r œ n b yː
di	d iːˀ
engelske	ɛ n ɡ ə l s k ə
jane	j aː n ə
kristne	k r e s t n ə
mission	m i s j oː n
nævnte	n ɛ v n t ə
præsentere	p r ɛ s ə n t eː r ə
sange	s a n ɡ ə
siges	s iː ə s
sir	s iː r
toget	t ɔː ɣ ə ð
tættere	t ɛ t ə r ə
bevæger	b e v ɛː ɡ ə r
flyet	f l yː ə ð
hunden	h o n ə n
internettet	e n t ə r n ɛ t ə t
jakob	j a k oː b
minister	m i n i s t ə r
organisation	ɔ r ɡ a n i s a ɕ oˀ n
organisationer	ɔ r ɡ a n i s a ɕ oˀ n ə r
overskud	ɔ v ə r s k u ð
ringer	r e n ɡ ə r
sikrer	s e k r ə r
sjove	s j ɔː v ə
skaffe	s k a f ə
slagelse	s l aː ɣ ə l s ə
stik	s t e k
tabe	t aː b ə
tide	t iː ð ə
trist	t r e s t
udvalg	u ð v a lˀ ɣ
værker	v ɛ r k ə r
ældste	ɛ l s t ə
back	b a k
bill	b e l
bolden	b ɔ l ə n
fingre	f e n ɡ r ə
fjernet	f j ɛ r n ə ð
forestille	f ɔ r ə s t e l ə
forhindre	f ɔ r h e n d r ə
heste	h ɛ s t ə
koldt	k ɔ l t
lyt	l y t
milliarder	m i l j a r d ə r
sandsynligvis	s a n s yː n l i v iː s
selvstændig	s ɛ l s t ɛ n d i
simon	s i m oː n
skiftet	s k e f t ə ð
stammer	s t a m ə r
stiger	s t iː ə r
støtter	s t ø t ə r
telefonen	t e l ə f oː n ə n
acceptere	a k s ɛ p t eː r ə
anvendt	a n v ɛ n t
app	a p
barcelona	b a r s ə l oː n a
bladet	b l aː d ə ð
business	b u s i n ɛ s
dække	d ɛ k ə
dø	d øːˀ
fatter	f a t ə r
igang	i ɡ a n ɡ
jagt	j a k t
konto	k ɔ n t o
kraftig	k r a f t i
li	l iː
musikken	m u s e k ə n
poul	p uː l
pro	p r oːˀ
projekter	p r o j ɛ k t ə r
stjerner	s t j ɛ r n ə r
styrker	s t y r k ə r
sønderborg	s œ n ə r b ɔ r ɡ
tema	t eː m a
øverste	øː v ə r s t ə
centrale	s ɛ n t r aː l ə
christensen	k r e s t ə n s ə n
emner	ɛ m n ə r
extra	ɛ k s t r a
festival	f ɛ s t i v aː l
heldig	h ɛ l d i
hænderne	h ɛ n ə r n ə
kamera	k a m eː r a
overvejer	ɔ v ə r v a jˀ ə r
politiken	p o l i t i k ə n
rig	r iːˀ
samtlige	s a m t l i ə
scenen	s eː n ə n
teksten	t ɛ k s t ə n
tilbyder	t e l b yː d ə r
vidst	v i s t
årene	ɔː r ə n ə
adskillige	a d s k e l i ə
artiklen	a r t e k l ə n
berlin	b ɛ r l iː n
bestemmer	b e s t ɛ m ə r
brugen	b r uː ə n
dan	d a n
fanget	f a n ɡ ə ð
forvejen	f ɔ r v a jˀ ə n
fremmede	f r ɛ m ə ð ə
grænse	ɡ r ɛ n s ə
helle	h ɛ l ə
henne	h ɛ n ə
karen	k aː r ə n
kassen	k a s ə n
kolde	k ɔ l ə
konsekvenser	k ɔ n s ə k v ɛ n s ə r
ligeså	l iː ə s ɔ
los	l oː s
million	m i l j oː n
nærmeste	n ɛ r m ə s t ə
opdaget	ɔ p d aː ɣ ə ð
overveje	ɔ v ə r v a j ə
passende	p a s ə n ə
reaktion	r e a k s j oː n
teknologi	t ɛ k n o l o ɡ iː
times	t a j m ə s
tøjet	t ø j ə ð
blue	b l uː ə
broen	b r oːˀ ə n
charles	s j a r l ə s
dom	d ɔ mˀ
fans	f a n s
fjerde	f j ɛ r d ə
foto	f o t o
ført	f œ r t
grand	ɡ r a nˀ
køkkenet	k ø k ə n ə ð
leg	l a jˀ
minde	m e n ə
normal	n ɔ r m aː l
normale	n ɔ r m aː l ə
nærmer	n ɛ r m ə r
radikale	r a d i k aː l ə
skive	s k iː v ə
skræmmende	s k r ɛ m ə n ə
stranden	s t r a n ə n
sættes	s ɛ t ə s
alex	a l ɛ k s
billigere	b i l i ɡ eː r ə
caroline	k a r o l iː n ə
club	k l uː b
driver	d r iː v ə r
eks	ɛ k s
eksisterer	ɛ k s i s t eː r ə r
fanger	f a n ɡ ə r
forsvandt	f ɔ r s v a n t
gammelt	ɡ a m ə l t
grunde	ɡ r o n ə
hjemsted	j ɛ m s t ɛ ð
hjernen	j ɛ r n ə n
holdes	h ɔ l ə s
hvidt	v i t
journalist	j u r n a l i s t
le	l eːˀ
lyde	l yː ð ə
lærte	l ɛ r t ə
ma	m a
naturlige	n a t uː r l i ə
oplevelser	ɔ p l ɛ v ə l s ə r
samarbejdet	s a m a r b a j d ə t
strøm	s t r œ mˀ
svarede	s v aː r ə ð ə
traditionelle	t r a d i s j o n ɛ l ə
afhængig	a f h ɛ n ɡ i
anbefale	a n b e f aː l ə
arthur	a r t h uː r
eftersom	ɛ f d ɐ s ɔ m
eksisterende	ɛ k s i s t eː r ə n ə
færdige	f ɛ r d i ə
home	h oː m ə
indtryk	e n t r ø k
jones	j oː n ə s
mikkel	m e k ə l
morgenen	m ɔ r ə n ə n
oberst	oː b ə r s t
omfang	ɔ m f a n ɡ
rekord	r e k oː r
rock	r ɔ k
statsminister	s t a t s m i n i s t ə r
steve	s t eː v ə
systemer	s y s t eː m ə r
this	t iː s
trukket	t r o k ə ð
arena	a r eː n a
behandler	b e h a n l ə r
berømte	b e r œ m t ə
butikker	b u t e k ə r
detaljer	d e t a l j ə r
diskussion	d i s k u s j oː n
dukker	d o k ə r
dyrt	d y r t
em	ɛ mˀ
flest	f l ɛ s t
fortsatte	f ɔ r t s a t ə
fysiske	f yː s i s k ə
gas	ɡ aː s
heldige	h ɛ l d i ə
hellige	h ɛ l i ə
helsingør	h ɛ l s e n ɡ øː r
hustru	h u s t r u
jackson	j a k s ɔ n
jyske	j y s k ə
klassen	k l a s ə n
kør	k øːˀ r
leverer	l ɛ v ə r ə r
maven	m aː v ə n
microsoft	m i k r o s ɔ f t
statens	s t a t ɛ n s
statistik	s t a t i s t i k
stået	s t ɔːˀ ə ð
søen	s øːˀ ə n
sørensen	s øː r ə n s ə n
takket	t a k ə t
temmelig	t ɛ m ə l i
tony	t o n yː
vidner	v i ð n ə r
villa	v i l a
aktier	a k t iː ə r
apple	a p l ə
fan	f a n
festen	f ɛ s t ə n
forbudt	f ɔ r b u t
frygter	f r ø k t ə r
gentofte	ɡ ɛ n t ɔ f t ə
ideen	i d eː ə n
joe	j oː ə
metoder	m e t oː d ə r
mængder	m ɛ n ɡ d ə r
