ovat	o ʋ ɑ t
tilaa	t i l ɑː
uskon	u s k o n
euron	e u̯ r o n
maahan	m ɑː h ɑ n
millä	m i lː æ
vaikeaa	ʋ ɑ i̯ k eˣ ɑːˣ
vuosien	ʋ u o̯ s i e n
ensimmäistä	e n s i mː æ i̯ s t æˣ
joutui	j o u̯ t u i̯
osan	o s ɑ n
yliopiston	y l i o p i s t o n
helppoa	h e l pː o ɑˣ
is	i s
jatkuu	j ɑ t k uː
kuvia	k u ʋ i ɑ
niissä	n iː sː æ
olisivat	o l i s i ʋ ɑ t
parin	p ɑ r i n
yhtiön	y h t i ø n
ymmärrän	y mː æ rː æ n
etten	e tː e n
hyvältä	h y ʋ æ l t æ
maailmassa	m ɑː i l m ɑ sː ɑ
missään	m i sː æː n
oliko	o l i k o
puhutaan	p u h u t ɑː n
saan	s ɑː n
tapahtunut	t ɑ p ɑ h t u n u t
yrityksen	y r i t y k s e n
asioista	ɑ s i o i̯ s t ɑˣ
itsekin	i t s e k i n
löytyi	l ø y̯ t y i̯
mahdollisimman	m ɑ h d o lː i s i mː ɑ n
näe	n æ eˣ
otetaan	o t eˣ t ɑː n
perustuu	p e r u s t uː
puolueen	p u o̯ l u eː n
riitä	r iː t æ
koulun	k o u̯ l u n
la	l ɑ
niihin	n iː h i n
nousee	n o u̯ s eː
oulun	o u̯ l u n
illan	i lː ɑ n
it	i t
kaikista	k ɑ i̯ k i s t ɑˣ
keväällä	k e ʋ æː lː æˣ
liittyy	l iː tː yː
olis	o l i s
omaan	o m ɑː n
paikan	p ɑ i̯ k ɑ n
pelaa	p e l ɑː
saatu	s ɑː t u
sanoin	s ɑ n o i̯ n
toisella	t o i̯ s e lː ɑˣ
toivon	t o i̯ ʋ o n
ensimmäisenä	e n s i mː æ i̯ s e n æ
john	j o h n
jokaisen	j o k ɑ i̯ s e n
julkaistu	j u l k ɑ i̯ s t u
jäänyt	j æː n y t
miehiä	m i e̯ h i æˣ
monia	m o n i ɑ
muistan	m u i̯ s t ɑ n
eipä	e i̯ p æ
euroopassa	e u̯ r oː p ɑ sː ɑ
finland	f i n l ɑ n d
for	f o r
joukkueen	j o u̯ kː u eː n
kohtaa	k o h t ɑːˣ
nuoret	n u o̯ r e t
pystyy	p y s t yː
saatiin	s ɑː t iː n
saivat	s ɑ i̯ ʋ ɑ t
tarjoaa	t ɑ r j o ɑː
yhdysvaltain	y h d y s ʋ ɑ l t ɑ i̯ n
ajattelin	ɑ j ɑ tː e l i n
haittaa	h ɑ i̯ tː ɑːˣ
hauskaa	h ɑ u̯ s k ɑːˣ
iltana	i l t ɑ n ɑ
kirjan	k i r j ɑ n
kuukautta	k uː k ɑ u tː ɑ
kuvat	k u ʋ ɑ t
miksei	m i k s e i̯
perheen	p e r h eː n
sanomat	s ɑ n o m ɑ t
talon	t ɑ l o n
ulkopuolella	u l k o p u o̯ l e lː ɑˣ
asiaan	ɑ s i ɑː n
käytä	k æ y̯ t æ
näillä	n æ i̯ lː æˣ
olevat	o l e ʋ ɑ t
pidän	p i d æ n
pojat	p o j ɑ t
puhuu	p u h uː
sekin	s e k i n
syntyy	s y n t yː
toiminut	t o i̯ m i n u t
toimivat	t o i̯ m i ʋ ɑ t
tulokset	t u l o k s e t
tällaista	t æ lː ɑ i̯ s t ɑˣ
asuu	ɑ s uː
jotakin	j o t ɑ k i n
kuullut	k uː lː u t
lauantaina	l ɑ u̯ ɑ n t ɑ i̯ n ɑ
miltä	m i l t æ
näytti	n æ y̯ tː i
ottelun	o tː e l u n
sano	s ɑ n o
sattuu	s ɑ tː uː
sehän	s e h æ n
seuraavan	s e u̯ r ɑː ʋ ɑ n
sopimuksen	s o p i m u k s e n
suomalaista	s u o̯ m ɑ l ɑ i̯ s t ɑˣ
yhdysvalloissa	y h d y s ʋ ɑ lː o i̯ sː ɑ
kävin	k æ ʋ i n
maalia	m ɑː l i ɑ
muuttuu	m uː tː uː
omalla	o m ɑ lː ɑ
pienen	p i e̯ n e n
pitkän	p i t k æ n
suomalaisia	s u o̯ m ɑ l ɑ i̯ s i ɑ
suuren	s uː r e n
tietoja	t i e̯ t o j ɑ
toisessa	t o i̯ s e sː ɑ
em	e m
kaikissa	k ɑ i̯ k i sː ɑ
katsomaan	k ɑ t s o m ɑː n
mukavaa	m u k ɑ ʋ ɑː
olevansa	o l e ʋ ɑ n s ɑ
puolen	p u o̯ l e n
päässyt	p æː sː y t
suurempi	s uː r e m p i
taida	t ɑ i̯ d ɑˣ
tilanteessa	t i l ɑ n t eː sː ɑ
tälle	t æ lː eˣ
vanhan	ʋ ɑ n h ɑ n
yritysten	y r i t y s t e n
huomiota	h u o̯ m i o t ɑˣ
jaksa	j ɑ k s ɑ
juttuja	j u tː u j ɑ
kesän	k e s æ n
kuuluvat	k uː l u ʋ ɑ t
mielessä	m i e̯ l e sː æ
mietin	m i e̯ t i n
ottelussa	o tː e l u sː ɑ
parempaa	p ɑ r e m p ɑː
parhaat	p ɑ r h ɑː t
päivässä	p æ i̯ ʋ æ sː æ
sodan	s o d ɑ n
tapaan	t ɑ p ɑː n
tavoitteena	t ɑ ʋ o i̯ tː eː n ɑ
haluaisin	h ɑ l u ɑ i̯ s i n
halusi	h ɑ l u s i
min	m i n
mitkä	m i t k æ
mulle	m u lː eˣ
ois	o i̯ s
saaneet	s ɑː n eː t
syksyllä	s y k s y lː æ
syntynyt	s y n t y n y t
viikossa	ʋ iː k o sː ɑ
yritykset	y r i t y k s e t
haluaisi	h ɑ l u ɑ i̯ s i
halunnut	h ɑ l u nː u t
lienee	l i e̯ n eː
lukee	l u k eː
maailmaa	m ɑː i l m ɑː
minuutin	m i n uː t i n
näytä	n æ y̯ t æ
parhaiten	p ɑ r h ɑ i̯ t e n
pelit	p e l i t
syntyi	s y n t y i̯
tytöt	t y t ø t
uuteen	uː t eː n
aloitti	ɑ l o i̯ tː i
elokuvan	e l o k u ʋ ɑ n
jutun	j u t u n
katsotaan	k ɑ t s o t ɑː n
keskustan	k e s k u s t ɑ n
kirjoitti	k i r j o i̯ tː i
koulussa	k o u̯ l u sː ɑ
millään	m i lː æː n
näissä	n æ i̯ sː æ
olisiko	o l i s i k o
auta	ɑ u̯ t ɑ
eivätkä	e i̯ ʋ æ t k æ
halutaan	h ɑ l u t ɑː n
joihin	j o i̯ h i n
kansan	k ɑ n s ɑ n
kaupungissa	k ɑ u̯ p u ŋː i sː ɑ
käyttöä	k æ y̯ tː ø æˣ
michael	m i ʃ ɑ e l
ottanut	o tː ɑ n u t
paikassa	p ɑ i̯ k ɑ sː ɑ
perjantaina	p e r j ɑ n t ɑ i̯ n ɑ
pysyy	p y s yː
taisi	t ɑ i̯ s i
tiedon	t i e̯ d o n
tien	t i e̯ n
toiminnan	t o i̯ m i nː ɑ n
valmiiksi	ʋ ɑ l m iː k s i
aikoina	ɑ i̯ k o i̯ n ɑ
alkanut	ɑ l k ɑ n u t
avaa	ɑ ʋ ɑː
entistä	e n t i s t æˣ
kiinan	k iː n ɑ n
kilometrin	k i l o m e t r i n
kunnan	k u nː ɑ n
lahden	l ɑ h d e n
muihin	m u i̯ h i n
muille	m u i̯ lː eˣ
neljän	n e l j æ n
pelasi	p e l ɑ s i
ryhmän	r y h m æ n
sellaisia	s e lː ɑ i̯ s i ɑ
suurta	s uː r t ɑ
tutkimuksen	t u t k i m u k s e n
viiden	ʋ iː d e n
yritti	y r i tː i
yön	y ø̯ n
david	d ɑ ʋ i d
huomaa	h u o̯ m ɑː
johtuu	j o h t uː
laskee	l ɑ s k eː
maalin	m ɑː l i n
paikkaa	p ɑ i̯ kː ɑːˣ
pelannut	p e l ɑ nː u t
pitävät	p i t æ ʋ æ t
venäjällä	ʋ e n æ j æ lː æ
annetaan	ɑ nː eˣ t ɑː n
ensimmäiset	e n s i mː æ i̯ s e t
jumalan	j u m ɑ l ɑ n
katsoo	k ɑ t s oː
koskee	k o s k eː
kulkee	k u l k eː
metrin	m e t r i n
metriä	m e t r i æˣ
onnistuu	o nː i s t uː
pientä	p i e̯ n t æ
puuttuu	p uː tː uː
sijaitsee	s i j ɑ i̯ t s eː
tuntui	t u n t u i̯
tykkää	t y kː æːˣ
voimme	ʋ o i̯ mː eˣ
aikojen	ɑ i̯ k o j e n
dollaria	d o lː ɑ r i ɑ
ilmoitti	i l m o i̯ tː i
ison	i s o n
kuvassa	k u ʋ ɑ sː ɑ
liigan	l iː ɡ ɑ n
lupaa	l u p ɑː
maiden	m ɑ i̯ d e n
mistään	m i s t æː n
nimen	n i m e n
olikin	o l i k i n
olleen	o lː eː n
seuran	s e u̯ r ɑ n
toiselle	t o i̯ s e lː eˣ
toiset	t o i̯ s e t
voiko	ʋ o i̯ k o
al	ɑ l
alkavat	ɑ l k ɑ ʋ ɑ t
hinnat	h i nː ɑ t
historian	h i s t o r i ɑ n
isot	i s o t
julkaisi	j u l k ɑ i̯ s i
kielen	k i e̯ l e n
median	m e d i ɑ n
monen	m o n e n
muutkin	m uː t k i n
naista	n ɑ i̯ s t ɑˣ
ohjelman	o h j e l m ɑ n
omien	o m i e n
ottelua	o tː e l u ɑˣ
seuraavat	s e u̯ r ɑː ʋ ɑ t
suuret	s uː r e t
uutisia	uː t i s i ɑ
yönä	y ø̯ n æ
etteivät	e tː e i̯ ʋ æ t
kenenkään	k e n e n k æː n
kivaa	k i ʋ ɑː
kolmannen	k o l m ɑ nː e n
miljoonan	m i l j oː n ɑ n
oltava	o l t ɑ ʋ ɑ
pienet	p i e̯ n e t
riippuu	r iː pː uː
suhteessa	s u h t eː sː ɑ
syyskuussa	s yː s k uː sː ɑ
tampereella	t ɑ m p e r eː lː ɑˣ
tiedossa	t i e̯ d o sː ɑ
tilanteen	t i l ɑ n t eː n
todellakaan	t o d e lː ɑ k ɑː n
antanut	ɑ n t ɑ n u t
elokuussa	e l o k uː sː ɑ
näihin	n æ i̯ h i n
omassa	o m ɑ sː ɑ
pojan	p o j ɑ n
päättyi	p æː tː y i̯
saksassa	s ɑ k s ɑ sː ɑ
sunnuntaina	s u nː u n t ɑ i̯ n ɑ
teet	t eː t
uskoo	u s k oː
uusien	uː s i e n
valmiina	ʋ ɑ l m iː n ɑ
vuotiaana	ʋ u o̯ t i ɑː n ɑ
armeijan	ɑ r m e i̯ j ɑ n
autoa	ɑ u̯ t o ɑˣ
lapsille	l ɑ p s i lː eˣ
muutakin	m uː t ɑ k i n
muutoksia	m uː t o k s i ɑ
määrän	m æː r æ n
oikeuden	o i̯ k e u̯ d e n
ranskan	r ɑ n s k ɑ n
samat	s ɑ m ɑ t
sanonut	s ɑ n o n u t
tehneet	t e h n eː t
tilannetta	t i l ɑ nː e tː ɑ
todellakin	t o d e lː ɑ k i n
vuodelta	ʋ u o̯ d e l t ɑ
äidin	æ i̯ d i n
alueelle	ɑ l u eː lː eˣ
kilometriä	k i l o m e t r i æ
kisoissa	k i s o i̯ sː ɑ
kokoomuksen	k o k oː m u k s e n
liiton	l iː t o n
löytänyt	l ø y̯ t æ n y t
mahdollisuuksia	m ɑ h d o lː i s uː k s i ɑ
muissa	m u i̯ sː ɑ
muutamia	m uː t ɑ m i ɑ
nuoria	n u o̯ r i ɑ
pohjalta	p o h j ɑ l t ɑ
suosittelen	s u o̯ s i tː e l e n
tarkoituksena	t ɑ r k o i̯ t u k s e n ɑ
tulevaisuuden	t u l e ʋ ɑ i̯ s uː d e n
tältä	t æ l t æ
voittanut	ʋ o i̯ tː ɑ n u t
aikoo	ɑ i̯ k oː
etsii	e t s iː
henkilön	h e ŋ k i l ø n
huomannut	h u o̯ m ɑ nː u t
ihanaa	i h ɑ n ɑː
johonkin	j o h o ŋ k i n
julkisen	j u l k i s e n
liittyvät	l iː tː y ʋ æ t
loppuu	l o pː uː
luulin	l uː l i n
matkan	m ɑ t k ɑ n
nähty	n æ h t y
näkökulmasta	n æ k ø k u l m ɑ s t ɑ
onnistui	o nː i s t u i̯
pitäisikö	p i t æ i̯ s i k ø
riittävän	r iː tː æ ʋ æ n
saattoi	s ɑː tː o i̯
talouden	t ɑ l o u̯ d e n
tykkään	t y kː æː n
vanhoja	ʋ ɑ n h o j ɑ
veden	ʋ e d e n
ym	y m
ihmisille	i h m i s i lː eˣ
itseäni	i t s e æ n i
juttua	j u tː u ɑˣ
kirkon	k i r k o n
lapin	l ɑ p i n
luin	l u i̯ n
muodossa	m u o̯ d o sː ɑ
netissä	n e t i sː æ
nimensä	n i m e n s æ
ollu	o lː u
osana	o s ɑ n ɑ
ottamaan	o tː ɑ m ɑː n
parhaan	p ɑ r h ɑː n
peter	p e t e r
sulla	s u lː ɑ
tarkemmin	t ɑ r k e mː i n
tuhansia	t u h ɑ n s i ɑ
tulivat	t u l i ʋ ɑ t
vaihtoehtoja	ʋ ɑ i̯ h t o e h t o j ɑ
yritän	y r i t æ n
ajoi	ɑ j o i̯
isoja	i s o j ɑ
kasvoi	k ɑ s ʋ o i̯
koiran	k o i̯ r ɑ n
kuntoon	k u n t oː n
luokan	l u o̯ k ɑ n
menevät	m e n e ʋ æ t
muttei	m u tː e i̯
my	m y
nimellä	n i m e lː æˣ
nimeä	n i m e æ
odotan	o d o t ɑ n
ry	r y
sanat	s ɑ n ɑ t
toimintaan	t o i̯ m i n t ɑː n
yhteiskunnan	y h t e i̯ s k u nː ɑ n
big	b i ɡ
espoon	e s p oː n
hakemaan	h ɑ k eˣ m ɑː n
helsinkiin	h e l s i n k iː n
järkeä	j æ r k e æ
karjalan	k ɑ r j ɑ l ɑ n
kokemusta	k o k eˣ m u s t ɑ
käyttävät	k æ y̯ tː æ ʋ æ t
loput	l o p u t
löydy	l ø y̯ d y
maksamaan	m ɑ k s ɑ m ɑː n
muitakin	m u i̯ t ɑ k i n
paikkoja	p ɑ i̯ kː o j ɑ
pelaajat	p e l ɑː j ɑ t
päättyy	p æː tː yː
seksiä	s e k s i æˣ
tekivät	t e k i ʋ æ t
tiennyt	t i e̯ nː y t
up	u p
vaaleissa	ʋ ɑː l e i̯ sː ɑ
valittu	ʋ ɑ l i tː u
vanhat	ʋ ɑ n h ɑ t
yhdysvaltojen	y h d y s ʋ ɑ l t o j e n
yritin	y r i t i n
britannian	b r i t ɑ nː i ɑ n
eikös	e i̯ k ø s
esiintyy	e s iː n t yː
kahta	k ɑ h t ɑ
kenen	k e n e n
kerrotaan	k e rː o t ɑː n
kevään	k e ʋ æː n
koneen	k o n eː n
koulutuksen	k o u̯ l u t u k s e n
maanantaina	m ɑː n ɑ n t ɑ i̯ n ɑ
nopeammin	n o p e ɑ mː i n
oikean	o i̯ k e ɑ n
ovatko	o ʋ ɑ t k o
sellaisen	s e lː ɑ i̯ s e n
siirtyy	s iː r t yː
syksyn	s y k s y n
tuotteita	t u o̯ tː e i̯ t ɑ
turussa	t u r u sː ɑ
uudessa	uː d e sː ɑ
yllättävän	y lː æ tː æ ʋ æ n
autot	ɑ u̯ t o t
itselleni	i t s e lː e n i
kertonut	k e r t o n u t
kilpailun	k i l p ɑ i̯ l u n
käymään	k æ y̯ m æː n
luulen	l uː l e n
lähtenyt	l æ h t e n y t
löysi	l ø y̯ s i
löysin	l ø y̯ s i n
mahdotonta	m ɑ h d o t o n t ɑ
näyttävät	n æ y̯ tː æ ʋ æ t
otan	o t ɑ n
pahaa	p ɑ h ɑː
paikkaan	p ɑ i̯ kː ɑː n
suurimman	s uː r i mː ɑ n
syynä	s yː n æ
toisiaan	t o i̯ s i ɑː n
vaikuttavat	ʋ ɑ i̯ k u tː ɑ ʋ ɑ t
valittiin	ʋ ɑ l i tː iː n
vittua	ʋ i tː u ɑˣ
at	ɑ t
autojen	ɑ u̯ t o j e n
eduskunnan	e d u s k u nː ɑ n
hengen	h e ŋː e n
james	j ɑ m e s
kelpaa	k e l p ɑː
kyllähän	k y lː æ h æ n
käytön	k æ y̯ t ø n
löydä	l ø y̯ d æˣ
miljardia	m i l j ɑ r d i ɑ
ohjelmassa	o h j e l m ɑ sː ɑ
ongelmat	o ŋː e l m ɑ t
pitämään	p i t æ m æː n
päätöksen	p æː t ø k s e n
sanon	s ɑ n o n
sanottu	s ɑ n o tː u
satoja	s ɑ t o j ɑ
tietojen	t i e̯ t o j e n
tulevan	t u l e ʋ ɑ n
tullaan	t u lː ɑː n
viimeiset	ʋ iː m e i̯ s e t
voitaisiin	ʋ o i̯ t ɑ i̯ s iː n
yms	y m s
annettu	ɑ nː e tː u
englannin	e ŋ l ɑ nː i n
historiaa	h i s t o r i ɑː
joitakin	j o i̯ t ɑ k i n
jollain	j o lː ɑ i̯ n
jyväskylän	j y ʋ æ s k y l æ n
kahteen	k ɑ h t eː n
kasvanut	k ɑ s ʋ ɑ n u t
kertovat	k e r t o ʋ ɑ t
kultaa	k u l t ɑːˣ
kutsutaan	k u t s u t ɑː n
kuussa	k uː sː ɑ
mallia	m ɑ lː i ɑ
nykyisen	n y k y i̯ s e n
olevia	o l e ʋ i ɑ
onnistu	o nː i s t u
osaan	o s ɑː n
ostin	o s t i n
pelejä	p e l e j æ
pelkkää	p e l kː æːˣ
saattavat	s ɑː tː ɑ ʋ ɑ t
torstaina	t o r s t ɑ i̯ n ɑ
vieläkään	ʋ i e̯ l æ k æː n
voittoa	ʋ o i̯ tː o ɑˣ
yhtenä	y h t e n æ
aikoihin	ɑ i̯ k o i̯ h i n
energiaa	e n e r ɡ i ɑː
jolle	j o lː eˣ
kahvia	k ɑ h ʋ i ɑ
kannattaisi	k ɑ nː ɑ tː ɑ i̯ s i
löytynyt	l ø y̯ t y n y t
maat	m ɑː t
mahdollisuuden	m ɑ h d o lː i s uː d e n
normaalia	n o r m ɑː l i ɑ
palasi	p ɑ l ɑ s i
presidentin	p r e s i d e n t i n
pääset	p æː s e t
silmät	s i l m æ t
talossa	t ɑ l o sː ɑ
tarkoitettu	t ɑ r k o i̯ t e tː u
tällaisia	t æ lː ɑ i̯ s i ɑ
vaivaa	ʋ ɑ i̯ ʋ ɑː
vihreiden	ʋ i h r e i̯ d e n
viron	ʋ i r o n
asioiden	ɑ s i o i̯ d e n
edellisen	e d e lː i s e n
ehtinyt	e h t i n y t
ensimmäisessä	e n s i mː æ i̯ s e sː æ
eroa	e r o ɑˣ
isänsä	i s æ n s æ
johti	j o h t i
johtoon	j o h t oː n
kaipaa	k ɑ i̯ p ɑː
kesäkuussa	k e s æ k uː sː ɑ
kuoleman	k u o̯ l e m ɑ n
kuuden	k uː d e n
kuului	k uː l u i̯
käyttämään	k æ y̯ tː æ m æː n
käyttänyt	k æ y̯ tː æ n y t
liikkeelle	l iː kː eː lː eˣ
norjan	n o r j ɑ n
noussut	n o u̯ sː u t
olevien	o l e ʋ i e̯ n
ollessa	o lː e sː ɑ
op	o p
top	t o p
trump	t r u m p
tukee	t u k eː
tuloksia	t u l o k s i ɑ
tän	t æ n
vastasi	ʋ ɑ s t ɑ s i
aikuisten	ɑ i̯ k u i̯ s t e n
erään	e r æː n
hakee	h ɑ k eː
haluamme	h ɑ l u ɑ mː eˣ
huomasin	h u o̯ m ɑ s i n
jäävät	j æː ʋ æ t
kaikkiin	k ɑ i̯ kː iː n
kansainvälisen	k ɑ n s ɑ i̯ n ʋ æ l i s e n
liikenteen	l iː k e n t eː n
liity	l iː t y
lokakuussa	l o k ɑ k uː sː ɑ
monissa	m o n i sː ɑ
muutti	m uː tː i
myydään	m yː d æː n
määrin	m æː r i n
olevaa	o l e ʋ ɑː
poliisille	p o l iː s i lː eˣ
poliitikot	p o l iː t i k o t
saapuu	s ɑː p uː
sosiaali	s o s i ɑː l i
tiedät	t i e̯ d æ t
valmiita	ʋ ɑ l m iː t ɑ
vantaan	ʋ ɑ n t ɑː n
videon	ʋ i d e o n
viittaa	ʋ iː tː ɑːˣ
alkoivat	ɑ l k o i̯ ʋ ɑ t
alueet	ɑ l u eː t
amerikan	ɑ m e r i k ɑ n
asteen	ɑ s t eː n
elämänsä	e l æ m æ n s æ
isän	i s æ n
kappaletta	k ɑ pː ɑ l e tː ɑ
keskiviikkona	k e s k i ʋ iː kː o n ɑ
kuntien	k u n t i e n
käydään	k æ y̯ d æː n
käytti	k æ y̯ tː i
mainittu	m ɑ i̯ n i tː u
oot	oː t
oulussa	o u̯ l u sː ɑ
paikkansa	p ɑ i̯ kː ɑ n s ɑ
rajan	r ɑ j ɑ n
toisten	t o i̯ s t e n
tunnetaan	t u nː eˣ t ɑː n
työt	t y ø̯ t
ulkopuolelle	u l k o p u o̯ l e lː eˣ
useimmat	u s e i̯ mː ɑ t
ajatuksia	ɑ j ɑ t u k s i ɑ
alueilla	ɑ l u e i̯ lː ɑˣ
astetta	ɑ s t e tː ɑ
asunnon	ɑ s u nː o n
autossa	ɑ u̯ t o sː ɑ
halusin	h ɑ l u s i n
hintaan	h i n t ɑː n
jaetaan	j ɑ e t ɑː n
kesänä	k e s æ n æ
kysy	k y s y
käytiin	k æ y̯ t iː n
nimeltä	n i m e l t æ
