bil	b íː l
ostala	ɔ s t áː l a
zgodovini	z ɡ ɔ d ɔ ʋ ìː n i
štirih	ʃ t ìː r i x
študij	ʃ t ùː d i j
eni	ɛ̀ː n i
james	j àː m ɛ s
koli	k òː l i
model	m òː d ə ʋ
of	ɔ́ f
sme	s m éː
vasi	ʋ àː s i
vpliva	ʋ p l ìː ʋ a
januarja	j a n u áː r j a
knjigo	k n j ìː ɡ ɔ
naših	n áː ʃ i x
njegovega	n j ɛ ɡ ɔ ʋ éː ɡ a
obstajajo	ɔ p s t a j áː j ɔ
povezave	p ɔ ʋ ɛ z áː ʋ ɛ
prebivalcev	p r ɛ b i ʋ áː l t͡s ɛ ʋ
sredi	s r èː d i
srečo	s r èː t͡ʃ ɔ
ekipa	ɛ k ìː p a
hiši	x ìː ʃ i
mariboru	m a r i b óː r u
njene	n j èː n ɛ
slovenijo	s l ɔ ʋ èː n i j ɔ
velikosti	ʋ ɛ l i k óː s t i
dediščine	d ɛ d ìː ʃ t͡ʃ i n ɛ
napisal	n a p i s áː l
našega	n a ʃ éː ɡ a
obliko	ɔ b l ìː k ɔ
starši	s t áː r ʃ i
zgodovine	z ɡ ɔ d ɔ ʋ ìː n ɛ
celoti	t͡s ɛ l òː t i
delom	d ɛ l óː m
drugem	d r ùː ɡ ə m
manjše	m áː n ʃ ɛ
piše	p ìː ʃ ɛ
pravila	p r a ʋ ìː l a
tipa	t ìː p a
točk	t óː t͡ʃ k
zbor	z b ɔ́ r
celotno	t͡s ɛ l óː t n ɔ
meje	m ɛ̀ː j ɛ
moških	m óː ʃ k i x
področje	p ɔ d r óː t͡ʃ j ɛ
potekala	p ɔ t ɛ k áː l a
ravni	r áː ʋ n i
točke	t óː t͡ʃ k ɛ
zadnja	z áː d n j a
znano	z n àː n ɔ
zvezi	z ʋ èː z i
dogaja	d ɔ ɡ áː j a
februarja	f ɛ b r u áː r j a
igro	ìː ɡ r ɔ
novice	n ɔ ʋ ìː t͡s ɛ
odločitev	ɔ d l ɔ t͡ʃ íː t ə ʋ
ostalo	ɔ s t àː l ɔ
očeta	ɔ t͡ʃ éː t a
poročila	p ɔ r ɔ t͡ʃ ìː l a
predsednika	p r ɛ t s éː d n i k a
predstavljajo	p r ɛ t s t a ʋ l j áː j ɔ
skladu	s k l àː d u
tistih	t ìː s t i x
tretje	t r èː t j ɛ
zase	z àː s ɛ
zgodbe	z ɡ óː d b ɛ
številni	ʃ t ɛ ʋ íː l n i
živel	ʒ ìː ʋ ə ʋ
živijo	ʒ ìː ʋ i j ɔ
hišo	x ìː ʃ ɔ
ladje	l àː d j ɛ
odločil	ɔ d l ɔ t͡ʃ íː l
rezultati	r ɛ z u l t àː t i
skupin	s k u p íː n
svojimi	s ʋ ɔ j ìː m i
telefon	t ɛ l ɛ f óː n
temi	t èː m i
točno	t óː t͡ʃ n ɔ
ceste	t͡s èː s t ɛ
deli	d èː l i
imaš	i m áː ʃ
kluba	k l ùː b a
mimo	m ìː m ɔ
obdobja	ɔ b d óː b j a
oblasti	ɔ b l àː s t i
opis	ɔ p íː s
umrli	ùː m ə r l i
začetka	z a t͡ʃ éː t k a
dalje	d áː l j ɛ
funkcije	f ùː n k t͡s i j ɛ
ljudem	l j ùː d ə m
podatkih	p ɔ d áː t k i x
pojavi	p ɔ j àː ʋ i
pravico	p r a ʋ ìː t͡s ɔ
recimo	r ɛ t͡s ìː m ɔ
srednje	s r èː d n j ɛ
trenutku	t r ɛ n úː t k u
velikega	ʋ ɛ l i k éː ɡ a
zanj	z áː n
znak	z n àː k
direktor	d i r èː k t ɔ r
enote	ɛ n óː t ɛ
iger	ìː ɡ ə r
mednarodni	m ɛ d n a r óː d n i
mednarodno	m ɛ d n a r óː d n ɔ
mestih	m èː s t i x
poslal	p ɔ s l áː l
preteklosti	p r ɛ t ɛ k l óː s t i
razvoja	r a z ʋ óː j a
račun	r a t͡ʃ úː n
službo	s l ùː ʒ b ɔ
take	t àː k ɛ
zadeve	z a d éː ʋ ɛ
boga	b óː ɡ a
cesti	t͡s èː s t i
dolga	d ɔ̀ː ʋ ɡ a
imenuje	i m ɛ n ùː j ɛ
krvi	k ə́ r ʋ i
naredili	n a r ɛ d ìː l i
nimajo	n i m áː j ɔ
okolje	ɔ k óː l j ɛ
primerih	p r i m èː r i x
prostora	p r ɔ s t óː r a
zapustil	z a p u s t íː l
delajo	d ɛ l áː j ɔ
gibanja	ɡ ìː b a n j a
izhaja	i z x áː j a
klub	k l úː p
morejo	m ɔ r ɛ̀ː j ɔ
moremo	m ɔ r èː m ɔ
naredi	n a r èː d i
nastala	n a s t áː l a
nazadnje	n a z áː d n j ɛ
obe	ɔ̀ː b ɛ
obsega	ɔ p s éː ɡ a
posledično	p ɔ s l ɛ d ìː t͡ʃ n ɔ
poveljnik	p ɔ ʋ éː l n i k
razliko	r a z l ìː k ɔ
starosti	s t a r óː s t i
vsebujejo	ʋ s ɛ b u j ɛ̀ː j ɔ
york	j óː r k
hrane	x r àː n ɛ
knjigi	k n j ìː ɡ i
končala	k ɔ n t͡ʃ áː l a
njeni	n j èː n i
njihovi	n j ìː x ɔ ʋ i
orožje	ɔ r óː ʒ j ɛ
podatke	p ɔ d áː t k ɛ
rada	r àː d a
sodišče	s ɔ d ìː ʃ t͡ʃ ɛ
stare	s t àː r ɛ
tekmi	t èː k m i
visoke	ʋ i s óː k ɛ
zmanjšanje	z m a n ʃ áː n j ɛ
znan	z n áː n
želim	ʒ ɛ l ìː m
filma	f íː l m a
kulturno	k u l t úː r n ɔ
manjših	m áː n ʃ i x
miru	m ìː r u
neke	n èː k ɛ
osnovi	ɔ s n ɔ́ː ʋ i
prvenstva	p ə r ʋ éː n s t ʋ a
sezoni	s ɛ z òː n i
slovenci	s l ɔ ʋ èː n t͡s i
službe	s l ùː ʒ b ɛ
trgu	t ə̀ r ɡ u
vidimo	ʋ ìː d i m ɔ
vsemi	ʋ s èː m i
šel	ʃ ɛ́ː ʋ
edina	ɛ d ìː n a
mene	m èː n ɛ
opravil	ɔ p r a ʋ íː l
politične	p ɔ l ìː t i t͡ʃ n ɛ
potrebe	p ɔ t r èː b ɛ
povezana	p ɔ ʋ ɛ z áː n a
povzroča	p ɔ ʋ z r óː t͡ʃ a
primerjavi	p r i m ɛ r j àː ʋ i
pripravi	p r i p r àː ʋ i
sezone	s ɛ z óː n ɛ
takšen	t àː k ʃ ə n
uporabljali	u p ɔ r a b l j àː l i
veseli	ʋ ɛ s èː l i
and	áː n t
besedila	b ɛ s ɛ d ìː l a
dolarjev	d ɔ l áː r j ɛ ʋ
kulturne	k u l t úː r n ɛ
ostalih	ɔ s t àː l i x
pogled	p ɔ ɡ l éː t
prostoru	p r ɔ s t óː r u
tja	t j áː
točka	t óː t͡ʃ k a
višini	ʋ ìː ʃ i n i
zbora	z b óː r a
znanosti	z n a n óː s t i
zraven	z r àː ʋ ə n
čimer	t͡ʃ ìː m ɛ r
bodisi	b ɔ d ìː s i
dejansko	d ɛ j áː n s k ɔ
dostop	d ɔ s t óː p
festival	f ɛ s t i ʋ áː l
ladjo	l àː d j ɔ
leži	l èː ʒ i
možno	m óː ʒ n ɔ
neko	n èː k ɔ
okolja	ɔ k óː l j a
ostane	ɔ s t àː n ɛ
pogodbo	p ɔ ɡ óː d b ɔ
pozna	p óː z n a
prijatelji	p r i j àː t ɛ l j i
razmerje	r a z m éː r j ɛ
sedež	s èː d ɛ ʃ
srca	s ə̀ r t͡s a
uradni	u r áː d n i
zdravila	z d r a ʋ ìː l a
dlje	d l j éː
drži	d ə́ r ʒ i
evropska	ɛ ʋ r óː p s k a
ljudmi	l j ùː d m i
moji	m òː j i
najbrž	n á j b ə́ r ʃ
nekega	n ɛ k éː ɡ a
njenih	n j èː n i x
promet	p r ɔ m éː t
sliko	s l ìː k ɔ
starih	s t àː r i x
stopnje	s t óː p n j ɛ
vidi	ʋ ìː d i
vsakega	ʋ s a k éː ɡ a
zmagal	z m a ɡ áː l
ženo	ʒ ɛ̀ː n ɔ
živo	ʒ ìː ʋ ɔ
državne	d ə r ʒ áː ʋ n ɛ
glavna	ɡ l áː ʋ n a
kam	k áː m
kamor	k àː m ɔ r
lažje	l áː ʒ j ɛ
luči	l ùː t͡ʃ i
minister	m i n ìː s t ə r
morju	m óː r j u
narave	n a r àː ʋ ɛ
navadno	n a ʋ áː d n ɔ
osnovni	ɔ s n ɔ́ː ʋ n i
postopek	p ɔ s t óː p ə k
prebivalstva	p r ɛ b i ʋ áː l s t ʋ a
prejšnji	p r ɛ́ː j ʃ n j i
rastline	r a s t l ìː n ɛ
takšna	t áː k ʃ n a
vaših	ʋ àː ʃ i x
zame	z àː m ɛ
zaščito	z a ʃ t͡ʃ ìː t ɔ
glavo	ɡ l àː ʋ ɔ
hrvaške	x ə r ʋ áː ʃ k ɛ
igralci	i ɡ r áː l t͡s i
ljubljanski	l j u b l j áː n s k i
moške	m óː ʃ k ɛ
nobenega	n ɔ b ɛ n éː ɡ a
politično	p ɔ l ìː t i t͡ʃ n ɔ
redno	r èː d n ɔ
san	s áː n
stavbe	s t áː ʋ b ɛ
takega	t a k éː ɡ a
takšne	t áː k ʃ n ɛ
fakulteti	f a k u l t èː t i
lasti	l àː s t i
naloga	n a l óː ɡ a
nasprotju	n a s p r óː t j u
nekdanji	n ɛ ɡ d àː n j i
osnovno	ɔ s n ɔ́ː ʋ n ɔ
pomagali	p ɔ m a ɡ àː l i
površine	p ɔ ʋ ə́ r ʃ i n ɛ
preživel	p r ɛ ʒ ìː ʋ ə ʋ
rastlin	r a s t l íː n
različnimi	r a z l ìː t͡ʃ n i m i
spremeni	s p r ɛ m èː n i
stalno	s t áː l n ɔ
status	s t a t úː s
takšno	t áː k ʃ n ɔ
ukvarja	u k ʋ áː r j a
vami	ʋ àː m i
videl	ʋ ìː d ə ʋ
virov	ʋ ìː r ɔ ʋ
zadeva	z a d éː ʋ a
določene	d ɔ l ɔ t͡ʃ éː n ɛ
gradu	ɡ r àː d u
izdal	i z d áː l
javnosti	j àː ʋ n ɔ s t i
lase	l àː s ɛ
manjša	m áː n ʃ a
mladi	m l àː d i
naloge	n a l óː ɡ ɛ
naravni	n a r áː ʋ n i
našel	n àː ʃ ə ʋ
noči	n òː t͡ʃ i
občin	ɔ p t͡ʃ íː n
orožja	ɔ r óː ʒ j a
pomoči	p ɔ m òː t͡ʃ i
postali	p ɔ s t àː l i
prihajajo	p r i x a j áː j ɔ
sprejeti	s p r ɛ j èː t i
veste	ʋ èː s t ɛ
vzrok	ʋ z r ɔ́ k
ekipo	ɛ k ìː p ɔ
gradnjo	ɡ r àː d n j ɔ
letno	l èː t n ɔ
neki	n èː k i
politiko	p ɔ l ìː t i k ɔ
različni	r a z l ìː t͡ʃ n i
spada	s p áː d a
zna	z n á
znani	z n àː n i
zunanji	z ùː n a n j i
študija	ʃ t ùː d i j a
želeli	ʒ ɛ l èː l i
al	áː l
dodatno	d ɔ d áː t n ɔ
dosti	d òː s t i
enak	ɛ n àː k
evropsko	ɛ ʋ r óː p s k ɔ
frank	f r áː n k
informacije	i n f ɔ r m àː t͡s i j ɛ
izgubil	i z ɡ u b íː l
izobraževanje	i z ɔ b r a ʒ ɛ ʋ áː n j ɛ
komisija	k ɔ m ìː s i j a
mednarodne	m ɛ d n a r óː d n ɛ
milijona	m i l i j óː n a
njenega	n j ɛ n éː ɡ a
občasno	ɔ p t͡ʃ áː s n ɔ
okolju	ɔ k óː l j u
poleti	p ɔ l èː t i
politiki	p ɔ l ìː t i k i
poročil	p ɔ r ɔ t͡ʃ íː l
rdeče	ə r d èː t͡ʃ ɛ
redu	r ɛ̀ː d u
sabo	s àː b ɔ
uporabil	u p ɔ r a b íː l
vsej	ʋ s ɛ́ː j
značilno	z n a t͡ʃ íː l n ɔ
številu	ʃ t ɛ ʋ ìː l u
ideja	i d ɛ́ː j a
majhne	m áː j x n ɛ
mark	m áː r k
občino	ɔ p t͡ʃ ìː n ɔ
pomagal	p ɔ m a ɡ áː l
povezane	p ɔ ʋ ɛ z áː n ɛ
priznanje	p r i z n áː n j ɛ
razloga	r a z l óː ɡ a
sezono	s ɛ z óː n ɔ
številke	ʃ t ɛ ʋ íː l k ɛ
delež	d ɛ̀ː l ɛ ʃ
dnevi	d n èː ʋ i
ekipe	ɛ k ìː p ɛ
funkcijo	f ùː n k t͡s i j ɔ
globoko	ɡ l ɔ b óː k ɔ
kadarkoli	k a d a r k óː l i
letom	l èː t ɔ m
natančno	n a t áː n t͡ʃ n ɔ
normalno	n ɔ r m áː l n ɔ
odločila	ɔ d l ɔ t͡ʃ ìː l a
ogromno	ɔ ɡ r óː m n ɔ
ponavadi	p ɔ n a ʋ àː d i
povedala	p ɔ ʋ ɛ d áː l a
raznih	r àː z n i x
sveti	s ʋ èː t i
vključujejo	ʋ k l j u t͡ʃ u j ɛ́ː j ɔ
zraka	z r àː k a
študije	ʃ t ùː d i j ɛ
dogodki	d ɔ ɡ óː t k i
energijo	ɛ n ɛ r ɡ íː j ɔ
italiji	i t àː l i j i
izven	ìː z ʋ ə n
kakšni	k áː k ʃ n i
mama	m àː m a
martin	m a r t íː n
mogel	m òː ɡ ə ʋ
nanaša	n a n áː ʃ a
nastanek	n a s t áː n ə k
odbora	ɔ d b óː r a
pomembnih	p ɔ m èː m b n i x
posledice	p ɔ s l ɛ d ìː t͡s ɛ
prepričan	p r ɛ p r ìː t͡ʃ a n
prihodnosti	p r i x óː d n ɔ s t i
razlike	r àː z l i k ɛ
rekli	r èː k l i
richard	r i x áː r t
roki	r òː k i
samega	s a m éː ɡ a
seznamu	s ɛ z n àː m u
sile	s ìː l ɛ
staro	s t àː r ɔ
stopnjo	s t óː p n j ɔ
velikost	ʋ ɛ l i k óː s t
zakona	z a k óː n a
znanih	z n àː n i x
zopet	z ɔ p éː t
športni	ʃ p ɔ̀ː r t n i
želimo	ʒ ɛ l ìː m ɔ
besed	b ɛ s éː t
elementov	ɛ l ɛ m éː n t ɔ ʋ
enot	ɛ n óː t
igralcev	i ɡ r áː l t͡s ɛ ʋ
informacij	i n f ɔ r m àː t͡s i j
majhna	m áː j x n a
majhno	m áː j x n ɔ
metode	m ɛ t óː d ɛ
pokazala	p ɔ k a z áː l a
politika	p ɔ l ìː t i k a
postavili	p ɔ s t a ʋ ìː l i
potekal	p ɔ t ɛ k áː l
prebivalci	p r ɛ b i ʋ áː l t͡s i
sodeloval	s ɔ d ɛ l ɔ ʋ áː l
sodelovanju	s ɔ d ɛ l ɔ ʋ áː n j u
stanju	s t áː n j u
svetlobe	s ʋ ɛ t l óː b ɛ
svetovnih	s ʋ ɛ t ɔ́ː ʋ n i x
uspel	u s p ɛ́ː ʋ
vašem	ʋ àː ʃ ə m
čase	t͡ʃ àː s ɛ
črno	t͡ʃ ə̀ r n ɔ
delavcev	d ɛ l áː ʋ t͡s ɛ ʋ
dobimo	d ɔ b ìː m ɔ
don	d óː n
edino	ɛ d ìː n ɔ
glasbeni	ɡ l àː z b ɛ n i
govorimo	ɡ ɔ ʋ ɔ r ìː m ɔ
knjižnice	k n j ìː ʒ n i t͡s ɛ
ljubljane	l j u b l j àː n ɛ
nastop	n a s t óː p
nimam	n ìː m a m
odvisna	ɔ d ʋ íː s n a
osnovne	ɔ s n ɔ́ː ʋ n ɛ
podobo	p ɔ d òː b ɔ
ponoči	p ɔ n òː t͡ʃ i
potrebujejo	p ɔ t r ɛ b u j ɛ́ː j ɔ
robert	r ɔ b ɛ́ː r t
rtv	ə́ r t ʋ
takih	t àː k i x
težava	t ɛ ʒ áː ʋ a
vedo	ʋ èː d ɔ
visoka	ʋ i s óː k a
vloga	ʋ l óː ɡ a
zaposlenih	z a p ɔ s l èː n i x
zemlje	z èː m l j ɛ
znanja	z n áː n j a
delovnih	d ɛ l ɔ́ː ʋ n i x
dokončno	d ɔ k óː n t͡ʃ n ɔ
domači	d ɔ m àː t͡ʃ i
drugačen	d r u ɡ àː t͡ʃ ə n
hitrosti	x i t r óː s t i
izdelavo	i z d ɛ l áː ʋ ɔ
izvaja	i z ʋ áː j a
lastno	l áː s t n ɔ
mladih	m l àː d i x
nahajajo	n a x a j áː j ɔ
naredila	n a r ɛ d ìː l a
opraviti	ɔ p r a ʋ ìː t i
oprema	ɔ p r èː m a
osnovna	ɔ s n ɔ́ː ʋ n a
plošče	p l óː ʃ t͡ʃ ɛ
polja	p ɔ̀ː l j a
povezuje	p ɔ ʋ èː z u j ɛ
prave	p r àː ʋ ɛ
pravic	p r àː ʋ i t͡s
proizvodnjo	p r ɔ i z ʋ óː d n j ɔ
reda	r èː d a
rs	ə́ r s
vojaki	ʋ ɔ j àː k i
vozila	ʋ ɔ z ìː l a
vredno	ʋ r èː d n ɔ
vsakem	ʋ s àː k ə m
zajema	z a j éː m a
čakajo	t͡ʃ a k áː j ɔ
škoda	ʃ k óː d a
avstriji	àː ʋ s t r i j i
dolini	d ɔ l ìː n i
dosegla	d ɔ s éː ɡ l a
letala	l ɛ t áː l a
mednarodnih	m ɛ d n a r óː d n i x
mnenje	m n èː n j ɛ
naročil	n a r ɔ t͡ʃ íː l
polovici	p ɔ l ɔ ʋ ìː t͡s i
poznamo	p ɔ z n àː m ɔ
redni	r èː d n i
sporočila	s p ɔ r ɔ t͡ʃ ìː l a
sprememb	s p r ɛ m éː m p
stanja	s t áː n j a
stopnja	s t óː p n j a
tiče	t ìː t͡ʃ ɛ
tleh	t l éː x
vedeli	ʋ ɛ d èː l i
visoki	ʋ i s óː k i
časom	t͡ʃ àː s ɔ m
šli	ʃ l íː
športne	ʃ p ɔ̀ː r t n ɛ
aktivno	a k t íː ʋ n ɔ
dneh	d n éː x
drugič	d r ùː ɡ i t͡ʃ
državno	d ə r ʒ áː ʋ n ɔ
enim	ɛ n ìː m
gospodarstvo	ɡ ɔ s p ɔ d áː r s t ʋ ɔ
hrvaško	x ə r ʋ áː ʃ k ɔ
javni	j áː ʋ n i
komisije	k ɔ m ìː s i j ɛ
lastnik	l áː s t n i k
levi	l èː ʋ i
max	m áː k s
morja	m óː r j a
najpomembnejših	n á j p ɔ m èː m b n ɛ j ʃ i x
nanj	n áː n
