seg	s æ ɪ̯
historie	h ɪ s t uː r j ə
krav	k r ɑː ʋ
sør	s øː r
brukte	b r ʉ k t ə
eldre	ɛ l d r ə
film	f ɪ l m
kontakt	k u n t a k t
måten	m oː t n̩
sex	s ɛ k s
kaller	k a lː ə r
les	l eː s
søker	s øː k ə r
ansatte	ɑ n s ɑ tː ə
bygge	² b ʏ ɡː ə
endelig	ɛ n d ə l ɪ
far	f ɑː r
kamp	k a m p
lar	l ɑː r
sendt	s ɛ n t
slå	ʂ l oː
time	t iː m
bryr	b r yː r
fortsette	f ɔ ʈ s ɛ tː ə
it	iː t
kampen	k a m p n̩
løp	l øː p
mannen	m a nː n̩
sentrum	s ɛ n t r ʉ m
sosiale	s ʊ s ɪ ɑː l ə
ene	eː n ə
john	j uː n
lurer	l ʉː r ə r
passer	p a sː ə r
rette	r ɛ tː ə
rom	r u m
forskning	f ɔ ʂ k n ɪ ŋ
jobbet	j ɔ bː ə
kjære	ç æː r ə
krever	k r eː ʋ ə r
stortinget	s t u ʈ ɪ ŋ ə
venter	ʋ ɛ n t ə r
engelsk	ɛ ŋ ə l s k
enten	ɛ n t n̩
helse	h ɛ l s ə
nær	n æː r
slett	ʂ l ɛ tː
totalt	t u t ɑː l t
ønsket	ø n s k ə
danmark	d a n m a r k
live	l iː ʋ ə
slipper	ʂ l ɪ pː ə r
sto	s t uː
vekk	ʋ ɛ kː
forslag	f ɔ ʂ l ɑː ɡ
velger	ʋ æ ɽ ɡ ə r
visst	ʋ ɪ s t
be	b eː
drikke	d r ɪ kː ə
foreldre	f ɔ ɾ ɛ l d r ə
prisen	p r iː s n̩
umulig	ʉ m ʉː l ɪ
vente	ʋ ɛ n t ə
vis	ʋ iː s
viste	² ʋ ɪ s t ə
voksne	ʋ ɔ k s n ə
forbindelse	f ɔ r b ɪ n d ə l s ə
gøy	j œ ʏ̯
husk	h ʉ s k
kjøper	ç øː p ə r
midt	m ɪ tː
sider	s iː d ə r
skape	s k ɑː p ə
slutten	ʂ l ʉ tː n̩
staten	s t ɑː t n̩
dele	d eː l ə
drar	d r ɑː r
gruppe	ɡ r ʉ pː ə
huset	h ʉː s ə
kjøpt	ç œ p t
sender	s ɛ n d ə r
endret	ɛ n d r ə
kamper	k a m p ə r
kroppen	k r ɔ pː n̩
meter	m eː t ə r
nett	n ɛ tː
no	n uː
saker	s ɑː k ə r
synd	s ʏ n
tips	t ɪ p s
damer	d ɑː m ə r
fokus	f uː k ʉ s
gull	ɡ ʉ l
hater	h ɑː t ə r
moderne	m uː d æ ɳ ə
personlig	p æ ʂ uː n l ɪ
raskt	r a s k t
sterk	s t ɛ r k
tyskland	t ʏ s k l ɑ n
unngå	ʉ ŋ ɡ oː
vist	ʋ ɪ s t
bøker	b øː k ə r
finn	f ɪ nː
krigen	k r iː ɡ n̩
lys	l yː s
medier	m eː d ɪ ə r
prøvde	p r ø v d e
slo	ʂ l uː
sånt	s oː n t
åtte	² ɔ tː ə
fullt	f ʉ l t
kjøp	ç øː p
lavere	l ɑ ʋ ə r ə
lover	l oː ʋ ə r
makt	m a k t
mistet	m ɪ s t ə
økonomi	ø k u n u m iː
artikkel	ɑ ʁ t ɪ kː ə l
dro	d r uː
leser	l eː s ə r
lik	l iː k
pappa	p a pː a
spiser	s p iː s ə r
tall	t ɑ l
valgte	ʋ ɑ l t ə
august	æ ʉ ɡ ʉ s t
bo	b uː
endre	ɛ n d r ə
farlig	f ɑː ɭ ɪ
filmen	f ɪ l m n̩
høsten	h œ s t n̩
lå	l oː
orden	uː r n̩
sommeren	s ɔ mː ə r n̩
starter	s t a ʁ t ə r
stund	s t ʉ n
venn	ʋ ɛ nː
alder	ɑ l d ə r
dritt	d r ɪ tː
felles	f ɛ lː ə s
føles	f øː l ə s
tilgjengelig	t ɪ l j ɛ ŋ ə l ɪ
vinne	² ʋ ɪ nː ə
ærlig	æː ɭ ɪ
øker	øː k ə r
avhengig	ɑː ʋ h ɛ ŋ ɪ
biler	b iː l ə r
fare	f ɑː r ə
kjøpte	ç œ p t ə
merke	² m ɛ r k ə
meste	² m ɛ s t ə
sesong	s ə s ɔ ŋ
tilsvarende	t ɪ l s ʋ ɑː r ə n d ə
vinner	ʋ ɪ nː ə r
foreldrene	f ɔ ɾ ɛ l d r ə n ə
gift	j ɪ f t
interesse	ɪ n t ə r ɛ sː ə
nærheten	n æː r h eː t n̩
praksis	p r a k s iː s
prøv	p r øː ʋ
selger	s ɛ l ɡ ə r
skyld	ʃ ʏ l
tvil	t ʋ iː l
di	d iː
hente	h ɛ n t ə
inneholder	ɪ nː ə h ɔ l d ə r
kunnskap	k ʉ n s k ɑː p
møtte	² m œ tː ə
oppe	ɔ pː ə
retten	r ɛ tː n̩
utover	ʉː t oː ʋ ə r
betalt	b ə t ɑː l t
juni	j ʉː n ɪ
normalt	n ɔ r m ɑː l t
resultat	r ə s ʉ l t ɑː t
støtter	s t œ tː ə r
betydning	b ə t yː d n ɪ ŋ
ennå	ɛ nː ɔ
forbi	f ɔ r b iː
forklare	f ɔ r k l ɑː r ə
lav	l ɑː ʋ
on	uː n
plan	p l ɑː n
samlet	s a m l ə
skaper	s k ɑː p ə r
stiller	s t ɪ lː ə r
tilfeller	t ɪ l f ɛ lː ə r
tiltak	t ɪ l t ɑː k
anbefaler	a n b ə f ɑː l ə r
bytte	² b ʏ tː ə
glede	ɡ l eː d ə
grupper	ɡ r ʉ pː ə r
internett	ɪ n t ə ɳ ɛ t
juli	j ʉː l ɪ
mister	m ɪ s t ə r
møtt	m œ tː
redde	r ɛ dː ə
utgjør	ʉː t j øː r
utsatt	ʉː t s a t
åpner	oː p n ə r
års	oː ʂ
avtale	ɑː ʋ t ɑː l ə
filmer	f ɪ l m ə r
fysisk	f yː s ɪ s k
le	l eː
måter	m oː t ə r
rettigheter	r ɛ tː ɪ h eː t ə r
styrke	² s t ʏ r k ə
tilgang	t ɪ l ɡ ɑ ŋ
york	j ɔ r k
økonomiske	ø k ʊ n uː m ɪ s k ə
fjerne	f j æː ɳ ə
hold	h ɔ l
lørdag	l øː ɾ d ɑː ɡ
løse	l øː s ə
me	m eː
stilling	s t ɪ lː ɪ ŋ
syk	s yː k
toppen	t ɔ pː n̩
billig	b ɪ lː ɪ
drive	d r iː ʋ ə
flest	f l eː s t
fullstendig	f ʉ l s t ɛ n d ɪ
gleder	ɡ l eː d ə r
grunnlag	ɡ r ʉ n l ɑː ɡ
hvilket	ʋ ɪ l k ə
kristne	k r ɪ s t n ə
langs	l ɑ ŋ s
tilbud	t ɪ l b ʉː
betaler	b ə t ɑː l ə r
boken	b uː k n̩
fyr	f yː r
gruppen	ɡ r ʉ pː n̩
lurt	l ʉ ʈ
prøvd	p r ø v d
regel	r eː ɡ ə l
åpent	oː p ɛ n t
dømt	d œ m t
endringer	ɛ n d r ɪ ŋ ə r
enklere	ɛ ŋ k l ə r ə
henger	h ɛ ŋ ə r
klokken	k l ɔ kː n̩
lignende	l i ŋ n ə n d ə
perioden	p ɛ r ɪ uː d n̩
virke	² ʋ ɪ r k ə
delta	d ɛ l t ɑ
hundre	h ʉ n d r ə
lært	l æː ʈ
ren	r eː n
runde	r ʉ n d ə
røde	r øː d ə
seier	s æ ɪ ə r
skadet	s k ɑː d ə
ukjent	ʉː ç ɛ n t
artikkelen	ɑ ʁ t ɪ kː ə l n̩
dumt	d ʉ m t
hvit	ʋ iː t
klokka	k l ɔ kː a
minner	m ɪ nː ə r
sport	s p u ʈ
england	ɛ ŋ l ɑ n
markedet	m ɑ r k ə d ə
nasjonale	n a ʃ ʊ n ɑː l ə
passe	p a sː ə
tider	t iː d ə r
varer	ʋ ɑː r ə r
artikler	ɑ ʁ t ɪ k l ə r
folket	f ɔ l k ə
hensyn	h ɛ n s yː n
hentet	h ɛ n t ə
kilder	ç ɪ l d ə r
ledelse	l eː d ə l s ə
milliarder	m ɪ l j ɑː r ə r
ytterligere	ʏ tː ə ɾ l ɪ ɡ eː r ə
avtalen	ɑː ʋ t ɑː l n̩
dårlige	d oː ɾ l ɪ ə
følelser	f øː l ə l s ə r
glemt	ɡ l ɛ m t
organisasjoner	ɔ r ɡ a n ɪ s a ʃ uː n ə r
peter	p eː t ə r
priser	p r iː s ə r
sammenheng	s a mː ə n h ɛ ŋ
sendte	s ɛ n t ə
skatt	s k a t
slutter	ʂ l ʉ tː ə r
st	s t
tjener	ç eː n ə r
banen	b ɑː n n̩
bodde	b ɔ dː ə
elever	ɛ l eː ʋ ə r
flink	f l ɪ ŋ k
forresten	f ɔ rː ɛ s t n̩
hel	h eː l
håp	h oː p
kastet	k a s t ə
kraft	k r a f t
kunst	k ʉ n s t
nasjonal	n a ʃ ʊ n ɑː l
positivt	p ʊ s ɪ t iː ʋ t
status	s t ɑː t ʉː s
tema	t eː m ɑ
uken	ʉː k n̩
aktiv	a k t iː ʋ
fritt	f ɾ ɪ tː
kjør	ç øː r
loven	l oː ʋ n̩
manglende	m a ŋ l ə n d ə
null	n ʉ l
skoler	s k uː l ə r
svarer	s ʋ ɑː r ə r
typen	t yː p n̩
bedrifter	b ə d r ɪ f t ə r
diskutere	d ɪ s k ʉ t eː r ə
haha	h ɑː h ɑ
havet	h ɑː ʋ ə
hit	h iː t
mi	m iː
pleier	p l æ ɪ ə r
skader	s k ɑː d ə r
studier	s t ʉː d ɪ ə r
trygt	t r ʏ k t
typisk	t yː p ɪ s k
unntak	ʉ n t ɑː k
usikker	ʉː s ɪ kː ə r
vilje	² ʋ ɪ l j ə
aftenposten	a f t n̩ p ɔ s t n̩
beskytte	b ə ʃ ʏ tː ə
daglig	d ɑː ɡ l ɪ
el	eː l
grensen	ɡ r ɛ n s n̩
møtes	m øː t ə s
spania	s p ɑː n j ɑ
starten	s t a ʁ t n̩
stoppet	s t ɔ pː ə
tjene	ç eː n ə
ba	b ɑː
grenser	ɡ r ɛ n s ə r
kritisk	k r iː t ɪ s k
leter	l eː t ə r
løpe	l øː p ə
mandag	m a n d aː ɡ
miljø	m ɪ l j ø
motsetning	m uː t s ɛ t n ɪ ŋ
my	m yː
redusert	r ə d ʉ s eː ʁ t
stod	s t uː
utenlandske	ʉː t n̩ l ɑ n s k ə
bygger	b ʏ ɡː ə r
fordel	f ɔ ɾ d eː l
nødt	n ø t
serie	s eː ɾ j ə
svaret	s ʋ ɑː r ə
talt	t ɑ l t
typer	t yː p ə r
begrepet	b ə ɡ r eː p ə
butikk	b ʉ t i k
dit	d iː t
gidder	ɡ ɪ dː ə r
gutta	ɡ ʉ tː a
ledere	l eː d ə r ə
listen	l ɪ s t n̩
ole	uː l ə
overrasket	oː ʋ ə r a s k ə
planer	p l ɑː n ə r
posisjon	p ʊ s ɪ ʃ uː n
sannheten	s a n h eː t n̩
standard	s t a n d a r
statsminister	s t a t s m ɪ n ɪ s t ə r
team	t iː m
vurdere	ʋ ʉ ɾ d eː r ə
akershus	ɑː k ə ʁ s h ʉː s
ansvaret	ɑ n s ʋ ɑː r ə
endring	ɛ n d r ɪ ŋ
fisk	f ɪ s k
forholdet	f ɔ r h ɔ l d ə
forsvaret	f ɔ ʂ ʋ ɑː r ə
hindre	h ɪ n d r ə
jorden	j uː r n̩
kvinnen	k ʋ ɪ nː n̩
lars	l ɑ ʂ
løper	l øː p ə r
psykisk	p s yː k ɪ s k
stopper	s t ɔ pː ə r
søk	s øː k
alvor	ɑ l ʋ ɔ r
beholde	b ə h ɔ l d ə
byer	b yː ə r
båt	b oː t
felt	f ɛ l t
forskere	f ɔ ʂ k ə r ə
forståelse	f ɔ ʂ t oː ə l s ə
forventer	f ɔ r ʋ ɛ n t ə r
grader	ɡ r ɑː d ə r
grei	ɡ r æ ɪ̯
heldig	h ɛ l d ɪ
håret	h oː ɾ ə
myndigheter	m ʏ n d ɪ h eː t ə r
planen	p l ɑː n n̩
positiv	p ʊ s ɪ t iː ʋ
positive	p ʊ s ɪ t iː ʋ ə
press	p r ɛ sː
ro	r uː
savner	s a ʋ n ə r
tett	t ɛ tː
tilhører	t ɪ l h øː r ə r
unnskyld	ʉ n ʃ ʏ l
ventet	ʋ ɛ n t ə
beskriver	b ə s k r iː ʋ ə r
boka	b uː k a
drepe	d r eː p ə
forklarer	f ɔ r k l ɑː r ə r
legges	l ê ɡː ə s
lot	l uː t
maria	m ɑː r j ɑ
russiske	r ʉ sː ɪ s k ə
tapt	t a p t
tull	t ʉ l
vestlige	ʋ ɛ s t l ɪ ə
andres	ɑ n d r ə s
bruken	b r ʉː k n̩
dagene	d ɑː ɡ ə n ə
forventet	f ɔ r ʋ ɛ n t ə
historisk	h ɪ s t uː r ɪ s k
håpe	h oː p ə
ifra	ɪ f r ɑ
jensen	j ɛ n s n̩
maten	m ɑː t n̩
send	s ɛ n
skapt	s k a p t
skiller	ʃ ɪ lː ə r
skipet	ʃ iː p ə
slag	ʂ l ɑː ɡ
såpass	s oː p a s
tilbyr	t ɪ l b yː r
trene	t ɾ eː n ə
trengs	t ɾ ɛ ŋ s
vokser	ʋ ɔ k s ə r
andel	ɑ n d ə l
begrenset	b ə ɡ r ɛ n s ə
brudd	b r ʉ dː
brukere	b r ʉː k ə r ə
bry	b r yː
drift	d r ɪ f t
fakta	f a k t a
kurs	k ʉ ʂ
kvinnelige	k ʋ ɪ nː ə l ɪ ə
ledelsen	l eː d ə l s n̩
nemlig	n ɛ m l ɪ
olsen	uː l s n̩
populære	p u p ʉ l æː r ə
sju	ʃ ʉː
sykt	s ʏ k t
sønnen	s œ nː n̩
universitetet	ʉ n ɪ ʋ ɛ ʁ s ɪ t eː t ə
utenom	ʉː t ə n uː m
viss	ʋ ɪ sː
båten	b oː t n̩
do	d uː
dukker	d ʉ kː ə r
former	f ɔ r m ə r
gjennomføre	j ɛ nː ɔ m f øː r ə
hunden	h ʉ n d n̩
merker	m æ r k ə r
midten	m ɪ tː n̩
omgang	ɔ m ɡ ɑ ŋ
pc	p eː s eː
publisert	p ʉ b l ɪ s eː ʁ t
tas	t ɑː s
vekst	ʋ ɛ k s t
vent	ʋ ɛ n t
al	ɑː l
bar	b ɑː r
befolkning	b ə f ɔ l k n ɪ ŋ
dekker	d ɛ kː ə r
forbudt	f ɔ r b ʉ t
giftet	j ɪ f t ə
inkluderer	ɪ n k l ʉ d eː r ə r
jens	j ɛ n s
levende	l eː ʋ ə n d ə
max	m a k s
opprettet	ɔ p r ɛ tː ə
pent	p ɛ n t
plassen	p l ɑ sː n̩
posten	p ɔ s t n̩
reddet	r ɛ dː ə
syn	s yː n
søt	s øː t
taper	t ɑː p ə r
utdannelse	ʉː t d a n ə l s ə
visse	² ʋ ɪ sː ə
bussen	b ʉ sː n̩
dekket	d ɛ kː ə
eks	ɛ k s
evne	ɛ ʋ n ə
grep	ɡ r eː p
hull	h ʉ l
kunder	k ʉ n d ə r
løs	l øː s
midler	m iː d l ə r
million	m ɪ l j uː n
mottatt	m u t a t
oppgave	ɔ p ɡ ɑː ʋ ə
organisasjon	ɔ r ɡ a n ɪ s a ʃ uː n
sies	s iː s
slapp	ʂ l ɑ pː
super	s ʉː p ə r
teksten	t ɛ k s t n̩
drap	d r ɑː p
drevet	d r eː ʋ ə
ekstremt	ɛ k s t r ɛ m t
forsvar	f ɔ ʂ ʋ ɑː r
fyren	f yː r n̩
færre	f æ rː ə
glemte	ɡ l ɛ m t ə
høst	h œ s t
innebærer	ɪ nː ə b æː r ə r
oftest	ɔ f t ɛ s t
sko	s k uː
skyldes	ʃ ʏ l d ə s
snu	s n ʉː
styret	s t yː r ə
syv	s yː ʋ
voksen	ʋ ɔ k s n̩
aktivt	a k t iː ʋ t
avgjørende	ɑː ʋ j øː r ə n d ə
avstand	ɑː ʋ s t ɑ n
bryter	b r yː t ə r
dum	d ʉ m
fn	f ɛ nː
fungere	f ʊ ŋ ə r ə
gutten	ɡ ʉ tː n̩
guttene	ɡ ʉ tː ə n ə
håpet	h oː p ə
innholdet	ɪ nː h ɔ l d ə
kilde	ç ɪ l d ə
leker	l eː k ə r
motstand	m uː t s t a n
opphold	ɔ p h ɔ l
savnet	s a ʋ n ə
skjønne	² ʃ œ nː ə
spurt	s p ʉ ʈ
tør	t øː r
utstyr	ʉː t s t yː r
vinter	ʋ ɪ n t ə r
virkeligheten	ʋ ɪ r k ə l ɪ h eː t n̩
agder	a ɡ d ə r
bekymret	b ə ç ʏ m r ə
formål	f ɔ r m oː l
glipp	ɡ l ɪ pː
het	h eː t
hotell	h u t ɛ l
kampene	k a m p ə n ə
kjeft	ç ɛ f t
klager	k l ɑː ɡ ə r
ledd	l ɛ dː
lyd	l yː
mangel	m ɑ ŋ ə l
odd	ɔ dː
oppgaver	ɔ p ɡ ɑː ʋ ə r
reiste	r æ ɪ s t ə
sekunder	s ə k ʉ n d ə r
skyte	² ʃ yː t ə
suksess	s ʉ k s ɛ s
toget	t uː ɡ ə
utseende	ʉː t s eː ə n d ə
østfold	ø s t f ɔ l
arne	ɑː ɳ ə
digital	d ɪ ɡ ɪ t ɑː l
divisjon	d ɪ ʋ ɪ ʃ uː n
døra	d øː r ɑ
erna	æː ɳ ɑ
forsvare	f ɔ ʂ ʋ ɑː r ə
interesser	ɪ n t ə r ɛ sː ə r
ledet	l eː d ə
organisasjonen	ɔ r ɡ a n ɪ s a ʃ uː n n̩
plasser	p l a sː ə r
stasjon	s t a ʃ uː n
stengt	s t ɛ ŋ t
straks	s t r a k s
tallene	t ɑ lː ə n ə
truet	t r ʉː ə
tvunget	t ʋ ʊ ŋ ə
are	ɑː r ə
bærer	b æː r ə r
diskusjon	d ɪ s k ʉ ʃ uː n
diverse	d ɪ ʋ æ ʂ ə
drikker	d r ɪ kː ə r
dypt	d ʏ p t
enkle	ɛ ŋ k l ə
fett	f ɛ tː
hendelser	h ɛ n d ə l s ə r
hjernen	j æː ɳ n̩
knut	k n ʉː t
leilighet	l æ ɪ l ɪ h eː t
lukter	l ʉ k t ə r
lån	l oː n
nåværende	n oː ʋ æː r ə n d ə
one	uː n ə
pen	p eː n
presset	p r ɛ sː ə
scenen	s eː n n̩
skogen	s k uː ɡ n̩
taket	t ɑː k ə
tittelen	t ɪ tː ə l n̩
tja	ç ɑː
utgave	ʉː t ɡ ɑː ʋ ə
advokat	a d ʋ ʊ k ɑː t
anna	ɑ nː ɑ
befinner	b ə f ɪ nː ə r
ben	b eː n
co	k uː
ekteskap	ɛ k t ə s k ɑː p
feltet	f ɛ l t ə
glem	ɡ l ɛ m
hender	h ɛ n d ə r
kapasitet	k a p a s ɪ t eː t
lo	l uː
mengder	m ɛ ŋ d ə r
minutt	m ɪ n ʉ t
or	uː r
ovenfor	oː ʋ ə n f ɔ r
petter	p ɛ tː ə r
rene	r eː n ə
skjønt	ʃ øː n t
snø	s n øː
solberg	s uː l b æ r
språket	s p r oː k ə
stillinger	s t ɪ lː ɪ ŋ ə r
vinteren	ʋ ɪ n t ə r n̩
finalen	f ɪ n ɑː l n̩
forbud	f ɔ r b ʉː
fy	f yː
følelsen	f øː l ə l s n̩
glade	ɡ l ɑː d ə
jøder	j øː d ə r
leger	l eː ɡ ə r
mobilen	m uː b ɪ l n̩
mørke	² m œ r k ə
normal	n ɔ r m ɑː l
not	n uː t
overalt	oː ʋ ə r ɑː l t
sakene	s ɑː k ə n ə
san	s ɑː n
tog	t uː ɡ
aktive	a k t iː ʋ ə
harald	h ɑ r ɑ l
innlegget	ɪ nː l ɛ ɡː ə
kaldt	k a l t
karakter	k a r a k t ə r
luft	l ʉ f t
mark	m ɑ r k
melder	m ɛ l d ə r
modell	m u d ɛ l
områdene	ɔ m r oː d ə n ə
online	uː n l iː n ə
populært	p u p ʉ l æː ʈ
sistnevnte	s ɪ s t n ɛ ʋ n t ə
stakkars	s t a kː a ʁ s
stopp	s t ɔ pː
styrer	s t yː r ə r
utslipp	ʉː t ʃ l ɪ p
vidt	ʋ ɪ tː
åh	oː
bøkene	b øː k ə n ə
eksamen	ɛ k s ɑː m ə n
forlate	f ɔ ɾ l ɑː t ə
forslaget	f ɔ ʂ l ɑː ɡ ə
gata	ɡ ɑː t ɑ
jon	j uː n
konto	k u n t u
løsningen	l øː s n ɪ ŋ n̩
negative	n e ɡ a t iː ʋ ə
opptil	u p t iː l
overraskende	oː ʋ ə r a s k ə n d ə
prosessen	p r ʊ s ɛ sː n̩
red	r eː
sakte	s a k t ə
skam	s k a m
solen	s uː l n̩
stat	s t ɑː t
steg	s t æ ɪ̯
tipper	t ɪ pː ə r
bærum	b æː r u m
dreper	d r eː p ə r
drepte	d r ɛ p t ə
go	ɡ uː
hotellet	h u t ɛ lː ə
lokal	l ʊ k ɑː l
næringsliv	n æː r ɪ ŋ s l iː ʋ
preget	p r eː ɡ ə
russisk	r ʉ sː ɪ s k
tilby	t ɪ l b yː
unnskyldning	ʉ n ʃ ʏ l d n ɪ ŋ
varm	ʋ ɑ r m
behøver	b ə h øː ʋ ə r
beskyttelse	b ə ʃ ʏ tː ə l s ə
direktør	d ɪ r ɛ k t øː r
engelske	ɛ ŋ ə l s k ə
hvitt	ʋ ɪ tː
imponerende	ɪ m p ʊ n eː r ə n d ə
makten	m a k t n̩
ntnu	n t n ʉː
real	r eː ɑ l
selvmord	s ɛ l m uː r
stilt	s t ɪ l t
sur	s ʉː r
søster	s œ s t ə r
tungt	t ʊ ŋ t
usas	ʉː s ɑ s
benytter	b ə n ʏ tː ə r
dens	d ɛ n s
drev	d r eː ʋ
endrer	ɛ n d r ə r
forsvant	f ɔ ʂ ʋ ɑ n t
forvente	f ɔ r ʋ ɛ n t ə
gass	ɡ a sː
gav	ɡ ɑː ʋ
handel	h ɑ n d ə l
hitler	h iː t l ə r
kaster	k a s t ə r
kjøkkenet	ç œ kː ə n ə
kvitt	k ʋ ɪ tː
