ها	h ɒː
نوشتن	n e̞ v e̞ ʃ t æ n
دونه	d uː n e̞
عادی	ɒː d iː
میتونه	m iː t uː n e̞
میگه	m iː g e̞
هاست	h ɒː s t
هیچی	h iː t͡ʃ iː
برسه	b e̞ ɾ æ s e̞
بعدا	b e̞ ʔ d ɒː
تست	t æ s t
توپ	t uː p
داغ	d ɒː ɢ
دعا	d æ ʔ ɒː
شیرین	ʃ iː ɾ iː n
میتونم	m iː t uː n æ m
نابود	n ɒː b uː d
نوبت	n uː b æ t
کابل	k ɒː b e̞ l
کوه	k uː h
حلقه	h æ l ɢ e̞
خوشگل	x o ʃ g æ l
رفیق	ɾ æ f iː ɢ
سراغ	s o ɾ ɒː ɢ
مرده	m o ɾ d e̞
میخواد	m iː x ɒː d
میدونی	m iː d uː n iː
گیر	g iː ɾ
بهتون	b e̞ h t uː n
خاموش	x ɒː m uː ʃ
شان	ʃ ɒː n
شانس	ʃ ɒː n e̞ s
لب	l æ b
نود	n æ v æ d
ات	æ t
ایم	iː m
تعدادی	t e̞ ʔ d ɒː d iː
دستم	d æ s t æ m
دفعه	d æ f ʔ e̞
شماست	ʃ o m ɒː s t
طلایی	t æ l ɒː j iː
عادت	ɒː d æ t
فرض	f æ ɾ z
موج	m uː d͡ʒ
موزیک	m uː z iː k
هستش	h æ s t e̞ ʃ
ول	v æ l
يک	j e̞ k
کاربر	k ɒː ɾ b æ ɾ
ال	ɒː l
بیاد	b iː j ɒː d
تنهایی	t æ n æ h ɒː j iː
ثانیه	s ɒː n iː j e̞
خواهش	x ɒː h e̞ ʃ
درمورد	d æ ɾ m uː ɾ æ d
ساحل	s ɒː h e̞ l
سرش	s e̞ ɾ e̞ ʃ
شون	ʃ uː n
قدیم	ɢ æ d iː m
كار	k ɒː ɾ
میلاد	m iː l ɒː d
میگی	m iː g iː
کلاه	k e̞ l ɒː h
new	n j uː
آی	ɒː j
اوه	o h
سفارش	s æ f ɒː ɾ e̞ ʃ
قربانی	ɢ æ ɾ b ɒː n iː
متحد	m æ t æ h æ d
مد	m æ d
مهمه	m æ h m e̞
چوب	t͡ʃ uː b
کرمان	k æ ɾ m ɒː n
اف	ɒː f
اینستاگرام	iː n e̞ s t ɒː g e̞ ɾ ɒː m
باران	b ɒː ɾ ɒː n
بگی	b e̞ g iː
رستوران	ɾ o s t uː ɾ ɒː n
روستای	ɾ uː s t ɒː j
زمینی	z æ m iː n iː
شیشه	ʃ iː ʃ e̞
طرز	t æ ɾ z
فک	f e̞ k
فیزیک	f iː z iː k
مادرش	m ɒː d e̞ ɾ e̞ ʃ
مخصوص	m æ x s uː s
معلومه	m æ ʔ l uː m e̞
مهمی	m æ h m iː
هاش	h ɒː ʃ
گربه	g æ ɾ b e̞
آدما	ɒː d æ m ɒː
آفتاب	ɒː f t ɒː b
امیدوارم	æ m iː d æ v ɒː ɾ æ m
بذار	b e̞ z ɒː ɾ
تصویری	t æ s v iː ɾ iː
فعلی	f æ ʔ l iː
قشنگ	ɢ e̞ ʃ æ n g
قلعه	ɢ æ l ʔ e̞
قهرمانان	ɢ æ h ɾ æ m ɒː n ɒː n
مسعود	m æ s ʔ uː d
نا	n ɒː
گذاشتن	g o z ɒː ʃ t æ n
گردن	g æ ɾ d æ n
آواز	ɒː v ɒː z
بدیم	b e̞ d iː m
بنده	b æ n d e̞
خاطرات	x ɒː t e̞ ɾ ɒː t
رقص	ɾ æ ɢ s
سند	s æ n d
سکه	s e̞ k e̞
عالم	ɒː l æ m
فعلا	f e̞ ʔ l ɒː
لعنتی	l æ ʔ n t iː
متحده	m æ t æ h d e̞
معمولی	m æ ʔ m uː l iː
میره	m iː ɾ e̞
میز	m iː z
ندارن	n æ d ɒː ɾ æ n
کاش	k ɒː ʃ
کافه	k ɒː f e̞
کپی	k æ p iː
in	iː n
آل	ɒː l
اکبر	æ k b æ ɾ
حرم	h æ ɾ æ m
دستش	d æ s t e̞ ʃ
سامانه	s ɒː m ɒː n e̞
سختی	s o x t iː
عالیه	ɒː l iː j e̞
فاز	f ɒː z
متهم	m æ t æ h æ m
منظورم	m æ n z uː ɾ æ m
همدان	h æ m d ɒː n
پنهان	p e̞ n æ h ɒː n
چهل	t͡ʃ e̞ h e̞ l
کجاست	k e̞ d͡ʒ ɒː s t
گناه	g o n ɒː h
تام	t ɒː m
تدریس	t æ d æ ɾ iː s
حافظه	h ɒː f z e̞
سرت	s o ɾ t
كردن	k æ ɾ d æ n
کاربران	k ɒː ɾ b e̞ ɾ ɒː n
کف	k o f
کله	k e̞ l e̞
کلیه	k e̞ l j e̞
گزینه	g o z iː n e̞
آبان	ɒː b ɒː n
ابن	æ b æ n
بخواد	b e̞ x ɒː d
حافظ	h ɒː f e̞ z
خاطره	x ɒː t e̞ ɾ e̞
راز	ɾ ɒː z
رم	ɾ æ m
مربی	m æ ɾ b iː
مغازه	m æ ɢ ɒː z e̞
موبایل	m uː b ɒː j e̞ l
چراغ	t͡ʃ æ ɾ ɒː ɢ
اه	e̞
برج	b e̞ ɾ æ d͡ʒ
ديگر	d iː g æ ɾ
زرد	z o ɾ æ d
زندانی	z æ n d ɒː n iː
شم	ʃ æ m
شکسته	ʃ e̞ k æ s t e̞
عصبی	æ s b iː
فایل	f ɒː j e̞ l
لو	l uː
مجدد	m æ d͡ʒ d æ d
مریم	m æ ɾ iː m
ورودی	v o ɾ uː d iː
پاییز	p ɒː j iː z
کفش	k o f ʃ
بازیگران	b ɒː z iː g e̞ ɾ ɒː n
تخصصی	t æ x s æ s iː
حالم	h ɒː l æ m
خانگی	x ɒː n g iː
خدای	x æ d ɒː j
سنی	s æ n iː
هویت	h æ v iː t
ویندوز	v iː j ɒː n d uː z
کانادا	k ɒː n ɒː d ɒː
اشکال	æ ʃ k ɒː l
ایمان	iː m ɒː n
سیر	s iː ɾ
سینه	s iː n e̞
لایه	l ɒː j e̞
ویروس	v iː ɾ uː s
گریه	g e̞ ɾ j e̞
تأثیر	t æ ʔ s iː ɾ
دستت	d æ s t æ t
دعوا	d æ ʔ v ɒː
دوستم	d uː s t æ m
زهرا	z æ h ɾ ɒː
شلیک	ʃ o l iː k
ظهر	z æ h ɾ
غم	ɢ æ m
فوت	f uː t
میگن	m iː g æ n
هندی	h æ n d iː
وکیل	v æ k iː l
پرچم	p æ ɾ t͡ʃ æ m
انگشت	æ n g æ ʃ t
بالایی	b ɒː l ɒː j iː
برگ	b æ ɾ g
بشی	b e̞ ʃ iː
تقدیم	t æ ɢ d iː m
ته	t e̞
جلد	d͡ʒ æ l æ d
حمید	h æ m iː d
خرج	x æ ɾ æ d͡ʒ
دوستی	d uː s t iː
فرا	f æ ɾ ɒː
فرستاده	f e̞ ɾ e̞ s t ɒː d e̞
فرمان	f æ ɾ m ɒː n
قصه	ɢ æ s e̞
مخصوصا	m æ x s uː s ɒː
مسیح	m æ s iː h
ملک	m æ l e̞ k
نشسته	n e̞ ʃ æ s t e̞
وقته	v æ ɢ t e̞
پسره	p æ s o ɾ e̞
چای	t͡ʃ ɒː j
کشتن	k o ʃ t æ n
آروم	ɒː ɾ æ v æ m
تفکر	t æ f k æ ɾ
دوستت	d uː s t æ t
رنج	ɾ æ n d͡ʒ
ریز	ɾ iː z
سلطان	s æ l t ɒː n
سیب	s iː b
شور	ʃ uː ɾ
عبدالله	æ b d ɒː l e̞
قرص	ɢ æ ɾ s
چهارشنبه	t͡ʃ æ h ɒː ɾ e̞ ʃ æ n b e̞
گه	g e̞
باحال	b ɒː h ɒː l
دیر	d iː ɾ
عملی	æ m æ l iː
لبخند	l æ b x æ n d
مارک	m ɒː ɾ e̞ k
متولد	m æ t uː l æ d
مجوز	m æ d͡ʒ uː z
محله	m æ h l e̞
هام	h ɒː m
کارش	k ɒː ɾ e̞ ʃ
بارون	b ɒː ɾ uː n
بخوره	b e̞ x o ɾ e̞
تأمین	t æ ʔ m iː n
تجاوز	t æ d͡ʒ ɒː v æ z
روغن	ɾ uː ɢ æ n
زنجان	z æ n d͡ʒ ɒː n
سلول	s o l uː l
شریف	ʃ o ɾ iː f
قطعات	ɢ e̞ t ʔ ɒː t
محاسبه	m æ h ɒː s b e̞
مخفی	m æ x o f iː
هدیه	h æ d iː j e̞
هوشمند	h uː ʃ o m æ n d
پاره	p ɒː ɾ e̞
پيش	p iː ʃ
کوچولو	k uː t͡ʃ uː l o
گرامی	g e̞ ɾ ɒː m iː
گرگ	g æ ɾ g
یار	j ɒː ɾ
اونوقت	o n æ v æ ɢ t
بلوچستان	b e̞ l uː t͡ʃ æ s t ɒː n
جاش	d͡ʒ ɒː ʃ
صوتی	s uː t iː
طنز	t æ n z
فروشگاه	f o ɾ uː ʃ g ɒː h
فیزیکی	f iː z iː k iː
لا	l ɒː
محکم	m æ h k æ m
مصطفی	m æ s t æ f iː
مه	m æ h
نیوز	n æ j o z
همینه	h æ m iː n e̞
وحشی	v æ h ʃ iː
پنجاه	p e̞ n d͡ʒ ɒː h
گذر	g o z æ ɾ
گند	g æ n d
آخرش	ɒː x e̞ ɾ e̞ ʃ
بمونه	b e̞ m uː n e̞
بیدار	b iː d ɒː ɾ
توجهی	t uː d͡ʒ æ h iː
جهنم	d͡ʒ æ h n æ m
حقیقی	h æ ɢ iː ɢ iː
رمز	ɾ æ m z
شرمنده	ʃ o ɾ m æ n d e̞
شگفت	ʃ e̞ g o f t
طلاق	t æ l ɒː ɢ
فساد	f e̞ s ɒː d
قلبم	ɢ æ l b æ m
قلبی	ɢ æ l æ b iː
مست	m æ s t
نفتی	n æ f t iː
نوار	n æ v ɒː ɾ
هوش	h uː ʃ
چرخ	t͡ʃ æ ɾ x
کلام	k e̞ l ɒː m
کلیپ	k e̞ l iː p
ازمون	ɒː z m uː n
بزنن	b e̞ z æ n æ n
تبلیغ	t æ b l iː ɢ
تکه	t e̞ k e̞
جديد	d͡ʒ o d iː d
حاوی	h ɒː v iː
خجالت	x æ d͡ʒ ɒː l æ t
دراز	d æ ɾ ɒː z
راس	ɾ ɒː s
رحم	ɾ æ h æ m
رنگی	ɾ æ n g iː
شعار	ʃ e̞ ʔ ɒː ɾ
شکار	ʃ e̞ k ɒː ɾ
قضاوت	ɢ æ z ɒː v æ t
مراقب	m æ ɾ ɒː ɢ æ b
موسی	m uː s iː
مون	m uː n
نان	n ɒː n
نت	n æ t
نماد	n æ m ɒː d
پیر	p iː ɾ
کشیدن	k e̞ ʃ iː d æ n
گره	g e̞ ɾ e̞
آذر	ɒː z æ ɾ
تأکید	t æ ʔ k iː d
تری	t æ ɾ iː
دیجیتال	d iː d͡ʒ iː t ɒː l
شنا	ʃ e̞ n ɒː
شیرازی	ʃ iː ɾ ɒː z iː
شیمی	ʃ iː m iː
طوفان	t uː f ɒː n
متصل	m æ t æ s æ l
محبوب	m æ h b uː b
مک	m æ k
همين	h æ m iː n
پرتاب	p æ ɾ t ɒː b
گلستان	g o l æ s t ɒː n
یادت	j ɒː d æ t
یاری	j ɒː ɾ iː
امن	æ m æ n
اینم	iː n æ m
برش	b e̞ ɾ e̞ ʃ
بيشتر	b iː ʃ e̞ t o ɾ
بگیره	b e̞ g iː ɾ e̞
جواد	d͡ʒ æ v ɒː d
زیبای	z iː b ɒː j
فرود	f o ɾ uː d
فینال	f iː n ɒː l
مدافع	m æ d ɒː f e̞ ʔ
مذهب	m æ z h æ b
میشی	m iː ʃ iː
هزاره	h e̞ z ɒː ɾ e̞
همسرش	h æ m s e̞ ɾ e̞ ʃ
همگی	h æ m g iː
واسم	v ɒː s æ m
ور	v æ ɾ
گاو	g ɒː v
گلی	g o l iː
اردبیل	æ ɾ d æ b iː l
بخیر	b e̞ x iː ɾ
بذارم	b e̞ z ɒː ɾ æ m
تاج	t ɒː d͡ʒ
جاری	d͡ʒ ɒː ɾ iː
حاجی	h ɒː d͡ʒ iː
حین	h iː n
دوش	d uː ʃ
روزگار	ɾ uː z g ɒː ɾ
روستا	ɾ uː s t ɒː
رکورد	ɾ e̞ k uː ɾ æ d
زندانیان	z æ n d ɒː n j ɒː n
فی	f iː
منطق	m æ n t æ ɢ
هات	h ɒː t
همراهی	h æ m o ɾ ɒː h iː
هيچ	h iː t͡ʃ
وقتا	v æ ɢ t ɒː
پسرم	p æ s o ɾ æ m
کمپانی	k æ m p ɒː n iː
اتمی	æ t æ m iː
برادران	b æ ɾ ɒː d æ ɾ ɒː n
بطور	b e̞ t uː ɾ
بو	b uː
بوی	b uː j
تاریکی	t ɒː ɾ iː k iː
جدایی	d͡ʒ o d ɒː j iː
دارین	d ɒː ɾ iː n
سکوت	s e̞ k uː t
صاف	s ɒː f
مامانم	m ɒː m ɒː n æ m
پسرش	p æ s e̞ ɾ e̞ ʃ
کلا	k e̞ l ɒː
اخر	æ x æ ɾ
بابام	b ɒː b ɒː m
بندر	b e̞ n d æ ɾ
بهمون	b e̞ h æ m uː n
تجزیه	t æ d͡ʒ z iː j e̞
حجاب	h e̞ d͡ʒ ɒː b
ديگه	d iː g e̞
ری	ɾ iː
شکنجه	ʃ e̞ k æ n d͡ʒ e̞
فیلمی	f iː l æ m iː
محتوای	m æ h t æ v ɒː j
مخدر	m æ x æ d æ ɾ
معمول	m æ ʔ m uː l
میدی	m iː d iː
نیو	n æ j o
وان	v ɒː n
کون	k uː n
گول	g uː l
یادم	j ɒː d æ m
امارات	æ m ɒː ɾ ɒː t
امین	æ m iː n
ایام	iː j ɒː m
برف	b e̞ ɾ æ f
تحریک	t æ h ɾ iː k
تسلیم	t æ s l iː m
حساس	h e̞ s ɒː s
خوانده	x ɒː n d e̞
دارویی	d ɒː ɾ uː j iː
دام	d ɒː m
شلوار	ʃ o l v ɒː ɾ
شوخی	ʃ uː x iː
ظریف	z æ ɾ iː f
عده	æ d e̞
علامت	æ l ɒː m æ t
غروب	ɢ o ɾ uː b
فردوسی	f æ ɾ d uː s iː
فقیه	f æ ɢ j e̞
لازمه	l ɒː z m e̞
مدعی	m æ d æ ʔ iː
مرتضی	m æ ɾ t æ z iː
معدنی	m æ ʔ d æ n iː
مقصد	m æ ɢ s æ d
پایانی	p ɒː j ɒː n iː
چاه	t͡ʃ ɒː h
گلوله	g o l uː l e̞
آپارتمان	ɒː p ɒː ɾ t æ m ɒː n
بال	b ɒː l
بانوان	b ɒː n æ v ɒː n
باهات	b ɒː h ɒː t
باهاشون	b ɒː h ɒː ʃ o n
بغل	b e̞ ɢ æ l
بنی	b e̞ n iː
ترور	t æ ɾ v æ ɾ
تعلق	t æ ʔ l æ ɢ
تمدن	t æ m d æ n
سرکوب	s æ ɾ k uː b
سیستان	s iː s t ɒː n
شبانه	ʃ o b ɒː n e̞
عباسی	æ b ɒː s iː
عناصر	æ n ɒː s e̞ ɾ
فرشته	f e̞ ɾ e̞ ʃ t e̞
مرتبه	m æ ɾ t æ b e̞
مقالات	m æ ɢ ɒː l ɒː t
نمیخوام	n e̞ m iː x ɒː m
نکردن	n æ k æ ɾ d æ n
همتون	h æ m t uː n
پاپ	p ɒː p
پدرم	p æ d æ ɾ æ m
کشتار	k o ʃ t ɒː ɾ
کلاسیک	k e̞ l ɒː s iː k
کیش	k iː ʃ
گری	g e̞ ɾ iː
الی	ɒː l iː
اوست	o s t
بسه	b e̞ s e̞
بصورت	b e̞ s uː ɾ æ t
بک	b e̞ k
تولیدی	t uː l iː d iː
جنده	d͡ʒ æ n d e̞
حدی	h æ d iː
حمام	h æ m ɒː m
سیم	s iː m
سینا	s iː n ɒː
سینمای	s iː n æ m ɒː j
صندلی	s æ n d æ l iː
طلب	t æ l æ b
قشنگه	ɢ e̞ ʃ æ n g e̞
لرستان	l e̞ ɾ e̞ s t ɒː n
مرزی	m æ ɾ z iː
نبودن	n æ b uː d æ n
هرچی	h æ ɾ t͡ʃ iː
پروانه	p æ ɾ v ɒː n e̞
کریم	k æ ɾ iː m
گویا	g uː j ɒː
by	b iː
آرش	ɒː ɾ e̞ ʃ
آزار	ɒː z ɒː ɾ
اسنپ	æ s n æ p
امان	æ m ɒː n
برداشته	b æ ɾ d ɒː ʃ t e̞
بیل	b iː l
ترکیبی	t æ ɾ k iː b iː
جوجه	d͡ʒ uː d͡ʒ e̞
خروجی	x o ɾ uː d͡ʒ iː
خواص	x ɒː s
دهان	d æ h ɒː n
دیشب	d iː ʃ o b
شاخه	ʃ ɒː x e̞
عام	ɒː m
فوری	f uː ɾ iː
مار	m ɒː ɾ
مترجم	m æ t æ ɾ d͡ʒ æ m
محدودیت	m æ h d uː d iː t
معدن	m æ ʔ d æ n
منی	m æ n iː
میام	m æ j ɒː m
پاش	p ɒː ʃ
پناه	p æ n ɒː h
پولی	p uː l iː
کیک	k iː k
یو	j o
news	n j uː s
آه	ɒː h
اشک	æ ʃ k
الدین	ɒː l d iː n
اید	iː d
بتونم	b e̞ t uː n æ m
بومی	b uː m iː
تکیه	t e̞ k j e̞
جفت	d͡ʒ o f t
خودکار	x o d k ɒː ɾ
سارا	s ɒː ɾ ɒː
سرانجام	s o ɾ ɒː n d͡ʒ ɒː m
سوره	s uː ɾ e̞
شادی	ʃ ɒː d iː
شر	ʃ o ɾ
شیطان	ʃ iː t ɒː n
صدام	s e̞ d ɒː m
طراح	t æ ɾ ɒː h
مجید	m æ d͡ʒ iː d
مزه	m æ z e̞
موی	m uː j
نداده	n æ d ɒː d e̞
نمره	n æ m o ɾ e̞
نمیتونی	n e̞ m iː t uː n iː
پژوهشی	p æ ʒ uː h e̞ ʃ iː
ادم	æ d æ m
بسیج	b e̞ s iː d͡ʒ
جرات	d͡ʒ o ɾ ɒː t
جورج	d͡ʒ uː ɾ æ d͡ʒ
دوستش	d uː s t e̞ ʃ
دوچرخه	d uː t͡ʃ æ ɾ x e̞
رمضان	ɾ æ m z ɒː n
رونمایی	ɾ uː n æ m ɒː j iː
روي	ɾ æ v iː
زیارت	z iː j ɒː ɾ æ t
سالهای	s ɒː l e̞ iː
ستون	s o t uː n
شهدای	ʃ æ h d ɒː j
علائم	æ l ɒː ʔ æ m
موافق	m æ v ɒː f e̞ ɢ
نامزد	n ɒː m æ z æ d
نوروز	n æ v æ ɾ uː z
نگاهی	n æ g ɒː h iː
هادی	h ɒː d iː
همت	h æ m t
کارا	k ɒː ɾ ɒː
بدونم	b e̞ d uː n æ m
بردار	b æ ɾ d ɒː ɾ
بشیم	b e̞ ʃ iː m
بوم	b uː m
بیار	b iː j ɒː ɾ
تجمع	t æ d͡ʒ m æ ʔ
تحصیلی	t æ h s iː l iː
ترجیح	t æ ɾ d͡ʒ iː h
تمیز	t æ m iː z
توماس	t uː m ɒː s
ثروت	s o ɾ uː t
جوری	d͡ʒ uː ɾ iː
حج	h æ d͡ʒ
خدایا	x æ d ɒː j ɒː
دریاچه	d æ ɾ j ɒː t͡ʃ e̞
راستای	ɾ ɒː s t ɒː j
زمين	z æ m iː n
سازنده	s ɒː z æ n d e̞
سرور	s o ɾ v æ ɾ
شاهین	ʃ ɒː h iː n
شیعیان	ʃ iː ʔ j ɒː n
صف	s o f
فرایند	f æ ɾ ɒː j æ n d
مبتنی	m æ b t æ n iː
مرور	m æ ɾ v æ ɾ
مطابق	m æ t ɒː b e̞ ɢ
ناهار	n ɒː h ɒː ɾ
نخ	n æ x
هاتون	h ɒː t uː n
چارلز	t͡ʃ ɒː ɾ l æ z
کاره	k ɒː ɾ e̞
آر	ɒː ɾ
ادب	æ d æ b
ایمیل	iː m iː l
برقی	b e̞ ɾ æ ɢ iː
بیای	b iː j ɒː j
تقدیر	t æ ɢ d iː ɾ
جمشید	d͡ʒ æ m ʃ iː d
خودروی	x o d ɾ æ v iː
دونم	d uː n æ m
رایج	ɾ ɒː j e̞ d͡ʒ
رسول	ɾ e̞ s uː l
زوج	z uː d͡ʒ
سوراخ	s uː ɾ ɒː x
شورش	ʃ uː ɾ e̞ ʃ
طرفداران	t æ ɾ f æ d ɒː ɾ ɒː n
ظاهری	z ɒː h e̞ ɾ iː
عشقم	æ ʃ o ɢ æ m
مغزی	m æ ɢ z iː
موجودات	m uː d͡ʒ uː d ɒː t
واست	v ɒː s t
ولي	v æ l iː
پله	p æ l e̞
کریمی	k æ ɾ iː m iː
کنون	k o n uː n
گور	g uː ɾ
آیه	ɒː j e̞
ابی	æ b iː
ارباب	æ ɾ b ɒː b
اونها	o n æ h ɒː
بیام	b iː j ɒː m
تپه	t æ p e̞
حذفی	h æ z æ f iː
