the	t eː
center	s ɛ n t ə r
groeit	ɣ r u i̯ t
overleed	oː v ə r l eː t
party	p ɑ r t i
professionele	p r oː f ɛ ʃ oː n eː l ə
schijnt	s x ɛ i̯ n t
tijdelijke	t ɛ i̯ d ə l ə k ə
uitgegeven	œ y̯ t x ə ɣ eː v ə
verspreid	v ə r s p r ɛ i̯ t
volgend	v ɔ l ɣ ə n t
vroege	v r u ɣ ə
winnaars	ʋ ɪ n aː r s
dorpen	d ɔ r p ə
eilanden	ɛ i̯ l ɑ n d ə
eindigt	ɛ i̯ n d ɪ x t
gezonde	ɣ ə z ɔ n d ə
henry	ɦ ɛ n r i
ict	ɪ k t
muren	m yː r ə
nederlanders	n eː d ə r l ɑ n d ə r s
samenwerken	s aː m ə n ʋ ɛ r k ə
tegenstelling	t eː ɣ ə n s t ɛ l ɪ ŋ
tuurlijk	t yː r l ə k
xxx	ɛ k s
zorgde	z ɔ r x d ə
amerikanen	aː m eː r i k aː n ə
banken	b ɑ ŋ k ə
donkere	d ɔ ŋ k ə r ə
elementen	eː l ə m ɛ n t ə
gewend	ɣ ə ʋ ɛ n t
hierna	ɦ iː r n aː
indiase	ɪ n d i aː z ə
inzetten	ɪ n z ɛ t ə
klachten	k l ɑ x t ə
krachten	k r ɑ x t ə
locaties	l oː k aː s i s
ondersteuning	ɔ n d ə r s t øː n ɪ ŋ
oorspronkelijke	oː r s p r ɔ ŋ k ə l ə k ə
plaatselijke	p l aː t s ə l ə k ə
technisch	t ɛ x n i s
treinen	t r ɛ i̯ n ə
veroordeeld	v ə r oː r d eː l t
voert	v u r t
ed	ɛ t
financieel	f i n ɑ n s i eː l
gestopt	ɣ ə s t ɔ p t
gevaarlijke	ɣ ə v aː r l ə k ə
girl	ɣ ɪ r l
legde	l ɛ x d ə
levens	l eː v ə n s
liedjes	l i t j ə s
meldt	m ɛ l t
steve	s t eː v ə
toegankelijk	t u ɣ ɑ ŋ k ə l ə k
verklaard	v ə r k l aː r t
vertrokken	v ə r t r ɔ k ə
voorkomt	v oː r k ɔ m t
bill	b ɪ l
inkomen	ɪ n k oː m ə
kg	k aː ɣ eː
not	n ɔ t
ongelooflijk	ɔ ŋ ɣ ə l oː f l ə k
oplossingen	ɔ p l ɔ s ɪ ŋ ə
overtuigd	oː v ə r t œ y̯ x t
plaatste	p l aː t s t ə
verborgen	v ə r b ɔ r ɣ ə
wiens	ʋ i n s
alexander	aː l ɛ k s ɑ n d ə r
arabische	aː r aː b i s ə
bedoelde	b ə d u l d ə
besteld	b ə s t ɛ l t
from	f r ɔ m
gerust	ɣ ə r ʏ s t
geslaagd	ɣ ə s l aː x t
goederen	ɣ u d ə r ə
hierop	ɦ iː r ɔ p
identiteit	i d ɛ n t i t ɛ i̯ t
kevin	k eː v ɪ n
kunstenaars	k ʏ n s t ə n aː r s
leerde	l eː r d ə
merken	m ɛ r k ə
nadenken	n aː d ɛ ŋ k ə
onderdelen	ɔ n d ə r d eː l ə
ouderen	ɑ u̯ d ə r ə
slimme	s l ɪ m ə
stuurde	s t yː r d ə
tony	t oː n i
vandaar	v ɑ n d aː r
vernietigd	v ə r n i t ə x t
artiesten	ɑ r t i s t ə
behoort	b ə ɦ oː r t
eric	eː r ɪ k
gepland	ɣ ə p l ɑ n t
gescheiden	ɣ ə s x ɛ i̯ d ə
getekend	ɣ ə t eː k ə n t
kleiner	k l ɛ i̯ n ə r
kleinere	k l ɛ i̯ n eː r ə
line	l i n ə
minste	m ɪ n s t ə
united	y n i t ɛ t
voorwaarden	v oː r ʋ aː r d ə
westerse	ʋ ɛ s t ə r s ə
award	aː ʋ ɑ r t
belangen	b ə l ɑ ŋ ə
bestond	b ə s t ɔ n t
gaande	ɣ aː n d ə
gevormd	ɣ ə v ɔ r m t
henk	ɦ ɛ ŋ k
junior	j y n i ɔ r
liedje	l i t j ə
marc	m ɑ r k
modellen	m oː d ɛ l ə
onbekende	ɔ n b ə k ɛ n d ə
plaatje	p l aː t j ə
publiceerde	p y b l i s eː r d ə
rt	ɛ r t eː
simon	s i m ɔ n
terugkeer	t ə r ʏ x k eː r
toegepast	t u ɣ ə p ɑ s t
vielen	v i l ə
ajax	aː j ɑ k s
aparte	aː p ɑ r t ə
families	f aː m i l i s
functies	f ʏ ŋ k s i s
gezellige	ɣ ə z ɛ l ə ɣ ə
harte	ɦ ɑ r t ə
investeren	ɪ n v ɛ s t ə r ə
jongste	j ɔ ŋ s t ə
kandidaten	k ɑ n d i d aː t ə
lee	l eː
lichte	l ɪ x t ə
ofwel	ɔ f ʋ ɛ l
organiseert	ɔ r ɣ aː n i z eː r t
play	p l eː
specifieke	s p eː s i f i k ə
uitgenodigd	œ y̯ t x ə n oː d ə x t
veranderde	v ə r ɑ n d ə r d ə
beperkte	b ə p ɛ r k t ə
filmpjes	f ɪ l m p j ə s
johan	j oː ɦ ɑ n
jongere	j ɔ ŋ ə r ə
medicijnen	m eː d i s ɛ i̯ n ə
opvallend	ɔ p f ɑ l ə n t
prestaties	p r ɛ s t aː s i s
voordelen	v oː r d eː l ə
artsen	ɑ r t s ə
betaalde	b ə t aː l d ə
duitsers	d œ y̯ t s ə r s
extreme	ɛ k s t r eː m ə
filmpje	f ɪ l m p j ə
gekke	ɣ ɛ k ə
hetgeen	ɦ ɛ t x eː n
keuzes	k øː z ə s
off	ɔ f
reguliere	r eː ɣ y l iː r ə
verkrijgbaar	v ə r k r ɛ i̯ x b aː r
verrast	v ə r ɑ s t
vlakbij	v l ɑ k b ɛ i̯
volop	v oː l ɔ p
beloofd	b ə l oː f t
bewaard	b ə ʋ aː r t
bewezen	b ə ʋ eː z ə
clubs	k l ʏ p s
democratische	d eː m oː k r aː t i s ə
fotograaf	f oː t oː ɣ r aː f
getroffen	ɣ ə t r ɔ f ə
leugens	l øː ɣ ə n s
levende	l eː v ə n d ə
ms	ɛ m ɛ s
naartoe	n aː r t u
vastgelegd	v ɑ s t x ə l ɛ x t
white	ʋ i t ə
apparaten	ɑ p aː r aː t ə
aspecten	ɑ s p ɛ k t ə
contacten	k ɔ n t ɑ k t ə
diepe	d i p ə
kijkers	k ɛ i̯ k ə r s
king	k ɪ ŋ
mini	m i n i
nick	n ɪ k
onderhoud	ɔ n d ə r ɦ ɑ u̯ t
roy	r ɔ i̯
stopte	s t ɔ p t ə
triest	t r i s t
vergeleken	v ə r ɣ ə l eː k ə
verzameld	v ə r z aː m ə l t
voorbereid	v oː r b ə r ɛ i̯ t
walter	ʋ ɑ l t ə r
wetenschappelijke	ʋ eː t ə n s x ɑ p ə l ə k ə
australische	ɑ u̯ s t r aː l i s ə
betaal	b ə t aː l
degenen	d eː ɣ ə n ə
dick	d ɪ k
dochters	d ɔ x t ə r s
eerlijke	eː r l ə k ə
emoties	eː m oː s i s
geestelijke	ɣ eː s t ə l ə k ə
gevangenen	ɣ ə v ɑ ŋ ə n ə
kijkje	k ɛ i̯ k j ə
mac	m ɑ k
militairen	m i l i t ɛː r ə
provincies	p r oː v ɪ n s i s
tropische	t r oː p i s ə
verschijnt	v ə r s x ɛ i̯ n t
waarover	ʋ aː r oː v ə r
your	j uː r
advocaten	ɑ t f oː k aː t ə
bedraagt	b ə d r aː x t
beschrijft	b ə s x r ɛ i̯ f t
besproken	b ə s p r oː k ə
domme	d ɔ m ə
erik	eː r ɪ k
muzikale	m y z i k aː l ə
noordelijke	n oː r d ə l ə k ə
oscar	ɔ s k ɑ r
robin	r oː b ɪ n
voorzieningen	v oː r z i n ɪ ŋ ə
vriendje	v r i n t j ə
will	ʋ ɪ l
am	ɑ m
deelt	d eː l t
effecten	ɛ f ɛ k t ə
eh	eː
eigenschappen	ɛ i̯ ɣ ə n s x ɑ p ə
gewonden	ɣ ə ʋ ɔ n d ə
gezamenlijke	ɣ ə z aː m ə l ə k ə
geïnspireerd	ɣ ə ɪ n s p i r eː r t
grand	ɣ r ɑ n t
group	ɣ r u p
herinnert	ɦ ɛ r ɪ n ə r t
kaartje	k aː r t j ə
mary	m aː r i
onszelf	ɔ n s ɛ l f
onzeker	ɔ n z eː k ə r
patrick	p aː t r ɪ k
plaatst	p l aː t s t
toeristen	t u r ɪ s t ə
valse	v ɑ l s ə
waaruit	ʋ aː r œ y̯ t
wetenschappers	ʋ eː t ə n s x ɑ p ə r s
brian	b r i ɑ n
dutch	d ʏ t ʃ
gezamenlijk	ɣ ə z aː m ə l ə k
hi	ɦ i
kennelijk	k ɛ n ə l ə k
letters	l ɛ t ə r s
marco	m ɑ r k oː
omroep	ɔ m r u p
ontwikkelde	ɔ n t ʋ ɪ k ə l d ə
or	ɔ r
partners	p ɑ r t n ə r s
reizigers	r ɛ i̯ z ə ɣ ə r s
road	r oː t
un	ʏ n
verhogen	v ə r ɦ oː ɣ ə
verklaart	v ə r k l aː r t
wettelijke	ʋ ɛ t ə l ə k ə
boze	b oː z ə
brachten	b r ɑ x t ə
eindigde	ɛ i̯ n d ə x d ə
elektronische	eː l ɛ k t r oː n i s ə
genomineerd	ɣ ə n oː m i n eː r t
geproduceerd	ɣ ə p r oː d y s eː r t
gestorven	ɣ ə s t ɔ r v ə
grapje	ɣ r ɑ p j ə
hierboven	ɦ iː r b oː v ə
moeilijker	m u i̯ l ə k ə r
onderzoekers	ɔ n d ə r z u k ə r s
opmerkingen	ɔ p m ɛ r k ɪ ŋ ə
opzet	ɔ p z ɛ t
tijde	t ɛ i̯ d ə
treedt	t r eː t
vanmiddag	v ɑ n m ɪ d ɑ x
vincent	v ɪ n s ɛ n t
vreselijke	v r eː z ə l ə k ə
bedoelt	b ə d u l t
betrouwbare	b ə t r ɑ u̯ b aː r ə
binnenlandse	b ɪ n ə l ɑ n t s ə
drukke	d r ʏ k ə
eeuwen	eː u̯ ə
flinke	f l ɪ ŋ k ə
francisco	f r ɑ n s i s k oː
gelaten	ɣ ə l aː t ə
gezeten	ɣ ə z eː t ə
goedkope	ɣ u t k oː p ə
good	ɣ oː t
jo	j oː
kranten	k r ɑ n t ə
noodzakelijk	n oː t s aː k ə l ə k
obama	oː b aː m aː
scott	s k ɔ t
slotte	s l ɔ t ə
south	s ɑ u̯ t
tieten	t i t ə
university	y n i v ɛ r z i t i
verdachten	v ə r d ɑ x t ə
vergroten	v ə r ɣ r oː t ə
verwachtingen	v ə r ʋ ɑ x t ɪ ŋ ə
vi	v i
vijanden	v ɛ i̯ ɑ n d ə
voorwerpen	v oː r ʋ ɛ r p ə
vriendinnen	v r i n d ɪ n ə
westelijke	ʋ ɛ s t ə l ə k ə
absolute	ɑ p s oː l y t ə
amsterdamse	ɑ m s t ə r d ɑ m s ə
benoemd	b ə n u m t
beschadigd	b ə s x aː d ə x t
ere	eː r ə
gespecialiseerd	ɣ ə s p eː ʃ aː l i z eː r t
informeren	ɪ n f ɔ r m eː r ə
juan	j y ɑ n
krachtige	k r ɑ x t ə ɣ ə
leiders	l ɛ i̯ d ə r s
verwoest	v ə r ʋ u s t
vooraf	v oː r ɑ f
zuidelijke	z œ y̯ d ə l ə k ə
ambtenaren	ɑ m p t ə n aː r ə
american	aː m eː r i k ɑ n
besteed	b ə s t eː t
carlos	k ɑ r l ɔ s
criminelen	k r i m i n eː l ə
eur	øː r
fysieke	f i z i k ə
island	ɪ s l ɑ n t
josé	j oː z eː
kamers	k aː m ə r s
linkse	l ɪ ŋ k s ə
marokkaanse	m aː r ɔ k aː n s ə
ns	ɛ n ɛ s
opgezet	ɔ p x ə z ɛ t
private	p r i v aː t ə
schrijvers	s x r ɛ i̯ v ə r s
smith	s m ɪ t
spelletjes	s p ɛ l ə t j ə s
statistieken	s t aː t ɪ s t i k ə
veelal	v eː l ɑ l
voorheen	v oː r ɦ eː n
weigerde	ʋ ɛ i̯ ɣ ə r d ə
werkgevers	ʋ ɛ r k x eː v ə r s
bbc	b eː b eː s eː
dennis	d ɛ n ɪ s
elizabeth	eː l i z aː b ɛ t
fred	f r ɛ t
genoemde	ɣ ə n u m d ə
gepleegd	ɣ ə p l eː x t
kritische	k r i t i s ə
little	l ɪ t ə l
massaal	m ɑ s aː l
nuttig	n ʏ t ə x
ontmoette	ɔ n t m u t ə
oprichter	ɔ p r ɪ x t ə r
opvolger	ɔ p f ɔ l ɣ ə r
ray	r eː
rivieren	r i v iː r ə
state	s t aː t ə
verbaasd	v ə r b aː s t
verdween	v ə r t ʋ eː n
verdwijnt	v ə r d ʋ ɛ i̯ n t
verklaarde	v ə r k l aː r d ə
verspreiden	v ə r s p r ɛ i̯ d ə
vertrok	v ə r t r ɔ k
voertuigen	v u r t œ y̯ ɣ ə
voice	v ɔ i̯ s
william	ʋ ɪ l i ɑ m
beslissingen	b ə s l ɪ s ɪ ŋ ə
blue	b l y
danny	d ɑ n i
gedichten	ɣ ə d ɪ x t ə
gezorgd	ɣ ə z ɔ r x t
grijze	ɣ r ɛ i̯ z ə
jim	j ɪ m
nieuwsbrief	n i u̯ s b r i f
ontbreekt	ɔ n t b r eː k t
opent	oː p ɛ n t
scherpe	s x ɛ r p ə
senator	s eː n aː t ɔ r
steekt	s t eː k t
story	s t oː r i
tegenstanders	t eː ɣ ə n s t ɑ n d ə r s
that	t ɑ t
uitkomt	œ y̯ t k ɔ m t
verwerkt	v ə r ʋ ɛ r k t
afgesproken	ɑ f x ə s p r oː k ə
beschermt	b ə s x ɛ r m t
blonde	b l ɔ n d ə
costa	k ɔ s t aː
france	f r ɑ n s
gary	ɣ aː r i
ho	ɦ oː
hugo	ɦ y ɣ oː
johnny	j oː n i
kiezers	k i z ə r s
materialen	m aː t eː r i aː l ə
ochtends	ɔ x t ə n t s
overeen	oː v ə r eː n
plotseling	p l ɔ t s ə l ɪ ŋ
stille	s t ɪ l ə
waarschuwt	ʋ aː r s x y u̯ t
what	ʋ ɑ t
wim	ʋ ɪ m
ziekenhuizen	z i k ə n ɦ œ y̯ z ə
zonen	z oː n ə
docenten	d oː s ɛ n t ə
dreigt	d r ɛ i̯ x t
eenheden	eː n ɦ eː d ə
figuren	f i ɣ yː r ə
ford	f ɔ r t
heette	ɦ eː t ə
ingediend	ɪ n ɣ ə d i n t
master	m ɑ s t ə r
series	s eː r i s
simpele	s ɪ m p ə l ə
so	s oː
talloze	t ɑ l oː z ə
traject	t r aː j ɛ k t
uitslagen	œ y̯ t s l aː ɣ ə
union	y n i ɔ n
verkregen	v ə r k r eː ɣ ə
verrassend	v ə r ɑ s ə n t
verstandig	v ə r s t ɑ n d ə x
verwijst	v ə r ʋ ɛ i̯ s t
afspraken	ɑ f s p r aː k ə
airport	ɛː r p ɔ r t
bereikte	b ə r ɛ i̯ k t ə
bewijst	b ə ʋ ɛ i̯ s t
boys	b ɔ i̯ s
breekt	b r eː k t
decennia	d eː s ɛ n i aː
