að	aː ð
eitthvað	e i h t kʰ v aː ð
erfitt	ɛ r v ɪ h t
heitir	h e iː t ɪ r
jafnframt	j a p n f r a m̥ t
komast	kʰ ɔː m a s t
komin	kʰ ɔː m ɪ n
séu	s j ɛː ʏ
tveimur	tʰ v e iː m ʏ r
undan	ʏ n t a n
áttu	a u h t ʏ
beint	p e i n̥ t
leyti	l e iː t ɪ
mikla	m ɪ h k l a
næstu	n a i s t ʏ
yrði	ɪ r ð ɪ
evrópu	ɛ v r o uː p ʏ
hverjum	kʰ v ɛ r j ʏ m
hversu	kʰ v ɛ r̥ s ʏ
miklu	m ɪ h k l ʏ
morgun	m ɔ r k ʏ n
mörg	m œ r k
aðrir	a ð r ɪ r
gekk	c ɛ h k
myndir	m ɪ n t ɪ r
viku	v ɪː k ʏ
þeirri	θ e i rː ɪ
aðrar	a ð r a r
háskóla	h a uː s k o uː l a
hætti	h a i h t ɪ
meiri	m e iː r ɪ
tveir	tʰ v e iː r
allra	a t l r a
desember	t ɛː s ɛ m p ɛː r
eldri	ɛ l t r ɪ
febrúar	f ɛː p r uː a r
fóru	f o uː r ʏ
helstu	h ɛ l s t ʏ
landinu	l a n t ɪː n ʏ
mest	m ɛ s t
seinna	s e i t n a
york	j ɔ r̥ k
öðru	œ ð r ʏ
þarf	θ a r v
þessar	θ ɛ sː a r
annarra	a nː a rː a
aðra	a ð r a
fjölda	f j œ l t a
mismunandi	m ɪ s m ʏː n a n t ɪ
nýju	n iː j ʏ
unnið	ʏ nː ɪ ð
búin	p uː ɪ n
hin	h ɪː n
notað	n ɔː t a ð
strax	s t r a k s
best	p ɛ s t
betri	p ɛː t r ɪ
liggur	l ɪ kː ʏ r
lífi	l iː v ɪ
stöðu	s t œː ð ʏ
tveggja	tʰ v ɛ cː a
frábær	f r a uː p a iː r
geti	c ɛː t ɪ
konu	kʰ ɔː n ʏ
mínum	m iː n ʏ m
nokkuð	n ɔ h k ʏ ð
sömu	s œː m ʏ
fannst	f a n s t
lét	l j ɛː t
væru	v a iː r ʏ
átta	a u h t a
illa	ɪ t l a
kann	kʰ a nː
vil	v ɪː l
vildi	v ɪ l t ɪ
ársins	a u r̥ s ɪ n s
þriðja	θ r ɪ ð j a
annan	a nː a n
flestir	f l ɛ s t ɪ r
gaf	k aː v
getum	c ɛː t ʏ m
margar	m a r k a r
mitt	m ɪ h t
akureyri	aː k ʏ r e iː r ɪ
kvenna	kʰ v ɛ nː a
lögum	l œː ɣ ʏ m
mikill	m ɪː c ɪ t l
milljónir	m ɪ l j o uː n ɪ r
sjö	s j œː
sínar	s iː n a r
síðasta	s iː ð a s t a
tvo	tʰ v ɔː
tóku	tʰ o uː k ʏ
upphafi	ʏ h p h aː v ɪ
rannsóknir	r a nː s o u h k n ɪ r
tekin	tʰ ɛː c ɪ n
upplýsingar	ʏ h p l iː s i ŋ k a r
almennt	a l m ɛ n̥ t
gamla	k a m l a
hinum	h ɪː n ʏ m
leik	l e iː k
nokkrar	n ɔ h k r a r
næst	n a i s t
sumir	s ʏː m ɪ r
vorum	v ɔː r ʏ m
kringum	kʰ r i ŋ k ʏ m
reykjavíkur	r e iː c a v iː k ʏ r
ríkisins	r iː c ɪ s ɪ n s
ýmsum	i m s ʏ m
þróun	θ r o uː ʏ n
borginni	p ɔ r c ɪ nː ɪ
skipti	s c ɪ f t ɪ
börnin	p œ r t n ɪ n
klukkan	kʰ l ʏ h k a n
störf	s t œ r v
vinnu	v ɪ nː ʏ
fengið	f e i ɲ c ɪ ð
gefur	c ɛː v ʏ r
get	c ɛː t
gær	c a iː r
mann	m a nː
urðu	ʏ r ð ʏ
áhuga	a uː h ʏː ɣ a
engu	e i ŋ k ʏ
fengu	f e i ŋ k ʏ
lagt	l a x t
mínútur	m iː n uː t ʏ r
vinstri	v ɪ n s t r ɪ
yfirleitt	ɪː v ɪ r l e i h t
bestu	p ɛ s t ʏ
fréttir	f r j ɛ h t ɪ r
inni	ɪ nː ɪ
liðið	l ɪː ð ɪ ð
norður	n ɔ r ð ʏ r
skiptir	s c ɪ f t ɪ r
staðar	s t aː ð a r
vann	v a nː
betra	p ɛː t r a
neitt	n e i h t
íslenskra	i s t l ɛ n s k r a
þremur	θ r ɛː m ʏ r
gangi	k a u ɲ c ɪ
mestu	m ɛ s t ʏ
mínu	m iː n ʏ
þessari	θ ɛ sː a r ɪ
einum	e iː n ʏ m
fari	f aː r ɪ
fremur	f r ɛː m ʏ r
haldin	h a l t ɪ n
helst	h ɛ l s t
líkt	l i x t
setti	s ɛ h t ɪ
sinnum	s ɪ nː ʏ m
svæðinu	s v a iː ð ɪ n ʏ
virðist	v ɪ r ð ɪ s t
ákveðið	a uː kʰ v ɛː ð ɪ ð
þrjú	θ r j uː
besti	p ɛ s t ɪ
dögum	t œː ɣ ʏ m
mína	m iː n a
nálægt	n a uː l a i x t
seinni	s e i t n ɪ
veg	v ɛː ɣ
vegum	v ɛː ɣ ʏ m
vilt	v ɪ l̥ t
árs	a u r̥ s
aldri	a l t r ɪ
and	a n t
barn	p a r t ⁽ʰ ⁾ n
de	t ɛː
langar	l a u ŋ k a r
skyldi	s c ɪ l t ɪ
breytt	p r e i h t
fyrirtækið	f ɪː r ɪ r tʰ a iː c ɪ ð
gerist	c ɛː r ɪ s t
lagði	l a ɣ ð ɪ
litla	l ɪ h t l a
skipta	s c ɪ f t a
suður	s ʏː ð ʏ r
verði	v ɛ r ð ɪ
íslendinga	i s t l ɛ n t i ŋ k a
íslendingar	i s t l ɛ n t i ŋ k a r
íslenskum	i s t l ɛ n s k ʏ m
þriggja	θ r ɪ cː a
þýðir	θ iː ð ɪ r
bænum	p a iː n ʏ m
eigum	e iː ɣ ʏ m
hendur	h ɛ n t ʏ r
lauk	l ø yː k
ætlar	a i h t l a r
bandaríkjunum	p a n t a r iː c ʏ n ʏ m
einhverju	e i n kʰ v ɛ r j ʏ
lokum	l ɔː k ʏ m
mönnum	m œ nː ʏ m
oftast	ɔ f t a s t
veitt	v e i h t
viljum	v ɪ l j ʏ m
ákvað	a uː kʰ v aː ð
þessara	θ ɛ sː a r a
birtist	p ɪ r̥ t ɪ s t
byrjaði	p ɪ r j aː ð ɪ
einhverjum	e i n kʰ v ɛ r j ʏ m
gerast	c ɛː r a s t
náði	n a uː ð ɪ
reyndi	r e i n t ɪ
rúmlega	r u m l ɛː ɣ a
flest	f l ɛ s t
fólks	f o u l̥ k s
hve	kʰ v ɛː
in	ɪː n
minnsta	m ɪ n s t a
miðað	m ɪː ð a ð
neðan	n ɛː ð a n
paul	pʰ ø yː l
sendi	s ɛ n t ɪ
þurfti	θ ʏ r̥ t ɪ
gerðar	c ɛ r ð a r
hefðu	h ɛ v ð ʏ
notuð	n ɔː t ʏ ð
stóra	s t o uː r a
vantar	v a n̥ t a r
þótti	θ o u h t ɪ
fleira	f l e iː r a
fólki	f o u l̥ c ɪ
gunnar	k ʏ nː a r
heimi	h e iː m ɪ
hvern	kʰ v ɛ r t ⁽ʰ ⁾ n
komi	kʰ ɔː m ɪ
myndin	m ɪ n t ɪ n
nokkra	n ɔ h k r a
degi	t e iː j ɪ
eiginlega	e iː j ɪ n l ɛː ɣ a
fullt	f ʏ l̥ t
geri	c ɛː r ɪ
lögð	l œ ɣ ð
skip	s c ɪː p
stærri	s t a i rː ɪ
talað	tʰ aː l a ð
einni	e i t n ɪ
fyrsti	f ɪ r̥ s t ɪ
gengið	c e i ɲ c ɪ ð
hingað	h i ŋ k a ð
höndum	h œ n t ʏ m
karla	kʰ a r t l a
marga	m a r k a
sambandi	s a m p a n t ɪ
síðari	s iː ð a r ɪ
yngri	i ŋ k r ɪ
breytingar	p r e iː t i ŋ k a r
eigi	e iː j ɪ
flestum	f l ɛ s t ʏ m
lista	l ɪ s t a
lýst	l i s t
vinnur	v ɪ nː ʏ r
útgáfu	uː t k a uː v ʏ
gerðu	c ɛ r ð ʏ
mikilvægt	m ɪː c ɪ l v a i x t
nemendur	n ɛː m ɛ n t ʏ r
nánast	n a uː n a s t
skóla	s k o uː l a
slíkt	s t l i x t
sumarið	s ʏː m a r ɪː ð
sýnir	s iː n ɪ r
vandamál	v a n t a m a uː l
alþingis	a l θ i ɲ c ɪ s
flutt	f l ʏ h t
framleiðslu	f r a m l e i ð s t l ʏ
harry	h a rː ɪ
huga	h ʏː ɣ a
komist	kʰ ɔː m ɪ s t
litlu	l ɪ h t l ʏ
munum	m ʏː n ʏ m
mætti	m a i h t ɪ
reynt	r e i n̥ t
skólans	s k o uː l a n s
son	s ɔː n
starfi	s t a r v ɪ
síns	s i n s
vatni	v a h t n ɪ
verkum	v ɛ r̥ k ʏ m
byggt	p ɪ x t
dr	t r ɔː
fjallar	f j a t l a r
fjögur	f j œː ɣ ʏ r
gætu	c a iː t ʏ
hug	h ʏː ɣ
james	j aː m ɛː s
löndum	l œ n t ʏ m
löngu	l ø y ŋ k ʏ
sjálfum	s j a u l v ʏ m
svæðið	s v a iː ð ɪ ð
to	tʰ ɔː
þrjár	θ r j a uː r
engar	e i ŋ k a r
helga	h ɛ l k a
hét	ç ɛː t
lést	l j ɛ s t
miklar	m ɪ h k l a r
skipt	s c ɪ f t
boðið	p ɔː ð ɪ ð
hægri	h a i ɣ r ɪ
kosti	kʰ ɔ s t ɪ
mið	m ɪː ð
orðin	ɔ r ð ɪ n
tölum	tʰ œː l ʏ m
áherslu	a uː h ɛ r̥ s t l ʏ
íbúa	iː p uː a
eigu	e iː ɣ ʏ
engan	e i ŋ k a n
fann	f a nː
hina	h ɪː n a
hugmyndir	h ʏ ɣ m ɪ n t ɪ r
lokið	l ɔː c ɪ ð
stórt	s t o u r̥ t
stöðum	s t œː ð ʏ m
síðast	s iː ð a s t
fjórum	f j o uː r ʏ m
hlaut	l̥ ø yː t
myndinni	m ɪ n t ɪ nː ɪ
málum	m a uː l ʏ m
ríkið	r iː c ɪ ð
sent	s ɛ n̥ t
snúa	s t n uː a
þekkt	θ ɛ x t
þennan	θ ɛ nː a n
þrjá	θ r j a uː
flutti	f l ʏ h t ɪ
hlut	l̥ ʏː t
leiðir	l e iː ð ɪ r
staðið	s t aː ð ɪ ð
stefnu	s t ɛ p n ʏ
stórum	s t o uː r ʏ m
séð	s j ɛː ð
þessir	θ ɛ sː ɪ r
enga	e i ŋ k a
farin	f aː r ɪ n
fjölskyldu	f j œ l s c ɪ l t ʏ
fylgjast	f ɪ l c a s t
greinar	k r e iː n a r
hitt	h ɪ h t
hættu	h a i h t ʏ
keypti	cʰ e i f t ɪ
leitt	l e i h t
nálgast	n a u l k a s t
sammála	s a mː a uː l a
sat	s aː t
skrifað	s k r ɪː v a ð
stærsta	s t a i r̥ s t a
telur	tʰ ɛː l ʏ r
verðum	v ɛ r ð ʏ m
þjónustu	θ j o uː n ʏ s t ʏ
bandaríkjanna	p a n t a r iː cʰ a nː a
bjarni	p j a r t n ɪ
bækur	p a iː k ʏ r
frábært	f r a uː p a i r̥ t
hlusta	l̥ ʏ s t a
hratt	r̥ a h t
sýnt	s i n̥ t
taldi	tʰ a l t ɪ
báðir	p a uː ð ɪ r
fjalla	f j a t l a
inniheldur	ɪ nː ɪ h ɛ l t ʏ r
kallað	kʰ a t l a ð
lætur	l a iː t ʏ r
margra	m a r k r a
mesta	m ɛ s t a
stofnað	s t ɔ p n a ð
svíþjóð	s v iː θ j o uː ð
sést	s j ɛ s t
tímum	tʰ iː m ʏ m
vissulega	v ɪ sː ʏ l ɛː ɣ a
áhyggjur	a uː h ɪ cː ʏ r
árlega	a uː r l ɛː ɣ a
aldar	a l t a r
annarri	a nː a rː ɪ
dregið	t r e iː j ɪ ð
eini	e iː n ɪ
fljótt	f l j o u h t
flokki	f l ɔ h c ɪ
notar	n ɔː t a r
spurningar	s p ʏ r t n i ŋ k a r
störfum	s t œ r v ʏ m
vissi	v ɪ sː ɪ
þitt	θ ɪ h t
augum	ø yː ɣ ʏ m
fljótlega	f l j o uː t l ɛː ɣ a
gagnvart	k a k n v a r̥ t
gerðist	c ɛ r ð ɪ s t
hinir	h ɪː n ɪ r
hinu	h ɪː n ʏ
hlutverki	l̥ ʏː t v ɛ r̥ c ɪ
lengra	l e i ŋ k r a
staðsett	s t a ð s ɛ h t
sum	s ʏː m
valdi	v a l t ɪ
vestmannaeyjum	v ɛ s t m a nː a e iː j ʏ m
washington	v aː s h i ŋ k tʰ ɔː n
árunum	a uː r ʏ n ʏ m
þætti	θ a i h t ɪ
danmörku	t a n m œ r̥ k ʏ
hinna	h ɪ nː a
hvorki	kʰ v ɔ r̥ c ɪ
kirkjunnar	cʰ ɪ r̥ c ʏ nː a r
komnir	kʰ ɔ m n ɪ r
leiki	l e iː c ɪ
lifir	l ɪː v ɪ r
lífið	l iː v ɪ ð
markmið	m a r̥ k m ɪː ð
námi	n a uː m ɪ
peter	pʰ ɛː t ɛ r
tengslum	tʰ e i ŋ k s t l ʏ m
virkilega	v ɪ r̥ c ɪ l ɛː ɣ a
berjast	p ɛ r j a s t
byrjar	p ɪ r j a r
formi	f ɔ r m ɪ
forseta	f ɔ r̥ s ɛː t a
kallast	kʰ a t l a s t
lýsir	l iː s ɪ r
metra	m ɛː t r a
myndu	m ɪ n t ʏ
mörk	m œ r̥ k
nokkru	n ɔ h k r ʏ
nærri	n a i rː ɪ
richard	r ɪː x a r t
sinnar	s ɪ nː a r
stóru	s t o uː r ʏ
sumum	s ʏː m ʏ m
alvöru	a l v œː r ʏ
borið	p ɔː r ɪ ð
einhvers	e i n kʰ v ɛ r̥ s
fáum	f a uː ʏ m
góð	k o uː ð
kjölfarið	cʰ œ l v a r ɪː ð
leikmenn	l e iː k m ɛ nː
liði	l ɪː ð ɪ
minnst	m ɪ n s t
segi	s e iː j ɪ
sjálfan	s j a u l v a n
stærstu	s t a i r̥ s t ʏ
tonn	tʰ ɔ nː
venjulega	v ɛ n j ʏ l ɛː ɣ a
völdum	v œ l t ʏ m
ýmsu	i m s ʏ
þykir	θ ɪː c ɪ r
bíl	p iː l
bókin	p o uː c ɪ n
dregur	t r ɛː ɣ ʏ r
dáin	t a uː ɪ n
einhverja	e i n kʰ v ɛ r j a
hefst	h ɛ f s t
hverja	kʰ v ɛ r j a
hætt	h a i h t
is	ɪː s
martin	m a r̥ t ɪ n
næstum	n a i s t ʏ m
tökum	tʰ œː k ʏ m
virkar	v ɪ r̥ k a r
áhrifum	a uː r̥ ɪː v ʏ m
báðum	p a uː ð ʏ m
föður	f œː ð ʏ r
la	l aː
lék	l j ɛː k
lífinu	l iː v ɪ n ʏ
mary	m aː r ɪ
muni	m ʏː n ɪ
nýjan	n iː j a n
nýrri	n i rː ɪ
samskipti	s a m s c ɪ f t ɪ
seint	s e i n̥ t
stóðu	s t o uː ð ʏ
tímabili	tʰ iː m a p ɪː l ɪ
vildu	v ɪ l t ʏ
viðkomandi	v ɪ ð kʰ ɔː m a n t ɪ
þína	θ iː n a
fengum	f e i ŋ k ʏ m
fjórða	f j o u r ð a
lenti	l ɛ n̥ t ɪ
norðan	n ɔ r ð a n
skipið	s c ɪː p ɪ ð
skráð	s k r a uː ð
slík	s t l iː k
texta	tʰ ɛ k s t a
tæplega	tʰ a iː p l ɛː ɣ a
bob	p ɔː p
fellur	f ɛ t l ʏ r
gömlu	k œ m l ʏ
jafnan	j a p n a n
liðin	l ɪː ð ɪ n
myndast	m ɪ n t a s t
nýjum	n iː j ʏ m
rannsóknum	r a nː s o u h k n ʏ m
stuðning	s t ʏ ð n i ŋ k
stærsti	s t a i r̥ s t ɪ
tegundir	tʰ ɛː ɣ ʏ n t ɪ r
telst	tʰ ɛ l s t
veldur	v ɛ l t ʏ r
vini	v ɪː n ɪ
borgarinnar	p ɔ r k a r ɪ nː a r
ferðast	f ɛ r ð a s t
fyrirtækisins	f ɪː r ɪ r tʰ a iː c ɪ s ɪ n s
hjálpar	ç a u l̥ p a r
langan	l a u ŋ k a n
mikilli	m ɪː c ɪ t l ɪ
sagan	s aː ɣ a n
sýndi	s i n t ɪ
tel	tʰ ɛː l
william	v ɪ t l ɪ aː m
ákvörðun	a uː kʰ v œ r ð ʏ n
þýskalandi	θ i s k a l a n t ɪ
byggir	p ɪ cː ɪ r
charles	x a r l ɛː s
dagar	t aː ɣ a r
einfalt	e i n f a l̥ t
fallega	f a t l ɛː ɣ a
fjögurra	f j œː ɣ ʏ rː a
fyrra	f ɪ rː a
félagar	f j ɛː l aː ɣ a r
félaginu	f j ɛː l a c ɪː n ʏ
gerst	c ɛ r̥ s t
geyma	c e iː m a
hinsvegar	h ɪ n s v ɛː ɣ a r
hverjir	kʰ v ɛ r j ɪ r
jones	j ɔː n ɛː s
kallar	kʰ a t l a r
kemst	cʰ ɛ m s t
kostar	kʰ ɔ s t a r
litið	l ɪː t ɪ ð
missti	m ɪ s t ɪ
myndum	m ɪ n t ʏ m
opinbera	ɔː p ɪ n p ɛː r a
samstarfi	s a m s t a r v ɪ
settur	s ɛ h t ʏ r
ætli	a i h t l ɪ
ætlum	a i h t l ʏ m
bill	p ɪ t l
bretlandi	p r ɛː t l a n t ɪ
frekari	f r ɛː k a r ɪ
fái	f a uː ɪ
gleyma	k l e iː m a
hamingju	h aː m i ɲ c ʏ
hreint	r̥ e i n̥ t
hverri	kʰ v ɛ rː ɪ
hópi	h o uː p ɪ
húsi	h uː s ɪ
konan	kʰ ɔː n a n
konungs	kʰ ɔː n u ŋ k s
lee	l ɛː
málinu	m a uː l ɪː n ʏ
reglur	r ɛ k l ʏ r
robert	r ɔː p ɛ r̥ t
sendir	s ɛ n t ɪ r
stuttu	s t ʏ h t ʏ
unga	u ŋ k a
vef	v ɛː v
þínum	θ iː n ʏ m
allavega	a t l a v ɛː ɣ a
augu	ø yː ɣ ʏ
burt	p ʏ r̥ t
eðli	ɛ ð l ɪ
foreldra	f ɔː r ɛ l t r a
hlutum	l̥ ʏː t ʏ m
hugsanlega	h ʏ x s a n l ɛː ɣ a
jarðar	j a r ð a r
kennslu	cʰ ɛ n s t l ʏ
landa	l a n t a
lands	l a n s
rætt	r a i h t
san	s aː n
sjó	s j o uː
vorið	v ɔː r ɪ ð
þjóðanna	θ j o uː ð a nː a
þátttöku	θ a u h t tʰ œː k ʏ
fæst	f a i s t
féll	f j ɛ t l
hafnarfirði	h a p n a r f ɪ r ð ɪ
heims	h e i m s
hendi	h ɛ n t ɪ
hitta	h ɪ h t a
konungur	kʰ ɔː n u ŋ k ʏ r
kynnast	cʰ ɪ nː a s t
kæmi	cʰ a iː m ɪ
menningu	m ɛ nː i ŋ k ʏ
mikilvæg	m ɪː c ɪ l v a iː ɣ
milljónum	m ɪ l j o uː n ʏ m
nýjar	n iː j a r
sjáum	s j a uː ʏ m
skilyrði	s c ɪː l ɪ r ð ɪ
sökum	s œː k ʏ m
sölu	s œː l ʏ
tilefni	tʰ ɪː l ɛ p n ɪ
þingmenn	θ i ŋ k m ɛ nː
búnir	p uː n ɪ r
deildinni	t e i l t ɪ nː ɪ
eignast	e i k n a s t
endaði	ɛ n t aː ð ɪ
fallegt	f a t l ɛ x t
flokksins	f l ɔ h k s ɪ n s
flott	f l ɔ h t
gerðir	c ɛ r ð ɪ r
giftist	c ɪ f t ɪ s t
heimsins	h e i m s ɪ n s
helsta	h ɛ l s t a
héldu	ç ɛ l t ʏ
kennt	cʰ ɛ n̥ t
rauða	r ø yː ð a
satt	s a h t
talsvert	tʰ a l s v ɛ r̥ t
tímabil	tʰ iː m a p ɪː l
tólf	tʰ o u l v
verkið	v ɛ r̥ c ɪ ð
vitum	v ɪː t ʏ m
þurfum	θ ʏ r v ʏ m
byggingu	p ɪ cː i ŋ k ʏ
flestar	f l ɛ s t a r
framhjá	f r a m ç a uː
fylgir	f ɪ l c ɪ r
lengri	l e i ŋ k r ɪ
lit	l ɪː t
lítur	l iː t ʏ r
niðurstöður	n ɪː ð ʏ r s t œː ð ʏ r
rétti	r j ɛ h t ɪ
rúv	r uː v
situr	s ɪː t ʏ r
skipa	s c ɪː p a
skoraði	s k ɔː r a ð ɪ
skyldu	s c ɪ l t ʏ
spyr	s p ɪː r
tengjast	tʰ e i ɲ c a s t
tom	tʰ ɔː m
yrðu	ɪ r ð ʏ
þarft	θ a r̥ t
almenna	a l m ɛ nː a
byrjað	p ɪ r j a ð
báðar	p a uː ð a r
form	f ɔ r m
gengu	c e i ŋ k ʏ
hafið	h aː v ɪ ð
heimildir	h e iː m ɪ l t ɪ r
heyrt	h e i r̥ t
kenndi	cʰ ɛ n t ɪ
las	l aː s
minnir	m ɪ nː ɪ r
mínar	m iː n a r
raunar	r ø yː n a r
reyndu	r e i n t ʏ
samstarf	s a m s t a r v
scott	s k ɔ h t
stóran	s t o uː r a n
syni	s ɪː n ɪ
talar	tʰ aː l a r
tengist	tʰ e i ɲ c ɪ s t
thomas	tʰ ɔː m a s
töluvert	tʰ œː l ʏ v ɛ r̥ t
umfjöllun	ʏ m f j œ t l ʏ n
varðandi	v a r ð a n t ɪ
vinsamlegast	v ɪ n s a m l ɛː ɣ a s t
áberandi	a uː p ɛː r a n t ɪ
íslenskri	i s t l ɛ n s k r ɪ
bæjarins	p a iː j a r ɪ n s
fallið	f a t l ɪ ð
fæddist	f a i tː ɪ s t
félaga	f j ɛː l aː ɣ a
gerum	c ɛː r ʏ m
hlotið	l̥ ɔː t ɪ ð
jóns	j o u n s
kirkjan	cʰ ɪ r̥ c a n
kirkju	cʰ ɪ r̥ c ʏ
kleift	kʰ l e i f t
kring	kʰ r i ŋ k
leiðin	l e iː ð ɪ n
rennur	r ɛ nː ʏ r
samvinnu	s a m v ɪ nː ʏ
setur	s ɛː t ʏ r
skoðað	s k ɔː ð a ð
starfaði	s t a r v aː ð ɪ
stjórnvöld	s t j o u r t n v œ l t
söng	s ø y ŋ k
tilgangi	tʰ ɪ l k a u ɲ c ɪ
uppruna	ʏ h p r ʏː n a
vakti	v a x t ɪ
almennings	a l m ɛ nː i ŋ k s
breyst	p r e i s t
formlega	f ɔ r m l ɛː ɣ a
framboð	f r a m p ɔː ð
fund	f ʏ n t
fyrrum	f ɪ rː ʏ m
hinni	h ɪ nː ɪ
iceland	ɪː s ɛː l a n t
meirihluta	m e iː r ɪ l̥ ʏː t a
réttu	r j ɛ h t ʏ
skaltu	s k a l̥ t ʏ
skammt	s k a m̥ t
skólanum	s k o uː l a n ʏ m
vatnið	v a h t n ɪ ð
vikum	v ɪː k ʏ m
áttum	a u h t ʏ m
óskar	o u s k a r
aðgerðir	a ð c ɛ r ð ɪ r
beitt	p e i h t
fullu	f ʏ t l ʏ
haldi	h a l t ɪ
heila	h e iː l a
hinar	h ɪː n a r
kaliforníu	kʰ aː l ɪ f ɔ r t n iː j ʏ
komum	kʰ ɔː m ʏ m
los	l ɔː s
margrét	m a r k r j ɛː t
orku	ɔ r̥ k ʏ
trump	tʰ r ʏ m̥ p
tímabilinu	tʰ iː m a p ɪː l ɪː n ʏ
vinir	v ɪː n ɪ r
vinum	v ɪː n ʏ m
ýmist	iː m ɪ s t
þeirrar	θ e i rː a r
þágu	θ a uː ʏ
efstu	ɛ f s t ʏ
fast	f a s t
jack	j a h k
leiddi	l e i tː ɪ
leiðandi	l e iː ð a n t ɪ
liðinu	l ɪː ð ɪ n ʏ
lokað	l ɔː k a ð
líkama	l iː kʰ aː m a
megi	m e iː j ɪ
rekur	r ɛː k ʏ r
rosalega	r ɔː s a l ɛː ɣ a
samhliða	s a m l̥ ɪː ð a
spilað	s p ɪː l a ð
tölur	tʰ œː l ʏ r
verki	v ɛ r̥ c ɪ
þekkingu	θ ɛ h c i ŋ k ʏ
þjóðarinnar	θ j o uː ð a r ɪ nː a r
ameríku	aː m ɛː r iː k ʏ
aðferðir	a ð f ɛ r ð ɪ r
baki	p aː c ɪ
baráttu	p aː r a u h t ʏ
dauða	t ø yː ð a
eigið	e iː j ɪ ð
engum	e i ŋ k ʏ m
falleg	f a t l ɛː ɣ
fjórar	f j o uː r a r
