finns	f ɪ n s
lättare	²l 'ɛ t a r ɛ
vattnet	²v 'a t n ɛ t
kroppen	²k r 'ɔ p ɛ n
närheten	²n 'ɛː r h eː t ɛ n
slutade	²s l 'ʉː t a d ɛ
sommaren	²s 'ɔ m a r ɛ n
viktiga	²v 'ɪ k t ɪ ɡ a
visade	²v 'iː s a d ɛ
jävligt	²j 'ɛː v l ɪ k t
ordet	²'uː d eː t
saken	²s 'ɑː k ɛ n
tillhör	²t 'ɪ l h øː r
hörde	²h 'øː d ɛ
miljarder	m ɪ l j 'ɑː d ɛ r
månaden	²m 'oː n a d ɛ n
omöjligt	²'uː m œ j l ɪ k t
underbart	²'ɵ n d ɛ r b ɑː t
frågade	²f r 'oː ɡ a d ɛ
jobbigt	²j 'ɔ b ɪ k t
långa	²l 'ɔ ŋ a
tydligt	²t 'yː d l ɪ k t
jorden	²j 'uː d ɛ n
svenskar	²s v 'ɛ n s k a r
innehåller	²'ɪ n ɛ h ɔ l ɛ r
köpt	ɕ œ p t
härligt	²h 'ɛː l ɪ k t
sängen	²s 'ɛ ŋ ɛ n
verkligheten	²v 'ɛ r k l ɪ ɡ h eː t ɛ n
lämnade	²l 'ɛ m n a d ɛ
priset	p r ɪ s 'eː t
sanningen	²s 'a n ɪ ŋ ɛ n
live	²l 'iː v ɛ
dörren	²d 'œ r ɛ n
uppgifter	²'ɵ p j ɪ f t ɛ r
vackert	v 'a k ɛ t
aftonbladet	²'a f t ɔ n b l ɑː d ɛ t
allvarligt	²'a l v ɑː l ɪ k t
användas	²'a n v ɛ n d a s
bestämmer	b ɛ s t 'ɛ m ɛ r
betydligt	b ɛ t 'yː d l ɪ k t
glömt	ɡ l œ m t
viktigaste	²v 'ɪ k t ɪ ɡ a s t ɛ
herregud	²h 'ɛ r ɛ ɡ ʉː d
norra	²n 'ɔ r a
riksdagen	²r 'ɪ k s d ɑː ɡ ɛ n
försvinner	f œ ɕ v 'ɪ n ɛ r
gränsen	²ɡ r 'ɛ n s ɛ n
hösten	²h 'œ s t ɛ n
studier	s t 'ʉː d ɪ ɛ r
åsikter	²'oː s ɪ k t ɛ r
anställda	²'a n s t ɛ l d a
jävlar	²j 'ɛː v l a r
kvinnan	²k v 'ɪ n a n
lyckats	²l 'ʏ k a t s
länkar	²l 'ɛ ŋ k a r
mitten	²m 'ɪ t ɛ n
använde	²'a n v ɛ n d ɛ
handen	²h 'a n d ɛ n
listan	²l 'ɪ s t a n
starka	²s t 'a r k a
pågår	²p 'oː ɡ oː r
befolkningen	b ɛ f 'ɔ l k n ɪ ŋ ɛ n
frankrike	²f r 'a ŋ k r iː k ɛ
snabbare	²s n 'a b a r ɛ
bjuder	b j 'ʉː d ɛ r
flyttade	²f l 'ʏ t a d ɛ
fritt	f r ɪ t
platsen	²p l 'a t s ɛ n
roliga	²r 'uː l ɪ ɡ a
tåget	²t 'oː ɡ ɛ t
fredrik	²f r 'eː d r iː k
förlorade	f œ l 'uː r a d ɛ
glada	²ɡ l 'ɑː d a
hen	h eː n
klubben	²k l 'ɵ b ɛ n
ljuger	j 'ʉː ɡ ɛ r
ryggen	²r 'ʏ ɡ ɛ n
vackra	²v 'a k r a
lämnat	²l 'ɛ m n a t
ringde	²r 'ɪ ŋ d ɛ
träffade	²t r 'ɛ f a d ɛ
använd	²'a n v ɛ n d
dumma	²d 'ɵ m a
jättebra	²j 'ɛ t ɛ b r a
källor	²ɕ 'ɛ l ʊ r
muslimer	m ɵ s l 'iː m ɛ r
positivt	p ʊ s ɪ t 'iː v t
resurser	r ɛ s 'ɵ ɕ ɛ r
jobbade	²j 'ɔ b a d ɛ
känslan	²ɕ 'ɛ n s l a n
marken	²m 'a r k ɛ n
missat	m ɪ s 'ɑː t
utav	²'ʉː t ɑː v
allmänt	²'a l m ɛ n t
landets	²l 'a n d ɛ t s
nationella	n a t ɧ ʊ n 'ɛ l a
idéer	ɪ d 'eː ɛ r
meningen	²m 'eː n ɪ ŋ ɛ n
märkligt	²m 'ɛ r k l ɪ k t
stycken	²s t 'ʏ k ɛ n
tvingas	²t v 'ɪ ŋ a s
ökad	²'øː k a d
alliansen	a l ɪ 'a n s ɛ n
anledningen	²'a n l eː d n ɪ ŋ ɛ n
betalt	b ɛ t 'a l t
grejen	²ɡ r 'ɛ j ɛ n
kvinnliga	²k v 'ɪ n l ɪ ɡ a
möjligheter	²m 'œ j l ɪ ɡ h eː t ɛ r
tycks	t ʏ k s
underbara	²'ɵ n d ɛ r b ɑː r a
utgör	²'ʉː t j øː r
ökade	²'øː k a d ɛ
berättade	b ɛ r 'ɛ t a d ɛ
bry	b r yː
idioter	ɪ d ɪ 'uː t ɛ r
påstår	²p 'oː s t oː r
pojkar	²p 'ɔ j k a r
politiskt	p ʊ l 'iː t ɪ s k t
ah	ɑː
journalister	ɧ ʊ n a l 'ɪ s t ɛ r
luften	²l 'ɵ f t ɛ n
soffan	²s 'ɔ f a n
starkare	²s t 'a r k a r ɛ
svårare	²s v 'oː r a r ɛ
använt	²'a n v ɛ n t
japp	j a p
skickade	²ɧ 'ɪ k a d ɛ
ställen	²s t 'ɛ l ɛ n
svarade	²s v 'ɑː r a d ɛ
viktigare	²v 'ɪ k t ɪ ɡ a r ɛ
förstör	f œ ɕ t 'øː r
förändras	f œ r 'ɛ n d r a s
klassen	²k l 'a s ɛ n
myndigheter	²m 'ʏ n d ɪ ɡ h eː t ɛ r
männen	²m 'ɛ n ɛ n
rimligt	²r 'ɪ m l ɪ k t
tillfället	²t 'ɪ l f ɛ l ɛ t
flyktingar	²f l 'ʏ k t ɪ ŋ a r
möjligheten	²m 'œ j l ɪ ɡ h eː t ɛ n
utvecklingen	²'ʉː t v ɛ k l ɪ ŋ ɛ n
bilderna	²b 'ɪ l d ɛ n a
hjärnan	²j 'ɛː n a n
tittade	²t 'ɪ t a d ɛ
vägar	²v 'ɛː ɡ a r
kraftigt	²k r 'a f t ɪ k t
käften	²ɕ 'ɛ f t ɛ n
lärde	²l 'ɛː d ɛ
munnen	²m 'ɵ n ɛ n
möjliga	²m 'œ j l ɪ ɡ a
simon	s ɪ m 'uː n
svåra	²s v 'oː r a
växte	²v 'ɛ k s t ɛ
åtgärder	²'oː t j ɛː d ɛ r
denne	²d 'ɛ n ɛ
enskilda	²'eː n ɧ ɪ l d a
ledde	²l 'ɛ d ɛ
snabba	²s n 'a b a
trump	t r ɵ m p
ön	øː n
andras	²'a n d r a s
hamnade	²h 'a m n a d ɛ
herrar	²h 'ɛ r a r
hundar	²h 'ɵ n d a r
hårda	²h 'oː d a
likt	l ɪ k t
väggen	²v 'ɛ ɡ ɛ n
ämnen	²'ɛ m n ɛ n
fulla	²f 'ɵ l a
gävle	²j 'ɛː v l ɛ
korta	²k 'ɔ t a
kriminella	k r ɪ m ɪ n 'ɛ l a
perioden	p ɛ r ɪ 'uː d ɛ n
pinsamt	²p 'iː n s a m t
posten	²p 'ɔ s t ɛ n
statens	s t a t 'ɛ n s
ämnet	²'ɛ m n ɛ t
gifta	²j 'ɪ f t a
halsen	²h 'a l s ɛ n
lägenheten	²l 'ɛː ɡ ɛ n h eː t ɛ n
lösningar	²l 'øː s n ɪ ŋ a r
blogg	b l ɔ ɡ
eventuellt	ɛ v ɛ n t ɵ 'ɛ l t
intresserade	ɪ n t r ɛ s 'eː r a d ɛ
tävlingen	²t 'ɛː v l ɪ ŋ ɛ n
uppenbart	²'ɵ p ɛ n b ɑː t
upplever	²'ɵ p l eː v ɛ r
vaknade	²v 'ɑː k n a d ɛ
dejt	d ɛ j t
länken	²l 'ɛ ŋ k ɛ n
långsamt	²l 'ɔ ŋ s a m t
nödvändigt	²n 'øː d v ɛ n d ɪ k t
roligare	²r 'uː l ɪ ɡ a r ɛ
begreppet	b ɛ ɡ r 'ɛ p ɛ t
följt	f œ l j t
hjälpte	²j 'ɛ l p t ɛ
taket	t a k 'eː t
that	t h ɑː t
coolt	k uː l t
klarade	²k l 'ɑː r a d ɛ
minnen	²m 'ɪ n ɛ n
mysigt	²m 'yː s ɪ k t
onödigt	²'uː n øː d ɪ k t
sök	s øː k
byn	b yː n
föreningen	f œ r 'eː n ɪ ŋ ɛ n
id	iː d
löjligt	²l 'œ j l ɪ k t
märkt	m a r k t
mörka	²m 'œ r k a
uppstår	²'ɵ p s t oː r
automatiskt	a ʊ t ʊ m 'ɑː t ɪ s k t
bollen	²b 'ɔ l ɛ n
bytte	²b 'ʏ t ɛ
finalen	f ɪ n 'ɑː l ɛ n
nöjda	²n 'œ j d a
sjunger	ɧ 'ɵ ŋ ɛ r
utgår	²'ʉː t ɡ oː r
utländska	²'ʉː t l ɛ n d s k a
affärer	a f 'ɛː r ɛ r
alex	a l 'ɛ k s
app	a p
billigare	²b 'ɪ l ɪ ɡ a r ɛ
flyttat	²f l 'ʏ t a t
inlägget	²'ɪ n l ɛ ɡ ɛ t
kärleken	²ɕ 'ɛː l eː k ɛ n
sundsvall	²s 'ɵ n d s v a l
tillåter	²t 'ɪ l oː t ɛ r
välfärden	²v 'ɛː l f ɛː d ɛ n
drabbas	²d r 'a b a s
hårdare	²h 'oː d a r ɛ
officiellt	ɔ f ɪ s ɪ 'ɛ l t
röker	r 'øː k ɛ r
sakerna	²s 'ɑː k ɛ n a
sanna	²s 'a n a
skador	²s k 'ɑː d ʊ r
utsatta	²'ʉː t s a t a
bestämde	b ɛ s t 'ɛ m d ɛ
irak	ɪ r 'ɑː k
lösningen	²l 'øː s n ɪ ŋ ɛ n
stannade	²s t 'a n a d ɛ
statliga	²s t 'ɑː t l ɪ ɡ a
tappade	²t 'a p a d ɛ
verkliga	²v 'ɛ r k l ɪ ɡ a
verksamheten	²v 'ɛ r k s a m h eː t ɛ n
öppnade	²'œ p n a d ɛ
allmänheten	²'a l m ɛ n h eː t ɛ n
drömmar	²d r 'œ m a r
märks	m a r k s
rasister	r a s 'ɪ s t ɛ r
sprider	s p r 'iː d ɛ r
tillfällen	²t 'ɪ l f ɛ l ɛ n
väntade	²v 'ɛ n t a d ɛ
duktiga	²d 'ɵ k t ɪ ɡ a
idén	ɪ d 'eː n
köpenhamn	²ɕ 'øː p ɛ n h a m n
nils	n ɪ l s
närmar	²n 'ɛ r m a r
personalen	p a ɕ ʊ n 'ɑː l ɛ n
real	r ɛ 'ɑː l
historiska	h ɪ s t 'uː r ɪ s k a
king	k ɪ ŋ
lyssnade	²l 'ʏ s n a d ɛ
orsaken	²'uː ɕ ɑː k ɛ n
situationer	s ɪ t ɵ a ɧ 'uː n ɛ r
ulf	ɵ l f
ändras	²'ɛ n d r a s
farliga	²f 'ɑː l ɪ ɡ a
julia	²j 'ʉː l ɪ a
skatten	²s k 'a t ɛ n
united	ɵ n ɪ t 'eː d
ät	ɛː t
användare	²'a n v ɛ n d a r ɛ
behandlas	b ɛ h 'a n d l a s
bott	b ɔ t
egenskaper	²'eː ɡ ɛ n s k ɑː p ɛ r
författaren	f œ r f 'a t a r ɛ n
jävel	²j 'ɛː v ɛ l
mötte	²m 'œ t ɛ
skäms	ɧ ɛ m s
övertygad	²'øː v ɛ t yː ɡ a d
behövt	b ɛ h 'øː v t
biljetter	b ɪ l j 'ɛ t ɛ r
fattiga	²f 'a t ɪ ɡ a
gjord	j uː d
läggs	l ɛ ɡ s
oftare	²'ɔ f t a r ɛ
sexuella	s ɛ k s ɵ 'ɛ l a
sjukhuset	²ɧ 'ʉː k h ʉː s ɛ t
trevliga	²t r 'eː v l ɪ ɡ a
världskriget	²v 'ɛː d ɕ k r iː ɡ ɛ t
äckligt	²'ɛ k l ɪ k t
förändringar	f œ r 'ɛ n d r ɪ ŋ a r
gråter	ɡ r 'oː t ɛ r
hästen	²h 'ɛ s t ɛ n
klarat	k l a r 'ɑː t
kortet	k ɔ t 'eː t
lägenheter	²l 'ɛː ɡ ɛ n h eː t ɛ r
mats	m a t s
nämnde	²n 'ɛ m d ɛ
officiella	ɔ f ɪ s ɪ 'ɛ l a
robin	r ʊ b 'iː n
sid	s iː d
skrattade	²s k r 'a t a d ɛ
uppdraget	²'ɵ p d r ɑː ɡ ɛ t
billiga	²b 'ɪ l ɪ ɡ a
bytt	b ʏ t
granskning	²ɡ r 'a n s k n ɪ ŋ
hemliga	²h 'ɛ m l ɪ ɡ a
karin	k a r 'iː n
majoriteten	m a j ʊ r ɪ t 'eː t ɛ n
misstänker	²m 'ɪ s t ɛ ŋ k ɛ r
nivåer	n ɪ v 'oː ɛ r
utbildningen	²'ʉː t b ɪ l d n ɪ ŋ ɛ n
baserad	b a s 'eː r a d
folkets	²f 'ɔ l k ɛ t s
förhållanden	f œ r h 'ɔ l a n d ɛ n
grannar	²ɡ r 'a n a r
jones	j ʊ n 'eː s
läraren	²l 'ɛː r a r ɛ n
påverkas	²p 'oː v a r k a s
skickas	²ɧ 'ɪ k a s
sköna	²ɧ 'øː n a
artister	a t 'ɪ s t ɛ r
bakgrunden	²b 'ɑː k ɡ r ɵ n d ɛ n
härliga	²h 'ɛː l ɪ ɡ a
läkaren	²l 'ɛː k a r ɛ n
märkte	²m 'ɛ r k t ɛ
näsan	²n 'ɛː s a n
rättvist	²r 'ɛ t v ɪ s t
röstat	²r 'œ s t ɑː t
timmars	²t 'ɪ m a ɕ
utredningen	²'ʉː t r eː d n ɪ ŋ ɛ n
funkade	²f 'ɵ ŋ k a d ɛ
försiktigt	f œ ɕ 'ɪ k t ɪ k t
godkänt	²ɡ 'uː d ɕ ɛ n t
grabbar	²ɡ r 'a b a r
häftigt	²h 'ɛ f t ɪ k t
håkan	²h 'oː k a n
innehållet	²'ɪ n ɛ h ɔ l ɛ t
mora	²m 'uː r a
nazister	n a s 'ɪ s t ɛ r
off	ɔ f
populära	p ʊ p ɵ l 'ɛː r a
upptäckte	²'ɵ p t ɛ k t ɛ
will	v ɪ l
ann	a n
användes	²'a n v ɛ n d ɛ s
et	eː t
förväntas	f œ r v 'ɛ n t a s
gubben	²ɡ 'ɵ b ɛ n
kanaler	k a n 'ɑː l ɛ r
lustigt	²l 'ɵ s t ɪ k t
olagligt	²'uː l ɑː ɡ l ɪ k t
samhällen	²s 'a m h ɛ l ɛ n
sjukvården	²ɧ 'ʉː k v oː d ɛ n
släppt	s l ɛ p t
store	²s t 'uː r ɛ
trott	t r ɔ t
bengt	b ɛ ŋ t
bob	b uː b
dömd	d œ m d
fysiskt	f 'yː s ɪ s k t
halmstad	²h 'a l m s t ɑː d
historiskt	h ɪ s t 'uː r ɪ s k t
kinesiska	ɕ ɪ n 'eː s ɪ s k a
kontoret	k ɔ n t ʊ r 'eː t
samlade	²s 'a m l a d ɛ
solna	²s 'uː l n a
tål	t oː l
vetenskapliga	²v 'eː t ɛ n s k ɑː p l ɪ ɡ a
frivilligt	²f r 'iː v ɪ l ɪ k t
gator	²ɡ 'ɑː t ʊ r
högskolan	²h 'øː ɡ s k uː l a n
logga	²l 'ɔ ɡ a
mänskligheten	²m 'ɛ n s k l ɪ ɡ h eː t ɛ n
civila	²s ɪ v 'iː l a
fixade	²f 'ɪ k s a d ɛ
fyllt	f ʏ l t
oklart	²'uː k l ɑː t
oslo	²'uː s l ʊ
provet	p r ʊ v 'eː t
school	ɧ uː l
vinden	²v 'ɪ n d ɛ n
am	a m
avgör	²'ɑː v j øː r
berättat	b ɛ r 'ɛ t a t
demokratiska	d ɛ m ʊ k r 'ɑː t ɪ s k a
diskussionen	d ɪ s k ɵ ɧ 'uː n ɛ n
eventuella	ɛ v ɛ n t ɵ 'ɛ l a
feta	²f 'eː t a
grand	ɡ r a n d
hålls	h ɔ l s
irland	²'iː l a n d
kroppar	²k r 'ɔ p a r
njuter	n j 'ʉː t ɛ r
rörelsen	²r 'øː r ɛ l s ɛ n
spelaren	²s p 'eː l a r ɛ n
ursprungliga	²'ʉː ɕ p r ɵ ŋ l ɪ ɡ a
anledningar	²'a n l eː d n ɪ ŋ a r
begår	b ɛ ɡ 'oː r
imponerad	ɪ m p ʊ n 'eː r a d
inblandade	²'ɪ n b l a n d a d ɛ
kunskaper	²k 'ɵ n s k ɑː p ɛ r
misstänkta	²m 'ɪ s t ɛ ŋ k t a
omständigheter	²'ɔ m s t ɛ n d ɪ ɡ h eː t ɛ r
processen	p r ʊ s 'ɛ s ɛ n
siffrorna	²s 'ɪ f r uː n a
sparken	²s p 'a r k ɛ n
tragiskt	t r 'ɑː ɡ ɪ s k t
tråkiga	²t r 'oː k ɪ ɡ a
allvarliga	²'a l v ɑː l ɪ ɡ a
använts	²'a n v ɛ n t s
arbeten	²'a r b eː t ɛ n
besöker	b ɛ s 'øː k ɛ r
bitar	²b 'iː t a r
bygg	b ʏ ɡ
club	k l ʉː b
demokratin	d ɛ m ʊ k r a t 'iː n
diskussioner	d ɪ s k ɵ ɧ 'uː n ɛ r
hanna	²h 'a n a
hängde	²h 'ɛ ŋ d ɛ
nyheten	²n 'yː h eː t ɛ n
orimligt	²'uː r ɪ m l ɪ k t
oskyldiga	²'uː ɧ ʏ l d ɪ ɡ a
samhällets	²s 'a m h ɛ l ɛ t s
sammanfattning	²s 'a m a n f a t n ɪ ŋ
släpp	s l ɛ p
stjärnor	²ɧ 'ɛː n ʊ r
tidiga	²t 'iː d ɪ ɡ a
varma	²v 'a r m a
väskan	²v 'ɛ s k a n
våldtäkter	²v 'ɔ l d t ɛ k t ɛ r
ändrade	²'ɛ n d r a d ɛ
översatt	²'øː v ɛ ɕ a t
ansvariga	²'a n s v ɑː r ɪ ɡ a
anti	a n t 'iː
bloggen	²b l 'ɔ ɡ ɛ n
framgår	²f r 'a m ɡ oː r
förändrats	f œ r 'ɛ n d r a t s
italienska	ɪ t a l ɪ 'eː n s k a
landsbygden	²l 'a n d s b ʏ ɡ d ɛ n
sexuellt	s ɛ k s ɵ 'ɛ l t
sjunker	ɧ 'ɵ ŋ k ɛ r
troligt	²t r 'uː l ɪ k t
vände	²v 'ɛ n d ɛ
återkommer	²'oː t ɛ r k ɔ m ɛ r
arbetsförmedlingen	²'a r b eː t s f œ r m eː d l ɪ ŋ ɛ n
bränner	b r 'ɛ n ɛ r
byggas	²b 'ʏ ɡ a s
förklarade	f œ r k l 'ɑː r a d ɛ
hejdå	²h 'ɛ j d oː
historier	h ɪ s t 'uː r ɪ ɛ r
lasse	²l 'a s ɛ
låtit	²l 'oː t ɪ t
paketet	p a k ɛ t 'eː t
scott	s k ɔ t
skattepengar	²s k 'a t ɛ p ɛ ŋ a r
skyldiga	²ɧ 'ʏ l d ɪ ɡ a
traditionella	t r a d ɪ ɧ ʊ n 'ɛ l a
tvingade	²t v 'ɪ ŋ a d ɛ
aktörer	a k t 'øː r ɛ r
byt	b yː t
dödade	²d 'øː d a d ɛ
flygplatsen	²f l 'yː ɡ p l a t s ɛ n
förbjudet	f œ r b j 'ʉː d ɛ t
hållas	²h 'ɔ l a s
räknat	²r 'ɛː k n a t
samlas	²s 'a m l a s
tillfälligt	²t 'ɪ l f ɛ l ɪ k t
tomas	t ʊ m 'ɑː s
träningen	²t r 'ɛː n ɪ ŋ ɛ n
tråden	²t r 'oː d ɛ n
vettigt	²v 'ɛ t ɪ k t
väll	v ɛ l
återstår	²'oː t ɛ ɕ t oː r
avslutade	²'ɑː v s l ʉː t a d ɛ
godnatt	²ɡ 'uː d n a t
hämtade	²h 'ɛ m t a d ɛ
ledamöter	²l 'eː d a m øː t ɛ r
planerade	p l a n 'eː r a d ɛ
portugal	p ʊ t ɵ ɡ 'ɑː l
rasistiska	r a s 'ɪ s t ɪ s k a
regelbundet	²r 'eː ɡ ɛ l b ɵ n d ɛ t
saknade	²s 'ɑː k n a d ɛ
svaga	²s v 'ɑː ɡ a
tvungna	²t v 'ɵ ŋ n a
undersökningar	²'ɵ n d ɛ ɕ øː k n ɪ ŋ a r
ägaren	²'ɛː ɡ a r ɛ n
återkommande	²'oː t ɛ r k ɔ m a n d ɛ
beställt	b ɛ s t 'ɛ l t
böckerna	²b 'œ k ɛ n a
festen	²f 'ɛ s t ɛ n
framgångar	²f r 'a m ɡ ɔ ŋ a r
hjälpen	²j 'ɛ l p ɛ n
hotade	²h 'uː t a d ɛ
närmsta	²n 'ɛ r m s t a
pågående	²p 'oː ɡ oː ɛ n d ɛ
river	r 'iː v ɛ r
rösten	²r 'œ s t ɛ n
skivan	²ɧ 'iː v a n
vidrigt	²v 'iː d r ɪ k t
diskuteras	d ɪ s k ɵ t 'eː r a s
hemsidan	²h 'ɛ m s iː d a n
nyckeln	²n 'ʏ k ɛ l n
snubben	²s n 'ɵ b ɛ n
terrorister	t a r ʊ r 'ɪ s t ɛ r
tillhörande	²t 'ɪ l h øː r a n d ɛ
timmen	²t 'ɪ m ɛ n
utbildningar	²'ʉː t b ɪ l d n ɪ ŋ a r
varianter	v a r ɪ 'a n t ɛ r
aktuella	a k t ɵ 'ɛ l a
biblioteket	b ɪ b l ɪ ʊ t 'eː k ɛ t
bristande	²b r 'ɪ s t a n d ɛ
drömmen	²d r 'œ m ɛ n
feminister	f ɛ m ɪ n 'ɪ s t ɛ r
flickan	²f l 'ɪ k a n
huvudsakligen	²h 'ʉː v ɵ d s ɑː k l ɪ ɡ ɛ n
jobbiga	²j 'ɔ b ɪ ɡ a
knappen	²k n 'a p ɛ n
komplicerat	k ɔ m p l ɪ s ɛ r 'ɑː t
motsatsen	²m 'uː t s a t s ɛ n
oliver	ʊ l 'iː v ɛ r
skilda	²ɧ 'ɪ l d a
skulden	²s k 'ɵ l d ɛ n
smaken	²s m 'ɑː k ɛ n
somnade	²s 'ɔ m n a d ɛ
särskilda	²s 'ɛː r ɧ ɪ l d a
vilda	²v 'ɪ l d a
värden	²v 'ɛː d ɛ n
elin	ɛ l 'iː n
förmågan	f œ r m 'oː ɡ a n
gabriel	ɡ a b r ɪ 'eː l
gunnar	²ɡ 'ɵ n a r
invandringen	²'ɪ n v a n d r ɪ ŋ ɛ n
jaja	²j 'a j a
kvalité	k v a l ɪ t 'eː
landslaget	²l 'a n d s l ɑː ɡ ɛ t
pappan	²p 'a p a n
tillslut	²t 'ɪ l s l ʉː t
uttrycket	²'ʉː t r ʏ k ɛ t
växande	²v 'ɛ k s a n d ɛ
vågade	²v 'oː ɡ a d ɛ
aktiviteter	a k t ɪ v ɪ t 'eː t ɛ r
anhöriga	²'a n h øː r ɪ ɡ a
fullkomligt	²f 'ɵ l k ɔ m l ɪ k t
hamnen	²h 'a m n ɛ n
händelsen	²h 'ɛ n d ɛ l s ɛ n
lagligt	²l 'ɑː ɡ l ɪ k t
lillebror	²l 'ɪ l ɛ b r uː r
little	²l 'ɪ t l ɛ
låtarna	²l 'oː t ɑː n a
modeller	m ʊ d 'ɛ l ɛ r
provat	p r ʊ v 'ɑː t
rumänien	r ɵ m 'ɛː n ɪ ɛ n
släkten	²s l 'ɛ k t ɛ n
säkrare	²s 'ɛː k r a r ɛ
walter	v 'a l t ɛ r
öppnat	²'œ p n a t
baserade	b a s 'eː r a d ɛ
bekanta	b ɛ k 'a n t a
drabbade	²d r 'a b a d ɛ
favoriter	f a v ʊ r 'iː t ɛ r
friska	²f r 'ɪ s k a
färdiga	²f 'ɛː d ɪ ɡ a
förbannade	f œ r b 'a n a d ɛ
föreningar	f œ r 'eː n ɪ ŋ a r
förväntningar	f œ r v 'ɛ n t n ɪ ŋ a r
grova	²ɡ r 'uː v a
hammarby	²h 'a m a r b yː
kontrollen	²k ɔ n t r 'ɔ l ɛ n
korkade	²k 'ɔ r k a d ɛ
lille	²l 'ɪ l ɛ
lämpligt	²l 'ɛ m p l ɪ k t
pojken	²p 'ɔ j k ɛ n
representanter	r ɛ p r ɛ s ɛ n t 'a n t ɛ r
rykten	²r 'ʏ k t ɛ n
stängde	²s t 'ɛ ŋ d ɛ
säkerheten	²s 'ɛː k ɛ r h eː t ɛ n
tyckt	t ʏ k t
undersökningen	²'ɵ n d ɛ ɕ øː k n ɪ ŋ ɛ n
ärenden	²'ɛː r ɛ n d ɛ n
andre	²'a n d r ɛ
arbetslösa	²'a r b eː t s l øː s ɛ r
benjamin	b ɛ n j a m 'iː n
blicken	²b l 'ɪ k ɛ n
bruna	²b r 'ʉː n a
extrema	ɛ k s t r 'eː m a
felaktigt	²f 'eː l a k t ɪ k t
first	f ɪ ɕ t
färgen	²f 'ɛ r j ɛ n
have	²h 'ɑː v ɛ
innebar	²'ɪ n ɛ b ɑː r
julen	²j 'ʉː l ɛ n
mådde	²m 'ɔ d ɛ
pappas	²p 'a p a s
perioder	p ɛ r ɪ 'uː d ɛ r
skatteverket	²s k 'a t ɛ v a r k ɛ t
snön	s n øː n
stjärnan	²ɧ 'ɛː n a n
stämningen	²s t 'ɛ m n ɪ ŋ ɛ n
tomten	²t 'ɔ m t ɛ n
överlever	²'øː v ɛ l eː v ɛ r
berättelser	b ɛ r 'ɛ t ɛ l s ɛ r
beställer	b ɛ s t 'ɛ l ɛ r
blandat	b l a n d 'ɑː t
flydde	²f l 'ʏ d ɛ
friheten	²f r 'iː h eː t ɛ n
kommunens	k ɔ m ɵ n 'ɛ n s
