to	t ɔ
súčasnosti	s uː t͡ʃ a s n ɔ s c i
tú	t uː
budem	b u ɟ e m
dobe	d ɔ b e
dôležité	d u̯ ɔ ʎ e ʒ i t eː
ktorým	k t ɔ r iː m
pravdepodobne	p r a v ɟ e p ɔ d ɔ b ɲ e
resp	r e s p
skutočne	s k u t ɔ t͡ʃ ɲ e
týmto	t iː m t ɔ
období	ɔ b d ɔ b iː
podobne	p ɔ d ɔ b ɲ e
rovnako	r ɔ v n a k ɔ
mne	m ɲ e
naša	n a ʃ a
našej	n a ʃ e j
nech	ɲ e x
všetkým	f ʃ e t k iː m
približne	p r i b ʎ i ʒ ɲ e
prvej	p r̩ v e j
živote	ʒ i v ɔ c e
nebolo	ɲ e b ɔ l ɔ
systému	s i s t eː m u
typu	t i p u
tí	c iː
začal	z a t͡ʃ a l
cieľom	t͡s ɪ̯ e ʎ ɔ m
mnohých	m n ɔ ɦ iː x
našich	n a ʃ i x
podarilo	p ɔ d a r i l ɔ
of	ɔ f
používa	p ɔ u ʒ iː v a
stačí	s t a t͡ʃ iː
usa	u s a
vašej	v a ʃ e j
veď	v e c
vie	v ɪ̯ e
zomrel	z ɔ m r e l
nejaké	ɲ e j a k eː
názvom	n aː z v ɔ m
práva	p r aː v a
právo	p r aː v ɔ
príbeh	p r iː b e x
stránky	s t r aː n k i
svojom	s v ɔ j ɔ m
vecí	v e t͡s iː
vody	v ɔ d i
nemôže	ɲ e m u̯ ɔ ʒ e
priebehu	p r ɪ̯ e b e ɦ u
správy	s p r aː v i
súťaže	s uː c a ʒ e
veľká	v e ʎ k aː
viem	v ɪ̯ e m
výške	v iː ʃ k e
začala	z a t͡ʃ a l a
cesty	t͡s e s t i
ha	ɦ a
in	i n
rozdiel	r ɔ z ɟ ɪ̯ e l
slovenského	s l ɔ v e n s k eː ɦ ɔ
začali	z a t͡ʃ a ʎ i
štátu	ʃ t aː t u
cenu	t͡s e n u
cestu	t͡s e s t u
nebol	ɲ e b ɔ l
nejaký	ɲ e j a k iː
slovenských	s l ɔ v e n s k iː x
stal	s t a l
super	s u p e r
de	ɟ e
obci	ɔ p t͡s i
zmysle	z m i s ʎ e
hodiny	ɦ ɔ ɟ i n i
nášho	n aː ʃ ɦ ɔ
rodiny	r ɔ ɟ i n i
viacerých	v ɪ̯ a t͡s e r iː x
väčšinou	v æ t͡ʃː i n ɔ v
činnosti	t͡ʃ i nː ɔ s c i
funkcie	f u n k t͡s ɪ̯ e
informácie	i n f ɔ r m aː t͡s i̯ ɛ
ochrany	ɔ x r a n i
pozrieť	p ɔ z r ɪ̯ e c
stalo	s t a l ɔ
vašu	v a ʃ u
veľkej	v e ʎ k e j
európskej	e u r ɔː p s k e j
konečne	k ɔ ɲ e t͡ʃ ɲ e
prvá	p r̩ v aː
vášho	v aː ʃ ɦ ɔ
mohla	m ɔ ɦ l a
našu	n a ʃ u
radi	r a ɟ i
svojou	s v ɔ j ɔ v
výkon	v iː k ɔ n
dal	d a l
minulosti	m i n u l ɔ s c i
moc	m ɔ t͡s
musím	m u s iː m
môžem	m u̯ ɔ ʒ e m
najprv	n a j p r̩ v
pomerne	p ɔ m e r ɲ e
radšej	r a t͡ʃː e j
ráno	r aː n ɔ
služby	s l u ʒ b i
typ	t i p
you	j ɔ v
škole	ʃ k ɔ ʎ e
žije	ʒ i j e
iného	i n eː ɦ ɔ
miesta	m ɪ̯ e s t a
musíte	m u s iː c e
sem	s e m
skutočnosti	s k u t ɔ t͡ʃ n ɔ s c i
členov	t͡ʃ ʎ e n ɔ v
and	a n t
projekt	p r ɔ j e k t
slovenská	s l ɔ v e n s k aː
voči	v ɔ t͡ʃ i
zákon	z aː k ɔ n
dostali	d ɔ s t a ʎ i
každú	k a ʒ d uː
model	m ɔ ɟ e l
mužov	m u ʒ ɔ v
noci	n ɔ t͡s i
okolí	ɔ k ɔ ʎ iː
poriadku	p ɔ r ɪ̯ a t k u
stojí	s t ɔ j iː
tím	c iː m
viete	v ɪ̯ e c e
vyzerá	v i z e r aː
zase	z a s e
začína	z a t͡ʃ iː n a
organizácie	ɔ r ɡ a n i z aː t͡s i e
sama	s a m a
vieme	v ɪ̯ e m e
vrátil	v r aː c i l
vzniku	v z ɲ i k u
základné	z aː k l a d n eː
ii	i i
metrov	m e t r ɔ v
nebola	ɲ e b ɔ l a
niekoľkých	ɲ ɪ̯ e k ɔ ʎ k iː x
októbra	ɔ k t ɔː b r a
prípadne	p r iː p a d ɲ e
správu	s p r aː v u
toľko	t ɔ ʎ k ɔ
známe	z n aː m e
dostala	d ɔ s t a l a
existuje	e ɡ z i s t u j e
jednotlivých	j e d n ɔ t ʎ i v iː x
nemám	ɲ e m aː m
ostatné	ɔ s t a t n eː
použiť	p ɔ u ʒ i c
prvom	p r̩ v ɔ m
skupina	s k u p i n a
spojené	s p ɔ j e n eː
spoločne	s p ɔ l ɔ t͡ʃ ɲ e
vedie	v e ɟ ɪ̯ e
vzhľadom	v z ɦ ʎ a d ɔ m
akoby	a k ɔ b i
júna	j uː n a
michael	m i x a e l
najskôr	n a j s k u̯ ɔ r
národnej	n aː r ɔ d ɲ e j
prvého	p r̩ v eː ɦ ɔ
svojim	s v ɔ j i m
taká	t a k aː
vlasy	v l a s i
funguje	f u n ɡ u j e
mesiacov	m e s ɪ̯ a t͡s ɔ v
nemali	ɲ e m a ʎ i
novembra	n ɔ v e m b r a
oboch	ɔ b ɔ x
slová	s l ɔ v aː
výrazne	v iː r a z ɲ e
úlohu	uː l ɔ ɦ u
ťažké	c a ʃ k eː
doby	d ɔ b i
jasné	j a s n eː
mohlo	m ɔ ɦ l ɔ
mojej	m ɔ j e j
nachádzajú	n a x aː d͡z a j uː
neboli	ɲ e b ɔ ʎ i
nedá	ɲ e d aː
prvých	p r̩ v iː x
sami	s a m i
spôsobom	s p u̯ ɔ s ɔ b ɔ m
vaša	v a ʃ a
dôsledku	d u̯ ɔ s ʎ e t k u
musíme	m u s iː m e
mája	m aː j a
pol	p ɔ l
stránka	s t r aː n k a
vyššie	v i ʃː ɪ̯ e
zápas	z aː p a s
apríla	a p r iː l a
centre	t͡s e n t r e
chvíľu	x v iː ʎ u
hľadiska	ɦ ʎ a ɟ i s k a
jednoduché	j e d n ɔ d u x eː
kultúry	k u l t uː r i
miliónov	m i ʎ i ɔː n ɔ v
okamžite	ɔ k a m ʒ i c e
proces	p r ɔ t͡s e s
rodičia	r ɔ ɟ i t͡ʃ ɪ̯ a
rozhodne	r ɔ z ɦ ɔ d ɲ e
rozvoj	r ɔ z v ɔ j
týždne	t iː ʒ d ɲ e
ťažko	c a ʃ k ɔ
blízkosti	b ʎ iː s k ɔ s c i
celkovo	t͡s e l k ɔ v ɔ
druh	d r u x
dáva	d aː v a
dôvod	d u̯ ɔ v ɔ t
kam	k a m
môjho	m u̯ ɔ j ɦ ɔ
namiesto	n a m ɪ̯ e s t ɔ
nemajú	ɲ e m a j uː
nemal	ɲ e m a l
odišiel	ɔ ɟ i ʃ ɪ̯ e l
podobe	p ɔ d ɔ b e
potrebuje	p ɔ t r e b u j e
povedala	p ɔ v e d a l a
prírody	p r iː r ɔ d i
sily	s i l i
stane	s t a ɲ e
súčasne	s uː t͡ʃ a s ɲ e
získal	z iː s k a l
čom	t͡ʃ ɔ m
bodov	b ɔ d ɔ v
dokáže	d ɔ k aː ʒ e
klubu	k l u b u
otázky	ɔ t aː s k i
použitie	p ɔ u ʒ i c ɪ̯ e
takéto	t a k eː t ɔ
tvorí	t v ɔ r iː
veľkú	v e ʎ k uː
veľkých	v e ʎ k iː x
vlastnosti	v l a s t n ɔ s c i
vysokej	v i s ɔ k e j
zmeny	z m e n i
dôvodu	d u̯ ɔ v ɔ d u
hlavné	ɦ l a v n eː
mnohé	m n ɔ ɦ eː
musel	m u s e l
najčastejšie	n a j t͡ʃ a s c e j ʃ ɪ̯ e
navyše	n a v i ʃ e
niekde	ɲ ɪ̯ e ɡ ɟ e
niektorí	ɲ ɪ̯ e k t ɔ r iː
oproti	ɔ p r ɔ c i
posledné	p ɔ s ʎ e d n eː
používajú	p ɔ u ʒ iː v a j uː
pozrite	p ɔ z r i c e
prichádza	p r i x aː d͡z a
programu	p r ɔ ɡ r a m u
prístup	p r iː s t u p
páči	p aː t͡ʃ i
pôsobí	p u̯ ɔ s ɔ b iː
rozhodol	r ɔ z ɦ ɔ d ɔ l
stala	s t a l a
strednej	s t r e d ɲ e j
síce	s iː t͡s e
umožňuje	u m ɔ ʒ ɲ u j e
vlastné	v l a s t n eː
vývoj	v iː v ɔ j
zrejme	z r e j m e
štátnej	ʃ t aː t ɲ e j
dr	d r̩
druhy	d r u ɦ i
lode	l ɔ ɟ e
museli	m u s e ʎ i
naopak	n a ɔ p a k
osobne	ɔ s ɔ b ɲ e
ostatných	ɔ s t a t n iː x
potrebné	p ɔ t r e b n eː
pozor	p ɔ z ɔ r
prostredia	p r ɔ s t r e ɟ ɪ̯ a
prvýkrát	p r̩ v iː k r aː t
tímu	c iː m u
vašich	v a ʃ i x
vyše	v i ʃ e
zdroj	z d r ɔ j
základnej	z aː k l a d ɲ e j
únie	uː ɲ ɪ̯ e
júla	j uː l a
marca	m a r t͡s a
miestnosti	m ɪ̯ e s t n ɔ s c i
otázku	ɔ t aː s k u
pomôže	p ɔ m u̯ ɔ ʒ e
potrebujete	p ɔ t r e b u j e c e
pracoval	p r a t͡s ɔ v a l
svetovej	s v e t ɔ v e j
svojimi	s v ɔ j i m i
svojím	s v ɔ j iː m
trošku	t r ɔ ʃ k u
viacero	v ɪ̯ a t͡s e r ɔ
všeobecne	f ʃ e ɔ b e t͡s ɲ e
zaujímavé	z a u j iː m a v eː
zdá	z d aː
zákona	z aː k ɔ n a
údaje	uː d a j e
autor	a u̯ t ɔ r
dúfam	d uː f a m
hlavným	ɦ l a v n iː m
izby	i z b i
james	j a m e s
ktorou	k t ɔ r ɔ v
podporu	p ɔ t p ɔ r u
posledných	p ɔ s ʎ e d n iː x
pracuje	p r a t͡s u j e
vážne	v aː ʒ ɲ e
význam	v iː z n a m
zistiť	z i s c i c
zvyčajne	z v i t͡ʃ a j ɲ e
českej	t͡ʃ e s k e j
článku	t͡ʃ l aː n k u
cirkvi	t͡s i r k v i
druhov	d r u ɦ ɔ v
hore	ɦ ɔ r e
niekoho	ɲ ɪ̯ e k ɔ ɦ ɔ
projektu	p r ɔ j e k t u
pôvodne	p u̯ ɔ v ɔ d ɲ e
slovenské	s l ɔ v e n s k eː
stavby	s t a v b i
tvoria	t v ɔ r ɪ̯ a
využíva	v i u ʒ iː v a
začiatkom	z a t͡ʃ ɪ̯ a t k ɔ m
decembra	ɟ e t͡s e m b r a
diela	ɟ ɪ̯ e l a
firmy	f i r m i
funkciu	f u n k t͡s i̯ u
poriadne	p ɔ r ɪ̯ a d ɲ e
priateľov	p r ɪ̯ a c e ʎ ɔ v
profesor	p r ɔ f e s ɔ r
skončil	s k ɔ n t͡ʃ i l
slov	s l ɔ v
stará	s t a r aː
takisto	t a k i s t ɔ
vedia	v e ɟ ɪ̯ a
článok	t͡ʃ l aː n ɔ k
štyroch	ʃ t i r ɔ x
budovy	b u d ɔ v i
cítiť	t͡s iː c i c
dali	d a ʎ i
dostane	d ɔ s t a ɲ e
došlo	d ɔ ʃ l ɔ
george	ɡ e ɔ r ɡ e
jednotlivé	j e d n ɔ t ʎ i v eː
klub	k l u p
nejakú	ɲ e j a k uː
podmienky	p ɔ d m ɪ̯ e n k i
prvým	p r̩ v iː m
prírodné	p r iː r ɔ d n eː
vytvára	v i t v aː r a
výrobu	v iː r ɔ b u
ďalším	ɟ a l ʃ iː m
šancu	ʃ a n t͡s u
druhého	d r u ɦ eː ɦ ɔ
malých	m a l iː x
miestach	m ɪ̯ e s t a x
ochrana	ɔ x r a n a
prvú	p r̩ v uː
silu	s i l u
text	c e k s t
vysoké	v i s ɔ k eː
yorku	j ɔ r k u
zmysel	z m i s e l
členom	t͡ʃ ʎ e n ɔ m
dobu	d ɔ b u
forme	f ɔ r m e
hodinu	ɦ ɔ ɟ i n u
inými	i n iː m i
mesiace	m e s ɪ̯ a t͡s e
ochranu	ɔ x r a n u
online	ɔ n ʎ i ɲ e
paul	p a u l
postup	p ɔ s t u p
pravidlá	p r a v i d l aː
sezóny	s e z ɔː n i
slúži	s l uː ʒ i
snaží	s n a ʒ iː
tomuto	t ɔ m u t ɔ
triedy	t r ɪ̯ e d i
býva	b iː v a
david	d a v i t
filmu	f i l m u
hru	ɦ r u
hráči	ɦ r aː t͡ʃ i
ing	i n k
ktorými	k t ɔ r iː m i
látky	l aː t k i
nebudú	ɲ e b u d uː
občas	ɔ p t͡ʃ a s
plán	p l aː n
san	s a n
totiž	t ɔ c i ʃ
tvar	t v a r
udalosti	u d a l ɔ s c i
určené	u r t͡ʃ e n eː
výroby	v iː r ɔ b i
členovia	t͡ʃ ʎ e n ɔ v ɪ̯ a
žiadna	ʒ ɪ̯ a d n a
akú	a k uː
centra	t͡s e n t r a
dlhé	d l̩ ɦ eː
hráčov	ɦ r aː t͡ʃ ɔ v
košiciach	k ɔ ʃ i t͡s ɪ̯ a x
la	l a
nejde	ɲ e j ɟ e
nemala	ɲ e m a l a
obe	ɔ b e
parku	p a r k u
podobné	p ɔ d ɔ b n eː
radu	r a d u
sledovať	s ʎ e d ɔ v a c
spoločné	s p ɔ l ɔ t͡ʃ n eː
stavu	s t a v u
síl	s iː l
verím	v e r iː m
vysoká	v i s ɔ k aː
vznikla	v z ɲ i k l a
vzťahy	f s c a ɦ i
výsledkom	v iː s ʎ e t k ɔ m
výška	v iː ʃ k a
začne	z a t͡ʃ ɲ e
zmluvy	z m l u v i
bod	b ɔ t
dlhšie	d l̩ x ʃ ɪ̯ e
ktorému	k t ɔ r eː m u
mojich	m ɔ j i x
napísal	n a p iː s a l
našli	n a ʃ ʎ i
nechať	ɲ e x a c
obsah	ɔ p s a x
pohyb	p ɔ ɦ i p
popri	p ɔ p r i
slovenskom	s l ɔ v e n s k ɔ m
súvislosti	s uː v i s l ɔ s c i
uvádza	u v aː d͡z a
úradu	uː r a d u
ľahko	ʎ a x k ɔ
ľahké	ʎ a x k eː
štátov	ʃ t aː t ɔ v
banskej	b a n s k e j
dávno	d aː v n ɔ
farby	f a r b i
hodnoty	ɦ ɔ d n ɔ t i
ihneď	i ɦ ɲ e c
jednotky	j e d n ɔ t k i
každom	k a ʒ d ɔ m
kedysi	k e d i s i
našom	n a ʃ ɔ m
nevie	ɲ e v ɪ̯ e
národného	n aː r ɔ d n eː ɦ ɔ
povrchu	p ɔ v r̩ x u
súbor	s uː b ɔ r
uvedené	u v e ɟ e n eː
vašom	v a ʃ ɔ m
začalo	z a t͡ʃ a l ɔ
ďaleko	ɟ a ʎ e k ɔ
ďalšiu	ɟ a l ʃ ɪ̯ u
blízko	b ʎ iː s k ɔ
city	t͡s i t i
dala	d a l a
existujú	e ɡ z i s t u j uː
fotky	f ɔ t k i
it	i t
môžeš	m u̯ ɔ ʒ e ʃ
poslednej	p ɔ s ʎ e d ɲ e j
prakticky	p r a k c i t͡s k i
projekty	p r ɔ j e k t i
skvelé	s k v e l eː
stali	s t a ʎ i
typy	t i p i
týka	t iː k a
vedeli	v e ɟ e ʎ i
veľkým	v e ʎ k iː m
vlastnú	v l a s t n uː
vysokých	v i s ɔ k iː x
čoho	t͡ʃ ɔ ɦ ɔ
bližšie	b ʎ i ʃː ɪ̯ e
cestou	t͡s e s t ɔ v
dopravy	d ɔ p r a v i
druhu	d r u ɦ u
hlavného	ɦ l a v n eː ɦ ɔ
lete	ʎ e c e
me	m e
menšie	m e n ʃ ɪ̯ e
naši	n a ʃ i
nechce	ɲ e x t͡s e
pochádza	p ɔ x aː d͡z a
používať	p ɔ u ʒ iː v a c
považuje	p ɔ v a ʒ u j e
problémov	p r ɔ b l eː m ɔ v
systémy	s i s t eː m i
takú	t a k uː
termín	c e r m iː n
zahraničných	z a ɦ r a ɲ i t͡ʃ n iː x
zahŕňa	z a ɦ r̩ː ɲ a
zdrojov	z d r ɔ j ɔ v
úrovni	uː r ɔ v ɲ i
čísla	t͡ʃ iː s l a
dochádza	d ɔ x aː d͡z a
dole	d ɔ ʎ e
hudby	ɦ u d b i
informácií	i n f ɔ r m aː t͡s i iː
kraja	k r a j a
nižšie	ɲ i ʃː ɪ̯ e
povrch	p ɔ v r̩ x
predmetom	p r e d m e t ɔ m
pripraviť	p r i p r a v i c
psa	p s a
rodine	r ɔ ɟ i ɲ e
rodičov	r ɔ ɟ i t͡ʃ ɔ v
skvelý	s k v e l iː
storočí	s t ɔ r ɔ t͡ʃ iː
univerzity	u ɲ i v e r z i t i
získali	z iː s k a ʎ i
žiadnu	ʒ ɪ̯ a d n u
budúcnosti	b u d uː t͡s n ɔ s c i
ciest	t͡s ɪ̯ e s t
dodnes	d ɔ d ɲ e s
dostupné	d ɔ s t u p n eː
firma	f i r m a
formy	f ɔ r m i
kúsok	k uː s ɔ k
lásku	l aː s k u
max	m a k s
mesiaca	m e s ɪ̯ a t͡s a
minulý	m i n u l iː
oficiálne	ɔ f i t͡s i aː l ɲ e
ohľadom	ɔ ɦ ʎ a d ɔ m
platí	p l a c iː
polovici	p ɔ l ɔ v i t͡s i
poskytuje	p ɔ s k i t u j e
potrebujú	p ɔ t r e b u j uː
preklad	p r e k l a t
rodinu	r ɔ ɟ i n u
ročník	r ɔ t͡ʃ ɲ iː k
stránkach	s t r aː n k a x
súťaži	s uː c a ʒ i
tvorbe	t v ɔ r b e
umenia	u m e ɲ ɪ̯ a
vychádza	v i x aː d͡z a
vyhral	v i ɦ r a l
väčšinu	v æ t͡ʃː i n u
zas	z a s
zmluvu	z m l u v u
základná	z aː k l a d n aː
úspešne	uː s p e ʃ ɲ e
články	t͡ʃ l aː n k i
ďalšia	ɟ a l ʃ ɪ̯ a
európskych	e u r ɔː p s k i x
hlavnej	ɦ l a v ɲ e j
medzinárodnej	m e d͡z i n aː r ɔ d ɲ e j
mestskej	m e s k e j
moci	m ɔ t͡s i
najvyššej	n a j v i ʃː e j
našiel	n a ʃ ɪ̯ e l
nejako	ɲ e j a k ɔ
oblastiach	ɔ b l a s c ɪ̯ a x
okolie	ɔ k ɔ ʎ ɪ̯ e
podujatia	p ɔ d u j a c ɪ̯ a
rovnaké	r ɔ v n a k eː
svojmu	s v ɔ j m u
vedel	v e ɟ e l
vybrať	v i b r a c
zrazu	z r a z u
záleží	z aː ʎ e ʒ iː
zápase	z aː p a s e
školu	ʃ k ɔ l u
hodnota	ɦ ɔ d n ɔ t a
jasne	j a s ɲ e
každá	k a ʒ d aː
ligy	ʎ i ɡ i
materiálu	m a t e r i aː l u
odkaz	ɔ t k a s
park	p a r k
rýchlejšie	r iː x ʎ e j ʃ ɪ̯ e
spojených	s p ɔ j e n iː x
spolupráci	s p ɔ l u p r aː t͡s i
titul	c i t u l
vedenie	v e ɟ e ɲ ɪ̯ e
verejnosti	v e r e j n ɔ s c i
veľkosti	v e ʎ k ɔ s c i
väčšie	v æ t͡ʃː ɪ̯ e
základných	z aː k l a d n iː x
útok	uː t ɔ k
absolútne	a p s ɔ l uː t ɲ e
bolesti	b ɔ ʎ e s c i
chýba	x iː b a
dnešnej	d ɲ e ʃ ɲ e j
for	f ɔ r
jána	j aː n a
možnosti	m ɔ ʒ n ɔ s c i
musela	m u s e l a
muža	m u ʒ a
nemusí	ɲ e m u s iː
nemusíte	ɲ e m u s iː c e
nemáte	ɲ e m aː c e
skupine	s k u p i ɲ e
skupín	s k u p iː n
spoločnosťou	s p ɔ l ɔ t͡ʃ n ɔ s c ɔ v
technické	c e x ɲ i t͡s k eː
tváre	t v aː r e
vedením	v e ɟ e ɲ iː m
vzniká	v z ɲ i k aː
všetkého	f ʃ e t k eː ɦ ɔ
zdroje	z d r ɔ j e
získala	z iː s k a l a
člen	t͡ʃ ʎ e n
aktívne	a k c iː v ɲ e
album	a l b u m
kilometrov	k i l ɔ m e t r ɔ v
lásky	l aː s k i
motor	m ɔ t ɔ r
normálne	n ɔ r m aː l ɲ e
plné	p l̩ n eː
pro	p r ɔ
rastliny	r a s t ʎ i n i
sezóne	s e z ɔː ɲ e
skončila	s k ɔ n t͡ʃ i l a
spája	s p aː j a
veľkého	v e ʎ k eː ɦ ɔ
výroba	v iː r ɔ b a
zloženie	z l ɔ ʒ e ɲ ɪ̯ e
účasť	uː t͡ʃ a s c
ďalšími	ɟ a l ʃ iː m i
špeciálne	ʃ p e t͡s i aː l ɲ e
choroby	x ɔ r ɔ b i
dolárov	d ɔ l aː r ɔ v
dôvodov	d u̯ ɔ v ɔ d ɔ v
konkrétne	k ɔ n k r eː t ɲ e
mojom	m ɔ j ɔ m
nechajte	ɲ e x a j c e
nechcem	ɲ e x t͡s e m
poradí	p ɔ r a ɟ iː
potreby	p ɔ t r e b i
pravidelne	p r a v i ɟ e l ɲ e
priemer	p r ɪ̯ e m e r
prípadoch	p r iː p a d ɔ x
píše	p iː ʃ e
schopnosti	s x ɔ p n ɔ s c i
silný	s i l n iː
spojenie	s p ɔ j e ɲ ɪ̯ e
systémom	s i s t eː m ɔ m
tvorby	t v ɔ r b i
vek	v e k
vznikol	v z ɲ i k ɔ l
čiastočne	t͡ʃ ɪ̯ a s t ɔ t͡ʃ ɲ e
is	i s
motora	m ɔ t ɔ r a
nebudem	ɲ e b u ɟ e m
nájde	n aː j ɟ e
posledná	p ɔ s ʎ e d n aː
prebieha	p r e b ɪ̯ e ɦ a
prevádzky	p r e v aː t͡s k i
stáva	s t aː v a
su	s u
videli	v i ɟ e ʎ i
vydanie	v i d a ɲ ɪ̯ e
známa	z n aː m a
účet	uː t͡ʃ e t
šport	ʃ p ɔ r t
akým	a k iː m
al	a l
hrá	ɦ r aː
krásna	k r aː s n a
kráľa	k r aː ʎ a
lieky	ʎ ɪ̯ e k i
majetku	m a j e t k u
moju	m ɔ j u
najlepších	n a j ʎ e p ʃ iː x
neďaleko	ɲ e ɟ a ʎ e k ɔ
náhodou	n aː ɦ ɔ d ɔ v
prírodných	p r iː r ɔ d n iː x
rastlín	r a s t ʎ iː n
skupinu	s k u p i n u
top	t ɔ p
umiestnenie	u m ɪ̯ e s t ɲ e ɲ ɪ̯ e
urobil	u r ɔ b i l
uvedený	u v e ɟ e n iː
vojne	v ɔ j ɲ e
vplyvom	f p l i v ɔ m
využitie	v i u ʒ i c ɪ̯ e
výborne	v iː b ɔ r ɲ e
vývoja	v iː v ɔ j a
zopár	z ɔ p aː r
hlavných	ɦ l a v n iː x
každej	k a ʒ ɟ e j
line	ʎ i ɲ e
najväčšie	n a j v æ t͡ʃː ɪ̯ e
nasledujúcich	n a s ʎ e d u j uː t͡s i x
nato	n a t ɔ
nemôžu	ɲ e m u̯ ɔ ʒ u
nástroje	n aː s t r ɔ j e
plochy	p l ɔ x i
podiel	p ɔ ɟ ɪ̯ e l
prevažne	p r e v a ʒ ɲ e
prezidenta	p r e z i d e n t a
pripravený	p r i p r a v e n iː
práv	p r aː v
súdu	s uː d u
tou	t ɔ v
viaceré	v ɪ̯ a t͡s e r eː
vytvorili	v i t v ɔ r i ʎ i
výnimkou	v iː ɲ i m k ɔ v
výskumu	v iː s k u m u
