אבל	a v a l
ביניהם	b i n j a m
חייבים	χ a j a v i m
קיבל	k i b e l
שינוי	ʃ i n u j
תמונות	t a m u n u t
המאה	h i m a
הסכם	h i s k e m
חד	χ a d
לתוך	l a t u χ
מתחיל	m i t χ i l
נקרא	n i k ʁ a
הגיעו	h i ɡ i u
השבוע	h i ʃ b u a
לעבודה	l e a v u d a
נשאר	n i ʃ a ʁ
עובדים	o v a d i m
פתח	p a t a χ
קוראים	k o ʁ a j i m
גיל	ɡ i l
מאת	m a a t
רמת	ʁ a m a t
דה	d a
הימים	h i m i m
לבדוק	l a v d u k
לשלם	l i ʃ l e m
לשנות	l i ʃ n u t
קורא	k o ʁ a
שמחה	ʃ i m χ a
באמצע	b e a m t͡s a
התנועה	h i t n u a
חג	χ a ɡ
להיכנס	l e h i χ n e s
להתחיל	l e h i t χ i l
לחלוטין	l a χ l u t i n
לשחק	l i ʃ χ a k
אמנם	a m n a m
זכות	z a χ u t
לידי	l i d i
משם	m a ʃ a m
שבהם	ʃ a v a m
שרה	ʃ a ʁ a
ארגון	a ʁ ɡ o n
בהתאם	b e h i t a m
בעיות	b a a j u t
הא	h a
הולכים	h o l χ i m
חולים	χ o l i m
חוסר	χ o s e ʁ
חזר	χ a z a ʁ
יעשה	j a a ʃ a
מאחר	m e a χ a ʁ
מדינות	m a d i n u t
מידי	m i d i
עמ	a m
שמות	ʃ a m u t
שמעתי	ʃ i m a t i
האישה	h e i ʃ a
היתר	h i t e ʁ
הכסף	h i χ s e f
כזאת	k a z a t
מבלי	m a v l i
משחקים	m i ʃ χ a k i m
רשות	ʁ a ʃ u t
בימים	b i m i m
הקבוצה	h i k b u t͡s a
חן	χ a n
ילדה	j a l a d a
נו	n o
קפה	k a f a
תרבות	t a ʁ b u t
הבנתי	h i v n a t i
הי	h i
הכבוד	h i χ b u d
הנשים	h i n ʃ i m
השאר	h i ʃ a ʁ
חינוך	χ i n u χ
יוכל	j o χ e l
ליום	l i j u m
מדהים	m a d h i m
מלאה	m a l a
עשיתי	a ʃ i t i
and	a n d
בחדר	b a χ d a ʁ
במידה	b e m i d a
בעד	b a a d
ברחוב	b a ʁ χ u v
בשבוע	b i ʃ b u a
האוויר	h e e v i ʁ
מותר	m o t e ʁ
סימן	s i m e n
הרכב	h i ʁ k e v
השלישי	h i ʃ l i ʃ i
וחצי	v a χ t͡s i
לבני	l a v a n i
ניסיון	n i s j o n
צעיר	t͡s a i ʁ
שלם	ʃ a l a m
אפשרות	a f ʃ a ʁ u t
הצבא	h i t͡s b a
השימוש	h i ʃ i m u ʃ
יחסית	j a χ s i t
מכירה	m e χ i ʁ a
מלבד	m a l b a d
מראש	m a ʁ a ʃ
סעיף	s a i f
שאף	ʃ a a f
שבין	ʃ a v i n
שעל	ʃ a a l
to	t o
אגב	a ɡ a v
בימי	b i m i
בניו	b a n j u
גרוע	ɡ a ʁ u a
הגדולים	h i ɡ d u l i m
ההורים	h e h o ʁ i m
יופי	j o f i
מדיניות	m a d i n j u t
מכך	m a χ a χ
נמצאת	n i m t͡s a t
צודק	t͡s o d e k
דור	d o ʁ
לאחרונה	l e a χ ʁ o n a
להלן	l a h l a n
לטובת	l a t u v e t
מאי	m a i
מילים	m i l i m
מתה	m a t a
נוספות	n o s f u t
נעים	n a i m
עצמך	a t͡s m a χ
הצעיר	h i t͡s i ʁ
להפסיק	l e h a f s i k
מחקר	m a χ k a ʁ
מרגישה	m a ʁ ɡ i ʃ a
סגן	s a ɡ a n
עמוד	a m u d
קרן	k a ʁ a n
תקווה	t a k v a
of	o f
אלינו	a l i n u
בעברית	b e a v ʁ i t
הבריאות	h i v ʁ i u t
הגיעה	h i ɡ i a
ההוא	h a h u
המציאות	h i m t͡s i u t
המרכז	h i m ʁ e χ e z
הקהילה	h i k h i l a
השבת	h i ʃ b e t
חוקי	χ o k i
שאינם	ʃ a i n a m
שכר	ʃ a χ a ʁ
אוהבים	o h a v i m
ביטוי	b i t u j
גדולות	ɡ a d u l u t
הטבע	h i t b a
המשך	h i m ʃ e χ
הקמת	h i k m e t
השלטון	h i ʃ l a t o n
התוכנית	h i t u χ n i t
זוהי	z o h i
חיל	χ i l
טיפול	t i p u l
יצאו	j a t͡s a u
לאן	l a a n
עסקים	a s k i m
קבע	k a v a
באים	b a i m
הצעת	h i t͡s a a t
השמש	h i ʃ m e ʃ
כפר	k a f a ʁ
מורה	m o ʁ a
נולד	n o l a d
סופר	s o f a ʁ
עסק	a s a k
שב	ʃ a v
שחקן	ʃ a χ k a n
שמישהו	ʃ m i ʃ a h u
תוכל	t o χ e l
תקשורת	t a k ʃ u ʁ e t
הדם	h a d a m
זכה	z a χ a
חיילים	χ a j a l i m
יושב	j o ʃ e v
יחסי	j a χ s i
כמוך	k a m u χ
נוכל	n o χ e l
אחוז	a χ u z
ביד	b i d
בלב	b a l a v
גוריון	ɡ o ʁ j o n
גרם	ɡ a ʁ a m
האלו	h e e l u
להן	l a h a n
לעיר	l a i ʁ
לרגע	l a ʁ ɡ a
מקבלים	m a k b a l i m
פיתוח	p i t u a χ
פרטי	p a ʁ t i
בגין	b a ɡ i n
בדבר	b i d b e ʁ
היד	h i d
הצליח	h i t͡s l i a χ
וזאת	v i z a t
חזקה	χ a z a k a
יוסי	j o s i
לחפש	l a χ p a ʃ
לשלוח	l i ʃ l u a χ
לשני	l i ʃ n i
לתקן	l i t k a n
אליי	a l a j
ארוכה	a ʁ u χ a
באר	b a a ʁ
הנראה	h i n ʁ a
הרוח	h a ʁ u a χ
חופשי	χ o f ʃ i
לאחד	l e a χ a d
לכיוון	l i χ i v e n
לראש	l a ʁ a ʃ
מאמינה	m e a m i n a
מזון	m a z o n
מעין	m a i n
עדיף	a d i f
עומדת	o m e d e t
קבוע	k a v u a
רצון	ʁ a t͡s o n
תגיד	t a ɡ i d
בעיני	b a i n i
בריאות	b ʁ i u t
השירים	h i ʃ i ʁ i m
התיכון	h i t i χ o n
חשיבות	χ a ʃ i v u t
למות	l a m u t
לצפות	l i t͡s f u t
מגיעים	m a ɡ i i m
משפחות	m i ʃ p a χ u t
עבודת	a v u d e t
פסק	p a s a k
צילום	t͡s i l u m
קרב	k a ʁ a v
שמי	ʃ a m i
שרק	ʃ a ʁ a k
תראה	t a ʁ a
אבו	a v u
להגן	l a h a ɡ a n
משפחת	m i ʃ p a χ a t
עומדים	o m a d i m
ענק	a n a k
רוסיה	ʁ o s j a
שומע	ʃ o m a
דו	d o
הגנה	h i ɡ n a
הנכון	h i n k o n
הסדר	h i s d e ʁ
ואיך	v e i χ
וידאו	v i d a u
להישאר	l e h i ʃ a ʁ
מזכיר	m i z k i ʁ
מחפשים	m a χ p a ʃ i m
משתמש	m i ʃ t a m e ʃ
שבא	ʃ a v a
שליטה	ʃ l i t a
איננו	i n a n u
באיזה	b e i z a
ברוב	b a ʁ u v
גרמניה	ɡ a ʁ m a n j a
המספר	h i m s p e ʁ
חברתית	χ a v ʁ a t i t
חשובה	χ a ʃ u v a
יחסים	j a χ s i m
לחלק	l a χ l a k
מחפש	m a χ p e ʃ
פרטים	p a ʁ t i m
שואל	ʃ o e l
באחד	b e a χ a d
הספרים	h i s p a ʁ i m
הרשות	h i ʁ ʃ u t
כלים	k a l i m
כרטיס	k a ʁ t i s
להחזיר	l e h a χ z i ʁ
מכירים	m e χ i ʁ i m
ניסה	n i s a
נראית	n i ʁ a j i t
שאי	ʃ a i
שייך	ʃ a j a χ
שיכול	ʃ i χ u l
אחראי	a χ ʁ a j
בינתיים	b i n t a j i m
דקה	d a k a
האדמה	h e e d e m a
המחקר	h i m χ a k e ʁ
הקטנה	h i k t a n a
התמונה	h i t m o n a
טרם	t a ʁ a m
יו	j o
נא	n a
עבודות	a v u d u t
עתה	a t a
שישי	ʃ i ʃ i
אינני	i n a n i
אצלנו	a t͡s l a n u
הלבן	h i l b e n
המשנה	h i m ʃ a n a
הצוות	h i t͡s v e t
הקדוש	h i k d u ʃ
וזו	v a z u
יוצאת	j o t͡s a t
כוס	k o s
כח	k a χ
לעיתים	l a i t i m
נוח	n o a χ
עליכם	a l i χ e m
עשתה	a ʃ t a
קטנות	k a t a n u t
שיתוף	ʃ i t u f
שלב	ʃ a l a v
בחלק	b a χ l a k
ביי	b a j
גמר	ɡ a m a ʁ
דיון	d i j o n
האמיתי	h e e m i t i
הארגון	h e e ʁ ɡ o n
הזוג	h i z u ɡ
הרע	h a ʁ a
השעה	h i ʃ a
זקן	z a k a n
חלקי	χ a l a k i
כאב	k a a v
מודה	m o d a
מפה	m a f a
סיום	s i j u m
סיני	s i n i
עובדת	o v e d e t
עשית	a ʃ i t
רופא	ʁ o f a
אירועים	i ʁ u i m
אמצעי	a m t͡s a i
ארוחת	a ʁ u χ a t
בטוחה	b a t u χ a
בקלות	b a k l u t
הגישה	h i ɡ i ʃ a
הכלכלי	h i χ l a χ l i
ידיעות	j a d i u t
מרכזי	m a ʁ k a z i
משתמשים	m i ʃ t a m ʃ i m
נקבע	n i k b a
עולים	o l i m
צו	t͡s o
קיום	k i j u m
שיטת	ʃ i t e t
שינויים	ʃ i n u j i m
שירה	ʃ i ʁ a
איי	a j
בים	b i m
היחסים	h i χ s i m
המדינות	h i m d i n u t
ולמה	v a l a m a
זרים	z a ʁ i m
להוכיח	l e h u χ i a χ
לחבר	l a χ b a ʁ
לטפל	l i t p e l
לשמש	l i ʃ m e ʃ
ממשיך	m a m ʃ i χ
מתחילים	m i t χ i l i m
מתים	m a t i m
עצמית	a t͡s m i t
שיער	ʃ i a ʁ
שרון	ʃ a ʁ o n
אופי	o f i
הדיון	h i d j o n
המוות	h i m v e t
הסביבה	h i s b i v a
הקטע	h i k t a
הקיבוץ	h i k i b u t͡s
ואחר	v e a χ a ʁ
חופש	χ o f e ʃ
חלקים	χ a l a k i m
כשהיא	k a ʃ h i
להודות	l e h u d u t
לחברה	l a χ b a ʁ a
מאמר	m e a m e ʁ
עובדי	o v a d i
ערבים	a ʁ b i m
פגיעה	p a ɡ i a
שלהן	ʃ a l a n
איני	i n i
הוצאת	h o t͡s a t
המרכזית	h i m ʁ a χ z i t
הקרוב	h i k ʁ o v
ודאי	v a d a j
לענות	l a a n u t
מאיפה	m e i f a
משחקי	m i ʃ χ a k i
משנת	m i ʃ n e t
נפלא	n i f l a
סביר	s a v i ʁ
סי	s i
פרץ	p a ʁ a t͡s
קשים	k a ʃ i m
שי	ʃ i
ברזל	b a ʁ z a l
הקשה	h i k ʃ a
השלישית	h i ʃ l i ʃ i t
השפה	h i ʃ p a
התפקיד	h i t p a k i d
יפו	j a f u
כשר	k a ʃ a ʁ
לבסוף	l a v s u f
להעלות	l e h a l u t
לחדר	l a χ d a ʁ
מצאו	m a t͡s a u
סרטים	s a ʁ t i m
עלייה	a l i j a
פרט	p a ʁ a t
צעד	t͡s a a d
שיצא	ʃ i t͡s a
איתנו	i t a n u
אמיתית	a m i t i t
בכיר	b e χ i ʁ
ברורה	b ʁ u ʁ a
הגדולות	h i ɡ d u l u t
הישיבה	h i ʃ i v a
הכוונה	h i χ v a n a
הצלחה	h i t͡s l a χ a
הקיץ	h i k i t͡s
כביש	k a v i ʃ
להוריד	l e h o ʁ i d
למדי	l a m a d i
לרדת	l a ʁ d e t
מגלה	m a ɡ l a
מצווה	m a t͡s v a
מתחילה	m i t χ i l a
נוער	n o a ʁ
עלתה	a l t a
עמדה	a m d a
קראתי	k a ʁ a t i
תורת	t o ʁ e t
תנו	t a n u
תשומת	t ʃ u m e t
אהיה	a h i j a
אצלי	a t͡s l i
ביצוע	b i t͡s u a
גודל	ɡ o d e l
הגבול	h i ɡ b u l
הגיוני	h i ɡ j o n i
הדלת	h i d l e t
כלכלי	k a l k a l i
לבטל	l i v t e l
לזמן	l i z m e n
מאיתנו	m e i t a n u
מופיע	m o f i a
מסביב	m a s b i v
נודע	n o d a
נותנים	n o t a n i m
נמצאו	n i m t͡s a u
נתנו	n i t n u
סיפורים	s i p u ʁ i m
קצרה	k a t͡s a ʁ a
גדל	ɡ a d a l
האירוע	h e i ʁ u a
הכניסה	h i χ n i s a
הפכה	h i f χ a
מטה	m a t a
מיוחדים	m i j u χ a d i m
נושאים	n o ʃ a i m
עדות	a d u t
קריאה	k ʁ i a
תגידי	t a ɡ i d i
דורש	d o ʁ e ʃ
הגעתי	h i ɡ a t i
הדור	h a d u ʁ
הנפש	h i n p e ʃ
התלמידים	h i t l a m i d i m
טען	t a a n
יומיים	j o m a j i m
ישיר	j e ʃ i ʁ
ישירות	j e ʃ i ʁ u t
ניהול	n i h u l
נס	n a s
עזר	a z a ʁ
עלו	a l u
ערבי	a ʁ b i
שירותי	ʃ i ʁ u t i
תת	t a t
גילה	ɡ i l a
גילוי	ɡ i l u j
דוקטור	d o k t o ʁ
דיין	d a j a n
האמריקאי	h e e m ʁ i k a j
האפשרות	h e e f ʃ a ʁ u t
הטיפול	h i t i p u l
הישן	h i ʃ e n
העלייה	e e l i j a
הצבאי	h i t͡s b a j
זין	z i n
זר	z a ʁ
חשובים	χ a ʃ u v i m
יוצר	j o t͡s e ʁ
כחלק	k a χ l a k
כשהם	k a ʃ a m
לאף	l a a f
להציל	l e h a t͡s i l
להציע	l e h a t͡s i a
לים	l a j i m
מסע	m a s a
סוריה	s o ʁ j a
עוסק	o s e k
ערים	a ʁ i m
שבהן	ʃ a v a n
שנקרא	ʃ i n k a ʁ a
תלמידים	t a l m i d i m
אמורה	a m u ʁ a
גר	ɡ a ʁ
הבתים	h i v t i m
ההבדל	h e h a v d e l
הורים	h o ʁ i m
המבנה	h i m b a n a
העיקרי	h e i k a ʁ i
הקודש	h i k u d e ʃ
השער	h i ʃ a ʁ
חייהם	χ i j a m
חכמה	χ a χ m a
ידעו	j a d a u
יעלה	j a a l a
יצירת	j e t͡s i ʁ e t
לזהות	l i z h u t
לימודי	l i m u d i
לכמה	l i χ m a
לעיל	l a i l
מינית	m i n i t
נבחר	n i v χ a ʁ
ניר	n i ʁ
סגל	s a ɡ a l
עובדה	o v a d a
פול	p o l
שכולם	ʃ χ u l a m
israel	i s r a e l
דתי	d a t i
הבריטי	h i v ʁ i t i
הכללית	h i χ l a l i t
העברי	e e v a ʁ i
העתיד	h e e t i d
השירות	h i ʃ i ʁ u t
חנה	χ a n a
כעבור	k a a v u ʁ
להזכיר	l e h i z k i ʁ
להציג	l e h a t͡s i ɡ
לתפקיד	l i t p a k i d
מכם	m a χ a m
מספרים	m i s p a ʁ i m
פירות	p i ʁ u t
פעיל	p a i l
ציבורית	t͡s i b u ʁ i t
קובע	k o v a
ראינו	ʁ a i n u
תראו	t a ʁ a u
אנא	a n a
אנטי	a n t i
באו	b a u
באי	b a i
בתגובה	b i t ɡ u v a
בתום	b a t u m
בתנאי	b i t n a j
הגענו	h i ɡ a n u
הגרמנים	h i ɡ ʁ a m a n i m
הדעת	h i d a a t
המחלקה	h i m χ a l a k a
המקומית	h i m k o m i t
הנרי	h i n ʁ i
העתיקה	e e t i k a
הציוני	h i t͡s j o n i
ידו	j a d u
להשתתף	l e h i ʃ t a t e f
לעם	l a a m
לשנה	l i ʃ n a
נהדר	n e h a d e ʁ
קטע	k a t a
קראו	k a ʁ a u
שאלתי	ʃ e e l t i
שחקנים	ʃ a χ k a n i m
שרת	ʃ a ʁ a t
אבנים	a v a n i m
אחים	a χ i m
אס	a s
אריק	a ʁ i k
בגן	b a ɡ a n
בחשבון	b a χ ʃ a v o n
ביטול	b i t u l
בסגנון	b a s ɡ a n o n
בקושי	b a k u ʃ i
בקיץ	b a k i t͡s
הבדל	h i v d e l
הגברים	h i ɡ b a ʁ i m
הדר	h a d a ʁ
הוראה	h o ʁ a
היהדות	h i h a d u t
היכולת	h i χ u l e t
הכלכלה	h i χ l a χ l a
המערבי	h i m a ʁ b i
הנתונים	h i n t o n i m
הפה	h a f a
התחלתי	h i t χ a l t i
ואחד	v e a χ a d
יוני	j o n i
ימות	j a m u t
כושר	k o ʃ e ʁ
כללית	k a l l i t
ללמד	l i l m e d
מהו	m a h u
נפתח	n i f t e a χ
עמי	a m i
פנה	p a n a
ראית	ʁ a i t
שיחות	ʃ i χ u t
תגובה	t a ɡ u v a
אנה	a n a
בבני	b a v a n i
גז	ɡ a z
דק	d a k
האישי	h e i ʃ i
הבינלאומי	h i b i n l a u m i
היסוד	h i s u d
המזון	h i m z o n
המחנה	h i m χ a n a
התכנית	h i t k a n i t
יולי	j o l i
לדברי	l i d b a ʁ i
לרבות	l a ʁ b u t
מכה	m a χ a
עזב	a z a v
עיצוב	i t͡s u v
צורה	t͡s o ʁ a
ציבורי	t͡s i b u ʁ i
ציוד	t͡s i j u d
קצין	k a t͡s i n
אחותי	a χ u t i
אחרון	a χ ʁ o n
אלפים	a l a f i m
אמון	a m o n
אשמח	a ʃ m a χ
ברירה	b ʁ i ʁ a
דומים	d o m i m
הון	h o n
היצירה	h i t͡s i ʁ a
הכלל	h i χ l e l
המקורי	h i m k o ʁ i
מכון	m a χ o n
מסר	m a s a ʁ
נחל	n a χ a l
סבתא	s a v t a
צודקת	t͡s o d e k e t
רות	ʁ o t
תחרות	t a χ ʁ u t
אן	a n
בדיקות	b e d i k u t
בהתחלה	b e h i t χ a l a
בריא	b a ʁ i
דגם	d a ɡ a m
האדום	h e e d u m
הבחירה	h i v χ i ʁ a
הזמנים	h i z m a n i m
הכביש	h i χ b i ʃ
המחיר	h i m χ i ʁ
המעבר	h i m a v e ʁ
המקור	h i m k o ʁ
הסדרה	h i s d a ʁ a
הצעירים	h i t͡s i ʁ i m
השיער	h i ʃ i a ʁ
זהות	z a h u t
טענה	t a a n a
יורד	j o ʁ e d
יצירה	j e t͡s i ʁ a
להחזיק	l e h a χ z i k
ליהודים	l i h u d i m
לסדר	l i s d e ʁ
מקצועי	m a k t͡s u a j
מרבית	m a ʁ b i t
משלם	m i ʃ l a m
משפטים	m i ʃ p a t i m
סך	s a χ
קונה	k o n a
רפואה	ʁ a f u a
שקורה	ʃ k u ʁ a
אפריקה	a f ʁ i k a
בקיבוץ	b e k i b u t͡s
גאון	ɡ a o n
דלק	d a l a k
האנושי	h e e n u ʃ i
הדתית	h i d t i t
הו	h o
הטעם	h i t a m
היפה	h i p a
המזרחי	h i m z a ʁ a χ i
הספורט	h i s p o ʁ t
העין	h e i n
הערים	e e ʁ i m
התיק	h i t i k
חוקים	χ o k i m
חסרי	χ a s a ʁ i
ילדי	j a l a d i
כפול	k a f u l
לעסוק	l a a s o k
מחקרים	m a χ k a ʁ i m
מרי	m a ʁ i
משפטי	m i ʃ p a t i
נוצר	n o t͡s a ʁ
ניצחון	n i t͡s a χ o n
סיוע	s i j u a
שורה	ʃ o ʁ a
שלישית	ʃ l i ʃ i t
תוקף	t o k e f
תקציב	t a k t͡s i v
בדומה	b a d u m a
הבנת	h i v n e t
הוד	h o d
הוראות	h o ʁ a u t
הקטנים	h i k t a n i m
השחקנים	h i ʃ χ a k a n i m
התמונות	h i t m o n u t
וה	v a
חמוד	χ a m u d
חקירה	χ a k i ʁ a
יחזור	j a χ z u ʁ
לאיש	l a i ʃ
להעניק	l e h a n i k
לשלוט	l i ʃ l u t
מגוון	m a ɡ v a n
מוסד	m o s e d
משבר	m i ʃ b a ʁ
משתנה	m i ʃ t a n a
נותר	n o t e ʁ
ניסו	n i s u
פורסם	p o ʁ s e m
רון	ʁ o n
שותף	ʃ o t e f
אחוזים	a χ u z i m
אפס	a f a s
גובה	ɡ o v a
דיברתי	d i b ʁ a t i
הגבר	h i ɡ b e ʁ
הזיכרון	h i z i k a ʁ o n
הכהן	h i χ a n
המכונה	h i m k o n a
המלא	h i m l a
המלכה	h i m l a χ a
העליונה	e e l j o n a
הפלסטינית	h i f l a s t i n i t
יעשו	j a a ʃ u
יקבל	j a k b a l
לאישה	l e i ʃ a
לדין	l a d i n
למדתי	l i m d a t i
לקדם	l a k d a m
מוחמד	m o χ m e d
מונה	m o n a
נדבר	n i d b a ʁ
נוסח	n o s a χ
נפרד	n i f ʁ a d
סופרים	s o f ʁ i m
סיבוב	s i b u v
עיקר	i k e ʁ
פולין	p o l i n
קצב	k a t͡s a v
שיא	ʃ i
תלמידי	t a l m i d i
אהרון	a h a ʁ o n
אוגוסט	o ɡ o s t
איננה	i n a n a
בדיקה	b e d i k a
בתו	b a t u
בתוכנית	b e t u χ n i t
דרכי	d a ʁ k i
דתית	d a t i t
הבמה	h i v m a
היחס	h i χ e s
המקרים	h i m k a ʁ i m
המשיך	h i m ʃ i χ
העיקרית	h e i k ʁ i t
הציונות	h i t͡s j o n u t
הצפון	h i t͡s p o n
הרגשה	h i ʁ ɡ e ʃ a
הרים	h a ʁ i m
זמני	z a m a n i
יושבים	j o ʃ e v i m
להשפיע	l e h i ʃ p i a
לומדים	l o m a d i m
לסגור	l i s ɡ o ʁ
מיכל	m i χ e l
סדרה	s a d a ʁ a
סין	s i n
עליהן	a l j a n
עסקה	a s k a
פונה	p o n a
רובם	ʁ o v e m
שיותר	ʃ i j u t e ʁ
שיטות	ʃ i t u t
אלן	a l a n
באוויר	b e a v i ʁ
באחת	b e a χ a t
ביצים	b i t͡s i m
בלא	b a l a
ברכות	b a ʁ χ u t
בשיתוף	b e ʃ i t u f
הורה	h o ʁ a
הידוע	h i d u a
הלל	h a l a l
הנחה	h i n χ a
השחור	h i ʃ χ o ʁ
השרון	h i ʃ ʁ o n
התחילו	h i t χ i l u
זכו	z a χ u
לדון	l a d o n
להרוס	l a h a ʁ o s
לחקור	l a χ k o ʁ
מאפשר	m e a f ʃ a ʁ
נפגע	n i f ɡ a
עידן	i d e n
עליון	a l j o n
פותח	p o t e a χ
פעל	p a a l
קורס	k o ʁ e s
רעים	ʁ a i m
תרופות	t ʁ o f u t
אוקיי	o k a j
אמי	a m i
אפרים	a f ʁ i m
ארוכות	a ʁ u χ u t
אשת	a ʃ a t
אתי	a t i
ביולי	b i j u l i
במילים	b e m i l i m
בעין	b a i n
בשיר	b e ʃ i ʁ
בתיק	b a t i k
דר	d a ʁ
הבנייה	h i v n i j a
החג	h a χ a ɡ
הכלים	h i χ l i m
