अब	ə b
var	ʋ ɑː r
अजमल	ə d͡ʒ m ə l
अरहर	ə ɾ ɦ ə ɾ
उथल	ʊ t̪ʰ ə l
पनप	p ə n ə p
हग	ɦ ə ɡ
term	t ɛ r m
अगल	ə ɡ ə l
आइस	ɑː ɪ s
बटलर	b ə ʈ l ə ɾ
अन	ə n
अरशद	ə ɾ ʃ ə d̪
आमरण	ɑː m ɾ ə ɳ
कतर	k ə t̪ ə ɾ
जलकर	d͡ʒ ə l k ə ɾ
समन	s ə m ə n
ओएस	oː eː s
तबतक	t̪ ə b t̪ ə k
शकल	ʃ ə k ə l
सबल	s ə b ə l
half	h ɑ l f
ईन	iː n
गबन	ɡ ə b ə n
चक	t͡ʃ ə k
फस	pʰ ə s
dd	d eː d eː
आइडल	ɑː ɪ ɖ ə l
इयर	ɪ j ə ɾ
भट	bʱ ə ʈ
भरकम	bʱ ə ɾ k ə m
इनपर	ɪ n p ə ɾ
उबर	ʊ b ə ɾ
ऊतक	uː t̪ ə k
ओवल	oː ʋ ə l
धक	d̪ʱ ə k
शरबत	ʃ ə ɾ b ə t̪
हरम	ɦ ə ɾ ə m
har	h ɑː r
आईएसओ	ɑː iː eː s oː
उधम	ʊ d̪ʱ ə m
गदर	ɡ ə d̪ ə ɾ
नवल	n ə ʋ ə l
feel	f eː l
आइकन	ɑː ɪ k ə n
आगर	ɑː ɡ ə ɾ
इल	ɪ l
एटम	eː ʈ ə m
पलवल	p ə l ʋ ə l
रमण	ɾ ə m ə ɳ
लए	l ə eː
आवर	ɑː ʋ ə ɾ
एसएस	eː s eː s
सरस	s ə ɾ ə s
terms	t ɛ r m s
उद	ʊ d̪
लक	l ə k
सज	s ə d͡ʒ
उभरकर	ʊ bʱ ə ɾ k ə ɾ
एनएच	eː n eː t͡ʃ
नगद	n ə ɡ ə d̪
बचन	b ə t͡ʃ ə n
हव	ɦ ə ʋ
mm	ɛ m ɛ m
nm	ɛ n ɛ m
ऐस	ɛː s
ऑर	ɔ ɾ
डन	ɖ ə n
बहकर	b ə ɦ k ə ɾ
मटन	m ə ʈ ə n
औचक	ɔː t͡ʃ ə k
चख	t͡ʃ ə kʰ
बग	b ə ɡ
हमसब	ɦ ə m s ə b
aam	ɑː m
अतएव	ə t̪ eː ʋ
आईएसआईएस	ɑː iː eː s ɑː iː eː s
एमएस	eː m eː s
कक	k ə k
पण	p ə ɳ
यस	j ə s
हजम	ɦ ə d͡ʒ ə m
गजट	ɡ ə d͡ʒ ə ʈ
आईएस	ɑː iː eː s
एलन	eː l ə n
एवज	eː ʋ ə d͡ʒ
रपट	ɾ ə p ə ʈ
ro	r oː
sri	s r iː
असगर	ə s ɡ ə ɾ
बढकर	b ə ɖʱ k ə ɾ
लपक	l ə p ə k
हरभजन	ɦ ə ɾ bʱ ə d͡ʒ ə n
step	s t ɛ p
आयल	ɑː j ə l
ओट	oː ʈ
डटकर	ɖ ə ʈ k ə ɾ
पदम	p ə d̪ ə m
बतख	b ə t̪ ə kʰ
शर	ʃ ə ɾ
शरत	ʃ ə ɾ ə t̪
mb	ɛ m b eː
ईएमआई	iː eː m ɑː iː
एफआइआर	eː pʰ ɑː ɪ ɑː ɾ
एमएलए	eː m eː l eː
चहल	t͡ʃ ə ɦ ə l
ठन	ʈʰ ə n
अकरम	ə k ɾ ə m
अहद	ə ɦ ə d̪
जनधन	d͡ʒ ə n d̪ʱ ə n
पन	p ə n
मदत	m ə d̪ ə t̪
लचर	l ə t͡ʃ ə ɾ
tool	t oː l
आऊ	ɑː uː
नच	n ə t͡ʃ
कय	k ə j
बफर	b ə pʰ ə ɾ
seen	s eː n
ईज	iː d͡ʒ
उरई	ʊ ɾ ə iː
gang	ɡ ɑ ŋ
एडम	eː ɖ ə m
खल	kʰ ə l
जड	d͡ʒ ə ɖ
बकर	b ə k ə ɾ
हमदम	ɦ ə m d̪ ə m
एअर	eː ə ɾ
टनल	ʈ ə n ə l
सरगम	s ə ɾ ɡ ə m
ईडन	iː ɖ ə n
एफएम	eː pʰ eː m
छलक	t͡ʃʰ ə l ə k
ईधन	iː d̪ʱ ə n
एचएएल	eː t͡ʃ eː eː l
कपल	k ə p ə l
खलल	kʰ ə l ə l
एनआईए	eː n ɑː iː eː
ओवन	oː ʋ ə n
चढ	t͡ʃ ə ɖʱ
नह	n ə ɦ
अमजद	ə m d͡ʒ ə d̪
एनआरआई	eː n ɑː ɾ ɑː iː
गय	ɡ ə j
दमकल	d̪ ə m k ə l
मग	m ə ɡ
मचल	m ə t͡ʃ ə l
alp	ɑ l p
loop	l oː p
कफन	k ə pʰ ə n
मम	m ə m
रहत	ɾ ə ɦ ə t̪
हरदम	ɦ ə ɾ d̪ ə m
feet	f eː t
pack	p ɑ k
अहमदनगर	ə ɦ m ə d̪ n ə ɡ ə ɾ
घई	ɡʱ ə iː
दश	d̪ ə ʃ
लद	l ə d̪
आव	ɑː ʋ
ओरल	oː ɾ ə l
कटर	k ə ʈ ə ɾ
कलई	k ə l ə iː
फजल	pʰ ə d͡ʒ ə l
खर	kʰ ə ɾ
जनपथ	d͡ʒ ə n p ə t̪ʰ
दहल	d̪ ə ɦ ə l
धमक	d̪ʱ ə m ə k
भगवद	bʱ ə ɡ ʋ ə d̪
एमआई	eː m ɑː iː
ऐज	ɛː d͡ʒ
चटक	t͡ʃ ə ʈ ə k
दन	d̪ ə n
नईम	n ə iː m
बड	b ə ɖ
सभ	s ə bʱ
हमर	ɦ ə m ə ɾ
अजर	ə d͡ʒ ə ɾ
आईआईएम	ɑː iː ɑː iː eː m
आईएमएफ	ɑː iː eː m eː pʰ
इनर	ɪ n ə ɾ
एनएम	eː n eː m
ओत	oː t̪
कहत	k ə ɦ ə t̪
जहन	d͡ʒ ə ɦ ə n
नवम	n ə ʋ ə m
फकत	pʰ ə k ə t̪
मगहर	m ə ɡ ɦ ə ɾ
एबल	eː b ə l
पढकर	p ə ɖʱ k ə ɾ
भरसक	bʱ ə ɾ s ə k
रद	ɾ ə d̪
ललक	l ə l ə k
आईए	ɑː iː eː
आईएल	ɑː iː eː l
एएसआई	eː eː s ɑː iː
कसक	k ə s ə k
पवई	p ə ʋ ə iː
रट	ɾ ə ʈ
fans	f ɑ n s
एमएमएस	eː m eː m eː s
ऒर	oː ɾ
गढ	ɡ ə ɖʱ
बटर	b ə ʈ ə ɾ
सनद	s ə n ə d̪
अदद	ə d̪ ə d̪
अव	ə ʋ
आईओएस	ɑː iː oː eː s
उबल	ʊ b ə l
ओड	oː ɖ
चट	t͡ʃ ə ʈ
हई	ɦ ə iː
beef	b eː f
hp	h oː p eː
गदगद	ɡ ə d̪ ɡ ə d̪
पच	p ə t͡ʃ
पस	p ə s
हए	ɦ eː
हरमन	ɦ ə ɾ m ə n
चकर	t͡ʃ ə k ə ɾ
चरन	t͡ʃ ə ɾ ə n
saal	s ɑː l
आद	ɑː d̪
तलत	t̪ ə l ə t̪
tell	t ɛ l
आईएफएस	ɑː iː eː pʰ eː s
आरएस	ɑː ɾ eː s
आवत	ɑː ʋ ə t̪
गरदन	ɡ ə ɾ d̪ ə n
डट	ɖ ə ʈ
ten	t ɛ n
अपच	ə p ə t͡ʃ
बरबस	b ə ɾ b ə s
रचकर	ɾ ə t͡ʃ k ə ɾ
सफलतम	s ə pʰ ə l t̪ ə m
सरन	s ə ɾ ə n
hoon	h oː n
कबर	k ə b ə ɾ
डग	ɖ ə ɡ
अगम	ə ɡ ə m
चरक	t͡ʃ ə ɾ ə k
बजह	b ə d͡ʒ ə ɦ
सजन	s ə d͡ʒ ə n
poor	p oː r
sent	s ɛ n t
shree	ʃ r eː
आमद	ɑː m ə d̪
उई	ʊ iː
एनएसए	eː n eː s eː
खद	kʰ ə d̪
गटर	ɡ ə ʈ ə ɾ
चम	t͡ʃ ə m
जरनल	d͡ʒ ə ɾ n ə l
समज	s ə m ə d͡ʒ
