de	d e
ondan	o n d a n
oyunu	o j u n u
sona	s o n a
din	d i n
dizi	d i z i
ileri	i l e ɾ i
kişinin	c i ʃ i n i n
maçı	m a t͡ʃ ɯ
site	s i t e
sonu	s o n u
ver	v e ɾ
yapmış	j a p m ɯ ʃ
düzenlenen	d y z e n l e n e n
ederek	e d e ɾ e c
gerektiğini	ɟ e ɾ e c t i i n i
hakkı	h a k k ɯ
olmaya	o ɫ m a j a
tespit	t e s p i t
verir	v e ɾ i ɾ
öncesi	ø n d͡ʒ e s i
alır	a ɫ ɯ ɾ
ayında	a j ɯ n d a
bilmiyorum	b i l m i j o ɾ u m
bununla	b u n u n ɫ a
ediyoruz	e d i j o ɾ u z
ettim	e t t i m
hoş	h o ʃ
muhteşem	m u h t e ʃ e m
yada	j a d a
çalışma	t͡ʃ a ɫ ɯ ʃ m a
üyesi	y j e s i
arası	a ɾ a s ɯ
edilir	e d i l i ɾ
edip	e d i p
ek	e c
etmeye	e t m e j e
fenerbahçe	f e n e ɾ b a h t͡ʃ e
ingilizce	i n ɟ i l i z d͡ʒ e
karşısında	k a ɾ ʃ ɯ s ɯ n d a
olmadan	o ɫ m a d a n
sonrasında	s o n ɾ a s ɯ n d a
yerini	j e ɾ i n i
yeterli	j e t e ɾ l i
ın	ɯ n
alanı	a ɫ a n ɯ
buraya	b u ɾ a j a
bölümü	b ø l y m y
escort	e s d͡ʒ o ɾ t
gelmiş	ɟ e l m i ʃ
kendisine	c e n d i s i n e
medya	m e d j aː
misin	m i s i n
verin	v e ɾ i n
yola	j o ɫ a
ışık	ɯ ʃ ɯ k
başbakan	b a ʃ b a k a n
bulunmaktadır	b u ɫ u n m a k t a d ɯ ɾ
galatasaray	ɡ a ɫ a t a s a ɾ a j
gidiyor	ɟ i d i j o ɾ
işin	i ʃ i n
kalp	k a ɫ p
kimsenin	c i m s e n i n
veriyor	v e ɾ i j o ɾ
ülkede	y l c e d e
şeyin	ʃ e j i n
annem	a n n e m
bakanlığı	b a k a n ɫ ɯ ɯ
bitti	b i t t i
etmiş	e t m i ʃ
gelip	ɟ e l i p
genellikle	ɟ e n e l l i c l e
gidip	ɟ i d i p
meydana	m e j d a n a
nefes	n e f e s
neredeyse	n e ɾ e d e j s e
yapmaya	j a p m a j a
anlamına	a n ɫ a m ɯ n a
biliyor	b i l i j o ɾ
biliyorum	b i l i j o ɾ u m
birinin	b i ɾ i n i n
demektir	d e m e c t i ɾ
diyorum	d i j o ɾ u m
giden	ɟ i d e n
gördüm	ɟ ø ɾ d y m
herkese	h e ɾ c e s e
kuzey	k u z e j
olanlar	o ɫ a n l a ɾ
olduğuna	o ɫ d u u n a
sol	s o ɫ
çift	t͡ʃ i f t
aldım	a ɫ d ɯ m
babası	b a b a s ɯ
benimle	b e n i m l e
birine	b i ɾ i n e
birşey	b i ɾ ʃ e j
dışı	d ɯ ʃ ɯ
evi	e v iː
geceler	ɟ e d͡ʒ e l e ɾ
gerekir	ɟ e ɾ e c i ɾ
istiyoruz	i s t i j o ɾ u z
kişiler	c i ʃ i l e ɾ
sayıda	s a j ɯ d a
yapıldı	j a p ɯ ɫ d ɯ
çalışmaları	t͡ʃ a ɫ ɯ ʃ m a ɫ a ɾ ɯ
şeklinde	ʃ e c l i n d e
şeye	ʃ e j e
birden	b i ɾ d e n
dur	d u ɾ
düşünüyorum	d y ʃ y n y j o ɾ u m
filmi	f i l m i
gücü	ɟ y d͡ʒ y
günde	ɟ y n d e
nedenle	n e d e n l e
oda	o d a
olmasına	o ɫ m a s ɯ n a
parçası	p a ɾ t͡ʃ a s ɯ
profesyonel	p ɾ o f e s j ɔ n ɛ l
umarım	u m a ɾ ɯ m
yapacak	j a p a d͡ʒ a k
yıllar	j ɯ ɫ ɫ a ɾ
örneğin	ø ɾ n e i n
amerikan	a m e ɾ i k a n
gelin	ɟ e l i n
gençlik	ɟ e n t͡ʃ l i c
ismi	i s m i
istemiyorum	i s t e m i j o ɾ u m
işler	i ʃ l e ɾ
mavi	m aː v iː
olmasını	o ɫ m a s ɯ n ɯ
takımı	t a k ɯ m ɯ
yaptım	j a p t ɯ m
yılın	j ɯ ɫ ɯ n
ah	a h
amacıyla	a m a d͡ʒ ɯ j ɫ a
erkekler	e ɾ c e c l e ɾ
geçmiş	ɟ e t͡ʃ m i ʃ
giriş	ɟ i ɾ i ʃ
gösteren	ɟ ø s t e ɾ e n
günler	ɟ y n l e ɾ
günün	ɟ y n y n
güven	ɟ y v e n
hasan	h a s a n
kadının	k a d ɯ n ɯ n
kimi	c i m i
kitabı	c i t aː b ɯ
olmuştur	o ɫ m u ʃ t u ɾ
sebebi	s e b e b i
suç	s u t͡ʃ
zengin	z e n ɟ i n
çocukları	t͡ʃ o d͡ʒ u k ɫ a ɾ ɯ
adamın	a d a m ɯ n
bol	b o ɫ
edilmiş	e d i l m i ʃ
kararı	k a ɾ a ɾ ɯ
kilo	c i l o
no	n o
olduğundan	o ɫ d u u n d a n
olmadığı	o ɫ m a d ɯ ɯ
terk	t e ɾ c
yönelik	j ø n e l i c
yılda	j ɯ ɫ d a
almış	a ɫ m ɯ ʃ
alındı	a ɫ ɯ n d ɯ
aç	a t͡ʃ
beyler	b e j l e ɾ
derin	d e ɾ i n
fakültesi	f a c y l t e s i
gören	ɟ ø ɾ e n
işleri	i ʃ l e ɾ i
mü	m y
olamaz	o ɫ a m a z
san	s a n
savunma	s a v u n m a
saygı	s a j ɡ ɯ
yan	j a n
yolunda	j o ɫ u n d a
alınan	a ɫ ɯ n a n
araya	a ɾ a j a
aşağıdaki	a ʃ a ɯ d a c i
belediyesi	b e l e d i j e s i
binlerce	b i n l e ɾ d͡ʒ e
bırak	b ɯ ɾ a k
giren	ɟ i ɾ e n
kısmı	k ɯ s m ɯ
sonuna	s o n u n a
yönetimi	j ø n e t i m i
şirket	ʃ i ɾ c e t
açıkladı	a t͡ʃ ɯ k ɫ a d ɯ
başlar	b a ʃ ɫ a ɾ
başta	b a ʃ t a
bizden	b i z d e n
dini	d i n i
eğitimi	e i t i m i
isimli	i s i m l i
kelime	c e l i m e
kendisini	c e n d i s i n i
kimin	c i m i n
mevcut	m e v d͡ʒ u t
partisi	p a ɾ t i s i
çıkıyor	t͡ʃ ɯ k ɯ j o ɾ
şeyleri	ʃ e j l e ɾ i
alıyor	a ɫ ɯ j o ɾ
arkadaşı	a ɾ k a d a ʃ ɯ
genelde	ɟ e n e l d e
girdi	ɟ i ɾ d i
güvenli	ɟ y v e n l i
kimseye	c i m s e j e
misiniz	m i s i n i z
nedeni	n e d e n i
olduğum	o ɫ d u u m
rahatsız	ɾ a h a t s ɯ z
alarak	a ɫ a ɾ a k
almaya	a ɫ m a j a
halkın	h a ɫ k ɯ n
hedef	h e d e f
ortadan	o ɾ t a d a n
otel	o t ɛ l
verecek	v e ɾ e d͡ʒ e c
verildi	v e ɾ i l d i
yerden	j e ɾ d e n
yoktu	j o k t u
başlıyor	b a ʃ ɫ ɯ j o ɾ
bilinen	b i l i n e n
dilerim	d i l e ɾ i m
hayata	h a j a t a
ibrahim	i b ɾ aː h i m
içindeki	i t͡ʃ i n d e c i
kullanarak	k u ɫ ɫ a n a ɾ a k
olmayı	o ɫ m a j ɯ
sonucunda	s o n u d͡ʒ u n d a
sonuç	s o n u t͡ʃ
yardımcısı	j a ɾ d ɯ m d͡ʒ ɯ s ɯ
yolda	j o ɫ d a
yıllarda	j ɯ ɫ ɫ a ɾ d a
önüne	ø n y n e
şunu	ʃ u n u
and	ɑ n d
annesi	a n n e s i
başkanlığı	b a ʃ k a n ɫ ɯ ɯ
buradan	b u ɾ a d a n
hakları	h a k ɫ a ɾ ɯ
koruma	k o ɾ u m a
musun	m u s u n
yanına	j a n ɯ n a
yapılmış	j a p ɯ ɫ m ɯ ʃ
yarı	j a ɾ ɯ
yaşındaki	j a ʃ ɯ n d a c i
yaşıyor	j a ʃ ɯ j o ɾ
üzerindeki	y z e ɾ i n d e c i
bazıları	b a z ɯ ɫ a ɾ ɯ
etkisi	e t c i s i
halinde	h a l i n d e
hayatın	h a j a t ɯ n
herşey	h e ɾ ʃ e j
hüseyin	h y s e j i n
kendime	c e n d i m e
mısın	m ɯ s ɯ n
olmasın	o ɫ m a s ɯ n
olsaydı	o ɫ s a j d ɯ
sizden	s i z d e n
çocuğun	t͡ʃ o d͡ʒ u u n
ömer	ø m e ɾ
adamlar	a d a m l a ɾ
alanında	a ɫ a n ɯ n d a
anlamı	a n ɫ a m ɯ
arkadaşım	a ɾ k a d a ʃ ɯ m
babam	b a b a m
derneği	d e ɾ n e i
diyerek	d i j e ɾ e c
elinde	e l i n d e
halkı	h a ɫ k ɯ
herkesi	h e ɾ c e s i
katıldı	k a t ɯ ɫ d ɯ
kızın	k ɯ z ɯ n
sorumlu	s o ɾ u m ɫ u
çalışıyor	t͡ʃ a ɫ ɯ ʃ ɯ j o ɾ
öne	ø n e
devletin	d e v l e t i n
günümüzde	ɟ y n y m y z d e
kişiye	c i ʃ i j e
sahiptir	s aː h i p t i ɾ
sivil	s i v i l
sorunu	s o ɾ u n u
telefonu	t e l e f o n u
yaptık	j a p t ɯ k
yapımı	j a p ɯ m ɯ
birbirine	b i ɾ b i ɾ i n e
bırakın	b ɯ ɾ a k ɯ n
ettiğini	e t t i i n i
eşi	e ʃ i
gaz	ɡ a z
insanı	i n s aː n ɯ
varmış	v a ɾ m ɯ ʃ
yaparak	j a p a ɾ a k
yayınları	j a j ɯ n l a ɾ ɯ
yi	j i
zamanlar	z a m a n l a ɾ
örgütü	ø ɾ ɟ y t y
özellikleri	ø z e l l i c l e ɾ i
attı	a t t ɯ
bilgiler	b i l ɟ i l e ɾ
ederiz	e d e ɾ i z
geliyorum	ɟ e l i j o ɾ u m
görevi	ɟ ø ɾ e v iː
ingiliz	i n ɟ i l i z
istediğim	i s t e d i i m
li	l i
nın	n ɯ n
okula	o k u ɫ a
okulu	o k u ɫ u
olurdu	o ɫ u ɾ d u
sesini	s e s i n i
söyle	s ø j l e
yapılır	j a p ɯ ɫ ɯ ɾ
çıkıp	t͡ʃ ɯ k ɯ p
başı	b a ʃ ɯ
bizler	b i z l e ɾ
david	d aː v i d
etmektedir	e t m e c t e d i ɾ
ettik	e t t i c
geçer	ɟ e t͡ʃ e ɾ
ilçesinde	i l t͡ʃ e s i n d e
kalmış	k a ɫ m ɯ ʃ
kat	k a t
onunla	o n u n ɫ a
rus	ɾ u s
taşıyan	t a ʃ ɯ j a n
unutma	u n u t m a
çıkış	t͡ʃ ɯ k ɯ ʃ
alacak	a ɫ a d͡ʒ a k
cumhurbaşkanlığı	d͡ʒ u m h u ɾ b a ʃ k a n ɫ ɯ ɯ
denir	d e n i ɾ
devleti	d e v l e t i
engel	e n ɟ e l
evinde	e v i n d e
hepsini	h e p s i n i
ikisi	i c i s i
içeren	i t͡ʃ e ɾ e n
olacağını	o ɫ a d͡ʒ a ɯ n ɯ
televizyon	t e l e v i z j ɔ n
yapın	j a p ɯ n
çıkmış	t͡ʃ ɯ k m ɯ ʃ
üstünde	y s t y n d e
şirketi	ʃ i ɾ c e t i
amacı	a m a d͡ʒ ɯ
aziz	aː z i z
azından	a z ɯ n d a n
fiziksel	f i z i c s e l
gazetesi	ɡ a z e t e s i
geldik	ɟ e l d i c
geldim	ɟ e l d i m
getirdi	ɟ e t i ɾ d i
güvenilir	ɟ y v e n i l i ɾ
istedi	i s t e d i
istedim	i s t e d i m
kadını	k a d ɯ n ɯ
karşılık	k a ɾ ʃ ɯ ɫ ɯ k
kurulan	k u ɾ u ɫ a n
kızım	k ɯ z ɯ m
olayı	o ɫ a j ɯ
savaşı	s a v a ʃ ɯ
sağlar	s aː ɫ a ɾ
tavsiye	t a v s i j e
uygulama	u j ɡ u ɫ a m a
yukarı	j u k a ɾ ɯ
yıllardır	j ɯ ɫ ɫ a ɾ d ɯ ɾ
alma	a ɫ m a
boy	b o j
cm	d͡ʒ i m
cok	d͡ʒ o k
değişik	d e i ʃ i c
düşen	d y ʃ e n
düştü	d y ʃ t y
gemi	ɟ e m i
kavga	k a v ɡ a
mısınız	m ɯ s ɯ n ɯ z
peter	p e t ɛ ɾ
sağlayan	s aː ɫ a j a n
süleyman	s y l e j m a n
vay	v a j
verdim	v e ɾ d i m
yapıyorum	j a p ɯ j o ɾ u m
yaşadığı	j a ʃ a d ɯ ɯ
açısından	a t͡ʃ ɯ s ɯ n d a n
bilmem	b i l m e m
birileri	b i ɾ i l e ɾ i
geçiyor	ɟ e t͡ʃ i j o ɾ
haberi	h a b e ɾ i
halka	h a ɫ k a
herşeyi	h e ɾ ʃ e j i
hissediyorum	h i s s e d i j o ɾ u m
idi	i d i
kalmadı	k a ɫ m a d ɯ
lideri	l i d e ɾ i
maçında	m a t͡ʃ ɯ n d a
numaralı	n u m a ɾ a ɫ ɯ
olacaktır	o ɫ a d͡ʒ a k t ɯ ɾ
to	t o
yaşar	j a ʃ a ɾ
çocukların	t͡ʃ o d͡ʒ u k ɫ a ɾ ɯ n
üyeleri	y j e l e ɾ i
şehrin	ʃ e h ɾ i n
bizimle	b i z i m l e
biçimde	b i t͡ʃ i m d e
emekli	e m e c l i
geriye	ɟ e ɾ i j e
hükümet	h y c y m e t
isterim	i s t e ɾ i m
kıbrıs	k ɯ b ɾ ɯ s
olmayacak	o ɫ m a j a d͡ʒ a k
oraya	o ɾ a j a
osman	o s m a n
sonuçları	s o n u t͡ʃ ɫ a ɾ ɯ
söyler	s ø j l e ɾ
tehlikeli	t e h l i c e l i
ticari	t i d͡ʒ aː ɾ iː
vermiş	v e ɾ m i ʃ
yaparken	j a p a ɾ c e n
çek	t͡ʃ e c
kapsamında	k a p s a m ɯ n d a
kimseyi	c i m s e j i
yapıp	j a p ɯ p
yazdı	j a z d ɯ
başkanlık	b a ʃ k a n ɫ ɯ k
bilen	b i l e n
bıraktı	b ɯ ɾ a k t ɯ
eline	e l i n e
etmez	e t m e z
evden	e v d e n
fırsat	f ɯ ɾ s a t
kaza	k a z a
mobil	m o b i l
projesi	p ɾ o ʒ e s i
sağlıklı	s aː ɫ ɯ k ɫ ɯ
sokak	s o k a k
çevre	t͡ʃ e v ɾ e
çıkacak	t͡ʃ ɯ k a d͡ʒ a k
adama	a d a m a
biridir	b i ɾ i d i ɾ
dersin	d e ɾ s i n
değildi	d e i l d i
dışişleri	d ɯ ʃ i ʃ l e ɾ i
elini	e l i n i
ettiler	e t t i l e ɾ
gözaltına	ɟ ø z a ɫ t ɯ n a
herhalde	h e ɾ h a l d e
james	ʒ aː m e s
katılan	k a t ɯ ɫ a n
kaybetti	k a j b e t t i
oğlum	oː ɫ u m
tipi	t i p i
vakti	v a k t i
yandan	j a n d a n
yusuf	j u s u f
alanda	a ɫ a n d a
bayanlar	b a j a n l a ɾ
bekliyorum	b e c l i j o ɾ u m
buldum	b u ɫ d u m
diyen	d i j e n
edelim	e d e l i m
edilmesi	e d i l m e s i
ekibi	e c i b i
elinden	e l i n d e n
fena	f e n aː
geleneksel	ɟ e l e n e c s e l
huzur	h u z u ɾ
kadro	k a d ɾ o
kazanan	k a z a n a n
kendinizi	c e n d i n i z i
kullanan	k u ɫ ɫ a n a n
kullanılır	k u ɫ ɫ a n ɯ ɫ ɯ ɾ
lik	l i c
müdürlüğü	m y d y ɾ l y j y
olmaktan	o ɫ m a k t a n
olunca	o ɫ u n d͡ʒ a
sağlamak	s aː ɫ a m a k
sözü	s ø z y
çalışmak	t͡ʃ a ɫ ɯ ʃ m a k
çalışmaya	t͡ʃ a ɫ ɯ ʃ m a j a
şehri	ʃ e h ɾ i
şimdiden	ʃ i m d i d e n
aklıma	a k ɫ ɯ m a
anlaşma	a n ɫ a ʃ m a
ayı	a j ɯ
birleşik	b i ɾ l e ʃ i c
bizde	b i z d e
değiliz	d e i l i z
gitsin	ɟ i t s i n
gösterir	ɟ ø s t e ɾ i ɾ
gösteriyor	ɟ ø s t e ɾ i j o ɾ
ilişkin	i l i ʃ c i n
istifa	i s t i f aː
iyisi	i j i s i
içinden	i t͡ʃ i n d e n
kulübü	k u l y b y
ligi	l i ɟ i
müdürü	m y d y ɾ y
ortada	o ɾ t a d a
saatte	s a a t t e
söylüyor	s ø j l y j o ɾ
yapıyoruz	j a p ɯ j o ɾ u z
yaşanan	j a ʃ a n a n
yerlerde	j e ɾ l e ɾ d e
önemi	ø n e m i
şeyden	ʃ e j d e n
ab	a b
aylık	a j ɫ ɯ k
aşağıda	a ʃ a ɯ d a
buldu	b u ɫ d u
edilmiştir	e d i l m i ʃ t i ɾ
etmeyin	e t m e j i n
evine	e v i n e
güne	ɟ y n e
gıda	ɡ ɯ d a
lira	l i ɾ aː
neyi	n e j i
odası	o d a s ɯ
olanı	o ɫ a n ɯ
olduklarını	o ɫ d u k ɫ a ɾ ɯ n ɯ
olmuyor	o ɫ m u j o ɾ
paul	p a u ɫ
renkli	ɾ e n c l i
sevdiğim	s e v d i i m
sözleri	s ø z l e ɾ i
almaktadır	a ɫ m a k t a d ɯ ɾ
aşkın	a ʃ k ɯ n
biliyoruz	b i l i j o ɾ u z
bomba	b o m b a
budur	b u d u ɾ
değilsin	d e i l s i n
evin	e v i n
facebook	f aː d͡ʒ e b uː k
gidiyorum	ɟ i d i j o ɾ u m
gördü	ɟ ø ɾ d y
harekete	h a ɾ e c e t e
hâlâ	h aː l aː
kime	c i m e
kullanımı	k u ɫ ɫ a n ɯ m ɯ
lisesi	l i s e s i
sinir	s i n i ɾ
yapılacak	j a p ɯ ɫ a d͡ʒ a k
yayınlanan	j a j ɯ n ɫ a n a n
çalışması	t͡ʃ a ɫ ɯ ʃ m a s ɯ
ıı	ɯ ɯ
aldık	a ɫ d ɯ k
arkasında	a ɾ k a s ɯ n d a
başladım	b a ʃ ɫ a d ɯ m
bugüne	b u ɟ y n e
bulunur	b u ɫ u n u ɾ
bölümünde	b ø l y m y n d e
ermeni	e ɾ m e n i
geldiğinde	ɟ e l d i i n d e
gösterdi	ɟ ø s t e ɾ d i
haberler	h a b e ɾ l e ɾ
halen	h a l e n
idari	i d aː ɾ iː
ismini	i s m i n i
küresel	c y ɾ e s e l
maçta	m a t͡ʃ t a
olmanın	o ɫ m a n ɯ n
sizinle	s i z i n l e
yanımda	j a n ɯ m d a
yapısı	j a p ɯ s ɯ
üstü	y s t y
aman	a m a n
anında	a n ɯ n d a
baştan	b a ʃ t a n
bunlara	b u n ɫ a ɾ a
dijital	d i ʒ i t a l
emre	e m ɾ e
gelebilir	ɟ e l e b i l i ɾ
gelmez	ɟ e l m e z
gerçeği	ɟ e ɾ t͡ʃ e i
hakkındaki	h a k k ɯ n d a c i
hali	h aː l iː
ilçesi	i l t͡ʃ e s i
kalır	k a ɫ ɯ ɾ
kazandı	k a z a n d ɯ
kendilerini	c e n d i l e ɾ i n i
mm	m ɛ m
olmasa	o ɫ m a s a
salak	s a ɫ a k
sever	s e v e ɾ
verilir	v e ɾ i l i ɾ
vermeye	v e ɾ m e j e
yapmayı	j a p m a j ɯ
yoluyla	j o ɫ u j ɫ a
york	j o ɾ k
çekti	t͡ʃ e c t i
ödeme	ø d e m e
önde	ø n d e
açıldı	a t͡ʃ ɯ ɫ d ɯ
dersi	d e ɾ s i
desteği	d e s t e i
doğa	d o a
dünyadaki	d y n j a d a c i
emniyet	e m n i j e t
eşlik	e ʃ l i c
gençler	ɟ e n t͡ʃ l e ɾ
geride	ɟ e ɾ i d e
geçiş	ɟ e t͡ʃ i ʃ
gidecek	ɟ i d e d͡ʒ e c
girip	ɟ i ɾ i p
görünce	ɟ ø ɾ y n d͡ʒ e
görüyorum	ɟ ø ɾ y j o ɾ u m
hayatına	h a j a t ɯ n a
ingiltere	i n ɟ i l t e ɾ e
iyidir	i j i d i ɾ
konuyu	k o n u j u
neyin	n e j i n
noktası	n o k t a s ɯ
oldukları	o ɫ d u k ɫ a ɾ ɯ
oturup	o t u ɾ u p
sizde	s i z d e
sıradan	s ɯ ɾ a d a n
tebrikler	t e b ɾ i c l e ɾ
unutmayın	u n u t m a j ɯ n
yaptığım	j a p t ɯ ɯ m
yüzünü	j y z y n y
