deus	d ew s
hashtag	ɐ ʃ t ɐ ɡ
treta	t ɾ e t ɐ
tumblr	t ũ b w ɹ
wordpress	w o ʁ d ʒ p ɾ e s
cerimónia	s e ɾ ĩ m ɔ n i ɐ
orkut	o ɹ k u t ʃ
registos	ʁ e ʒ i s t u s
avatar	ɐ v ɐ t ɐ ɹ
governança	ɡ o v e ʁ n ɐ̃ s ɐ
nerd	n e ʁ d ʒ
psol	p s ɔ w
sitio	s i t ʃ i u
descanse	d e s k ɐ̃ s i
porem	p o ɾ ẽj̃
gaga	ɡ ɐ ɡ ɐ
lingua	l ĩ ɡ w ɐ
objectivos	o b ʒ e k t ʃ i v u s
pagina	p ɐ ʒ ĩ n ɐ
skype	s k i p i
wikipédia	w i k i p ɛ d ʒ i ɐ
connosco	k õ n o s k u
factor	f ɐ k t o ɹ
feat	f e ɐ t ʃ
objecto	o b ʒ e k t u
ufc	u f k
blogue	b l o ɡ i
exactamente	e z ɐ k t ɐ m ẽ t ʃ i
fa	f ɐ
really	ʁ e ɐw w i
achas	ɐ ʃ ɐ s
deem	d e ẽj̃
actos	ɐ k t u s
estadunidense	e s t ɐ d ũ n i d ẽ s i
excepto	e s s e p t u
feed	f e e d ʒ
fodendo	f o d ẽ d u
gostas	ɡ o s t ɐ s
politica	p o l i t ʃ i k ɐ
prémios	p ɾ ɛ m i u s
selecção	s e l e k s ɐ̃w̃
aveiro	ɐ v ej ɾ u
disponibilizar	d ʒ i s p o n i b i l i z ɐ ɹ
focado	f o k ɐ d u
gatinho	ɡ ɐ t ʃ ĩ ɲ u
likes	l i k i s
ninguem	n ĩ ɡ ẽj̃
porno	p o ʁ n u
titulo	t ʃ i t u l u
agronegócio	ɐ ɡ ɾ o n e ɡ ɔ s i u
autoestima	ɐw t o e s t ʃ ĩ m ɐ
colecção	k o l e k s ɐ̃w̃
económicas	e k o n ɔ m i k ɐ s
excepção	e s s e p s ɐ̃w̃
ipad	i p ɐ d ʒ
jade	ʒ ɐ d ʒ i
meme	m ẽ m i
reacção	ʁ e ɐ k s ɐ̃w̃
xviii	ʃ v i i i
aceder	ɐ s e d e ɹ
champions	ʃ ɐ̃ p i õ s
etanol	e t ɐ n ɔ w
streaming	s t ɾ e ɐ m ĩ ɡ
tbm	t ʃ b m
wifi	w i f i
évora	ɛ v o ɾ ɐ
ask	ɐ s k
espectáculo	e s p e k t ɐ k u l u
hmm	m m
official	o f f i s i ɐw
playstation	p l ɐ i s t ɐ t ʃ i õ
algoritmo	ɐw ɡ o ɾ i t ʃ m u
conseqüências	k õ s e k w ẽ s i ɐ s
foste	f o s t ʃ i
portais	p o ɹ t ɐj s
spam	s p ɐ̃w̃
directa	d ʒ i ɾ e k t ɐ
entao	ẽ t ɐw
focada	f o k ɐ d ɐ
golos	ɡ o l u s
internautas	ĩ t e ʁ n ɐw t ɐ s
vingadores	v ĩ ɡ ɐ d o ɾ i s
actor	ɐ k t o ɹ
arquitectura	ɐ ɹ k j t e k t u ɾ ɐ
ash	ɐ ʃ
er	e ɹ
isbn	i z b n
lab	l ɐ b
lives	l i v i s
naruto	n ɐ ɾ u t u
smartphones	s m ɐ ɹ t ʃ f õ n i s
animes	ɐ n ĩ m i s
chore	ʃ o ɾ i
ecrã	e k ɾ ɐ̃
joias	ʒ oj ɐ s
messi	m e s i
nokia	n o k i ɐ
nsa	n s ɐ
rsrs	ʁ s ɹ s
user	u z e ɹ
yahoo	j ɐ o u
apetece	ɐ p e t e s i
between	b e t ʃ w e ẽ
challenge	ʃ ɐw l ẽ ʒ i
doria	d o ɾ i ɐ
edit	e d ʒ i t ʃ
html	t ʃ m w
mangá	m ɐ̃ ɡ ɐ
salvei	s ɐw v ej
source	s ow ɹ s i
acessado	ɐ s e s ɐ d u
activo	ɐ k t ʃ i v u
ead	e ɐ d ʒ
fode	f o d ʒ i
gajos	ɡ ɐ ʒ u s
haha	ɐ ɐ
jared	ʒ ɐ ɾ e d ʒ
regressou	ʁ e ɡ ɾ e s ow
snow	s n ow
usb	u z b
acessibilidade	ɐ s e s i b i l i d ɐ d ʒ i
britney	b ɾ i t ʃ n e i
emails	e m ɐj w s
fenómeno	f e n ɔ m e n u
manos	m ɐ̃ n u s
objectos	o b ʒ e k t u s
pinterest	p ĩ t e ɾ e s t ʃ
vadias	v ɐ d ʒ i ɐ s
bla	b l ɐ
bocadinho	b o k ɐ d ʒ ĩ ɲ u
contactos	k õ t ɐ k t u s
curtidas	k u ɹ t ʃ i d ɐ s
paragem	p ɐ ɾ ɐ ʒ ẽj̃
uk	u k
ve	v i
assembleias	ɐ s ẽ b l ej ɐ s
autocarro	ɐw t o k ɐ ʁ u
content	k õ t ẽ t ʃ
dl	d w
eléctrica	e l ɛ k t ɾ i k ɐ
eve	e v i
friday	f ɾ i d ɐ i
hahaha	ɐ ɐ ɐ
hold	ow d ʒ
hétero	ɛ t e ɾ u
imploro	ĩ p l o ɾ u
infraestruturas	ĩ f ɾ ɐj s t ɾ u t u ɾ ɐ s
mensalão	m ẽ s ɐ l ɐ̃w̃
oque	o k i
tic	t ʃ i k
aquando	ɐ k w ɐ̃ d u
available	ɐ v ɐj l ɐ b l i
basquetebol	b ɐ s k e t e b ɔ w
desenvolvedor	d e z ẽ v ow v e d o ɹ
espirito	e s p i ɾ i t u
estao	e s t ɐw
ofereço	o f e ɾ e s u
quebrei	k e b ɾ ej
tiger	t ʃ i ʒ e ɹ
tretas	t ɾ e t ɐ s
crónica	k ɾ ɔ n i k ɐ
dizes	d ʒ i z i s
empreendedorismo	ẽ p ɾ e ẽ d e d o ɾ i z m u
factores	f ɐ k t o ɾ i s
follow	f ow l ow
level	l e v ɛw
registado	ʁ e ʒ i s t ɐ d u
yoga	j o ɡ ɐ
amiguinho	ɐ m i ɡ ĩ ɲ u
chapecoense	ʃ ɐ p e k o ẽ s i
combo	k õ b u
deves	d e v i s
disponibilizada	d ʒ i s p o n i b i l i z ɐ d ɐ
drones	d ɾ õ n i s
económicos	e k o n ɔ m i k u s
goa	ɡ o ɐ
katy	k ɐ t ʃ i
luan	l u ɐ̃
porreiro	p o ʁ ej ɾ u
premio	p ɾ e m i u
queiras	k ej ɾ ɐ s
académico	ɐ k ɐ d ɛ m i k u
barack	b ɐ ɾ ɐ k k
bjs	b ʒ s
diario	d ʒ i ɐ ɾ i u
mana	m ɐ̃ n ɐ
moscovo	m o s k o v u
quiseres	k j z e ɾ i s
rihanna	ʁ i ɐ̃ n ɐ
teaser	t e ɐ z e ɹ
websites	w e b s i t ʃ i s
xiii	ʃ i i i
xiv	ʃ i v
yeah	j e ɐ
acordem	ɐ k o ʁ d ẽj̃
actuação	ɐ k t u ɐ s ɐ̃w̃
anatel	ɐ n ɐ t ɛw
breaking	b ɾ e ɐ k ĩ ɡ
cloud	k l ow d ʒ
downloads	d ow n l o ɐ d ʒ s
electricidade	e l e k t ɾ i s i d ɐ d ʒ i
figueirense	f i ɡ ej ɾ ẽ s i
leiria	l ej ɾ i ɐ
mine	m ĩ n i
truth	t ɾ u t ʃ
uber	u b e ɹ
vês	v e s
actuais	ɐ k t u ɐj s
bbb	b b b
beja	b e ʒ ɐ
duvidas	d u v i d ɐ s
fizeste	f i z e s t ʃ i
hj	ʒ
hm	m
kosovo	k o z o v u
msn	m z n
ng	n ɡ
selena	s e l ẽ n ɐ
tcc	t ʃ k k
vó	v ɔ
activa	ɐ k t ʃ i v ɐ
adi	ɐ d ʒ i
blogueira	b l o ɡ ej ɾ ɐ
colónia	k o l ɔ n i ɐ
compartilhou	k õ p ɐ ɹ t ʃ i ʎ ow
cortei	k o ɹ t ej
docinho	d o s ĩ ɲ u
firefox	f i ɾ e f o k s
geo	ʒ e u
joia	ʒ oj ɐ
lot	l o t ʃ
mass	m ɐ s
pgr	p ɡ ɹ
piper	p i p e ɹ
planeamento	p l ɐ n e ɐ m ẽ t u
qaeda	k ɐj d ɐ
sangalo	s ɐ̃ ɡ ɐ l u
teres	t e ɾ i s
text	t e s t ʃ
académica	ɐ k ɐ d ɛ m i k ɐ
apos	ɐ p u s
boquete	b o k e t ʃ i
conference	k õ f e ɾ ẽ s i
drone	d ɾ õ n i
ficheiros	f i ʃ ej ɾ u s
goku	ɡ o k u
memes	m ẽ m i s
tablet	t ɐ b l e t ʃ
tenhas	t ẽ ɲ ɐ s
tube	t u b i
bieber	b i e b e ɹ
blogueiro	b l o ɡ ej ɾ u
diaries	d ʒ i ɐ ɾ i i s
dvds	d ʒ v d ʒ s
ibn	i b n
ipod	i p o d ʒ
jenkins	ʒ ẽ k ĩ s
madagáscar	m ɐ d ɐ ɡ ɐ s k ɐ ɹ
poker	p o k e ɹ
putin	p u t ʃ ĩ
tsunami	t ʃ s ũ n ɐ m i
tt	t ʃ t ʃ
ally	ɐw w i
anitta	ɐ n i t ʃ t ɐ
apps	ɐ p p s
comments	k õ m ẽ t ʃ s
disponibilizados	d ʒ i s p o n i b i l i z ɐ d u s
egipto	e ʒ i p t u
faze	f ɐ z i
focando	f o k ɐ̃ d u
freguesias	f ɾ e ɡ e z i ɐ s
garrett	ɡ ɐ ʁ e t ʃ t ʃ
laden	l ɐ d ẽ
lol	l ɔ w
malafaia	m ɐ l ɐ f ɐj ɐ
medico	m e d ʒ i k u
megan	m e ɡ ɐ̃
mma	m m ɐ
mto	m t u
provedores	p ɾ o v e d o ɾ i s
regressa	ʁ e ɡ ɾ e s ɐ
seth	s e t ʃ
xd	ʃ d ʒ
zac	z ɐ k
actores	ɐ k t o ɾ i s
atras	ɐ t ɾ ɐ s
blu	b l u
funcionalidades	f ũ s i o n ɐ l i d ɐ d ʒ i s
homofóbico	o m o f ɔ b i k u
jobs	ʒ o b s
karma	k ɐ ʁ m ɐ
maneiro	m ɐ n ej ɾ u
pareces	p ɐ ɾ e s i s
rafa	ʁ ɐ f ɐ
ténis	t ɛ n i s
usd	u z d ʒ
wikipedia	w i k i p e d ʒ i ɐ
aah	ɐ ɐ
add	ɐ d ʒ d ʒ
adicionou	ɐ d ʒ i s i õ n ow
adn	ɐ d ʒ n
agradeça	ɐ ɡ ɾ ɐ d e s ɐ
australia	ɐw s t ɾ ɐ l i ɐ
bd	b d ʒ
cody	k o d ʒ i
invocação	ĩ v o k ɐ s ɐ̃w̃
kuwait	k u w ɐj t ʃ
messenger	m e s ẽ ʒ e ɹ
papeis	p ɐ p ej s
portuguese	p o ɹ t u ɡ e z i
principe	p ɾ ĩ s i p i
sectores	s e k t o ɾ i s
sentes	s ẽ t ʃ i s
serio	s e ɾ i u
switch	s w i t ʃ ʃ
telemóveis	t e l e m ɔ v ej s
various	v ɐ ɾ i ow s
vietname	v i e t ʃ n ɐ̃ m i
vitima	v i t ʃ ĩ m ɐ
óptima	ɔ p t ʃ ĩ m ɐ
óscar	ɔ s k ɐ ɹ
aka	ɐ k ɐ
alentejo	ɐ l ẽ t e ʒ u
algoritmos	ɐw ɡ o ɾ i t ʃ m u s
also	ɐw s u
autónoma	ɐw t ɔ n o m ɐ
blogueiros	b l o ɡ ej ɾ u s
clérigos	k l ɛ ɾ i ɡ u s
deixes	d ej ʃ i s
disponibilizou	d ʒ i s p o n i b i l i z ow
focados	f o k ɐ d u s
gone	ɡ õ n i
lil	l iw
miley	m i l e i
nojenta	n o ʒ ẽ t ɐ
registar	ʁ e ʒ i s t ɐ ɹ
vitoria	v i t o ɾ i ɐ
voc	v o k
wiki	w i k i
xp	ʃ p
article	ɐ ɹ t ʃ i k l i
botswana	b o t ʃ s w ɐ̃ n ɐ
carly	k ɐ ɹ w i
filipa	f i l i p ɐ
jeremias	ʒ e ɾ e m i ɐ s
johnston	ʒ o n s t õ
katie	k ɐ t ʃ i
maputo	m ɐ p u t u
mijar	m i ʒ ɐ ɹ
offline	o f f l ĩ n i
rating	ʁ ɐ t ʃ ĩ ɡ
toc	t o k
addison	ɐ d ʒ d ʒ i z õ
amazing	ɐ m ɐ z ĩ ɡ
babe	b ɐ b i
conectividade	k o n e k t ʃ i v i d ɐ d ʒ i
crimeia	k ɾ ĩ m ej ɐ
freelancer	f ɾ e e l ɐ̃ s e ɹ
gen	ʒ ẽ
kitty	k i t ʃ t ʃ i
maquina	m ɐ k ĩ n ɐ
sarro	s ɐ ʁ u
shrek	ʃ ɾ e k
viseu	v i z ew
amanha	ɐ m ɐ̃ ɲ ɐ
chloe	ʃ l o i
cora	k o ɾ ɐ
corto	k o ɹ t u
desligue	d e s l i ɡ i
glee	ɡ l e i
hospedeiro	o s p e d ej ɾ u
joao	ʒ o ɐw
mercy	m e ɹ k i
mk	m k
musicas	m u z i k ɐ s
politico	p o l i t ʃ i k u
qué	k ɛ
robot	ʁ o b o t ʃ
shampoo	ʃ ɐ̃ p o u
spears	s p e ɐ ɹ s
timeline	t ʃ ĩ m e l ĩ n i
ahh	ɐ
autocarros	ɐw t o k ɐ ʁ u s
conheces	k o ɲ e s i s
electrónica	e l e k t ɾ ɔ n i k ɐ
fabrico	f ɐ b ɾ i k u
ficas	f i k ɐ s
gi	ʒ i
kkk	k k k
molly	m ow w i
posted	p o s t e d ʒ
purpose	p u ɹ p o z i
putinha	p u t ʃ ĩ ɲ ɐ
raven	ʁ ɐ v ẽ
tite	t ʃ i t ʃ i
wan	w ɐ̃
alias	ɐ l i ɐ s
bipolar	b i p o l ɐ ɹ
cannabis	k ɐ̃ n ɐ b i j s
cascais	k ɐ s k ɐj s
compartilhem	k õ p ɐ ɹ t ʃ i ʎ ẽj̃
drop	d ɾ o p
estadunidenses	e s t ɐ d ũ n i d ẽ s i s
firewall	f i ɾ ew ɐw w
ground	ɡ ɾ ow n d ʒ
irmãozinho	i ʁ m ɐ̃w̃ z ĩ ɲ u
lúcifer	l u s i f e ɹ
pensas	p ẽ s ɐ s
pesquisei	p e s k j z ej
piece	p i e s i
postei	p o s t ej
rally	ʁ ɐw w i
styles	s t ʃ i l i s
upload	u p l o ɐ d ʒ
voluntariado	v o l ũ t ɐ ɾ i ɐ d u
actualidade	ɐ k t u ɐ l i d ɐ d ʒ i
bangkok	b ɐ̃ ɡ k o k
bastantes	b ɐ s t ɐ̃ t ʃ i s
blogger	b l o ɡ ʒ e ɹ
bot	b o t ʃ
chief	ʃ i e f
chrome	ʃ ɾ õ m i
criticas	k ɾ i t ʃ i k ɐ s
empoderamento	ẽ p o d e ɾ ɐ m ẽ t u
hehe	e i
islão	i s l ɐ̃w̃
kylie	k i l i
maioritariamente	m ɐj o ɾ i t ɐ ɾ i ɐ m ẽ t ʃ i
problem	p ɾ o b l ẽj̃
published	p u b l i ʃ e d ʒ
qdo	k d u
resident	ʁ e z i d ẽ t ʃ
richie	ʁ i ʃ i
saude	s ɐw d ʒ i
smile	s m i l i
spotify	s p o t ʃ i f i
tuitar	t uj t ɐ ɹ
ultimas	u w t ʃ ĩ m ɐ s
viste	v i s t ʃ i
actriz	ɐ k t ɾ i j s
andas	ɐ̃ d ɐ s
att	ɐ t ʃ t ʃ
caps	k ɐ p s
contrario	k õ t ɾ ɐ ɾ i u
cookie	k o o k i
cú	k u
disponibilizadas	d ʒ i s p o n i b i l i z ɐ d ɐ s
fechei	f e ʃ ej
hayley	ɐ i l e i
heim	e ĩ
jj	ʒ ʒ
kira	k i ɾ ɐ
kkkk	k k k k
lead	l e ɐ d ʒ
log	l o ɡ
moment	m o m ẽ t ʃ
paraquedas	p ɐ ɾ ɐ k e d ɐ s
presencial	p ɾ e z ẽ s i ɐw
rsrsrs	ʁ s ɹ s ɹ s
sejas	s e ʒ ɐ s
sida	s i d ɐ
smartphone	s m ɐ ɹ t ʃ f õ n i
survival	s u ʁ v i v ɐw
tinhas	t ʃ ĩ ɲ ɐ s
toby	t o b i
agradecida	ɐ ɡ ɾ ɐ d e s i d ɐ
amigão	ɐ m i ɡ ɐ̃w̃
arrow	ɐ ʁ ow
arrumei	ɐ ʁ ũ m ej
based	b ɐ z e d ʒ
comente	k o m ẽ t ʃ i
common	k õ m õ
correcto	k o ʁ e k t u
galiza	ɡ ɐ l i z ɐ
hades	ɐ d ʒ i s
historias	i s t o ɾ i ɐ s
jurei	ʒ u ɾ ej
login	l o ʒ ĩ
loki	l o k i
magoou	m ɐ ɡ o ow
nicki	n i k k i
nivel	n i v ɛw
parva	p ɐ ʁ v ɐ
prison	p ɾ i z õ
pu	p u
quénia	k ɛ n i ɐ
registou	ʁ e ʒ i s t ow
reporter	ʁ e p o ɹ t e ɹ
sortuda	s o ɹ t u d ɐ
theory	t e o ɹ i
tou	t ow
varios	v ɐ ɾ i u s
vince	v ĩ s i
activos	ɐ k t ʃ i v u s
adopção	ɐ d o p s ɐ̃w̃
ain	ɐ ĩ
aleatórias	ɐ l e ɐ t ɔ ɾ i ɐ s
autárquicas	ɐw t ɐ ɹ k j k ɐ s
benson	b ẽ s õ
boleto	b o l e t u
declaro	d e k l ɐ ɾ u
detective	d e t e k t ʃ i v i
directora	d ʒ i ɾ e k t o ɾ ɐ
ellie	ew l i
faso	f ɐ z u
freixo	f ɾ ej ʃ u
inclusiva	ĩ k l u z i v ɐ
ke	k i
leah	l e ɐ
malawi	m ɐ l ɐw i
maquilhagem	m ɐ k j ʎ ɐ ʒ ẽj̃
mauritânia	m ɐw ɾ i t ɐ̃ n i ɐ
mean	m e ɐ̃
myanmar	m j ɐ̃ m ɐ ɹ
nam	n ɐ̃w̃
qq	k k
republica	ʁ e p u b l i k ɐ
reversa	ʁ e v e ɹ s ɐ
september	s e p t ẽ b e ɹ
url	u ɹ w
xml	ʃ m w
zika	z i k ɐ
alo	ɐ l u
beije	b ej ʒ i
bitcoin	b i t ʃ k o ĩ
clérigo	k l ɛ ɾ i ɡ u
colectiva	k o l e k t ʃ i v ɐ
diarreia	d ʒ i ɐ ʁ ej ɐ
file	f i l i
form	f o ʁ m
jae	ʒ ɐj
kind	k ĩ d ʒ
monitorização	m o n i t o ɾ i z ɐ s ɐ̃w̃
punheta	p ũ ɲ e t ɐ
registados	ʁ e ʒ i s t ɐ d u s
skin	s k ĩ
them	t ẽj̃
apagão	ɐ p ɐ ɡ ɐ̃w̃
apoiantes	ɐ p oj ɐ̃ t ʃ i s
aria	ɐ ɾ i ɐ
avc	ɐ v k
bioma	b i õ m ɐ
bm	b m
bomb	b õ b
carson	k ɐ ɹ s õ
cho	ʃ u
colaborativo	k o l ɐ b o ɾ ɐ t ʃ i v u
commons	k õ m õ s
cuzinho	k u z ĩ ɲ u
dns	d ʒ n s
erica	e ɾ i k ɐ
espectáculos	e s p e k t ɐ k u l u s
eólica	e ɔ l i k ɐ
falecer	f ɐ l e s e ɹ
fudendo	f u d ẽ d u
geek	ʒ e e k
generic	ʒ e n e ɾ i k
nolan	n o l ɐ̃
oxigénio	o k s i ʒ ɛ n i u
polémica	p o l ɛ m i k ɐ
put	p u t ʃ
russian	ʁ u s i ɐ̃
springfield	s p ɾ ĩ ɡ f i ew d ʒ
steam	s t e ɐ̃w̃
tejo	t e ʒ u
thrones	t ɾ õ n i s
wings	w ĩ ɡ s
zuckerberg	z u k k e ʁ b e ʁ ɡ
áudios	ɐw d ʒ i u s
acessando	ɐ s e s ɐ̃ d u
aluguer	ɐ l u ɡ e ɹ
auxilio	ɐw ʃ i l i u
behind	b e ĩ d ʒ
boo	b o u
comercio	k o m e ɹ s i u
conectando	k o n e k t ɐ̃ d u
epic	e p i k
font	f õ t ʃ
framework	f ɾ ɐ m ew o ɹ k
fuder	f u d e ɹ
learn	l e ɐ ʁ n
loop	l o o p
loud	l ow d ʒ
magoa	m ɐ ɡ o ɐ
novinhas	n o v ĩ ɲ ɐ s
powers	p ow e ɹ s
rae	ʁ ɐj
registada	ʁ e ʒ i s t ɐ d ɐ
rev	ʁ e v
scooby	s k o o b i
semiárido	s e m i ɐ ɾ i d u
telefónica	t e l e f ɔ n i k ɐ
ubuntu	u b ũ t u
verei	v e ɾ ej
version	v e ɹ s i õ
virais	v i ɾ ɐj s
académicos	ɐ k ɐ d ɛ m i k u s
amora	ɐ m o ɾ ɐ
amore	ɐ m o ɾ i
apoie	ɐ p oj i
buzz	b u z s
capitulo	k ɐ p i t u l u
colaborativa	k o l ɐ b o ɾ ɐ t ʃ i v ɐ
colectivo	k o l e k t ʃ i v u
confiram	k õ f i ɾ ɐ̃w̃
contributo	k õ t ɾ i b u t u
correcta	k o ʁ e k t ɐ
desportivos	d e s p o ɹ t ʃ i v u s
electrónico	e l e k t ɾ ɔ n i k u
ficheiro	f i ʃ ej ɾ u
gmt	ɡ m t ʃ
hat	ɐ t ʃ
horizon	o ɾ i z õ
hyun	j ũ
limpe	l ĩ p i
midia	m i d ʒ i ɐ
million	m iw l i õ
nm	n m
obvio	o b v i u
ow	ow
parabens	p ɐ ɾ ɐ b ẽ s
saida	s ɐj d ɐ
stranger	s t ɾ ɐ̃ ʒ e ɹ
suicide	s uj s i d ʒ i
tac	t ɐ k
tecto	t e k t u
trick	t ɾ i k k
wait	w ɐj t ʃ
wanted	w ɐ̃ t e d ʒ
zap	z ɐ p
aprecie	ɐ p ɾ e s i
arménia	ɐ ʁ m ɛ n i ɐ
carrego	k ɐ ʁ e ɡ u
chao	ʃ ɐw
dakar	d ɐ k ɐ ɹ
efectivamente	e f e k t ʃ i v ɐ m ẽ t ʃ i
eritreia	e ɾ i t ɾ ej ɐ
exercito	e z e ɹ s i t u
fiona	f i õ n ɐ
fodeu	f o d ew
hogwarts	o ɡ w ɐ ɹ t ʃ s
jg	ʒ ɡ
jolie	ʒ o l i
mds	m d ʒ s
memoria	m e m o ɾ i ɐ
memories	m e m o ɾ i i s
minaj	m ĩ n ɐ ʒ
minimo	m ĩ n ĩ m u
mumbai	m ũ b ɐj
nazis	n ɐ z i j s
nikki	n i k k i
polos	p o l u s
polónia	p o l ɔ n i ɐ
putos	p u t u s
quotidiano	k o t ʃ i d ʒ i ɐ̃ n u
rafinha	ʁ ɐ f ĩ ɲ ɐ
safadinha	s ɐ f ɐ d ʒ ĩ ɲ ɐ
sensei	s ẽ s ej
tesla	t e s l ɐ
vibe	v i b i
violet	v i o l e t ʃ
zack	z ɐ k k
abrace	ɐ b ɾ ɐ s i
anta	ɐ̃ t ɐ
anvisa	ɐ̃ v i z ɐ
browser	b ɾ ow s e ɹ
cimeira	s ĩ m ej ɾ ɐ
creed	k ɾ e e d ʒ
cuzão	k u z ɐ̃w̃
espalhem	e s p ɐ ʎ ẽj̃
falhei	f ɐ ʎ ej
fatima	f ɐ t ʃ ĩ m ɐ
feng	f ẽ ɡ
fê	f e
gentili	ʒ ẽ t ʃ i l i
globalmente	ɡ l o b ɐw m ẽ t ʃ i
governação	ɡ o v e ʁ n ɐ s ɐ̃w̃
harmony	ɐ ʁ m õ i
hehehe	e e i
historical	i s t o ɾ i k ɐw
jenna	ʒ ẽ n ɐ
mozilla	m o z iw l ɐ
past	p ɐ s t ʃ
pedófilo	p e d ɔ f i l u
political	p o l i t ʃ i k ɐw
rivers	ʁ i v e ɹ s
serás	s e ɾ ɐ s
shanghai	ʃ ɐ̃ ɡ ɐj
sois	s oj s
squad	s k w ɐ d ʒ
tablets	t ɐ b l e t ʃ s
ángel	ɐ̃ ʒ ew
adm	ɐ d ʒ m
aliens	ɐ l i ẽ s
archie	ɐ ɹ ʃ i
avril	ɐ v ɾ iw
bebés	b e b ɛ s
