de	d e
anunció	a n u n s j o
candidatos	k a n d i d a t o s
contiene	k o n t j e n e
convirtió	k o m b i ɾ t j o
cuerpos	k w e ɾ p o s
diferencias	d i f e ɾ e n s j a s
malas	m a l a s
podrán	p o d ɾ a n
premios	p ɾ e m j o s
requiere	r e k j e ɾ e
unidades	u n i d a d e s
you	ʝ o u
comerciales	k o m e ɾ s j a l e s
convierte	k o m b j e ɾ t e
michael	m i t͡ʃ a e l
realiza	r e a l i s a
ahi	a i
continúa	k o n t i n u a
espacios	e s p a s j o s
malos	m a l o s
modelos	m o d e l o s
periodistas	p e ɾ j o d i s t a s
piensan	p j e n s a n
poderes	p o d e ɾ e s
situaciones	s i t w a s j o n e s
tenes	t e n e s
viejos	b j e x o s
viviendo	b i b j e n d o
aparecen	a p a ɾ e s e n
buscan	b u s k a n
edificios	e d i f i s j o s
encontré	e n k o n t ɾ e
investigaciones	i m b e s t i ɡ a s j o n e s
realizó	r e a l i s o
consejos	k o n s e x o s
enfermedades	e n f e ɾ m e d a d e s
esperaba	e s p e ɾ a b a
experiencias	e ɡ s p e ɾ j e n s j a s
james	x a m e s
pensaba	p e n s a b a
publicaciones	p u b l i k a s j o n e s
art	a ɾ t
consiste	k o n s i s t e
decirle	d e s i ɾ l e
intenta	i n t e n t a
linda	l i n d a
paul	p a u l
policías	p o l i s i a s
prefiero	p ɾ e f j e ɾ o
señores	s e ɲ o ɾ e s
trae	t ɾ a e
amplia	a m p l j a
bancos	b a n k o s
cuestiones	k w e s t j o n e s
dejen	d e x e n
islas	i s l a s
maneras	m a n e ɾ a s
pertenece	p e ɾ t e n e s e
pese	p e s e
décadas	d e k a d a s
iv	i b
publica	p u b l i k a
quedarse	k e d a ɾ s e
bajos	b a x o s
by	b i
capaces	k a p a s e s
convertirse	k o m b e ɾ t i ɾ s e
corresponde	k o r e s p o n d e
daños	d a ɲ o s
dejaron	d e x a ɾ o n
necesaria	n e s e s a ɾ j a
poniendo	p o n j e n d o
siglos	s i ɡ l o s
us	u s
antiguos	a n t i ɡ w o s
críticas	k ɾ i t i k a s
esfuerzos	e s f w e ɾ s o s
goles	ɡ o l e s
incluyen	i n k l u ʝ e n
líderes	l i d e ɾ e s
madres	m a d ɾ e s
muere	m w e ɾ e
métodos	m e t o d o s
pidiendo	p i d j e n d o
tropas	t ɾ o p a s
vuelva	b w e l b a
apareció	a p a ɾ e s j o
cuentan	k w e n t a n
entró	e n t ɾ o
implica	i m p l i k a
múltiples	m u l t i p l e s
quedaron	k e d a ɾ o n
recuerdos	r e k w e ɾ d o s
soluciones	s o l u s j o n e s
sube	s u b e
trump	t ɾ u m p
tuviera	t u b j e ɾ a
títulos	t i t u l o s
zapatos	s a p a t o s
archivos	a ɾ t͡ʃ i b o s
compañías	k o m p a ɲ i a s
consigue	k o n s i ɡ e
cámaras	k a m a ɾ a s
dedos	d e d o s
delitos	d e l i t o s
ed	e d
instalaciones	i n s t a l a s j o n e s
llegando	ʝ e ɡ a n d o
llevaba	ʝ e b a b a
municipales	m u n i s i p a l e s
numerosos	n u m e ɾ o s o s
presentan	p ɾ e s e n t a n
responsables	r e s p o n s a b l e s
actores	a ɡ t o ɾ e s
contó	k o n t o
dientes	d j e n t e s
expertos	e ɡ s p e ɾ t o s
oficinas	o f i s i n a s
piden	p i d e n
señala	s e ɲ a l a
textos	t e ɡ s t o s
conocimientos	k o n o s i m j e n t o s
creemos	k ɾ e e m o s
desea	d e s e a
guste	ɡ u s t e
informes	i n f o ɾ m e s
llevaron	ʝ e b a ɾ o n
martin	m a ɾ t i n
moderna	m o d e ɾ n a
pasaron	p a s a ɾ o n
pensamientos	p e n s a m j e n t o s
preocupa	p ɾ e o k u p a
propiedades	p ɾ o p j e d a d e s
tareas	t a ɾ e a s
aplicaciones	a p l i k a s j o n e s
comunicaciones	k o m u n i k a s j o n e s
correcta	k o r e ɡ t a
declaró	d e k l a ɾ o
forman	f o ɾ m a n
frases	f ɾ a s e s
individuos	i n d i b i d w o s
is	i s
ministros	m i n i s t ɾ o s
permiten	p e ɾ m i t e n
ponerse	p o n e ɾ s e
preguntó	p ɾ e ɡ u n t o
seguimos	s e ɡ i m o s
trabajan	t ɾ a b a x a n
tradicionales	t ɾ a d i s j o n a l e s
vivimos	b i b i m o s
exteriores	e ɡ s t e ɾ j o ɾ e s
modos	m o d o s
perdiendo	p e ɾ d j e n d o
peter	p e t e ɾ
ponga	p o n ɡ a
pretende	p ɾ e t e n d e
reformas	r e f o ɾ m a s
sucedió	s u s e d j o
utilizan	u t i l i s a n
acuerdos	a k w e ɾ d o s
encontraba	e n k o n t ɾ a b a
envió	e m b j o
establece	e s t a b l e s e
hacerle	a s e ɾ l e
intentando	i n t e n t a n d o
pais	p a i s
visitas	b i s i t a s
antecedentes	a n t e s e d e n t e s
cambió	k a m b j o
cifras	s i f ɾ a s
creó	k ɾ e o
empresarios	e m p ɾ e s a ɾ j o s
gustó	ɡ u s t o
habilidades	a b i l i d a d e s
piedras	p j e d ɾ a s
posee	p o s e e
pudieron	p u d j e ɾ o n
siguió	s i ɡ j o
testigos	t e s t i ɡ o s
vídeos	b i d e o s
alcanza	a l k a n s a
am	a m
carreras	k a r e ɾ a s
conflictos	k o n f l i ɡ t o s
disponibles	d i s p o n i b l e s
inició	i n i s j o
it	i t
necesarios	n e s e s a ɾ j o s
pareció	p a ɾ e s j o
podrías	p o d ɾ i a s
sentía	s e n t i a
tiendas	t j e n d a s
vías	b i a s
campañas	k a m p a ɲ a s
celebra	s e l e b ɾ a
comenzaron	k o m e n s a ɾ o n
entidades	e n t i d a d e s
informó	i n f o ɾ m o
inversiones	i m b e ɾ s j o n e s
ma	m a
maria	m a ɾ j a
numerosas	n u m e ɾ o s a s
pasajeros	p a s a x e ɾ o s
posiciones	p o s i s j o n e s
representan	r e p ɾ e s e n t a n
resultó	r e s u l t o
señaló	s e ɲ a l o
talleres	t a ʝ e ɾ e s
tecnologías	t e ɡ n o l o x i a s
tome	t o m e
an	a n
costos	k o s t o s
decirlo	d e s i ɾ l o
decirte	d e s i ɾ t e
dejes	d e x e s
encontraron	e n k o n t ɾ a ɾ o n
mentiras	m e n t i ɾ a s
municipios	m u n i s i p j o s
my	m i
ocupa	o k u p a
podrás	p o d ɾ a s
podríamos	p o d ɾ i a m o s
privados	p ɾ i b a d o s
propone	p ɾ o p o n e
reuniones	r e u n j o n e s
robert	r o b e ɾ
toman	t o m a n
aumenta	a u m e n t a
contratos	k o n t ɾ a t o s
corriendo	k o r j e n d o
enlaces	e n l a s e s
financiera	f i n a n s j e ɾ a
hacerte	a s e ɾ t e
periodismo	p e ɾ j o d i s m o
pusieron	p u s j e ɾ o n
respondió	r e s p o n d j o
sigan	s i ɡ a n
ben	b e n
conceptos	k o n s e b t o s
consideran	k o n s i d e ɾ a n
deseos	d e s e o s
difíciles	d i f i s i l e s
inmigrantes	i m m i ɡ ɾ a n t e s
interesantes	i n t e ɾ e s a n t e s
materias	m a t e ɾ j a s
ofrecen	o f ɾ e s e n
one	o n e
organismos	o ɾ ɡ a n i s m o s
oscar	o s k a ɾ
per	p e ɾ
periódicos	p e ɾ j o d i k o s
querían	k e ɾ i a n
sienten	s j e n t e n
aca	a k a
argentinos	a ɾ x e n t i n o s
dirigentes	d i ɾ i x e n t e s
fotografías	f o t o ɡ ɾ a f i a s
ganando	ɡ a n a n d o
independientes	i n d e p e n d j e n t e s
instrucciones	i n s t ɾ u ɡ s j o n e s
judíos	x u d i o s
llegamos	ʝ e ɡ a m o s
llevando	ʝ e b a n d o
montañas	m o n t a ɲ a s
necesarias	n e s e s a ɾ j a s
obtuvo	o b t u b o
oficialmente	o f i s j a l m e n t e
pasaba	p a s a b a
registros	r e x i s t ɾ o s
river	r i b e ɾ
saliendo	s a l j e n d o
acontecimientos	a k o n t e s i m j e n t o s
consiguió	k o n s i ɡ j o
empezaron	e m p e s a ɾ o n
explicó	e ɡ s p l i k o
faltan	f a l t a n
individuales	i n d i b i d w a l e s
invitados	i m b i t a d o s
monedas	m o n e d a s
necesitaba	n e s e s i t a b a
presos	p ɾ e s o s
regionales	r e x j o n a l e s
salieron	s a l j e ɾ o n
sera	s e ɾ a
tarjetas	t a ɾ x e t a s
tendencias	t e n d e n s j a s
trataba	t ɾ a t a b a
tratan	t ɾ a t a n
venía	b e n i a
aplica	a p l i k a
cc	s e s e
describe	d e s k ɾ i b e
ee	e e
empezando	e m p e s a n d o
expresa	e ɡ s p ɾ e s a
fiscales	f i s k a l e s
generaciones	x e n e ɾ a s j o n e s
hacerme	a s e ɾ m e
lleve	ʝ e b e
manifestaciones	m a n i f e s t a s j o n e s
piensas	p j e n s a s
pones	p o n e s
requisitos	r e k i s i t o s
riesgos	r j e s ɡ o s
secretos	s e k ɾ e t o s
sentí	s e n t i
sirven	s i ɾ b e n
vuelven	b w e l b e n
bandas	b a n d a s
chinos	t͡ʃ i n o s
demas	d e m a s
descubre	d e s k u b ɾ e
estructuras	e s t ɾ u ɡ t u ɾ a s
intentó	i n t e n t o
lanzó	l a n s o
lágrimas	l a ɡ ɾ i m a s
recomiendo	r e k o m j e n d o
sorprende	s o ɾ p ɾ e n d e
conversaciones	k o m b e ɾ s a s j o n e s
escuchando	e s k u t͡ʃ a n d o
fronteras	f ɾ o n t e ɾ a s
fundamentales	f u n d a m e n t a l e s
fué	f w e
hijas	i x a s
jefes	x e f e s
medias	m e d j a s
mostró	m o s t ɾ o
procedimientos	p ɾ o s e d i m j e n t o s
quedando	k e d a n d o
reservas	r e s e ɾ b a s
salarios	s a l a ɾ j o s
sientes	s j e n t e s
vende	b e n d e
vengan	b e n ɡ a n
acepta	a s e b t a
caballeros	k a b a ʝ e ɾ o s
caminando	k a m i n a n d o
creía	k ɾ e i a
cuentos	k w e n t o s
escribiendo	e s k ɾ i b j e n d o
exige	e ɡ s i x e
guerras	ɡ e r a s
miren	m i ɾ e n
refiero	r e f j e ɾ o
ventajas	b e n t a x a s
vivos	b i b o s
aprende	a p ɾ e n d e
asegura	a s e ɡ u ɾ a
cajas	k a x a s
colegios	k o l e x j o s
constituye	k o n s t i t u ʝ e
críticos	k ɾ i t i k o s
electorales	e l e ɡ t o ɾ a l e s
emociones	e m o s j o n e s
empiezan	e m p j e s a n
entienden	e n t j e n d e n
permitió	p e ɾ m i t j o
recientes	r e s j e n t e s
sesiones	s e s j o n e s
territorios	t e r i t o ɾ j o s
trató	t ɾ a t o
cabezas	k a b e s a s
city	s i t i
coches	k o t͡ʃ e s
dependiendo	d e p e n d j e n d o
dioses	d j o s e s
escucho	e s k u t͡ʃ o
interesados	i n t e ɾ e s a d o s
jack	x a k
jajajaja	x a x a x a x a
laborales	l a b o ɾ a l e s
móviles	m o b i l e s
realizan	r e a l i s a n
revela	r e b e l a
sentirse	s e n t i ɾ s e
sienta	s j e n t a
up	u p
versiones	b e ɾ s j o n e s
vivía	b i b i a
volviendo	b o l b j e n d o
alex	a l e ɡ s
anuncios	a n u n s j o s
conocía	k o n o s i a
células	s e l u l a s
hospitales	o s p i t a l e s
inmediata	i m m e d j a t a
jean	x e a n
mecanismos	m e k a n i s m o s
ordenó	o ɾ d e n o
pasamos	p a s a m o s
plazas	p l a s a s
rurales	r u ɾ a l e s
sacó	s a k o
tasas	t a s a s
toneladas	t o n e l a d a s
tribunales	t ɾ i b u n a l e s
comparte	k o m p a ɾ t e
creando	k ɾ e a n d o
departamentos	d e p a ɾ t a m e n t o s
escenas	e s e n a s
esclavos	e s k l a b o s
estatales	e s t a t a l e s
existentes	e ɡ s i s t e n t e s
firmas	f i ɾ m a s
gustaba	ɡ u s t a b a
informa	i n f o ɾ m a
internos	i n t e ɾ n o s
llevará	ʝ e b a ɾ a
mark	m a ɾ k
max	m a ɡ s
merecen	m e ɾ e s e n
murieron	m u ɾ j e ɾ o n
protestas	p ɾ o t e s t a s
pudieran	p u d j e ɾ a n
quiénes	k j e n e s
sufre	s u f ɾ e
tom	t o m
tomaron	t o m a ɾ o n
verdaderos	b e ɾ d a d e ɾ o s
via	b j a
abiertas	a b j e ɾ t a s
android	a n d ɾ o i d
black	b l a k
cambiando	k a m b j a n d o
componentes	k o m p o n e n t e s
consta	k o n s t a
crece	k ɾ e s e
criminales	k ɾ i m i n a l e s
crímenes	k ɾ i m e n e s
dibujos	d i b u x o s
empezamos	e m p e s a m o s
famosos	f a m o s o s
gritos	ɡ ɾ i t o s
integrantes	i n t e ɡ ɾ a n t e s
kim	k i m
mató	m a t o
participa	p a ɾ t i s i p a
pensó	p e n s o
seguirá	s e ɡ i ɾ a
ventanas	b e n t a n a s
accidentes	a ɡ s i d e n t e s
administrativa	a d m i n i s t ɾ a t i b a
ayudan	a ʝ u d a n
bellas	b e ʝ a s
contactos	k o n t a ɡ t o s
crean	k ɾ e a n
criterios	k ɾ i t e ɾ j o s
culturas	k u l t u ɾ a s
estrategias	e s t ɾ a t e x j a s
finanzas	f i n a n s a s
ganancias	ɡ a n a n s j a s
levanta	l e b a n t a
muerta	m w e ɾ t a
muertes	m w e ɾ t e s
park	p a ɾ k
quedaba	k e d a b a
seguía	s e ɡ i a
thomas	t o m a s
todavia	t o d a b j a
unico	u n i k o
amenazas	a m e n a s a s
ayudó	a ʝ u d o
bosques	b o s k e s
defiende	d e f j e n d e
desarrolla	d e s a r o ʝ a
financieros	f i n a n s j e ɾ o s
gratuita	ɡ ɾ a t w i t a
largos	l a ɾ ɡ o s
min	m i n
negociaciones	n e ɡ o s j a s j o n e s
permita	p e ɾ m i t a
podremos	p o d ɾ e m o s
pongan	p o n ɡ a n
regalos	r e ɡ a l o s
sufrió	s u f ɾ j o
tardes	t a ɾ d e s
ademas	a d e m a s
bombas	b o m b a s
creciendo	k ɾ e s j e n d o
dudo	d u d o
esperanzas	e s p e ɾ a n s a s
love	l o b e
normales	n o ɾ m a l e s
observa	o b s e ɾ b a
ofreció	o f ɾ e s j o
parezca	p a ɾ e s k a
pasará	p a s a ɾ a
poemas	p o e m a s
propietarios	p ɾ o p j e t a ɾ j o s
quedé	k e d e
regresa	r e ɡ ɾ e s a
sa	s a
trajo	t ɾ a x o
viejas	b j e x a s
america	a m e ɾ i k a
cuadros	k w a d ɾ o s
digitales	d i x i t a l e s
disculpas	d i s k u l p a s
dió	d j o
expectativas	e ɡ s p e ɡ t a t i b a s
felicitaciones	f e l i s i t a s j o n e s
niega	n j e ɡ a
participaron	p a ɾ t i s i p a ɾ o n
participó	p a ɾ t i s i p o
pasé	p a s e
pertenecen	p e ɾ t e n e s e n
plantea	p l a n t e a
prisioneros	p ɾ i s j o n e ɾ o s
promesas	p ɾ o m e s a s
restaurantes	r e s t a u ɾ a n t e s
sentimos	s e n t i m o s
sostiene	s o s t j e n e
tradiciones	t ɾ a d i s j o n e s
ayudas	a ʝ u d a s
añade	a ɲ a d e
barcos	b a ɾ k o s
big	b i ɡ
carreteras	k a r e t e ɾ a s
discos	d i s k o s
disfruta	d i s f ɾ u t a
ediciones	e d i s j o n e s
encuentras	e n k w e n t ɾ a s
encuentre	e n k w e n t ɾ e
envía	e m b i a
exámenes	e ɡ s a m e n e s
financiación	f i n a n s j a s j o n
frank	f ɾ a n k
ganadores	ɡ a n a d o ɾ e s
ingenieros	i n x e n j e ɾ o s
listos	l i s t o s
obliga	o b l i ɡ a
obligaciones	o b l i ɡ a s j o n e s
podes	p o d e s
quedamos	k e d a m o s
queria	k e ɾ j a
refleja	r e f l e x a
rusos	r u s o s
rutas	r u t a s
subió	s u b j o
teléfonos	t e l e f o n o s
trabajaba	t ɾ a b a x a b a
vol	b o l
asesinatos	a s e s i n a t o s
claras	k l a ɾ a s
comentó	k o m e n t o
cubre	k u b ɾ e
delincuentes	d e l i n k w e n t e s
descubrió	d e s k u b ɾ j o
garantías	ɡ a ɾ a n t i a s
llenos	ʝ e n o s
medicamentos	m e d i k a m e n t o s
olímpicos	o l i m p i k o s
op	o p
perdieron	p e ɾ d j e ɾ o n
perdí	p e ɾ d i
platos	p l a t o s
provoca	p ɾ o b o k a
pérdidas	p e ɾ d i d a s
residentes	r e s i d e n t e s
responsabilidades	r e s p o n s a b i l i d a d e s
signos	s i ɡ n o s
teorías	t e o ɾ i a s
volvieron	b o l b j e ɾ o n
actúa	a ɡ t u a
adicionales	a d i s j o n a l e s
agregó	a ɡ ɾ e ɡ o
cambian	k a m b j a n
conclusiones	k o n k l u s j o n e s
correspondientes	k o r e s p o n d j e n t e s
dejé	d e x e
denuncias	d e n u n s j a s
dispuestos	d i s p w e s t o s
existía	e ɡ s i s t i a
funcionan	f u n s j o n a n
guardias	ɡ w a ɾ d j a s
huesos	w̝ e s o s
indican	i n d i k a n
intelectuales	i n t e l e ɡ t w a l e s
kg	k e ɡ e
llevas	ʝ e b a s
logros	l o ɡ ɾ o s
ofertas	o f e ɾ t a s
ojala	o x a l a
or	o ɾ
ponte	p o n t e
preguntan	p ɾ e ɡ u n t a n
quedará	k e d a ɾ a
sombras	s o m b ɾ a s
tocó	t o k o
trate	t ɾ a t e
venden	b e n d e n
videojuegos	b i d e o x w e ɡ o s
actitudes	a ɡ t i t u d e s
aprendí	a p ɾ e n d i
aprobó	a p ɾ o b o
bebés	b e b e s
bienvenidos	b j e m b e n i d o s
capítulos	k a p i t u l o s
celebró	s e l e b ɾ o
comisiones	k o m i s j o n e s
confirmó	k o n f i ɾ m o
conoció	k o n o s j o
continuó	k o n t i n w o
decidieron	d e s i d j e ɾ o n
dirigió	d i ɾ i x j o
falsos	f a l s o s
motores	m o t o ɾ e s
mueren	m w e ɾ e n
ningun	n i n ɡ u n
plataformas	p l a t a f o ɾ m a s
quejas	k e x a s
sindicatos	s i n d i k a t o s
this	t i s
vinieron	b i n j e ɾ o n
alcanzó	a l k a n s o
apunta	a p u n t a
ayude	a ʝ u d e
empleos	e m p l e o s
ensayos	e n s a ʝ o s
explicaciones	e ɡ s p l i k a s j o n e s
frutos	f ɾ u t o s
intentos	i n t e n t o s
mandó	m a n d o
muriendo	m u ɾ j e n d o
músicos	m u s i k o s
pasen	p a s e n
preocupes	p ɾ e o k u p e s
proporciona	p ɾ o p o ɾ s j o n a
quedarme	k e d a ɾ m e
queres	k e ɾ e s
reacciones	r e a ɡ s j o n e s
recomendaciones	r e k o m e n d a s j o n e s
sabían	s a b i a n
tetas	t e t a s
tomen	t o m e n
anuncia	a n u n s j a
at	a t
av	a b
colegas	k o l e ɡ a s
conduce	k o n d u s e
contaba	k o n t a b a
cortos	k o ɾ t o s
decidí	d e s i d i
demandas	d e m a n d a s
deudas	d e u d a s
direcciones	d i ɾ e ɡ s j o n e s
entran	e n t ɾ a n
escuché	e s k u t͡ʃ e
etapas	e t a p a s
ganan	ɡ a n a n
ios	ʝ o s
king	k i n
lograron	l o ɡ ɾ a ɾ o n
muebles	m w e b l e s
musicales	m u s i k a l e s
pierden	p j e ɾ d e n
presentarse	p ɾ e s e n t a ɾ s e
salgan	s a l ɡ a n
sanciones	s a n s j o n e s
sexy	s e ɡ s i
smith	e s m i θ
steve	e s t e b e
sufren	s u f ɾ e n
éxitos	e ɡ s i t o s
adn	a d e n
alegra	a l e ɡ ɾ a
billetes	b i ʝ e t e s
com	k o m
comunistas	k o m u n i s t a s
debates	d e b a t e s
discursos	d i s k u ɾ s o s
encuentros	e n k w e n t ɾ o s
escribo	e s k ɾ i b o
expresó	e ɡ s p ɾ e s o
judiciales	x u d i s j a l e s
luchas	l u t͡ʃ a s
mac	m a k
maravillosa	m a ɾ a b i ʝ o s a
millas	m i ʝ a s
mini	m i n i
mundiales	m u n d j a l e s
negó	n e ɡ o
oscura	o s k u ɾ a
provocó	p ɾ o b o k o
realizaron	r e a l i s a ɾ o n
regresó	r e ɡ ɾ e s o
rompió	r o m p j o
sujetos	s u x e t o s
trabajó	t ɾ a b a x o
unirse	u n i ɾ s e
vuelos	b w e l o s
afectan	a f e ɡ t a n
agencias	a x e n s j a s
alan	a l a n
anuales	a n w a l e s
ayudando	a ʝ u d a n d o
añadió	a ɲ a d j o
cumplen	k u m p l e n
destacó	d e s t a k o
durmiendo	d u ɾ m j e n d o
entregó	e n t ɾ e ɡ o
expresiones	e ɡ s p ɾ e s j o n e s
extranjeras	e ɡ s t ɾ a n x e ɾ a s
fox	f o ɡ s
from	f ɾ o m
impide	i m p i d e
ingleses	i n ɡ l e s e s
intentan	i n t e n t a n
joe	x o e
mejoras	m e x o ɾ a s
militantes	m i l i t a n t e s
miro	m i ɾ o
modernos	m o d e ɾ n o s
osea	o s e a
participan	p a ɾ t i s i p a n
propuso	p ɾ o p u s o
proveedores	p ɾ o b e e d o ɾ e s
rebeldes	r e b e l d e s
sirvió	s i ɾ b j o
volví	b o l b i
cambie	k a m b j e
comienzan	k o m j e n s a n
corresponden	k o r e s p o n d e n
creas	k ɾ e a s
duró	d u ɾ o
específicos	e s p e s i f i k o s
falleció	f a ʝ e s j o
físicas	f i s i k a s
invita	i m b i t a
mia	m j a
obtiene	o b t j e n e
ocurra	o k u r a
penales	p e n a l e s
presentaron	p ɾ e s e n t a ɾ o n
ramas	r a m a s
reduce	r e d u s e
requieren	r e k j e ɾ e n
scott	e s k o t
servidores	s e ɾ b i d o ɾ e s
st	e s t e
star	e s t a ɾ
tarifas	t a ɾ i f a s
africa	a f ɾ i k a
becas	b e k a s
bomberos	b o m b e ɾ o s
capas	k a p a s
casarse	k a s a ɾ s e
competencias	k o m p e t e n s j a s
compró	k o m p ɾ o
decenas	d e s e n a s
dificil	d i f i s i l
electrónicos	e l e ɡ t ɾ o n i k o s
estudia	e s t u d j a
gritando	ɡ ɾ i t a n d o
gustos	ɡ u s t o s
hacerla	a s e ɾ l a
lesiones	l e s j o n e s
mike	m a i k
muros	m u ɾ o s
piense	p j e n s e
ponemos	p o n e m o s
sabías	s a b i a s
sacan	s a k a n
tí	t i
abusos	a b u s o s
