abad	a b a d
babad	b a b a d
babak	b a b a ʔ
babi	b a b i
babun	b a b u n
babut	b a b u t
baca	b a t͡ʃ a
bacaan	b a t͡ʃ a a n
bacang	b a t͡ʃ a ŋ
bachok	b a t͡ʃ h o k
badak	b a d a k
badam	b a d a m
badan	b a d a n
badminton	b ɛ t m i n t ə n
badut	b a d o t
bagai	b a ɡ a j
bagaikan	b a ɡ a j k a n
bagaimana	b a ɡ a i m a n a
bagan	b a ɡ a n
bagasi	b a ɡ a s i
baghal	b a ɡ a l
bagi	b a ɡ i
baginda	b a ɡ i n d a
bagitahu	b a ɡ i t a h u
bagitau	b a ɡ i t a w
bagus	b a ɡ o s
baguskan	b a ɡ o s k a n
bah	b a h
bahagi	b a h a ɡ i
bahagia	b a h a ɡ i a
bahagiakan	b a h a ɡ i a k a n
bahagian	b a h a ɡ i a n
bahal	b a h a l
baharui	b a h a r u i
bahas	b a h a s
bahaskan	b a h a s k a n
bahawa	b a h a w a
bahaya	b a h a j a
bahlul	b a h l o l
bahtera	b a h t ə r a
bahu	b a h u
baiduri	b a j d u r i
baik	b a e k
bait	b a e t
baitulmuqaddis	b a j t u l m u q a d i s
baja	b a d͡ʒ a
bajak	b a d͡ʒ a k
bajet	b a d͡ʒ e t
bajing	b a d͡ʒ e ŋ
baju	b a d͡ʒ u
baka	b a k a
bakal	b a k a l
bakat	b a k a t
bakau	b a k a u̯
bakti	b a k t i
baku	b a k u
bakul	b a k o l
bakung	b a k o ŋ
bala	b a l a
balad	b a l a d
balah	b a l a h
balai	b a l a j
balam	b a l a m
balar	b a l a r
balas	b a l a s
balasan	b a l a s a n
baldi	b a l d i
baldu	b a l d u
balek	b ä l e̞ ʔ
bali	b a l i
baligh	b a l i ɣ
balik	b a l e k
baling	b a l e ŋ
balingkawat	b a l i ŋ k a w a t
balu	b a l u
balung	b a l o ŋ
bambu	b a m b u
banal	b a n a l
banar	b a n a r
banci	b a n t͡ʃ i
bandar	b a n d a
bandung	b a n d o ŋ
bang	b a ŋ
bangang	b ä ŋ ä ŋ
bangau	b a ŋ a w
bangkai	b a ŋ k a j
bangku	b a ŋ k u
bangsa	b a ŋ s a
bangsat	b a ŋ s a t
bangun	b a ŋ o n
bangunan	b a ŋ u n a n
banjar	b a n d͡ʒ a
banji	b a n d͡ʒ i
banjir	b a n d͡ʒ e
bank	b a ŋ k
bankrap	b a ŋ k r a p
bantal	b a n t a l
banting	b a n t e ŋ
banyak	b a ɲ a k
baot	b a o t
bapai	b a p a i̯
bapak	b a p a k
bapanda	b a p a n d a
bapang	b a p a ŋ
bapuk	b a p u k
bara	b a r a
barah	b a r a h
barang	b a r a ŋ
barangkali	b a r a ŋ k a l i
barat	b a r a t
barek	b ɑ ɣ e ʔ
baring	b a r e ŋ
baris	b a r e s
barisan	b a r i s a n
barotrauma	b a r o t r a w m a
baru	b a r u
bas	b a s
basah	b a s a h
basahan	b a s a h a n
basi	b a s i
basikal	b a s i k a l
basketbol	b a s k e t b o l
batal	b a t a l
batang	b a t a ŋ
batas	b a t a s
batasan	b a t a s a n
bateri	b a t ə r i
batik	b a t e k
batu	b a t u
batuan	b a t u a n
batuk	b a t u k
bau	b a u
baucar	b a u t͡ʃ a r
baung	b a o ŋ
bausastera	b a u s a s t ə r a
bawa	b a w a
bawah	b a w a h
bawak	b a w a k
bawal	b a w a l
bawang	b a w a ŋ
bawar	b a w a r
bawat	b a w a t
bayam	b a j a m
bayan	b a j a n
bayar	b a j a r
bayu	b a j u
bayur	b a j u r
bazir	b ä z ɪ r
bbnu	b i b i e n j u
bebal	b ə b a l
bebanjau	b ə b ɑ n d͡ʒ a w
bebas	b e b a s
bebat	b ə b a t
bebek	b e b e k
bebenang	b ə b ə n a ŋ
beberapa	b ə b ə r a p a
bebiri	b ə b i r i
beborot	b ə b o r o t
beca	b e t͡ʃ a
becat	b ə t͡ʃ a t
beciyau	b ə t͡ʃ i j ɑ w
beda	b e d a
bedebah	b ə d ə b a h
begej	b ɛ ɡ ɛ d͡ʒ
begini	b ə ɡ i n i
begitu	b ə ɡ i t u
bekalan	b ə k a l a n
bekemayau	b ə k ə m a j a w
bekerja	b ə k ə r d͡ʒ a
belacan	b ə l a t͡ʃ a n
beladau	b ə l a d a u̯
belah	b ə l a h
belajar	b ə l a d͡ʒ a
belakang	b ə l a k a ŋ
belanak	b ə l a n a k̚
belanda	b ə l a n d a
belang	b ə l a ŋ
belanga	b ə l a ŋ a
belangkas	b ə l a ŋ k a s
belanja	b ə l a n d͡ʒ a
belas	b ə l a s
belatuk	b ə l a t o k
belebas	b ə l ə b a s
belek	b e l e k
beleng	b e l e ŋ
belera	b ə l ɛ r a
belerang	b ə l e r a ŋ
belgium	b e l d͡ʒ i u m
beli	b ə l i
belian	b ə l i a n
beliau	b ə l i a u̯
belisah	b ə l i s a h
belitung	b ə l i t o ŋ
beliung	b ə l i u ŋ
belok	b e l o k
belukar	b ə l u k a
belum	b ə l o m
beluncas	b ə l u n t͡ʃ a s
belut	b ə l o t
bemban	b ə m b a n
benak	b ə n a k
benar	b ə n a
benarkan	b ə n a k a n
bencana	b ə n t͡ʃ a n a
benda	b ə n d a
bendahara	b ə n d a h a r a
bendang	b ə n d a ŋ
bendera	b ə n d e r a
bendung	b ə n d u ŋ
bengap	b ə ŋ a p
bengawan	b ə ŋ a w a n
benggala	b ə ŋ ɡ a l a
bengik	b ə ŋ i ʔ
bengkarung	b ə ŋ k a r o ŋ
bengkok	b e ŋ k o k
bengkong	b ə ŋ k o ŋ
bengkuang	b ə ŋ k u a ŋ
benih	b ə n e h
bentala	b ə n t a l a
bentang	b ə n t a ŋ
bentangan	b ə n t a ŋ a n
benteng	b e n t e ŋ
bentong	b ə n t o ŋ
bentuk	b ə n t o k
benturung	b ə n t u r o ŋ
benua	b ə n u a
benuang	b ə n u a ŋ
bepang	b e p a ŋ
bera	b ə r a
berabarkan	b ə r a b a r k a n
berada	b ə r a d a
beradik	b ə r a d e k
beradu	b ə r a d u
berahim	b ə r a h e m
berak	b e r a k
berakhlak	b ə r a h l a k
berani	b ə r a n i
berapa	b ə r a p a
beras	b ə r a s
beraso	b ə r a s o
berat	b ə r a t
berau	b ə r a u̯
berbahaya	b ə b a h a j ə
berbaloi	b ə r b a l o j
berbantal	b ə r b a n t a l
berbasikal	b ə b a s i k a l
berbateri	b ə b a t ə r i
berbau	b ə b a w
berbeza	b ə r b ɛ z a
berbincang	b ə b i n t͡ʃ a ŋ
berbiola	b ə r b i o l a
berbuat	b ə r b u a t
berbulu	b ə b u l u
bercakap	b ə r t͡ʃ a k a p
bercat	b ə r t͡ʃ a t
bercinta	b ə r t͡ʃ i n t a
bercukur	b ə r t͡ʃ u k u r
berdasar	b ə d a s a
berdebu	b ə r d ə b u
berdikari	b ə d i k a r i
berdiskriminasi	b ə d i s k r i m i n a s i
berdua	b ə r d u ə
berdudukan	b ə d u d o k a n
beregek	b ə r e ɡ e k
berek	b e r e k
berekreasi	b ə r e k r e a s i
beremosi	b ə r e m o s i
berenang	b ə r ə n a ŋ
berendam	b ə r ə n d a m
beresok	b ə r e s o ʔ
bergantung	b ə r ɡ a n t u ŋ
bergarah	b ə r ɡ a r a h
bergas	b ə r ɡ a s
bergedel	b ə r ɡ ə d e l
bergeming	b ə r ɡ ə m e ŋ
berhad	b ə h a d
berhak	b ə r h a k
berhala	b ə r h a l a
berhalusinasi	b ə h a l u s i n a s i
berhulu	b ə h u l u
beri	b e r i
beriani	b ə r i a n i
berikutnya	b ə r i k o t ɲ ə
berilium	b ɛ r i l i o m
berisi	b ə r i s i
berita	b ə r i t a
beritahu	b ə r i t a h u
berjawab	b ə d͡ʒ a w a b
berjawatankuasa	b ə d͡ʒ a w a t a n k u a s ə
berjaya	b ə r d͡ʒ a j a
berjuang	b ə r d͡ʒ u a ŋ
berkas	b ə r k a s
berkata	b ə k a t ə
berkedut	b ə k ə d o t
berkemungkinan	b ə k ə m u ŋ k e n a n
berkualiti	b ə k u a l i t i
berkubang	b ə k u b a ŋ
berkuda	b ə k u d a
berkurang	b ə r k u r a ŋ
berkusyen	b ə r k u ʃ ə n
berlabuh	b ə l a b o h
berlaku	b ə r l a k u
berlebih	b ə r l ə b e h
berlosen	b ə l o s e n
berma	b ə m ə
bermimpi	b ə m i m p i
bermoreh	b ə r m o r e h
bernafas	b ə n a f a s
berpaling	b ə p a l e ŋ
berparti	b ə p a r t i
berpencen	b ə r p e n t͡ʃ e n
berpenduduk	b ə p ə n d u d o k
berperisai	b ə p ə r i s a j
berpoligami	b ə r p o l i ɡ a m i
berpuluh	b ə p u l o h
berpunya	b ə p u ɲ ə
bersaji	b ə r s a d͡ʒ i
bersama	b ə r s a m a
bersarang	b ə r s a r a ŋ
bersatu	b ə r s a t u
berseba	b ə r s ɛ b a
bersekedudukan	b ə r s ə k ə d u d o k a n
bersekutu	b ə r s ə k u t u
berselancar	b ə r s ə l a n t͡ʃ a
berselimut	b ə r s ə l i m o t
bersembah	b ə r s ə m b a h
bersembahkan	b ə r s ə m b a h k a n
bersesal	b ə r s ə s a l
bersesalan	b ə r s ə s a l a n
bersih	b ə r s e h
bersin	b ə r s e n
bersungguh	b ə r s u ŋ ɡ u h
bersurat	b ə r s u r a t
bertahana	b ə r t a h a n a
bertambah	b ə r t a m b a h
bertambun	b ə r t a m b u n
bertanya	b ə r t a ɲ a
bertas	b ə r t a s
bertempat	b ə r t ə m p a t
bertih	b ə r t i h
bertimpuh	b ə r t i m p o h
bertransformasi	b ə r t r a n s f o r m a s i
bertuah	b ə r t u a h
beruang	b ə r u a ŋ
berudu	b ə r u d u
beruk	b ə r u k
berunai	b ə r u n a j
besar	b ə s a r
besau	b ə s a w
besok	b e s o k
betara	b ə t a r a
betari	b ə t a r i
betina	b ə t i n ə
betis	b ə t e s
betlehem	b e t l e h e m
betul	b ə t o l
betung	b ə t u ŋ
beza	b e z a
biadab	b i a d a b
biancak	b i a n t͡ʃ a ʔ
biang	b i a ŋ
bianglala	b i a ŋ l a l a
biarawan	b i a r a w a n
biasa	b i a s a
biasiswa	b i a s i s u a
biawak	b i a w a k
bibit	b i b i t
bicara	b i t͡ʃ a r a
bidaah	b i d a a h
bidadari	b i d a d a r i
bidak	b i d a k
bidan	b i d a n
bidang	b i d a ŋ
bigami	b i ɡ a m i
bihun	b i h u n
bikin	b i k e n
biksu	b i k s u
bila	b i l a
bilang	b i l a ŋ
bilangan	b i l a ŋ a n
bilas	b i l a s
bilik	b i l e k
biling	b i l e ŋ
bilion	b i l i o n
bimbang	b i m b a ŋ
binatang	b i n a t a ŋ
binca	b i n t͡ʃ a
bincang	b i n t͡ʃ a ŋ
bincangkan	b i n t͡ʃ a ŋ k a n
bingkas	b i ŋ k a s
bingung	b e ŋ o ŋ
bini	b i n i
bintang	b i n t a ŋ
bintangur	b i n t a ŋ o r
binti	b i n t i
bintik	b i n t e ʔ
bintulu	b i n t u l u
binturung	b i n t u r o ŋ
bioekologi	b i o e k o l o ɡ i
biola	b i o l a
biologi	b a j o l o d͡ʒ i
bir	b e
biram	b i r a m
bisa	b i s a
bisik	b i s e k
bising	b i s i ŋ
bisnes	b i s n ə s
bistu	b i s t u
bisu	b i s u
bisul	b i s u l
biul	b i u l
bnm	b i e n e m
boat	b u a t
bobot	b o b o t
bodoh	b o d o h
bodok	b o d ɔ ʔ
bogam	b o ɡ a m
bohong	b o h o ŋ
bohrium	b ɔ h r i o m
bohsia	b o s i a
boi	b o j
bokor	b o k o
bola	a
bomba	b o m b a
bomoh	b o m o h
bomor	b o m o r
bon	b o n
boneka	b o n e k a
bongak	b o ŋ a ʔ
bonggol	b o ŋ ɡ o l
bongkok	b o ŋ k o k
bongok	b o ŋ o k
bongsu	b o ŋ s u
borak	b o r a k
borang	b o r a ŋ
boring	b o r i ŋ
boron	b ɔ r ɔ n
borzoi	b ɔ r z o i̯
bosan	b o s a n
botak	b o t a k
botani	b o t a n i
boti	b o t i
botol	b o t o l
bref	b r e f
brekmok	b r e k m o k
brunei	b r u n a j
brutal	b r u t a j
bsmm	b i e s e m e m
bu	b u
buah	b u a h
buai	b u a i̯
buaian	b u a i a̯ n
buana	b u a n a
buang	b u a ŋ
buas	b u a s
buat	b u a t
buaya	b u a j a
bubu	b u b u
bubuh	b u b u h
bubuk	b u b u k
bubut	b u b u t
budak	b u d a k
budaya	b u d a j a
budu	b u d u
bujur	b u d͡ʒ o
buka	b u k a
bukan	b u k a n
bukit	b u k e t
buku	b u k u
bulan	b u l a n
bulu	b u l u
buluh	b u l u h
bulur	b u l u r
bumbung	b u m b o ŋ
bumi	b u m i
buncis	b u n t͡ʃ e s
bundar	b u n d a
bundaran	b u n d a r a n
bundarkan	b u n d a k a n
bundle	b a n d ə l
bung	b u ŋ
bunga	b u ŋ a
bungkus	b u ŋ k o s
bungsu	b o ŋ s u
buni	b u n i
buntal	b u n t a l
buntut	b u n t u t
bunuh	b u n u h
bunyi	b u ɲ i
bura	b u r a
burit	b u r e t
buru	b u r u
buruj	b u r o d͡ʒ
buruk	b u r o k
burung	b u r o ŋ
busa	b u s a
busudo	b u s u d o
busuk	b u s u k
busur	b u s o
busut	b u s o t
buta	b u t a
butak	b u t a ʔ
butang	b u t a ŋ
butir	b u t e
butoh	b u t o h
butterworth	b a t t ə r w o r t
butuh	b u t o h
butun	b u t u n
butung	b u t u n
buyut	b u j o t
c	t ʃ
cabang	t͡ʃ a b a ŋ
cabar	t͡ʃ a b a
cabut	t͡ʃ a b o t
cacat	t͡ʃ a t͡ʃ a t
cacing	t͡ʃ a t͡ʃ i ŋ
cadang	t͡ʃ a d a ŋ
cagu	t͡ʃ a ɡ u
cahari	t͡ʃ ä h ä r i
cahaya	t͡ʃ ä h ä j ä
cainis	t͡ʃ a j n i s
cair	t͡ʃ a e
cairan	t͡ʃ a e r a n
caj	t͡ʃ a d͡ʒ
cakap	t͡ʃ a k a p
cakar	t͡ʃ a k a
cakawari	t͡ʃ a k a w a r i
cakera	t͡ʃ a k ə r ə
cakerawala	t͡ʃ a k ə r a w a l a
cakoi	t͡ʃ a k o j
calon	t͡ʃ a l o n
cam	t͡ʃ a m
camca	t͡ʃ a m t͡ʃ a
camna	t͡ʃ a m n a
camne	t͡ʃ a m n ə
camni	t͡ʃ a m n i
campak	t͡ʃ a m p a k
campur	t͡ʃ a m p o
camtu	t͡ʃ a m t u
can	t͡ʃ a n
canai	t͡ʃ a n a j
canang	t͡ʃ a n a ŋ
candu	t͡ʃ a n d u
candung	t͡ʃ a n d o ŋ
cane	t͡ʃ a n ə
canggung	t͡ʃ a ŋ ɡ o ŋ
cangkir	t͡ʃ a ŋ k e
cangkuk	t͡ʃ a ŋ k o k
cangkul	t͡ʃ a ŋ k o l
cantek	t͡ʃ a n t e k
cantik	t͡ʃ a n t e k
cantum	t͡ʃ a n t u m
capab	t͡ʃ a p a p
capah	t͡ʃ a p a h
capai	t͡ʃ a p a j
capak	t͡ʃ a p a ʔ
capap	t͡ʃ a p a p
capit	t͡ʃ a p i t
capub	t͡ʃ a p a p
cara	t͡ʃ a r a
cari	t͡ʃ a r i
carta	t͡ʃ a r t a
cas	t͡ʃ a s
cat	t͡ʃ a t
catuk	t͡ʃ a t u k
catur	t͡ʃ a t o
cawan	t͡ʃ a w a n
cawang	t͡ʃ a w a ŋ
cawangan	t͡ʃ a w a ŋ a n
caya	t͡ʃ a j a
cecair	t͡ʃ ə t͡ʃ a e
cecak	t͡ʃ ə t͡ʃ a ʔ
cecikut	t͡ʃ ə t͡ʃ i k o t
cecunguk	t͡ʃ ə t͡ʃ ʊ ŋ ʊ ʔ
cedok	t͡ʃ e d o ʔ
cegah	t͡ʃ ə ɡ a h
cekam	t͡ʃ ə k a m
cekap	t͡ʃ ə k a p
cekik	t͡ʃ ə k e k
celah	t͡ʃ ə l a h
celana	t͡ʃ ə l a n a
celapa	t͡ʃ ə l a p a
cemana	t͡ʃ ə m a n a
cemara	t͡ʃ ə m a r a
cembul	t͡ʃ ə m b u l
cemburu	t͡ʃ ə m b u r u
cemerlang	t͡ʃ ə m ə r l a ŋ
cempana	t͡ʃ ə m p a n a
cempedak	t͡ʃ ə m p ə d a k
cendara	t͡ʃ ə n d a r a
cendawan	t͡ʃ ə n d a w a n
cendekiawan	t͡ʃ ə n d ə k i a w a n
cendera	t͡ʃ ə n d ə r a
cenderung	t͡ʃ ə n d ə r o ŋ
cengal	t͡ʃ ə ŋ a l
cengkarung	m ə ŋ k a r o ŋ
cengkerik	t͡ʃ ə ŋ k ə r e k
ceongsam	t͡ʃ ə o ŋ s a m
cepat	t͡ʃ ɔ p ɛ k
cepu	t͡ʃ ə p u
cepua	t͡ʃ ə p u a
cerai	t͡ʃ ə r a i
cerakin	t͡ʃ ə r a k i n
cerawat	t͡ʃ ə r a w a t
cereka	t͡ʃ ə r e k a
cerita	t͡ʃ ə r i t a
ceritera	t͡ʃ ə r i t ə r a
cerlang	t͡ʃ ə r l a ŋ
cermin	t͡ʃ ə m e n
chalet	ʃ a l e
champagne	ʃ e m p e n
changlun	t͡ʃ a ŋ l o n
china	t͡ʃ a j n a
chukai	t͡ʃ u k a j
ci	t͡ʃ i
cicak	t͡ʃ i t͡ʃ a ʔ
cicik	t͡ʃ i t͡ʃ e k
cicit	t͡ʃ i t͡ʃ e t
cik	t͡ʃ e k
cikgu	t͡ʃ e k ɡ u
ciku	t͡ʃ i k u
cilawagi	t͡ʃ i l a w a ɡ i
cili	t͡ʃ i l i
cina	t͡ʃ i n a
cincai	t͡ʃ i n t͡ʃ a j
cincang	t͡ʃ i n t͡ʃ a ŋ
cincau	t͡ʃ i n t͡ʃ a w
cinta	t͡ʃ i n t a
cintan	t͡ʃ i n t a n
cipta	t͡ʃ i p t a
cis	t͡ʃ i s
citah	t͡ʃ i t a h
citra	t͡ʃ i t r a
cium	t͡ʃ i u m
clash	k l e ʃ
cogan	t͡ʃ o ɡ a n
coklat	t͡ʃ o k l a t
cokmar	t͡ʃ o k m a
coli	t͡ʃ o l i
colok	t͡ʃ o l o k
colombia	k o l o m b i a
comel	t͡ʃ o m e l
congek	t͡ʃ o ŋ e ʔ
congok	t͡ʃ o ŋ o ʔ
congong	t͡ʃ o ŋ o ŋ
contoh	t͡ʃ o n t o h
contohan	t͡ʃ o n t o h a n
contohi	t͡ʃ o n t o h i
contohkan	t͡ʃ o n t o h k a n
contohnya	t͡ʃ o n t o h ɲ a
cuaca	t͡ʃ u a t͡ʃ a
cuai	t͡ʃ u a i̯
cuba	t͡ʃ o b a
cubaan	t͡ʃ u b ä ä n
cubit	t͡ʃ u b e t
cucu	t͡ʃ u t͡ʃ u
cuka	t͡ʃ u k a
cukup	t͡ʃ u k o p
cukur	t͡ʃ u k o
culik	t͡ʃ u l e k
cuma	t͡ʃ u m a
cupak	t͡ʃ u p a k
cuping	t͡ʃ u p i ŋ
curah	t͡ʃ u r a h
curam	t͡ʃ u r a m
curi	t͡ʃ u r i
curian	t͡ʃ u r i a n
curiga	t͡ʃ u r i ɡ a
cuti	t͡ʃ u t i
cyber	s a j b ə
cyberjaya	s a j b ə d͡ʒ a j a
dacing	d a t͡ʃ i ŋ
dada	d a d a
dadah	d a d a h
dadih	d a d i h
daerah	d a ʔ e r a h
daging	d a ɡ e ŋ
dagu	d a ɡ u
dah	d a
dahan	d a h a n
dahi	d a h i
dahlah	d a h l a h
dahtu	d a h t u
dahulu	d a h u l u
daing	d a i ŋ
dak	d a ʔ
daki	d a k e
daksina	d a k s i n a
daku	d a k u
dakwa	d a ʕ u a
dakwat	d a k w a t
dalam	d a l a m
dalang	d a l a ŋ
dalmatia	d a l m a t i a
damansara	d a m a n s a r a
damar	d a m a
dan	d a n
dana	d a n a
danau	d a n a u̯
dandan	d a n d a n
dandang	d a n d a ŋ
dangau	d a ŋ a w
danial	d a n i a l
dansa	d a n s a
danta	d a n t a
dapur	d a p u r
dara	d a r a
darah	d a r a h
darat	d a r a t
daratan	d a r a t a n
dari	d a r i
darihal	d a r i h a l
daripada	d a r i p a d a
darul	d a r o l
dasa	d a s a
dasun	d a s u n
datang	d a t a ŋ
datar	d a t a
dataran	d a t a r a n
datu	d a t u
datuk	d a t o k
daud	d a o d
daun	d a o n
daya	d a j a
dbkl	d i b i k e e l
dbp	d i b i p i
debab	d e b a p
debak	d ə b a k
debat	d e b a t
debu	d ə b u
dedah	d ə d a h
dedak	d ə d a k
dedap	d ə d a p
defisit	d e f i s i t
deflasi	d i f l a s i
degil	d ə ɡ e l
dehidrasi	d e h i d r a s i
dekad	d e k a d
dekan	d ə k a n
dekolonisasi	d e k o l o n i s a s i
dekorum	d e k o r u m
delapan	d ə l a p a n
delima	d ə l i m a
demam	d ə m a m
demi	d ə m i
den	d e n
denda	d ə n d a
dendam	d ə n d a m
dengan	d ə ŋ a n
dengar	d ə ŋ a r
dengki	d ə ŋ k i
dengkur	d ə ŋ k o
dengus	d ə ŋ u s
deodoran	d e o d o r a n
depa	d ə p a
depan	d ɘ p a n
depoh	d e p o h
depu	d ə p u
deraman	d ə r a m a n
derana	d ə r a n a
derhaka	d ə r h a k a
desak	d ə s a k
desilion	d ɛ s i l i o n
desis	d ə s i s
detektif	d i t e k t i f
dewa	d e w a
dewan	d e w a n
dewata	d e w a t a
dewi	d e w i
di	d i
dia	d i j a
diabadikan	d i a b a d i k a n
diabar	d i a b a r
diabuk	d i ʔ a b u k
