अ	ɐ
अघोर	ɐ ɡʱ oː ɾ ɐ
अघ्न्या	ɐ ɡʱ n̪ j ɑː
अङ्क	ɐ ŋ k ɐ
अङ्कनी	ɐ ŋ k ɐ n iː
अङ्कयति	ɐ ŋ k ɐ j ɐ t i
अङ्कस्	ɐ ŋ k ɐ s̪
अङ्कित	ɐ ŋ k i t ɐ
अङ्कुश	ɐ ŋ k u ɕ ɐ
अङ्खयति	ɐ ŋ kʰ ɐ j ɐ t i
अङ्ग	ɐ ŋ ɡ ɐ
अङ्गण	ɐ ŋ ɡ ɐ ɳ ɐ
अङ्गद	ɐ ŋ ɡ ɐ d ɐ
अङ्गन	ɐ ŋ ɡ ɐ n ɐ
अङ्गना	ɐ ŋ ɡ ɐ n̪ ɑː
अङ्गमर्दन	ɐ ŋ ɡ ɐ m ɐ ɾ d̪ ɐ n̪ ɐ
अङ्गसङ्ग	ɐ ŋ ɡ ɐ s̪ ɐ ŋ ɡ ɐ
अङ्गार	ɐ ŋ ɡ ɑː ɾ ɐ
अङ्गारक	ɐ ŋ ɡ ɑː ɾ ɐ k ɐ
अङ्गिरस्	ɐ ŋ ɡ i ɾ ɐ s̪
अङ्गुरि	ɐ ŋ ɡ u ɾ i
अङ्गुल	ɐ ŋ ɡ u l ɐ
अङ्गुलि	ɐ ŋ ɡ u l̪ i
अङ्गुली	ɐ ŋ ɡ u l iː
अङ्गुलीय	ɐ ŋ ɡ u l íː j ɐ
अङ्गुष्ठ	ɐ ŋ ɡ u ʂ ʈʰ ɐ
अङ्ग्	ɐ ŋ ɡ
अङ्ग्य	ɐ ŋ ɡ j ɐ
अङ्घ्रि	ɐ ŋ ɡʱ ɾ i
अचर	ɐ t͡ɕ ɐ ɾ ɐ
अचल	ɐ t͡ɕ ɐ l ɐ
अचलनाथ	ɐ t͡ɕ ɐ l ɐ n ɑː tʰ ɐ
अचित्ति	ɐ t͡ɕ i t̪ t̪ i
अचिर	ɐ t͡ɕ i ɾ ɐ
अचिरः	ɐ t͡ɕ i ɾ ɐ h
अचिरम्	ɐ t͡ɕ i ɾ ɐ m
अचिराः	ɐ t͡ɕ i ɾ ɑː h
अचिरौ	ɐ t͡ɕ i ɾ ɑ w
अचेत्	ɐ t͡ɕ eː t̪
अचैषीत्	ɐ t͡ɕ ɑ j ʂ iː t̪
अच्छ	ɐ t t͡ɕʰ ɐ
अच्छभल्ल	ɐ t t͡ɕʰ ɐ bʱ ɐ l l ɐ
अच्छा	ɐ t̪ t͡ɕʰ ɑː
अच्छाय	ɐ t t͡ɕʰ ɑː j ɐ́
अच्छेत्	ɐ t̪ t͡ɕʰ eː t̪
अच्युत	ɐ t͡ɕ j u t̪ ɐ
अज	ɐ d͡ʑ ɐ
अजगन्ध	ɐ d͡ʑ ɐ ɡ ɐ n dʱ ɐ
अजगर	ɐ d͡ʑ ɐ ɡ ɐ ɾ ɐ
अजति	ɐ d͡ʑ ɐ t̪ i
अजनिष्ट	ɐ d͡ʑ ɐ n̪ i ʂ ʈ ɐ
अजन्त	ɐ d͡ʑ ɐ n̪ t̪ ɐ
अजमान	ɐ d͡ʑ ɐ m ɑː n̪ ɐ
अजमोद	ɐ d͡ʑ ɐ m oː d̪ ɐ
अजर	ɐ d͡ʑ ɐ ɾ ɐ
अजर्बैजान	ɐ d͡ʑ ɐ ɾ b ɑ j d͡ʑ ɑː n̪ ɐ
अजा	ɐ d͡ʑ ɑː
अजाजि	ɐ d͡ʑ ɑː d͡ʑ i
अजाति	ɐ d͡ʑ ɑː t̪ i
अजानत्	ɐ d͡ʑ ɑː n̪ ɐ t̪
अजिगांसत्	ɐ d͡ʑ i ɡ ɑ̃ː s ɐ t
अजिन	ɐ d͡ʑ i n̪ ɐ
अजिर	ɐ d͡ʑ i ɾ ɐ
अजिरायति	ɐ d͡ʑ i ɾ ɑː j ɐ t i
अजीजनत्	ɐ d͡ʑ iː d͡ʑ ɐ n̪ ɐ t̪
अजीजिवत्	ɐ d͡ʑ iː d͡ʑ i ʋ ɐ t
अजीर्ण	ɐ d͡ʑ iː ɾ ɳ ɐ
अजीविष्यत्	ɐ d͡ʑ iː ʋ i ʂ j ɐ t
अजीवीत्	ɐ d͡ʑ iː ʋ iː t
अजैषीत्	ɐ d͡ʑ ɑ j ʂ iː t̪
अज्	ɐ d͡ʑ
अज्ञ	ɐ d͡ʑ ɲ ɐ
अज्ञात	ɐ d͡ʑ ɲ ɑː t̪ ɐ
अज्ञान	ɐ d͡ʑ ɲ ɑː n ɐ
अज्ञानिन्	ɐ d͡ʑ ɲ ɑː n i n
अज्ञानी	ɐ d͡ʑ ɲ ɑː n iː
अज्ञासीत्	ɐ d͡ʑ ɲ ɑː s̪ iː t̪
अज्म	ɐ d͡ʑ m ɐ
अज्मन्	ɐ d͡ʑ m ɐ n̪
अज्र	ɐ d͡ʑ ɾ ɐ
अज्र्य	ɐ d͡ʑ ɾ j ɐ
अज्वर	ɐ d͡ʑ ʋ ɐ ɾ ɐ
अञ्चति	ɐ ɲ t͡ɕ ɐ t i
अञ्चल	ɐ ɲ t͡ɕ ɐ l ɐ
अञ्चित	ɐ ɲ t͡ɕ i t ɐ
अञ्चिष्यति	ɐ ɲ t͡ɕ i ʂ j ɐ t i
अञ्च्	ɐ ɲ t͡ɕ
अञ्जनरस	ɐ ɲ d͡ʑ ɐ n ɐ ɾ ɐ s ɐ
अञ्जना	ɐ ɲ d͡ʑ ɐ n ɑː
अञ्जलि	ɐ ɲ d͡ʑ ɐ l í
अञ्जस्	ɐ ɲ d͡ʑ ɐ s̪
अञ्ज्	ɐ ɲ d͡ʑ
अटन	ɐ ʈ ɐ n̪ ɐ
अटवि	ɐ ʈ ɐ ʋ i
अट्	ɐ ʈ
अट्ट	ɐ ʈ ʈ ɐ
अट्टालिका	ɐ ʈ ʈ ɑː l i k ɑː
अठ्	ɐ ʈʰ
अणु	ɐ ɳ u
अणुभाष	ɐ ɳ u bʱ ɑː ʂ ɐ
अण्ठ्	ɐ ɳ ʈʰ
अण्ड	ɐ ɳ ɖ ɐ
अण्डीर	ɐ ɳ ɖ iː ɾ ɐ
अतति	ɐ t̪ ɐ t̪ i
अतन्	ɐ t̪ ɐ n̪
अतल	ɐ t ɐ l ɐ
अतांसीत्	ɐ t̪ ɑ̃ː s̪ iː t̪
अताप्सीत्	ɐ t ɑː p s iː t
अति	ɐ t̪ i
अतिकामुक	ɐ t i k ɑː m u k ɐ
अतिकाय	ɐ t i k ɑː j ɐ
अतिक्रमण	ɐ t i k ɾ ɐ́ m ɐ ɳ ɐ
अतिथि	ɐ t̪ i t̪ʰ i
अतिथिदेव	ɐ t i tʰ i d ɐ j ʋ ɐ
अतिथिदेवस्	ɐ t i tʰ i d ɐ j ʋ ɐ s
अतिथिपति	ɐ t̪ i t̪ʰ i p ɐ t̪ i
अतिथिपतिस्	ɐ t̪ i t̪ʰ i p ɐ t̪ i s̪
अतिपात	ɐ t i p ɑː t ɐ
अतिभूमि	ɐ t i bʱ uː m i
अतिमारुत	ɐ t i m ɑː ɾ u t ɐ
अतिरेक	ɐ t i ɾ ɐ j k ɐ
अतिशयोक्ति	ɐ t̪ i ɕ ɐ j oː k t̪ i
अतिश्वन्	ɐ t i ɕ ʋ ɐ n
अतिष्ठत्	ɐ t̪ i ʂ ʈʰ ɐ t̪
अतीत	ɐ t iː t ɐ
अतीव	ɐ t iː ʋ ɐ
अतुल्य	ɐ t u l j ɐ
अत्	ɐ t
अत्क	ɐ t̪ k ɐ
अत्तव्य	ɐ t t ɐ́ ʋ j ɐ
अत्ति	ɐ t̪ t̪ i
अत्तृ	ɐ t t ŕ̩
अत्यद्भुत	ɐ t j ɐ d bʱ u t ɐ
अत्यर्थम्	ɐ t j ɐ ɾ tʰ ɐ m
अत्याचार	ɐ t j ɑː t͡ɕ ɑː ɾ ɐ
अत्याहित	ɐ t j ɑː ɦ i t ɐ
अत्येति	ɐ t̪ j eː t̪ i
अत्र	ɐ t̪ ɾ ɐ
अत्रत्य	ɐ t ɾ ɐ t j ɐ
अत्रि	ɐ t̪ ɾ i
अथ	ɐ t̪ʰ ɐ
अथर्वन्	ɐ t̪ʰ ɐ ɾ ʋ ɐ n̪
अथर्ववेद	ɐ tʰ ɐ ɾ ʋ ɐ ʋ ɐ́ j d ɐ
अथर्वा	ɐ t̪ʰ ɐ ɾ ʋ ɑː
अथर्वाङ्गिरस	ɐ t̪ʰ ɐ ɾ ʋ ɑː ŋ ɡ i ɾ ɐ s̪ ɐ
अदत्तादान	ɐ d̪ ɐ t̪ t̪ ɑː d̪ ɑː n̪ ɐ
अदन	ɐ d ɐ́ n ɐ
अदनीय	ɐ d ɐ́ n iː j ɐ
अदर	ɐ d ɐ ɾ ɐ
अदर्क्	ɐ d̪ ɐ ɾ k
अदस्	ɐ d ɐ́ s
अदाक्षिण्य	ɐ d ɑː k ʂ i ɳ j ɐ
अदात्	ɐ d̪ ɑː t̪
अदिति	ɐ d̪ i t̪ i
अदृष्ट	ɐ d ŕ̩ ʂ ʈ ɐ
अद्	ɐ d
अद्ग	ɐ d̪ ɡ ɐ
अद्धा	ɐ d dʱ ɑ́ː
अद्भुत	ɐ d bʱ u t ɐ
अद्य	ɐ d j ɐ́
अद्यापि	ɐ d j ɑː p i
अद्यैव	ɐ d j ɑ́ː j ʋ ɐ
अद्राक्षीत्	ɐ d̪ ɾ ɑː k ʂ iː t̪
अद्रि	ɐ d̪ ɾ i
अद्रुक्षत्	ɐ d̪ ɾ u k ʂ ɐ t̪
अद्वैत	ɐ d̪ ʋ ɑ j t̪ ɐ
अध	ɐ d̪ʱ ɐ
अधः	ɐ dʱ ɐ́ h
अधम	ɐ dʱ ɐ m ɐ́
अधमर्ण	ɐ dʱ ɐ m ɐ ɾ ɳ ɐ
अधमर्णिक	ɐ dʱ ɐ m ɐ ɾ ɳ i k ɐ
अधर	ɐ d̪ʱ ɐ ɾ ɐ
अधरौष्ठ	ɐ dʱ ɐ ɾ ɑː w ʂ ʈʰ ɐ
अधस्	ɐ dʱ ɐ́ s
अधस्तात्	ɐ dʱ ɐ́ s t ɑː t
अधा	ɐ d̪ʱ ɑː
अधाक्षीत्	ɐ d̪ʱ ɑː k ʂ iː t̪
अधात्	ɐ d̪ʱ ɑː t̪
अधि	ɐ dʱ i
अधिक	ɐ dʱ i k ɐ
अधिकतर	ɐ dʱ i k ɐ t ɐ ɾ ɐ
अधिकार	ɐ dʱ i k ɑː ɾ ɐ
अधिकारिणी	ɐ dʱ i k ɑː ɾ i ɳ iː
अधिकारिन्	ɐ dʱ i k ɑː ɾ i n
अधिकारी	ɐ dʱ i k ɑː ɾ iː
अधिगच्छति	ɐ dʱ i ɡ ɐ t t͡ɕʰ ɐ t i
अधितिष्ठति	ɐ dʱ i t i ʂ ʈʰ ɐ t i
अधिनायक	ɐ dʱ i n ɑː j ɐ k ɐ
अधिप	ɐ dʱ i p ɐ
अधिपति	ɐ dʱ i p ɐ́ t i
अधिवास	ɐ dʱ i ʋ ɑː s ɐ
अधी	ɐ dʱ iː
अधुक्षत्	ɐ d̪ʱ u k ʂ ɐ t̪
अधुना	ɐ dʱ u n ɑ́ː
अध्यक्ष	ɐ d̪ʱ j ɐ k ʂ ɐ
अध्यात्म	ɐ d̪ʱ j ɑː t̪ m ɐ
अध्यापक	ɐ dʱ j ɑː p ɐ k ɐ
अध्याय	ɐ dʱ j ɑː j ɐ
अध्याशय	ɐ d̪ʱ j ɑː ɕ ɐ j ɐ
अध्युष्ट	ɐ d̪ʱ j u ʂ ʈ ɐ
अध्वनि	ɐ d̪ʱ ʋ ɐ n̪ i
अध्वन्	ɐ d̪ʱ ʋ ɐ n̪
अध्वर्यु	ɐ dʱ ʋ ɐ ɾ j ú
अन	ɐ n ɐ́
अनंसीत्	ɐ n̪ ɐ̃ s̪ iː t̪
अनक्ति	ɐ n ɐ́ k t i
अनक्ष्	ɐ n ɐ́ k ʂ
अनङ्ग	ɐ n ɐ ŋ ɡ ɐ́
अनडुही	ɐ n ɐ ɖ u ɦ íː
अनडुह्	ɐ n ɐ ɖ ú ɦ
अनन	ɐ n ɐ́ n ɐ
अननुमेय	ɐ n ɐ n u m ɐ́ j j ɐ
अनन्त	ɐ n ɐ n t ɐ
अनन्य	ɐ n ɐ n j ɐ́
अनपेक्ष	ɐ n̪ ɐ p eː k ʂ ɐ
अनया	ɐ n ɐ́ j ɑː
अनयोः	ɐ n ɐ́ j ɐ w h
अनल	ɐ n ɐ l ɐ
अनवपृग्ण	ɐ n̪ ɐ ʋ ɐ p r̩ ɡ ɳ ɐ
अनसूयक	ɐ n ɐ s uː j ɐ k ɐ
अनस्	ɐ n̪ ɐ s̪
अना	ɐ n ɑ́ː
अनागति	ɐ n̪ ɑː ɡ ɐ t̪ i
अनाथ	ɐ n ɑː tʰ ɐ́
अनाधिकारिक	ɐ n ɑː dʱ i k ɑː ɾ i k ɐ
अनापत्ति	ɐ n ɑː p ɐ t t i
अनामय	ɐ n ɑː m ɐ j ɐ́
अनार्य	ɐ n ɑː ɾ j ɐ
अनाशित	ɐ n ɑː ɕ i t ɐ
अनाहार	ɐ n ɑː ɦ ɑː ɾ ɐ
अनिति	ɐ n̪ i t̪ i
अनिन्द्रिय	ɐ n i n d ɾ i j ɐ
अनिरुद्ध	ɐ n i ɾ u d dʱ ɐ
अनिल	ɐ n̪ i l̪ ɐ
अनिष्ट	ɐ n i ʂ ʈ ɐ
अनीक	ɐ n̪ iː k ɐ
अनीश	ɐ n̪ iː ɕ ɐ
अनु	ɐ n̪ u
अनुक	ɐ n̪ u k ɐ
अनुकथन	ɐ n u k ɐ tʰ ɐ n ɐ
अनुक्रमणिका	ɐ n̪ u k ɾ ɐ m ɐ ɳ i k ɑː
अनुग्रह	ɐ n u ɡ ɾ ɐ ɦ ɐ
अनुच्छेद	ɐ n̪ u t̪ t͡ɕʰ eː d̪ ɐ
अनुज	ɐ n u d͡ʑ ɐ
अनुताप	ɐ n u t ɑː p ɐ
अनुदात्त	ɐ n u d ɑː t t ɐ
अनुनासिक	ɐ n u n ɑː s i k ɐ
अनुप्रास	ɐ n̪ u p ɾ ɑː s̪ ɐ
अनुबन्ध	ɐ n u b ɐ n dʱ ɐ
अनुभूति	ɐ n u bʱ uː t i
अनुमति	ɐ n u m ɐ t i
अनुमेय	ɐ n u m ɐ́ j j ɐ
अनुराग	ɐ n u ɾ ɑː ɡ ɐ
अनुलोम	ɐ n̪ u l̪ oː m ɐ
अनुवाक	ɐ n u ʋ ɑ́ː k ɐ
अनुवाद	ɐ n u ʋ ɑː d ɐ
अनुशय	ɐ n u ɕ ɐ j ɐ
अनुशासक	ɐ n u ɕ ɑː s ɐ k ɐ
अनुष्टुभ्	ɐ n u ʂ ʈ ú bʱ
अनुसार	ɐ n u s ɑː ɾ ɐ
अनुस्वार	ɐ n̪ u s̪ ʋ ɑː ɾ ɐ
अनूक	ɐ n̪ uː k ɐ
अनूप	ɐ n uː p ɐ́
अनृक्षर	ɐ n r̩ k ʂ ɐ ɾ ɐ́
अनृणता	ɐ n r̩ ɳ ɐ t ɑː
अनृणिन्	ɐ n r̩ ɳ i n
अनृत	ɐ n̪ r̩ t̪ ɐ
अनेक	ɐ n ɐ j k ɐ
अनेकान्तवाद	ɐ n̪ eː k ɑː n̪ t̪ ɐ ʋ ɑː d̪ ɐ
अनेद्य	ɐ n̪ eː d̪ j ɐ
अनेन	ɐ n ɐ j n ɐ́
अनेहस्	ɐ n ɐ j ɦ ɐ́ s
अनैषीत्	ɐ n̪ ɑ j ʂ iː t̪
अनौत्सीत्	ɐ n̪ ɑ w t̪ s̪ iː t̪
अन्	ɐ n
अन्त	ɐ n̪ t̪ ɐ
अन्तःकरण	ɐ n t ɐ h k ɐ ɾ ɐ ɳ ɐ
अन्तःपात्र	ɐ n̪ t̪ ɐ́ ɸ p ɑː t̪ ɾ ɐ́
अन्तःपुर	ɐ n t ɐ h p u ɾ ɐ
अन्तःस्थ	ɐ n t ɐ h s tʰ ɐ
अन्तम	ɐ n̪ t̪ ɐ m ɐ
अन्तर	ɐ n̪ t̪ ɐ ɾ ɐ
अन्तरा	ɐ n t ɐ ɾ ɑ́ː
अन्तराभवदेह	ɐ n̪ t̪ ɐ ɾ ɑː bʱ ɐ ʋ ɐ d̪ eː ɦ ɐ
अन्तरिक्ष	ɐ n t ɐ́ ɾ i k ʂ ɐ
अन्तरीय	ɐ n t ɐ ɾ iː j ɐ
अन्तर्	ɐ n t ɐ́ ɾ
अन्तर्जाल	ɐ n̪ t̪ ɐ ɾ d͡ʑ ɑː l̪ ɐ
अन्तर्जालेन	ɐ n̪ t̪ ɐ ɾ d͡ʑ ɑː l̪ eː n̪ ɐ
अन्तर्धि	ɐ n t ɐ ɾ dʱ í
अन्तर्यामिन्	ɐ n t ɐ ɾ j ɑː m í n
अन्तवत्	ɐ n̪ t̪ ɐ ʋ ɐ t̪
अन्ताराष्ट्रिय	ɐ n̪ t̪ ɑː ɾ ɑː ʂ ʈ ɾ i j ɐ
अन्ति	ɐ n̪ t̪ i
अन्तिम	ɐ n t i m ɐ
अन्त्य	ɐ n̪ t̪ j ɐ
अन्त्र	ɐ n̪ t̪ ɾ ɐ
अन्ध	ɐ n dʱ ɐ́
अन्धकार	ɐ n dʱ ɐ k ɑː ɾ ɐ
अन्धस्	ɐ n̪ d̪ʱ ɐ s̪
अन्न	ɐ n̪ n̪ ɐ
अन्नदान	ɐ n n ɐ d ɑː n ɐ
अन्नपूर्णा	ɐ n n ɐ p uː ɾ ɳ ɑː
अन्नप्राश	ɐ n n ɐ p ɾ ɑː ɕ ɐ
अन्य	ɐ n j ɐ́
अन्यतर	ɐ n j ɐ t ɐ ɾ ɐ́
अन्यत्र	ɐ n j ɐ́ t ɾ ɐ
अन्यथा	ɐ n j ɐ́ tʰ ɑː
अन्यवाप	ɐ n j ɐ ʋ ɑː p ɐ́
अन्योन्य	ɐ n j ɐ w n j ɐ
अन्वेषण	ɐ n ʋ ɐ j ʂ ɐ ɳ ɐ
अन्वेषिन्	ɐ n ʋ ɐ j ʂ i n
अपगम	ɐ p ɐ ɡ ɐ m ɐ
अपघात	ɐ p ɐ ɡʱ ɑː t ɐ
अपत्त	ɐ p ɐ t̪ t̪ ɐ
अपत्य	ɐ p ɐ t̪ j ɐ
