ͷ	t͡s
αἰσχροτάταις	a i̯ s kʰ r o t á t a i̯ s
αἰσχροτάτας	a i̯ s kʰ r o t á t aː s
αἰσχροτάτη	a i̯ s kʰ r o t á t ɛː
αἰσχροτάτην	a i̯ s kʰ r o t á t ɛː n
αἰσχροτάτης	a i̯ s kʰ r o t á t ɛː s
αἰσχροτάτοιν	a i̯ s kʰ r o t á t o i̯ n
αἰσχροτάτοις	a i̯ s kʰ r o t á t o i̯ s
αἰσχροτάτου	a i̯ s kʰ r o t á t uː
αἰσχροτάτους	a i̯ s kʰ r o t á t uː s
αἰσχροτάτω	a i̯ s kʰ r o t á t ɔː
αἰσχροτάτων	a i̯ s kʰ r o t á t ɔː n
αἰσχροτάτῃ	a i̯ s kʰ r o t á t ɛː i̯
αἰσχροτάτῳ	a i̯ s kʰ r o t á t ɔː i̯
αἰσχροτέρα	a i̯ s kʰ r o t é r aː
αἰσχροτέραιν	a i̯ s kʰ r o t é r a i̯ n
αἰσχροτέραις	a i̯ s kʰ r o t é r a i̯ s
αἰσχροτέραν	a i̯ s kʰ r o t é r aː n
αἰσχροτέρας	a i̯ s kʰ r o t é r aː s
αἰσχροτέροιν	a i̯ s kʰ r o t é r o i̯ n
αἰσχροτέροις	a i̯ s kʰ r o t é r o i̯ s
αἰσχροτέρου	a i̯ s kʰ r o t é r uː
αἰσχροτέρους	a i̯ s kʰ r o t é r uː s
αἰσχροτέρω	a i̯ s kʰ r o t é r ɔː
αἰσχροτέρων	a i̯ s kʰ r o t é r ɔː n
αἰσχροτέρᾳ	a i̯ s kʰ r o t é r aː i̯
αἰσχροτέρῳ	a i̯ s kʰ r o t é r ɔː i̯
αἰσχρουργέω	a i̯ s kʰ r uː r ɡ é ɔː
αἰσχρουργία	a i̯ s kʰ r uː r ɡ í aː
αἰσχρουργός	a i̯ s kʰ r uː r ɡ ó s
αἰσχρούργημα	a i̯ s kʰ r ǔː r ɡ ɛː m a
αἰσχρούς	a i̯ s kʰ r ǔː s
αἰσχροῖν	a i̯ s kʰ r ô i̯ n
αἰσχροῖς	a i̯ s kʰ r ô i̯ s
αἰσχροῖσι	a i̯ s kʰ r ô i̯ s i
αἰσχροῖσιν	a i̯ s kʰ r ô i̯ s i n
αἰσχροῦ	a i̯ s kʰ r ûː
αἰσχρόν	a i̯ s kʰ r ó n
αἰσχρός	a i̯ s kʰ r ó s
αἰσχρότατα	a i̯ s kʰ r ó t a t a
αἰσχρόταται	a i̯ s kʰ r ó t a t a i̯
αἰσχρότατε	a i̯ s kʰ r ó t a t e
αἰσχρότατοι	a i̯ s kʰ r ó t a t o i̯
αἰσχρότατον	a i̯ s kʰ r ó t a t o n
αἰσχρότατος	a i̯ s kʰ r ó t a t o s
αἰσχρότερα	a i̯ s kʰ r ó t e r a
αἰσχρότεραι	a i̯ s kʰ r ó t e r a i̯
αἰσχρότερε	a i̯ s kʰ r ó t e r e
αἰσχρότεροι	a i̯ s kʰ r ó t e r o i̯
αἰσχρότερον	a i̯ s kʰ r ó t e r o n
αἰσχρότερος	a i̯ s kʰ r ó t e r o s
αἰσχρότης	a i̯ s kʰ r ó t ɛː s
αἰσχρώ	a i̯ s kʰ r ɔ̌ː
αἰσχρᾶς	a i̯ s kʰ r âː s
αἰσχρᾷ	a i̯ s kʰ r âː i̯
αἰσχρῆς	a i̯ s kʰ r ɛ̂ː s
αἰσχρῶν	a i̯ s kʰ r ɔ̂ː n
αἰσχρῶς	a i̯ s kʰ r ɔ̂ː s
αἰσχρῷ	a i̯ s kʰ r ɔ̂ː i̯
αἰσχυνομένη	a i̯ s kʰ yː n o m é n ɛː
αἰσχυνομένην	a i̯ s kʰ yː n o m é n ɛː n
αἰσχυνομένης	a i̯ s kʰ yː n o m é n ɛː s
αἰσχυνομένοις	a i̯ s kʰ yː n o m é n o i̯ s
αἰσχυνομένου	a i̯ s kʰ yː n o m é n uː
αἰσχυνομένους	a i̯ s kʰ yː n o m é n uː s
αἰσχυνομένων	a i̯ s kʰ yː n o m é n ɔː n
αἰσχυνομένῳ	a i̯ s kʰ yː n o m é n ɔː i̯
αἰσχυνόμενοι	a i̯ s kʰ yː n ó m e n o i̯
αἰσχυνόμενον	a i̯ s kʰ yː n ó m e n o n
αἰσχυνόμενος	a i̯ s kʰ yː n ó m e n o s
αἰσχόω	a i̯ s kʰ ó ɔː
αἰσχύλος	a i̯ s kʰ ý l o s
αἰσχύνεσθαι	a i̯ s kʰ y̌ː n e s tʰ a i̯
αἰσχύνεσθε	a i̯ s kʰ y̌ː n e s tʰ e
αἰσχύνη	a i̯ s kʰ y̌ː n ɛː
αἰσχύνην	a i̯ s kʰ y̌ː n ɛː n
αἰσχύνης	a i̯ s kʰ y̌ː n ɛː s
αἰσχύνομαι	a i̯ s kʰ y̌ː n o m a i̯
αἰσχύνω	a i̯ s kʰ y̌ː n ɔː
αἰσχῶν	a i̯ s kʰ ɔ̂ː n
αἰσών	a i̯ s ɔ̌ː n
αἰτέω	a i̯ t é ɔː
αἰτήσεως	a i̯ t ɛ̌ː s e ɔː s
αἰτί'	a i̯ t í
αἰτία	a i̯ t í aː
αἰτίαι	a i̯ t í a i̯
αἰτίαιν	a i̯ t í a i̯ n
αἰτίαις	a i̯ t í a i̯ s
αἰτίαν	a i̯ t í aː n
αἰτίας	a i̯ t í aː s
αἰτίζω	a i̯ t í z d ɔː
αἰτίζων	a i̯ t í z d ɔː n
αἰτίοιν	a i̯ t í o i̯ n
αἰτίοις	a i̯ t í o i̯ s
αἰτίου	a i̯ t í uː
αἰτίους	a i̯ t í uː s
αἰτίω	a i̯ t í ɔː
αἰτίων	a i̯ t í ɔː n
αἰτίᾳ	a i̯ t í aː i̯
αἰτίῳ	a i̯ t í ɔː i̯
αἰτητός	a i̯ t ɛː t ó s
αἰτιάομαι	a i̯ t i á o m a i̯
αἰτιατική	a i̯ t i aː t i k ɛ̌ː
αἰτιατικός	a i̯ t i aː t i k ó s
αἰτιολογία	a i̯ t i o l o ɡ í aː
αἰτιωτάτα	a i̯ t i ɔː t á t aː
αἰτιωτάταιν	a i̯ t i ɔː t á t a i̯ n
αἰτιωτάταις	a i̯ t i ɔː t á t a i̯ s
αἰτιωτάτας	a i̯ t i ɔː t á t aː s
αἰτιωτάτη	a i̯ t i ɔː t á t ɛː
αἰτιωτάτην	a i̯ t i ɔː t á t ɛː n
αἰτιωτάτης	a i̯ t i ɔː t á t ɛː s
αἰτιωτάτοιν	a i̯ t i ɔː t á t o i̯ n
αἰτιωτάτοις	a i̯ t i ɔː t á t o i̯ s
αἰτιωτάτου	a i̯ t i ɔː t á t uː
αἰτιωτάτους	a i̯ t i ɔː t á t uː s
αἰτιωτάτω	a i̯ t i ɔː t á t ɔː
αἰτιωτάτων	a i̯ t i ɔː t á t ɔː n
αἰτιωτάτῃ	a i̯ t i ɔː t á t ɛː i̯
αἰτιωτάτῳ	a i̯ t i ɔː t á t ɔː i̯
αἰτιωτέρα	a i̯ t i ɔː t é r aː
αἰτιωτέραιν	a i̯ t i ɔː t é r a i̯ n
αἰτιωτέραις	a i̯ t i ɔː t é r a i̯ s
αἰτιωτέραν	a i̯ t i ɔː t é r aː n
αἰτιωτέρας	a i̯ t i ɔː t é r aː s
αἰτιωτέροιν	a i̯ t i ɔː t é r o i̯ n
αἰτιωτέροις	a i̯ t i ɔː t é r o i̯ s
αἰτιωτέρου	a i̯ t i ɔː t é r uː
αἰτιωτέρους	a i̯ t i ɔː t é r uː s
αἰτιωτέρω	a i̯ t i ɔː t é r ɔː
αἰτιωτέρων	a i̯ t i ɔː t é r ɔː n
αἰτιωτέρᾳ	a i̯ t i ɔː t é r aː i̯
αἰτιωτέρῳ	a i̯ t i ɔː t é r ɔː i̯
αἰτιώτατα	a i̯ t i ɔ̌ː t a t a
αἰτιώταται	a i̯ t i ɔ̌ː t a t a i̯
αἰτιώτατε	a i̯ t i ɔ̌ː t a t e
αἰτιώτατοι	a i̯ t i ɔ̌ː t a t o i̯
αἰτιώτατον	a i̯ t i ɔ̌ː t a t o n
αἰτιώτατος	a i̯ t i ɔ̌ː t a t o s
αἰτιώτερα	a i̯ t i ɔ̌ː t e r a
αἰτιώτεραι	a i̯ t i ɔ̌ː t e r a i̯
αἰτιώτερε	a i̯ t i ɔ̌ː t e r e
αἰτιώτεροι	a i̯ t i ɔ̌ː t e r o i̯
αἰτιώτερον	a i̯ t i ɔ̌ː t e r o n
αἰτιώτερος	a i̯ t i ɔ̌ː t e r o s
αἰτιᾶσθαι	a i̯ t i âː s tʰ a i̯
αἰτιῶν	a i̯ t i ɔ̂ː n
αἰτωλία	a i̯ t ɔː l í aː
αἰτωλίς	a i̯ t ɔː l í s
αἰτωλούς	a i̯ t ɔː l ǔː s
αἰτωλός	a i̯ t ɔː l ó s
αἰτωλῶν	a i̯ t ɔː l ɔ̂ː n
αἰχμά	a i̯ kʰ m ǎː
αἰχμάζω	a i̯ kʰ m á z d ɔː
αἰχμάλωτα	a i̯ kʰ m á l ɔː t a
αἰχμάλωτε	a i̯ kʰ m á l ɔː t e
αἰχμάλωτοι	a i̯ kʰ m á l ɔː t o i̯
αἰχμάλωτον	a i̯ kʰ m á l ɔː t o n
αἰχμάλωτος	a i̯ kʰ m á l ɔː t o s
αἰχμάς	a i̯ kʰ m ǎː s
αἰχμή	a i̯ kʰ m ɛ̌ː
αἰχμήν	a i̯ kʰ m ɛ̌ː n
αἰχμαί	a i̯ kʰ m ǎ i̯
αἰχμαλωτίζω	a i̯ kʰ m a l ɔː t í z d ɔː
αἰχμαλόω	e x m a l o o
αἰχμαλώτοιν	a i̯ kʰ m a l ɔ̌ː t o i̯ n
αἰχμαλώτοις	a i̯ kʰ m a l ɔ̌ː t o i̯ s
αἰχμαλώτου	a i̯ kʰ m a l ɔ̌ː t uː
αἰχμαλώτους	a i̯ kʰ m a l ɔ̌ː t uː s
αἰχμαλώτω	a i̯ kʰ m a l ɔ̌ː t ɔː
αἰχμαλώτων	a i̯ kʰ m a l ɔ̌ː t ɔː n
αἰχμαλώτῳ	a i̯ kʰ m a l ɔ̌ː t ɔː i̯
αἰχμαῖν	a i̯ kʰ m â i̯ n
αἰχμαῖς	a i̯ kʰ m â i̯ s
αἰχμητάων	a i̯ kʰ m ɛː t ǎː ɔː n
αἰχμητήν	a i̯ kʰ m ɛː t ɛ̌ː n
αἰχμητής	a i̯ kʰ m ɛː t ɛ̌ː s
αἰχμῆς	a i̯ kʰ m ɛ̂ː s
αἰχμῇ	a i̯ kʰ m ɛ̂ː i̯
αἰχμῶν	a i̯ kʰ m ɔ̂ː n
αἰωνιότης	a i̯ ɔː n i ó t ɛː s
αἰόλος	a i̯ ó l o s
αἰών	a i̯ ɔ̌ː n
αἰώνεσσι	a i̯ ɔ̌ː n e s s i
αἰώνεσσιν	a i̯ ɔ̌ː n e s s i n
αἰώνιος	a i̯ ɔ̌ː n i o s
αἰώνων	a i̯ ɔ̌ː n ɔː n
αἰώρα	a i̯ ɔ̌ː r aː
αἰῶ	a i̯ ɔ̂ː
αἰῶνα	a i̯ ɔ̂ː n a
αἰῶνας	a i̯ ɔ̂ː n a s
αἰῶνες	a i̯ ɔ̂ː n e s
αἰῶνι	a i̯ ɔ̂ː n i
αἰῶνος	a i̯ ɔ̂ː n o s
αἰῶσι	a i̯ ɔ̂ː s i
αἰῶσιν	a i̯ ɔ̂ː s i n
αἱ	e
αἱμάτινον	e m a t i n o n
αἱμάτινος	e m a t i n o s
αἱμάτοιν	e m a t i n
αἱμάτων	e m a t o n
αἱμίμοντε	e m i m o n d e
αἱμίμοντον	e m i m o n d o n
αἱμίμοντος	e m i m o n d o s
αἱμασιά	e m a s i a
αἱματίτης	e m a t i t i s
αἱματόεις	e m a t o i s
αἱματόεντα	e m a t o e n d a
αἱμιμόντου	e m i m o n d u
αἱμιμόντῳ	e m i m o n d o
αἱμορραγία	e m o r a ʝ i a
αἱμορροΐς	e m o r o i s
αἱμοφόβος	e m o f o v o s
αἱρέσει	e r e s i
αἱρέσεις	e r e s i s
αἱρέσεσι	e r e s e s i
αἱρέσεσιν	e r e s e s i n
αἱρέσεων	e r e s e o n
αἱρέσεως	e r e s e o s
αἱρέσια	e r e s i a
αἱρέω	e r e o
αἱρήσει	e r i s i
αἱρήσεις	e r i s i s
αἱρήσετε	e r i s e t e
αἱρήσομεν	e r i s o m e n
αἱρήσω	e r i s o
αἱρεσέοιν	e r e s e i n
αἱρεσιάρχης	e r e s i a r ç i s
αἱρεσιώτης	e r e s i o t i s
αἱρετικός	e r e t i k o s
αἱρεῖ	e r i
αἱρεῖς	e r i s
αἱρεῖτε	e r i t e
αἱροῦμεν	e r u m e n
αἱρῶ	e r o
αἴ	e
αἴακα	e a k a
αἴακας	e a k a s
αἴακες	e a c e s
αἴακι	e a c i
αἴακος	e a k o s
αἴανθ'	e a n θ
αἴαντ'	e a n d
αἴαντα	e a n d a
αἴαντας	e a n d a s
αἴαντε	e a n d e
αἴαντες	e a n d e s
αἴαντι	e a n d i
αἴαντος	e a n d o s
αἴαξ	e a k s
αἴαξι	e a k s i
αἴαξιν	e a k s i n
αἴας	e a s
αἴασι	e a s i
αἴασιν	e a s i n
αἴγαγρος	e ɣ a ɣ r o s
αἴγειρα	e ʝ i r a
αἴγειρος	e ʝ i r o s
αἴγεσι	e ʝ e s i
αἴγεσιν	e ʝ e s i n
αἴγεσσι	e ʝ e s i
αἴγεσσιν	e ʝ e s i n
αἴγιθος	e ʝ i θ o s
αἴγιλος	e ʝ i l o s
αἴγινα	e ʝ i n a
αἴγιναν	e ʝ i n a
αἴγινος	e ʝ i n o s
αἴγιον	e ʝ i o n
αἴγισθον	e ʝ i s θ o n
αἴγισθος	e ʝ i s θ o s
αἴγλη	e ɣ l i
αἴγυπτος	e ʝ i p t o s
αἴδεο	e ð e o
αἴδετο	e ð e t o
αἴδομαι	e ð o m e
αἴδουος	e ð u o s
αἴης	e i s
αἴθ'	e θ
αἴθαλος	e θ a l o s
αἴθε	e θ e
αἴθιλλα	e θ i l a
αἴθινος	e θ i n o s
αἴθλη	e θ l i
αἴθοπα	e θ o p a
αἴθοπι	e θ o p i
αἴθοπος	e θ o p o s
αἴθουσα	e θ u s a
αἴθρα	e θ r a
αἴθυια	e θ i a
αἴθω	e θ o
αἴθων	e θ o n
αἴθωνα	e θ o n a
αἴθωνας	e θ o n a s
αἴλανα	e l a n a
αἴλουρε	e l u r e
αἴλουροι	e l u r i
αἴλουρον	e l u r o n
αἴλουρος	e l u r o s
αἴνεσις	e n e s i s
αἴνιγμα	e n i ɣ m a
αἴνυμαι	e n i m e
αἴνυτο	e n i t o
αἴξ	e k s
αἴολος	e o l o s
αἴπει	e p i
αἴπεος	e p e o s
αἴρινος	e r i n o s
αἴρω	e r o
αἴσακος	e s a k o s
αἴσηπος	e s i p o s
αἴσθησι	e s θ i s i
αἴσθησιν	e s θ i s i n
