achab	aː k a b
pruce	p r i u̯ s
rome	r oː m
romware	r oː m w a r ə
rone	r ɔː n
rychemund	r i t ʃ m u n d
sampson	s a m p s u n
saresbury	s a l s b u r iː
saterday	s a t ə r d æ i̯
sathan	s a t a n
sclave	s k l aː v
severne	s a v ə r n
seward	s i u̯ a r d
simon	s i m ɔː n
sodome	s ɔ d ɔ m
somersete	s u m ə r s ɛ t
sonday	s u n d æ i̯
spayne	s p æ i̯ n
spynx	s p i n k s
staffordschire	s t a f oː r d ʃ iː r
stonhenge	s t ɑː n eː n d͡ʒ
stryvelyn	s t r i v ə l i n
suffolk	s u f ɔ l k
temse	t a m z
termagaunt	t ɛ r m a ɡ a u̯ n t
tewesday	t i u̯ z d æ i̯
thomme	t ɔ m
thursday	θ u r i z d æ i̯
trente	t r eː n t
venus	v eː n u s
venyse	v ɛ n i s
vesper	v ɛ s p ə r
vesta	v ɛ s t a
wales	w aː l s
walsch	w a l i ʃ
warwyk	w a r w i k
wednesday	w ɔ d n ə z d æ i̯
westmynster	w ɛ s t m i n s t ə r
wilteschire	w i l t ə ʃ iː r
wynchester	w i n t͡ʃ ɛ s t ə r
york	j ɔ r k
yorkschire	j ɔ r k ʃ iː r
ysaye	iː z a iː
aa	aː
abak	a b a k
abashen	a b a ʃ ə n
abaten	a b aː t ə n
abay	a b æ i̯
abbathie	a b a s iː
abbey	a b æ i̯
abece	a b s eː
abenche	a b ɛ n t͡ʃ
abhomynable	a b ɔ m i n aː b l ə
abilite	a b i l i t eː
able	aː b ə l
abloy	a b l ɔ i̯
abominacioun	a b ɔ m i n aː s i uː n
abord	a b oː r d
aboute	a b uː t
aboven	a b u v
abreggen	a b r i d͡ʒ ə n
abrest	a b r ɛ s t
abrogen	a b r ɔː d͡ʒ ə n
absence	a b s ɛ n s
absolucioun	a b s ɔ l i u̯ s i u n
absteynen	a b s t æ i̯ n ə n
abstraccyone	a b s t r a k s j u n
abstract	a b s t r a k t
abstractif	a b s t r a k t i v
abstractly	a b s t r a k t l i t͡ʃ
abusen	a b i u̯ z ə n
abyden	a b iː d ə n
abyen	a b iː ə n
ac	a k
accent	a k s ɛ n t
acceptable	a k s ɛ p t a b ə l
accepten	a k s ɛ p t ə n
accidently	a k s i d ɛ n t l i t͡ʃ
accidie	a k s i d iː
accioun	a k s i uː n
accordaunce	a k ɔ r d a u̯ n s
achaufen	a t͡ʃ a u̯ f ə n
ache	a t͡ʃ
acheken	a t͡ʃ eː k ə n
achesoun	a t͡ʃ ɛː z u n
achete	a t͡ʃ ɛː t
acheten	a t͡ʃ ɛː t ə n
acordaunt	a k ɔ r d a u̯ n t
acordingli	a k ɔ r d i n ɡ l iː
acorn	a k oː r n
acounte	a k uː n t
acounten	a k uː n t ə n
acqueren	a k w eː r ə n
acquerne	aː k w ɛ r n
acresen	a k r ɛ s ə n
acrewen	a k r i u̯ ə n
acros	a k r ɔ s
acte	a k t
acten	a k t ə n
actour	a k t u r
actual	a k t i u̯ a l
actually	a k t i u̯ a l iː
actyf	a k t i f
actyvely	a k t i f l iː
acustumaunce	a k u s t u m a u̯ n s
adamant	a d ə m a n t
adamantine	a d ə m a n t iː n
adamas	a d ə m a s
adawe	a d a u̯
adawen	a d a u̯ ə n
addre	a d r ə
adel	a d ə l
adighten	a d i x t ə n
adle	a d ə l
administren	a d m i n i s t r ə n
adoun	a d uː n
adreden	a d r eː d ə n
adressen	a d r ɛ s ə n
adversite	a d v ɛ r s i t eː
advertisen	a d v ɛ r t iː z ə n
advocatrice	a d v ɔ k a t r i s
afeld	a f eː l d
afer	a f ɛ r
afered	a f ɛː r d
affermen	a f ɛ r m ə n
affermour	a f ɛ r m u r
affermynge	a f ɛ r m i n ɡ
affodill	a f ɔ d i l
afore	a f ɔː r
aforthen	a f oː r ð ə n
afraynen	a f r æ i̯ n ə n
afrounten	a f r u n t ə n
after	a f t ə r
afterward	a f t ə r w a r d
agame	a ɡ aː m
agasten	a ɡ a s t ə n
agate	a ɡ aː t
agayn	a j eː n
age	aː d͡ʒ
agen	aː d͡ʒ ə n
agon	a ɡ ɔː n
agre	a ɡ r eː
agreable	a ɡ r eː aː b ə l
agreablely	a ɡ r eː aː b l iː
agreen	a ɡ r eː ə n
agrement	a ɡ r eː m ɛ n t
aide	æ i̯ d
aiden	æ i̯ d ə n
aire	æ i̯ r
aken	aː k ə n
akennednesse	a k ɛ n ɛ d n ɛ s
aker	a k ə r
aketoun	a k t u n
aknowen	a k n ɔ u̯ ə n
al	a l
alabastre	a l ə b a s t r ə
alder	a l d ə r
alderman	a l d ə r m a n
aldre	a l d r ə
ale	aː l
aleden	a l ɛː d ə n
alegiaunce	a l eː d ʒ a n s
alehous	aː l h uː s
aleye	a l æ i̯
alger	a l ɡ ə r
alien	aː l i a n t
alienacioun	a l i ə n aː s i uː n
alienat	aː l i ə n aː t
alienen	aː l i ə n ə n
alienyng	aː l i ə n i n ɡ
aline	a l iː n
all	a l
alliaunce	a l iː a n s
allie	a l iː
allien	a l iː ə n
allone	a l ɔ̝ː n
almaunden	a l m a u̯ n d ə n
almerie	a l m r iː
almesse	a l m u s
almond	a l m a n d
almost	a l m ɔː s t
almyghty	a l m i x t iː
alonnesse	a l ɔː n ɛ s
alowe	a l ɔ u̯
alredy	a l r ɛː d iː
alsone	a l s oː n
altercacioun	a l t ə r k aː s i uː n
althing	a l θ i n ɡ
alwey	a l w æ i̯
alweyes	a l w æ i̯ s
alym	a l i m
alyve	a l iː v
am	a m
amad	a m a d
amased	a m aː z d
ambicioun	a m b i s i uː n
ambicious	a m b i s i uː s
amblen	a m b l ə n
amblere	a m b l ə r
ambre	a m b ə r
ame	aː m
amen	aː m ɛ n
amerren	a m a r r ə
ameven	a m eː v ə n
amiral	a m i r a l
among	a m ɔ n ɡ
amorette	a m u r ɛ t
amorous	a m u r u s
amorously	a m u r u s l iː
amounten	a m uː n t ə n
amour	a m u r
ample	a m p ə l
amplifiyen	a m p l i f iː ə n
ampte	a m p t
amyable	aː m i aː b ə l
an	a
ancle	a n k l eː
and	a n
anentes	a n ɛ n s
ange	a n ɡ
angelik	a n d ʒ ɛ l iː k
anger	a n ɡ ə r
angerly	a n ɡ ə r l i t ʃ
angren	a n ɡ r ə n
angrily	a n ɡ r iː l iː
angry	a n ɡ r iː
angrynes	a n ɡ r iː n ɛ s
angwischen	a n ɡ u i̯ ʃ ə n
angwischous	a n ɡ u i̯ ʃ u s
angwissh	a n ɡ u i̯ ʃ
ani	a n iː
anientishen	a n eː n t i ʃ ə n
animal	a n i m a l
animate	a n i m aː t
ankre	a n k r ə
anoy	a n iː
anoyaunce	a n u i̯ a n s
anoyen	a n iː ə n
anoyous	a n u i̯ u s
answere	a n d s w aː r
answeren	a n d s w aː r ə n
answerynge	a n d s w aː r i n ɡ
antecessour	a n t ɛ s ɛ s u r
antelope	a n t ə l ɔ p
anteme	a n t eː m
antiquyte	a n t i k w i t eː
anvelt	a n f ɛ l t
anys	a n i s
ape	aː p
apocalips	a p ɔ k a l i p s
appel	a p ə l
appeltre	a p ə l t r eː
appenden	a p ɛ n d ə n
apposicioun	a p ɔː z i s i uː n
aproven	a p r uː v ə n
aqueyntaunce	a k u i̯ n t a n s
aqueynten	a k w æ i̯ n t ə n
arable	a r aː b ə l
aray	a r æ i̯
arayne	a r aː n
ardaunt	a r d a n t
ardauntly	a r d a n t l iː
ardour	a r d u r
aredden	a r ɛ d ə n
aren	a r ə n
areynen	a r æ i̯ n ə n
argh	a r x
arghly	a r w ə l iː
arghnesse	a r w ə n ɛ s
arisen	a r iː z ə n
ariste	a r i s t
arke	a r k
arm	a r m
armee	a r m eː
armure	a r m i u̯ r
armurer	a r m i u̯ r ɛ r
armurie	a r m i u̯ r iː
armyng	a r m i n ɡ
aron	aː r ɔ n
aroume	a r uː m
arounde	a r uː n d
ars	a r s
arsoun	a r s u n
art	a r t
artificer	a r t i f ə s ɛː r
arveð	a r v ə ð
arveðlich	a r v ə ð l iː t ʃ
arveðliche	a r v ə ð l iː t ʃ
arwe	a r i u̯
arȝen	a r x j ə n
as	a s
aserchen	a s ɛ r t͡ʃ ə n
ashore	a ʃ ɔː r ə
aske	a s k
asken	a k s ə n
asker	a k s ə r
askynge	a k s i n ɡ
aslepe	a s l eː p
aspe	a s p
aspide	a s p i d
assaile	a s æ i̯ l
assailen	a s æ i̯ l ə n
assailour	a s æ i̯ l uː r
assailynge	a s æ i̯ l i n ɡ
assay	a s æ i̯
assayen	a s æ i̯ ə n
assaynge	a s æ i̯ i n ɡ
assayour	a s æ i̯ uː r
asse	a s
asseth	a s eː θ
assethen	a s eː θ ə n
asshe	a k s
assheler	a ʃ l ə r
asshen	a k s ə n
asshy	a s k iː
assise	a s iː z
astonen	a s t u n ə n
astoneyen	a s t u n i ə n
astranglen	a s t r a n ɡ l ə n
asure	a z i u̯ r
aswagen	a s w aː d͡ʒ ə n
asweved	a s w ɛː v ɛ d
atamen	a t aː m ə n
atazir	a t a z iː r
atberen	a t b ɛ̞ː r ə n
atbreken	a t b r ɛ̞ː k ə n
atbresten	a t b r ɛ s t ə n
athem	a ð ə m
athirst	a f u r s t
atter	a t ə r
attren	a t r ə n
attry	a t r iː
auctorite	a u̯ k t ɔ r i t eː
auctour	a u̯ k t uː r
augrym	a l ɡ ɔ r i z m
aumbre	a m b r ə
auncessour	a n s ə s u r
auncestre	a n s ɛ s t r ə
auncestrie	a n s ɛ s t r iː
aundire	a u̯ n d eː r
aunen	a u̯ n ə n
aungel	a n d͡ʒ ə l
aunte	a n t
auntelere	a n t l ə r
auripigment	a u̯ r i p i ɡ m ɛ n t
autumpne	a u̯ t u m
avalen	a v aː l ə n
avauncen	a v a u̯ n s ə n
avel	a v ə l
aventure	a n t i u̯ r
aventuren	a n t i u̯ r ə n
aventurous	a u̯ n t r u s
avexen	a v ɛ k s ə n
avisen	a d v iː z ə n
avisioun	a d v i z i uː n
avoy	a v u i̯
avys	a v iː s
awbe	a l b
awe	a u̯
aweful	a u̯ f u l
aweles	a u̯ l ɛ̝ː s
awely	a u̯ l i t͡ʃ
awen	a u̯ ə n
awerpen	a w a r p ə n
awey	a w æ i̯
awfyn	a l f i n
awinnen	a w i n ə n
awne	a u̯ n
ax	a k s
axe	a k s
axel	a k s ə l
axil	a k s ə l
axiltre	a k s ə l t r eː
ay	æ i̯
aydaunt	æ i̯ d a n t
ayel	æ i̯ eː l
ayenes	a j eː n s
ayry	æ i̯ r iː
babe	b a b
baby	b a b iː
bace	b a r s
bacheler	b a t͡ʃ ə l eː r
bacoun	b aː k u n
badde	b a d
bagage	b a ɡ a d͡ʒ
bagge	b a ɡ
bagpipe	b a ɡ p iː p
baillif	b æ i̯ l i f
bak	b a k
bakbon	b a k b ɔː n
baken	b aː k ə n
bakestere	b a k s t r ə
bakhous	b a k h uː s
bakke	b a k
bakynge	b aː k i n ɡ
bal	b a l
balaunce	b a l a n s
bale	b aː l
baleful	b a l f u l
balfulli	b a l f u l iː
bali	b aː l iː
balke	b a l k
balken	b a l k ə n
ballok	b a l ɔ k
balsamum	b a l s a m u m
band	b a n d
bane	b aː n
bapteme	b a p t eː m
baptisen	b a p t iː z ə n
baptiste	b a p t i s t
baptisterie	b a p t i s t r iː
baptisynge	b a p t iː z i n ɡ
bare	b aː r
barel	b a r ɛ l
bareyne	b a r i n
bareynnesse	b a r i n n ɛ s
bareynte	b a r i n t eː
bargayne	b a r ɡ æ i̯ n
bargaynen	b a r ɡ æ i̯ n ə n
bargaynynge	b a r ɡ æ i̯ n i n ɡ
barge	b a r d͡ʒ
bark	b a r k
barke	b a r k
barker	b a r k ə r
barkyn	b a r k ə n
barly	b a r l iː
barm	b a r m
barn	b a r n
barneschen	b a r n i ʃ ə n
barnhede	b a r n h ɛː d
barnles	b a r n l ɛ̝ː s
barntem	b a r n t ɛː m
baronie	b a r u n iː
baroun	b a r oː n
barow	b a r i u̯
barre	b a r
barren	b a r ə n
barrere	b a r eː r
barwe	b a r i u̯
bas	b a s
base	b a s
basilicke	b a s i l i k
basilicok	b a s i l i k ɔ k
basken	b a s k ə n
basket	b a s k ə t
bast	b a s t
bastard	b a s t a r d
bastardie	b a s t a r d iː
baston	b a s t u n
basyn	b aː s i n
basynet	b a s i n ɛ t
bat	b a t
batailloure	b a t i l uː r
batayle	b a t æ i̯ l
bataylen	b a t æ i̯ l ə n
bataylous	b a t i l uː s
bataylynge	b a t æ i̯ l i n ɡ
baten	b a t ə n
bateren	b a t r ə n
bath	b a θ
bathen	b aː ð ə n
bathynge	b aː ð i n ɡ
bature	b a t i u̯ r
baulen	b a u̯ l ə n
baundon	b a n d u n
baviere	b a v eː r
bawme	b a u̯ m
bawmen	b a u̯ m ə n
baysk	b æ i̯ s k
bayte	b æ i̯ t
bayten	b æ i̯ t ə n
baytynge	b æ i̯ t i n ɡ
be	b eː
beau	b ɛ u̯
beaute	b ɛ u̯ t eː
beautevous	b ɛ u̯ t eː uː s
beche	b eː t͡ʃ
bed	b ɛ d
bede	b œː d
bedeman	b ɛ d m a n
bedfelawe	b ɛ d f ɛ l a u̯
bedreden	b ɛ d r ɛː d ə
beem	b ɛ̝ː m
been	b eː n
bef	b eː f
beflugged	b i f l u ɡ ə d
beggen	b ɛ ɡ ə n
beggere	b ɛ ɡ ə r
beginnen	b i ɡ i n ə n
begreten	b i ɡ r eː t ə n
behove	b i h oː v
behoven	b i h oː v n
beken	b eː k ə n
bekenen	b ɛ k n ə n
bekenynge	b ɛ k n i n ɡ
bel	b ɛ l
belde	b eː l d
belden	b eː l d ə n
belwen	b ɛ l i u̯ iː
bely	b ɛ l iː
beme	b eː m
bemen	b eː m ə n
bemere	b eː m ə r
bendel	b ɛ n d ɛ l
bene	b eː n
benediccion	b ɛ n i d i k s i oː n
benedicite	b ɛ n d i s t eː
benigne	b ɛ n i n ɡ n
benignely	b ɛ n i n ɡ n l iː
benignite	b ɛ n i n ɡ n i t eː
benysoun	b ɛ n i z u n
ber	b eː r
berd	b ɛː r d
berde	b eː r d
berdles	b ɛ r d l ɛ̝ː s
bere	b ɛ̞ː r
berebynde	b ɛ̞ː r b i n d
beren	b ɛ̞ː r ə n
berewort	b ɛ̞ː r w u r t
berie	b ɛ r iː
beringe	b ɛː r i n ɡ
berken	b a r k ə n
berkere	b ɛ r k ə r
berkyng	b ɛ r k i n ɡ
berme	b a r m
bern	b a r n
berwen	b ɛ r w ə n
beryl	b ɛ r i l
besaunt	b ɛ z a n t
besme	b eː z m ə
best	b ɛ s t
bestayle	b ɛ s t a l
beste	b ɛ s t
bestely	b ɛ s t l iː
bestial	b ɛ s t i a l
bestially	b ɛ s t i a l iː
beswiken	b i s w iː k ə n
bet	b ɛ t
bete	b eː t
betel	b eː t ə l
beten	b eː t ə n
beteren	b ɛ t r ə n
beterynge	b ɛ t ə r i n ɡ
bethen	b ɛ ð ə n
bettre	b ɛ t r ə
bever	b ɛ v ə r
beverage	b ɛ v ə r a d͡ʒ
bewrien	b i w r iː ə n
beyle	b æ i̯ l
bible	b iː b ə l
bicaren	b i k aː r ə n
bicche	b i t͡ʃ
bidelven	b i d ɛ l v ə n
biden	b iː d ə n
bifallen	b i f a l ə n
biflowen	b i f l ɔ u̯ ə n
bifore	b i f ɔː r
biheste	b i h ɛ s t
biheve	b i h eː v
biholden	b i h aː l d
biholdere	b i h ɔ̝ː l d ə r
bileve	b i l eː v
bileven	b i l eː v ə n
bilewit	b i l ə h w iː t
binden	b i n d ə n
biqueste	b i k w ɛ s t
biquethen	b i k w ɛ̞ː ð ə n
birche	b i r k
bireven	b i r ɛ̝ː v ə n
biriel	b i r i ə l
biriels	b i r i l s
birien	b eː r iː
biriere	b i r i ə r
birlen	b i r l ə n
biryinge	b eː r i i n ɡ
birynesse	b eː r i n ɛ s
bischop	b i ʃ u p
bischophod	b i ʃ ɔ p h ɔː d
bischopriche	b i ʃ u p r i k
bisegen	b i s eː d͡ʒ ə n
bisemen	b i s eː m ə n
biside	b i s iː d
bisili	b i z i l iː
bisne	b i s n ə
bisquyte	b i s k w i t
bisy	b i z iː
bisynes	b i z i n ɛ s
bite	b eː t
biten	b i t eː n
biteon	b i t eː n
bitte	b i t
bitwixe	b i t w i k s
bityden	b i t iː d ə n
biveren	b eː v r ə
bivien	b i v j ə n
biwinnen	b i w i n ə n
biyete	b i j ɛː t
blad	b l a d
bladdre	b l a d r ə
bladdren	b l a d r ə n
blader	b l a d ə r
bladyn	b l aː d ə n
blak	b l a k
blakberie	b l a k b ɛ r iː
blame	b l aː m
blameable	b l aː m aː b ə l
blameful	b l aː m f u l
blameles	b l aː m l ɛ s
blamen	b l aː m ə n
blamer	b l aː m ə r
blamynge	b l aː m i n ɡ
blase	b l aː z
blasen	b l aː z ə n
blasfeme	b l a s f eː m
blasfemen	b l a s f eː m ə n
blasfemie	b l a s f ɛ m
blasfemour	b l a s f eː m ə r
blasfemynge	b l a s f eː m i n ɡ
blasoun	b l aː z u n
blast	b l a s t
blasten	b l a s t ə n
blechen	b l ɛː t͡ʃ ə n
blede	b l eː d
bleden	b l eː d ə n
blessen	b l i s ə n
bleten	b l ɛː t ə n
blew	b l i u̯
blewman	b l i u̯ m a n
bliken	b l i k ə n
blinnen	b i l i n ə n
blisful	b l i s f u l
blisse	b l i s
blissen	b l i s ə n
blo	b l aː
bloman	b l ɔ̝ː m a n
blome	b l oː m
blomen	b l oː m ə n
blomere	b l oː m ə r
blood	b l oː d
blosme	b l ɔ s m
blosmen	b l ɔ s m ə n
blosmy	b l ɔ s m iː
blow	b l a u̯
blowen	b l ɑ u̯
blowere	b l ɑ u̯ ə r
blowynge	b l ɑ u̯ i n ɡ
blynd	b l i n d
bocher	b u t͡ʃ eː r
bocherie	b u t͡ʃ ə r iː
bochous	b oː k h uː s
bocstaff	b oː k s t a f
bodeword	b oː d w oː r d
bodi	b ɔ d iː
boillen	b u i̯ l ə n
bok	b oː k
bokel	b u k ə l
boket	b u k ɛ t
bolde	b aː l d
bole	b oː l
bolster	b ɔ l s t ə r
bombard	b u m b a r d
bon	b aː n
bonchef	b ɔ n t ʃ eː f
bonde	b ɔ n d
bonden	b ɔ n d ə n
bonet	b ɔ n ɛ t
bonnefyre	b ɔ n f iː r
bonwort	b a n w u r t
boon	b oː n
bor	b aː r
bord	b oː r d
bordcloth	b oː r d k l ɔː θ
borden	b oː r d ə n
bordis	b u r d i s
bordure	b oː r d i u̯ r
bore	b ɔː r
borwage	b ɔ r w a d͡ʒ
borwe	b ɔ r i u̯
borwen	b ɔ r i u̯
borwere	b ɔ r i u̯ ə r
borweschipe	b ɔ r w ə ʃ i p
boryn	b ɔː r ə n
boryng	b ɔː r i n ɡ
bosom	b oː z u m
bost	b ɔː s t
bosten	b ɔː s t ə n
bot	b ɔ̝ː t
bote	b oː t
botel	b u t ə l
boteles	b oː t l ɛ̝ː s
botemles	b ɔ t ə m l ɛ̝ː s
boten	b oː t ə n
botere	b ɔ̝ː t ə r
boterflye	b u t ə r f l e i̯
boterie	b u t r i
botew	b oː t ɛ u̯
bothe	b aː θ
botme	b ɔ t ə m
botnen	b oː t n ə n
botnyng	b oː t n i n ɡ
botonen	b u t u n ə n
botoun	b u t u n
botyng	b oː t i n ɡ
bouk	b uː k
boun	b oː n
bounen	b uː n ə n
bounte	b uː n t eː
bountevous	b uː n t ɛ v u s
bour	b uː r
bourde	b uː r d
bourdeful	b uː r d f u l
bourden	b oː r d ə n
bourding	b uː r d i n ɡ
bourdour	b uː r d i uː r
bourdyng	b uː r d i n ɡ
bourne	b u r n
bousen	b uː z ə n
bowe	b ɔ u̯
bowen	b uː ə n
bowle	b uː l
box	b ɔ k s
boye	b ɔ i̯
brace	b r aː s
bracen	b r aː s ə n
bracer	b r aː s eː r
bragot	b r a k ə t
bran	b r a n
brand	b r a n d
branden	b r a n d ə n
brandire	b r a n d iː r
brandreth	b r a n d l ɛ d
bras	b r a s
brasen	b r a s ə n
brasiere	b r aː z i ə r
brasyng	b r aː s i n ɡ
braunche	b r a n t͡ʃ
braunchen	b r a n t͡ʃ ə n
braundischen	b r a u̯ n d i s ə n
brawne	b r a u̯ n
brawny	b r a u̯ n iː
brayen	b r æ i̯ ə n
brayle	b r æ i̯ l
brayn	b r æ i̯ n
braynen	b r æ i̯ n ə n
braynles	b r æ i̯ n l ɛ s
brayny	b r æ i̯ n iː
bred	b r ɛ̝ː d
brede	b r ɛ d
breden	b r eː d ə n
bredles	b r ɛ̝ː d l ɛ s
bredthe	b r ɛ̝ː d ð
bredynge	b r eː d i n ɡ
breeth	b r eː θ
bref	b r eː f
breid	b r eː d
breiden	b r eː d ə n
brekefast	b r ɛ k f a s t
breken	b r ɛ̞ː k ə n
brekere	b r ɛ̞ː k ə r
brembel	b r a m b ə l
brenne	b r i n
brennen	b eː r n ə n
brerd	b r eː r d
brere	b r eː r
brest	b r eː s t
bresten	b a r s t ə n
bretful	b r ɛ t f u l
brevely	b r eː f l iː
brewe	b r eː
brewen	b r i u̯ ə n
brewere	b r i u̯ ə r
brewestere	b r i u̯ s t r ə
brewhous	b r i u̯ h uː s
brewynge	b r i u̯ i n ɡ
breydynge	b r eː d i n ɡ
brid	b i r d
bridale	b r iː d a l
bride	b r iː d
bridegome	b r iː d ɡ oː m
bridel	b r iː d ə l
bridlen	b r iː d l ə n
brigge	b r i d͡ʒ
bringe	b r i n ɡ
brinke	b r i n k
brionie	b r iː a n
bristel	b r i s t ə l
broche	b r ɔː t͡ʃ
brochen	b r ɔː t͡ʃ ə n
brod	b r ɔː d
brom	b r oː m
broth	b r ɔ θ
brother	b r oː d ə r
brotherhede	b r oː ð ə r h ɔ̝ː d
brotherles	b r oː ð ə r l ɛ s
brotherly	b r oː ð ə r l iː
brotherwort	b r oː ð ə r w u r t
brouken	b r oː k ə n
broun	b r uː n
browe	b r uː
broylen	b r u i̯ l ə n
brunswyn	b r u n s w iː n
brustlen	b r u s t l ə n
bryke	b r i k
brym	b r i m
brymme	b r i m
brymston	b r i m s t ɔ̝ː n
bryne	b r iː n
bryngen	b r i n ɡ ə n
buffet	b u f ɛ t
buffeten	b u f ɛ t ə n
bukke	b u k
bukskyn	b u k s k i n
bulder	b u l d ə r
bullok	b u l ɔ k
bunne	b u n
burdoun	b u r d u n
burel	b u r ɛ l
burely	b u r l i t͡ʃ
burgage	b u r ɡ aː d͡ʒ
burnet	b u r n ɛ t
burst	b i r s t
bush	b u ʃ
busken	b u s k ə n
busshel	b u i̯ ʃ ɛ l
but	b u t
buter	b u t ə r
butte	b u t
buttry	b u t r iː
buxom	b u k s u m
buxomly	b u k s u m l iː
buxomnesse	b u k s u m n ɛ s
by	b i
byen	b i d͡ʒ ə n
bylden	b eː l d ə n
byldere	b eː l d ə r
byldynge	b i l d i n ɡ
bynde	b i n d
byndere	b i n d ə r
byndynge	b i n d i n ɡ
bynne	b i n
bypath	b iː p a θ
byword	b iː w oː r d
cable	k aː b l ə
caboche	k a b a d͡ʒ
cacchen	k a t͡ʃ ə n
cader	k a d ə r
cage	k aː d͡ʒ
caitif	k æ i̯ t i f
cake	k aː k
calch	k a l t͡ʃ
calf	k a l f
calketrappe	k a l k t r a p
callynge	k a l i n ɡ
calme	k a l m
calver	k a l v ə r
calwe	k a l i u̯
camel	k a m æ i̯ l
camper	k a m p ə r
campyng	k a m p i n ɡ
canape	k a n a p eː
candel	k a n d ə l
cane	k aː n
canel	k a n ɛ l
canevas	k a n v a s
canne	k a n
cannere	k a n ə r
canon	k a n oː n
canoun	k a n u n
cant	k a n t
