a	ɐ
abecedário	ɐ b e s e d ɐ ɾ i u
abecip	ɐ b e s i p
abecitrus	ɐ b e s i t ɾ uj s
abecs	ɐ b e k s
abed	ɐ b e d ʒ
abeiva	ɐ b ej v ɐ
abel	ɐ b ɛw
abelardo	ɐ b e l ɐ ʁ d u
abelha	ɐ b e ʎ ɐ
abelhas	ɐ b e ʎ ɐ s
abelhudo	ɐ b e ʎ u d u
abemd	ɐ b ẽ d ʒ
abençoada	ɐ b ẽ s o ɐ d ɐ
abençoado	ɐ b ẽ s o ɐ d u
abençoados	ɐ b ẽ s o ɐ d u s
abençoar	ɐ b ẽ s o ɐ ɹ
abençoe	ɐ b ẽ s o i
abercrombie	ɐ b e ɹ k ɾ õ b i
aberdeen	ɐ b e ʁ d e ẽ
abernéssia	ɐ b e ʁ n ɛ s i ɐ
aberrante	ɐ b e ʁ ɐ̃ t ʃ i
aberração	ɐ b e ʁ ɐ s ɐ̃w̃
aberrações	ɐ b e ʁ ɐ s õj̃ s
abert	ɐ b e ɹ t ʃ
aberta	ɐ b e ɹ t ɐ
abertamente	ɐ b e ɹ t ɐ m ẽ t ʃ i
abertas	ɐ b e ɹ t ɐ s
aberto	ɐ b e ɹ t u
abertos	ɐ b e ɹ t u s
abertura	ɐ b e ɹ t u ɾ ɐ
aberturas	ɐ b e ɹ t u ɾ ɐ s
abes	ɐ b i s
abf	ɐ b f
abi	ɐ b i
abia	ɐ b i ɐ
abic	ɐ b i k
abicalçados	ɐ b i k ɐw s ɐ d u s
abidiel	ɐ b i d ʒ i ɛw
abiec	ɐ b i e k
abifa	ɐ b i f ɐ
abifarma	ɐ b i f ɐ ʁ m ɐ
abifumo	ɐ b i f ũ m u
abigail	ɐ b i ɡ ɐj w
abigraf	ɐ b i ɡ ɾ ɐ f
abilio	ɐ b i l i u
abimael	ɐ b ĩ m ɐ ɛw
abimaq	ɐ b ĩ m ɐ k
abinee	ɐ b ĩ n e i
abiola	ɐ b i o l ɐ
abiove	ɐ b i o v i
abipla	ɐ b i p l ɐ
abiplast	ɐ b i p l ɐ s t ʃ
abiq	ɐ b i k
abiquim	ɐ b i k ĩ
abish	ɐ b i ʃ
abismado	ɐ b i z m ɐ d u
abismo	ɐ b i z m u
abismos	ɐ b i z m u s
abit	ɐ b i t ʃ
abitrigo	ɐ b i t ɾ i ɡ u
abkházia	ɐ b k ɐ z i ɐ
abl	ɐ b w
abn	ɐ b n
abnegado	ɐ b n e ɡ ɐ d u
abnegados	ɐ b n e ɡ ɐ d u s
abnegação	ɐ b n e ɡ ɐ s ɐ̃w̃
abnor	ɐ b n o ɹ
abnt	ɐ b n t ʃ
abobrinha	ɐ b o b ɾ ĩ ɲ ɐ
abobrinhas	ɐ b o b ɾ ĩ ɲ ɐ s
abocanha	ɐ b o k ɐ̃ ɲ ɐ
abocanhar	ɐ b o k ɐ ɲ ɐ ɹ
abocanhou	ɐ b o k ɐ ɲ ow
abole	ɐ b o l i
abolicionismo	ɐ b o l i s i o n i z m u
abolicionista	ɐ b o l i s i o n i s t ɐ
abolida	ɐ b o l i d ɐ
abolidas	ɐ b o l i d ɐ s
abolido	ɐ b o l i d u
abolidos	ɐ b o l i d u s
abolir	ɐ b o l i ɹ
aboliu	ɐ b o l iw
abolição	ɐ b o l i s ɐ̃w̃
abomina	ɐ b o m ĩ n ɐ
abominar	ɐ b o m ĩ n ɐ ɹ
abomináveis	ɐ b o m ĩ n ɐ v ej s
abominável	ɐ b o m ĩ n ɐ v ew
abono	ɐ b õ n u
abonos	ɐ b õ n u s
aborda	ɐ b o ʁ d ɐ
abordada	ɐ b o ʁ d ɐ d ɐ
abordadas	ɐ b o ʁ d ɐ d ɐ s
abordado	ɐ b o ʁ d ɐ d u
abordados	ɐ b o ʁ d ɐ d u s
abordagem	ɐ b o ʁ d ɐ ʒ ẽj̃
abordagens	ɐ b o ʁ d ɐ ʒ ẽ s
abordam	ɐ b o ʁ d ɐ̃w̃
abordando	ɐ b o ʁ d ɐ̃ d u
abordar	ɐ b o ʁ d ɐ ɹ
abordaram	ɐ b o ʁ d ɐ ɾ ɐ̃w̃
abordará	ɐ b o ʁ d ɐ ɾ ɐ
abordou	ɐ b o ʁ d ow
aboriginal	ɐ b o ɾ i ʒ ĩ n ɐw
aborrece	ɐ b o ʁ e s i
aborrecer	ɐ b o ʁ e s e ɹ
aborrecida	ɐ b o ʁ e s i d ɐ
aborrecido	ɐ b o ʁ e s i d u
aborrecidos	ɐ b o ʁ e s i d u s
aborrecimento	ɐ b o ʁ e s ĩ m ẽ t u
aborrecimentos	ɐ b o ʁ e s ĩ m ẽ t u s
abortada	ɐ b o ɹ t ɐ d ɐ
abortado	ɐ b o ɹ t ɐ d u
abortados	ɐ b o ɹ t ɐ d u s
abortar	ɐ b o ɹ t ɐ ɹ
aborto	ɐ b o ɹ t u
abortos	ɐ b o ɹ t u s
abortou	ɐ b o ɹ t ow
aborígenes	ɐ b o ɾ i ʒ e n i s
aborígines	ɐ b o ɾ i ʒ ĩ n i s
abotoadura	ɐ b o t o ɐ d u ɾ ɐ
abotoar	ɐ b o t o ɐ ɹ
abou	ɐ b ow
about	ɐ b ow t ʃ
above	ɐ b o v i
abpd	ɐ b p d ʒ
abr	ɐ b ɹ
abra	ɐ b ɾ ɐ
abrac	ɐ b ɾ ɐ k
abracaf	ɐ b ɾ ɐ k ɐ f
abraciclo	ɐ b ɾ ɐ s i k l u
abrad	ɐ b ɾ ɐ d ʒ
abradif	ɐ b ɾ ɐ d ʒ i f
abraham	ɐ b ɾ ɐ ɐ̃w̃
abrahams	ɐ b ɾ ɐ ɐ̃ s
abrahão	ɐ b ɾ ɐ ɐ̃w̃
abram	ɐ b ɾ ɐ̃w̃
abramczyk	ɐ b ɾ ɐ̃ k z i k
abramge	ɐ b ɾ ɐ̃ ʒ i
abramo	ɐ b ɾ ɐ̃ m u
abrams	ɐ b ɾ ɐ̃ s
abranches	ɐ b ɾ ɐ̃ ʃ i s
abrandamento	ɐ b ɾ ɐ̃ d ɐ m ẽ t u
abrandar	ɐ b ɾ ɐ̃ d ɐ ɹ
abrange	ɐ b ɾ ɐ̃ ʒ i
abrangem	ɐ b ɾ ɐ̃ ʒ ẽj̃
abrangendo	ɐ b ɾ ɐ̃ ʒ ẽ d u
abrangente	ɐ b ɾ ɐ̃ ʒ ẽ t ʃ i
abrangentes	ɐ b ɾ ɐ̃ ʒ ẽ t ʃ i s
abranger	ɐ b ɾ ɐ̃ ʒ e ɹ
abrangeu	ɐ b ɾ ɐ̃ ʒ ew
abrangia	ɐ b ɾ ɐ̃ ʒ i ɐ
abrangência	ɐ b ɾ ɐ̃ ʒ ẽ s i ɐ
abrantes	ɐ b ɾ ɐ̃ t ʃ i s
abrapp	ɐ b ɾ ɐ p p
abras	ɐ b ɾ ɐ s
abrasador	ɐ b ɾ ɐ z ɐ d o ɹ
abrasp	ɐ b ɾ ɐ s p
abravest	ɐ b ɾ ɐ v e s t ʃ
abraão	ɐ b ɾ ɐ ɐ̃w̃
abraça	ɐ b ɾ ɐ s ɐ
abraçada	ɐ b ɾ ɐ s ɐ d ɐ
abraçado	ɐ b ɾ ɐ s ɐ d u
abraçados	ɐ b ɾ ɐ s ɐ d u s
abraçam	ɐ b ɾ ɐ s ɐ̃w̃
abraçando	ɐ b ɾ ɐ s ɐ̃ d u
abraçar	ɐ b ɾ ɐ s ɐ ɹ
abraçaram	ɐ b ɾ ɐ s ɐ ɾ ɐ̃w̃
abraçava	ɐ b ɾ ɐ s ɐ v ɐ
abraço	ɐ b ɾ ɐ s u
abraços	ɐ b ɾ ɐ s u s
abraçou	ɐ b ɾ ɐ s ow
abraçá	ɐ b ɾ ɐ s ɐ
abre	ɐ b ɾ i
abrem	ɐ b ɾ ẽj̃
abreu	ɐ b ɾ ew
abreviar	ɐ b ɾ e v i ɐ ɹ
abreviatura	ɐ b ɾ e v i ɐ t u ɾ ɐ
abreviaturas	ɐ b ɾ e v i ɐ t u ɾ ɐ s
abreviação	ɐ b ɾ e v i ɐ s ɐ̃w̃
abri	ɐ b ɾ i
abria	ɐ b ɾ i ɐ
abriam	ɐ b ɾ i ɐ̃w̃
abricó	ɐ b ɾ i k ɔ
abridor	ɐ b ɾ i d o ɹ
abriga	ɐ b ɾ i ɡ ɐ
abrigadas	ɐ b ɾ i ɡ ɐ d ɐ s
abrigado	ɐ b ɾ i ɡ ɐ d u
abrigados	ɐ b ɾ i ɡ ɐ d u s
abrigam	ɐ b ɾ i ɡ ɐ̃w̃
abrigando	ɐ b ɾ i ɡ ɐ̃ d u
abrigar	ɐ b ɾ i ɡ ɐ ɹ
abrigará	ɐ b ɾ i ɡ ɐ ɾ ɐ
abrigava	ɐ b ɾ i ɡ ɐ v ɐ
abrigo	ɐ b ɾ i ɡ u
abrigos	ɐ b ɾ i ɡ u s
abrigou	ɐ b ɾ i ɡ ow
abril	ɐ b ɾ iw
abrimos	ɐ b ɾ ĩ m u s
abrin	ɐ b ɾ ĩ
abrindo	ɐ b ɾ ĩ d u
abrinq	ɐ b ɾ ĩ k
abrir	ɐ b ɾ i ɹ
abriram	ɐ b ɾ i ɾ ɐ̃w̃
abrirem	ɐ b ɾ i ɾ ẽj̃
abriria	ɐ b ɾ i ɾ i ɐ
abririam	ɐ b ɾ i ɾ i ɐ̃w̃
abrirá	ɐ b ɾ i ɾ ɐ
abrirão	ɐ b ɾ i ɾ ɐ̃w̃
abrisse	ɐ b ɾ i s i
abrissem	ɐ b ɾ i s ẽj̃
abriu	ɐ b ɾ iw
abro	ɐ b ɾ u
abrolhos	ɐ b ɾ o ʎ u s
abrupta	ɐ b ɾ u p t ɐ
abruptamente	ɐ b ɾ u p t ɐ m ẽ t ʃ i
abruptas	ɐ b ɾ u p t ɐ s
abrupto	ɐ b ɾ u p t u
abrãao	ɐ b ɾ ɐ̃ ɐw
abrão	ɐ b ɾ ɐ̃w̃
abs	ɐ b s
absaber	ɐ b s ɐ b e ɹ
absenteísmo	ɐ b s ẽ t e i z m u
absolut	ɐ b s o l u t ʃ
absoluta	ɐ b s o l u t ɐ
absolutamente	ɐ b s o l u t ɐ m ẽ t ʃ i
absolutas	ɐ b s o l u t ɐ s
absolutismo	ɐ b s o l u t ʃ i z m u
absoluto	ɐ b s o l u t u
absolutos	ɐ b s o l u t u s
absolve	ɐ b s ɔ w v i
absolver	ɐ b s ow v e ɹ
absolveram	ɐ b s ow v e ɾ ɐ̃w̃
absolveu	ɐ b s ow v ew
absolvida	ɐ b s ow v i d ɐ
absolvido	ɐ b s ow v i d u
absolvidos	ɐ b s ow v i d u s
absolvição	ɐ b s ow v i s ɐ̃w̃
absolvições	ɐ b s ow v i s õj̃ s
absorto	ɐ b s o ɹ t u
absorve	ɐ b s o ʁ v i
absorvem	ɐ b s o ʁ v ẽj̃
absorvendo	ɐ b s o ʁ v ẽ d u
absorvente	ɐ b s o ʁ v ẽ t ʃ i
absorventes	ɐ b s o ʁ v ẽ t ʃ i s
absorver	ɐ b s o ʁ v e ɹ
absorveram	ɐ b s o ʁ v e ɾ ɐ̃w̃
absorveu	ɐ b s o ʁ v ew
absorvida	ɐ b s o ʁ v i d ɐ
absorvidas	ɐ b s o ʁ v i d ɐ s
absorvido	ɐ b s o ʁ v i d u
absorvidos	ɐ b s o ʁ v i d u s
absorção	ɐ b s o ɹ s ɐ̃w̃
abstenção	ɐ b s t ẽ s ɐ̃w̃
abstenções	ɐ b s t ẽ s õj̃ s
abster	ɐ b s t e ɹ
absteve	ɐ b s t e v i
abstinência	ɐ b s t ʃ ĩ n ẽ s i ɐ
abstiveram	ɐ b s t ʃ i v e ɾ ɐ̃w̃
abstracionismo	ɐ b s t ɾ ɐ s i o n i z m u
abstraindo	ɐ b s t ɾ ɐ ĩ d u
abstrair	ɐ b s t ɾ ɐj ɹ
abstrata	ɐ b s t ɾ ɐ t ɐ
abstratas	ɐ b s t ɾ ɐ t ɐ s
abstrato	ɐ b s t ɾ ɐ t u
abstratos	ɐ b s t ɾ ɐ t u s
abstração	ɐ b s t ɾ ɐ s ɐ̃w̃
abstrações	ɐ b s t ɾ ɐ s õj̃ s
abstêmio	ɐ b s t e m i u
absurda	ɐ b s u ʁ d ɐ
absurdamente	ɐ b s u ʁ d ɐ m ẽ t ʃ i
absurdas	ɐ b s u ʁ d ɐ s
absurdo	ɐ b s u ʁ d u
absurdos	ɐ b s u ʁ d u s
absáber	ɐ b s ɐ b e ɹ
abt	ɐ b t ʃ
abu	ɐ b u
abud	ɐ b u d ʒ
abujamra	ɐ b u ʒ ɐ̃ ɾ ɐ
abukater	ɐ b u k ɐ t e ɹ
abulia	ɐ b u l i ɐ
abundam	ɐ b ũ d ɐ̃w̃
abundante	ɐ b ũ d ɐ̃ t ʃ i
abundantemente	ɐ b ũ d ɐ̃ t e m ẽ t ʃ i
abundantes	ɐ b ũ d ɐ̃ t ʃ i s
abundância	ɐ b ũ d ɐ̃ s i ɐ
aburto	ɐ b u ɹ t u
abusa	ɐ b u z ɐ
abusada	ɐ b u z ɐ d ɐ
abusado	ɐ b u z ɐ d u
abusam	ɐ b u z ɐ̃w̃
abusando	ɐ b u z ɐ̃ d u
abusar	ɐ b u z ɐ ɹ
abusaram	ɐ b u z ɐ ɾ ɐ̃w̃
abusarem	ɐ b u z ɐ ɾ ẽj̃
abuse	ɐ b u z i
abusiva	ɐ b u z i v ɐ
abusivamente	ɐ b u z i v ɐ m ẽ t ʃ i
abusivas	ɐ b u z i v ɐ s
abusividade	ɐ b u z i v i d ɐ d ʒ i
abusivo	ɐ b u z i v u
abusivos	ɐ b u z i v u s
abuso	ɐ b u z u
abusos	ɐ b u z u s
abusou	ɐ b u z ow
abutre	ɐ b u t ɾ i
abutres	ɐ b u t ɾ i s
abílio	ɐ b i l i u
abóbada	ɐ b ɔ b ɐ d ɐ
abóbora	ɐ b ɔ b o ɾ ɐ
abóboras	ɐ b ɔ b o ɾ ɐ s
ac	ɐ k
acaba	ɐ k ɐ b ɐ
acabada	ɐ k ɐ b ɐ d ɐ
acabadas	ɐ k ɐ b ɐ d ɐ s
acabado	ɐ k ɐ b ɐ d u
acabados	ɐ k ɐ b ɐ d u s
acabam	ɐ k ɐ b ɐ̃w̃
acabamento	ɐ k ɐ b ɐ m ẽ t u
acabamentos	ɐ k ɐ b ɐ m ẽ t u s
acabamos	ɐ k ɐ b ɐ̃ m u s
acabando	ɐ k ɐ b ɐ̃ d u
acabar	ɐ k ɐ b ɐ ɹ
acabara	ɐ k ɐ b ɐ ɾ ɐ
acabaram	ɐ k ɐ b ɐ ɾ ɐ̃w̃
acabarem	ɐ k ɐ b ɐ ɾ ẽj̃
acabaria	ɐ k ɐ b ɐ ɾ i ɐ
acabariam	ɐ k ɐ b ɐ ɾ i ɐ̃w̃
acabará	ɐ k ɐ b ɐ ɾ ɐ
acabarão	ɐ k ɐ b ɐ ɾ ɐ̃w̃
acabasse	ɐ k ɐ b ɐ s i
acabava	ɐ k ɐ b ɐ v ɐ
acabavam	ɐ k ɐ b ɐ v ɐ̃w̃
acabe	ɐ k ɐ b i
acabei	ɐ k ɐ b ej
acabem	ɐ k ɐ b ẽj̃
acabo	ɐ k ɐ b u
acabou	ɐ k ɐ b ow
acachapante	ɐ k ɐ ʃ ɐ p ɐ̃ t ʃ i
academia	ɐ k ɐ d e m i ɐ
academias	ɐ k ɐ d e m i ɐ s
academicismo	ɐ k ɐ d e m i s i z m u
academy	ɐ k ɐ d ẽ i
acadêmica	ɐ k ɐ d e m i k ɐ
acadêmicas	ɐ k ɐ d e m i k ɐ s
acadêmico	ɐ k ɐ d e m i k u
acadêmicos	ɐ k ɐ d e m i k u s
acalma	ɐ k ɐw m ɐ
acalmar	ɐ k ɐw m ɐ ɹ
acalmou	ɐ k ɐw m ow
acalmá	ɐ k ɐw m ɐ
acampadas	ɐ k ɐ̃ p ɐ d ɐ s
acampado	ɐ k ɐ̃ p ɐ d u
acampados	ɐ k ɐ̃ p ɐ d u s
acampamento	ɐ k ɐ̃ p ɐ m ẽ t u
acampamentos	ɐ k ɐ̃ p ɐ m ẽ t u s
acampar	ɐ k ɐ̃ p ɐ ɹ
acanhada	ɐ k ɐ ɲ ɐ d ɐ
acanhado	ɐ k ɐ ɲ ɐ d u
acapulco	ɐ k ɐ p u w k u
acarajé	ɐ k ɐ ɾ ɐ ʒ ɛ
acareação	ɐ k ɐ ɾ e ɐ s ɐ̃w̃
acari	ɐ k ɐ ɾ i
acariciando	ɐ k ɐ ɾ i s i ɐ̃ d u
acariciar	ɐ k ɐ ɾ i s i ɐ ɹ
acariciou	ɐ k ɐ ɾ i s i ow
acarreta	ɐ k ɐ ʁ e t ɐ
acarretam	ɐ k ɐ ʁ e t ɐ̃w̃
acarretando	ɐ k ɐ ʁ e t ɐ̃ d u
acarretar	ɐ k ɐ ʁ e t ɐ ɹ
acarretaria	ɐ k ɐ ʁ e t ɐ ɾ i ɐ
acarretará	ɐ k ɐ ʁ e t ɐ ɾ ɐ
acarretou	ɐ k ɐ ʁ e t ow
acasalamento	ɐ k ɐ z ɐ l ɐ m ẽ t u
acasalar	ɐ k ɐ z ɐ l ɐ ɹ
acaso	ɐ k ɐ z u
acasos	ɐ k ɐ z u s
acata	ɐ k ɐ t ɐ
acatada	ɐ k ɐ t ɐ d ɐ
acatadas	ɐ k ɐ t ɐ d ɐ s
acatado	ɐ k ɐ t ɐ d u
acatando	ɐ k ɐ t ɐ̃ d u
acatar	ɐ k ɐ t ɐ ɹ
acataram	ɐ k ɐ t ɐ ɾ ɐ̃w̃
acatará	ɐ k ɐ t ɐ ɾ ɐ
acate	ɐ k ɐ t ʃ i
acatou	ɐ k ɐ t ow
acbr	ɐ k b ɹ
acc	ɐ k k
accent	ɐ k s ẽ t ʃ
access	ɐ k s e s
accioly	ɐ k s i ow i
accolade	ɐ k k o l ɐ d ʒ i
accor	ɐ k k o ɹ
accord	ɐ k k o ʁ d ʒ
accorsi	ɐ k k o ɹ s i
accs	ɐ k k s
ace	ɐ s i
aceirar	ɐ s ej ɾ ɐ ɹ
aceiro	ɐ s ej ɾ u
aceita	ɐ s ej t ɐ
aceitado	ɐ s ej t ɐ d u
aceitam	ɐ s ej t ɐ̃w̃
aceitamos	ɐ s ej t ɐ m u s
aceitando	ɐ s ej t ɐ̃ d u
aceitar	ɐ s ej t ɐ ɹ
aceitaram	ɐ s ej t ɐ ɾ ɐ̃w̃
aceitarem	ɐ s ej t ɐ ɾ ẽj̃
aceitaremos	ɐ s ej t ɐ ɾ e m u s
aceitaria	ɐ s ej t ɐ ɾ i ɐ
aceitariam	ɐ s ej t ɐ ɾ i ɐ̃w̃
aceitará	ɐ s ej t ɐ ɾ ɐ
aceitarão	ɐ s ej t ɐ ɾ ɐ̃w̃
aceitas	ɐ s ej t ɐ s
aceitasse	ɐ s ej t ɐ s i
aceitava	ɐ s ej t ɐ v ɐ
aceitavam	ɐ s ej t ɐ v ɐ̃w̃
aceitação	ɐ s ej t ɐ s ɐ̃w̃
aceite	ɐ s ej t ʃ i
aceitei	ɐ s ej t ej
aceitem	ɐ s ej t ẽj̃
aceito	ɐ s ej t u
aceitos	ɐ s ej t u s
aceitou	ɐ s ej t ow
aceitá	ɐ s ej t ɐ
aceitáveis	ɐ s ej t ɐ v ej s
aceitável	ɐ s ej t ɐ v ew
acelera	ɐ s e l e ɾ ɐ
acelerada	ɐ s e l e ɾ ɐ d ɐ
aceleradamente	ɐ s e l e ɾ ɐ d ɐ m ẽ t ʃ i
aceleradas	ɐ s e l e ɾ ɐ d ɐ s
acelerado	ɐ s e l e ɾ ɐ d u
acelerador	ɐ s e l e ɾ ɐ d o ɹ
aceleradores	ɐ s e l e ɾ ɐ d o ɾ i s
acelerados	ɐ s e l e ɾ ɐ d u s
aceleram	ɐ s e l e ɾ ɐ̃w̃
acelerando	ɐ s e l e ɾ ɐ̃ d u
acelerar	ɐ s e l e ɾ ɐ ɹ
aceleraram	ɐ s e l e ɾ ɐ ɾ ɐ̃w̃
aceleração	ɐ s e l e ɾ ɐ s ɐ̃w̃
acelerações	ɐ s e l e ɾ ɐ s õj̃ s
acelere	ɐ s e l e ɾ i
acelerou	ɐ s e l e ɾ ow
acelga	ɐ s ɛw ɡ ɐ
acena	ɐ s ẽ n ɐ
acenado	ɐ s e n ɐ d u
acenam	ɐ s ẽ n ɐ̃w̃
acenando	ɐ s e n ɐ̃ d u
acenar	ɐ s e n ɐ ɹ
acenava	ɐ s e n ɐ v ɐ
acenda	ɐ s ẽ d ɐ
acende	ɐ s ẽ d ʒ i
acendem	ɐ s ẽ d ẽj̃
acendendo	ɐ s ẽ d ẽ d u
acender	ɐ s ẽ d e ɹ
acendeu	ɐ s ẽ d ew
acendia	ɐ s ẽ d ʒ i ɐ
aceno	ɐ s ẽ n u
acenos	ɐ s ẽ n u s
acenou	ɐ s e n ow
acento	ɐ s ẽ t u
acentos	ɐ s ẽ t u s
acentua	ɐ s ẽ t u ɐ
acentuada	ɐ s ẽ t u ɐ d ɐ
acentuadamente	ɐ s ẽ t u ɐ d ɐ m ẽ t ʃ i
acentuadas	ɐ s ẽ t u ɐ d ɐ s
acentuado	ɐ s ẽ t u ɐ d u
acentuados	ɐ s ẽ t u ɐ d u s
acentuam	ɐ s ẽ t u ɐ̃w̃
acentuando	ɐ s ẽ t u ɐ̃ d u
acentuar	ɐ s ẽ t u ɐ ɹ
acentuaram	ɐ s ẽ t u ɐ ɾ ɐ̃w̃
acentuação	ɐ s ẽ t u ɐ s ɐ̃w̃
acentuou	ɐ s ẽ t u ow
acepção	ɐ s e p s ɐ̃w̃
acepções	ɐ s e p s õj̃ s
acer	ɐ s e ɹ
