a	aː
bildche	p i l t ç ə
bilder	p i l t a
bingje	p i ŋ j ə
bingjebaam	p i ŋ j ə p ɔː m
bingjebeemche	p i ŋ j ə p eː m ç ə
biru	p i r u
blaat	p l ɔː t
blau	p l a ʊ̯
bletter	p l e t a
blud	p l uː t
blumm	p l u m
blumme	p l u m ə
bluse	p l uː s ə
blusje	p l u s j ə
boddem	p o r ə m
bohn	p oː n
bohne	p oː n ə
bolasch	p o l a ʃ
bolasche	p o l a ʃ ə
bolo	p o l o
bolos	p o l o s
boot	p oː t
bopp	p o p
borrich	p ɔ r i ç
borriche	p ɔ r i ç ə
brasil	p r a s iː l
braud	p r a ʊ̯ t
braun	p r a ʊ̯ n
brick	p r i k
brief	p r iː f
brieh	b r iː
brod	p r oː t
bruch	p r u x
brunne	p r u n ə
brust	p r u ʃ t
brësiliaaner	p r e s i l i ɔː n a
brësiliaanisch	p r e s i l i ɔː n i ʃ
bub	p uː p
buch	p u x
buger	p uː k ɐ
burgees	p u r k eː s
burgeese	p u r k eː s ə
burgeesin	p u r k eː s i n
buss	p u s
butter	p u t a
bäer	p ɛː a
bäerche	p ɛː a ç ə
bäre	p ɛː r ə
bärin	p ɛː r i n
bërinschela	p e r i n ʃ eː l a
bërinschelas	p e r i n ʃ eː l a s
casais	k a s a ɪ̯ s
casal	k a s a l
china	ʃ iː n a
chinees	ʃ i n eː s
chineese	ʃ i n eː s ə
cinema	s i n eː m a
codorna	kʰ o t ɔ n a
cogumelo	k o k u m eː l o
daa	t ɔː
daabheet	t ɔː p h eː t
daabheit	t ɔː p h a ɪ̯ t
daaf	t ɔː f
daafe	t ɔː f ə
daafel	t ɔː f l̩
daagh	t ɔː x
daal	t ɔː l
daarem	t ɔː r ə m
dach	t a x
dachs	t a k s
damm	t a m
damp	t a m p
dank	t a ŋ k
danke	t a ŋ k ə
dann	t a n
daume	t a ʊ̯ m ə
decher	t e ç a
deer	t eː a
deere	t eː r ə
deitsch	t a ɪ̯ t͡ʃ
deitschland	t a ɪ̯ t͡ʃ l a n t
deivel	t a ɪ̯ v l̩
demm	t ɛ m
dezember	t eː t͡s ɛ m p a
dier	t iː a
diere	t iː r ə
digraf	t i k r aː f
disch	t i ʃ
dochter	t o x t ɐ
dod	t oː t
dorn	t ɔ n
dorst	t ɔ ʃ t
doss	t o s
dossje	t o s j ə
draam	t r ɔː m
draum	t r a ʊ̯ m
dreen	t r eː n
dreim	t r a ɪ̯ m
dunkelblau	t u ŋ k ə l p l a ʊ̯
dunkelgrien	t u ŋ k l̩ k r iː n
dunkelheed	t u ŋ k ə l h eː t
ecker	e k a
eel	eː l
eesterreich	eː ʃ t ə r a ɪ̯ ç
effche	e f ç ə
eher	eː ɐ
eherlichkeet	eː ɐ l i ç kʰ eː t
eherlichkeit	eː ɐ l i ç kʰ a ɪ̯ t
eich	a ɪ̯ ç
eis	a ɪ̯ s
eise	a ɪ̯ s ə
england	ɛ ŋ l a n t
enn	ɛ n
enne	ɛ n ə
enner	ɛ n a
ent	ɛ n t
ente	ɛ n t ə
eppel	e p ə l
epple	e p l ə
erreb	ɛ r ə p
esponja	ə s p o n ʃ a
esse	e s ə
eu	ɔ ɪ̯
euer	ɔ ɪ̯ a
faan	f aː n
fabrick	f a p r i k
fakong	f a k ɔ ŋ
fallek	f a l ə k
fasaunhinkel	f a s a ʊ̯ n h i ŋ k ə l
fatter	f a t a
faust	f a ʊ̯ ʃ t
februa	f eː p r u aː
februer	f eː p r u a
feghel	f eː ç ə l
feier	f a ɪ̯ a
feilche	f a ɪ̯ l ç ə
feind	f a ɪ̯ n t
fenster	f ɛ n ʃ t a
fest	f e ʃ t
fetter	f e t a
fettre	f e t r ə
finger	f i ŋ a
finnland	f i n l a n t
fisch	f i ʃ
fleet	f l eː t
fliss	f l i s
fluss	f l u s
foghel	f oː x ə l
fohl	f oː l
forreb	f ɔ r ə p
forz	f ɔ t͡s
fraa	f r ɔː
fraae	f r ɔː ə
frankreich	f r a ŋ k r a ɪ̯ ç
franzeesisch	f r a n t͡s eː s i ʃ
franzoos	f r a n t͡s oː s
freind	f r a ɪ̯ n t
frihling	f r iː l i ŋ
froh	f r oː
frohe	f r oː ə
frucht	f r u x t
fuer	f uː a
fumm	f u m
fummstecker	f u m ʃ t e k a
fummstock	f u m ʃ t o k
fusball	f uː s p a l
gaarde	k ɔː t ə
gaas	k ɔː s
gans	k a n s
gaul	k a ʊ̯ l
gedrenk	k ə t r ɛ ŋ k
geel	k eː l
geld	k e l t
gelechenheed	k ə l e ç ə n h eː t
gelleb	k e l ə p
gellebrieb	k e l ə p r iː p
gemies	k ə m iː s
gescherr	k ə ʃ ɛ r
gesicht	k ə s i ç t
gesundheed	k ə s u n t h eː t
getter	k e t a
gettin	k e t i n
gewisse	k ə v i s ə
gift	k i f t
glaas	k l ɔː s
gleeser	k l eː s a
glick	k l i k
goiaab	k o j ɔː p
goiaave	k o j ɔː v ə
gold	k o l t
gott	k o t
graas	k r ɔː s
granitt	k r a n i t
graschaing	k r a ʃ a i ŋ
grau	k r a ʊ̯
grenz	k r ɛ n s
griecheland	k r iː ç ə l a n t
grien	k r iː n
gripp	k r i p
grummbeer	k r u m p eː a
grummbeere	k r u m p eː r ə
grund	k r u n t
gäärde	k ɛː t ə
haan	h ɔː n
hand	h a n t
handduch	h a n t t u x
hannes	h a n ə s
hans	h a n s
hauptstatt	h a u p t ʃ t a t
haus	h a ʊ̯ s
haut	h a ʊ̯ t
heft	h e f t
hehl	h eː l
hei	h a ɪ̯
hellblau	h ɛ l p l a ʊ̯
hellgrien	h e l k r iː n
hemm	h ɛ m
herr	h ɛ r
herrebst	h ɛ r ə p ʃ t
herz	h ɛ t͡s
hex	h e k s
hexenacht	h e k s ə n a x t
himd	h i m t
himmel	h i m ə l
hochzeit	h o x t͡s a ɪ̯ t
hospital	h o s p i t a l
hoss	h o s
hosse	h o s ə
hossje	h o s j ə
hund	h u n t
hundche	h u n t ç ə
hunger	h u ŋ a
hunn	h u n
hunsbucklisch	h u n s p u k l i ʃ
hunsrick	h u n s r i k
hunsrickisch	h u n s r i k i ʃ
india	i n t i a
indonesia	i n t o n eː s i a
insel	i n s ə l
insle	i n s l ə
internet	i n t ə n e t
israel	i s r a eː l
italia	i t a l i a
italje	i t a l j ə
jakob	j aː k o p
januer	j a n u a
jesus	j eː s u s
johannes	j o h a n ə s
joher	j oː ɐ
johreszeid	j oː r ə s t͡s a ɪ̯ t
juli	j uː l i
juni	j uː n i
kaaf	kʰ ɔː f
kaarer	kʰ ɔː r a
kabock	k a p o k
kacki	kʰ a k i
kackibaam	kʰ a k i p ɔː m
kaffi	kʰ a f i
kaiser	kʰ a ɪ̯ s a
kalenner	kʰ a l ɛ n a
kamiong	k a m i ɔ ŋ
kamm	kʰ a m
kamp	kʰ a m p
kanal	k a n a l
kanale	k a n a l ə
kanecker	kʰ a n e k a
kanett	k a n e t
kanette	k a n e t ə
kanon	k a n oː n
kanone	k a n oː n ə
kapital	kʰ a p i t aː l
kapitel	kʰ a p i t l̩
kapsel	kʰ a p s l̩
kapsle	kʰ a p s l ə
kapunge	k a p u ŋ k ə
karaa	kʰ a r ɔː
karett	k a r e t
karette	k a r e t ə
karre	kʰ a r ə
kartoffel	kʰ a t o f ə l
kartoffle	kʰ a t o f l ə
kaste	kʰ a ʃ t ə
katee	kʰ a t eː
katz	kʰ a t͡s
katze	kʰ a t͡s ə
katëe	kʰ a t eː ə
kech	k e x
keef	kʰ eː f
keefer	kʰ eː f ɐ
keenich	kʰ eː n i ç
keenichin	kʰ eː n i ç i n
kees	kʰ eː s
keim	kʰ a ɪ̯ m
keller	kʰ e l ɐ
kellich	kʰ e l i ç
kelt	kʰ e l t
kepp	kʰ e p
kerl	kʰ ɛ l
kerle	kʰ ɛ l ə
kern	kʰ ɛ n
kerne	kʰ ɛ n ə
kerner	kʰ ɛ n ɐ
kerreb	kʰ e r ə p
kerrich	kʰ ɛ r i ç
kerze	kʰ ɛ t͡s ə
kessel	kʰ e s l̩
kessle	kʰ e s l ə
kett	kʰ e t
kette	kʰ e t ə
kich	kʰ i ç
kiche	kʰ i ç ə
kih	kʰ iː
kilogramm	kʰ i l o k r a m
kilometer	kʰ i l o m eː t ɐ
kind	kʰ i n t
kinn	kʰ i n
kinner	kʰ i n ɐ
kiss	kʰ i s
kisse	kʰ i s ə
kist	kʰ i ʃ t
kiste	kʰ i ʃ t ə
kittel	kʰ i t ə l
klamm	k l a m
klamme	k l a m ə
klang	k l a ŋ
klarinett	k l a ɾ i n e t
klarinette	k l a r i n e t ə
klass	k l a s
klasse	k l a s ə
kleiderschrank	k l a ɪ̯ r ɐ ʃ r a ŋ k
kleng	k l e ŋ
kles	k l eː s
klingel	k l i ŋ l̩
klos	k l oː s
knall	k n a l
knecht	k n e ç t
knepp	k n e p
knie	k n iː
knipp	k n i p
knoche	k n o x ə
knopp	k n o p
knupp	kʰ n u p
knuppe	kʰ n u p ə
koch	k o x
koffer	kʰ o f ɐ
kohl	kʰ oː l
kohle	kʰ oː l ə
kokes	kʰ oː k ə s
kolonie	kʰ o l o n iː
komme	kʰ ɔ m ə
kommunion	kʰ o m u n i̯ oː n
kommunione	kʰ o m u n i̯ oː n ə
komputatoer	k o m p u t a t oː a
komputatore	k o m p u t a t oː r ə
konferenz	kʰ o n f ə r ɛ n t͡s
konferenze	kʰ o n f ə r ɛ n t͡s ə
konkurrenz	kʰ o ŋ k u r ɛ n t͡s
konkurrenze	kʰ o ŋ k u r ɛ n t͡s ə
konsum	k o n s uː m
kontinent	kʰ ɔ n t i n ɛ n t
kontinente	kʰ o n t i n ɛ n t ə
konto	kʰ o n t o
kopp	kʰ o p
korn	kʰ ɔ n
korreb	kʰ ɔ r ə p
korst	kʰ ɔ ʃ t
korste	kʰ ɔ ʃ t ə
kraan	k r ɔː n
krach	k r a x
kraft	k r a f t
krall	k r a l
kralle	k r a l ə
kramm	k r a m
krankehaus	k r a ŋ k ə h a ʊ̯ s
krankheed	k r a ŋ k h eː t
kranz	k r a n s
kraut	k r a ʊ̯ t
kravatt	k r a v a t
krebs	k r e p s
krech	k r e x
krees	k r eː s
kreft	k r e f t
kreh	k r eː
krem	k r eː m
kreme	k r eː m ə
kremp	k r ɛ m p
krempe	k r ɛ m p ə
krenz	k r ɛ n s
krenzje	k r ɛ n t͡s j ə
krepp	k r e p
kress	k r e s
kresse	k r e s ə
kriegh	k r iː ç
kripp	k r i p
krippe	k r i p ə
krist	k r i ʃ t
kristall	k r i ʃ t a l
kristalle	k r i ʃ t a l ə
krokodill	k ɾ o k o t i l
kron	k r oː n
krone	k r oː n ə
kropp	k r o p
kuh	kʰ uː
kuhmist	kʰ uː m i ʃ t
kuhstall	kʰ uː ʃ t a l
kui	kʰ u ɪ̯
kuiche	kʰ u ɪ̯ ç ə
kuie	kʰ u ɪ̯ ə
kulture	kʰ u l t uː r ə
kump	kʰ u m p
kunst	kʰ u n ʃ t
kupper	kʰ u p ɐ
kurve	kʰ u r v ə
kuss	kʰ u s
kuvert	kʰ u v ɛ t
käärer	kʰ ɛː r a
laab	l ɔː p
laade	l ɔː r ə
lache	l a x ə
lagartisch	l a k a t i ʃ
lagartische	l a k a t i ʃ ə
lagartischje	l a k a t i ʃ j ə
lamm	l a m
lamp	l a m p
lampe	l a m p ə
land	l a n t
landkaart	l a n t kʰ ɔː t
lanz	l a n s
lascheaate	l a ʃ e ɔː t ə
lascheaatemesich	l a ʃ e ɔː t ə m eː s i ç
lasse	l a s ə
latein	l a t a ɪ̯ n
laterne	l a t ɛ n ə
laus	l a ʊ̯ s
laut	l a ʊ̯ t
lecher	l e x ɐ
leeb	l eː p
leed	l eː t
leef	l eː f
leefer	l eː f ɐ
leer	l eː a
leere	l eː r ə
leerer	l eː r ɐ
leffel	l e f ə l
lehm	l eː m
lehn	l eː n
lehne	l eː n ə
leib	l a ɪ̯ p
lein	l a ɪ̯ n
leine	l a ɪ̯ n ə
leis	l a ɪ̯ s
leist	l a ɪ̯ ʃ t
leiste	l a ɪ̯ ʃ t ə
leit	l a ɪ̯ t
lendche	l ɛ n t ç ə
leng	l ɛ ŋ
lenge	l ɛ ŋ ə
lenner	l ɛ n a
lese	l eː s ə
leser	l eː s ɐ
letter	l e t a
leve	l eː v ə
lewer	l e v ɐ
licht	l i ç t
lichter	l i ç t a
lieb	l iː b
lied	l iː t
lieh	l iː
liehe	l iː ə
lieve	l iː v ə
lift	l i f t
lilje	l i l j ə
linje	l i n j ə
lins	l i n s
linse	l i n s ə
lipp	l i p
lippe	l i p ə
list	l i ʃ t
liste	l i ʃ t ə
litter	l i t ɐ
loch	l o x
lohn	l oː n
loja	l oː ʃ a
lojas	l oː ʃ a s
lotterie	l o t e r iː
luchs	l u k s
luft	l u f t
luftschiff	l u f t ʃ i f
lumpe	l u m p ə
lung	l u ŋ
lunge	l u ŋ ə
lupp	l u p
lust	l u ʃ t
lutscher	l u t͡ʃ ɐ
luxemborrich	l u k s ə m p ɔ r i ç
lämmer	l ɛ m ɐ
maai	m ɔː i
macher	m a x ɐ
makack	m a k a k
makacke	m a k a k ə
malaria	m a l aː r i a
malve	m a l v ə
mamma	m a m a
mammong	m a m ɔ ŋ
mammongbaam	m a m ɔ ŋ p ɔː m
manga	m a ŋ k a
mangabaam	m a ŋ k a p ɔː m
mangas	m a ŋ k a s
mange	m a ŋ k ə
maniok	m a n i oː k
mann	m a n
manschërikong	m a n ʃ e r i k ɔ ŋ
mantel	m a n t l̩
margarin	m a r k a r iː n
masch	m a ʃ
maschin	m a ʃ iː n
maschine	m a ʃ iː n ə
mask	m a ʃ k
maske	m a ʃ k ə
mass	m a s
masse	m a s ə
matematik	m a t e m a t iː k
material	m a t e r i aː l
materiale	m a t e r i aː l ə
matratze	m a t r a t͡s ə
matriculas	m a t r i k u l a s
matrikla	m a t r i k l a
matrikula	m a t r i k u l a
matsch	m a t͡ʃ
matt	m a t
matte	m a t ə
mauer	m a ʊ̯ a
maul	m a ʊ̯ l
maure	m a ʊ̯ r ə
maurer	m a ʊ̯ r a
maus	m a ʊ̯ s
med	m eː t
mede	m eː r ə
medizin	m e t i t͡s iː n
meel	m eː l
meen	m eː n
meer	m eː a
meere	m eː r ə
meergrien	m eː ɐ k r iː n
meiler	m a ɪ̯ l ɐ
meis	m a ɪ̯ s
meister	m a ɪ̯ ʃ t a
menner	m ɛ n a
mensch	m ɛ n ʃ
mentel	m e n t l̩
menz	m ɛ n s
merz	m ɛ t͡s
mess	m e s
messdiener	m e s t iː n a
messdienerin	m e s t iː n ə r i n
messe	m e s ə
messer	m e s a
meter	m eː t ɐ
meu	m ɔ ɪ̯
mexiko	m e k s i k o
mick	m i k
micke	m i k ə
miete	m iː t ə
mih	m iː
mihe	m iː ə
mihl	m iː l
mikrofon	m i k r o f oː n
milje	m i l j ə
miller	m i l a
millich	m i l i ç
millichflasch	m i l i ç f l a ʃ
millimeter	m i l i m eː t ɐ
million	m i l i̯ oː n
millione	m i l i̯ oː n ə
mils	m i l s
milse	m i l s ə
mineral	m i n ə r aː l
mineralwasser	m i n ə r aː l v a s a
minister	m i n i ʃ t ɐ
minutt	m i n u t
mission	m i s i̯ oː n
missione	m i s i̯ oː n ə
mist	m i ʃ t
mitglied	m i t k l iː t
mittach	m i t a x
mitte	m i t ə
mittelfinger	m i t l̩ f i ŋ ɐ
mitter	m i t a
mittwoch	m i t v o x
mitz	m i t͡s
mol	m oː
momente	m o m ɛ n t ə
monarkie	m o n a r k iː
monat	m oː n a t
monate	m oː n a t ə
mond	m oː n t
monde	m oː n t ə
mone	m oː n ə
montach	m oː n t a x
moos	m oː s
mos	m oː s
mote	m oː t ə
motoer	m o t oː a
motore	m o t oː r ə
moviment	m o v i m ɛ n t
mule	m uː l ə
mulunguh	m u l u ŋ k uː
mund	m u n t
munde	m u n t ə
munizipp	m u n i t͡s i p
muschel	m u ʃ ə l
muskel	m u ʃ k l̩
muskitt	m u ʃ k i t
muskitte	m u ʃ k i t ə
muster	m u ʃ t ɐ
mut	m uː t
mutter	m u t a
mëdalja	m e t a l j a
mëlon	m e l oː n
mërkaat	m e r k ɔː t
mërkaate	m e r k ɔː t ə
mëtall	m e t a l
naaghel	n ɔː x l̩
naame	n ɔː m e
naas	n ɔː s
naast	n ɔː ʃ t
nacht	n a x t
natuer	n a tʰ uː ɐ
nawel	n a ʊ̯ l̩
nazi	n aː t͡s i
nazion	n a t͡s i̯ oː n
nazione	n a t͡s i̯ oː n ə
nazismus	n a t͡s i s m u s
necht	n e ç t
ned	n eː t
neh	n eː
nehe	n eː ə
neher	n eː ɐ
neid	n a ɪ̯ t
neongrien	n eː ɔ n k r iː n
nest	n e ʃ t
netz	n e t͡s
newel	n e v l̩
nickel	n i k l̩
nier	n iː ɐ
niere	n iː r ə
niese	n iː s ə
niss	n i s
nist	n i ʃ t
nister	n i ʃ t ɐ
nitterlande	n i t a l a n t ə
nochber	n o x p a
nod	n oː t
norde	n ɔ t ə
nordkorea	n ɔ t kʰ o r eː a
not	n oː t
note	n oː t ə
notel	n oː t ə l
november	n oː v ɛ m p a
nummer	n u m a
nuss	n u s
nutel	n uː t l̩
nutze	n u t͡s ə
ochs	o k s
ochse	o k s ə
oder	oː r ɐ
ohre	oː r ə
oktover	o k t oː v a
oliv	o l iː f
olive	o l iː v ə
omelett	o m e l e t
onkel	ɔ ŋ k l̩
onnibus	ɔ n i p u s
ool	oː l
oostre	oː ʃ t r ə
ooze	oː t͡s ə
opfer	o p f ɐ
orde	ɔ t ə
ordnung	ɔ t n u ŋ
oste	o ʃ t ə
ove	oː v ə
ovend	oː m t
paar	pʰ ɔː
paater	pʰ ɔː t a
paliasse	p a l i̯ a s ə
pallem	pʰ a l ə m
palme	pʰ a l m ə
palëstina	p a l e ʃ t iː n a
pann	pʰ a n
panne	pʰ a n ə
panz	pʰ a n s
papier	p a p iː ɐ
papiere	p a p iː r ə
paranaa	p a r a n ɔː
parent	p a r ɛ n t
parente	p a r ɛ n t ə
pasda	p a s t a
patent	p a t ɛ n t
patente	p a t ɛ n t ə
patt	pʰ a t
pausa	p a ʊ̯ s a
pause	p a ʊ̯ s ə
peck	pʰ e k
peepst	pʰ eː p ʃ t
peffer	pʰ e f ɐ
peffermenz	pʰ e f ɐ m ɛ n s
peif	pʰ a ɪ̯ f
peil	pʰ a ɪ̯ l
peiler	pʰ a ɪ̯ l ɐ
pein	pʰ a ɪ̯ n
peine	pʰ a ɪ̯ n ə
perl	pʰ ɛ l
perle	pʰ ɛ l ə
persche	pʰ ɛ ʃ ə
person	pʰ ɛ s oː n
persone	pʰ ɛ s oː n ə
pest	pʰ e ʃ t
piano	p i a n o
pianos	p i a n o s
piff	pʰ i f
pihl	pʰ iː l
pill	pʰ i l
pille	pʰ i l ə
pinguin	pʰ i ŋ k u iː n
pisin	p i s iː n
piss	pʰ i s
pitange	p i t a ŋ k ə
pitangebaam	p i t a ŋ k ə p ɔː m
pitsch	pʰ i t͡ʃ
pizza	p i t͡s a
pizzas	p i t͡s a s
planet	p l a n eː t
planete	p l a n eː t ə
planz	p l a n s
platte	p l a t ə
platz	p l a t͡s
pnëu	p n e ʊ̯
polack	p o l a k
polacke	p o l a k ə
pole	pʰ oː l ə
polente	p o l ɛ n t ə
politik	p o l i t iː k
politiker	p o l iː t i k ɐ
pomata	p o m aː t a
portugal	p o r t u k a l
portugees	p o r t u k eː s
portugeese	p o r t u k eː s ə
portugies	p o r t u k iː s
portugiese	p o r t u k iː s ə
portugiesin	p o r t u k iː s i n
portugiesisch	p o r t u k iː s i ʃ
possdeantes	pʰ o s t ə a n t ə s
poste	pʰ o ʃ t ə
praia	p r a ɪ̯ a
praias	p r a ɪ̯ a s
preis	p r a ɪ̯ s
preso	p r eː s o
priester	p r iː ʃ t a
prim	p r iː m
prime	p r iː m ə
prinz	p r i n s
prinzessin	p r i n t͡s e s i n
prisong	p r i s ɔ ŋ
problem	p r o p l eː m
profeet	p r o f eː t
pronome	p r o n oː m ə
prozent	p r o t͡s ɛ n t
prozess	p r o t͡s e s
prunkel	p r u ŋ k ə l
puff	pʰ u f
puffe	pʰ u f ə
puhl	pʰ uː l
puliss	p u l i s
pulisse	p u l i s ə
pulver	pʰ u l v ɐ
pumpe	pʰ u m p ə
punkt	pʰ u ŋ k t
putsch	pʰ u t͡ʃ
putting	p u t i ŋ
quarz	k w a t͡s
quatti	k w a t iː
quelle	k w e l ə
radio	r aː t i̯ o
radios	r aː t i̯ o s
rand	r a n t
rang	r a ŋ
range	r a ŋ ə
rangel	r a ŋ ə l
ransch	r a n ʃ
ranschegelleb	r a n ʃ ə k e l ə p
rass	r a s
rasse	r a s ə
ratt	r a t
ratte	r a t ə
raub	r a ʊ̯ p
raucher	r a ʊ̯ x a
raum	r a ʊ̯ m
raume	r a ʊ̯ m ə
reb	r eː p
rechnung	r e ç n u ŋ
recht	r e ç t
reck	r e k
rees	r eː s
reese	r eː s ə
reh	r eː
rehn	r eː n
rei	r a ɪ̯
reif	r a ɪ̯ f
reim	r a ɪ̯ m
reis	r a ɪ̯ s
renner	r e n ɐ
rest	r e ʃ t
rester	r e ʃ t ɐ
retter	r e t ɐ
rettung	r e t u ŋ
richter	r i ç t ɐ
richtung	r i ç t u ŋ
ricke	r i k ə
rind	r i n t
rindfleisch	r i n t f l a ɪ̯ ʃ
ring	r i ŋ
ringfinger	r i ŋ f i ŋ a
rinner	r i n ɐ
rio	r iː o
rios	r iː o s
ripp	r i p
rippe	r i p ə
riss	r i s
ritz	r i t͡s
ritze	r i t͡s ə
rock	r o k
rod	r oː t
rodomee	r o t o m eː
rodwein	r oː t v a ɪ̯ n
roll	r o l
rolle	r o l ə
ros	r oː s
rosch	r o ʃ
rose	r oː s ə
rosell	r o s e l
roselle	r o s e l ə
roserod	r oː z ə r oː t
ross	r o s
rosse	r o s ə
rost	r o ʃ t
rotz	r o t͡s
ruf	r uː f
ruh	r uː
ruin	r u i n
ruine	r u i n ə
russ	r u s
russe	r u s ə
russland	r u s l a n t
rut	r uː t
rute	r uː t ə
rëghierung	r e ç iː r u ŋ
rëghion	r e ç i oː n
rëghione	r e ç i oː n ə
rëlighion	r e l i ç i̯ o n
rëmorss	r e m ɔ s
sach	s a x
sache	s a x ə
sack	s a k
sacolas	s a k o l a s
safran	s a f r a n
sakrament	s a k r a m ɛ n t
sals	s a l s
salse	s a l s e
sammlung	s a m l u ŋ
sand	s a n t
sandaalja	s a n t ɔː l j a
sandfloh	s a n t f l oː
sardin	s a t iː n
sardine	s a t iː n ə
satellit	s a t ə l iː t
satellite	s a t ə l iː t ə
sattel	s a t l̩
satz	s a t͡s
sau	s a ʊ̯
sauer	s a ʊ̯ a
saure	s a ʊ̯ r ə
scha	ʃ aː
schaal	ʃ ɔː l
schaam	ʃ ɔː m
schabuticaave	ʃ a p u t i k ɔː v ə
schabutikaab	ʃ a p u t i k ɔː p
schach	ʃ a x
schachtel	ʃ a x t ə l
schakaree	ʃ a k a r eː
schakoh	ʃ a k oː
schakrakack	ʃ a k r a k a k
schakrakacke	ʃ a k r a k a k ə
schall	ʃ a l
schaponees	ʃ a p o n eː s
schaponeese	ʃ a p o n eː s ə
schapong	ʃ a p ɔ ŋ
scharack	ʃ a r a k
scharacke	ʃ a r a k ə
schatte	ʃ a t ə
schatz	ʃ a t͡s
schaum	ʃ a ʊ̯ m
scheed	ʃ eː t
scheele	ʃ eː l ə
schein	ʃ a ɪ̯ n
scheis	ʃ a ɪ̯ s
schell	ʃ e l
schelle	ʃ e l ə
schenker	ʃ ɛ ŋ k ɐ
scherz	ʃ ɛ t͡s
scherze	ʃ ɛ t͡s ə
sches	ʃ eː s
schesje	ʃ e s j ə
schetz	ʃ e t͡s
schicht	ʃ i ç t
schichte	ʃ i ç t ə
schiff	ʃ i f
schild	ʃ i l t
schiller	ʃ i l a
schimarong	ʃ i m a r ɔ ŋ
schipp	ʃ i p
schippe	ʃ i p ə
schiraff	ʃ i r a f
schiraffe	ʃ i r a f ə
schiss	ʃ i s
schissel	ʃ i s l̩
schisser	ʃ i s ɐ
schissle	ʃ i s l ə
schlaa	ʃ l ɔː
schlachtung	ʃ l a x t u ŋ
schlang	ʃ l a ŋ
schlange	ʃ l a ŋ ə
schlapp	ʃ l a p
schlappe	ʃ l a p ə
schleier	ʃ l a ɪ̯ a
schleim	ʃ l a ɪ̯ m
schlepp	ʃ l e p
schlesser	ʃ l e s a
schlick	ʃ l i k
schlitz	ʃ l i t͡s
schlitze	ʃ l i t͡s ə
schlof	ʃ l oː f
schloss	ʃ l o s
schlott	ʃ l o t
schluck	ʃ l u k
schmetterling	ʃ m e t ɐ l i ŋ
schmier	ʃ m iː ɐ
schmitt	ʃ m i t
schmuck	ʃ m u k
schmutz	ʃ m u t͡s
schnall	ʃ n a l
schnalle	ʃ n a l ə
schnaps	ʃ n a p s
schneck	ʃ n e k
schnecke	ʃ n e k ə
schnee	ʃ n eː
