a	aː
dunkelblau	t u ŋ k ə l p l a ʊ̯
dunkelgrien	t u ŋ k l̩ k r iː n
dunkelheed	t u ŋ k ə l h eː t
där	t ɛː
eb	eː p
ecker	e k a
eel	eː l
een	eː n
eenem	eː n ə m
eener	eː n a
eer	eː ɐ
eesterreich	eː ʃ t ə r a ɪ̯ ç
effche	e f ç ə
eher	eː ɐ
eherlich	eː ɐ l i ç
eherlichkeet	eː ɐ l i ç kʰ eː t
eherlichkeit	eː ɐ l i ç kʰ a ɪ̯ t
eich	a ɪ̯ ç
eis	a ɪ̯ s
eise	a ɪ̯ s ə
ellef	e l ə f
en	eː n
england	ɛ ŋ l a n t
enn	ɛ n
enne	ɛ n ə
enner	ɛ n a
ennre	ɛ n r ə
ent	ɛ n t
ente	ɛ n t ə
eppel	e p ə l
epple	e p l ə
er	ɛ ɐ
erreb	ɛ r ə p
es	e s
esponja	ə s p o n ʃ a
esse	e s ə
eu	ɔ ɪ̯
euer	ɔ ɪ̯ a
faan	f aː n
faare	f ɔː r ə
faarichsjoher	f ɔː r i ç s j oː a
fabrick	f a p r i k
fakong	f a k ɔ ŋ
fallek	f a l ə k
fasaunhinkel	f a s a ʊ̯ n h i ŋ k ə l
fatter	f a t a
faul	f a ʊ̯ l
faust	f a ʊ̯ ʃ t
februa	f eː p r u aː
februer	f eː p r u a
feghel	f eː ç ə l
feier	f a ɪ̯ a
feilche	f a ɪ̯ l ç ə
feind	f a ɪ̯ n t
fenster	f ɛ n ʃ t a
ferbasse	f ɐ p a s ə
ferzen	f ɛ t͡s ə n
fest	f e ʃ t
fetter	f e t a
fettre	f e t r ə
fiel	f iː l
fier	f iː a
finger	f i ŋ a
finnef	f i n ə f
finnefzen	f i n ə f t͡s n̩
finnland	f i n l a n t
fisch	f i ʃ
fix	f i k s
fixe	f i k s ə
fixem	f i k s ə m
fixer	f i k s a
fixes	f i k s ə s
fixest	f i k s ə ʃ t
fleet	f l eː t
fliss	f l i s
fluss	f l u s
foghel	f oː x ə l
fohl	f oː l
forreb	f ɔ r ə p
forz	f ɔ t͡s
fraa	f r ɔː
fraae	f r ɔː ə
frankreich	f r a ŋ k r a ɪ̯ ç
franzeesisch	f r a n t͡s eː s i ʃ
franzoos	f r a n t͡s oː s
freind	f r a ɪ̯ n t
freiwillich	f r a ɪ̯ v i l i ç
fresse	f r e s ə
frihling	f r iː l i ŋ
froh	f r oː
frohe	f r oː ə
frucht	f r u x t
fuer	f uː a
fufzen	f u f t͡s ə n
fum	f u m
fumm	f u m
fummstecker	f u m ʃ t e k a
fummstock	f u m ʃ t o k
fun	f u n
fusball	f uː s p a l
gaarde	k ɔː t ə
gaas	k ɔː s
gans	k a n s
gaul	k a ʊ̯ l
gedrenk	k ə t r ɛ ŋ k
geel	k eː l
gehn	k eː n
geld	k e l t
gelechenheed	k ə l e ç ə n h eː t
gelleb	k e l ə p
gellebrieb	k e l ə p r iː p
gemies	k ə m iː s
gern	k ɛ n
gescherr	k ə ʃ ɛ r
gesetzlich	k ə s e t͡s l i ç
gesicht	k ə s i ç t
gester	k e ʃ t a
gesund	k ə s u n t
gesundheed	k ə s u n t h eː t
getter	k e t a
gettin	k e t i n
gewisse	k ə v i s ə
gezwung	k ə t͡s v u ŋ
gift	k i f t
glaas	k l ɔː s
glaave	k l ɔː v ə
gleeser	k l eː s a
glick	k l i k
glicklich	k l i k l i ç
goiaab	k o j ɔː p
goiaave	k o j ɔː v ə
gold	k o l t
gott	k o t
graas	k r ɔː s
granitt	k r a n i t
graschaing	k r a ʃ a i ŋ
grau	k r a ʊ̯
grenz	k r ɛ n s
griecheland	k r iː ç ə l a n t
grien	k r iː n
gripp	k r i p
gros	k r oː s
grummbeer	k r u m p eː a
grummbeere	k r u m p eː r ə
grund	k r u n t
grávida	k r aː v i t a
gucke	k u k ə
gud	k uː t
gude	k uː t ə
gäärde	k ɛː t ə
haan	h ɔː n
hand	h a n t
handduch	h a n t t u x
hannes	h a n ə s
hans	h a n s
hauptstatt	h a u p t ʃ t a t
haus	h a ʊ̯ s
haut	h a ʊ̯ t
heft	h e f t
hehl	h eː l
hei	h a ɪ̯
heilich	h a ɪ̯ l i ç
heit	h a ɪ̯ t
hellblau	h ɛ l p l a ʊ̯
hellfe	h e l f ə
hellgrien	h e l k r iː n
hemm	h ɛ m
herr	h ɛ r
herrebst	h ɛ r ə p ʃ t
herz	h ɛ t͡s
hesslich	h e s l i ç
hex	h e k s
hexenacht	h e k s ə n a x t
hie	h iː
hier	h iː a
himd	h i m t
himmel	h i m ə l
hochzeit	h o x t͡s a ɪ̯ t
hon	h ɔ n
hospital	h o s p i t a l
hoss	h o s
hosse	h o s ə
hossje	h o s j ə
hund	h u n t
hundche	h u n t ç ə
hunger	h u ŋ a
hunn	h u n
hunnerd	h u n a t
hunsbucklisch	h u n s p u k l i ʃ
hunsrick	h u n s r i k
hunsrickisch	h u n s r i k i ʃ
ich	i ç
ihm	iː m
ihn	iː n
ihns	iː n s
immer	i m a
india	i n t i a
indonesia	i n t o n eː s i a
insel	i n s ə l
insle	i n s l ə
internet	i n t ə n e t
israel	i s r a eː l
italia	i t a l i a
italje	i t a l j ə
iwich	i v i ç
jakob	j aː k o p
januer	j a n u a
jesus	j eː s u s
johannes	j o h a n ə s
joher	j oː ɐ
johreszeid	j oː r ə s t͡s a ɪ̯ t
juli	j uː l i
juni	j uː n i
kaaf	kʰ ɔː f
kaarer	kʰ ɔː r a
kabock	k a p o k
kacki	kʰ a k i
kackibaam	kʰ a k i p ɔː m
kaffi	kʰ a f i
kaiser	kʰ a ɪ̯ s a
kalenner	kʰ a l ɛ n a
kamiong	k a m i ɔ ŋ
kamm	kʰ a m
kamp	kʰ a m p
kanal	k a n a l
kanale	k a n a l ə
kanecker	kʰ a n e k a
kanett	k a n e t
kanette	k a n e t ə
kanon	k a n oː n
kanone	k a n oː n ə
kapital	kʰ a p i t aː l
kapitel	kʰ a p i t l̩
kapsel	kʰ a p s l̩
kapsle	kʰ a p s l ə
kapunge	k a p u ŋ k ə
karaa	kʰ a r ɔː
karett	k a r e t
karette	k a r e t ə
karre	kʰ a r ə
kartoffel	kʰ a t o f ə l
kartoffle	kʰ a t o f l ə
kaste	kʰ a ʃ t ə
katee	kʰ a t eː
katz	kʰ a t͡s
katze	kʰ a t͡s ə
katëe	kʰ a t eː ə
kaue	kʰ a ʊ̯ ə
kech	k e x
keef	kʰ eː f
keefer	kʰ eː f ɐ
keen	kʰ eː n
keenich	kʰ eː n i ç
keenichin	kʰ eː n i ç i n
kees	kʰ eː s
keim	kʰ a ɪ̯ m
keime	kʰ a ɪ̯ m ə
keller	kʰ e l ɐ
kellich	kʰ e l i ç
kelt	kʰ e l t
kemme	kʰ ɛ m ə
kenne	kʰ ɛ n ə
kepp	kʰ e p
kerl	kʰ ɛ l
kerle	kʰ ɛ l ə
kern	kʰ ɛ n
kerne	kʰ ɛ n ə
kerner	kʰ ɛ n ɐ
kerreb	kʰ e r ə p
kerrich	kʰ ɛ r i ç
kerze	kʰ ɛ t͡s ə
kessel	kʰ e s l̩
kessle	kʰ e s l ə
kett	kʰ e t
kette	kʰ e t ə
kich	kʰ i ç
kiche	kʰ i ç ə
kiel	kʰ iː l
kiele	kʰ iː l ə
kih	kʰ iː
kilogramm	kʰ i l o k r a m
kilometer	kʰ i l o m eː t ɐ
kind	kʰ i n t
kinn	kʰ i n
kinner	kʰ i n ɐ
kiss	kʰ i s
kisse	kʰ i s ə
kist	kʰ i ʃ t
kiste	kʰ i ʃ t ə
kittel	kʰ i t ə l
kitzle	kʰ i t͡s l ə
klamm	k l a m
klamme	k l a m ə
klang	k l a ŋ
klappre	k l a p r ə
klarinett	k l a ɾ i n e t
klarinette	k l a r i n e t ə
klass	k l a s
klasse	k l a s ə
klatsche	k l a t͡ʃ ə
kleen	k l eː n
kleene	k l eː n ə
kleener	k l eː n a
kleenest	k l eː n ə ʃ t
kleiderschrank	k l a ɪ̯ r ɐ ʃ r a ŋ k
klemme	k l ɛ m ə
kleng	k l e ŋ
kles	k l eː s
klettre	k l e t r ə
klingel	k l i ŋ l̩
kloppe	k l o p ə
klos	k l oː s
knall	k n a l
knapp	k n a p
knecht	k n e ç t
knepp	k n e p
kneppe	k n e p ə
knie	k n iː
knipp	k n i p
knippe	k n i p ə
knoche	k n o x ə
knopp	k n o p
knupp	kʰ n u p
knuppe	kʰ n u p ə
koch	k o x
koche	kʰ o x ə
koffer	kʰ o f ɐ
kohl	kʰ oː l
kohle	kʰ oː l ə
kokes	kʰ oː k ə s
kolonie	kʰ o l o n iː
komisch	kʰ oː m i ʃ
komme	kʰ ɔ m ə
kommunion	kʰ o m u n i̯ oː n
kommunione	kʰ o m u n i̯ oː n ə
komputatoer	k o m p u t a t oː a
komputatore	k o m p u t a t oː r ə
konferenz	kʰ o n f ə r ɛ n t͡s
konferenze	kʰ o n f ə r ɛ n t͡s ə
konfus	kʰ o n f uː s
konkurrenz	kʰ o ŋ k u r ɛ n t͡s
konkurrenze	kʰ o ŋ k u r ɛ n t͡s ə
konsum	k o n s uː m
konsumiere	k o n s u m iː r ə
kontinent	kʰ ɔ n t i n ɛ n t
kontinente	kʰ o n t i n ɛ n t ə
konto	kʰ o n t o
kopp	kʰ o p
korn	kʰ ɔ n
korreb	kʰ ɔ r ə p
korst	kʰ ɔ ʃ t
korste	kʰ ɔ ʃ t ə
korz	kʰ ɔ t͡s
koste	kʰ o ʃ t ə
kotze	kʰ o t͡s ə
kraan	k r ɔː n
krach	k r a x
krache	k r a x ə
kraft	k r a f t
krall	k r a l
kralle	k r a l ə
kramm	k r a m
krank	k r a ŋ k
krankehaus	k r a ŋ k ə h a ʊ̯ s
krankheed	k r a ŋ k h eː t
kranz	k r a n s
kratze	k r a t͡s ə
kraule	k r a ʊ̯ l ə
kraut	k r a ʊ̯ t
kravatt	k r a v a t
krebs	k r e p s
krech	k r e x
krees	k r eː s
kreft	k r e f t
kreh	k r eː
kreische	k r a ɪ̯ ʃ ə
krem	k r eː m
kreme	k r eː m ə
kremp	k r ɛ m p
krempe	k r ɛ m p ə
krenz	k r ɛ n s
krenzje	k r ɛ n t͡s j ə
krepp	k r e p
kress	k r e s
kresse	k r e s ə
kriegh	k r iː ç
kripp	k r i p
krippe	k r i p ə
krist	k r i ʃ t
kristall	k r i ʃ t a l
kristalle	k r i ʃ t a l ə
kritisch	k r iː t i ʃ
kritisiere	k r i t i s iː r ə
krokodill	k ɾ o k o t i l
kron	k r oː n
krone	k r oː n ə
kropp	k r o p
kuh	kʰ uː
kuhmist	kʰ uː m i ʃ t
kuhstall	kʰ uː ʃ t a l
kui	kʰ u ɪ̯
kuiche	kʰ u ɪ̯ ç ə
kuie	kʰ u ɪ̯ ə
kulture	kʰ u l t uː r ə
kump	kʰ u m p
kumplett	kʰ u m p l e t
kunst	kʰ u n ʃ t
kupper	kʰ u p ɐ
kurve	kʰ u r v ə
kuss	kʰ u s
kuvert	kʰ u v ɛ t
käärer	kʰ ɛː r a
laab	l ɔː p
laade	l ɔː r ə
laafe	l ɔː f ə
laam	l ɔː m
lache	l a x ə
lagartisch	l a k a t i ʃ
lagartische	l a k a t i ʃ ə
lagartischje	l a k a t i ʃ j ə
lamm	l a m
lamp	l a m p
lampe	l a m p ə
land	l a n t
lande	l a n t ə
landkaart	l a n t kʰ ɔː t
lang	l a ŋ
lanz	l a n s
lascheaate	l a ʃ e ɔː t ə
lascheaatemesich	l a ʃ e ɔː t ə m eː s i ç
lasse	l a s ə
latein	l a t a ɪ̯ n
lateinisch	l a t a ɪ̯ n i ʃ
laterne	l a t ɛ n ə
laus	l a ʊ̯ s
laut	l a ʊ̯ t
lecher	l e x ɐ
lechle	l e ç l ə
lecke	l e k ə
leeb	l eː p
leed	l eː t
leef	l eː f
leefer	l eː f ɐ
leen	l eː n
leer	l eː a
leere	l eː r ə
leerer	l eː r ɐ
leffel	l e f ə l
lehe	l eː ə
lehm	l eː m
lehn	l eː n
lehne	l eː n ə
leib	l a ɪ̯ p
leicht	l a ɪ̯ ç t
leide	l a ɪ̯ r ə
leider	l a ɪ̯ t ɐ
leie	l a ɪ̯ ə
lein	l a ɪ̯ n
leine	l a ɪ̯ n ə
leis	l a ɪ̯ s
leist	l a ɪ̯ ʃ t
leiste	l a ɪ̯ ʃ t ə
leit	l a ɪ̯ t
lendche	l ɛ n t ç ə
leng	l ɛ ŋ
lenge	l ɛ ŋ ə
lengst	l ɛ ŋ ʃ t
lenke	l ɛ ŋ k ə
lenner	l ɛ n a
lerne	l ɛ n ə
lese	l eː s ə
leser	l eː s ɐ
letter	l e t a
leve	l eː v ə
lewer	l e v ɐ
licht	l i ç t
lichter	l i ç t a
lieb	l iː b
lied	l iː t
lieh	l iː
liehe	l iː ə
lieve	l iː v ə
lift	l i f t
lilje	l i l j ə
linje	l i n j ə
lins	l i n s
linse	l i n s ə
lipp	l i p
lippe	l i p ə
list	l i ʃ t
liste	l i ʃ t ə
litter	l i t ɐ
loch	l o x
lockre	l o k r ə
lohn	l oː n
lohne	l oː n ə
loja	l oː ʃ a
lojas	l oː ʃ a s
losse	l o s ə
lotterie	l o t e r iː
love	l oː v ə
luchs	l u k s
luft	l u f t
luftschiff	l u f t ʃ i f
lumpe	l u m p ə
lung	l u ŋ
lunge	l u ŋ ə
lupp	l u p
lust	l u ʃ t
lutsche	l u t͡ʃ ə
lutscher	l u t͡ʃ ɐ
luxemborrich	l u k s ə m p ɔ r i ç
läer	l eː a
lämmer	l ɛ m ɐ
maai	m ɔː i
maale	m ɔː l ə
mache	m a x ə
macher	m a x ɐ
makack	m a k a k
makacke	m a k a k ə
malaria	m a l aː r i a
malve	m a l v ə
mamma	m a m a
mammong	m a m ɔ ŋ
mammongbaam	m a m ɔ ŋ p ɔː m
manga	m a ŋ k a
mangabaam	m a ŋ k a p ɔː m
mangas	m a ŋ k a s
mange	m a ŋ k ə
maniok	m a n i oː k
mann	m a n
manschërikong	m a n ʃ e r i k ɔ ŋ
mantel	m a n t l̩
margarin	m a r k a r iː n
masch	m a ʃ
maschin	m a ʃ iː n
maschine	m a ʃ iː n ə
mask	m a ʃ k
maske	m a ʃ k ə
mass	m a s
masse	m a s ə
massiv	m a s iː f
massive	m a s iː v ə
matematik	m a t e m a t iː k
material	m a t e r i aː l
materiale	m a t e r i aː l ə
matratze	m a t r a t͡s ə
matriculas	m a t r i k u l a s
matrikla	m a t r i k l a
matrikula	m a t r i k u l a
matsch	m a t͡ʃ
matt	m a t
matte	m a t ə
mauer	m a ʊ̯ a
maul	m a ʊ̯ l
maure	m a ʊ̯ r ə
maurer	m a ʊ̯ r a
maus	m a ʊ̯ s
mechde	m e ç t ə
med	m eː t
mede	m eː r ə
medizin	m e t i t͡s iː n
meel	m eː l
meen	m eː n
meer	m eː a
meere	m eː r ə
meergrien	m eː ɐ k r iː n
meiler	m a ɪ̯ l ɐ
mein	m a ɪ̯ n
meis	m a ɪ̯ s
meister	m a ɪ̯ ʃ t a
melke	m e l k ə
menner	m ɛ n a
mennlich	m æ n l i ç
mensch	m ɛ n ʃ
menschlich	m ɛ n ʃ l i ç
mentel	m e n t l̩
menz	m ɛ n s
mer	m ɐ
merz	m ɛ t͡s
mess	m e s
messdiener	m e s t iː n a
messdienerin	m e s t iː n ə r i n
messe	m e s ə
messer	m e s a
meter	m eː t ɐ
meu	m ɔ ɪ̯
meue	m ɔ ɪ̯ ə
mexiko	m e k s i k o
mich	m i ç
mick	m i k
micke	m i k ə
mied	m iː t
miete	m iː t ə
mih	m iː
mihe	m iː ə
mihl	m iː l
mikrofon	m i k r o f oː n
milje	m i l j ə
miller	m i l a
millich	m i l i ç
millichflasch	m i l i ç f l a ʃ
millimeter	m i l i m eː t ɐ
million	m i l i̯ oː n
millione	m i l i̯ oː n ə
mils	m i l s
milse	m i l s ə
mineral	m i n ə r aː l
mineralwasser	m i n ə r aː l v a s a
minister	m i n i ʃ t ɐ
minutt	m i n u t
misse	m i s ə
mission	m i s i̯ oː n
missione	m i s i̯ oː n ə
mist	m i ʃ t
mit	m i t
mitbringe	m i t p ɾ i ŋ ə
mitglied	m i t k l iː t
mitkomme	m i t kʰ ɔ m ə
mitmache	m i t m a x ə
mitsinge	m i t s i ŋ ə
mitspiele	m i t ʃ p iː l ə
mittach	m i t a x
mitte	m i t ə
mittelfinger	m i t l̩ f i ŋ ɐ
mitter	m i t a
mittwoch	m i t v o x
mitz	m i t͡s
modern	m o t ɛ n
moie	m o ɪ̯ ə
mol	m oː
momente	m o m ɛ n t ə
monarkie	m o n a r k iː
monat	m oː n a t
monate	m oː n a t ə
monatlich	m oː n a t l i ç
mond	m oː n t
monde	m oː n t ə
mone	m oː n ə
montach	m oː n t a x
moos	m oː s
mos	m oː s
mote	m oː t ə
motoer	m o t oː a
motore	m o t oː r ə
motze	m o t͡s ə
moviment	m o v i m ɛ n t
mule	m uː l ə
mulunguh	m u l u ŋ k uː
mund	m u n t
munde	m u n t ə
munizipp	m u n i t͡s i p
munizippal	m u n i t͡s i p aː l
munter	m u n t a
muschel	m u ʃ ə l
muskel	m u ʃ k l̩
muskitt	m u ʃ k i t
muskitte	m u ʃ k i t ə
muster	m u ʃ t ɐ
mut	m uː t
mutter	m u t a
mëdalja	m e t a l j a
mëlon	m e l oː n
mërkaat	m e r k ɔː t
mërkaate	m e r k ɔː t ə
mëtall	m e t a l
naaghel	n ɔː x l̩
naame	n ɔː m e
naas	n ɔː s
naast	n ɔː ʃ t
nacht	n a x t
nackich	n a k i ç
nass	n a s
nativ	n a t iː f
natuer	n a tʰ uː ɐ
naus	n a ʊ̯ s
nawel	n a ʊ̯ l̩
nazi	n aː t͡s i
nazion	n a t͡s i̯ oː n
nazione	n a t͡s i̯ oː n ə
nazisdisch	n a t͡s i s t i ʃ
nazismus	n a t͡s i s m u s
necht	n e ç t
ned	n eː t
nedich	n eː r i ç
nee	n eː
neere	n eː r ə
neh	n eː
nehe	n eː ə
neher	n eː ɐ
nei	n a ɪ̯
neid	n a ɪ̯ t
nein	n a ɪ̯ n
neint	n a ɪ̯ n t
neinzen	n a ɪ̯ n t͡s n̩
neinzich	n a ɪ̯ n t͡s i ç
nemme	n ɛ m ə
nenne	n ɛ n ə
neongrien	n eː ɔ n k r iː n
nest	n e ʃ t
net	n e t
netz	n e t͡s
newel	n e v l̩
nichter	n i ç t ɐ
nickel	n i k l̩
nie	n iː
nier	n iː ɐ
niere	n iː r ə
niese	n iː s ə
nin	n i n
niss	n i s
nist	n i ʃ t
nister	n i ʃ t ɐ
nitter	n i t ɐ
nitterlande	n i t a l a n t ə
noch	n o x
nochber	n o x p a
nod	n oː t
nodwennich	n oː t v ɛ n i ç
nommol	n ɔ m oː
norde	n ɔ t ə
nordkorea	n ɔ t kʰ o r eː a
nore	n oː r ə
normal	n o r m aː l
not	n oː t
note	n oː t ə
notel	n oː t ə l
november	n oː v ɛ m p a
nuff	n u f
null	n u l
nummer	n u m a
nunner	n u n ɐ
nuss	n u s
nutel	n uː t l̩
nutze	n u t͡s ə
ob	oː p
obwohl	oː p v oː l
ochs	o k s
ochse	o k s ə
odder	o r ɐ
oder	oː r ɐ
oft	o f t
ohne	oː n ə
ohre	oː r ə
oktover	o k t oː v a
oliv	o l iː f
olive	o l iː v ə
omelett	o m e l e t
onkel	ɔ ŋ k l̩
onnibus	ɔ n i p u s
ool	oː l
oostre	oː ʃ t r ə
ooze	oː t͡s ə
opfer	o p f ɐ
opfre	o p f r ə
orde	ɔ t ə
ordne	ɔ t n ə
ordnung	ɔ t n u ŋ
oste	o ʃ t ə
ove	oː v ə
ovend	oː m t
paar	pʰ ɔː
paater	pʰ ɔː t a
packe	pʰ a k ə
paliasse	p a l i̯ a s ə
pallem	pʰ a l ə m
palme	pʰ a l m ə
palëstina	p a l e ʃ t iː n a
pann	pʰ a n
panne	pʰ a n ə
panz	pʰ a n s
papier	p a p iː ɐ
papiere	p a p iː r ə
paranaa	p a r a n ɔː
parent	p a r ɛ n t
parente	p a r ɛ n t ə
partikulaar	pʰ a t i k u l ɔː
partikular	p a t i k u l aː r
pasda	p a s t a
patent	p a t ɛ n t
patente	p a t ɛ n t ə
patt	pʰ a t
pausa	p a ʊ̯ s a
pause	p a ʊ̯ s ə
peck	pʰ e k
peepst	pʰ eː p ʃ t
peffer	pʰ e f ɐ
peffermenz	pʰ e f ɐ m ɛ n s
peif	pʰ a ɪ̯ f
peil	pʰ a ɪ̯ l
peiler	pʰ a ɪ̯ l ɐ
pein	pʰ a ɪ̯ n
peine	pʰ a ɪ̯ n ə
perl	pʰ ɛ l
perle	pʰ ɛ l ə
