't	t
bevëlkerung	b e f e l k e ʀ u ŋ
bewonnerung	b e v o n e ʀ u ŋ
bewäis	b e v æ i̯ s
bezeechnung	b e t s eː χ n u ŋ
bezuch	b e t s u χ
bibel	b i b e l
bibliothecaire	b i b l j o t e k ɛː ʁ
bic	b i k
bich	b i χ
bichelchen	b i χ e l χ e n
bichenholz	b i ɕ ə n h o l t͡s
bicherbuttek	b i χ e ʀ b u t e k
bicherwuerm	b i χ e ʀ v u e̯ m
bidden	b i d e n
bidet	b i d e
bier	b iː r
bierg	b i ə̯ χ
bierger	b i e̯ ʁ e r
bifdeck	b i f d æ k
bigel	b i ʁ e l
bijoutier	b i ʒ u t j e
bild	b i l t
bildschierm	b i l t ʃ i e̯ m
billard	b i j aː
bindestréch	b i n d e ʃ t ʀ e χ
bing	b i ŋ
biologie	b i o l o ʒ i
blat	b l aː t
blatlaus	b l aː t l æ u̯ s
blatz	b l a t s
blessur	b l æ s yː ʀ
blietchen	b l i e̯ t χ e n
blobrëschtchen	b l oː b ʁ e ʃ t χ e n
bloder	b l oː d e r
blomees	b l oː m eː s
blos	b l oː s
blumm	b l u m
blus	b l uː s
blutt	b l u t
bluttanalys	b l u t a n a l iː s
bluttdrock	b l u t d ʀ o k
bläi	b l æ i̯
bläistëft	b l æ i̯ ʃ t e f t
bléck	b l e k
bléi	b l e i̯
blëtz	b l e t s
bock	b o k
boll	b o l
boma	b oː m a
bomm	b o m
bommel	b o m e l
bond	b o n t
bong	b o ŋ
botanik	b o t aː n i k
bott	b o t
botte	b o t
bottel	b o t e l
botter	b o t e ʀ
bottermëllech	b o t e ʀ m e l e χ
bou	b e u̯
bouf	b e u̯ f
bougie	b u ʒ i
bouillon	b u j õ
boulette	b u l æ t
boun	b e u̯ n
bouneschlupp	b e u̯ n e ʃ l u p
bourse	b u ʀ s
bouss	b e u̯ s
box	b o k s
brach	b ʀ a χ
brak	b ʀ aː k
branntewäin	b r a n t e v æ i̯ n
braut	b r æ u̯ t
brautrank	b ʀ æ u̯ t ʀ a ŋ k
bremsspur	b ʀ æ m s ʃ p uː ʀ
brennes	b ʀ æ n e s
bretzel	b ʀ æ t s e l
bridder	b ʀ i d e ʀ
briecheisen	b r i e̯ χ a i̯ z e n
brigang	b ʀ i ɡ a ŋ
broch	b ʀ o χ
bromee	b ʀ o m eː
brongbrëschtchen	b ʀ o ŋ b ʀ e ʃ t χ e n
brooch	b ʀ oː χ
brosch	b ʀ o ʃ
broscht	b ʀ o ʃ t
brot	b ʀ oː t
brout	b r e u̯ t
brudder	b ʀ u d e ʀ
bräi	b ʀ æ i̯
bräit	b r æ i̯ t
bränn	b r æ n
bréch	b ʀ e χ
bréck	b r e k
bréif	b ʀ e i̯ f
bréifdréier	b ʁ ɜ ɪ̯ v d ʁ ɜ ɪ̯ ɐ
bréifkëscht	b ʀ e i̯ f k e ʃ t
bréissel	b r e i̯ s e l
brëll	b r e l
brëscht	b ʀ ə ʃ t
brëtsch	b ʀ e t ʃ
buch	b u χ
buedduch	b u e̯ t d u χ
buedem	b u e̯ d e m
buedzëmmer	b u e̯ t s e m e ʀ
buer	b uː r
buerg	b u e̯ χ
buergermeeschter	b u e̯ ʁ e r m eː ʃ t e r
buet	b u e̯ t
bugger	b u ɡ e ʀ
bull	b u l
bulli	b u l i
bunn	b u n
bus	b u s
buschauffeur	b uː s ʃ oː f ɐ
buschtaf	b u ʃ t aː f
busgare	b u s ɡ aː
buttek	b u t e k
bäcker	b æ k e ʀ
bäckeschdosen	b æ k e ʃ d o z e n
bäileed	b æ i̯ l eː t
bäll	b æ l
béchs	b e k s
béi	b e i̯
béifchen	b e i̯ f χ e n
bëbee	b e b eː
bësch	b e ʃ
bëschof	b e ʃ o f
bëss	b e s
bëtong	b e t o ŋ
cabillaud	k a b i j o
cale	k a l
capellen	k ɑ p æ l ə n
capot	k a p o
case	k aː s
chamber	ʃ ã b e r
champignon	ʃ ã p i n j õ
chancëgläichheet	ʃ ã s e ɡ l æ i̯ ɕ h eː t
chantage	ʃ ã t aː ʃ
charakter	k a ʀ a k t e ʀ
chauffer	ʃ oː f e r
chauffersflucht	ʃ oː f e ʀ s f l u χ t
chauffeur	ʃ oː f ø r
chef	ʃ æ f
chimie	ʃ i m i
chlor	k l oː r
choix	ʃ v a
choufleur	ʃ uː f l øː e ʀ
christus	k ʀ i s t u s
chrëschtdag	k ʀ e ʃ t d aː χ
chrëschtentum	k ʀ e ʃ t e n t uː m
chômage	ʃ oː m aː ʃ
collaboratioun	k o l a b o ʀ a s j e u̯ n
comptoir	k õ t v aː
computer	k o m p j uː t e ʀ
constitutioun	k o n s t i t u s j e u̯ n
cours	k uː r
coursen	k uː r e n
cricket	k ʀ i k e t
da	d a
daach	d aː χ
daachliicht	d aː χ l iː χ t
daachzill	d aː χ t͡s i l
daarm	d aː m
dachs	d a k s
daf	d aː f
dafheet	d aː f eː t
dag	d aː χ
daimchen	d a i̯ m χ e n
damm	d a m
damp	d a m p
danz	d a n s
dapp	d a p
dar	d aː
dattel	d a t e l
datz	d a t s
dauer	d a u̯ e ʀ
deckel	d æ k e l
deckelsmouk	d æ k e l s m e u̯ k
decken	d æ k e n
dekorateur	d e k o ʁ ɑ t øː ɐ̯
denn	d æ n
dezember	d e t s æ m b e ʀ
diamant	d i a m a n t
dicher	d i ɕ ɐ
dichter	d i χ t e ʀ
dictionnaire	d i k s j o n eː r
dictionnairen	d i k s j o n eː r e n
diddeleng	d i d e l e ŋ
dierfer	d i e̯ f e r
digel	d i ʁ e l
dikrech	d i k ʀ e χ
dill	d i l
dimmer	d i m e r
dir	d iː r
distanz	d i s t ɑ n t͡s
diwwi	d i v i
doft	d o f t
doheem	d o h eː m
dokter	d o k t e ʀ
dolmetscher	d o l m æ t͡ʃ ɐ
doloun	d oː l e u̯ n
doléiner	d oː l e i̯ n e r
dommheet	d o m eː t
donkelheet	d o ŋ k e l eː t
donner	d o n e r
donst	d o n s t
dosen	d o z e n
dossier	d o s j eː
dot	d oː t
dott	d o t
doud	d e u̯ t
doudegriewer	d ə ʊ̯ d ə ɡ ʁ i ə̯ v ɐ
doudekapp	d e u̯ d e k a p
doudesaffer	d e u̯ d e s a f e r
doudewon	d e u̯ d e v oː n
doum	d e u̯ m
draach	d ʀ aː χ
dram	d ʀ aː m
drauf	d r a u̯ f
drauwejus	d ʀ a u̯ v e ʒ y
dreck	d ʀ æ k
dreschmaschinn	d ʁ æ ʃ m ɑ ʃ i n
drill	d ʀ i l
drilling	d ʀ i l i ŋ
drog	d ʀ oː k
droit	d ʀ v a
drot	d ʀ oː t
dräieck	d r æ i̯ æ k
dräikinneksdag	d ʀ æ i̯ k i n e k s d aː χ
dräisprong	d ʀ æ i̯ ʃ p ʀ o ŋ
dränk	d ʀ æ ŋ k
dréchent	d ʀ e χ e n t
drécker	d ʀ e k e ʀ
dréi	d ʀ e i̯
dréibänk	d ʀ e i̯ b æ ŋ k
dréischel	d ʀ e i̯ ʃ e l
dréit	d ʀ e i̯ t
drëpp	d ʀ ə p
drëps	d ʀ e p s
drüs	d ʁ yː s
duch	d u χ
duddelsak	d u d e l z aː k
duechter	d u e̯ χ t e ʀ
dueder	d u e̯ d e ʀ
duercherneen	d u e̯ χ e ʀ n eː n
duerchmiesser	d u ə̯ ɕ m i ə̯ s ɐ
duerf	d u e̯ f
dugend	d u ʁ e n t
dunn	d u n
dusch	d u ʃ
duuscht	d uː ʃ t
dystopie	d i s t o p iː
däich	d æ i̯ χ
däischtert	d æ i̯ ʃ t e ʀ t
däitsch	d æ i̯ t ʃ
däitschen	d æ i̯ t ʃ e n
däitschland	d æ i̯ t ʃ l a n t
däiwel	d æ i̯ v e l
dänemark	d æː n e m a ʀ k
dänn	d æ n
dännemees	d æ n e m eː s
däreldéier	d eː ʀ e l d e i̯ e ʀ
déckt	d e k t
déier	d e i̯ e ʀ
déif	d e i̯ f
déifferdeng	d e i̯ f e ʀ d e ŋ
déift	d e i̯ f t
déngen	d e ŋ e n
dénger	d e ŋ e ʀ
déngscht	d e ŋ ʃ t
dëll	d e l
dëlpes	d ə l p e s
dësch	d e ʃ
dëschelduch	d e ʃ e l d u χ
dëschtennis	d e ʃ t æ n i s
e	e
eck	æ k
eckzant	æ k t s a n t
educatioun	eː d y k a s j e u̯ n
ee	eː
eech	eː χ
eechel	eː χ e l
eed	eː t
eedem	eː d e m
eedemen	eː d e m e n
eefeu	eː f ɔ ɪ
eegennumm	eː ʁ e n n u m
eegiel	eː ɡ i e̯ l
eemer	eː m e ʀ
eenhar	eː n h aː
eesch	eː ʃ
eescht	eː ʃ t
eess	eː s
eewäiss	eː v æ i̯ s
eeër	eː e r
eeërschuel	e e ʀ ʃ u e̯ l
eeërstack	e e ʀ ʃ t a k
ekipp	eː k i p
elaboratioun	eː l a b o ʀ a s j e u̯ n
elch	æ l χ
elefant	e l e f a n t
elektriker	e l æ k t ʁ i k ɐ
elfebeen	æ l f e b eː n
els	æ l s
elteren	æ l t e ʀ e n
elterenhaus	æ l t e ʀ e n h æ u̯ s
email	e m a i̯
emissioun	e m i s j e u̯ n
england	æ ŋ l a n t
englesch	æ ŋ l e ʃ
englänner	æ ŋ l æ n e ʀ
enkel	æ ŋ k e l
enkelin	æ ŋ k e l i n
enn	æ n
entschloss	æ n t ʃ l o s
entwécklung	æ n t v e k l u ŋ
entwécklungshëllef	æ n t v e k l u ŋ s h ə l ə f
enveloppe	ã v e l o p
epicier	e p i s j eː
epidemie	e p i d e m iː
epidemiolog	e p i d e m i o l oː k
epidemiologie	e p i d e m i o l o ɡ iː
erbaarmen	e ʀ b aː m e n
erfolleg	e r f o l e χ
erfolleger	e r f o l e ʁ e r
erzéiung	e ʀ t s e i̯ u ŋ
erëffnung	e ʀ e f n u ŋ
erënnerung	e ʀ e n e ʀ u ŋ
esseg	æ s e χ
estland	æ s t l a n t
etapp	e t a p
ettelbréck	æ t e l b r e k
etude	eː t y t
exploitatioun	æ k s p l v a t a s j e u̯ n
faarf	f aː r f
faart	f aː t
faaschtenzäit	f aː ʃ t e n t s æ i̯ t
faass	f aː s
fach	f a χ
fahrlehrer	f aː ʀ l eː ʀ e ʀ
fakel	f aː k e l
fal	f aː l
fall	f a l
fallek	f a l e k
famill	f a m i l
fanger	f a ŋ e ʀ
fangernol	f a ŋ e ʀ n oː l
fangerspëtz	f a ŋ e ʀ ʃ p e t s
far	f aː
fascht	f a ʃ t
fassad	f a s aː t
faszinatioun	f a s t s i n a s j e u̯ n
fatz	f a t s
fauscht	f æ u̯ ʃ t
fee	f eː
feeler	f eː l e ʀ
feierblumm	f a i̯ e ʀ b l u m
feierdag	f a i̯ e ʀ d aː χ
feigling	f ɑ ɪ̯ ʑ l i ŋ
feil	f a i̯ l
feind	f a i̯ n t
feld	f æ l t
feldhong	f æ l t h o ŋ
fenneg	f æ n e χ
feuter	f øː t e ʀ
fichier	f i ʃ j e
fieder	f i e̯ d e r
fiederball	f i e̯ d e ʀ b a l
fiels	f i e̯ l s
fierkel	f i e̯ k e l
fierschter	f i e̯ ʀ ʃ t e ʀ
fies	f i e̯ s
fiffi	f i f i
figur	f i ɡ uː ʀ
fiicht	f iː χ t
fiichtegkeet	f iː χ t e χ k eː t
fiischt	f iː ʃ t
fils	f i s
filssen	f i s e n
filz	f i l s
filzstëft	f i l s ʃ t e f t
finn	f i n
fisemreen	f i z e m ʀ eː n
fitteng	f i t æ ŋ
fixfeier	f i k s f a i̯ e ʀ
fixspoun	f i k s ʃ p e u̯ n
fixspéin	f i k s ʃ p ɜ ɪ̯ n
flack	f l a k
flam	f l aː m
flanell	f l a n æ l
flank	f l a ŋ k
flapp	f l a p
fleck	f l æ k
fleegeheem	f l eː ʁ e h eː m
fleel	f l eː l
fleesch	f l eː ʃ
flic	f l i k
flich	f l i ɕ
flicht	f l i χ t
fliedermaus	f l i e̯ d e ʀ m æ u̯ s
fligel	f l i ʁ e l
fliger	f l iː ʁ e ʀ
fliicht	f l iː χ t
flillek	f l i l e k
flom	f l oː m
floss	f l o s
flott	f l o t
flouer	f l e u̯ e ʀ
flouernumm	f l e u̯ e ʀ n u m
floumaart	f l e u̯ m aː t
fluch	f l u χ
fluchfeld	f l u χ f æ l t
fluchgesellschaft	f l u χ ɡ ə z æ l ʃ a f t
flued	f l u e̯ t
fluess	f l u e̯ s
fluesssom	f l u e̯ s z oː m
fläch	f l æ χ
flächen	f l æ ɕ ə n
fläiss	f l æ i̯ s
fläsch	f l æ ʃ
fléck	f l e k
fléimouk	f l e i̯ m e u̯ k
fléiwel	f l e ɪ̯ v ə l
flënt	f l e n t
flëss	f l ə s
folleg	f o l e χ
fong	f o ŋ
fonk	f o ŋ k
force	f o ʀ s
forchette	f o r ʃ æ t
forschett	f o r ʃ æ t
fotell	f oː t æ l
fou	f e u̯
fouss	f o u̯ s
foussbäll	f ə ʊ̯ z b æ l
foussgänger	f e u̯ s ɡ æ ŋ e ʀ
foussnout	f e u̯ s n e u̯ t
fousssuel	f e u̯ s z u e̯ l
fra	f r aː
frachtschëff	f ʀ a χ t ʃ e f
frack	f r a k
frang	f ʀ ɑ ŋ
frankräich	f ʀ a ŋ k ʀ æ i̯ χ
frascht	f ʀ a ʃ t
frechheet	f ʀ æ χ eː t
freed	f ʀ eː t
frell	f ʀ æ l
fridden	f ʀ i d e n
fritt	f ʀ i t
fritten	f ʀ i t e n
fro	f ʀ o
frooss	f ʀ oː s
frust	f ʀ u s t
fruucht	f ʀ uː χ t
fräsch	f r æ ʃ
fréijoer	f r e i̯ j oː e r
frënd	f ʀ e n t
fudder	f u d e ʀ
fuedem	f u e̯ d e m
fuererflucht	f uː ʀ e ʀ f l u χ t
fuerplang	f uː ʀ p l a ŋ
fuerz	f u e̯ t s
fuite	f v i t
fuuss	f uː s
fächer	f æ χ e r
fäil	f æ i̯ l
fäischt	f æ i̯ ʃ t
fändel	f æ n d e l
féiss	f e i̯ s
féiwer	f e i̯ v e r
fënnefeck	f e n e f æ k
fënnefecker	f e n e f æ k e r
fësch	f e ʃ
fëscher	f e ʃ e ʀ
gaalgen	ɡ aː l ʁ e n
gaardeboun	ɡ aː d e b e u̯ n
gaarf	ɡ aː f
gaascht	ɡ aː ʃ t
gaass	ɡ aː s
gafel	ɡ aː f e l
gal	ɡ aː l
gamm	ɡ a m
gang	ɡ a ŋ
gank	ɡ a ŋ k
gar	ɡ aː r
gare	ɡ aː r
gas	ɡ aː s
gebai	ɡ e b a i̯
gebeess	ɡ e b eː s
gebiet	ɡ e b i e̯ t
gebitt	ɡ e b i t
gebot	ɡ e b oː t
geck	ɡ æ k
gedanken	ɡ e d a ŋ k e n
gediechtnes	ɡ e d i e̯ χ t n e s
gedold	ɡ e d o l t
geescht	ɡ eː ʃ t
geeschter	ɡ eː ʃ t e ʀ
geeschtlechen	ɡ eː ʃ t l e χ e n
geeschtlechkeet	ɡ eː ʃ t l e χ k eː t
geess	ɡ eː s
geessebock	ɡ eː s e b o k
gefaach	ɡ e f aː χ
gefier	ɡ e f iː ʀ
gefill	ɡ e f i l
gefisems	ɡ e f i z e m s
gefor	ɡ e f oː r
gefäll	ɡ e f æ l
gehacktes	ɡ e h a k t e s
geheechnes	ɡ e h eː χ n e s
geheimnis	ɡ e h a i̯ m n i s
gehier	ɡ e h iː r
gei	ɡ a i̯
geld	ɡ æ l t
gellecht	ɡ æ l e χ t
gelänner	ɡ ə l æ n ɐ
gemeng	ɡ e m æ ŋ
gemitt	ɡ e m i t
geméis	ɡ e m e i̯ s
genereel	ʒ e n e ʀ eː l
generol	ʒ e n e ʀ oː l
genie	ʒ e n i
genoss	ɡ e n o s
gepëspers	ɡ e p e s p e ʀ s
gerechtegkeet	ɡ e ʀ æ χ t e χ k eː t
geriicht	ɡ e ʀ iː χ t
geräisch	ɡ e ʀ æ i̯ ʃ
geräischer	ɡ e ʀ æ i̯ ʃ e ʀ
gerücht	ɡ e r y χ t
gerüchter	ɡ e r y χ t e r
geschenk	ɡ ə ʃ æ ŋ k
geschlechtsverkéier	ɡ e ʃ l æ χ t s f e ʀ k e i̯ e ʀ
geschmaach	ɡ e ʃ m aː χ
geschäft	ɡ ə ʃ æ f t
gesell	ɡ e z æ l
gesetz	ɡ e z æ t s
gesiicht	ɡ e z iː χ t
gespier	ɡ ə ʃ p iː ʀ
gespréich	ɡ e ʃ p ʀ e i̯ χ
gestraich	ɡ e ʃ t ʀ a i̯ χ
gestreits	ɡ e ʃ t ʀ a i̯ t s
gewierz	ɡ e v i e̯ t s
gewiicht	ɡ e v iː χ t
gewunnecht	ɡ e v u n e χ t
gewënn	ɡ e v e n
gewëssen	ɡ e v e s e n
gezei	ɡ e t s a i̯
giedel	ɡ i e̯ d e l
gierwer	ɡ i e̯ ʀ v e ʀ
gierwerei	ɡ i e̯ v e ʀ a i̯
gif	ɡ iː f
giicht	ɡ iː χ t
gipser	ɡ i p s ɐ
giraff	ʒ i ʀ a f
gitt	ɡ i t
gittar	ɡ i t aː ʀ
glace	ɡ l a s
glaf	ɡ l aː f
glanz	ɡ l a n s
glas	ɡ l aː s
glasbléiser	ɡ l aː z b l ɜ ɪ̯ z ɐ
glatz	ɡ l a t s
glawen	ɡ l aː v e n
glidd	ɡ l i t
glous	ɡ l e u̯ s
gléck	ɡ l e k
glëtsch	ɡ l e t ʃ
glëtz	ɡ l e t s
gnod	ɡ n oː t
gof	ɡ oː f
gol	ɡ oː l
gold	ɡ o l t
goldfësch	ɡ o l t f e ʃ
golf	ɡ o l f
gomm	ɡ o m
gonscht	ɡ o n ʃ t
goss	ɡ o s
gott	ɡ o t
goût	ɡ u
graf	ɡ ʀ aː f
grafschrëft	ɡ ʀ aː f ʃ ʀ e f t
grafsteen	ɡ ʀ aː f ʃ t eː n
gramm	ɡ ʀ a m
granat	ɡ ʀ a n aː t
granatapel	ɡ ʀ a n aː t aː p ə l
grand	ɡ ʀ a n t
grapp	ɡ ʀ a p
gras	ɡ ʀ aː s
graskaarp	ɡ ʀ aː s k aː p
gravitatioun	ɡ ʀ a v i t a s j e u̯ n
gravitéit	ɡ ʀ a v i t e i̯ t
greef	ɡ ʀ eː f
grenz	ɡ ʁ æ n t͡s
griicheland	ɡ ʀ iː χ e l a n t
griichesch	ɡ ʀ iː χ e ʃ
grill	ɡ ʀ i l
grimmel	ɡ ʀ i m e l
gripp	ɡ ʀ i p
grof	ɡ ʀ oː f
gromees	ɡ ʀ oː m eː s
gromper	ɡ ʀ o m p e ʀ
gromperenzalot	ɡ ʀ o m p ə ʀ ə n t s ɑ l oː t
gromperenzopp	ɡ ʀ o m p ə ʀ ə n t s o p
grompereschiel	ɡ ʀ o m p ə ʀ ə ʃ i ə l
grond	ɡ ʀ o n t
grondel	ɡ ʀ o n d e l
grott	ɡ ʀ o t
grouf	ɡ ʀ e u̯ f
grouss	ɡ ʀ e u̯ s
groussherzogtum	ɡ ʀ ə u s h ɛ ʀ t s oː χ t u m
groussmamm	ɡ ʀ e u̯ s m a m
grousspapp	ɡ ʀ e u̯ s p a p
gruef	ɡ r u e̯ f
grupp	ɡ ʀ u p
gréif	ɡ ʀ e i̯ f
gréiwemaacher	ɡ ʀ e i̯ v e m aː χ e ʀ
grënner	ɡ ʀ e n e ʀ
grëtz	ɡ ʀ e t s
guckuck	ɡ u k u k
gued	ɡ u e̯ t
gumm	ɡ u m
gutt	ɡ u t
gäertner	ɡ eː ʀ t n e ʀ
gäipmännchen	ɡ æ i̯ p m æ n χ e n
gäissel	ɡ æ i̯ s ə l
gäiz	ɡ æ i̯ t s
gäng	ɡ æ ŋ
gäns	ɡ æ n s
gänsen	ɡ æ n z ə n
gäscht	ɡ æ ʃ t
gässen	ɡ æ s e n
géigend	ɡ e i̯ ʁ e n t
géigner	ɡ e i̯ χ n e ʀ
gëft	ɡ e f t
gëtter	ɡ e t e r
haaptfach	h aː p t f a χ
haaptsaach	h aː p t z aː χ
haaptstad	h aː p t ʃ t aː t
haarz	h aː t s
haass	h aː s
hackernoss	h a k e ʀ n o s
haff	h a f
haifësch	h a i̯ f e ʃ
haiser	h a i̯ z e r
hait	h a i̯ t
hal	h aː l
hall	h a l
hallefnuecht	h a l e f n u e̯ χ t
hallem	h a l e m
hals	h a l s
halschent	h a l ʃ e n t
ham	h aː m
hammel	h ɑ m ə l
hamster	h a m s t e ʀ
hand	h a n t
handbrems	h a n t b ʀ æ m s
handduch	h a n t d u χ
handgelenk	h a n t ɡ e l æ ŋ k
handlung	h a n t l u ŋ
handy	h æ n d i
handyen	h æ n d i e n
hanf	h ɑ n f
hank	h a ŋ k
happ	h a p
har	h aː
hardenne	h ɑ ʁ d æ n
harespel	h a ʀ æ s p e l
harf	h a r f
hatt	h a t
hauf	h a u̯ f
hausdéier	h æ u̯ s d e i̯ e ʀ
haut	h æ u̯ t
hautdokter	h a u̯ t d o k t e ʀ
hauwemees	h a u̯ v e m eː s
heck	h æ k
hee	h e
heed	h eː t
heel	h eː l
heelung	h eː l u ŋ
heem	h eː m
heemecht	h eː m e χ t
heemechtshaus	h eː m e χ t s h æ u̯ s
heeschnapp	h eː ʃ n a p
heet	h eː t
heizkierper	h a i̯ t s k i e̯ p e ʀ
held	h æ l t
helm	h æ l m
hengscht	h æ ŋ ʃ t
herrlechkeet	h æ ʀ l e χ k eː t
herzog	h æ r t s o χ
herzogtum	h æ ʀ t s o χ t u m
hetz	h æ t s
hiecht	h i e̯ χ t
hief	h i e̯ f
hiel	h i e̯ l
hielenner	h i e̯ l æ n e ʀ
hiem	h i e̯ m
hier	h iː r
hierk	h i e̯ k
hierscht	h i e̯ ʃ t
hierschtkueb	h i e̯ ʃ t k u e̯ p
hiert	h i e̯ ʀ t
hieselnoss	h i e̯ z e l n o s
hieselter	h i e̯ z e l t e ʀ
hiewan	h i ə̯ v aː n
hiewel	h i e̯ v e l
himmel	h i m e l
himmelräich	h i m e l ʀ æ i̯ χ
himmelsdéierchen	h i m e l s d e i̯ e ʀ χ e n
historiker	h i s t oː ʀ i k e ʀ
hitt	h i t
hiwwel	h i v e l
ho	h o
hoer	h oː e r
hoerbiischt	h oː e ʀ b iː ʃ t
hoff	h o f
hol	h oː l
holland	h o l a n t
hollännesch	h o l æ n e ʃ
holz	h o l s
homard	h o m aː
hond	h o n t
hong	h o ŋ
honger	h o ŋ e ʀ
honnert	h o n e ʀ t
horaire	h o ʀ eː ʀ
hotel	h o t æ l
hott	h o t
houeren	h e u̯ r e n
houf	h e u̯ f
houfeisen	h e u̯ f a i̯ z e n
houfert	h e u̯ f e ʀ t
houfschmadd	h e u̯ f ʃ m a t
houscht	h e u̯ ʃ t
huesenziwwi	h u e̯ z e n t s i v i
huewer	h u e̯ v e ʀ
hummer	h u m e r
hunn	h u n
hunneg	h u n e χ
hutt	h u t
huwwel	h u v e l
häerz	h eː r t s
häerzer	h eː r t s e r
häll	h æ l
hällewull	h æ l e v u l
hämmel	h æ m ə l
hämmelfleesch	h æ m e l f l eː ʃ
händchen	h æ n t χ e n
hänn	h æ n
hännercher	h æ n ɐ ɕ ɐ
här	h eː r
härcher	h eː r χ e r
hären	h eː r e n
härercher	h eː r e r χ e r
héichhaus	h e i̯ χ h æ u̯ s
héichsprong	h e i̯ χ ʃ p ʀ o ŋ
héicht	h e i̯ χ t
héichtenangscht	h e i̯ χ t e n a ŋ ʃ t
héichuewen	h e i̯ χ u e̯ v e n
héiflechkeet	h e i̯ f l e χ k eː t
héil	h e i̯ l
héiss	h e i̯ s
hénger	h e ŋ e r
héngeree	h e ŋ e ʀ e
héngerhaut	h e ŋ e r h æ u̯ t
hëft	h e f t
hëllef	h e l e f
hëllefsverb	h e l e f s v æ ʀ p
hënn	h ə n
hënt	h e n t
hëtzt	h e t s t
iech	i e̯ χ
iechternach	i e̯ χ t e ʀ n a χ
ielebou	i e̯ l e b e u̯
ierbes	i e̯ b e s
