aba	ɑ b ɑ
cağcaq	ʝ ɑ ʁ ʝ ɑ χ
cicek	ʝ i ʝ e x
cida	ʝ i d ɑ
cillağusı	ʝ i l l e
ciyaq	t͡ɕ i j ɑ χ
ciyağusı	ʝ i j ɑ
coğ	ʝ o ʁ
cumçuq	ʝ u m t͡ɕ u χ
cönge	ʝ o n k e
cücük	ʝ y ʝ y x
cüy	t y
cüyin	t͡ɕ y i n
dada	t a d a
dadığusı	t ɑː d ɨ
dahɢaɣı	t ɑ q ɑ ɣ ə
dalaq	t ɑ l ɨ χ
damba	t ɑ m b ɑ
damnağusı	t ɑ m n ɑ
damqusı	t ɑ m q u s ɨ
damur	t ɑ m u r
danru	t ɑ n r u
dar	t ɑ r
dasdar	t ɑ s t ɑ r
datli	t æ h l i
datqusı	t ɑʰ t q u s ɨ
daxılğusı	t ɑ ʁ ɨ l
dağ	t ɑ ʁ
daşqusı	t ɑ ʃ ʁ u s ɨ
daşığusı	t ɑ ʃ ɨ ʁ u s ɨ
deggüsi	t e k k y s i
delli	t e l l i
derilğen	t e r i l ɣ e n
derilğüsi	t e r i l
dermen	t e r m e n
dezek	t e z e x
deşdirğüsi	t e ʃ t e r ɣ y s i
deşgüsi	t e ʃ k y s i
deşük	t e ʃ y x
didik	t i d i x
dig	t i ɣ
digineğüsi	t i k i n e
dimur	t e m i r
dincir	t i n ʝ i r
direk	t i r e x
diñgüsi	t i ŋ k y s i
diñneğüsi	t i ŋ n e
diğer	t i ɣ e r
diğüsi	t e ɣ y s i
dodaq	d o d ɑ ʁ ɨ
dodır	t o d ɨ r
dodırci	t o d ɨ r ʝ i
dolağusı	t o l ɑ ʁ u s ɨ
dombaq	t o m b ɑ χ
donquş	t o ŋ q u ʃ
doqqusı	t o q q u s ɨ
dor	t o r
dorağusı	t o r ɑ
dovaq	t o v ɑ χ
dovşan	t o vʷ ʃ e n
doxağusı	t o χ
doxsan	t o χ s ɑ n
doğrağusı	t o ʁ r ɑ
du	t u
dumcuq	t u m ʝ u χ
dumnanqusı	t u m n ɑ n
dumnaq	t u m n o χ
dumqusı	t o m ɨ
durı	d u r
duz	t u s
dött	t i o tʰ
döve	t ø w æ
döy	t y j
döye	t ø j e
düge	t i u ɣ e
düggüsi	t y k k y s i
dügme	t u ɣ m e
dürlük	t y r l e x
dürğüsi	t y r
düssek	t yʰ s e x
düz	t y z
düzeğüsi	t y z eʰ ɣ y s i
düğleğüsi	t y ɣ l e
düğme	t y ɣ m e
düğü	t i uʼ ɣ u
dıñnağusı	t ɨ ŋ n ɑ
ediğüsi	e d i ɣ y s i
ege	e ɣ e
ehtek	eʰ tʰ e k
el	e l
ele	e l e
eleğüsi	e l e ɣ y s i
eman	e m e n
emcek	e m t͡ɕ y x
emerçik	e m e r t͡ɕ i x
esgi	e s k i
esneğüsi	e s n e ɣ y s i
etgüsi	e tʰ k y s i )
etmek	e m e x
ette	eʰ t i
exgüsi	e x k y s i
eçek	e t͡ɕ e x
eñer	e ŋ e r
eñgek	e m k i x
eñlik	e ŋ e l y x
eñse	e n s e
eşgü	e ʃ ɡ y
fürğüsi	f u r
gacca	k ɑ t͡ʃ ɑ
galağusı	k ɑ l ɑ
galçañ	k ɑ l t͡ɕ ɑ ŋ
gañli	qʰ a ŋ r i
gece	k e ʝ e
gindik	k i n d i x
girden	k i r t e n
girğüsi	k i r ɣ y s i
giya	q e j ɑ
giğirğüsi	k i ɣ i r ɣ y s i
giğüsi	k i ɣ y s i
go	k oː
god	k o d
goppa	k oʰ p ɑ
goxlağusı	k o x l ɑ
guguk	k u k u x
gulu	k u l u
gumuş	k u m u ɕ
gungu	k u ŋ k o
gölek	k uː l i x
gömen	k ø m e n
gömeş	k o m e ʃ
gömgüsi	k o m
gömür	k o m ɨ r
gön	k o n
görğüsi	k o r ʁ u s ɨ
götti	k ø h t i
göz	k o z
göñni	k o ŋ l y
göğesgüsi	k ø ɣ e s k y s i
göşeğüsi	k y ʃ e
gülilük	k y l e l yː ʒʰ u x
gülingüsi	k y l i n
güniş	k u n i ʃ
gürğünçük	k u r ɣ u n ʝ u x
güy	k u j
güye	k u j e
güz	k y z
hay	x ɑ j
heli	h e l i
ica	i ʒ u
ilanqusı	e l e n
ilançük	i l ɑ n t͡ɕ u x
ili	i l i
inci	i n ʒ i
incik	e n ʝ é
inek	i n e x
ini	i n e
irbis	i r p i s
iren	e r ɨ n
iriğüsi	e r i ɣ y s i
irük	i r y x
isgengüsi	h i s k e n
issi	i s i
issiğüsi	i s s i ɣ y s i
itük	i t i x
ix	i x
ixin	e x e n
iğirğüsi	i ɣ i r
işdeğüsi	i ɕ t e
işgen	i ʃ k e n
işgi	i ʃ k i
işmek	i ɕ m e x
işt	i tʰ
kala	kʰ ɑ l ɑ
kalayi	kʰ ɑ l ɑ j
kegelik	kʰ e k e l e x
keleğüsi	k e l i iʲ
kema	kʰ e m e
kendilik	kʰ e n d i l e x
ketmen	kʰ e m e n
kirit	kʰ e r i tʰ
kiriş	kʰ e r i ʃ
kiyik	kʰ i j i x
kiyne	k eʲ n
kiğirğüsi	kʰ e ɣ i r ɣ y s i
kunse	kʰ u n s e
kuğu	kʰ u ɣ u
köderğüsi	kʰ ø d e r
kön	kʰ o n
kös	kʰ ø s
kötgüsi	kʰ ø tʰ k y s i
köxrek	kʰ y x r e x
kük	kʰ i x
kül	kʰ y l
küliğüsi	kʰ y l
küre	kʰ y r e
kürek	kʰ y r æ x
kürlük	kʰ u l i x
kütgüsi	kʰ y t k y s i
lab	l ɑ b
lanzaq	l ɑ n s ɨ χ
lappa	l ɑʰ p a
leşgi	l e ʃ k i
lolağusı	l o l ɑ ʁ u s ɨ
loñxa	l o ŋ χ ɑ
loğluq	l o ʁ l u χ
mamuq	m ɑ m u χ
manqusı	m ɑ n
masim	m ɑ s i m
matañ	m ɑ tʰ ɑ ŋ
mağla	m ɑ ʁ l ɑ
mett	m eʰ t
meñzi	m e n z i
mimilük	m i m i l i u x
miniği	m e
miñ	m e ŋ
mişaq	j u m ɕ ɑ χ
moñıs	m o ŋ o s
muñas	m o ŋ ɑ s
müşük	m i ɕ i x
necce	n e t͡ʃ e
nene	n e n e
netme	n eʰ m e
ningen	n i ŋ ɡ e n
nisnas	n i s n ɑ s
nöhür	n ø h r æ
oc	o ʝ
oci	o ʝ i
odın	o t ɨ n
ohol	o h o l
olanqusı	o l ɑ n
olaq	o l l ɑ χ
omaş	o m ɑ ɕ
onduq	o n t u χ
oraq	o r ɑ χ
orxarı	o r χ ɑ r ɨ
orğusı	o r
ot	o tʰ
otağusı	o d ɑ
otkañ	o k ɑ ŋ
otta	oʰ t ɑ
ottus	oʰ t u s
oxağusı	o χ ɑ ʁ u s ɨ
oxuş	o ʁ u ʃ
oxşağusı	o χ ʃ i
oççaq	o tʰ t͡ɕ ɑ χ
oña	o ŋ ɑ
oğrağusı	o ʁ r ɑ
oğrı	o ʁ r ɨ
palmañ	pʰ ɑ l m u ŋ
palçıq	p ɑ l t͡ɕ ɨ χ
pancir	pʰ æ n ʝ i r
peyğüsi	pʰ e j ɣ y s i
piñ	pʰ i ŋ
piğür	pʰ i o ɣ u r
piş	pʰ i ʃ
pişdiğüsi	pʰ i ʃ t e ɣ y s i
pişe	pʰ i ɕ e
pişgüsi	pʰ i ʃ k y s i
pişirğüsi	pʰ i ʃ i r
pişqu	pʰ i̥ ʃ q u
pişt	pʰ i ɕ t
pola	p o l ɑ
poq	p o χ
poñ	pʰ o ŋ
puldır	pʰ u l d ɨ r
purnaq	pʰ u r n ɑ χ
purnı	pʰ u r n ɨ
purun	pʰ u r n ɨ
puxrağusı	pʰ o χ r ɑ ʁ u s ɨ
püxgüsi	pʰ y̥ x k y s i
pıçaq	pʰ i t͡ɕ ɑ χ
qabaq	q ɑ b ɑ χ
qacağusı	q ɑ ʝ ɑ
qad	q ɑ d
qadaq	q ɑ d ɑ χ
qadağusı	q ɑ d ɑ ʁ u s ɨ
qadın	q ɑ d u n
qalağusı	q ɑ l ɑ ʁ u s ɨ
qalğusı	q ɑ l ʁ u s ɨ
qamcu	q ɑ m ʝ u
qan	q ɑ n
qanat	q ɑ n ɑ t
qanağusı	q ɑ n ɑ
qancıq	q ɑ n ʝ i x
qaramañ	q ɑ r ɑ m ɑ n
qaranqu	q ɑ r ɑ ŋ ɢ u
qarğa	q ɑ r ʁ ɑ
qarın	q ɑ r ɨ n
qarışqusı	q ɑ r ɨ ʃ
qayda	q ɑ j d ɑ
qaynağusı	q ɑ j n ɑ ʁ u s ɨ
qaz	q ɑ z
qazan	q ɑ z ɑ n
qazmaq	q ɑ z m ɑ χ
qazqan	q ɑ z q ɑ n
qazuq	q ɑ z u χ
qazığusı	q ɑ z ɨ ʁ u s ɨ
qaşqusı	q ɑ ʃ
qoduq	q o d o χ
qol	q o l
qonaq	q o n ɑ χ
qosqur	qʰ o s qʰ u r
qox	k o x
qoxqa	q o χ q ɑ
qoy	k o j
qoylağusı	q o j l ɑ
qoyğusı	q o j ʁ u s ɨ
qozı	q o z ɨ
qoñır	q o ŋ o r
qoñırçıq	q o ŋ ɨ r t͡ʃ ɨ χ
qoş	q o ɕ
qoşluq	q o ʃ l ɨ χ
qoşqur	q o ʃ q u r
quda	q u d ɑ
qulaq	q u l ɑ qʰ
qulaş	q u l i ʃ
qumqusı	q o n
qurlanqusı	q u r l ɑ n
quruq	q u r u χ
qurğusı	q u r
qurı	q u r ɨ
qut	q u t
quş	q u ʃ
quşqun	q u ʃ q u n
qıl	q ɨ l
qın	q ɨ n
qırqu	q i q u
qıru	q e r u
qırğı	q ɨ r ʁ ɑ
qırıq	q e r ɨ χ
qız	q ɨ z
qızqanqusı	q ɨ z q ɑ n q u s ɨ
qızıl	q ɨ z i l
qızıq	q ɨ z ɨ x
qızığusı	q ɨ z ɨ ʁ u s ɨ
sadaq	s ɑ d ɑ χ
salağusı	s ɑ l ɑ
sallançaq	s ɑ l e n t͡ɕ ɨ χ
saluq	s ɑ l u χ
salğusı	s ɑ l
salınqusı	s ɑ l ɨ n
samagu	s ɑ m ɑ k u
san	s ɑ n
sanaq	s ɑ n ɑ χ
sanağusı	s ɑ n ɑ
sanduq	s a n d u χ
sap	s ɑ pʰ
sappa	s ɑʰ p ɑ
saqsıq	s ɑ χ s ɨ χ
sarğalğusı	s ɑ r ʁ ɑ l
sarı	s ɑ r ɨ
satqusı	s ɑ tʰ ʁ u s ɨ
sağır	s ɑ ʁ ɨ r
saş	s ɑ ɕ
sece	s e ʝ e
sekkis	s eʰ k i s
seksen	s e x s e n
semüs	s e m i s
sengüsi	s e n
serek	s e r e x
singañ	s i ŋ ɡ ɑ ŋ
sinik	s i n e x
siniği	s e
sirge	s i r kʰ æ
siçirağusı	s i t͡ɕ r ɑ
siñgirğüsi	s i ŋ ɡ i r
so	s o
solaq	s o l o χ
sorma	s o r m ɑ
sovcı	s oː ʝ i
sox	s o χ
soğulcañ	s o ʁ o l ʝ ɑ ŋ
sunqusı	s u n q u s ɨ
susağusı	i s s ɑ
sutqusı	s u t
suvarğusı	s u v ɑ r ʁ u s ɨ
suvağusı	s u v ɑ
söge	s o ɣ e
söngür	s o ŋ ɡ u r
söxlen	s i u x l i e n
söyingüsi	s o j i n ɣ y s i
söğineğüsi	s ø ɣ i n e
südük	s y d y x
süle	s i u l i
sürğüsi	s y r
süt	s y t
sütgüsi	s y tʰ
sırnaq	s i r n ɑ χ
sırğa	s ɨ r ʁ ɑ
sıx	s ɑ χ
sıxlağusı	s i χ l ɑ
sıxqusı	s ɑ χ q u s ɨ
sıxsağan	s ɨ χ s i ʁ ɑ n
sıxır	s ɨ χ ɨ r
tadağusı	tʰ ɑ d ɑ ʁ u s ɨ
tallar	t ɑ l l ɑ r
tangun	tʰ ɑ ŋ ɢ u n
tañnı	tʰ ɑ ŋ n ɨ
terci	tʰ e r e ʝ e
terengüsi	tʰ e r e n
tiga	t i k k e
tiri	tʰ i r ɨ
tixgüsi	t i̥ x k y s i
tiş	tʰ i ɕ
tolağusı	tʰ oː l ɑ ʁ u s ɨ
tormu	tʰ o r m u
tosqusı	tʰ o s
tox	tʰ o χ
toxmaq	tʰ o χ m ɑ χ
toğıla	tʰ o ʁ l ɑ
töngüsi	tʰ ø n
tüdün	tʰ y d e n
tüle	tʰ i u l i
türı	tʰ y r æ
tüx	tʰ i u x
tüxlis	tʰ y x l e s
tüxürğüsi	tʰ y x u r
tırna	tʰ i r n ɑ
tıxda	tʰ ɨ χ t ɑ
uc	u ʒ
ullı	u l l ɨ
un	u n
urxan	o r χ ɑ n
usgu	u s k u
uslağusı	u s l ɑ ʁ u s ɨ
uvğusı	uː
uxasqusı	u χ u s q u s ɨ
uxlağusı	u χ l ɑ
uxqusı	u χ
uzaq	u z ɑ χ
uzın	u z u n
uğutqusı	u ʁ u t q u s ɨ
uşaq	u ʃ ɑ χ
vaxqusı	p ɑ χ
vağusı	p ɑ ʁ u s ɨ
viğüsi	b eː ɣ y s i )
voğusı	p o ʁ u s ɨ
vurğusı	v u r ʁ u s ɨ
xabagu	χ ɑ b ɑ k u
xaluñ	χ ɑ l u ŋ
xantar	χ ɑ n tʰ ɑ r
xap	χ ɑ p
xarsı	χ ɑ r s ɨ
xarı	χ ɑ r ɨ
xatqusı	χ ɑ tʰ q u s ɨ
xaşuq	χ ɑ ʃ u χ
xodarğusı	χ o d ɑ r
xoltuq	χ o l t u χ
xona	χ o n a
xotqusı	χ o pʰ q u s ɨ
xovarğusı	χ o v ɑ r ʁ u s ɨ
xoy	x o j
xoz	χ o z
xoğun	χ o ʁ u n
xoşmaq	χ o ɕ m ɑ χ
xurlağusı	χ u r l ɑ
xusaq	qʰ u s ɑ χ
xusqusı	qʰ u s q u s ɨ
xuçaq	χ u t͡ɕ ɑ χ
xuñnağusı	χ u ŋ n ɑ
xuşañ	χ u ʃ ɑ ŋ
xılçıq	χ ɨ l t͡ʃ ɨ χ
xısdağusı	χ ɨ s t ɑ ʁ u s ɨ
xısqa	qʰ ɯ s q ɑ
xısqusı	χ ɨ s q u s ɨ
xıtqusı	χ ɨ tʰ q u s ɨ
xıttı	χ ɑʰ t ɨ
xığırdaq	χ ɨ ʁ ɨ r t ɑ χ
yaba	j ɑ b ɑ
yadağusı	j ɑ d ɑ
yafqusı	j ɑ h q u s ɨ
yafraq	j ɑ f r ɑ χ
yaltaci	j ɑ l tʰ ɑ d͡ʒ i
yamaq	j ɑ m ɑ χ
yamus	j ɑ m u s
yan	j ɑ n
yana	j ɑ n ɑ
yanqusı	j ɑ n q u s ɨ
yançuq	j e n t͡ɕ u χ
yanıt	j ɑː n i t
yanşağusı	e j i ɕ ɑ ʁ u s ɨ
yarasan	j e r e s e n
yarvalğusı	j ɑ r ɑ l
yarı	j ɑ r ɨ
yarımtuq	j ɑ r ɨ m tʰ u χ
yarıqçı	j ɑ r ɨ χ t͡ʃ ɨ
yasmuq	j ɑ s m u χ
yasuq	j ɑ s u χ
yatqusı	j ɑ tʰ q u s ɨ
yattañ	j ɑ l ɨ t ɑ ŋ
yattuq	j ɑʰ tʰ u χ
yaxqusı	j ɑ χ q u s ɨ
yaxın	j ɑ χ ɨ n
yaxşi	j ɑ χ ʃ i
yaz	j ɑ z
yaççuq	j ɑ χ t͡ʃ u χ
yañaq	j ɑ ŋ ɑ χ
yañyü	j ɑ ŋ j y
yağrı	j ɑ r ɢ ɨ
yağur	j ɑ ʁ u r
yağırnı	j ɑ ʁ ɨ r n i
yaşınğusı	j ɑ ʃ i n
yehlegüsi	j e h l e
yekşembe	j e s ʃ e m b e
yel	j e l
yelinküt	j e l e ŋ kʰ y t
yelpüğüsi	j e l p y
yemcük	j e m ʝ y x
yengü	j e ŋ k u
yetgüsi	j e t k y s i
yetə	j e t ə
yide	j e d͡ʒ i
yidemiş	j e tʰ m i ʃ
yidigen	j i d i ɣ e n
yigit	j i x t e
yilağusı	j i l i
yilik	j i l i x
yilim	j i l i m
yiliğüş	i l i ɣ y ʃ
yimaq	j i m ɑ χ
yimiş	j i m i ɕ
yirek	j i r e x
yiriñ	j i r ɨ ŋ
yirtaq	j e r tʰ ɑ χ
yitim	j i t i m
yitli	j i h l i
yiy	j i j
yiğrengüsi	j i ɣ r e n k y s i
yiğüsi	j e ɣ y s i
yolaq	j o l u χ
yoppa	j o h p a
yorğan	j o r ʁ ɑ n
yox	j o χ
yoxba	j o h p ɑ
yoğan	j o ʁ ɑ n
yul	j u l
yulduz	j u l d u z
yumaq	j u m ɑ χ
yumutta	j u m u t u
yuñ	j u ŋ
yuñxuñ	j u ŋ x u ŋ
yuğurdaq	j u ɣ u r d ɑ χ
yuğurğusı	j u ʁ u r
yörğeğüsi	j u r m e
yükkürğüsi	j yʰ k y r
yüküngüsi	j y k y n
yür	j y r
yürğüsi	j y r ɣ y s i
yüz	j y z
yıldırcañ	j ɨ l d ɨ r ʝ ɑ ŋ
yıxağusı	j i χ
yığılğusı	j i ʁ ɨ l ʁ u s ɨ
zaqarağusı	z ɑ q ɑ r ɑ
zassañ	z ɑ s ɑ ŋ
zen	z e n
ziqırağusı	z i q ɨ r ɑ
zoraq	z o r ɑ χ
zoğzığusı	z o ʁ z ɑ
çad	t͡ɕ ɑ d
çalağusı	t͡ʃ ɑ l ɑ
çalğum	t͡ɕ ɑ l ɨ ʁ u m
çalğusı	t͡ʃ ɑ l
çalınqusı	t͡ʃ ɑ l ɨ n
çatqusı	t͡ʃ ɑ pʰ q u s ɨ
çaxmaq	t͡ʃ ɑ χ m ɑ χ
çaşqusı	t͡ɕ ɑ ɕ q u s ɨ
çeden	t͡ɕ e d e n
çel	t͡ʃ e l
çeneğüsi	t͡ʃ e n e
çira	t͡ʃ i r ɑ
çiraluq	t͡ʃ i r ɑ l u χ
çirik	t͡ʃ i r i x
çix	t͡ɕ e x
çixgüsi	t͡ɕ e x k y s i
çixişgüsi	t͡ɕ i x i ɕ ɣ y s i
çiyik	t͡ɕ i j i x
çiyğüsi	t͡ɕ i j
çiçek	t͡s iː t͡s e x
çiñnağusı	t͡ɕ i ŋ n ɑ ʁ u s ɨ
çişgüsi	t͡ɕ i ʃ
çodar	t͡ʃ o d ɑ r
çoldoñ	t͡ɕ o l t o ŋ
çollağusı	t͡ʃ o l l ɑ
çubuğan	t͡ʃ u b u ʁ ɑ n
çugu	t͡ɕ u k u
çulur	t͡ɕ u l u r
çuxraq	t͡ɕ u χ r u χ
çuxrağusı	t͡ɕ u χ r ɑ
çuxur	t͡ɕ u χ u r
çömgüsi	t͡ɕ o m
çömneğüsi	t͡ɕ o m n e ɣ y s i
çöp	t͡ɕ y pʰ
çöxgüsi	t͡ɕ u kʰ k y s i
çöyğüsi	t͡ɕ y j ɣ y s i
çüp	t͡ɕ o p
çüreğüsi	t͡ɕ i u r e ɣ y s i
çürğüsi	t͡ɕ i y r ɣ y s i
çıxqusı	t͡ɕ ɨ χ q u s ɨ ~ t͡ɕ i χ q u s ɨ
çıxrağusı	t͡ɕ ɑ χ r ɨ ʁ u s ɨ
çıxsu	t͡ɕ ɨ χ s u
öhreğüsi	y h r e
ömükleğüsi	o m ɨ x l ɑ
öre	o r ɨ
örmek	o r m e x
örğetgüsi	ø r ɣ e tʰ k y s i
öt	ø t
ötgüsi	ø tʰ k y s i
ötük	y t y kʰ
öxen	yʰ e n
öyşi	o j ʃ i
özengü	ø z e ŋ ɡ u
üldürgüsi	y l d e r
ülğüsi	y l ɣ y s i
ün	u n
üngülük	y ŋ ɡ e l i x
ütürgü	y tʰ y r k y
üxgüsi	y x k y s i
üxsirğüsi	y x s e r ɣ y s i
üxüt	y x y t
üçürgü	y t͡ɕ i r i x
üğen	j y ɣ e n
üğü	u ɣ i
üşgüsi	u ʃ q u s ɨ
üşirğüsi	ü ʃ e r ( ɣ y s i
şabaq	ʃ ɑ b ɑ χ
şam	ʃ æ m
şaraq	ʃ ɑ r ɑ χ
şili	i ʃ l i
şinağa	ʃ i n ɑ ʁ ɑ
şitgüsi	j i tʰ
