ཀ	* k a
ཁྲག་ཁྲིག་ཆེན་པོ	* kʰ r a k kʰ r i k t͡ɕʰ e n p o
ཁྲི	* kʰ r i
ཁྲིད	* kʰ r i t
ཁྲིམ་དཔོན	* kʰ r i m t p o n
ཁྲུས	* kʰ r u s
ཁྲུས་ཁང	* kʰ r u s kʰ a ŋ
ཁྲུས་ཆུ	* kʰ r u s t͡ɕʰ u
ཁྲེ	* kʰ r e
ཁྲེན་ཏུ	ʈ͡ʂʰ ẽ ˥˥ t u ˥˥
ཁྲེལ་ཡོད་པ	* kʰ r e l j o t p a
ཁྲོམ	* kʰ r o m
ཁྲོམ་ར	* kʰ r o m r a
ག	* ɡ a
ག་པར	* ɡ a p a r
ག་བུར	* ɡ a b u r
ག་ཚོད	* ɡ a t͡sʰ o t
ག་རེ	* ɡ a r e
ག་རེ་བྱས་ནས	* ɡ a r e bʲ a s n a s
གང	* ɡ a ŋ
གང་བྱུང	* ɡ a ŋ bʲ u ŋ
གང་འདྲ	* ɡ a ŋⁿ d r a
གང་ཡིན་ཟེར་ན	* ɡ a ŋ j i n z e r n a
གངས	* ɡ a ŋ s
གངས་ཆེན	* ɡ a ŋ s t͡ɕʰ e n
གངས་རི	* ɡ a ŋ s r i
གངས་རིན་པོ་ཆེ	* ɡ a ŋ s r i n p o t͡ɕʰ e
གངས་སེང་གེ	* ɡ a ŋ s s e ŋ ɡ e
གཅིག	* k t͡ɕ i k
གཅོད	* k t͡ɕ o t
གཉིས	* g ȵ i s
གཉིས་པ	* g ȵ i s p a
གཏམ	* k t a m
གཏམ་བཟང	* k t a m b z a ŋ
གཏམས	* k t a m s
གཏུམ	* k t u m
གཏོང	* k t o ŋ
གཏོར	* k t o r
གཏོར་མ	* k t o r m a
གད་ཉིག	* ɡ a t ȵ i k
གདན	* g d a n
གདུགས	* g d u k s
གདོན་འདྲེ	* g d o nⁿ d r e
གནང	* g n a ŋ
གནམ	* g n a m
གནམ་གང	* g n a m ɡ a ŋ
གནམ་གཤིས	* g n a m k ɕ i s
གནམ་གྲུ	n ə m ˥˥ ʈ͡ʂ u ˥˥
གནམ་མཚོ	* g n a m m t͡sʰ o
གནས	* g n a s
གནས་ཚུལ	* g n a s t͡sʰ u l
གནས་སྟངས	* g n a s s t a ŋ s
གཙང	* k t͡s a ŋ
གཙང་མ	* k t͡s a ŋ m a
གཙོ	* k t͡s o
གཙོ་བོ	* k t͡s o b o
གཞས	* g ʑ a s
གཞས་ཚིག	* g ʑ a s t͡sʰ i k
གཞི	* g ʑ i
གཞིས་ཀ	* g ʑ i s k a
གཞིས་ཀ་རྩེ	* g ʑ i s k a r t͡s e
གཞུ	* g ʑ u
གཞུག་གུ	* g ʑ u k ɡ u
གཞུང	* g ʑ u ŋ
གཞོང	* g ʑ o ŋ
གཞོང་ཀོར	* g ʑ o ŋ k o r
གཞོང་གུང	* g ʑ o ŋ ɡ u ŋ
གཞོང་དབྱིབས་ས་ཁུལ	* g ʑ o ŋ d bʲ i p s s a kʰ u l
གཞོང་པ	* g ʑ o ŋ p a
གཞོང་བུ	* g ʑ o ŋ b u
གཞོང་ཞུང	* g ʑ o ŋ ʑ u ŋ
གཞོང་སྒོར	* g ʑ o ŋ z ɡ o r
གཟའ	* g z a
གཟའ་ཉི་མ	* g z a ȵ i m a
གཟའ་པ་སངས	* g z a p a s a ŋ s
གཟའ་ཕུར་བུ	* g z a pʰ u r b u
གཟའ་མིག་དམར	* g z a m i k d m a r
གཟའ་ཟླ་བ	* g z a z l a b a
གཟའ་འཁོར	* g z a ɣᵑ kʰ o r
གཟའ་ལྷག་པ	* g z a l̥ a k p a
གཟའ་སྤེན་པ	* g z a s p e n p a
གཟི	* g z i
གཟིག	* g z i k
གཟིགས	* g z i k s
གཟིམ	* g z i m
གཟུགས་པོ	* g z u k s p o
གཡག	* ɡ j a k
གཡས་ཕྱོགས	* ɡ j a s pʰʲ o k s
གཡིས	* ɡ j i s
གཡུ	* ɡ j u
གཡུ་ཁ	* ɡ j u kʰ a
གཡུ་མདོག	* ɡ j u m d o k
གཡུ་མཚོ	* ɡ j u m t͡sʰ o
གཡུ་འབྲུག	* ɡ j uᵐ b r u k
གཡུ་ལོ	* ɡ j u l o
གཡེར་མ	* ɡ j e r m a
གཡོན་ཕྱོགས	* ɡ j o n pʰʲ o k s
གལ་ཆེན་པོ	* ɡ a l t͡ɕʰ e n p o
གཤིན་རྒྱལ	* k ɕ i n r ɡʲ a l
གཤིས	* k ɕ i s
གཤིས་ཀ	* k ɕ i s k a
གཤེན	* k ɕ e n
གསང་སྤྱོད	* k s a ŋ s pʲ o t
གསའ	* k s a
གསའ་གཟིག	s a ˥˥ s i k̚ˀ ˥˨
གསར་པ	* k s a r p a
གསར་འགྱུར	* k s a rᵑ ɡʲ u r
གསལ་བཤད	* k s a l p ɕ a t
གསུང	* k s u ŋ
གསུང་བཤད	* k s u ŋ p ɕ a t
གསུང་འཕྲིན	* k s u ŋᵐ pʰ r i n
གསུམ	* k s u m
གསུམ་པ	* k s u m p a
གསེར	* k s e r
གསེར་དཀར་པོ	s eː ɹ ˥˥ k aː ɹ ˥˥ p oˑ
གསོད	* k s o t
གསོན	* k s o n
གསོན་པོ	* k s o n p o
གསོལ་དཀྲུམ	* k s o l t k r u m
གི	* ɡ i
གི་གུ	* ɡ i ɡ u
གུང་ཁྲན་ཏང	kʰ u ŋ ˩˨ ʈ͡ʂʰ ɛ̃ ˥˥ t a ŋ ˥˨
གུང་ཁྲན་རིང་ལུགས	kʰ u ŋ ˩˨ ʈ͡ʂʰ ɛ̃ ˥˥ ʐ i ŋ ˩˨ l u ˥˨
གུར་གུམ	* ɡ u r ɡ u m
གུས	* ɡ u s
གུས་ཚུལ	* ɡ u s t͡sʰ u l
གོ	* ɡ o
གོ་ཐལ	* ɡ o tʰ a l
གོ་རྟོགས	* ɡ o r t o k s
གོ་སྐབས	* ɡ o s k a p s
གོག	* ɡ o k
གོང	* ɡ o ŋ
གོང་ལ	* ɡ o ŋ l a
གོན	* ɡ o n
གོམ་པ་རྒྱག	* ɡ o m p a r ɡʲ a k
གྱི	* ɡʲ i
གྱོན	* ɡʲ o n
གྲང་མོ	* ɡ r a ŋ m o
གྲངས	* ɡ r a ŋ s
གྲི	* ɡ r i
གྲི་རྩལ	* ɡ r i r t͡s a l
གྲི་ལག	* ɡ r i l a k
གྲུ	* ɡ r u
གྲུ་གཟིངས	* ɡ r u g z i ŋ s
གྲུ་གསུམ	ʈ͡ʂʰ u k̚ˀ ˩˨ s u m ˥˥
གྲུ་བཞི	* ɡ r u b ʑ i
གྲེ་མོ	* ɡ r e m o
གྲོག་མ	* ɡ r o k m a
གྲོང་ཁྱེར	* ɡ r o ŋ kʰʲ e r
གྲོད་ཚིལ	* ɡ r o t t͡sʰ i l
གྲོས་གཞི	* ɡ r o s g ʑ i
གྲོས་བསྡུར	* ɡ r o s b z d u r
གྲྭ་པ	* g rʷ a p a
གླ	* g l a
གླ་བ	* g l a b a
གླ་རྩི	* g l a r t͡s i
གླག	* g l a k
གླང	* g l a ŋ
གླང་ཆེན	* g l a ŋ t͡ɕʰ e n
གླང་པོ	* g l a ŋ p o
གླང་པོ་ཆེ	* g l a ŋ p o t͡ɕʰ e
གླིང	* g l i ŋ
གླུ	* g l u
གླུ་གཞས	* g l u g ʑ a s
གླུ་དབྱངས	* g l u d bʲ a ŋ s
གླུ་པ	* g l u p a
གློ་དོང	* g l o d o ŋ
གློ་ནད	* g l o n a t
གློ་བ	* g l o b a
གློ་སྦུབས	* g l o z b u p s
གློག	* g l o k
གློག་བརྙན	l oː ˥˥ ȵ ɛ̃ ˥˥
གློག་བརྙན་ཁང	l o ˥˨ ȵ ɛ̃ ˥˥ kʰ a ŋ ˥˥
ང	* ŋ a
ང་ཚོ	* ŋ a t͡sʰ o
ངག	* ŋ a k
ངང་དཀར་སྐར་ཚོམ	* ŋ a ŋ t k a r s k a r t͡sʰ o m
ངན	* ŋ a n
ངན་པ	* ŋ a n p a
ངུ	* ŋ u
ངོ་ཚ་ཤེས་པ	* ŋ o t͡sʰ a ɕ e s p a
ཅ	* t͡ɕ a
ཅ་ལག	* t͡ɕ a l a k
ཅན	* t͡ɕ a n
ཅི	* t͡ɕ i
ཅིག	* t͡ɕ i k
ཅུ་ལི	* t͡ɕ u l i
ཅུང་ཙམ	* t͡ɕ u ŋ t͡s a m
ཅུང་ཟད	* t͡ɕ u ŋ z a t
ཅུང་ཟད་ཙམ	* t͡ɕ u ŋ z a t t͡s a m
ཆ	* t͡ɕʰ a
ཆ་སྙོམས	* t͡ɕʰ a z ȵ o m s
ཆང	* t͡ɕʰ a ŋ
ཆང་ནད	* t͡ɕʰ a ŋ n a t
ཆབ་གདན	* t͡ɕʰ a p g d a n
ཆབ་མདོ	* t͡ɕʰ a p m d o
ཆབ་རྩེ	* t͡ɕʰ a p r t͡s e
ཆབ་སྲིད	* t͡ɕʰ a p s r i t
ཆམས་པ	* t͡ɕʰ a m s p a
ཆམས་པ་ཕོག	* t͡ɕʰ a m s p a pʰ o k
ཆར་པ	* t͡ɕʰ a r p a
ཆར་ཞོད	* t͡ɕʰ a r ʑ o t
ཆར་རླུང	* t͡ɕʰ a r r l u ŋ
ཆར་སྤྲིན	* t͡ɕʰ a r s p r i n
ཆིག་སྒྲིལ	* t͡ɕʰ i k z ɡ r i l
ཆིང་ཡིག	t͡ɕʰ i ŋ ˥˥ j i k̚ˀ ˥˨
ཆུ	* t͡ɕʰ u
ཆུ་མིག	* t͡ɕʰ u m i k
ཆུ་ཚོད	* t͡ɕʰ u t͡sʰ o t
ཆུ་ཚོན	* t͡ɕʰ u t͡sʰ o n
ཆུ་རྒུན་འབྲུམ	* t͡ɕʰ u r ɡ u nᵐ b r u m
ཆུ་ལོག	* t͡ɕʰ u l o k
ཆུ་ཤེལ	* t͡ɕʰ u ɕ e l
ཆུ་སེར	* t͡ɕʰ u s e r
ཆུ་སྲིན་སྐར་ཚོམ	* t͡ɕʰ u s r i n s k a r t͡sʰ o m
ཆུང	* t͡ɕʰ u ŋ
ཆུང་ཆུང	* t͡ɕʰ u ŋ t͡ɕʰ u ŋ
ཆུང་བ	* t͡ɕʰ u ŋ b a
ཆུང་མ	* t͡ɕʰ u ŋ m a
ཆུད	* t͡ɕʰ u t
ཆེ	* t͡ɕʰ e
ཆེ་ཆུད	* t͡ɕʰ e t͡ɕʰ u t
ཆེན	* t͡ɕʰ e n
ཆེན་པོ	* t͡ɕʰ e n p o
ཆོལ་ཁ	* t͡ɕʰ o l kʰ a
ཆོས	* t͡ɕʰ o s
ཆོས་དར	* t͡ɕʰ o s d a r
ཆོས་འཁོར	* t͡ɕʰ o sᵑ kʰ o r
ཆོས་འབྱོར	* t͡ɕʰ o sᵐ bʲ o r
ཆོས་རྒྱལ	* t͡ɕʰ o s r ɡʲ a l
ཆོས་ལུགས	* t͡ɕʰ o s l u k s
ཆོས་ལུགས་དད་མོས	t͡ɕʰ yː ˥˥ l u k̚ˀ ˥˨ tʰ ɛː ˩˧˨ m øː ˥˨
ཆོས་ལྡན	* t͡ɕʰ o s l d a n
ཆོས་སྐད	* t͡ɕʰ o s s k a t
ཇ	* d͡ʑ a
ཇ་ལོ	* d͡ʑ a l o
ཇ་སྲུབ་མ	* d͡ʑ a s r u p m a
ཇོ་ཇོ	* d͡ʑ o d͡ʑ o
ཇོ་མོ	* d͡ʑ o m o
ཇོ་མོ་གླང་མ	* d͡ʑ o m o g l a ŋ m a
ཉ	* ȵ a
ཉ་མ	* ȵ a m a
ཉག་ཉོག	ȵ a k̚ˀ ˩˨ ȵ o k̚ˀˑ
ཉག་མོ	* ȵ a k m o
ཉན	* ȵ a n
ཉན་བྱེད་འཕྲུལ་ཆས	ȵ ɛ̃ ˩˨ t͡ɕ e ˥˨ ʈ͡ʂʰ yː ˥˥ t͡ɕʰ ɛː ˥˨
ཉམས	* ȵ a m s
ཉམས་མྱོང	* ȵ a m s mʲ o ŋ
ཉར	* ȵ a r
ཉལ	* ȵ a l
ཉི	* ȵ i
ཉི་བརྟེན	* ȵ i p r t e n
ཉི་མ	* ȵ i m a
ཉི་ཤུ	* ȵ i ɕ u
ཉིང་ཁྲི	* ȵ i ŋ kʰ r i
ཉེ་བ	* ȵ e b a
ཉེས་པ	* ȵ e s p a
ཉེས་པ་གསུམ	* ȵ e s p a k s u m
ཉོ	* ȵ o
ཉོག	* ȵ o k
ཉོན་མོངས	* ȵ o n m o ŋ s
ཏ	* t a
ཏར	* t a r
ཏཱ་ལའི་བླ་མ	t a ˥˥ l ɛː ˥˥ l a ˥˥ m a ˥˥
ཏིལ	* t i l
ཐ	* tʰ a
ཐ་མ་རྡབ་ས	* tʰ a m a r d a p s a
ཐག་པ	* tʰ a k p a
ཐགས་ཐོགས	* tʰ a k s tʰ o k s
ཐང	* tʰ a ŋ
ཐང་ཀ	* tʰ a ŋ k a
ཐང་ཆུ	* tʰ a ŋ t͡ɕʰ u
ཐང་འབྲས	* tʰ a ŋᵐ b r a s
ཐང་ཤིང	* tʰ a ŋ ɕ i ŋ
ཐན་པ	* tʰ a n p a
ཐམ་པ	* tʰ a m p a
ཐལ་བ	* tʰ a l b a
ཐུ་མོ	* tʰ u m o
ཐུག	* tʰ u k
ཐུག་པ	* tʰ u k p a
ཐུགས	* tʰ u k s
ཐུགས་གསོ	* tʰ u k s k s o
ཐུགས་རྗེ	* tʰ u k s r d͡ʑ e
ཐུགས་རྗེ་ཆེ	* tʰ u k s r d͡ʑ e t͡ɕʰ e
ཐུགས་རྗེ་ཆེ་གནང	* tʰ u k s r d͡ʑ e t͡ɕʰ e g n a ŋ
ཐུང་ཐུང	* tʰ u ŋ tʰ u ŋ
ཐུད	* tʰ u t
ཐེ	* tʰ e
ཐེག་པ	* tʰ e k p a
ཐེབས	* tʰ e p s
ཐེར་འབུམ	* tʰ e rᵐ b u m
ཐེར་འབུམ་ཆེན་པོ	* tʰ e rᵐ b u m t͡ɕʰ e n p o
ཐོ་དེབ	* tʰ o d e p
ཐོག་མཐའ	* tʰ o k m tʰ a
ཐོག་མཐའ་མེད་པ	* tʰ o k m tʰ a m e t p a
ཐོགས་མེད	* tʰ o k s m e t
ཐོབ	* tʰ o p
ད	* d a
ད་ལྟ	* d a l t a
ད་ལྟ་ཉིད་དུ	* d a l t a ȵ i t d u
ད་ལྟ་བ	* d a l t a b a
དཀན	* t k a n
དཀར་ཆག	* t k a r t͡ɕʰ a k
དཀར་པོ	* t k a r p o
དཀོན་མཆོག	* t k o n m t͡ɕʰ o k
དཀྲོལ	* t k r o l
དག་ཅི	* d a k t͡ɕ i
དགའ	* d ɡ a
དགའ་གླུ	* d ɡ a g l u
དགའ་ཉེ	* d ɡ a ȵ e
དགའ་པོ	* d ɡ a p o
དགའ་བ	* d ɡ a b a
དགའ་འཁྱིལ	* d ɡ a ɣᵑ kʰʲ i l
དགའ་ལྡན	* d ɡ a l d a n
དགའ་ལྡན་ཕོ་བྲང	k a n ˩˨ t ɛ̃ ˥˥ pʰ o ˥˥ ʈ͡ʂ a ŋ ˥˥
དགའ་སྐྱིད	* d ɡ a s kʲ i t
དགུ	* d ɡ u
དགུ་བ	* d ɡ u b a
དགུ་བཅུ	* d ɡ u p t͡ɕ u
དགུན་ཀ	* d ɡ u n k a
དགེ	* d ɡ e
དགེ་བཤེས	* d ɡ e p ɕ e s
དགེ་རྒན	* d ɡ e r ɡ a n
དགེ་ལུགས་པ	* d ɡ e l u k s p a
དགེ་སློང	* d ɡ e z l o ŋ
དགེ་སློང་མ	* d ɡ e z l o ŋ m a
དགོངས་དག	* d ɡ o ŋ s d a k
དགོན་པ	* d ɡ o n p a
དགོས	* d ɡ o s
དགྲ	* d ɡ r a
དགྲ་བཅོམ་པ	* d ɡ r a p t͡ɕ o m p a
དགྲ་བོ	* d ɡ r a b o
དགྲ་འདུལ	* d ɡ r aⁿ d u l
དང	* d a ŋ
དང་པོ	* d a ŋ p o
དངུལ	* d ŋ u l
དངུལ་ཁང	* d ŋ u l kʰ a ŋ
དངུལ་ཆུ	* d ŋ u l t͡ɕʰ u
དངོས	* d ŋ o s
དངོས་གྲུབ	* d ŋ o s ɡ r u p
དད་གུས	* d a t ɡ u s
དད་པ	* d a t p a
དད་མོས	* d a t m o s
དཔག་ཏུ་མེད་པ	* t p a k t u m e t p a
དཔང་པོ	* t p a ŋ p o
དཔའ་དམ	* t p a d a m
དཔའ་བོ	* t p a b o
དཔར་ཆས	* t p a r t͡ɕʰ a s
དཔལ་ལྡན	* t p a l l d a n
དཔུང་པ	* t p u ŋ p a
དཔུང་མགོ	* t p u ŋ m ɡ o
དཔེ་ཆ	* t p e t͡ɕʰ a
དཔེ་མཛོད	* t p e m d͡z o t
དཔེ་སྐྲུན	* t p e s k r u n
དཔྱ་ཁྲལ	* t pʲ a kʰ r a l
དཔྱིད	* t pʲ i t
དཔྱིད་ཀ	* t pʲ i t k a
དབང་ཕྱུག	* d b a ŋ pʰʲ u k
དབང་འདུས	* d b a ŋⁿ d u s
དབང་སྒྱུར	* d b a ŋ z ɡʲ u r
དབང་སྒྱུར་བྱས	* d b a ŋ z ɡʲ u r bʲ a s
དབུ	* d b u
དབུ་ཀླད	* d b u k l a t
དབུ་མེད	* d b u m e t
དབུས	* d b u s
དབུས་གཙང	* d b u s k t͡s a ŋ
དབུས་གཙང་མངའ་རིས་སྐོར་གསུམ	* d b u s k t͡s a ŋ m ŋ a r i s s k o r k s u m
དབུས་འགྱུར་འཆང	* d b u sᵑ ɡʲ u rⁿ t͡ɕʰ a ŋ
དབེན་པ	* d b e n p a
དབྱངས	* d bʲ a ŋ s
དབྱར་ཀ	* d bʲ a r k a
དབྱར་ཁ	* d bʲ a r kʰ a
དབྱར་རྩྭ་དགུན་འབུ	* d bʲ a r r t͡sʷ a d ɡ u nᵐ b u
དབྱི་སི་ལམ་ཆོས་ལུགས	j iˑ s iˑ l a mˑ t͡ɕʰ øːˑ l u k̚ˀˑ
དབྱིན་གོ	j ĩ ˥˥ k o ˥˥
དབྱིན་ཇི	j ĩ ˥˥ t͡ɕ i ˥˥
དབྱིན་ཇིའི་སྐད	j ĩ ˥˥ t͡ɕ iː ˥˥ k ɛː ˥˨
དབྱེ	* d bʲ e
དམ་པ	* d a m p a
དམ་འཛིན	* d a mⁿ d͡z i n
དམག	* d m a k
དམག་དཔུང	* d m a k t p u ŋ
དམག་མི	* d m a k m i
དམག་འཁྲུག	* d m a kᵑ kʰ r u k
དམངས	* d m a ŋ s
དམངས་ཁྲོད	* d m a ŋ s kʰ r o t
དམངས་གཙོ	* d m a ŋ s k t͡s o
དམན་པ	* d m a n p a
དམར	* d m a r
དམར་པོ	* d m a r p o
དམར་སྐྱ	* d m a r s kʲ a
དར	* d a r
དར་ཆ	* d a r t͡ɕʰ a
དར་བ	* d a r b a
དར་རྩེ་མདོ	* d a r r t͡s e m d o
དར་ལྕོག	* d a r l t͡ɕ o k
དིང་རི	* d i ŋ r i
དུ་བ	* d u b a
དུག	* d u k
དུག་སྦྲང	* d u k z b r a ŋ
དུང་དཀར	* d u ŋ t k a r
དུང་ཕྱུར	* d u ŋ pʰʲ u r
དུང་སྒོར	* d u ŋ z ɡ o r
དུར་ཁྲོད	* d u r kʰ r o t
དུས་དེབ	* d u s d e p
དུས་ཚོད	* d u s t͡sʰ o t
དེ	* d e
དེང་དུས	* d e ŋ d u s
དེབ	* d e p
དེབ་ཆུང	tʰ e p̚ ˩˨ t͡ɕ u ŋˑ
དེབ་ཐེར	* d e p tʰ e r
དོ	* d o
དོ་མོད	* d o m o t
དོག་པ	* d o k p a
དོག་པོ	* d o k p o
དོགས་འདྲི	* d o k sⁿ d r i
དོན་ལྡན	* d o n l d a n
དོམ	* d o m
དྭངས	* dʷ a ŋ s
དྭངས་མ་	* dʷ a ŋ s m a
དྭངས་ལྕགས	* dʷ a ŋ s l t͡ɕ a k s
དྲན་པ	* d r a n p a
དྲི	* d r i
དྲི་བཟང	* d r i b z a ŋ
དྲི་མ	* d r i m a
དྲི་ཞིམ	* d r i ʑ i m
དྲི་ཞིམ་ཟླ	* d r i ʑ i m z l a
དྲུག	* d r u k
དྲུག་ཅུ	* d r u k t͡ɕ u
དྲུག་དཀར	* d r u k t k a r
དྲུག་པ	* d r u k p a
དྲུང་ཡིག	* d r u ŋ j i k
དྲུས་མ	* d r u s m a
དྲོ་ཚད	* d r o t͡sʰ a t
དྲོད་ཚད	* d r o t t͡sʰ a t
དྲྭ	* d rʷ a
ན	* n a
ན་བཟའ	* n a b z a
ན་རོ	* n a r o
ནག་པོ	* n a k p o
ནགས	* n a k s
ནང	* n a ŋ
ནང་པ	* n a ŋ p a
ནང་བཞིན	* n a ŋ b ʑ i n
ནང་བསྟན	* n a ŋ p s t a n
ནང་སྦྱོང	* n a ŋ z bʲ o ŋ
ནད	* n a t
ནད་གཡོག	* n a t ɡ j o k
ནད་པ	* n a t p a
ནད་ཡམས	* n a t j a m s
ནན་ཏེ	* n a n t e
ནམ་ཡང	* n a m j a ŋ
ནམ་རྒྱུན	* n a m r ɡʲ u n
ནས	* n a s
ནི	* n i
ནུབ	* n u p
ནོར་འཁྲུལ	* n o rᵑ kʰ r u l
ནོར་སྐལ	* n o r s k a l
པ	* p a
པ་ལི་ཀུང་ཧྲེ	p a ˥˥ l i ˥˥ k u ŋ ˥˥ ʂ e ˥˥
པ་ལུའུ་ཅུན	p a ˥˥ l uː ˥˥ t͡ɕ ỹ ˥˥
པ་སངས	* p a s a ŋ s
པད་པ	* p a t p a
པད་མ	* p a t m a
པད་ཚལ	p ɛː ˥˥ t͡sʰ ɛː ˥˥
པན་ཆེན་བླ་མ	* p a n t͡ɕʰ e n b l a m a
པར་ཆས	* p a r t͡ɕʰ a s
པར་སྐྲུན	* p a r s k r u n
པས	* p a s
པི་ཝང	* p i w a ŋ
པིར	* p i r
པོ་ཏ་ལ	* p o t a l a
པོ་ཏི	* p o t i
པོ་ལོ	* p o l o
པོད	* p o t
ཕ	* pʰ a
ཕ་མ	* pʰ a m a
ཕག	* pʰ a k
ཕལ་སྐད	* pʰ a l s k a t
ཕུ་ཐག	* pʰ u tʰ a k
ཕུ་བོ	* pʰ u b o
ཕུན་ཚོགས	* pʰ u n t͡sʰ o k s
ཕུར་བུ	* pʰ u r b u
ཕོ	* pʰ o
ཕོ་ཉ	* pʰ o ȵ a
ཕོ་ཉ་མོ	* pʰ o ȵ a m o
ཕོ་བྲང	* pʰ o b r a ŋ
ཕོར་པ	* pʰ o r p a
ཕྱག	* pʰʲ a k
ཕྱག་ན་རྡོ་རྗེ	* pʰʲ a k n a r d o r d͡ʑ e
ཕྱི	* pʰʲ i
ཕྱི་པ	* pʰʲ i p a
ཕྱིན	* pʰʲ i n
ཕྱུ་པ	* pʰʲ u p a
ཕྱུ་ར	* pʰʲ u r a
ཕྱེ	* pʰʲ e
ཕྱེ་མ་ལེབ	* pʰʲ e m a l e p
ཕྲག་པ	* pʰ r a k p a
ཕྲུ་གུ	* pʰ r u ɡ u
བ	* b a
བ་གླང	* b a g l a ŋ
བ་ཕྱུགས	* b a pʰʲ u k s
བཀའ	* p k a
བཀའ་གྲོས	k a ˥˥ ʈ͡ʂ øː ˥˨
བཀའ་དྲིན	* p k a d r i n
བཀའ་དྲིན་ཆེ	* p k a d r i n t͡ɕʰ e
བཀའ་བཀོད	* p k a p k o t
བཀའ་བརྒྱུད	* p k a b r ɡʲ u t
བཀའ་བསྒོ	* p k a b z ɡ o
བཀའ་བློན	* p k a b l o n
བཀའ་མོལ	k a ˥˥ m øːˑ
བཀའ་ཤག	* p k a ɕ a k
བཀོད	* p k o t
བཀོད་པ	* p k o t p a
བཀྲ་ཤིས	* b k r a ɕ i s
བཀྲ་ཤིས་བདེ་ལེགས	* b k r a ɕ i s b d e l e k s
བགོད	* b ɡ o t
བགྲང	* b g r a ŋ
བཅུ	* p t͡ɕ u
བཅུ་པ	* p t͡ɕ u p a
བད་ཀན	* b a t k a n
བདག	* b d a k
བདག་པོ	* b d a k p o
བདུག་སྤོས	* b d u k s p o s
བདུད	* b d u t
བདུད་འདུལ	* b d u tⁿ d u l
བདུན	* b d u n
བདུན་ཅུ	* b d u n t͡ɕ u
བདུན་པ	* b d u n p a
བདུན་ཕྲག	* b d u n pʰ r a k
