-al	a l
74letá	t͡ʃ t ɪ r̝ ɪ a s ɛ d m d ɛ s aː c ɪ l ɛ t aː t͡ʃ t ɪ r̝ ɪ a s ɛ d u m d ɛ s aː c ɪ l ɛ t aː
74letý	t͡ʃ t ɪ r̝ ɪ a s ɛ d m d ɛ s aː c ɪ l ɛ t iː t͡ʃ t ɪ r̝ ɪ a s ɛ d u m d ɛ s aː c ɪ l ɛ t iː
80metrový	o s m d ɛ s aː c ɪ m ɛ t r o v iː o s u m d ɛ s aː c ɪ m ɛ t r o v iː
@	ʔ ɛ t
a	ɛ ɪ
aachen	aː x ɛ n
aachene	aː x ɛ n ɛ
aachenem	aː x ɛ n ɛ m
aachenský	aː x ɛ n s k iː
aachenu	aː x ɛ n u
aacích	aː t͡s iː x
aak	aː k
aakem	aː k ɛ m
aaku	aː k u
aaky	aː k ɪ
aaků	aː k uː
aakům	aː k uː m
aamu	aː m u
ab	a p
ab-	a p
abace	a b a t͡s ɛ
abacích	a b a t͡s iː x
abadon	a b a d o n
abak	ʔ a b a k
abaka	a b a k a
abakami	a b a k a m ɪ
abakem	a b a k ɛ m
abako	a b a k o
abakou	a b a k ou̯
abakoví	a b a k o v iː
abakový	a b a k o v iː
abaku	a b a k u
abakus	a b a k u s
abaky	a b a k ɪ
abakách	a b a k aː x
abakám	a b a k aː m
abaků	a b a k uː
abakům	a b a k uː m
abald	a b a l t
abalda	a b a l d a
abaldami	a b a l d a m ɪ
abaldo	a b a l d o
abaldou	a b a l d ou̯
abaldu	a b a l d u
abaldy	a b a l d ɪ
abaldách	a b a l d aː x
abaldám	a b a l d aː m
abaldě	a b a l ɟ ɛ
abalienace	a b a l ɪ j ɛ n a t͡s ɛ
abalienacemi	a b a l ɪ j ɛ n a t͡s ɛ m ɪ
abalienaci	a b a l ɪ j ɛ n a t͡s ɪ
abalienací	a b a l ɪ j ɛ n a t͡s iː
abalienacích	a b a l ɪ j ɛ n a t͡s iː x
abalienacím	a b a l ɪ j ɛ n a t͡s iː m
abandonování	ʔ a b a n d o n o v aː ɲ iː
abandonováních	a b a n d o n o v aː ɲ iː x
abandonováním	a b a n d o n o v aː ɲ iː m
abandonováními	a b a n d o n o v aː ɲ iː m ɪ
abas	a b a s
abatyše	a b a t ɪ ʃ ɛ
abatyšemi	ʔ a b a t ɪ ʃ ɛ m ɪ
abatyši	a b a t ɪ ʃ ɪ
abatyšský	a b a t ɪ ʃ s k iː
abatyší	a b a t ɪ ʃ iː
abatyších	a b a t ɪ ʃ iː x
abatyším	a b a t ɪ ʃ iː m
abaxiální	a b a k s ɪ j aː l ɲ iː
abazštin	a b a s ʃ c ɪ n
abazština	a b a s ʃ c ɪ n a
abazštinami	a b a s ʃ c ɪ n a m ɪ
abazštino	a b a s ʃ c ɪ n o
abazštinou	a b a s ʃ c ɪ n ou̯
abazštinu	a b a s ʃ c ɪ n u
abazštiny	a b a s ʃ c ɪ n ɪ
abazštinách	a b a s ʃ c ɪ n aː x
abazštinám	a b a s ʃ c ɪ n aː m
abazštině	a b a s ʃ c ɪ ɲ ɛ
abbozzo	ʔ a b o t͡s o
abbé	a b ɛː
abbéech	a b ɛː ɛ x
abbého	a b ɛː ɦ o
abbém	a b ɛː m
abbému	a b ɛː m u
abbéovský	ʔ a b ɛː o f s k iː
abbéové	a b ɛː o v ɛː
abbéy	a b ɛː j ɪ
abbéů	a b ɛː uː
abbéům	a b ɛː uː m
abchazský	a p x a s s k iː
abchazštin	a p x a s ʃ c ɪ n
abchazština	a p x a s ʃ c ɪ n a
abchazštinami	a p x a s ʃ c ɪ n a m ɪ
abchazštino	a p x a s ʃ c ɪ n o
abchazštinou	a p x a s ʃ c ɪ n ou̯
abchazštinu	a p x a s ʃ c ɪ n u
abchazštiny	a p x a s ʃ c ɪ n ɪ
abchazštinách	a p x a s ʃ c ɪ n aː x
abchazštinám	a p x a s ʃ c ɪ n aː m
abchazštině	a p x a s ʃ c ɪ ɲ ɛ
abcházie	a p x aː z ɪ ɛ
abcházii	a p x aː z ɪ j ɪ
abcházií	a p x aː z ɪ j iː
abcházsky	ʔ a p x aː s k ɪ
abcházštin	a p x aː s ʃ c ɪ n
abcházština	a p x aː s ʃ c ɪ n a
abcházštinami	a p x aː s ʃ c ɪ n a m ɪ
abcházštino	a p x aː s ʃ c ɪ n o
abcházštinou	a p x aː s ʃ c ɪ n ou̯
abcházštinu	a p x aː s ʃ c ɪ n u
abcházštiny	a p x aː s ʃ c ɪ n ɪ
abcházštinách	a p x aː s ʃ c ɪ n aː x
abcházštinám	a p x aː s ʃ c ɪ n aː m
abcházštině	a p x aː s ʃ c ɪ ɲ ɛ
abdikace	a b d ɪ k a t͡s ɛ
abdikacemi	a b d ɪ k a t͡s ɛ m ɪ
abdikaci	a b d ɪ k a t͡s ɪ
abdikací	a b d ɪ k a t͡s iː
abdikacích	a b d ɪ k a t͡s iː x
abdikacím	a b d ɪ k a t͡s iː m
abdikovat	a b d ɪ k o v a t
abdikovati	a b d ɪ k o v a c ɪ
abdominální	a b d o m ɪ n aː l ɲ iː
abdérský	a b d ɛː r s k iː
abeced	a b ɛ t͡s ɛ t
abeceda	a b ɛ t͡s ɛ d a
abecedami	a b ɛ t͡s ɛ d a m ɪ
abecední	a b ɛ t͡s ɛ d ɲ iː
abecedo	a b ɛ t͡s ɛ d o
abecedou	a b ɛ t͡s ɛ d ou̯
abecedu	a b ɛ t͡s ɛ d u
abecedy	a b ɛ t͡s ɛ d ɪ
abecedách	a b ɛ t͡s ɛ d aː x
abecedám	a b ɛ t͡s ɛ d aː m
abecedě	a b ɛ t͡s ɛ ɟ ɛ
abelův	a b ɛ l uː f
aberace	a b ɛ r a t͡s ɛ
aberacemi	a b ɛ r a t͡s ɛ m ɪ
aberaci	a b ɛ r a t͡s ɪ
aberací	a b ɛ r a t͡s iː
aberacích	a b ɛ r a t͡s iː x
aberacím	a b ɛ r a t͡s iː m
aberdeenský	a b r d iː n s k iː
abertam	a b ɛ r t a m
abertamech	a b ɛ r t a m ɛ x
abertamský	a b ɛ r t a m s k iː
abertamy	a b ɛ r t a m ɪ
abertamům	a b ɛ r t a m uː m
abilympiád	a b ɪ l ɪ m p ɪ j aː t
abilympiáda	a b ɪ l ɪ m p ɪ j aː d a
abilympiádami	a b ɪ l ɪ m p ɪ j aː d a m ɪ
abilympiádo	a b ɪ l ɪ m p ɪ j aː d o
abilympiádou	a b ɪ l ɪ m p ɪ j aː d ou̯
abilympiádu	a b ɪ l ɪ m p ɪ j aː d u
abilympiády	a b ɪ l ɪ m p ɪ j aː d ɪ
abilympiádách	a b ɪ l ɪ m p ɪ j aː d aː x
abilympiádám	a b ɪ l ɪ m p ɪ j aː d aː m
abilympiádě	a b ɪ l ɪ m p ɪ j aː ɟ ɛ
abiogeneze	ʔ a b ɪ ɪ o ɡ ɛ n ɛ z ɛ
abiogenezemi	a b ɪ j o ɡ ɛ n ɛ z ɛ m ɪ
abiogenezi	a b ɪ j o ɡ ɛ n ɛ z ɪ
abiogenezí	a b ɪ j o ɡ ɛ n ɛ z iː
abiogenezích	a b ɪ j o ɡ ɛ n ɛ z iː x
abiogenezím	a b ɪ j o ɡ ɛ n ɛ z iː m
abionym	a b ɪ j o n ɪ m
abionyma	a b ɪ j o n ɪ m a
abionymech	a b ɪ j o n ɪ m ɛ x
abionymem	a b ɪ j o n ɪ m ɛ m
abionymu	a b ɪ j o n ɪ m u
abionymum	a b ɪ o n ɪ m u m
abionymy	a b ɪ j o n ɪ m ɪ
abionymům	a b ɪ j o n ɪ m uː m
abiotický	a b ɪ j o t ɪ t͡s k iː
abiturient	ʔ a b ɪ t u r ɪ j ɛ n t
abiturienta	a b ɪ t u r ɪ j ɛ n t a
abiturientce	a b ɪ t u r ɪ j ɛ n t t͡s ɛ
abituriente	a b ɪ t u r ɪ j ɛ n t ɛ
abiturientech	a b ɪ t u r ɪ j ɛ n t ɛ x
abiturientek	a b ɪ t u r ɪ j ɛ n t ɛ k
abiturientem	a b ɪ t u r ɪ j ɛ n t ɛ m
abiturienti	a b ɪ t u r ɪ j ɛ n c ɪ
abiturientka	a b ɪ t u r ɪ j ɛ n t k a
abiturientkami	a b ɪ t u r ɪ j ɛ n t k a m ɪ
abiturientko	a b ɪ t u r ɪ j ɛ n t k o
abiturientkou	a b ɪ t u r ɪ j ɛ n t k ou̯
abiturientku	a b ɪ t u ɪ j ɛ n t k u
abiturientky	a b ɪ t u r ɪ j ɛ n t k ɪ
abiturientkách	a b ɪ t u r ɪ j ɛ n t k aː x
abiturientkám	a b ɪ t u r ɪ j ɛ n t k aː m
abiturientovi	a b ɪ t u r ɪ j ɛ n t o v ɪ
abiturientu	a b ɪ t u r ɪ j ɛ n t u
abiturienty	a b ɪ t u r ɪ j ɛ n t ɪ
abiturientů	a b ɪ t u r ɪ j ɛ n t uː
abiturientům	a b ɪ t u r ɪ j ɛ n t uː m
abiturientův	a b ɪ t u r ɪ j ɛ n t uː f
abiturienťák	a b ɪ t u r ɪ j ɛ n c aː k
abjurace	a b j u r a t͡s ɛ
abjuracemi	a b j u r a t͡s ɛ m ɪ
abjuraci	a b j u r a t͡s ɪ
abjurací	a b j u r a t͡s iː
abjuracích	a b j u r a t͡s iː x
abjuracím	a b j u r a t͡s iː m
ablace	a b l a t͡s ɛ
ablacemi	a b l a t͡s ɛ m ɪ
ablaci	a b l a t͡s ɪ
ablací	a b l a t͡s iː
ablacích	a b l a t͡s iː x
ablacím	a b l a t͡s iː m
ablaktace	a b l a k t a t͡s ɛ
ablaktacemi	a b l a k t a t͡s ɛ m ɪ
ablaktaci	a b l a k t a t͡s ɪ
ablaktací	a b l a k t a t͡s iː
ablaktacích	a b l a k t a t͡s iː x
ablaktacím	a b l a k t a t͡s iː m
ablativ	a b l a t ɪ f
ablative	a b l a t ɪ v ɛ
ablativech	a b l a t ɪ v ɛ x
ablativem	a b l a t ɪ v ɛ m
ablativní	a b l a t ɪ v ɲ iː
ablativu	a b l a t ɪ v u
ablativy	a b l a t ɪ v ɪ
ablativů	a b l a t ɪ v uː
ablativům	a b l a t ɪ v uː m
ablaut	ʔ a b l au̯ t
ablaute	a b l au̯ t ɛ
ablautech	a b l au̯ t ɛ x
ablautem	a b l au̯ t ɛ m
ablautovat	a b l au̯ t o v a t
ablautu	a b l au̯ t u
ablauty	a b l au̯ t ɪ
ablautů	a b l au̯ t uː
ablautům	a b l au̯ t uː m
ablegát	a b l ɛ ɡ aː t
ablegáta	a b l ɛ ɡ aː t a
ablegáte	a b l ɛ ɡ aː t ɛ
ablegátech	a b l ɛ ɡ aː t ɛ x
ablegátem	a b l ɛ ɡ aː t ɛ m
ablegáti	a b l ɛ ɡ aː c ɪ
ablegátovi	a b l ɛ ɡ aː t o v ɪ
ablegátové	a b l ɛ ɡ aː t o v ɛː
ablegátu	a b l ɛ ɡ aː t u
ablegáty	a b l ɛ ɡ aː t ɪ
ablegátů	a b l ɛ ɡ aː t uː
ablegátům	a b l ɛ ɡ aː t uː m
ablegátův	a b l ɛ ɡ aː t uː f
ablézovat	ʔ a b l ɛː z o v a t
abnormalit	a b n o r m a l ɪ t
abnormalita	a b n o r m a l ɪ t a
abnormalitami	a b n o r m a l ɪ t a m ɪ
abnormalito	a b n o r m a l ɪ t o
abnormalitou	a b n o r m a l ɪ t ou̯
abnormalitu	a b n o r m a l ɪ t u
abnormality	a b n o r m a l ɪ t ɪ
abnormalitách	a b n o r m a l ɪ t aː x
abnormalitám	a b n o r m a l ɪ t aː m
abnormalitě	a b n o r m a l ɪ c ɛ
abnormit	a b n o r m ɪ t
abnormita	ʔ a b n o r m ɪ t a
abnormitami	a b n o r m ɪ t a m ɪ
abnormito	a b n o r m ɪ t o
abnormitou	a b n o r m ɪ t ou̯
abnormitu	a b n o r m ɪ t u
abnormity	a b n o r m ɪ t ɪ
abnormitách	a b n o r m ɪ t aː x
abnormitám	a b n o r m ɪ t aː m
abnormitě	a b n o r m ɪ c ɛ
abnormálnost	a b n o r m aː l n o s t
abnormálnostech	a b n o r m aː l n o s t ɛ x
abnormálnostem	a b n o r m aː l n o s t ɛ m
abnormálnosti	a b n o r m aː l n o s c ɪ
abnormálnostmi	a b n o r m aː l n o s t m ɪ
abnormálností	a b n o r m aː l n o s c iː
abnormální	a b n o r m aː l ɲ iː
abolice	a b o l ɪ t͡s ɛ
abolicemi	a b o l ɪ t͡s ɛ m ɪ
abolici	a b o l ɪ t͡s ɪ
abolicionisme	a b o l ɪ t͡s ɪ j o n ɪ z m ɛ
abolicionismech	a b o l ɪ t͡s ɪ j o n ɪ z m ɛ x
abolicionismem	a b o l ɪ t͡s ɪ j o n ɪ z m ɛ m
abolicionismu	a b o l ɪ t͡s ɪ j o n ɪ z m u
abolicionismus	a b o l ɪ t͡s ɪ j o n ɪ z m u s
abolicionismy	a b o l ɪ t͡s ɪ j o n ɪ z m ɪ
abolicionismů	a b o l ɪ t͡s ɪ j o n ɪ z m uː
abolicionismům	a b o l ɪ t͡s ɪ j o n ɪ z m uː m
abolicionizme	a b o l ɪ t͡s ɪ j o n ɪ z m ɛ
abolicionizmech	a b o l ɪ t͡s ɪ j o n ɪ z m ɛ x
abolicionizmem	a b o l ɪ t͡s ɪ j o n ɪ z m ɛ m
abolicionizmu	a b o l ɪ t͡s ɪ j o n ɪ z m u
abolicionizmus	a b o l ɪ t͡s ɪ j o n ɪ z m u s
abolicionizmy	a b o l ɪ t͡s ɪ j o n ɪ z m ɪ
abolicionizmů	a b o l ɪ t͡s ɪ j o n ɪ z m uː
abolicionizmům	a b o l ɪ t͡s ɪ j o n ɪ z m uː m
abolicí	a b o l ɪ t͡s iː
abolicích	a b o l ɪ t͡s iː x
abolicím	a b o l ɪ t͡s iː m
abonent	a b o n ɛ n t
abonenta	a b o n ɛ n t a
abonentce	a b o n ɛ n t t͡s ɛ
abonente	a b o n ɛ n t ɛ
abonentech	a b o n ɛ n t ɛ x
abonentek	a b o n ɛ n t ɛ k
abonentem	a b o n ɛ n t ɛ m
abonenti	a b o n ɛ n c ɪ
abonentka	a b o n ɛ n t k a
abonentkami	a b o n ɛ n t k a m ɪ
abonentko	a b o n ɛ n t k o
abonentkou	a b o n ɛ n t k ou̯
abonentku	a b o n ɛ n t k u
abonentky	a b o n ɛ n t k ɪ
abonentkách	a b o n ɛ n t k aː x
abonentkám	a b o n ɛ n t k aː m
abonentovi	a b o n ɛ n t o v ɪ
abonentský	a b o n ɛ n t s k iː
abonentu	a b o n ɛ n t u
abonenty	a b o n ɛ n t ɪ
abonentů	a b o n ɛ n t uː
abonentům	a b o n ɛ n t uː m
abonentův	a b o n ɛ n t uː f
abonovat	a b o n o v a t
abort	a b o r t
aborte	a b o r t ɛ
abortech	a b o r t ɛ x
abortem	a b o r t ɛ m
abortivní	a b o r t ɪ v ɲ iː
abortu	a b o r t u
abortus	a b o r t u s
aborty	a b o r t ɪ
abortů	a b o r t uː
abortům	a b o r t uː m
abradovat	a b r a d o v a t
abrahamita	a b r a ɦ a m ɪ t a
abrahamitech	a b r a ɦ a m ɪ t ɛ x
abrahamiti	a b r a ɦ a m ɪ c ɪ
abrahamito	a b r a ɦ a m ɪ t o
abrahamitou	a b r a ɦ a m ɪ t ou̯
abrahamitovi	a b r a ɦ a m ɪ t o v ɪ
abrahamitský	a b r a ɦ a m ɪ t s k iː
abrahamitu	a b r a ɦ a m ɪ t u
abrahamity	a b r a ɦ a m ɪ t ɪ
abrahamité	a b r a ɦ a m ɪ t ɛː
abrahamitů	a b r a ɦ a m ɪ t uː
abrahamitům	a b r a ɦ a m ɪ t uː m
abrahám	a b r a ɦ aː m
abrahámoviny	a b r a ɦ aː m o v ɪ n ɪ
abrahámová	a b r a ɦ aː m o v aː
abrase	a b r a z ɛ
abraze	a b r a z ɛ
abrazivní	a b r a z ɪ v ɲ iː
abreviace	a b r ɛ v ɪ j a t͡s ɛ
absces	a p s t͡s ɛ s
absence	a p s ɛ n t͡s ɛ
absenci	ʔ a p s ɛ n t͡s ɪ
absentismus	a p s ɛ n t ɪ z m u s
absentizmus	a p s ɛ n t ɪ z m u s
absint	a p s ɪ n t
absintismus	a p s ɪ n t ɪ z m u s
absintizmus	a p s ɪ n t ɪ z m u s
absolutismus	a p s o l u t ɪ z m u s
absolutizmus	a p s o l u t ɪ z m u s
absolutní	a p s o l u t ɲ iː
absolvent	a p s o l v ɛ n t
absolventi	a b s o l v ɛ n c ɪ
absolventského	ʔ a p s o l v ɛ n t s k ɛː ɦ o
absolventský	a p s o l v ɛ n t s k iː
absolventy	a p s o l v ɛ n t ɪ
absolventů	a b s o l v ɛ n t uː
absolventův	a p s o l v ɛ n t uː f
absolvenťák	a p s o l v ɛ n c aː k
absolvovali	a p s o l v o v a l ɪ
absolvovat	ʔ a p s o l v o v a t
absolvovati	a p s o l v o v a c ɪ
absolón	a p s o l oː n
absorbovat	a p s o r b o v a t
abstinent	a p s t ɪ n ɛ n t
abstinentismus	a p s t ɪ n ɛ n t ɪ z m u s
abstinentizmus	a p s t ɪ n ɛ n t ɪ z m u s
abstinentka	a p s t ɪ n ɛ n t k a
abstinentský	a p s t ɪ n ɛ n t s k iː
abstinentův	a p s c ɪ n ɛ n t uː f
abstrakcionismus	a p s t r a k t͡s ɪ o n ɪ s m u s
abstrakcionizmus	a p s t r a k t͡s ɪ o n ɪ s m u s
abstrakt	a p s t r a k t
abstraktivismus	a p s t r a k t ɪ v ɪ z m u s
abstraktivizmus	a p s t r a k t ɪ v ɪ z m u s
abstraktní	a p s t r a k t ɲ iː
abstrusní	a p s t r u s ɲ iː
absurdní	a p s u r d ɲ iː
absťák	a p s c aː k
aby	a b ɪ
abychom	ʔ a b ɪ x o m
abyste	ʔ a b ɪ s t ɛ
abysální	a b ɪ s aː l ɲ iː
abázie	a b aː z ɪ j ɛ
abáziemi	a b aː z ɪ j ɛ m ɪ
abázii	a b aː z ɪ j ɪ
abázií	a b aː z ɪ j iː
abáziích	a b aː z ɪ j iː x
abáziím	a b aː z ɪ j iː m
abélie	a b ɛː l ɪ j ɛ
abéliemi	a b ɛː l ɪ ɛ m ɪ
abélii	a b ɛː l ɪ j ɪ
abélií	a b ɛː l ɪ j iː
abéliích	a b ɛː l ɪ j iː x
abéliím	a b ɛː l ɪ j iː m
acelulární	a t͡s ɛ l u l aː r ɲ iː
acetaldehyd	a t͡s ɛ t a l d ɛ ɦ ɪ t
ach	a x
achich	a x ɪ x
achilles	a x ɪ l ɛ s
achilleus	a x ɪ l eu̯ s
acholie	a x o l ɪ j ɛ
achromatismus	a x r o m a t ɪ z m u s
achromatizmus	a x r o m a t ɪ z m u s
acht	a x t
achtovanec	a x t o v a n ɛ t s
achát	a x aː t
achátový	a x aː t o v iː
acidita	a t͡s ɪ d ɪ t a
acidity	a t͡s ɪ d ɪ t ɪ
acidobazický	a t͡s ɪ d o b a z ɪ t͡s k iː
acidofyt	a t͡s ɪ d o f ɪ t
acidostabilní	a t͡s ɪ d o s t a b ɪ l ɲ iː
aconcagua	ʔ a k o n k a ɡ u a ʔ a k o n k a ɡ v a
acylpyrin	a t͡s ɪ l p ɪ r ɪ n
aczkolwiek	a t͡ʃ k o l v j j ɛ k
adalbertův	a d a l b ɛ r t uː f
adam	ʔ a d a m
adamita	a d a m ɪ t a
adamitismus	a d a m ɪ t ɪ z m u s
adamitizmus	a d a m ɪ t ɪ z m u s
adamitský	a d a m ɪ t s k iː
adamník	a d a m ɲ iː k
adamov	a d a m o f
adamova	a d a m o v a
adamove	a d a m o v ɛ
adamovem	a d a m o v ɛ m
adamovka	a d a m o f k a
adamovský	a d a m o f s k iː
adamovu	a d a m o v u
adamová	a d a m o v aː
adamové	a d a m o v ɛː
adamově	ʔ a d a m o v j ɛ
adamův	a d a m uː f
adaptabilita	a d a p t a b ɪ l ɪ t a
adaptabilní	a d a p t a b ɪ l ɲ iː
adaptace	ʔ a d a p t a t͡s ɛ
adaptační	a d a p t a t͡ʃ ɲ iː
adapťák	a d a p c aː k
adast	a d a s t
addisabebský	a d ɪ s a b ɛ p s k iː
addisonismus	ɛ d ɪ s o n ɪ z m u s
addisonizmus	ɛ d ɪ s o n ɪ z m u s
adekvátní	a d ɛ k v aː t ɲ iː
adelaide	ɛ d ɛ l ɪ t ɛ d ɛ l ɛ j t a d ɛ l ɛ iː t
adenohypofýza	a d ɛ n o ɦ ɪ p o f iː z a
adenský	a d ɛ n s k iː
adeptů	a d ɛ p t uː
adermin	a d ɛ r m iː n
adheze	a d ɦ ɛ z ɛ
adhezní	a d ɦ ɛ z ɲ iː
adiabatický	a d ɪ j a b a t ɪ t͡s k iː
adice	a d ɪ t͡s ɛ
adjektivní	a d j ɛ k t ɪ v ɲ iː
adjektivum	a d j ɛ k t iː v u m a d j ɛ k t ɪ v u m
adjunktský	a d j u n k t s k iː
adjutantský	a d j u t a n t s k iː
adjutor	a d j u t o r
adjutum	a d j uː t u m
adjuvans	a d j u v a n s
adjuvant	a d j u v a n t
adler	aː d l ɛ r
administrativa	a d m ɪ n ɪ s t r a t ɪ v a
administrativní	a d m ɪ n ɪ s t r a t ɪ v ɲ iː
administrátor	a d m ɪ n ɪ s t r aː t o r
admirál	a d m ɪ r aː l
admirálskou	a d m ɪ r aː l s k ou̯
admirálská	a d m ɪ r aː l s k aː
admirálské	a d m ɪ r aː l s k ɛː
admirálského	a d m ɪ r aː l s k ɛː ɦ o
admirálském	a d m ɪ r aː l s k ɛː m
admirálskému	a d m ɪ r aː l s k ɛː m u
admirálský	a d m ɪ r aː l s k iː
admirálských	a d m ɪ r aː l s k iː x
admirálským	a d m ɪ r aː l s k iː m
admirálskými	a d m ɪ r aː l s k iː m ɪ
admirálští	a d m ɪ r aː l ʃ c iː
admirálův	a d m ɪ r aː l uː f
adogmatismus	a d o ɡ m a t ɪ z m u s
adogmatizmus	a d o ɡ m a t ɪ z m u s
adolescence	a d o l ɛ s t͡s ɛ n t͡s ɛ
adolescent	ʔ a d o l ɛ s t͡s ɛ n t
adolf	a d o l f
adolfův	a d o l f uː f
adonský	a d o n s k iː
adopcí	ʔ a d o p t͡s iː
