က	k a ʔ
ကၚ်	k a ŋ
ကၞိ	k a n ɔ e ʔ
ကၞိပ်	k a n i p
ကၞု	k ɑ n ɑ u
ကၞုဲ	k a n u i
ကၞံ	n ɔ m
ကၟက်	k a m a k
ကၟာဲ	k a m a i
ကၟု	k a m a o ʔ
ကၠ	k l a ʔ
ကၠန်	k l ɔ n
ကၠိက်	k l o i k
ကၠိုဟ်	k l ɒ h
ကၠီု	k l aː m
ကၠုၚ်	k l ə ŋ
ကၠေၚ်	k l ɑ ɲ
ကၠဵု	k l ɔː
ကၠံ	k l ɔ m
ခ	kʰ a ʔ
ခမိက်	ə h m ɔ i k
ခမဳ	kʰ a ʔ m ɒ ə
ခမှာဲ	h a m a e
ခရိုင်	kʰ a ʔ k à ŋ
ခရေတ်	kʰ ə r e t
ခရေတ်ယာန်	kʰ ə r e t y à n
ခရံ	k ə r ɔ m
ခါတ်	kʰ a t
ခါန်	kʰ a n
ခိုဟ်	k h ɑ h
ခိုၚ်	kʰ a ŋ
ခုၚ်	kʰ ɜ ŋ
ခူ	kʰ a o
ခေတ်	kʰ e t
ခေါ်	kʰ o k
ခံ	kʰ ɔ m
ချပ်	c h j ɔ p
ချာံ	c h a m
ချိုတ်	c h a t
ချိၚ်	c h o i ŋ
ချုက်	c h ɜ k
ချေဳၚ်မာဲ	t͡ɕʰ i a̯ ŋ m a y
ချေံ	cʰ e h
ချေၚ်	c h e a ŋ
ချဲ	c h o a
ချဴ	c h a o
ချံၚ်	c h ɔ ŋ
ခြာ	kʰ r a
ခြိၚ်	kʰ r a ŋ
ခြုပ်	kʰ r u p
ခြး	kʰ r a h
ခၚ်	kʰ ɛ ŋ
ခၞာခၟာဲစာၚ်	kʰ n aː kʰ m a e c a ɲ
ခၞိက်ထဝ်	kʰ a m ɑ h tʰ ɔ
ခၟာဲစာၚ်	kʰ m a e c a ɲ
ခၟာဲစာၚ်ၜိုဟ်	kʰ m a e c a ɲ b ɒ h
ခၠၚ်	kʰ l ɛ ŋ
ဂ	k ɛ̤ ʔ
ဂစိုတ်	h a c ɑ t
ဂစေပ်	h ə c e p
ဂစေအ်	ɡ ɛ̀ c iˀ
ဂစေံ	h a c e m
ဂဇုန်	h ə c ù n
ဂဇံ	h a c o̤ ʔ
ဂတာ	ɡ ɛ̀ˀ t a
ဂတာဝိက်	ɡ ɛ̀ t a w o ɪ k
ဂတာံ	h ə t a m
ဂတု	k i t a o ʔ
ဂတေက်	ɡ ɛ̀ t ɔ ɪ k
ဂပ်	ɡ ɔ p
ဂမၠိုၚ်	h ə l a̤ ŋ
ဂယိုၚ်	k ɛ̤ j a̤ ŋ
ဂလာ	h ə l ɛ̀ a
ဂဝ်ရခါ	k ò r ə kʰ a
ဂအုဲ	k ɛ̤ ʔ u i
ဂီု	k ə̤ m
ဂူ	k uː
ဂူၜဴ	k uː b a o
ဂး	k ɛ̤ h
ဂျဗောဝ်	c ə p ò
ဂျုၚ်	c ɜ̀ ŋ
ဂျဳ	c ì
ဂြိုပ်	k r ə̤ p
ဂြိုဟ်	k r ə̤ h
ဂြိုၚ်	k r a̤ ŋ
ဂြဳ	ɡ͡r əː
ဂြၚ်	k r e̤ a ŋ
ဂွိ	k w i̤ ʔ
ဂွဳ	k w i̤
ဂှ်	k o̤ h
ဂၞဴ	n ɛ̤ a
ဂၠိုၚ်	k l a̤ ŋ
ဂၠိၚ်	k l o̤ ɲ
ဂၠုၚ်	k l ə̤ ŋ
ဂၠေံ	k l e̤ ʔ
ဂၠဴ	k l e̤ a
ဃ	kʰ ɛ̤ ʔ
ဃံက်	kʰ ò k
ဃံၚ်	kʰ ò ŋ
စ	c a ʔ
စက္ကာန်	c a k k aː n
စက္ခူ	c a h kʰ a o
စက္ခော	c a k kʰ a o
စန်	c ɔ n
စမ္ၚာ	c a m ŋ aː
စရၚ်	k ə r ɛ ŋ
စာင်	c a i ŋ
စာရေ	k ə r e
စိန်	c i n
စိပ်	c i p
စိုတ်	c ɑ t
စိၚ်	c o i ŋ
စုက်	c ɜ k
စုံ	c u m
စူ	c u
စေက်	c ɔ i k
စေတဳ	c e t ɔ e
စေန်	c e n
စေဝ်	c e
စောန်	c o n
စဲ	c o a
စဴ	c a o
စံ	c ɔ m
စံပါ	c ɔ m p a
စံၚ်	c ɔ ŋ
စွံ	t͡ɕ ɔ ʔ
စှော်	c o h
စှ်	c ɔ h
စှ်ပန်	c ɔ h p ɔ n
စှ်ပိ	c ɔ h p ɔ e ʔ
စှ်မွဲ	c ɔ h m ò a
စှ်သုန်	c ɔ h s u n
စှ်ၜါ	c ɔ h b a
စၚ်	c ɛ ŋ
ဆ	cʰ a ʔ
ဆက်	c h ɛ k
ဆင်	cʰ ʌ ŋ
ဆပ်	c h ɔ p
ဆာန်လာန်	t͡ɕ l a n
ဆာပ်ပျာ	c h a p p y a
ဆိ	cʰ i ʔ
ဆီ	cʰ i m
ဆု	cʰ u ʔ
ဆေန်	c h e n
ဆေဝ်	c h e
ဆေၚ်	c h ɔ i ŋ
ဆံ	c h ɔ m
ဆၚ်	cʰ ʌ ŋ
ဇ	c ɛ̤ ʔ
ဇကု	c ɛ̤ ʔ k a o ʔ
ဇာဒိသိုၚ်	c ɛ̀ a r ì ʔ s a ŋ
ဇိပ်	j i p̚
ဇိုၚ်	c a̤ ŋ
ဇီု	c ɜ̀ m
ဇုတ်	c ṳ t
ဇေတ်	c è t
ဇ္ၚဲ	h o̤ a
ဇြုံ	s ṳ m
ဇွိ	h w i̤ ʔ
ဇှေ်	c e h
ဇၞော်	h n o̤ k
ည	ɲ ɛ̤ ʔ
ညာတ်	ɲ a̤ t
ညိၚ်	ɲ ò i ŋ
ညဳ	ɲ ì
ညး	ɲ e̤ a h
ဋ	t a ʔ
ဌ	tʰ a ʔ
ဍ	d a ʔ
ဍာ်	d a c
ဍာ်ကၠောံ	d a c k a l o ʔ
ဍာ်ခြက်	d a i k kʰ r ɛ k
ဍာ်ဆၚ်	d a c c a ŋ
ဍာ်တှ်	d a c t ɔ h
ဍာ်တှ်သတ်ဗြဴ	d a i k t ɔ h s a ʔ p r ɛ̤ a
ဍာ်လက်ဖက်	d a c l ɛ k pʰ a k
ဍာ်သာဲ	d a c s aː i
ဍိုၚ်	d a i ŋ
ဍုၚ်	d ɜ ŋ
ဍေန်	ɗ e n
ဍောတ်	d o t
ဎ	tʰ ɛ̤ ʔ
ဏ	n a ʔ
ဏမ်	n ɔ m
ဏး	n a ʔ
တ	t a ʔ
တက်	t ɛ k
တခဳ	t a kʰ ìː
တဆိပ်	k ə cʰ i p
တန်	t ɔ n
တမ္ၚာ	t ə ŋ a
တရဴ	k ə r a o
တာ	t a
တာန်	t a n
တာဲ	t͡aː
တိ	t ɑ e ʔ
တိတ်	t ɛ t
တိရစ္ဆာန်	t ɔ e ʔ r o̤ t cʰ a n
တိုက်	t a k
တိုက်လဝဟ်	t a k l a v ɔ̀ h
တီ	t i m
တု	t a o ʔ
တုန်	t ɔ n
တုဲ	t o ə
တူ	t a o
တေက်	t ɔ i k
တော်	t o k̚
တဲ	t o a
တဳတိတ္ထိ	ʈ o ɭ t͡e e ħ t i
တဵု	t ɔː
တံၚ်ဒဇဵု	t a ŋ d͡n c ɜ̀
တံၚ်သူ	t ɔ ŋ s u
တ္ကံ	k ɔ ʔ
တ္ၚဲ	t a ŋ o a
တြုံ	k r a o h
တွာဲ	k w a i
တွး	k w a h
တှ်	t ɔ h
တၚ်	t ɛ ŋ
တၚ်လာဲ	t ɛ ŋ l aː
တၞံကြုက်	t a n ɔː m k r ɜ k
တၞး	k ə n a h
တၞးထဝ်	k ə n a h tʰ ɔː
တၟိ	m ɔ e ʔ
တၟုဲ	t m o ə
တၟံ	h m ɔ ʔ
တၠ	k ə l a ʔ
ထ	tʰ a ʔ
ထပ်	t h ɔ p
ထပှ်	h ə p ɔ h
ထဝ်	tʰ ɔ
ထဝ်တၞး	tʰ ɔː k a n a h
ထဝ်ဗာတ်	tʰ ɔ p à t
ထာမ္မဏေဝ်	tʰ a m m ə n e
ထိက်	tʰ o i k
ထိၚ်	tʰ o i ŋ
ထုပ်	tʰ u p
ထေရဝါဒ	tʰ ɤ r ɛ̤ w ɛ̀ tʰ ɛ̤
ထေၚ်	tʰ e a ŋ
ထဲ	tʰ o a
ထဲု	tʰ u i
ထံက်	tʰ ɔ k
ထံၚ်	tʰ ɔ ŋ
ထး	tʰ a h
ထၟ	k a m a ʔ
ဒ	t ɛ̤ ʔ
ဒကာ	h ə k a
ဒဂိုန်	k ɤ̀ n
ဒစိတ်	h ə c i t
ဒဒန်	h ə t ò n
ဒမှော်	h ə m o k
ဒလန်	d e l u n
ဒအာပ်	h ə ʔ a p
ဒအိုအ်	h ə ʔ ɒ ʔ
ဒုန်	t ṳ n
ဒုၚ်	t ɜ̀ ŋ
ဒူရေန်	t ù r è n
ဒဳ	t i̤
ဒဵု	t ə̤
ဒး	t ɛ̤ h
ဒ္စာံ	h ə c a m
ဒျောဒျာ	c o̤ c ɛ̤ a
ဒြပ်	k r o p
ဒြုန်	k r ù n
ဒွက်	k u u ~ e
ဒၞေၚ်	n e a ŋ
ဒၠဴ	k l ɛ̤ a
ဓ	tʰ ɛ̤ ʔ
ဓဂဵု	h ə k ɜ̀
ဓဇဲ	h ə c ò a
ဓုပ်	tʰ ù p
န	n ɛ̤ ʔ
နက်	n ɛ̀ a k
နင်	n a ŋ
နန်	n ò n
နရက်	n ɛ̀ ʔ r ɛ k
နာဲ	n a̤ i
နာ်	n a c
နဳပသဳ	n ì p ə s ɔ e
နွံ	n ṳ m
ပ	p a ʔ
ပက်	p aː t
ပဆာန်	p ə c h a n
ပညာ	p ɔ n ɲ a
ပဍုင်	d ɜ ŋ
ပဍုၚ်	d ɜ ŋ
ပထောၚ်သအိက်	p aː tʰ u m
ပန်	p ɔ n
ပပ်	p ɔ p
ပယျေန်	p ə y e n
ပရှူ	p ə ʃ u
ပလိက်	p ə l o i k
ပလဳ	p ə l i
ပလၚ်	p ə l ɛ ŋ
ပဝါ	p a v a
ပဝ်	p o
ပသာ်	p a ʔ s a c
ပါ	p a
ပါတ္တာ	p a t t a
ပါန်	p a n
ပါပါ	p aː p aː
ပါၚ်	p a i ŋ
ပိ	p ɑ e ʔ
ပိက်	p o i k
ပိက်ထကာ	p o i k t ə k a
ပိုဲ	p o j
ပိုၚ်	p a ŋ
ပု	p a o ʔ
ပုက်	p ɜ k
ပုင်သင်္ကြာန်	p ɜ ŋ s ɛ ŋ k r a n
ပုံ	p ɔ m
ပုၚ်	p ə ŋ
ပုၚ်ဍာ်	p ɜ ŋ d a i k
ပူ	p a o
ပေ	p e
ပေဝ်	p e
ပေါန်	p o n
ပေဲါ	p o a
ပေၚ်	p ɑ ɲ
ပဲါ	p a i
ပဵု	p ɜ
ပံၚ်	p ɔ ŋ
ပံၚ်မဳ	p ɔ ŋ m ɔ e
ပးဒၞက်	p a h d n ʌ k
ပ္ကဴ	k a o
ပ္ညပ်	p a ɲ ɔ p
ပ္ညဳ	p a ɲ iː
ပ္ညဳပ္ညပ်	p a ɲ iː p a ɲ ɔ p
ပ္ဍုင်	d ɜ ŋ
ပ္ဍုၚ်	d ɜ ŋ
ပ္ဍဲ	p a ʔ d ɔ a
ပ္တေၚ်	k a t ɑ ɲ
ပျာတာ	p y a t a
ပျေက်	p y e a k
ပျောန်	p y o n
ပျၚ်	p ə y ɛ ŋ
ပြင်သေတ်	p ə r ɛ ŋ s ɪ ʔ
ပြာကတ်	p r a k o t̚
ပြိုၚ်	p r a ŋ
ပြု	p r a oˀ
ပြေ	p r e
ပြေၚ်	p r e a ŋ
ပြဵု	p r ɒ
ပြံက်	p r ɔ k
ပြံၚ်	p r ɔ ŋ
ပှော်	p u h
ပၞဟ်	m ɛ̤ n ɔ h
ပၞါန်	n a n
ပၞဴ	p ə n a o
ပၠန်	p l ɔ n
ပၠိုတ်	p l ɒ t
ပၠံၚ်	p l ɔ ŋ
ဖ	pʰ a ʔ
ဖန်	pʰ ɔ n
ဖရာပ်	h ə r a p
ဖအိုအ်	h ə ʔ ɒ ʔ
ဖာ	pʰ a
ဖာန်	pʰ a n
ဖာဲ	pʰ a i
ဖိက်	pʰ ò i k
ဖုန်	pʰ uː n
ဖေက်	p h ɑ c
ဖေဝ်	pʰ e
ဖေံ	pʰ e ʔ
ဖဲ	p h o a
ဖဴ	pʰ a o
ဗ	p ɛ̤ ʔ
ဗဂဲ	h ə k o̤ a
ဗညာ	p ɛ̀ ɲ ɛ̀ ə
ဗတာဲ	h ə t a i
ဗတဳ	p ɛ̤ ə ʔ t ɒ i
ဗန္ဒာ	p à n t ɛ̀ a
ဗဗိုန်	h ə p ɜ̀ n
ဗမတ်	k a m o t
ဗမာ	h ə m ɛ̤ a̤
ဗလံက်	p ə l ò k
ဗာဂျာ	p à c à
ဗာၚ်သ္ကုက်	p à i ŋ s ə k ɜ k
ဗာၚ်သ္ကေဝ်	p à i ŋ s ə k e
ဗု	p ṳ
ဗုဒ္ဓဘာသာ	p h ɛ̀ a s a
ဗုဒ္ဓဝါ	p ṳ t h ə w ɛ̤ a
ဗေဒၚ်	p è t ɛ̀ a ŋ
ဗဳ	p i̤
ဗဳဒဵု	p ì t ɜ̀
ဗဳလာတ်	p ì l à t
ဗ္တဳ	h a t ɑ e ʔ
ဗ္တံ	h a t ɔ m
ဗ္ၜေံ	h ə ɓ e ʔ
ဗျဉ်	p j o̤ n
ဗျု	p j ṳ ʔ
ဗြာတ်	p r a̤ t
ဗြု	p r ṳ ʔ
ဗြေန်ဂျေဝ်	p r è n c è
ဗြဲ	p r o̤ a
ဗြဴ	p r e̤ a
ဗြဴဗတိ	p r ɛ̤ ə p ɛ̤ ə ʔ t ɒ i ʔ
ဗှ်ေ	p e̤ h
ဗၚ်ဂလဳ	p ɛ̀ a ŋ k ə l ì
ဗၜေံ	p ɛ̤ ʔ ɓ e ʔ
ဗၜဵု	h ə b ɜ
ဗၞိက်	h ə n ò i k
ဗၟာ	h ə m ɛ̤ a̤
ဘ	pʰ ɛ̤ ʔ
ဘတ်	p h ɔ t
ဘာ	pʰ ɛ̤ a
ဘာသာ	pʰ ɛ̤ a s a
ဘိန်	pʰ ì n
ဘိုအ်	pʰ ɜ̀ˀ
ဘိၚ်	pʰ ò i ŋ
မ	m ɛ̤ ʔ
မင်	m ɛ̀ ŋ
မင်မွဲ	m ɔ̀ ə
မတ်	m ò t
မတ်ဆု	m ò t cʰ u ʔ
မန်	m o̤ n
မလာၚ်	m ə l à i ŋ
မဝ်တဝ်ကာ	m ɔ t ɔ k a
မသုန်	m ə s ɔ n
မာဏ္ဍာတ်	m à n t à t
မာန်	m a n
မာံ	m ɛ̀
မာ်	m a̤ c
မိ	m ì ʔ
မိတ်	m ì t
မိုဟ်	m ù h
မုသာ	m ṵ s a
မုဟ်ကျာ	m u h k y a
မုဟ်တၟံ	m ù h m ɔˀ
မုဲ	m ù i
မူ	m a o
မူသလေန်	m u sʰ a l ɪ̀ ɴ
မောဝ်	m ɔː ə
မဲာ	m à i
မဳယထာ	m ì y ə tʰ a
မဴ	m ɑ
မံၚ်	m ò ŋ
မ္ညဝ်	m ɛ̀ ʔ ɲ ɔ̀
မ္ၚဵုရအဴ	m ə ŋ ɜ̀ r a ʔ a o
မြ	p ə r ɛ̤ ʔ
မြာ်	p ə r à i k
မြာ်ကသဵု	m ɛ̀ ʔ r ɔ c k a ʔ s ɒ
မြေက်	p ə r ò i k
မြံၚ်	p ə r ò ŋ
မွဲ	m o̤ a
မွဲလက်	m o̤ a l ĕ ə ʔ
မှၚ်	h m ɛ ŋ
မၚ်	m ɛ̀ ŋ
မၞိဟ်	h n i̤ h
မၞိဟ်တြုံ	m ə n i̤ h k r a o h
မၞိဟ်ဗြဴ	m ə n ì h p r ɛ̀ a
ယ	j ɛ̤ ʔ
ယက်	j e̤ a k
ယခေၚ်	y ə kʰ ɔ i ŋ
ယထာ	y ə tʰ a
ယန်	y ò n
ယအ်	y òˀ
ယီု	j ə̤ m
ယုတ်	y ù t
ယေန်	y è n
ယောဂဳ	y ò k ì
ယဲ	j o̤ a
ယဲကာလ	j ò a k a l a ʔ
ယဲကျာ	j ò a c a
ယဲကၠန်	j ò a k l ɔ n
ယဲဂၞဴ	j o̤ a n ɛ̤ a
ယဲမတ်	j o̤ a m o̤ t
ယဲမတ်ကနအ်	j o̤ a m o̤ t k ə n ɔ ʔ
ယံက်	y ò k
ယံၚ်	y ò ŋ
ယး	j ɛ̀ h
ယျာ	y a
ယျေဝ်	j e
ယျဵု	y ɜ
ရ	r ɛ̤ ʔ
ရန်	r ò n
ရာ	r ɛ̀ a
ရာန်	r à n
ရိုဟ်	r ə̤ h
ရိုၚ်	r ɜ̀ ŋ
ရိုၚ်ဂအုဲ	r ɜ̀ ŋ h ə ʔ u i
ရုန်	r ù n
ရုဲ	r ù j
ရေတ်	r è t
ရးမည	r i ə m m a ɲ ĕ ə ʔ
ရှအ်	ʃ ɔˀ
ရှုက်	ʃ ɜ k
လ	l ɛ̤ ʔ
လကံ	k ɔ ʔ
လက်	l a k
လက်ချဴ	l ĕ ə ʔ cʰ aː w
လက်ဖက်	l ə pʰ ɛ k
လစိန်	l ɛ̤ c i n
လတ်	l ò t
လထုပ်	k ə tʰ u p
လနက်	n ɛ̀ a k
လဗာ	l ə p à
လမျီူ	p ə j ɜ̀ m
လဝဟ်	l a v ɔ̀ h
လသိုဏ်	l a s ɜː n
လီ	l ɯː m
လီု	l ə̤ m
လုပ်	l ṳ p
လုၚ်	l ɜ̀ ŋ
လေဝ်	l éː
လောန်	l ò n
လောပ်	l ù p
လောဘ	l ɔ́ pʰ ɛ̤ ʔ
လောဲ	l o̤ a
လေဲာ	l ò a
လဲ	l ṳ ə
လံၚ်	l ò ŋ
လ္ကံ	k ɔ ʔ
လ္ပာ်	k ə p a c
လ္ပံ	k ə p ɔ ʔ
လ္ၚီ	l ɛ̤ ə ʔ ŋ i̤ m
လျးတ္ၚဲ	l y ɛ̀ h s t a ŋ o a
လှာ	l a
လှောတ်	h l o t
လှောၚ်	h l o ŋ
ဝ	w ɛ̤ ʔ
ဝကျ	w ɛ̀ a k c aˀ
ဝင်္က	l i ə ŋ k a
ဝန်	w ò n
ဝပ်	w ò p
ဝါ	w ɛ̤ a̤
ဝါတ်	w a̤ t
ဝေန်	w e̤ n
ဝဲါဝှာင်	w ɑ ɪ f ɑ ɪ
ဝဳပက်	w ì p ɛ k
ဝှ်	v ɔ̀ h
သ	s a ʔ
သက္ကရာဇ်	s a k̚ k a r a t̚
သက်	s ɛ k
သက်သာ	s o kʰ s aː
သက်သဳ	s ɛ k s ɔ e
သဂြာ	h ə k r ɛ̤ a
သတ္တိ	s ɔ t t ɒ əˀ
သတ်	s ɔ t
သတ်ဗြဴ	s a ʔ p r ɛ̤ a
သပုန်	s ə p ʊ n
သမာ	h ə m a
သမ္အုဲ	s ɔ m ʔ u i
သရ	s a r ɛ̤
သရဳရ	s a r ɔ e r a ʔ
သဝ်	s ɔ̀
သာ	s a
သာဓု	s a h t o o
သာသနာ	s a s a ʔ n a
သာဲ	s a i
သိက်	s o i k
သိုက်	s a k
သိုၚ်	s a i ŋ
သီ	s ɛ m
သုည	s u ɲ a
သုန်	s uː
သုန်ည	s u ɲ ɛ̤ː
သုသာန်	s a o ʔ s a n
သုၚ်	s ə ŋ
သေနာတ်	sʰ ɪ̀ ɴ n ạ d
သောန်	s o n
သော်	s o k
သော်က္ဍိုပ်	s o k d aː p
သဳလ	s ɔ ə l a
သံၚ်	s ɔ ŋ
သ္ကေပ်	h ə k e p
သ္ဍိသဳ	kʰ a ʔ ɗ ɔ ə s ɒ ə
သ္တန်	t ɔ n
သ္တိက်	t o c
သ္တၚ်	t ɛ ŋ
သ္ပိုၚ်	h ə p a ŋ
သ္ဗံ	p ò ʔ
သ္အး	h ə ʔ a h
သ္ၚိ	h ɑ e ʔ
သ္ၚိတ်	h ɛ t
သ္ၚိသဝ်	h ɒ i ʔ s ɔ
သ္ၚု	h a o
သြန်	s ɔ n
သြိုၚ်	s a ŋ
သြောတ်	s o t
သွ	f a ʔ
သွာ	h w a
သွုၚ်	f ə ŋ
သွဵု	s ə w ɒ
သၚ်	s ɛ ŋ
သၚ်ကြာန်	s ɛ ŋ k r a n
သၚ်္ကြာန်	s ɛ ŋ k ə m ɑ
သၞာံ	h n a m
သၞေၚ်	h n e a ŋ
သၞဴ	h n a o
သၞံၚ်	h n ɔ ŋ
သၟဝ်	s͡m ɔ̀
သၟာ	h m a
သၟာန်	h m a n
သၟုဲလေင်	s͡m ɑ i l e ŋ
သၠ	h l a ʔ
သၠီ	h l ɛ m
သၠုၚ်	h l ə ŋ
သၠေံ	h l eˀ
ဟ	h a ʔ
ဟစေပ်	h a ʔ c e p
ဟတံ	h a ʔ t ɔ m
ဟာန်	h à n
ဟီု	h a m
ဟုတ်	h ŭː
ဟံသာဝတဳ	h ɔ ŋ s a w ə t ɔ e
ဠ	l a ʔ
အ	ʔ a ʔ
အကုန်	aˀ k u n
အကုသိုလ်	a ʔ k u s ɒ
အကောပ်	ə k o p
အကောၚ်	ə k e a ŋ
အကဲာ	ə k a i
အကံက်	ə k ɔ k
အကး	t ə k a h
အကြာ	ə k r a
အကွက်	ə k w ɛ k
အကၚ်	ə k ɛ ŋ
အခါ	ə kʰ a
အခါန်	ə kʰ a n
အခိၚ်	ə kʰ o i ŋ
အခေါန်	ə kʰ o n
အခေါၚ်	ə kʰ o ŋ
အဂၞဲ	ʔ a ʔ n ṳ ə
အစာတ်	ə c a t
အစေန်	ə c e n
အစောံ	ə c o n
အစေံ	ʔ ɛ̀ c e m
အစဵုယျ	ə c ɜ y aˀ
အစံၚ်	ə c o m
အဆက်	ə c h ɛ k
အဆိပ်	ə c h i p
အဆံ	ə c h ɔ m
အတာန်	ə t a n
အတိက်	ə t o i k
အတိုၚ်	ə t a ŋ
အတေၚ်	ə t e a ŋ
အထက်	ə tʰ ɛ k
အထုပ်	ʔ a tʰ u p
အထောတ်	ə tʰ o t
အဒိုတ်	ʔ a ʔ t ə̤ t
အဓိပ္ပါယ်	ʔ a d h ɪː p p ɑ i
အနာဂါံ	ʔ a n ɛ̀ ə ɡ ɑː m
အနာံ	ə n è m
အနိၚ်	ə n ò i ŋ
အနုဘာဝ်	ɑ̆ n ŭ̀ b h ɛ̀ ɑ w
အနေ	ə n è
အန္တရာယ်	ʔ o n t a ˨˩ r a j
အနှေန်	ə h n ɛ n
အပါ	ʔ a p a
အပိုဟ်	ʔ a p ɜ h
အပိုၚ်	ə p a ŋ
အပံၚ်	ə p ɔ ŋ
အပ်	ɔ p
အပြေံက်	ə p r ɔ k
အပၚ်	ə p ɛ ŋ
အဖက်	ə pʰ ɛ k
အဘိဓာန်	ʔ a ʔ pʰ i̤ ʔ tʰ a̤ n
အမိၚ်	ə m ò i ŋ
အမေ	ə m è
အမှု	ə h m a oˀ
အမှဲ	ʔ ə h m o a
အယုက်	ʔ ə j ɜ̀ k
အယျဲ	ə y o a
အရည	ʔ a r ɔ n ɲ a
အရာ	ə r ɛ̀ a
အရာပ်	ə r è p
အရိုၚ်	ə r à ŋ
အရဳ	ʔˀ r ì
အရံၚ်	ə r ò ŋ
အရၚ်	ə r ɛ̀ a ŋ
အလာံ	ʔ ə l ɛ̤ m
အလိုက်	ə l à k
အလုံ	ə l ù m
အဝ	ʔ ɛ̀ː w a
အဝတ်	ʔ aː ʋ ŭ ə t
အဝါ	ʔ a w ɛ̀ ə
အသုဘ	ʔ ə s a o ʔ pʰ ɛ̀ ʔ
အသုၚ်	ə s ɜ ŋ
အသူ	ʔ a s u
အသူရိကာဲ	ʔ a s u r i k a i
အသံ	ə s ɔ m
အသၟဝ်	ʔ a s͡m ɔ̀
အဟာန်	ʔ a ʔ h a n
အာ	ʔ a
အာကာသ	ʔ ə k a s a
အာကာသ်	ʔ ə k a h
အိက်	ʔ o i k
အိန်	ʔ i n
အိန်ထံၚ်	ʔ i n tʰ ɔ ŋ
အိုတ်	ɒ t
အုက်	ʔ ɜ k
အုပ်	ʔ u
အုဲ	ʔ u i
အူ	ū
အေ	ʔ éː
အေရှာ	e ʃ aˀ
အောန်	ʔ o n
အောန်စိုတ်	ʔ o n c ɒ t
အောဟ်	ʔ o h
အဲ	ʔ o a
အဴ	ʔ aː
အံ	ʔ m
အံၚ်	ʔ ɔ ŋ
အး	a h
အ္စာဥပဒေ	ʔ ə t͡ɕ uˀ p ə t è
အၚာ	ʔ ə ŋ ɛ̀ a
အၚ်	ɛ ŋ
အၜဝ်	ʔ ɑ ɓ o u
ဣ	i
ဣသိ	ʔ i ʔ s ɔ e ʔ
ဥ	u
ဥတု	u t u
ဥတုက္ညၚ်	k a ɲ ʌ ŋ
ဥပဒေ	u p a d e
ဥပဒေသ်	uˀ p ə t è
ဥပမာ	ʔ u ʔ p ə m a
ဥပရာဇာ	ʔ ṵ p ə r ɛ̀ ə j ɛ̀ ə
ဥပ်	u p
ဥု	ū
ဥူ	u
ၐြဳ	ɡ͡r əː
ၚ	ŋ ɛ̤ ʔ
