на	n a
еще	j ɛ ɕ t͡ɕ ɛ
закони	z a k ɔ n i
ко	k oː
поза	p ɔ z a
попри	p ɔ p r i
ха	x a
книгу	k n i ɣ u
кров	k r ɔ v
проживання	p r ɔ ʑ i v a n nʲ a
раптом	r a p t ɔ m
at	ɑ t
владою	v ɮ a d ɔ j u
джон	d͡ʒ ɔ n
докази	d ɔ k a z i
кохання	k ɔ x a n nʲ a
ох	ɔ x
парку	p a r k u
правил	p r a vʲ i l
зможуть	z m ɔ ʑ u tʲ
доби	d ɔ b i
дорозі	d ɔ r ɔ z i
кандидат	k a n d i d a t
наказ	n a k a z
сан	s a n
том	t ɔ m
цими	t͡sʰ i m i
чогось	t͡ɕ ɔ ɡ ɔ s ɪ
загальна	z a ɣ a ɮʲ n a
каналу	k a n a ɮ u
мы	m i
народних	n a r ɔ d n i x
обмін	ɔ b m i n
орган	ɔ r ɡ a n
покарання	p ɔ k a r a n nʲ a
програму	p r ɔ ɡ r a m u
рад	r a d
тоже	t ɔ ʒ ɛ
незабаром	n ɛ z a b a r ɔ m
раду	r a d u
рано	r a n o
родини	r ɔ d i n i
сто	s t ɔ
гадаю	ɡ a d a j u
глава	ɡ ɫ a v a
дасть	d a s tʲ
кордоном	k ɔ r d ɔ n ɔ m
краю	k r a j u
дитини	d i t i n i
команду	k ɔ m a n d u
поле	p ɔ lʲ ɛ
продажу	p r ɔ d a ʒ u
спроби	s p r ɔ b i
лист	l i s t
магазин	m a ɣ a z i n
машину	m a ɕ i n u
парк	p a r k
страшно	s t r a ɕ n o
строк	s t r ɔ k
форму	f ɔ r m u
ан	a n
их	i x
командир	k ɔ m a n d i r
машина	m a ɕ i n a
платити	p ɮ a tʲ i tʲ i
піду	p i d u
робили	r ɔ b i l i
топ	t ɔ p
замок	z a m ɔ k
захищати	z a x i ɕ t͡ɕ a tʲ i
зрада	z r a d a
пане	p a nʲ ɛ
фронту	f r ɔ n t u
хороша	x ɔ r ɔ ɕ a
гори	ɡ ɔ r i
зробить	z r ɔ b i tʲ
канади	k a n a d i
код	k ɔ d
розмови	r ɔ z m ɔ v i
засоби	z a s ɔ b i
змогли	z m ɔ ɡ l i
фронт	f r ɔ n t
ціну	t͡sʰ i n u
жили	ʒ i l i
заява	z a j a v a
казати	k a z a tʲ i
образ	ɔ b r a z
починають	p ɔ t͡ɕ i n a j u tʲ
ледь	l ɛ d ɪ
машин	m a ɕ i n
пір	p i r
ціною	t͡sʰ i n ɔ j u
доходи	d ɔ x ɔ d i
звіт	z ʋ i t
казали	k a z a l i
рок	r ɔ k
роком	r ɔ k ɔ m
not	n o t
заводу	z a v ɔ d u
нагоди	n a ɣ ɔ d i
опис	ɔ p i s
показали	p ɔ k a z a l i
даже	d a ʒ ɛ
книг	k n i ɡ
курсу	k ʊ r s ʊ
мер	m ɛ r
міжнародна	m i ʒ n a r ɔ d n a
міністром	m i n i s t r ɔ m
приходить	p r i x ɔ d i tʲ
просимо	p r ɔ s i m ɔ
радою	r a d ɔ j u
родина	r ɔ d i n a
сенс	s ɛ n s
сон	s ɔ n
якесь	j a kʲ ɛ s ɪ
могло	m ɔ ɡ l ɔ
остання	ɔ s t a n nʲ a
пара	p a r a
погоди	p ɔ ɡ ɔ d i
сходу	s x ɔ d u
чолі	t͡ʃ ɔ lʲ i
богдана	b ɔ ɡ d a n a
дух	d ʊ x
зате	z a tʲ ɛ
мозку	m ɔ z k u
пат	p a t
под	p ɔ d
харкова	x a r k ɔ v a
хх	x
гурт	ɡ ʊ r t
зміну	z m i n u
рота	r ɔ t a
справах	s p r a v a x
тарас	t a r a s
трамп	t r a m p
храм	x r a m
are	ɑː ɾ ɛ
партій	p a r tʰ i j
рос	r ɔ s
ап	a p
голів	ɡ ɔ l i v
команд	k ɔ m a n d
купа	k u p a
небо	n ɛ b ɔ
несе	n ɛ s ɛ
прохання	p r ɔ x a n nʲ a
проходять	p r ɔ x ɔ d j a tʲ
тараса	t a r a s a
білого	b i l ɔ ɡ ɔ
дочка	d ɔ t͡ʃ k a
зміст	z m i s t
мозок	m ɔ z ɔ k
нащо	n a ɕ ɔ
органом	ɔ r ɡ a n ɔ m
подання	p ɔ d a n nʲ a
пропоную	p r ɔ p ɔ n u j u
дехто	d ɛ x t ɔ
збір	z b i r
зразок	z r a z ɔ k
міс	m i s
пана	p a n a
тарифи	t a r i f i
щоби	ɕ ɔ b i
have	h ɑː v ɛ
viii	v iː i
зміна	z m i n a
зразу	z r a z u
зірок	z i r ɔ k
напад	n a p a d
нападу	n a p a d u
оксана	ɔ k s a n a
пиво	p i v o
сказано	s k a z a n o
ты	t i
цін	t͡sʰ i n
базу	b a z u
органу	ɔ r ɡ a n u
програм	p r ɔ ɡ r a m
робимо	r ɔ b i m ɔ
ходить	x ɔ d i tʲ
жах	ʒ a x
загрозу	z a ɡ r ɔ z u
зал	z a ɮ
зверху	z ʋ ɛ r x u
котра	k ɔ t r a
наказом	n a k a z ɔ m
норми	n ɔ r m i
папа	p a p a
просить	p r ɔ s i tʲ
загрози	z a ɡ r ɔ z i
збори	z b ɔ r i
містом	m i s t ɔ m
народна	n a r ɔ d n a
насіння	n a s i n nʲ a
споживання	s p ɔ ʑ i v a n nʲ a
was	w ɑː s
we	w ɛ
запах	z a p a x
обміну	ɔ b m i n u
пишу	p i ɕ u
робиш	r ɔ b i ɕ
зробимо	z r ɔ b i m ɔ
казала	k a z a ɮ a
мак	m a k
податку	p ɔ d a t k u
альбом	a ɮʲ b ɔ m
китаю	k i t a j u
моз	m ɔ z
органами	ɔ r ɡ a n a m i
спроба	s p r ɔ b a
червона	t͡ɕ ɛ r v ɔ n a
do	d oː
бан	b a n
дадуть	d a d u tʲ
дату	d a t u
зібрати	z i b r a tʲ i
ни	n i
па	p a
простору	p r ɔ s t ɔ r u
so	s oː
база	b a z a
добро	d ɔ b r ɔ
збору	z b ɔ r u
кожним	k ɔ ʑ n i m
пар	p a r
погана	p ɔ ɡ a n a
подати	p ɔ d a tʲ i
підозру	p i d ɔ z r u
родині	r ɔ d i n i
символ	s i m v ɔ l
когда	k ɔ ɡ d a
командира	k ɔ m a n d i r a
останню	ɔ s t a n nʲ u
пакет	p a kʲ ɛ t
прапора	p r a p ɔ r a
прогноз	p r ɔ ɡ n ɔ z
розмову	r ɔ z m ɔ v u
романа	r ɔ m a n a
фізичних	f i z i t͡ɕ n i x
джеймс	d͡ʒ ɛ j m s
дизайн	d i z ɛː n
замку	z a m k u
зона	z ɔ n a
платять	p ɮ a tʲ a tʲ
зробіть	z r ɔ b i tʲ
канада	k a n a d a
обрання	ɔ b r a n nʲ a
певних	p ɛ v n i x
розмова	r ɔ z m ɔ v a
йорку	j ɔ r k u
ма	m a
обрати	ɔ b r a tʲ i
поспіль	p ɔ s p i lʲ
пригоди	p r i ɡ ɔ d i
розміру	r ɔ z m i r u
сад	s a d
форм	f ɔ r m
заяв	z a j a v
кризи	k r i z i
машині	m a ɕ i n i
низку	n i z k u
ногу	n ɔ ɡ u
платить	p ɮ a tʲ i tʲ
прикро	p r i k r o
підняти	p i d nʲ a tʲ i
підуть	p i d u tʲ
риби	r i b i
цифри	t͡sʰ i f r i
ахметова	a x mʲ ɛ t ɔ v a
кроки	k r ɔ k i
органах	ɔ r ɡ a n a x
порох	p ɔ r ɔ x
працю	p r a t͡sʲ u
саду	s a d u
сфери	s f ɛ r i
храму	x r a m u
борис	b ɔ r i s
говорю	ɡ ɔ v ɔ r j u
нан	n a n
ногами	n ɔ ɡ a m i
палати	p a ɮ a tʲ i
потому	p ɔ t ɔ m u
підстави	p i d s t a vʲ i
an	ɑ n
батьком	b a tʲ k ɔ m
гаразд	ɡ a r a z d
година	ɡ ɔ d i n a
зможу	z m ɔ ʑ u
змісту	z m i s t u
китаї	k i t a j
книжку	k n i ʒ k u
краси	k r a s i
кроком	k r ɔ k ɔ m
липні	l i p n i
нуль	n ʊ lʲ
опір	ɔ p i r
питанням	p i t a n nʲ a m
поради	p ɔ r a d i
приходять	p r i x ɔ d j a tʲ
ранок	r a n ɔ k
рис	r i s
ян	j a n
as	ɑː s
герб	ɡ ɛ r b
джордж	d͡ʒ ɔ r d͡ʒ
епохи	j ɛ p ɔ x i
загибелі	z a ɡ i b ɛ l i
лев	l ɛ v
носить	n ɔ s i tʲ
фоні	f ɔ n i
грав	ɡ r a v
дарма	d a r m a
джона	d͡ʒ ɔ n a
зник	z n i k
напрямок	n a p rʲ a m ɔ k
посту	p ɔ s t u
правом	p r a v ɔ m
придбання	p r i d b a n nʲ a
проста	p r ɔ s t a
сир	s i r
богом	b ɔ ɡ ɔ m
житомир	ʒ i t ɔ m i r
міжнародним	m i ʒ n a r ɔ d n i m
пес	p ɛ s
тре	t rʲ ɛ
more	m oː ɾ ɛ
болить	b ɔ l i tʲ
законами	z a k ɔ n a m i
каналів	k a n a l i v
книжка	k n i ʒ k a
командою	k ɔ m a n d ɔ j u
маму	m a m u
писали	p i s a l i
позаду	p ɔ z a d u
природа	p r i r ɔ d a
природних	p r i r ɔ d n i x
пішло	p i ʃ l o
риба	r i b a
сум	s ʊ m
талант	t a ɮ a n t
ходи	x ɔ d i
братом	b r a t ɔ m
загальну	z a ɣ a ɮʲ n u
захисника	z a x i s n i k a
згоди	z ɡ ɔ d i
ка	k a
крила	k r i l a
маси	m a s i
образи	ɔ b r a z i
позов	p ɔ z ɔ v
посад	p ɔ s a d
робіть	r ɔ b i tʲ
скажімо	s k a ʒ i m ɔ
стоп	s t ɔ p
такое	t a k ɔ j ɛ
альфа	a ɮʲ f a
здатна	z d a t n a
змусити	z m ʊ s i tʲ i
зібрав	z i b r a v
маса	m a s a
мосту	m ɔ s t u
проходили	p r ɔ x ɔ d i l i
се	s ɛ
бориса	b ɔ r i s a
годі	ɡ ɔ d i
захопити	z a x ɔ pʲ i tʲ i
какой	k a k ɔ j
надають	n a d a j u tʲ
пока	p ɔ k a
походу	p ɔ x ɔ d u
продають	p r ɔ d a j u tʲ
роману	r ɔ m a n u
сини	s i n i
тата	t a t a
ходили	x ɔ d i l i
ах	a x
баба	b a b a
доказ	d ɔ k a z
допоможуть	d ɔ p ɔ m ɔ ʑ u tʲ
загроза	z a ɡ r ɔ z a
зима	z i m ɑ
зроби	z r ɔ b i
карпат	k a r p a t
книжок	k n i ʒ ɔ k
книзі	k n i z i
меж	m ɛ ʒ
палацу	p a ɮ a t͡sʰ u
порту	p ɔ r t u
собака	s ɔ b a k a
собор	s ɔ b ɔ r
справами	s p r a v a m i
этот	e t ɔ t
азов	a z ɔ v
года	ɡ ɔ d a
дах	d a x
заводи	z a v ɔ d i
корисних	k ɔ r i s n i x
криза	k r i z a
палац	p a ɮ a t͡sʰ
пороха	p ɔ r ɔ x a
принц	p r i n t͡sʰ
собору	s ɔ b ɔ r u
страху	s t r a x u
такой	t a k ɔ j
хан	x a n
or	o ɾ
бреше	b rʲ ɛ ɕ ɛ
даху	d a x u
зе	z ɛ
зникли	z n i k l i
зраду	z r a d u
марина	m a r i n a
пам	p a m
потом	p ɔ t ɔ m
ставку	s t a w k u
тон	t ɔ n
vii	v iː
гора	ɡ ɔ r a
дон	d ɔ n
ель	j ɛ l ɪ
жодна	ʒ ɔ d n a
зими	z i m i
леді	l ɛ d i
небі	n ɛ b i
однаково	ɔ d n a k ɔ v ɔ
одних	ɔ d n i x
розкажіть	r ɔ z k a ʒ i tʲ
сап	s a p
табору	t a b ɔ r u
христос	x r i s t ɔ s
чорних	t͡ɕ ɔ r n i x
этом	e t ɔ m
баланс	b a ɮ a n s
борги	b ɔ r ɡ i
грають	ɡ r a j u tʲ
держ	d ɛ r ʒ
магазину	m a ɣ a z i n u
малюк	m a ɮʲ u k
мамою	m a m ɔ j u
надано	n a d a n o
народи	n a r ɔ d i
народом	n a r ɔ d ɔ m
пишіть	p i ɕ i tʲ
порно	p ɔ r n o
приводом	p r i v ɔ d ɔ m
програмою	p r ɔ ɡ r a m ɔ j u
родину	r ɔ d i n u
ставка	s t a w k a
типів	t i p i v
here	h ɛ ɾ ɛ
багатьма	b a ɣ a tʲ m a
бидло	b i d l o
которые	k ɔ t ɔ r i j ɛ
краса	k r a s a
природі	p r i r ɔ d i
справою	s p r a v ɔ j u
танці	t a n t͡sʰ
хороше	x ɔ r ɔ ɕ ɛ
купить	k u p i tʲ
мирних	m i r n i x
носа	n ɔ s a
становлять	s t a n ɔ v ɮʲ a tʲ
there	ð ɛ ɾ ɛ
галина	ɡ a ɮ i n a
жива	ʒ i v a
запуск	z a p u s k
марк	m a r k
масово	m a s ɔ v ɔ
менi	m ɛ n i
мінську	m i n s ɪ k u
приз	p r i z
пропаганду	p r ɔ p a ɣ a n d u
сказать	s k a z a tʲ
ун	ʊ n
яна	j a n a
диск	d i s k
дитині	d i t i n i
дихання	d i x a n nʲ a
доходу	d ɔ x ɔ d u
зібрання	z i b r a n nʲ a
корабля	k ɔ r a b ɮʲ a
мам	m a m
мед	m ɛ d
праць	p r a t͡sʲ
продам	p r ɔ d a m
ра	r a
риси	r i s i
розі	r ɔ z i
формою	f ɔ r m ɔ j u
хороших	x ɔ r ɔ ɕ i x
nasa	n ɑː s ɑ
гору	ɡ ɔ r u
ех	j ɛ x
занять	z a nʲ a tʲ
здати	z d a tʲ i
кабмін	k a b m i n
космос	k ɔ s m ɔ s
ме	m ɛ
мету	m ɛ t u
образу	ɔ b r a z u
поп	p ɔ p
тариф	t a r i f
формально	f ɔ r m a lʲ n o
post	p o s t
адам	a d a m
боргу	b ɔ r ɡ u
горить	ɡ ɔ r i tʲ
запаси	z a p a s i
зразка	z r a z k a
кораблів	k ɔ r a b l i v
нац	n a t͡sʰ
нашою	n a ɕ ɔ j u
потоку	p ɔ t ɔ k u
програв	p r ɔ ɡ r a v
рибу	r i b u
синдром	s i n d r ɔ m
собаку	s ɔ b a k u
старому	s t a r ɔ m u
тривають	t r i v a j u tʲ
фоп	f ɔ p
цінами	t͡sʰ i n a m i
батькам	b a tʲ k a m
жан	ʒ a n
забрав	z a b r a v
змозі	z m ɔ z i
знаходить	z n a x ɔ d i tʲ
им	i m
кадри	k a d r i
киев	k i j ɛ v
кимось	k i m ɔ s ɪ
кордони	k ɔ r d ɔ n i
питаю	p i t a j u
показ	p ɔ k a z
приват	p r i v a t
сер	s ɛ r
фабрика	f a b r i k a
state	s t ɑː t ɛ
бен	b ɛ n
жарти	ʒ a r tʰ i
забрала	z a b r a ɮ a
заявою	z a j a v ɔ j u
коп	k ɔ p
кохана	k ɔ x a n a
попит	p ɔ p i t
проживають	p r ɔ ʑ i v a j u tʲ
сходи	s x ɔ d i
ар	a r
ба	b a
ганьба	ɡ a nʲ b a
джо	d͡ʒ ɔ
замовити	z a m ɔ v i tʲ i
казино	k a z i n o
корисно	k ɔ r i s n o
магазини	m a ɣ a z i n i
мороз	m ɔ r ɔ z
нагадують	n a ɣ a d u j u tʲ
наказу	n a k a z u
народним	n a r ɔ d n i m
радості	r a d ɔ s tʲ i
раку	r a k u
становила	s t a n ɔ v i l a
трави	t r a vʲ i
фраза	f r a z a
часть	t͡ɕ a s tʲ
la	l ɑː
гран	ɡ r a n
дам	d a m
джек	d͡ʒ ɛ k
запросили	z a p r ɔ s i l i
зо	z ɔ
кажеш	k a ʒ ɛ ɕ
куб	k u b
основа	ɔ s n ɔ v a
посада	p ɔ s a d a
поховання	p ɔ x ɔ v a n nʲ a
походить	p ɔ x ɔ d i tʲ
розмов	r ɔ z m ɔ v
how	h oː w
na	n ɑː
борту	b ɔ r t u
грою	ɡ r ɔ j u
дар	d a r
дотримання	d ɔ t r i m a n nʲ a
дочку	d ɔ t͡ʃ k u
подали	p ɔ d a l i
починаю	p ɔ t͡ɕ i n a j u
прапором	p r a p ɔ r ɔ m
приміщень	p r i m i ɕ t͡ɕ ɛ n ɪ
просили	p r ɔ s i l i
путь	p u tʲ
руці	r ʊ t͡sʲ
серпень	s ɛ r p ɛ n ɪ
фізично	f i z i t͡ʃ n o
хату	x a tʰ u
ціле	t͡sʰ i lʲ ɛ
day	d ɑː j
has	h ɑː s
дана	d a n a
запас	z a p a s
заходить	z a x ɔ d i tʲ
звіту	z ʋ i t u
кабміну	k a b m i n u
могили	m ɔ ɡ i l i
особисту	ɔ s ɔ b i s t u
покаже	p ɔ k a ʒ ɛ
попросила	p ɔ p r ɔ s i l a
принципів	p r i n t͡sʰ i p i v
підозри	p i d ɔ z r i
фізика	f i z i k a
щас	ɕ a s
білому	b i l ɔ m u
доба	d ɔ b a
забив	z a b i v
збирають	z b i r a j u tʲ
знаком	z n a k ɔ m
красу	k r a s u
мін	m i n
обрано	ɔ b r a n o
праву	p r a v u
проф	p r ɔ f
проходила	p r ɔ x ɔ d i l a
салат	s a ɮ a t
english	ɛ ŋ ɡ l ɪ ʃ
war	w ɑː ɾ
бал	b a ɮ
захищають	z a x i ɕ t͡ɕ a j u tʲ
знизу	z n i z u
зір	z i r
мас	m a s
ознакою	ɔ z n a k ɔ j u
пор	p ɔ r
посадах	p ɔ s a d a x
поставить	p ɔ s t a vʲ i tʲ
принципом	p r i n t͡sʰ i p ɔ m
снігу	s n i ɡ u
сотню	s ɔ t nʲ u
тату	t a t u
тот	t ɔ t
язык	j a z i k
яскраво	j a s k r a v ɔ
pro	p ɾ oː
бери	b ɛ r i
били	b i l i
заодно	z a ɔ d n o
збірну	z b i r n u
магазинах	m a ɣ a z i n a x
мать	m a tʲ
подібно	p ɔ d i b n o
поділ	p ɔ d i l
польщу	p ɔ lʲ ɕ t͡ɕ u
рани	r a n i
роби	r ɔ b i
родиною	r ɔ d i n ɔ j u
росту	r ɔ s t u
сен	s ɛ n
шум	ʃ ʊ m
en	ɛ n
open	o p ɛ n
арк	a r k
газпром	ɡ a z p r ɔ m
захистом	z a x i s t ɔ m
звикли	z ʋ i k l i
міняти	m i nʲ a tʲ i
обама	ɔ b a m a
погоду	p ɔ ɡ ɔ d u
попросили	p ɔ p r ɔ s i l i
ран	r a n
сиділи	s i d i l i
щоразу	ɕ ɔ r a z u
black	b l ɑ k
бомба	b ɔ m b a
брала	b r a ɮ a
жорстко	ʒ ɔ r s t k ɔ
кохаю	k ɔ x a j u
міф	m i f
незаконних	n ɛ z a k ɔ n n i x
парад	p a r a d
продажі	p r ɔ d a ʒ i
сором	s ɔ r ɔ m
трава	t r a v a
траси	t r a s i
бензин	b ɛ n z i n
боб	b ɔ b
ги	ɡ i
дива	d i v a
долина	d ɔ l i n a
доньку	d ɔ nʲ k u
зиму	z i m u
зіграти	z i ɡ r a tʲ i
кара	k a r a
міжнародними	m i ʒ n a r ɔ d n i m i
норму	n ɔ r m u
папери	p a pʲ ɛ r i
порт	p ɔ r t
підряд	p i d rʲ a d
родин	r ɔ d i n
руди	r ʊ d i
тривала	t r i v a l a
щастить	ɕ a s tʲ i tʲ
баз	b a z
ее	j ɛ j ɛ
красуня	k r a s u nʲ a
мазепи	m a z ɛ p i
мартін	m a r tʰ i n
морально	m ɔ r a lʲ n o
пахне	p a x nʲ ɛ
певною	p ɛ v n ɔ j u
письма	p i s ɪ m ɑ
прапори	p r a p ɔ r i
рн	r ə n
сих	s i x
ск	s k
спас	s p a s
ярмарок	j a r m a r ɔ k
big	b ɪ ɡ
get	ɡ ɛ t
артист	a r tʰ i s t
боксу	b ɔ k s u
борт	b ɔ r t
газом	ɡ a z ɔ m
добрим	d ɔ b r i m
милі	m i l i
моди	m ɔ d i
надала	n a d a ɮ a
ознака	ɔ z n a k a
птах	p t a x
піску	p i s k u
сент	s ɛ n t
слухай	s ɮ ʊ x ɛː
стрес	s t rʲ ɛ s
трамвай	t r a m v ɛː
бум	b ʊ m
град	ɡ r a d
добрих	d ɔ b r i x
діда	d i d a
какая	k a k a j a
капець	k a pʲ ɛ t͡sʲ
кнопку	k n ɔ p k u
ком	k ɔ m
набридло	n a b r i d l o
напади	n a p a d i
олігархи	ɔ l i ɡ a r x i
опису	ɔ p i s u
стор	s t ɔ r
хор	x ɔ r
чорним	t͡ɕ ɔ r n i m
oh	o h
some	s oː m ɛ
газпрому	ɡ a z p r ɔ m u
галичина	ɡ a ɮ i t͡ɕʰ i n a
галичини	ɡ a ɮ i t͡ɕʰ i n i
депо	d ɛ p ɔ
дзвони	d͡z ʋ ɔ n i
ес	j ɛ s
запросити	z a p r ɔ s i tʲ i
змінить	z m i n i tʲ
карт	k a r t
нa	n ɑː
нафту	n a f t u
паперу	p a pʲ ɛ r u
погрози	p ɔ ɡ r ɔ z i
подають	p ɔ d a j u tʲ
потроху	p ɔ t r ɔ x u
пригадую	p r i ɡ a d u j u
приміром	p r i m i r ɔ m
пройдуть	p r ɔ j d u tʲ
підлозі	p i d l ɔ z i
піснею	p i s n ɛ j u
ризику	r i z i k u
рим	r i m
сара	s a r a
тримай	t r i m ɛː
top	t o p
допит	d ɔ p i t
епоху	j ɛ p ɔ x u
заснована	z a s n ɔ v a n a
засобом	z a s ɔ b ɔ m
нар	n a r
пер	p ɛ r
