нужно	n u ʑ n o
сина	s i n a
цяло	t͡sʰ j a ɮ o
градина	k r a d i n a
дано	d a n o
исках	i s k a x
хубава	x u b a w a
земи	z e m i
организация	ɔ r k a n i z a t͡sʰ i j a
разбрах	r a z b r a x
сама	s a m a
ал	a ɮ
казано	k a z a n o
нямаш	nʲ a m a ɕ
бавно	b a w n o
именно	i m e n n o
мир	m i r
народ	n a r oː d
дам	d a m
мама	m a m a
казах	k a z a x
пример	p r i m e r
дами	d a m i
сън	s ɔ n
база	b a z a
биха	b i x a
имах	i m a x
фирми	f i r m i
дух	d u x
прав	p r a w
de	d e
силна	s i ɮ n a
знаех	z n a j ɛ x
филма	f i ɮ m a
хил	x i ɮ
добрия	d ɔ b r i j a
магазина	m a ɣ a z i n a
турнира	tʰ u r n i r a
мина	m i n a
филми	f i ɮ m i
no	n o
курс	k u r s
риба	r i b a
езика	j ɛ z i k a
мартин	m a r tʰ i n
криза	k r i z a
мира	m i r a
машини	m a ɕ i n i
мери	m e r i
мерси	m e r s i
насам	n a s a m
мисия	m i s i j a
ох	ɔ x
силни	s i ɮ n i
снощи	s n ɔ ɕ i
анализ	a n a ɮ i z
градуса	k r a d u s a
дейвид	d e j v i d
месо	m e s o
сан	s a n
туризъм	t u r i z ʊ m
мин	m i n
сирия	s i r i j a
камъни	k a m n i
машина	m a ɕ i n a
наши	n a ɕ i
су	s u
рим	r i m
уби	u b i
me	m e
ди	d i
лидер	l i d e r
сити	s i t i
ана	a n a
казваше	k a z v a ɕ e
ма	m a
млада	m ɮ a d a
мозъка	m ɔ z k a
принцип	p r i n t͡sʰ i p
губи	ɡ u b i
мадрид	m a d r i d
масло	m a s ɮ o
ниско	n i s k o
миг	m i ɡ
тихо	tʰ i x o
all	a l
празници	p r a z n i t͡sʰ i
сцена	s t͡sʰ e n a
ха	x a
ниска	n i s k a
търсиш	t ɔ r s i ɕ
мед	m e d
нарушения	n a r u ɕ e n i j a
пряко	p rʲ a k o
смяна	s mʲ a n a
съюза	s j u z a
хари	x a r i
медицина	m e d i t͡sʰ i n a
разни	r a z n i
руско	r u s k o
ход	x ɔ d
езици	j ɛ z i t͡sʰ i
запазва	z a p a z v a
метод	m e t oː d
мини	m i n i
надпис	n a t pʰ i s
граници	k r a n i t͡sʰ i
индия	i n d i j a
крис	k r i s
нося	n ɔ s j a
прах	p r a x
яко	j a k o
la	l a
дал	d a ɮ
недей	n e d e j
храма	x r a m a
юг	j u ɡ
банско	b a n s k o
карл	k a r ɮ
медицински	m e d i t͡sʰ i n s k i
месеци	m e s e t͡sʰ i
наясно	n a j a s n o
ръст	r ɔ s t
слава	s ɮ a w a
ах	a x
хан	x a n
градини	k r a d i n i
ла	ɮ a
сряда	s rʲ a d a
тим	tʰ i m
дa	d a
зам	z a m
фаза	f a z a
гимназия	ɡ i m n a z i j a
духа	d u x a
забавно	z a b a w̜ n o
купя	k u pʲ a
можех	m ɔ ʑ ɛ x
разнообразие	r a z n oː b r a z i j ɛ
ан	a n
ани	a n i
кадри	k a d r i
наш	n a ɕ
химия	x i m i j a
ям	j a m
луда	ɮ u d a
напр	n a p r̩
примери	p r i m e r i
атина	a tʰ i n a
играя	i ɡ r a j a
принцеса	p r i n t͡sʰ e s a
сума	s u m a
годишния	ɡ ɔ d i ɕ n i j a
домашни	d ɔ m a ɕ n i
искаше	i s k a ɕ e
ия	i j a
нарушение	n a r u ɕ e n i j ɛ
наса	n a s a
аха	a x a
градска	k r a d s k a
милано	m i ɮ a n o
али	a ɮ i
данъци	d a n t͡sʰ i
единица	j ɛ d i n i t͡sʰ a
луд	ɮ u d
мила	m i ɮ a
нос	n ɔ s
сара	s a r a
охрана	ɔ x r a n a
разбра	r a z b r a
рая	r a j a
гуми	ɡ u m i
ин	i n
механизъм	m e x a n i z ʊ m
мило	m i ɮ o
риби	r i b i
ражда	r a ʒ d a
слабо	s ɮ a b o
съ	s
улици	u ɮ i t͡sʰ i
абе	a bʲ ɛ
граф	ɡ r a f
мая	m a j a
нар	n a r
носа	n ɔ s a
john	d ʒ oː n
доза	d ɔ z a
руска	r u s k a
замяна	z a mʲ a n a
куп	k u p
нa	n a
принципа	p r i n t͡sʰ i p a
pro	p r o
лидери	l i d e r i
мис	m i s
ри	r i
съдба	s ɔ d b a
ясна	j a s n a
зима	z i m a
избра	i z b r a
призная	p r i z n a j a
снима	s n i m a
алфа	a ɮ f a
гранд	k r a n d
албания	a ɮ b a n i j a
домашно	d ɔ m a ɕ n o
дъх	d ɔ x
магазини	m a ɣ a z i n i
образ	ɔ b r a z
разнообразни	r a z n oː b r a z n i
хит	x i t
арсенал	a r s e n a ɮ
германски	ɡ e r m a n s k i
дупница	d u p n i t͡sʰ a
караш	k a r a ɕ
любима	ɮʲ u b i m a
медицинска	m e d i t͡sʰ i n s k a
меню	m e n j u
гъби	ɡ ɔ b i
дейвис	d e j v i s
носиш	n ɔ s i ɕ
сълзи	s ɔ ɮ z i
годишнина	ɡ ɔ d i ɕ n i n a
ирина	i r i n a
мамо	m a m o
щата	ɕ a tʰ a
ясни	j a s n i
do	d o
арабия	a r a b i j a
комбинация	k ɔ m b i n a t͡sʰ i j a
къси	k s i
марс	m a r s
менюто	m e n j u t o
красимир	k r a s i m i r
курва	k u r v a
ориз	ɔ r i z
празни	p r a z n i
рила	r i ɮ a
скандал	s k a n d a ɮ
сър	s ɔ r
time	t iː m e
ало	a ɮ o
анализи	a n a ɮ i z i
гаранция	ɢ a r a n t͡sʰ i j a
крум	k r u m
надясно	n a dʲ a s n o
нап	n a p
тима	tʰ i m a
le	l e
любимия	ɮʲ u b i m i j a
нация	n a t͡sʰ i j a
наша	n a ɕ a
организирана	ɔ r k a n i z i r a n a
ра	r a
рали	r a ɮ i
туризма	tʰ u r i z m a
ценни	t͡sʰ e n n i
ирландия	i r ɮ a n d i j a
ман	m a n
наше	n a ɕ e
призна	p r i z n a
рамо	r a m o
вещи	ʋ ɛ ɕ i
нима	n i m a
равни	r a w n i
ръба	r ɔ b a
цици	t͡sʰ i t͡sʰ i
горния	ɡ ɔ r n i j a
денис	d e n i s
замина	z a m i n a
правни	p r a w n i
ритъм	r i t ʊ m
ян	j a n
am	a m
ада	a d a
карло	k a r ɮ o
крим	k r i m
анди	a n d i
жълт	ʒ ɔ ɮ tʰ
слагам	s ɮ a ɣ a m
издания	i z d a n i j a
мрази	m r a z i
as	a s
we	w e
бензин	b e n z i n
дискусия	d i s k u s i j a
зa	z a
изд	i z d
марина	m a r i n a
маями	m a j a m i
номинация	n ɔ m i n a t͡sʰ i j a
норми	n ɔ r m i
тъмни	t ɔ m n i
or	o ɾ
едро	j ɛ d r o
казино	k a z i n o
надписи	n a t pʰ i s i
нина	n i n a
синя	s i n j a
sofia	s o f i a
бас	b a s
сидни	s i d n i
сини	s i n i
залива	z a ɮ i v a
кал	k a ɮ
крило	k r i ɮ o
щат	ɕ a tʰ
na	n a
жанр	ʒ a n r̩
ив	i w
избрах	i z b r a x
кръгла	k r ɔ ɡ ɮ a
мазнини	m a z n i n i
пи	pʰ i
празна	p r a z n a
рани	r a n i
da	d a
li	l i
ам	a m
метър	m e t ʊ r
общинския	ɔ p ɕ i n s k i j a
праща	p r a ɕ a
пряка	p rʲ a k a
силвия	s i ɮ v i j a
хи	x i
fi	f i
not	n o t
докаже	d ɔ k a ʒ e
ик	i k
илия	i ɮ i j a
маси	m a s i
минаха	m i n a x a
мощ	m ɔ ɕ
прибрах	p r i b r a x
яна	j a n a
ала	a ɮ a
имаха	i m a x a
признае	p r i z n a j ɛ
удря	u d rʲ a
цифри	t͡sʰ i f r i
go	ɡ o
кеш	kʲ e ɕ
къса	k s a
масла	m a s ɮ a
образа	ɔ b r a z a
па	pʰ a
рик	r i k
хоп	x ɔ p
художници	x u d ɔ ʑ n i t͡sʰ i
допринася	d ɔ p r i n a s j a
дървесина	d ɔ r vʲ ɛ s i n a
ка	k a
любимци	ɮʲ u b i m t͡sʰ i
мала	m a ɮ a
мизия	m i z i j a
разби	r a z b i
ру	r u
франциско	f r a n t͡sʰ i s k o
хиляда	x i ɮʲ a d a
храсти	x r a s tʰ i
ширина	ɕ i r i n a
грубо	k r u b o
диска	d i s k a
знаеха	z n a j ɛ x a
излязоха	i z ɮʲ a z ɔ x a
исландия	i s ɮ a n d i j a
ит	i t
пит	pʰ i t
проява	p r ɔ j a v a
раса	r a s a
рут	r u t
тигър	tʰ i ɡ ʊ r
юн	j u n
грип	ɡ r i p
ем	j ɛ m
младия	m ɮ a d i j a
риска	r i s k a
сфера	s f e r a
финансира	f i n a n s i r a
аллах	a ɮː a x
домашна	d ɔ m a ɕ n a
каварна	k a w a r n a
кук	k u k
нервна	n e r v n a
прясно	p rʲ a s n o
верни	ʋ e r n i
ку	k u
мръсна	m r ɔ s n a
намираш	n a m i r a ɕ
нямах	nʲ a m a x
сценария	s t͡sʰ e n a r i j a
хип	x i p
хх	x
he	h e
десния	d e s n i j a
образи	ɔ b r a z i
правно	p r a w n o
прошка	p r ɔ ɕ k a
франсис	f r a n s i s
бах	b a x
въ	ʋ
губя	ɡ u b j a
каса	k a s a
кипър	k i p ʊ r
мани	m a n i
мига	m i ɣ a
мита	m i t a
натиска	n a tʰ i s k a
формира	f ɔ r m i r a
фу	f u
харис	x a r i s
video	v i d e o
жана	ʒ a n a
карал	k a r a ɮ
меси	m e s i
минеш	m i n e ɕ
мирно	m i r n o
надя	n a dʲ a
нора	n ɔ r a
норма	n ɔ r m a
омраза	ɔ m r a z a
разум	r a z u m
риза	r i z a
сребърни	s rʲ ɛ b ʊ r n i
царя	t͡sʰ a rʲ a
se	s e
анти	a n tʰ i
вип	ʋ i p
губиш	ɡ u b i ɕ
лас	ɮ a s
милър	m i ɮ ʊ r
нерви	n e r v i
пил	pʰ i ɮ
равно	r a w n o
търсих	t ɔ r s i x
хана	x a n a
seo	s e o
дим	d i m
ех	j ɛ x
камара	k a m a r a
класове	k l a s ɔ vʲ ɛ
махам	m a x a m
набира	n a b i r a
нощни	n ɔ ɕ n i
обиди	o b i d i
оф	ɔ f
румяна	r u mʲ a n a
слухове	s ɮ u x ɔ vʲ ɛ
сляп	s ɮʲ a p
ял	j a ɮ
миграция	m i ɡ r a t͡sʰ i j a
минах	m i n a x
миризма	m i r i z m a
чат	t͡ɕʰ a tʰ
деян	d e j a n
кадър	k a d ʊ r
крава	k r a w a
крила	k r i ɮ a
принципно	p r i n t͡sʰ i p n o
яка	j a k a
дж	d ʑ
дузина	d u z i n a
залез	z a ɮʲ ɛ z
различия	r a z ɮ i t͡ɕʰ i j a
разширява	r a z ɕ i rʲ a v a
со	s o
сформира	s f ɔ r m i r a
чили	t͡ɕʰ i ɮ i
южния	j u ʑ n i j a
will	w i l
биг	b i ɡ
груп	ɡ r u p
заплашва	z a p ɮ a ɕ v a
зимни	z i m n i
избягаш	i z bʲ a ɣ a ɕ
надписа	n a t pʰ i s a
нощи	n ɔ ɕ i
разумно	r a z u m n o
убила	u b i ɮ a
шин	ɕ i n
шрифт	ɕ r i f t
os	o s
дневни	d n e v n i
забавна	z a b a w̜ n a
катя	k a tʲ a
мацка	m a t͡sʰ k a
равна	r a w n a
цру	t͡sʰ r u
чин	t͡ɕʰ i n
венци	ʋ e n t͡sʰ i
данс	d a n s
ида	i d a
изкарва	i z k a r v a
инфо	i n f o
лана	ɮ a n a
мара	m a r a
мз	m a z
убиваш	u b i w a ɕ
щаба	ɕ a b a
залагам	z a ɮ a ɣ a m
милост	m i ɮ o s t
наслада	n a s ɮ a d a
невски	n e v s k i
пърси	p ɔ r s i
gold	ɡ o l d
park	p a r k
vi	v i
ап	a p
медия	m e d i j a
ханс	x a n s
едри	j ɛ d r i
камъка	k a m k a
мъгла	m ɔ ɡ ɮ a
ас	a s
венера	ʋ e n e r a
гъба	ɡ ɔ b a
засилва	z a s i ɮ v a
зърна	z ɔ r n a
кош	k o ɕ
микс	m i k s
long	l o ŋ
вегас	ʋ e ɡ a s
кризи	k r i z i
купър	k u p ʊ r
мафия	m a f i j a
махала	m a x a ɮ a
мишка	m i ɕ k a
навлиза	n a w ɮ i z a
нам	n a m
ранно	r a n n o
тих	tʰ i x
търпи	t ɔ r pʰ i
ирония	i r o n i j a
кабина	k a b i n a
каша	k a ɕ a
медицинския	m e d i t͡sʰ i n s k i j a
раз	r a z
сценарист	s t͡sʰ e n a r i s t
усетя	u s e tʲ a
ядро	j a d r o
алис	a ɮ i s
дъб	d ɔ b
минавам	m i n a v a m
руснаци	r u s n a t͡sʰ i
слиза	s ɮ i z a
як	j a k
дик	d i k
изгаря	i z ɡ a rʲ a
калъф	k a ɮ f
лиза	ɮ i z a
литър	l i t ʊ r
медицинско	m e d i t͡sʰ i n s k o
организирано	ɔ r k a n i z i r a n o
силва	s i ɮ v a
формация	f ɔ r m a t͡sʰ i j a
хваща	x w a ɕ a
юноши	j u n o ɕ i
got	ɡ o t
mi	m i
off	o f
so	s o
алиса	a ɮ i s a
анализа	a n a ɮ i z a
жълта	ʒ ɔ ɮ tʰ a
изказвания	i z k a z v a n i j a
кражби	k r a ʒ b i
храня	x r a nʲ a
гарсия	ɡ a r s i j a
дясна	dʲ a s n a
камина	k a m i n a
карах	k a r a x
нощно	n ɔ ɕ n o
правна	p r a w n a
рап	r a p
тила	tʰ i ɮ a
флаг	f ɮ a ɡ
ценност	t͡sʰ e n n o s t
яд	j a d
vii	v iː
адамс	a d a m s
аларма	a ɮ a r m a
геноцид	ɡ e n o t͡sʰ i d
едър	j ɛ d ʊ r
играеше	i ɡ r a j ɛ ɕ e
ил	i ɮ
нанси	n a n s i
нямал	nʲ a m a ɮ
разказвам	r a z k a z v a m
размяна	r a z mʲ a n a
снимаш	s n i m a ɕ
аванс	a w a n s
гадни	ɢ a d n i
замисля	z a m i s ɮʲ a
сребърна	s rʲ ɛ b ʊ r n a
съдилища	s dʲ i ɮ i ɕ a
доказано	d ɔ k a z a n o
напразно	n a p r a z n o
ралф	r a ɮ f
рико	r i k o
сфери	s f e r i
дъ	d
мур	m u r
надморска	n a d m ɔ r s k a
сатурн	s a tʰ u r n
създания	s ɔ z d a n i j a
шарън	ɕ a r ʊ n
шумно	ɕ u m n o
posted	p o s t e d
абу	a b u
адмирал	a d m i r a ɮ
анимация	a n i m a t͡sʰ i j a
бая	b a j a
бин	b i n
дерби	d e r b i
исляма	i s ɮʲ a m a
мас	m a s
мерилин	m e r i ɮ i n
нощна	n ɔ ɕ n a
организми	ɔ r ɢ a n i z m i
руди	r u d i
указания	u k a z a n i j a
цензура	t͡sʰ e n z u r a
цех	t͡sʰ e x
юлия	j u ɮ i j a
stars	s t a r s
задния	z a d n i j a
кръгли	k r ɔ ɡ ɮ i
лазар	ɮ a z a r̥
мики	m i k i
развие	r a z vʲ i j ɛ
разума	r a z u m a
суми	s u m i
таз	tʰ a z
арх	a r x
грузия	k r u z i j a
десетина	d e s e t i n a
домашния	d ɔ m a ɕ n i j a
занимания	z a n i m a n i j a
златоград	z ɮ a tʰ ɔ ɡ r a t
илюзия	i ɮʲ u z i j a
информира	i n f ɔ r m i r a
консумация	k ɔ n s u m a t͡sʰ i j a
късо	k s o
мега	m e ɡ a
мхм	m a x m
пращам	p r a ɕ a m
саша	s a ɕ a
скандала	s k a n d a ɮ a
фраза	f r a z a
чип	t͡ɕʰ i p
was	w a s
бик	b i k
деси	d e s i
замислих	z a m i s ɮ i x
рада	r a d a
франс	f r a n s
харисън	x a r i s ʊ n
хебър	xʲ ɛ b ʊ r
want	w a n t
наруши	n a r u ɕ i
прясна	p rʲ a s n a
women	w oː m e n
муха	m u x a
нюз	nʲ u z
приза	p r i z a
сбирка	s b i r k a
al	a l
bosch	b o ʃ
wars	w a r s
диша	d i ɕ a
мими	m i m i
рана	r a n a
русенски	r u s e n s k i
съни	s n i
тиха	tʰ i x a
фута	f u t a
халф	x a ɮ f
винсент	ʋ i n s e n t
генерира	ɡ e n e r i r a
ду	d u
излязла	i z ɮʲ a z ɮ a
камо	k a m o
тир	tʰ i r
тихия	tʰ i x i j a
бам	b a m
безумно	b e z u m n o
десни	d e s n i
дневника	d n e v n i k a
изборния	i z b ɔ r n i j a
насила	n a s i ɮ a
нервни	n e r v n i
римска	r i m s k a
русо	r u s o
сава	s a w a
фар	f a r
харчи	x a r t͡ɕʰ i
имащи	i m a ɕ i
куража	k u r a d͡ʑ a
мод	m o d
нико	n i k o
дени	d e n i
жанра	ʒ a n r a
кана	k a n a
надал	n a d a ɮ
сали	s a ɮ i
die	d i
wall	w a l
watch	w a t͡ʃ
графа	ɡ r a f a
дъха	d ɔ x a
забелязал	z a bʲ ɵ ɮʲ a z a ɮ
зора	z ɔ r a
изби	i z b i
мехур	m e x u r
мун	m u n
празно	p r a z n o
фази	f a z i
харви	x a r v i
худ	x u d
верно	ʋ e r n o
даваше	d a w a ɕ e
еба	j ɛ b a
златка	z ɮ a tʰ k a
круз	k r u z
куки	k u k i
мания	m a n i j a
мишо	m i ɕ o
di	d i
гери	ɡ e r i
разлог	r a z ɮ o ɡ
разшири	r a z ɕ i r i
сандра	s a n d r a
хилс	x i ɮ s
чи	t͡ɕʰ i
юрист	j u r i s t
анализира	a n a ɮ i z i r a
единодушно	j ɛ d i n o d u ɕ n o
зимния	z i m n i j a
избягаха	i z bʲ a ɣ a x a
мика	m i k a
мозъчна	m ɔ z t͡ɕʰ n a
намирал	n a m i r a ɮ
пърл	p ɔ r ɮ
рубли	r u b ɮ i
ядох	j a d ɔ x
need	n eː d
езда	j ɛ z d a
марсилия	m a r s i ɮ i j a
маха	m a x a
месни	m e s n i
мирише	m i r i ɕ e
обясниха	ɔ bʲ a s n i x a
трансформация	tʰ r a n s f ɔ r m a t͡sʰ i j a
ходих	x ɔ d i x
хю	xʲ u
цифра	t͡sʰ i f r a
анри	a n r i
дисни	d i s n i
зарази	z a r a z i
зимна	z i m n a
изигра	i z i ɡ r a
израснал	i z r a s n a ɮ
каним	k a n i m
кар	k a r
каси	k a s i
кралска	k r a ɮ s k a
лавандула	ɮ a w̜ a n d u ɮ a
механика	m e x a n i k a
ниша	n i ɕ a
разруши	r a z r u ɕ i
рус	r u s
сравни	s r a w n i
съпрузи	s p r u z i
федерер	f e d e r e r
фини	f i n i
чая	t͡ɕʰ a j a
юда	j u d a
golden	ɡ o l d e n
kw	k w
var	v a r
алисън	a ɮ i s ʊ n
късна	k s n a
пик	pʰ i k
разрушен	r a z r u ɕ e n
сун	s u n
тогавашния	tʰ ɔ ɣ a w a ɕ n i j a
юри	j u r i
яма	j a m a
list	l i s t
pop	p o p
измяна	i z mʲ a n a
кърт	k ɔ r̥ t
легнеш	l e ɡ n e ɕ
маркус	m a r k u s
ризи	r i z i
синия	s i n i j a
цецка	t͡sʰ e t͡sʰ k a
linux	l i n u x
she	ʃ e
доказа	d ɔ k a z a
зряла	z rʲ a ɮ a
ид	i d
измамници	i z m a m n i t͡sʰ i
изясни	i z j a s n i
марти	m a r tʰ i
мирни	m i r n i
монахиня	m ɔ n a x i nʲ a
фара	f a r a
фиш	f i ɕ
ща	ɕ a
full	f u l
volkswagen	v o l k s w aː ɡ e n
аш	a ɕ
дървесни	d ɔ r vʲ ɛ s n i
кап	k a p
копривщица	k ɔ p r i w ɕ t͡ɕ i t͡sʰ a
крива	k r i v a
мами	m a m i
нощния	n ɔ ɕ n i j a
ривър	r i w ʊ r
трансформира	tʰ r a n s f ɔ r m i r a
фридрих	f r i d r i x
хавана	x a w a n a
алианс	a ɮ i̯ aː n s
вега	ʋ e ɡ a
дамско	d a m s k o
залози	z a ɮ o z i
конфигурация	k ɔ n f i ɣ u r a t͡sʰ i j a
малцина	m a ɮ t͡sʰ i n a
нишка	n i ɕ k a
пробие	p r ɔ b i j ɛ
убило	u b i ɮ o
цитира	t͡sʰ i tʰ i r a
ясла	j a s ɮ a
mall	m a l
te	t e
аманда	a m a n d a
гръдния	k r ɔ d n i j a
жасмин	ʒ a s m i n
загубила	z a ɣ u b i ɮ a
задни	z a d n i
зимно	z i m n o
маша	m a ɕ a
снаха	s n a x a
цялост	t͡sʰ j a ɮ o s t
шри	ɕ r i
апи	a pʰ i
медитация	m e d i t a t͡sʰ i j a
мездра	m e z d r a
мик	m i k
мирис	m i r i s
прилика	p r i ɮ i k a
скара	s k a r a
франц	f r a n t͡sʰ
хюз	xʲ u z
юга	j u ɣ a
алма	a ɮ m a
звездни	z ʋ ɛ z d n i
карла	k a r ɮ a
комбинира	k ɔ m b i n i r a
машинно	m a ɕ i n n o
ница	n i t͡sʰ a
ом	ɔ m
раси	r a s i
хал	x a ɮ
tu	t u
адриана	a d r i aː n a
гаража	ɢ a r a d͡ʑ a
димо	d i m o
имитира	i m i tʰ i r a
фрази	f r a z i
st	s t
граничи	k r a n i t͡ɕʰ i
зъба	z b a
икономист	i k o n o m i s t
ина	i n a
караше	k a r a ɕ e
лара	ɮ a r a
разрушени	r a z r u ɕ e n i
ран	r a n
рум	r u m
салам	s a ɮ a m
снимах	s n i m a x
хазарта	x a z a r̥ tʰ a
ци	t͡sʰ i
божие	b ɔ ʑ i j ɛ
дет	d e t
дън	d ɔ n
залеза	z a ɮʲ ɛ z a
кука	k u k a
люси	ɮʲ u s i
мухи	m u x i
норис	n ɔ r i s
праха	p r a x a
руси	r u s i
сръбска	s r ɔ b s k a
уди	u d i
усилва	u s i ɮ v a
фишер	f i ɕ e r
французи	f r a n t͡sʰ u z i
хазарт	x a z a r̥ tʰ
bit	b i t
dreams	d r e a m s
вещ	ʋ ɛ ɕ
мазнина	m a z n i n a
нарушени	n a r u ɕ e n i
разбраха	r a z b r a x a
разрушена	r a z r u ɕ e n a
софиянци	s ɔ f i j a n t͡sʰ i
срина	s r i n a
тамара	tʰ a m a r a
хаха	x a x a
last	l a s t
задно	z a d n o
захранва	z a x r a n v a
кану	k a n u
миро	m i r o
невидими	n e v i d i m i
руса	r u s a
украсени	u k r a s e n i
фани	f a n i
фенер	f e n e r
фермер	f e r m e r
харди	x a r d i
едра	j ɛ d r a
калвин	k a ɮ v i n
крит	k r i t
миньор	m i n j oː r
невидим	n e v i d i m
ния	n i j a
рама	r a m a
сал	s a ɮ
ядра	j a d r a
ok	o k
дало	d a ɮ o
инвазия	i n v a z i j a
канализация	k a n a ɮ i z a t͡sʰ i j a
кралско	k r a ɮ s k o
красно	k r a s n o
мейсън	m e j s ʊ n
мемфис	m e m f i s
микроорганизми	m i k r oː r k a n i z m i
мозъчни	m ɔ z t͡ɕʰ n i
нса	n s a
пробвах	p r ɔ b v a x
скрива	s k r i v a
фишър	f i ɕ ʊ r
ца	t͡sʰ a
ципрас	t͡sʰ i p r a s
агро	a ɡ r o
диско	d i s k o
медни	m e d n i
миля	m i ɮʲ a
разумни	r a z u m n i
симулация	s i m u ɮ a t͡sʰ i j a
фа	f a
du	d u
алабама	a ɮ a b a m a
дяла	dʲ a ɮ a
изгрява	i z ɡ rʲ a v a
каня	k a nʲ a
лава	ɮ a w a
лама	ɮ a m a
невидима	n e v i d i m a
нервно	n e r v n o
прабългари	p r a b ɔ ɮ ɢ a r i
симънс	s i m ʊ n s
тара	tʰ a r a
ханибал	x a n i b a ɮ
ху	x u
цилиндър	t͡sʰ i ɮ i n d ʊ r
si	s i
изяжда	i z j a ʒ d a
инди	i n d i
ирис	i r i s
мартини	m a r tʰ i n i
мирна	m i r n a
рам	r a m
рика	r i k a
синьор	s i n j oː r
слама	s ɮ a m a
гинес	ɡ i n e s
зае	z a j
итън	i t ʊ n
ниш	n i ɕ
храним	x r a n i m
fly	f l i
hi	h i
ахил	a x i ɮ
зрялост	z rʲ a ɮ o s t
калфин	k a ɮ f i n
ларс	ɮ a r s
мадисън	m a d i s ʊ n
мартина	m a r tʰ i n a
програмист	p r ɔ ɡ r a m i s t
разумна	r a z u m n a
руби	r u b i
ширини	ɕ i r i n i
шкаф	ɕ k a f
general	ɡ e n e ɾ aː l
ph	pʰ
авраам	a w̜ r aː m
алианса	a ɮ i̯ aː n s a
бензина	b e n z i n a
грах	ɡ r a x
ибрахим	i b r a x i m
изиграха	i z i ɡ r a x a
красимира	k r a s i m i r a
микро	m i k r o
мозъци	m ɔ z t͡sʰ i
моисей	m o j i s e j
нервен	n e r v e n
оссе	ɔ s s ɛ
призраци	p r i z r a t͡sʰ i
разруха	r a z r u x a
скариди	s k a r i d i
слагаш	s ɮ a ɣ a ɕ
фина	f i n a
харесаха	x a rʲ ɵ s a x a
po	p o
амбиция	a m b i t͡sʰ i j a
генерация	ɡ e n e r a t͡sʰ i j a
дениз	d e n i z
дима	d i m a
ис	i s
карин	k a r i n
муса	m u s a
мутра	m u tʰ r a
ним	n i m
ну	n u
радара	r a d a r a
рид	r i d
хирурзи	x i r u r z i
ценим	t͡sʰ e n i m
festival	f e s t i v aː l
ma	m a
sa	s a
state	s t aː t e
two	t w o
za	z a
атила	a tʰ i ɮ a
дин	d i n
кама	k a m a
кришна	k r i ɕ n a
крия	k r i j a
кърк	k ɔ r k
нарязания	n a rʲ a z a n i j a
правния	p r a w n i j a
рамзи	r a m z i
украсена	u k r a s e n a
филхармония	f i ɮ x a r m o n i j a
фифа	f i f a
хладилници	x ɮ a d i ɮ n i t͡sʰ i
old	o l d
аса	a s a
дино	d i n o
ниши	n i ɕ i
обижда	ɔ b i ʑ d a
сабя	s a bʲ a
сахара	s a x a r a
срамно	s r a m n o
хисаря	x i s a rʲ a
шанън	ɕ a n
шофьорска	ɕ ɔ f j ɔ r s k a
явни	j a w n i
been	b eː n
standard	s t a n d a r d
аби	a b i
деп	d e p
диляна	d i ɮʲ a n a
избираш	i z b i r a ɕ
имейла	i m e j ɮ a
ланс	ɮ a n s
