iš	i ʃ
ligų	l i ɡ o
didesnis	d i d e s n i s
galia	ɡ a l j a
ledo	l e d o
mini	m i n i
mumis	m u m i s
oficialiai	o f i t͡ʃ a l j a i
stilius	s t i l j u s
teritorijų	t e r i t o r i j o
dydis	d i d i s
esantis	e z a n t i s
estijos	e s t i j o s
festivalio	f e s t i v a l j o
kojos	k o j o s
stogo	s t o ɡ o
funkcijos	f u ŋ k t͡ʃ i j o s
mokytis	m o k i t i s
veda	v e d a
viršuje	v i r ʃ u j ə
ima	i m a
rinktis	r i ŋ k t i s
rūpintis	r uː p i n t i s
tarnyba	t a ʁ n i b a
ana	a n a
vykti	v y k t i
kelionę	k e l j o n ɛ
menas	m e n a s
tyrimus	t i r i m u s
būdą	b uː d ɔ w̃
gan	ɡ a n
nesu	n e z u
buvusi	b u v u z i
dvidešimt	d v i d e ʃ i m t
kokybės	k o k i b i s
kūrinys	k uː r i n i s
likti	l i k t i
me	m e
sutiko	s u t i k o
tiks	t i k s
žemyn	ʒ e m i n
žmogumi	ʒ m o ɡ u m i
akcijų	a k t͡ʃ i j o
interviu	i n t e r v j u
kelyje	k e l i j ə
primena	p r i m e n a
rado	r a d o
ribos	r i b o s
ryšys	r i ʃ i s
statyba	s t a t i b a
šiose	ʃ i o s e
data	d a t a
gaminami	ɡ a m i n a m i
grindų	ɡ r i n d o
lovos	l o v o s
scenos	ʃ e n o s
sidabro	s i d a b r o
vu	v u
švedijos	ʃ v e d i j o s
oda	o d a
pristatyti	p r i s t a t i t i
senas	s e n a s
tegul	t e ɡ u l
visu	v i z u
šokio	ʃ o k j o
dalia	d a l j a
kęstutis	k ɛ n s t u t i s
nusipirkti	n u z i p i r k t i
pagrindinio	p a ɡ r i n d i n j o
suprato	s u p r a t o
by	b i
bylos	b i l o s
departamentas	d e p a r t a m e n t a s
imtis	i m t i s
išvis	i ʃ v i s
klubą	k l u b ɔ w̃
londono	l o n d o n o
meto	m e t o
mirtis	m i r t i s
turinti	t u r i n t i
vadybos	v a d i b o s
biuro	b i u r o
federacijos	f e d e r a t͡ʃ i j o s
kūrimo	k uː r i m o
nedidelis	n e d i d e l i s
neteko	n e t e k o
premijos	p r e m i j o s
ryšio	r i ʃ j o
buvusio	b u v u z j o
daktaro	d a k t a r o
en	ɛ n
gamina	ɡ a m i n a
kūrinius	k uː r i n i u s
liks	l i k s
metro	m e t r o
myli	m i l i
nemuno	n e m u n o
sutikti	s u t i k t i
turistų	t u r i s t o
tęsti	t ɛ n s t i
vedęs	v e d ɛ n s
būsite	b uː z i t e
kun	k u n
nacionalinis	n a t͡ʃ o n a l i n i s
simbolis	s i m b o l i s
stiklo	s t i k l o
vidutinis	v i d u t i n i s
šilumos	ʃ i l u m o s
atrodyti	a t r o d i t i
išliko	i ʃ l i k o
seno	s e n o
xvi	k s v i
šito	ʃ i t o
dvasia	d v a z j a
konstrukcijos	k o n s t r u k t͡ʃ i j o s
rokiškio	r o k i ʃ k j o
struktūros	s t r u k t uː r o s
žuvis	ʒ u v i s
darius	d a r j u s
gamta	ɡ a m t a
italų	i t a l o
profesionalus	p r o f e z j o n a l u s
tikrasis	t i k r a z i s
tradicijos	t r a d i t͡ʃ i j o s
vdu	v d u
bendrijos	b e n d r i j o s
bilietus	b i l j e t u s
medis	m e d i s
prarado	p r a r a d o
tiki	t i k i
tikslo	t i k s l o
vyru	v i ʁ u
kūdikis	k uː d i k i s
magistro	m a d͡ʒ i s t r o
my	m i
nutiko	n u t i k o
skonis	s k o n i s
st	s t
teorijos	t e o r i j o s
vi	v i
šimtus	ʃ i m t u s
šunys	ʃ u n i s
būkite	b uː k i t e
būt	b uː t
ignalinos	i ɲ ɲ a l i n o s
imti	i m t i
kilęs	k i l ɛ n s
kodą	k o d ɔ w̃
pilis	p i l i s
savybes	s a v i b e s
si	s i
sodyba	s o d i b a
stotis	s t o t i s
brolio	b r o l j o
if	i f
kilometrų	k i l o m e t r o
kristina	k r i s t i n a
ligoninę	l i ɡ o n i n ɛ
rytus	r i t u s
tilto	t i l t o
šuns	ʃ u n s
finale	f i n a l e
kovų	k o v o
likę	l i k ɛ
linijų	l i n i j o
sėdi	s i d i
užimti	u ʒ i m t i
atidaryti	a t i d a r i t i
principas	p r i n t͡ʃ i p a s
remiasi	r e m i a z i
buvimo	b u v i m o
joniškio	j o n i ʃ k j o
kitoms	k i t o m s
mokytojo	m o k i t o j o
nario	n a r j o
viltis	v i l t i s
žmonijos	ʒ m o n i j o s
am	a m
at	a t
dideliu	d i d e l j u
domina	d o m i n a
gintaro	d͡ʒ i n t a r o
indijos	i n d i j o s
inžinerijos	i n ʒ i n e r i j o s
mesti	m e s t i
pagaminta	p a ɡ a m i n t a
principu	p r i n t͡ʃ i p u
pristatytas	p r i s t a t i t a s
produkcijos	p r o d u k t͡ʃ i j o s
sprendimo	s p r e n d i m o
do	d o
gimęs	ɡ i m ɛ n s
kūrinį	k uː r i n i
planeta	p l a n e t a
skonio	s k o n j o
stipri	s t i p r i
sukurtos	s u k u r t o s
filmus	f i l m u s
lotynų	l o t i n o
mintys	m i n t i s
politinis	p o l i t i n i s
prarasti	p r a r a s t i
buto	b u t o
būrio	b uː r j o
geltona	ɡ e l t o n a
ginti	ɡ i n t i
ilga	i l ɡ a
kūrybą	k uː r i b ɔ w̃
le	l e
mis	m i s
pilį	p i l i
dovanos	d o v a n o s
druskos	d r u s k o s
gamyklos	ɡ a m i k l o s
kim	k i m
kultūrų	k u l t uː r oː
minima	m i n i m a
pristato	p r i s t a t o
riba	r i b a
teksto	t ɛ k s t o
temos	t e m o s
up	u p
ekipos	e k i p o s
gerus	ɡ e ʀ u s
gresia	ɡ r e z i a
išlikti	i ʃ l i k t i
milijonus	m i l i j o n u s
mykolo	m i k o l o
pilietis	p i l j e t i s
rato	r a t o
this	t i s
bendrosios	b e n d r o z j o s
didesni	d i d e s n i
dujos	d u j o s
funkcijų	f u ŋ k t͡ʃ i j o
ginklus	ɡ i ŋ k l u s
negalite	n e ɡ a l i t e
perdavimo	p e r d a v i m o
politinio	p o l i t i n j o
sykį	s i k i
trimis	t r i m i s
all	ɑ l
broliu	b r o l j u
dabartinis	d a b a r t i n i s
dalyką	d a l i k ɔ w̃
danga	d a ŋ ɡ a
galas	ɡ a l a s
go	ɡ o
ilgam	i l ɡ a m
ilgos	i l ɡ o s
likimo	l i k i m o
mat	m a t
objektus	o b j ɛ k t u s
romano	r o m a n o
septyni	s e p t i n i
svečius	z v e t͡ʃ i u s
šešis	ʃ e ʃ i s
žeme	ʒ e m e
žemes	ʒ e m e s
baltic	b a l t i k
ilgų	i l ɡ o
kritikos	k r i t i k o s
kupiškio	k u p i ʃ k j o
myliu	m i l j u
priminti	p r i m i n t i
remonto	r e m o n t o
rita	r i t a
stebi	s t e b i
tegu	t e ɡ u
vesti	v e s t i
argi	a r d͡ʒ i
atrodys	a t r o d i s
darbams	d a ʁ b a m s
kūdikio	k uː d i k i o
poeto	p o e t o
retas	r e t a s
sritys	s r i t i s
sūrio	s uː r j o
turinio	t u r i n j o
unesco	u n e s k o
atrodytų	a t r o d i t o
ciklo	t͡ʃ i k l o
folkloro	f o l k l o r o
kovojo	k o v o j o
kunigo	k u n i ɡ o
sostinę	s o s t i n ɛ
stovyklos	s t o v i k l o s
tradicijų	t r a d i t͡ʃ i j o
trečiojo	t r e t͡ʃ j o j o
bronzos	b r o n t͡s o s
dalyko	d a l i k o
haris	h a ʀ i s
keleto	k e l e t o
koncentracijos	k o n t͡ʃ e n t r a t͡ʃ i j o s
krito	k r i t o
lyties	l i t i s
metodus	m e t o d u s
neliko	n e l i k o
regioninio	r e d͡ʒ o n i n j o
restorano	r e s t o r a n o
sena	s e n a
senos	s e n o s
stiliumi	s t i l j u m i
supratimo	s u p r a t i m o
trūko	t r uː k o
tūris	t uː r i s
versijos	v e r s i j o s
vertinimo	v e r t i n i m o
atsakomybę	a t͡s a k o m i b ɛ
datos	d a t o s
mados	m a d o s
mintį	m i n t i
mūšis	m uː ʃ i s
politinę	p o l i t i n ɛ
rekonstrukcijos	r e k o n s t r u k t͡ʃ i j o s
specialistų	s p e t͡ʃ a l i s t o
viltį	v i l t i
arabų	a r a b o
co	k o
drąsos	d r ɔ n s o s
iškilo	i ʃ k i l o
komunistų	k o m u n i s t o
kredito	k r e d i t o
lygus	l i ɡ u s
skonį	s k o n i
sustoti	s u s t o t i
virto	v i r t o
šokti	ʃ o k t i
šunį	ʃ u n i
disko	d i s k o
etikos	e t i k o s
li	l i
mūšį	m uː ʃ i
norisi	n o r i z i
požiūris	p o ʒ i uː r i s
stiprūs	s t i p r uː s
tikslus	t i k s l u s
šeši	ʃ e ʃ i
atrado	a t r a d o
būk	b uː k
et	e t
korpuso	k o r p u z o
lina	l i n a
principus	p r i n t͡ʃ i p u s
šita	ʃ i t a
žinomos	ʒ i n o m o s
birštono	b i r ʃ t o n o
egipto	e ɡ i p t o
iso	i z o
max	m a k s
mokinys	m o k i n i s
sovietmečiu	s o v j e t m e t͡ʃ i u
spektaklis	s p e k t a k l i s
stovykloje	s t o v i k l o j ə
that	t a t
truko	t r u k o
da	d a
dešimtmečius	d e ʃ i m t m e t͡ʃ i u s
di	d i
galerijos	ɡ a l e r i j o s
istorijų	i s t o r i j o
kolekcijos	k o l e k t͡ʃ i j o s
seni	s e n i
trisdešimt	t r i z d e ʃ i m t
visagino	v i z a d͡ʒ i n o
čekijos	t͡ʃ e k i j o s
bėga	b i ɡ a
išorinis	i ʃ o r i n i s
kelioms	k e l j ɔ m s
kudirkos	k u d i r k o s
nacionaliniame	n a t͡ʃ o n a l i n j a m e
nugara	n u ɡ a r a
pilvo	p i l v o
priskirti	p r i s k i r t i
pristatyta	p r i s t a t i t a
profesinio	p r o f e z i n j o
scenarijų	ʃ e n a r i j o
sūnumi	s uː n u m i
tomo	t o m o
viduržemio	v i d u r ʒ e m i o
būdo	b uː d o
elgesį	e l ɡ e s i
gaminama	ɡ a m i n a m a
išskirti	i ʃ s k i r t i
kilti	k i l t i
laba	l a b a
lovoje	l o v o j ə
mityba	m i t i b a
nemato	n e m a t o
nupirko	n u p i r k o
provincijos	p r o v i n t͡ʃ i j o s
sirijos	s i r i j o s
teniso	t e n i z o
vidus	v i d u s
ep	e p
krikšto	k r i k ʃ t o
likus	l i k u s
live	l i v e
penkerius	p e ŋ k e r i u s
ralio	r a l j o
režimo	r e ʒ i m o
septynis	s e p t i n i s
visoms	v i z o m s
šokis	ʃ o k i s
ak	a k
kazys	k a z i s
koledže	k o l e d͡ʒ e
konflikto	k o n f l i k t o
leo	l e o
medį	m e d i
natrio	n a t r i o
negana	n e ɡ a n a
personalo	p e r s o n a l o
pokario	p o k a r j o
solo	s o l o
specialios	s p e t͡ʃ a l j o s
stadione	s t a d j o n e
tirti	t i r t i
verti	v e r t i
bokšto	b o k ʃ t o
drama	d r a m a
džono	d͡ʒ o n o
geresnį	ɡ e ʀ e s n i
guli	ɡ u l i
išnyko	i ʃ n i k o
kolegos	k o l e ɡ o s
lenta	l ɛ n t a
mokosi	m o k o s i
prekybą	p r e k i b ɔ w̃
seserys	s e z e ʀ i s
specialybę	s p e t͡ʃ a l i b ɛ
sūnūs	s uː n uː s
tiktų	t i k t o
turim	t u r i m
širdimi	ʃ i r d i m i
žuvį	ʒ u v i
figūros	f i ɡ uː r o s
istorinis	i s t o r i n i s
ix	i k s
iškrito	i ʃ k r i t o
kitokių	k i t o k i o
kolega	k o l e ɡ a
koncertus	k o n t͡ʃ ɛ r t u s
medinis	m e d i n i s
miškus	m i ʃ k u s
molio	m o l j o
nusipirko	n u z i p i r k o
oficialus	o f i t͡ʃ a l u s
pilietybę	p i l j e t i b ɛ
us	u s
xi	k s i
šonuose	ʃ o n u o s e
cia	t͡ʃ a
išmesti	i ʃ m e s t i
kodo	k o d o
kulkos	k u l k o s
kūryboje	k uː r i b o j ə
likusį	l i k u s i
lokys	l o k i s
lygiu	l i ɡ j u
nesate	n e z a t e
ona	o n a
vidinis	v i d i n i s
čikagos	t͡ʃ i k a ɡ o s
atrasti	a t r a s t i
būsto	b uː s t o
centrinio	t͡ʃ e n t r i n j o
ekonominę	e k o n o m i n ɛ
ilgus	i l ɡ u s
istorinio	i s t o r i n j o
kūdikį	k uː d i k i
mokyti	m o k i t i
nesimato	n e z i m a t o
politikoje	p o l i t i k o j e
produkto	p r o d u k t o
sukilimo	s u k i l i m o
truputi	t r u p u t i
vidurį	v i d u r i
vištienos	v i ʃ t j e n o s
šilko	ʃ i l k o
der	d e r
edita	e d i t a
gamykla	ɡ a m i k l a
gyvūnus	ɡ i v uː n u s
kilus	k i l u s
kokybę	k o k i b ɛ
mirti	m i r t i
nacionalinę	n a t͡ʃ o n a l i n ɛ
požiūrį	p o ʒ i uː r i
pradinio	p r a d i n j o
tekstus	t ɛ k s t u s
vario	v a r j o
virškinimo	v i r ʃ k i n i m o
šalims	ʃ a l i m s
aistra	a i s t r a
būsi	b uː z i
diana	d i a n a
dzūkijos	d͡z uː k i j o s
ktu	k t u
likusius	l i k u z i u s
ministru	m i n i s t r u
motociklų	m o t o t͡ʃ i k l o
nukrito	n u k r i t o
ok	o k
or	o r
post	p o s t
simboliu	s i m b o l j u
socialinę	s o t͡ʃ a l i n ɛ
vilius	v i l j u s
virtuvę	v i r t u v ɛ
šitos	ʃ i t o s
ištrinti	i ʃ t r i n t i
kūne	k uː n e
meniu	m e n j u
mišios	m i ʃ j o s
nacionalinį	n a t͡ʃ o n a l i n i
nebeliko	n e b e l i k o
olga	o l ɡ a
pagerinti	p a d͡ʒ e r i n t i
redakcijos	r e d a k t͡ʃ i j o s
sukūrimo	s u k uː r i m o
turinį	t u r i n i
vidurkis	v i d u r k i s
vilko	v i l k o
von	v o n
bataliono	b a t a l j o n o
ilgo	i l ɡ o
kelti	k e l t i
konfliktų	k o n f l i k t o
kūnu	k uː n u
life	l i f e
monetų	m o n e t o
mūšyje	m uː ʃ i j ə
pobūdį	p o b uː d i
sūris	s uː r i s
tikslu	t i k s l u
tom	t o m
triukšmo	t r i u k ʃ m o
unijos	u n i j o s
vykdomos	v i k d o m o s
ceremonija	t͡ʃ e r e m ɔ n i j a
fox	f o k s
golfo	ɡ o l f o
harry	h a ʁ i
išlikę	i ʃ l i k ɛ
ištisus	i ʃ t i z u s
koncerto	k o n t͡ʃ ɛ r t o
kritikų	k r i t i k o
mūro	m uː r o
perimti	p e r i m t i
plėtoti	p l i t o t i
rio	r i o
scena	ʃ e n a
smūgis	z m uː ɡ i s
tylos	t i l o s
šitie	ʃ i t i e
žymus	ʒ i m u s
aldona	a l d o n a
išteklius	i ʃ t e k l i u s
kils	k i l s
kriterijus	k r i t e r i j u s
monetos	m o n e t o s
neva	n e v a
politinį	p o l i t i n i
skulptūrų	s k u l p t uː r oː
šunis	ʃ u n i s
žlugo	ʒ l u ɡ o
bado	b a d o
dega	d e ɡ a
irano	i r a n o
likęs	l i k ɛ n s
marina	m a r i n a
oficiali	o f i t͡ʃ a l i
pirmi	p i r m i
prisiminimus	p r i z i m i n i m u s
rasi	r a z i
remia	r e m i a
sibiro	s i b i r o
situacijos	s i t u a t͡ʃ i j o s
speciali	s p e t͡ʃ a l i
vertimo	v e r t i m o
vida	v i d a
dabartinio	d a b a r t i n j o
dirvožemio	d i r v o ʒ e m i o
formatas	f o r m a t a s
galimi	ɡ a l i m i
genocido	d͡ʒ e n o t͡ʃ i d o
meta	m e t a
metodu	m e t o d u
minint	m i n i n t
nebebus	n e b e b u s
nidos	n i d o s
pilyje	p i l i j ə
sony	s o n i
stogu	s t o ɡ u
tebuvo	t e b u v o
termino	t e r m i n o
tvirtino	t v i r t i n o
žymi	ʒ i m i
administracinio	a d m i n i s t r a t͡ʃ i n j o
akt	a k t
artima	a r t i m a
eva	e v a
holivudo	h o l i v u d o
lūpos	l uː p o s
mac	m a k
mirtimi	m i r t i m i
pilkos	p i l k o s
povilo	p o v i l o
remti	r e m t i
sport	s p ɔ r t
stengtis	s t e ŋ t i s
sultys	s u l t i s
tūrio	t uː r j o
vertino	v e r t i n o
bostono	b o s t o n o
cirko	t͡ʃ i r k o
domisi	d o m i z i
garo	ɡ a r o
geltonos	ɡ e l t o n o s
istorinę	i s t o r i n ɛ
kilimo	k i l i m o
ligomis	l i ɡ o m i s
meksikos	m e k s i k o s
mix	m i k s
nešti	n e ʃ t i
profesijos	p r o f e z i j o s
pyktis	p y k t i s
smurto	z m u r t o
surado	s u r a d o
sustiprinti	s u s t i p r i n t i
svorį	z v o r i
techninio	t e k n i n j o
viruso	v i r u z o
vytis	v i t i s
arenos	a r e n o s
būdus	b uː d u s
die	d i
foto	f o t o
fronto	f r o n t o
gimdos	ɡ i m d o s
gina	ɡ i n a
granito	ɡ r a n i t o
indus	i n d u s
kalibro	k a l i b r o
mi	m i
mokykloms	m o k i k l ɔ m s
senumo	s e n u m o
uk	u k
ae	a e
atradimas	a t r a d i m a s
bilietų	b i l j e t o
dalimis	d a l i m i s
dažna	d a ʒ n a
deda	d e d a
dėžę	d i ʒ ɛ
ide	i d e
istorinį	i s t o r i n i
ketverius	k e t v e r i u s
kultūrinis	k u l t uː r i n i s
moterimi	m o t e r i m i
nebijo	n e b i j o
nebūti	n e b uː t i
neliks	n e l i k s
rumunijos	r u m u n i j o s
skystis	s k i s t i s
sąjūdis	s ɔ j uː d i s
šono	ʃ o n o
atmosfera	a t m ɔ s f ɛ r a
butu	b u t u
buvom	b u v o m
hot	h o t
id	i d
kaltę	k a l t ɛ
kubilius	k u b i l j u s
mitybos	m i t i b o s
mokytoju	m o k i t o j u
nebebuvo	n e b e b u v o
nematyti	n e m a t i t i
prisimena	p r i z i m e n a
reguliavimo	r e ɡ u l j a v i m o
rus	ʁ u s
sportinio	s p o r t i n j o
statinys	s t a t i n i s
židinys	ʒ i d i n i s
biblijos	b i b l i j o s
bylas	b i l a s
būtu	b uː t u
civilinio	t͡ʃ i v i l i n j o
dūmų	d uː m oː
elito	e l i t o
esam	e z a m
gimę	ɡ i m ɛ
išimtis	i ʃ i m t i s
iškelti	i ʃ k e l t i
mirus	m i r u s
neteks	n e t ɛ k s
privati	p r i v a t i
profilis	p r o f i l i s
stiprios	s t i p r i o s
sužino	s u ʒ i n o
tolo	t o l o
trumpi	t r u m p i
un	u n
šimtmečius	ʃ i m t m e t͡ʃ i u s
šimto	ʃ i m t o
atstatymo	a t s t a t i m o
diskusijų	d i s k u z i j o
ekspedicijos	e k s p e d i t͡ʃ i j o s
formato	f o r m a t o
fotografijų	f o t o ɡ r a f i j o
han	h a n
helena	h e l e n a
keltis	k e l t i s
kine	k i n e
organas	o r ɡ a n a s
ph	f
protu	p r o t u
ra	r a
reta	r e t a
te	t e
ti	t i
tibeto	t i b e t o
tęsis	t ɛ n s i s
švęsti	ʃ v ɛ n s t i
žinomo	ʒ i n o m o
bk	b e k a
des	d e s
ekspertų	e k s p e r t o
gitaros	d͡ʒ i t a r o s
istorikų	i s t o r i k o
ištirti	i ʃ t i r t i
ketino	k e t i n o
krepšinis	k r e p ʃ i n i s
may	m a j
modeliu	m o d e l j u
nutikti	n u t i k t i
nutrūko	n u t r uː k o
omeny	o m e n i
originalus	o r i d͡ʒ i n a l u s
tolyn	t o l i n
vertina	v e r t i n a
vilnos	v i l n o s
čempionu	t͡ʃ e m p j o n u
buvusius	b u v u z i u s
dei	d ɛ i̯
dol	d o l
ekonominis	e k o n o m i n i s
gynimo	ɡ i n i m o
hugo	h u ɡ o
il	i l
jurijus	j u r i j u s
margarita	m a r ɡ a r i t a
melo	m e l o
mokslinio	m o k s l i n j o
mokytojos	m o k i t o j o s
motyvų	m o t i v o
nacionaliniu	n a t͡ʃ o n a l i n j u
nepadeda	n e p a d e d a
plona	p l o n a
skirtis	s k i r t i s
sosto	s o s t o
stiklinę	s t i k l i n ɛ
sukti	s u k t i
susirgo	s u z i r ɡ o
tvoros	t v o r o s
und	u n t
šypsosi	ʃ i p s o s i
žolę	ʒ o l ɛ
atp	a t e p e
didina	d i d i n a
domino	d o m i n o
gama	ɡ a m a
jokūbo	j o k uː b o
ketinate	k e t i n a t e
korupcijos	k o r u p t͡ʃ i j o s
plotus	p l o t u s
politikų	p o l i t i k o
politines	p o l i t i n e s
pradinis	p r a d i n i s
pulti	p u l t i
tiksli	t i k s l i
vertinu	v e r t i n u
žemyno	ʒ e m i n o
argentinos	a r d͡ʒ e n t i n o s
atima	a t i m a
bendravimo	b e n d r a v i m o
borto	b o r t o
buti	b u t i
dabartinį	d a b a r t i n i
devyni	d e v i n i
elektrinis	e l ɛ k t r i n i s
elektroninis	e l ɛ k t r o n i n i s
emocijų	e m o t͡ʃ i j o
klubu	k l u b u
kompiuteriu	k o m p j u t e r j u
koncepcijos	k o n t͡ʃ e p t͡ʃ i j o s
labo	l a b o
leonas	l e o n a s
mintimis	m i n t i m i s
signalo	s i ɲ ɲ a l o
skolos	s k o l o s
system	s i s t ə m
tradicinio	t r a d i t͡ʃ i n j o
užmigti	u ʒ m i k t i
viršutinis	v i r ʃ u t i n i s
adomo	a d o m o
alex	a l ɛ k s
dedasi	d e d a z i
devynis	d e v i n i s
grafika	ɡ r a f i k a
išorinio	i ʃ o r i n j o
koledžo	k o l e d͡ʒ o
korporacijos	k o r p o r a t͡ʃ i j o s
kūdikių	k uː d i k i o
mūrinis	m uː r i n i s
nerūpi	n e r uː p i
požiūrio	p o ʒ i uː r j o
pritariu	p r i t a r j u
reabilitacijos	r e a b i l i t a t͡ʃ i j o s
stiprinti	s t i p r i n t i
tiria	t i r j a
titulo	t i t u l o
vidinę	v i d i n ɛ
viršus	v i r ʃ u s
didinti	d i d i n t i
hip	h i p
infekcijos	i n f e k t͡ʃ i j o s
išskirtinis	i ʃ s k i r t i n i s
komitetų	k o m i t e t o
maria	m a r j a
metodo	m e t o d o
milano	m i l a n o
minimi	m i n i m i
parodyta	p a r o d i t a
pilnos	p i l n o s
poetų	p o e t o
pogrindžio	p o ɡ r i n d͡ʒ j o
sekite	s e k i t e
situacijų	s i t u a t͡ʃ i j o
susidoroti	s u z i d o r o t i
užmiršti	u ʒ m i r ʃ t i
užtektų	u ʃ t e k t o
žydus	ʒ i d u s
bombos	b o m b o s
dvylikos	d v i l i k o s
dž	d͡ʒ
got	ɡ o t
idealus	i d e a l u s
individo	i n d i v i d o
industrijos	i n d u s t r i j o s
long	l o ŋ
medaliu	m e d a l j u
sargybos	s a ʁ d͡ʒ i b o s
spec	s p ɛ k
specialius	s p e t͡ʃ a l j u s
sportinis	s p o r t i n i s
tradicinę	t r a d i t͡ʃ i n ɛ
tyli	t i l i
užteko	u ʃ t e k o
vagys	v a ɡ i s
ypatybės	y p a t i b i s
čempiono	t͡ʃ e m p j o n o
atsargas	a t͡s a r ɡ a s
benas	b e n a s
