de	d e
línia	l i n j a
mal	m a l
polític	p o l i t i k
popular	p o p u l a ɾ
salut	s a l u t
seria	s e ɾ j a
activitats	a k t i v i t a t s
fem	f ɛ m
minuts	m i n u t s
ne	n e
novembre	n o v e m b ɾ e
pau	p a u
desembre	d e s e m b ɾ e
estiu	e s t j u
fi	f i
membres	m e m b ɾ e s
mundial	m u n d j a l
catalans	k a t a l ã s
club	k l u b
segle	s e ɡ l e
sé	s e
volem	v o l e m
únic	u n i k
deu	d e u
mig	m i ɡ
paraules	p a ɾ a w l e s
parla	p a ɾ l a
sis	s i s
sortir	s o ɾ t i ɾ
tema	t e m a
tens	t ɛ n s
defensa	d e f ɛ n s a
demà	d e m a
entrada	e n t ɾ a d a
local	l o k a l
obres	o b ɾ e s
segur	s e ɡ u ɾ
xarxa	ʃ a ɾ ʃ a
ajuda	a ʒ u d a
anglès	ã ɡ l ɛ s
aviat	a v j a t
comunitat	k o m u n i t a t
sap	s a p
seua	s e w a
temporada	t e m p o ɾ a d a
total	t o t a l
unió	u n j ɔ
vols	v o l s
vull	v u l
acte	a k t e
mà	m a
ordre	o ɾ d ɾ e
pares	p a ɾ e s
tampoc	t a m p o k
volen	v o l ɛ n
control	k o n t ɾ ɔ l
costa	k o s t a
curs	k u ɾ s
sentir	s e n t i ɾ
única	u n i k a
cultural	k u l t u ɾ a l
farà	f a ɾ a
mans	m a n s
resposta	r e s p o s t a
últim	u l t i m
marxa	m a ɾ ʃ a
puc	p u k
santa	s a n t a
alt	a l t
capital	k a p i t a l
feia	f e j a
fàcil	f a ʃ i l
igual	i ɡ w a l
mercat	m e ɾ k a t
prendre	p ɾ ɛ n d ɾ e
real	r e a l
càrrec	k a r r e k
interior	i n t e ɾ j o ɾ
primers	p ɾ i m e ɾ s
allà	a l l a
dur	d u ɾ
festival	f e s t i v a l
fos	f o s
fotos	f o t o s
generalitat	d͡ʒ e n e ɾ a l i t a t
maria	m a ɾ j a
personal	p e ɾ s o n a l
teniu	t e n j u
via	v j a
institut	i n s t i t u t
jordi	ʒ o ɾ d i
model	m o d ɛ l
base	b a s e
deixa	d e j ʃ a
difícil	d i f i ʃ i l
donat	d o n a t
just	ʒ u s t
vista	v i s t a
última	u l t i m a
alta	a l t a
bo	b o
meus	m e u s
parc	p a ɾ k
perdre	p e ɾ d ɾ e
petita	p e t i t a
actes	a k t e s
diari	d i a ɾ i
pena	p e n a
pregunta	p ɾ e ɡ u n t a
riu	ɾ i u
set	s ɛ t
sou	s u
televisió	t e l e v i z j ɔ
acaba	a k a b a
atac	a t a k
edat	e d a t
sala	s a l a
vi	v i
alemanya	a l e m a n j a
amor	a m o ɾ
casos	k a s o s
data	d a t a
estudis	e s t u d i s
ple	p l e
posa	p o s a
pugui	p u ɡ i
ve	v e
anat	a n a t
companyia	k o m p a n j a
espera	e s p e ɾ a
estudi	e s t u d i
europea	e w ɾ o p e a
falta	f a l t a
illes	i l l e s
interès	i n t e ɾ ɛ s
mil	m i l
polítiques	p o l i t i k e s
qüestió	k w e s t j ɔ
sigut	s i ɡ u t
títol	t i t o l
aleshores	a l e ʃ o ɾ e s
continua	k o n t i n u a
deia	d e j a
dreta	d ɾ e t a
fets	f ɛ t s
in	i n
mapa	m a p a
pobles	p o b l e s
pròpia	p ɾ ɔ p j a
recursos	r e k u ɾ s o s
ràdio	r a d j o
entitats	e n t i t a t s
girona	d͡ʒ i ɾ o n a
mena	m e n a
natural	n a t u ɾ a l
opinió	o p i n j ɔ
oportunitat	o p o ɾ t u n i t a t
paraula	p a ɾ a w l a
sa	s a
antic	a n t i k
número	n u m e ɾ o
propi	p ɾ ɔ p i
reunió	r e u n j ɔ
setmanes	s e t m a n e s
tarda	t a ɾ d a
versió	v e ɾ s j ɔ
escoles	e s k o l e s
est	e s t
revista	r e v i s t a
taula	t a w l a
castellà	k a s t e l l a
foc	f o k
germà	d͡ʒ e ɾ m a
productes	p ɾ o d u k t e s
època	ɛ p o k a
acabat	a k a b a t
bones	b o n e s
david	d a v i d
pocs	p o k s
públics	p u b l i k s
temes	t e m e s
val	v a l
vila	v i l a
carles	k a ɾ l e s
deixat	d e j ʃ a t
faci	f a ʃ i
jornada	ʒ o ɾ n a d a
locals	l o k a l s
marc	m a ɾ k
mateixos	m a t e j ʃ o s
portes	p o ɾ t e s
ulls	u l s
victòria	v i k t ɔ ɾ j a
activitat	a k t i v i t a t
anterior	a n t e ɾ j o ɾ
aprendre	a p ɾ ɛ n d ɾ e
digital	d i d͡ʒ i t a l
importància	i m p o ɾ t a n t͡ʃ a
publicat	p u b l i k a t
vostra	v o s t ɾ a
amic	a m i k
comú	k o m u
fes	f e s
hospital	o s p i t a l
or	o ɾ
pere	p e ɾ e
perill	p e ɾ i l
companys	k o m p a n i s
crisi	k ɾ i s i
palau	p a l a w
patrimoni	p a t ɾ i m o n i
seran	s e ɾ a n
to	t o
últims	u l t i m s
demana	d e m a n a
gestió	d͡ʒ e s t j ɔ
honor	o n o ɾ
idees	i d e e s
negre	n e ɡ ɾ e
període	p e ɾ i o d e
posat	p o s a t
primeres	p ɾ i m e ɾ e s
superior	s u p e ɾ j o ɾ
unitat	u n i t a t
carta	k a ɾ t a
memòria	m e m ɔ ɾ j a
sabem	s a b e m
saps	s a p s
tribunal	t ɾ i b u n a l
veïns	v e i n s
àrea	a ɾ e a
aniversari	a n i v e ɾ s a ɾ i
can	k a n
cases	k a s e s
estil	e s t i l
estàs	e s t a s
familiars	f a m i l j a ɾ s
guàrdia	ɡ w a ɾ d j a
mas	m a s
material	m a t e ɾ j a l
mesura	m e s u ɾ a
metres	m e t ɾ e s
normal	n o ɾ m a l
teus	t e u s
xarxes	ʃ a ɾ ʃ e s
discurs	d i s k u ɾ s
germans	d͡ʒ e ɾ m a n s
literatura	l i t e ɾ a t u ɾ a
milers	m i l e ɾ s
surt	s u ɾ t
tindrà	t i n d ɾ a
trobada	t ɾ o b a d a
valor	v a l o ɾ
alcalde	a l k a l d e
almenys	a l m e n i s
batalla	b a t a l l a
festes	f e s t e s
jugadors	ʒ u ɡ a d o ɾ s
penso	p ɛ n s o
proposta	p ɾ o p o s t a
volia	v o l j a
compromís	k o m p ɾ o m i s
efecte	e f ɛ k t e
històric	i s t ɔ ɾ i k
mínim	m i n i m
nen	n ɛ n
preguntes	p ɾ e ɡ u n t e s
voluntat	v o l u n t a t
víctimes	v i k t i m e s
articles	a ɾ t i k l e s
artistes	a ɾ t i s t e s
contacte	k o n t a k t e
dòlars	d ɔ l a ɾ s
infantil	i n f a n t i l
parís	p a ɾ i s
sortida	s o ɾ t i d a
àfrica	a f ɾ i k a
amèrica	a m ɛ ɾ i k a
antiga	a n t i ɡ a
culpa	k u l p a
nadal	n a d a l
original	o ɾ i d͡ʒ i n a l
papa	p a p a
pràctica	p ɾ a k t i k a
quasi	k w a s i
tecnologia	t e k n o l o d͡ʒ i a
canal	k a n a l
copa	k o p a
donen	d o n ɛ n
econòmica	e k o n ɔ m i k a
espero	e s p e ɾ o
finals	f i n a l s
necessita	n e θ e s s i t a
noms	n ɔ m s
reial	r e j a l
animals	a n i m a l s
armes	a ɾ m e s
comptes	k o m p t e s
doble	d o b l e
marca	m a ɾ k a
mòbil	m ɔ b i l
pensa	p ɛ n s a
vall	v a l
vas	v a s
agradaria	a ɡ ɾ a d a ɾ j a
cadena	k a d e n a
considera	k o n s i d e ɾ a
crida	k ɾ i d a
líder	l i d e ɾ
parlem	p a ɾ l ɛ m
propietat	p ɾ o p j e t a t
refugiats	r e f u d͡ʒ a t s
rússia	r u s s j a
saben	s a b ɛ n
vots	v o t s
artista	a ɾ t i s t a
bloc	b l ɔ k
mala	m a l a
motius	m o t j u s
plau	p l a w
tradicional	t ɾ a d i t͡ʃ o n a l
and	a n d
coll	k o l
dic	d i k
esperem	e s p e ɾ e m
francesc	f ɾ a n t͡ʃ e s k
pell	p ɛ l
reforma	r e f o ɾ m a
resulta	r e s u l t a
silenci	s i l ɛ n t͡ʃ i
xina	ʃ i n a
actualitat	a k t w a l i t a t
clara	k l a ɾ a
esta	e s t a
feta	f e t a
indústria	i n d u s t ɾ j a
las	l a s
militars	m i l i t a ɾ s
minut	m i n u t
puguin	p u ɡ i n
públiques	p u b l i k e s
quines	k i n e s
sexe	s e ʃ e
vaga	v a ɡ a
anava	a n a v a
biblioteca	b i b l j o t ɛ k a
comarca	k o m a ɾ k a
disseny	d i s s e n i
formes	f o ɾ m e s
ganes	ɡ a n e s
humà	u m a
matrimoni	m a t ɾ i m o n i
planta	p l a n t a
propostes	p ɾ o p o s t e s
sistemes	s i s t e m e s
unit	u n i t
vine	v i n e
visió	v i z j ɔ
agafar	a ɡ a f a ɾ
antoni	a n t o n i
anàlisi	a n a l i s i
camps	k a m p s
econòmic	e k o n ɔ m i k
fe	f e
igualtat	i ɡ w a l t a t
pedra	p e d ɾ a
suposa	s u p o s a
ciutadania	t͡ʃ u t a d a n j a
compta	k o m p t a
coneguda	k o n e ɡ u d a
cops	k ɔ p s
manca	m a n k a
pis	p i s
programes	p ɾ o ɡ ɾ a m e s
quins	k i n s
somni	s o m n i
cita	t͡ʃ i t a
crítica	k ɾ i t i k a
dalt	d a l t
documental	d o k u m e n t a l
escriptor	e s k ɾ i p t o ɾ
maneres	m a n e ɾ e s
sola	s o l a
vespre	v e s p ɾ e
vint	v i n t
índia	i n d j a
anomenada	a n o m e n a d a
europeus	e w ɾ o p e u s
gust	ɡ u s t
quantes	k w a n t e s
advocat	a d v o k a t
caràcter	k a ɾ a k t e ɾ
culturals	k u l t u ɾ a l s
decidit	d e θ i d i t
disc	d i s k
dr	d e ɾ
eh	e
faran	f a ɾ a n
hivern	i v ɛ ɾ n
hotel	o t ɛ l
personatge	p e ɾ s o n a t d͡ʒ e
plans	p l a n s
simple	s i m p l e
tasca	t a s k a
anteriors	a n t e ɾ j o ɾ s
busca	b u s k a
efectes	e f ɛ k t e s
eines	e i n e s
escriptors	e s k ɾ i p t o ɾ s
eua	e w a
fiscal	f i s k a l
històries	i s t ɔ ɾ j e s
jesús	ʒ e s u s
màxim	m a ʃ i m
oferta	o f ɛ ɾ t a
pista	p i s t a
pobresa	p o b ɾ e s a
portal	p o ɾ t a l
porten	p o ɾ t ɛ n
quilòmetres	k i l ɔ m e t ɾ e s
vostè	v o s t ɛ
anna	a n n a
bosc	b o s k
cafè	k a f ɛ
cursa	k u ɾ s a
destaca	d e s t a k a
escala	e s k a l a
estructura	e s t ɾ u k t u ɾ a
fase	f a s e
guanyat	ɡ w a n j a t
interessos	i n t e ɾ e s s o s
meua	m e w a
parella	p a ɾ ɛ l l a
pàgines	p a ʒ i n e s
americà	a m e ɾ i k a
cost	k o s t
districte	d i s t ɾ i k t e
espectacle	e s p e k t a k l e
fas	f a s
gas	ɡ a s
històrica	i s t ɔ ɾ i k a
itàlia	i t a l j a
martí	m a ɾ t i
pa	p a
para	p a ɾ a
perfil	p e ɾ f i l
unir	u n i ɾ
vergonya	v e ɾ ɡ o n j a
vides	v i d e s
be	b e
càrrecs	k a r r e k s
dedicat	d e d i k a t
difusió	d i f u z j ɔ
distància	d i s t a n t͡ʃ a
etapa	e t a p a
formen	f o ɾ m e n
forta	f o ɾ t a
impacte	i m p a k t e
ma	m a
materials	m a t e ɾ j a l s
negres	n e ɡ ɾ e s
noia	n ɔ j a
particular	p a ɾ t i k u l a ɾ
reina	r e i n a
tanta	t a n t a
testimoni	t e s t i m o n i
tornada	t o ɾ n a d a
boca	b o k a
botiga	b o t i ɡ a
caps	k a p s
comentaris	k o m e n t a ɾ i s
democràtica	d e m o k ɾ a t i k a
homenatge	o m e n a t d͡ʒ e
lectura	l e k t u ɾ a
legal	l e ɡ a l
marina	m a ɾ i n a
obre	o b ɾ e
permís	p e ɾ m i s
petites	p e t i t e s
plaer	p l a e ɾ
populars	p o p u l a ɾ s
salvador	s a l v a d o ɾ
so	s o
treballs	t ɾ e b o l s
unides	u n i d e s
comitè	k o m i t ɛ
deixem	d e j ʃ e m
estarà	e s t a ɾ a
global	ɡ l o b a l
identitat	i d e n t i t a t
jugador	ʒ u ɡ a d o ɾ
junta	ʒ u n t a
menors	m e n o ɾ s
palma	p a l m a
pes	p e s
puig	p ɥ i ɡ
atacs	a t a k s
catalanes	k a t a l a n e s
càncer	k a n t͡ʃ e ɾ
diputat	d i p u t a t
domini	d o m i n i
estona	e s t o n a
medi	m e d i
nenes	n e n e s
odi	o d i
podrà	p o d ɾ a
tècnica	t ɛ k n i k a
vulgui	v u l ɡ i
cambra	k a m b ɾ a
comte	k o m t e
delicte	d e l i k t e
germana	d͡ʒ e ɾ m a n a
le	l e
lingüística	l i n ɡ w i s t i k a
martin	m a ɾ t i n
parlat	p a ɾ l a t
peus	p e u s
planeta	p l a n e t a
plantes	p l a n t e s
poca	p o k a
puta	p u t a
resoldre	r e s o l d ɾ e
san	s a n
toca	t o k a
americans	a m e ɾ i k a n s
avió	a v j ɔ
bar	b a ɾ
carlos	k a ɾ l o s
divisió	d i v i z j ɔ
dura	d u ɾ a
física	f i s i k a
humor	u m o ɾ
negra	n e ɡ ɾ a
objectius	o b ʒ e k t j u s
oportunitats	o p o ɾ t u n i t a t s
plana	p l a n a
príncep	p ɾ i n t͡ʃ e p
seues	s e w e s
voluntaris	v o l u n t a ɾ i s
víctima	v i k t i m a
desig	d e s i ɡ
figura	f i ɡ u ɾ a
fred	f ɾ e d
industrial	i n d u s t ɾ j a l
mandat	m a n d a t
matèria	m a t ɛ ɾ j a
occidental	o t t͡ʃ i d e n t a l
peces	p e θ e s
pluja	p l u ʒ a
presa	p ɾ e s a
suprem	s u p ɾ ɛ m
temperatura	t e m p e ɾ a t u ɾ a
àrab	a ɾ a b
àrees	a ɾ e e s
carn	k a ɾ n
completa	k o m p l e t a
crim	k ɾ i m
curt	k u ɾ t
democràtic	d e m o k ɾ a t i k
econòmiques	e k o n ɔ m i k e s
entitat	e n t i t a t
femení	f e m e n i
nena	n e n a
post	p o s t
soc	s o k
vot	v o t
arbre	a ɾ b ɾ e
aspectes	a s p e k t e s
comunitats	k o m u n i t a t s
consulta	k o n s u l t a
da	d a
estatal	e s t a t a l
fusta	f u s t a
generals	d͡ʒ e n e ɾ a l s
habitual	a b i t u a l
naturals	n a t u ɾ a l s
pres	p ɾ e s
preus	p ɾ e u s
producte	p ɾ o d u k t e
propis	p ɾ ɔ p i s
publica	p u b l i k a
sabia	s a b j a
seguidors	s e ɡ i d o ɾ s
sánchez	s a n t͡ʃ e z
tornem	t o ɾ n e m
viscut	v i s k u t
americana	a m e ɾ i k a n a
autoritat	a w t o ɾ i t a t
ball	b a l
bonic	b ɔ n i k
calor	k a l o ɾ
candidat	k a n d i d a t
característiques	k a ɾ a k t e ɾ i s t i k e s
creus	k ɾ e u s
cura	k u ɾ a
encanta	e n k a n t a
entrades	e n t ɾ a d e s
felip	f e l i p
ferro	f ɛ r r o
fiscals	f i s k a l s
gira	d͡ʒ i ɾ a
mur	m u ɾ
sens	s ɛ n s
suposo	s u p o s o
acaben	a k a b ɛ n
acabo	a k a b o
antics	a n t i k s
demanda	d e m a n d a
depèn	d e p ɛ n
diàleg	d j a l e ɡ
educatiu	e d u k a t j u
eina	e i n a
imperi	i m p e ɾ i
mares	m a ɾ e s
milió	m i l j ɔ
preocupa	p ɾ e o k u p a
termini	t e ɾ m i n i
titular	t i t u l a ɾ
blau	b l a w
by	b a j
orgull	o ɾ ɡ u l
pantalla	p a n t a l l a
privada	p ɾ i v a d a
propers	p ɾ o p e ɾ s
sorpresa	s o ɾ p ɾ e s a
tancat	t a n k a t
actiu	a k t j u
arxiu	a ɾ ʃ j u
campionat	k a m p j o n a t
canals	k a n a l s
capità	k a p i t a
capítol	k a p i t o l
demanen	d e m a n ɛ n
diversitat	d i v e ɾ s i t a t
do	d o
escriu	e s k ɾ j u
garantir	ɡ a ɾ a n t i ɾ
genial	d͡ʒ e n j a l
munt	m u n t
natura	n a t u ɾ a
nombroses	n o m b ɾ o s e s
normes	n o ɾ m e s
pedro	p e d ɾ o
portugal	p o ɾ t u ɡ a l
pràctiques	p ɾ a k t i k e s
segles	s e ɡ l e s
tanca	t a n k a
tantes	t a n t e s
universal	u n i v e ɾ s a l
viva	v i v a
últimes	u l t i m e s
arbres	a ɾ b ɾ e s
ca	k a
demostra	d e m o s t ɾ a
dificultats	d i f i k u l t a t s
disponible	d i s p o n i b l e
estadi	e s t a d i
fonamental	f o n a m e n t a l
fàbrica	f a b ɾ i k a
humanitat	u m a n i t a t
majors	m a ʒ o ɾ s
meves	m e v e s
migdia	m i ɡ d j a
motor	m o t o ɾ
oli	o l i
peça	p e s a
pobre	p o b ɾ e
pobres	p o b ɾ e s
actitud	a k t i t u d
ah	a
anirà	a n i ɾ a
antonio	a n t ɔ n j o
autoritats	a w t o ɾ i t a t s
centenars	θ e n t e n a ɾ s
ciutadana	t͡ʃ u t a d a n a
comunicat	k o m u n i k a t
contracte	k o n t ɾ a k t e
dolor	d o l o ɾ
enemic	e n ɛ m i k
fil	f i l
indica	i n d i k a
inversió	i n v e ɾ s j ɔ
jardí	ʒ a ɾ d i
laboral	l a b o ɾ a l
mida	m i d a
obertura	o b e ɾ t u ɾ a
porto	p o ɾ t o
reduir	r e d ɥ i ɾ
respostes	r e s p o s t e s
sobreviure	s o b ɾ e v j u ɾ e
valls	v a l s
alba	a l b a
ampli	a m p l i
animal	a n i m a l
bases	b a s e s
canadà	k a n a d a
cau	k a u̯
dictadura	d i k t a d u ɾ a
diria	d i ɾ j a
empordà	e m p o ɾ d a
enorme	e n ɔ ɾ m e
gos	ɡ o s
neu	n e u
nombrosos	n o m b ɾ o s o s
penal	p e n a l
poders	p o d e ɾ s
posem	p o s e m
sanitat	s a n i t a t
símbol	s i m b o l
tornen	t o ɾ n ɛ n
tradicionals	t ɾ a d i t͡ʃ o n a l s
trobareu	t ɾ o b a ɾ e w
vehicles	v e i k l e s
vic	v i k
abast	a b a s t
alemanys	a l e m a n i s
aprenentatge	a p ɾ e n e n t a t d͡ʒ e
bonica	b o n i k a
col	k o l
connexió	k o n n e ʃ j ɔ
deixen	d e j ʃ ɛ n
dècada	d ɛ k a d a
egipte	e d͡ʒ i p t e
guia	ɡ j a
mateixes	m a t e j ʃ e s
moral	m o ɾ a l
ocasió	o k a s j ɔ
proposa	p ɾ o p o s a
reportatge	r e p o ɾ t a t d͡ʒ e
segura	s e ɡ u ɾ a
ull	u l
veritable	v e ɾ i t a b l e
vivim	v i v i m
ajudes	a ʒ u d e s
alerta	a l ɛ ɾ t a
cua	k u a
càmera	k a m e ɾ a
detall	d e t a l
enric	ɛ n r i k
espècie	e s p ɛ s j e
estrany	e s t ɾ a n i
figures	f i ɡ u ɾ e s
il	i l
mirada	m i ɾ a d a
places	p l a s e s
tindre	t i n d ɾ e
torneig	t o ɾ n e j ɡ
àngel	a n d͡ʒ e l
útil	u t i l
afecta	a f ɛ k t a
afirma	a f i ɾ m a
cadascú	k a d a s k u
clàssic	k l a s s i k
crític	k ɾ i t i k
destí	d e s t i
estima	e s t i m a
italià	i t a l j a
jornades	ʒ o ɾ n a d e s
juga	ʒ u ɡ a
juvenil	ʒ u v e n i l
manifest	m a n i f e s t
mediterrani	m e d i t e r r a n i
passi	p a s s i
posterior	p o s t e ɾ j o ɾ
publicada	p u b l i k a d a
regal	r e ɡ a l
salt	s a l t
tècnic	t ɛ k n i k
volum	v o l u m
alternativa	a l t e ɾ n a t i v a
anual	a n u a l
arquitectura	a ɾ k i t e k t u ɾ a
autonomia	a w t o n o m j a
cadascun	k a d a s k u n
cavall	k a v a l
crítiques	k ɾ i t i k e s
còmic	k ɔ m i k
dedicada	d e d i k a d a
entès	ɛ̃ t ɛ s
estrella	e s t ɾ ɛ l l a
finestra	f i n e s t ɾ a
fronteres	f ɾ o n t e ɾ e s
fòrum	f ɔ ɾ u m
governs	ɡ o v ɛ ɾ n s
líders	l i d e ɾ s
límit	l i m i t
moderna	m o d ɛ ɾ n a
ocupa	o k u p a
onu	o n u
papers	p a p e ɾ s
pintura	p i n t u ɾ a
portada	p o ɾ t a d a
pérez	p e ɾ e z
qüestions	k w e s t j ɔ n s
reals	r e a l s
ritme	r i t m e
siga	s i ɡ a
tardor	t a ɾ d o ɾ
tornarà	t o ɾ n a ɾ a
vies	v j e s
autobús	a w t o b u s
candidats	k a n d i d a t s
cartes	k a ɾ t e s
cristians	k ɾ i s t j a n s
educativa	e d u k a t i v a
esportiva	e s p o ɾ t i v a
esposa	e s p o s a
este	e s t e
federal	f e d e ɾ a l
gols	ɡ o l s
interessa	i n t e ɾ e s s a
nascut	n a s k u t
oh	o
olímpics	o l i m p i k s
paga	p a ɡ a
pati	p a t i
pedres	p e d ɾ e s
poeta	p o e t a
presos	p ɾ e s o s
pro	p ɾ o
properes	p ɾ o p e ɾ e s
revolta	r e v ɔ l t a
setge	s e t d͡ʒ e
vagi	v a d͡ʒ i
venen	v e n ɛ n
vídeos	v i d e o s
avinguda	a v i n ɡ u d a
barça	b a ɾ s a
basat	b a s a t
capaços	k a p a s o s
claus	k l a w s
cursos	k u ɾ s o s
debò	d e b ɔ
directora	d i ɾ e k t o ɾ a
errors	e r r o ɾ s
estrena	e s t ɾ e n a
fantàstic	f a n t a s t i k
film	f i l m
habilitats	a b i l i t a t s
miguel	m i ɡ ɛ l
partida	p a ɾ t i d a
pensava	p e n s a v a
plens	p l ɛ n s
sectors	s e k t o ɾ s
universitats	u n i v e ɾ s i t a t s
urbà	u ɾ b a
abu	a b u
arma	a ɾ m a
arxius	a ɾ ʃ j u s
autònoma	a w t ɔ n o m a
calendari	k a l e n d a ɾ i
campió	k a m p j ɔ
compra	k o m p ɾ a
condemna	k o n d e m n a
erc	ɛ ɾ k
fernández	f e ɾ n a n d e s
franco	f ɾ a n k o
michael	m i ʃ a ɛ l
pogués	p o ɡ e s
primària	p ɾ i m a ɾ j a
retirada	r e t i ɾ a d a
secundària	s e k u n d a ɾ j a
seguida	s e ɡ i d a
xix	ʃ i ʃ
agradat	a ɡ ɾ a d a t
escolars	e s k o l a ɾ s
estiguin	e s t i ɡ i n
genera	d͡ʒ e n e ɾ a
lletra	l l e t ɾ a
màquines	m a k i n e s
números	n u m e ɾ o s
rural	r u ɾ a l
ràpida	r a p i d a
somnis	s o m n i s
soroll	s o ɾ o l
tracte	t ɾ a k t e
ànima	a n i m a
acabem	a k a b e m
activa	a k t i v a
actors	a k t o ɾ s
austràlia	a u s t ɾ a l j a
braços	b ɾ a s o s
cerca	t͡ʃ e ɾ k a
complicat	k o m p l i k a t
comunista	k o m u n i s t a
escrita	e s k ɾ i t a
esportiu	e s p o ɾ t j u
fracàs	f ɾ a k a s
james	ʒ a m e s
marta	m a ɾ t a
matemàtiques	m a t e m a t i k e s
mentida	m e n t i d a
mor	m o ɾ
nucli	n u k l i
núm	n u m
personals	p e ɾ s o n a l s
perspectiva	p e ɾ s p e k t i v a
pisos	p i s o s
podríem	p o d ɾ i e m
propòsit	p ɾ o p ɔ s i t
protagonista	p ɾ o t a ɡ o n i s t a
