un	u n
institūts	i n s t i t uː t s
mīļi	m iː ʎ i
svētkus	s v eː t k u s
up	u p
vecu	v e t͡s u
īstu	iː s t u
cerību	t͡s e r iː b u
izrādi	i z r ɑː d i
krīzes	k r iː z e s
krūtis	k r uː t i s
meiteņu	m e i t e ɲ u
nokļūt	n o k ʎ uː t
norisinās	n o r i s i n ɑː s
ok	o k
pusēm	p u s eː m
sodu	s o d u
spēki	s p eː k i
teksts	t e k s t s
vēstuli	v eː s t u l i
zeltu	z e l t u
īsto	iː s t o
šonedēļ	ʃ o n e d eː ʎ
ceturto	t͡s e t u r t o
konkursu	k o n k u r s u
kristīne	k r i s t iː n e
likumi	l i k u m i
līvu	l iː v u
normu	n o r m u
noteikts	n o t e i k t s
publisko	p u b l i s k o
putni	p u t n i
septiņi	s e p t i ɲ i
sūtīt	s uː t iː t
vienību	v i e n iː b u
vēlmes	v eː l m e s
vīnu	v iː n u
cepuri	t͡s e p u r i
ebreju	e b r e j u
gūt	ɡ uː t
kilometru	k i l o m e t r u
krietni	k r i e t n i
leju	l e j u
spēcīgi	s p eː t͡s iː ɡ i
veikti	v e i k t i
vilks	v i l k s
dz	d z
džeks	d͡ʒ e k s
funkciju	f u n k t͡s i j u
izturēt	i z t u r eː t
izvēli	i z v eː l i
mākslu	m ɑː k s l u
noderēs	n o d e r eː s
one	o n e
pienu	p i e n u
pro	p r o
putns	p u t n s
ceļojumu	t͡s e ʎ o j u m u
cilvēktiesību	t͡s i l v eː k t i e s iː b u
ieguvis	i e ɡ u v i s
interesi	i n t e r e s i
izmērs	i z m eː r s
kodu	k o d u
koki	k o k i
met	m e t
metri	m e t r i
pelnījis	p e l n iː j i s
pretēji	p r e t eː j i
pretīgi	p r e t iː ɡ i
pētījums	p eː t iː j u m s
rītu	r iː t u
struktūru	s t r u k t uː r u
sēriju	s eː r i j u
tevī	t e v iː
virtuvē	v i r t u v eː
vēlmi	v eː l m i
zemāk	z e m ɑː k
eksperti	e k s p e r t i
interešu	i n t e r e ʃ u
liks	l i k s
lēni	l eː n i
nopelnīt	n o p e l n iː t
spīti	s p iː t i
stulbi	s t u l b i
velosipēdu	v e l o s i p eː d u
vienīgo	v i e n iː ɡ o
ērti	eː r t i
ejot	e j o t
nopirku	n o p i r k u
pili	p i l i
režīms	r e ʒ iː m s
sit	s i t
skolēni	s k o l eː n i
tilts	t i l t s
treniņu	t r e n i ɲ u
vi	v i
kredītu	k r e d iː t u
online	o n l i n e
pogu	p o ɡ u
rozā	r o z ɑː
spējīgs	s p eː j iː ɡ s
tikusi	t i k u s i
īsu	iː s u
derētu	d e r eː t u
devu	d e v u
elpu	e l p u
ienīstu	i e n iː s t u
kurzemē	k u r z e m eː
likmes	l i k m e s
mirkli	m i r k l i
mūžā	m uː ʒ ɑː
nomirt	n o m i r t
noteikumu	n o t e i k u m u
sēņu	s eː ɲ u
zelts	z e l t s
ek	e k
just	j u s t
jūru	j uː r u
kreisi	k r e i s i
lomā	l o m ɑː
pirkstu	p i r k s t u
pozitīvi	p o z i t iː v i
vecums	v e t͡s u m s
vietējie	v i e t eː j i e
viltus	v i l t u s
zonu	z o n u
dzinēju	d͡z i n eː j u
go	ɡ o
hey	h e j
jūlijs	j uː l i j s
liktenis	l i k t e n i s
muguru	m u ɡ u r u
neiešu	n e i e ʃ u
nometne	n o m e t n e
perfekti	p e r f e k t i
sulu	s u l u
teikšu	t e i k ʃ u
upuri	u p u r i
versiju	v e r s i j u
dirst	d i r s t
eksistē	e k s i s t eː
ep	e p
iemesli	i e m e s l i
lī	l iː
metrus	m e t r u s
pildīt	p i l d iː t
pozitīvu	p o z i t iː v u
tiltu	t i l t u
upi	u p i
virsmu	v i r s m u
zēns	z eː n s
burtu	b u r t u
devis	d e v i s
dzinējs	d͡z i n eː j s
kreklu	k r e k l u
minūtē	m i n uː t eː
nometnē	n o m e t n eː
novērtē	n o v eː r t eː
objekti	o b j e k t i
romāns	r o m ɑː n s
seno	s e n o
slimnīcu	s l i m n iː t͡s u
stils	s t i l s
stilu	s t i l u
sūdu	s uː d u
testu	t e s t u
tēlu	t eː l u
vēstule	v eː s t u l e
vēzis	v eː z i s
ēnu	eː n u
do	d o
efektu	e f e k t u
ekonomisko	e k o n o m i s k o
ieguvuši	i e ɡ u v u ʃ i
kontu	k o n t u
krīt	k r iː t
nezin	n e z i n
nozīmīgu	n o z iː m iː ɡ u
resursu	r e s u r s u
senās	s e n ɑː s
sveiks	s v e i k s
virtuve	v i r t u v e
vērtē	v eː r t eː
ziņojums	z i ɲ o j u m s
zobus	z o b u s
ieguvusi	i e ɡ u v u s i
kurss	k u r sː
likumus	l i k u m u s
meklējot	m e k l eː j o t
neteikšu	n e t e i k ʃ u
sugu	s u ɡ u
time	t i m e
tūristu	t uː r i s t u
zīmolu	z iː m o l u
ēkām	eː k ɑː m
šito	ʃ i t o
mirklī	m i r k l iː
mēnesis	m eː n e s i s
noturēt	n o t u r eː t
produkti	p r o d u k t i
rīts	r iː t s
sešus	s e ʃ u s
spēcīgu	s p eː t͡s iː ɡ u
tētim	t eː t i m
veiksmes	v e i k s m e s
šurp	ʃ u r p
dzirdi	d͡z i r d i
eksperts	e k s p e r t s
elektrisko	e l e k t r i s k o
koncerti	k o n t͡s e r t i
kreiso	k r e i s o
milzīgu	m i l z iː ɡ u
mērs	m eː r s
princips	p r i n t͡s i p s
redzētu	r e d͡z eː t u
risku	r i s k u
sāls	s ɑː l s
turp	t u r p
vēsturiski	v eː s t u r i s k i
zināmi	z i n ɑː m i
elementu	e l e m e n t u
ministri	m i n i s t r i
nometnes	n o m e t n e s
preiļu	p r e i ʎ u
reižu	r e i ʒ u
signāls	s i ɡ n ɑː l s
tikuši	t i k u ʃ i
triju	t r i j u
tīru	t iː r u
veicināt	v e i t͡s i n ɑː t
dzimumu	d͡z i m u m u
ezeru	e z e r u
fi	f i
izcils	i z t͡s i l s
jūti	j uː t i
kopiju	k o p i j u
kundze	k u n d͡z e
policisti	p o l i t͡s i s t i
veiktu	v e i k t u
cilvēces	t͡s i l v eː t͡s e s
cēsis	t͡s eː s i s
eiropu	e i r o p u
ekonomiku	e k o n o m i k u
el	e l
iezīmes	i e z iː m e s
ikp	i k p
instrumentu	i n s t r u m e n t u
investīciju	i n v e s t iː t͡s i j u
krūšu	k r uː ʃ u
notiktu	n o t i k t u
policiju	p o l i t͡s i j u
pudeles	p u d e l e s
pus	p u s
seksu	s e k s u
sēžu	s eː ʒ u
gūst	ɡ uː s t
krīze	k r iː z e
logo	l o ɡ o
lūgt	l uː k t
mīt	m iː t
novērst	n o v eː r s t
produktus	p r o d u k t u s
sešu	s e ʃ u
sunim	s u n i m
tirgu	t i r ɡ u
turnīru	t u r n iː r u
viesnīcu	v i e s n iː t͡s u
vietnieks	v i e t n i e k s
vēro	v eː r o
ēriks	eː r i k s
cerēju	t͡s e r eː j u
di	d i
ei	e i
iznāk	i z n ɑː k
jēzu	j eː z u
kursi	k u r s i
melnās	m e l n ɑː s
monētu	m o n eː t u
pensiju	p e n s i j u
pilnīgu	p i l n iː ɡ u
princis	p r i n t͡s i s
pusei	p u s e i
skolām	s k o l ɑː m
slims	s l i m s
spēs	s p eː s
sēdes	s eː d e s
turpināsim	t u r p i n ɑː s i m
veiksme	v e i k s m e
veikts	v e i k t s
vēzi	v eː z i
degunu	d e ɡ u n u
ieteikt	i e t e i k t
izdevīgi	i z d e v iː ɡ i
jumtu	j u m t u
jūt	j uː t
kleitu	k l e i t u
loku	l o k u
minūti	m i n uː t i
mirklis	m i r k l i s
nespēs	n e s p eː s
notikums	n o t i k u m s
notikušo	n o t i k u ʃ o
projekti	p r o j e k t i
stingri	s t i n ɡ r i
stūrī	s t uː r iː
uzlikt	u z l i k t
vēsturisko	v eː s t u r i s k o
īss	iː sː
dejo	d e j o
drošu	d r o ʃ u
ejiet	e j i e t
gulbis	ɡ u l b i s
izņēmums	i z ɲ eː m u m s
kolektīvs	k o l e k t iː v s
konkrētu	k o n k r eː t u
koru	k o r u
locekļu	l o t͡s e k ʎ u
līgumi	l iː ɡ u m i
mes	m e s
novērtēt	n o v eː r t eː t
priecīgus	p r i e t͡s iː ɡ u s
pētnieki	p eː t n i e k i
risks	r i s k s
silts	s i l t s
simbolu	s i m b o l u
summu	s u mː u
tukums	t u k u m s
upe	u p e
uzņēmēji	u z ɲ eː m eː j i
vienotu	v i e n o t u
viesu	v i e s u
be	b e
burvju	b u r v j u
intensīvi	i n t e n s iː v i
le	l e
līst	l iː s t
pudeli	p u d e l i
režīmu	r e ʒ iː m u
somā	s o m ɑː
tēls	t eː l s
veicis	v e i t͡s i s
versijā	v e r s i j ɑː
videi	v i d e i
vēju	v eː j u
cenām	t͡s e n ɑː m
dzirdu	d͡z i r d u
dēli	d eː l i
emociju	e m o t͡s i j u
guvis	ɡ u v i s
ieguvēji	i e ɡ u v eː j i
klints	k l i n t s
kori	k o r i
kursus	k u r s u s
medību	m e d iː b u
metro	m e t r o
minēt	m i n eː t
muskuļu	m u s k u ʎ u
notikusi	n o t i k u s i
pelnījuši	p e l n iː j u ʃ i
plūsmu	p l uː s m u
principu	p r i n t͡s i p u
rožu	r o ʒ u
spēsi	s p eː s i
sēdē	s eː d eː
sūti	s uː t i
uguni	u ɡ u n i
vietne	v i e t n e
zemei	z e m e i
zinātniskās	z i n ɑː t n i s k ɑː s
cūku	t͡s uː k u
depo	d e p o
disku	d i s k u
forums	f o r u m s
internetu	i n t e r n e t u
joku	j o k u
jēgu	j eː ɡ u
konkrēti	k o n k r eː t i
lekciju	l e k t͡s i j u
lēmumi	l eː m u m i
ministre	m i n i s t r e
minūtēs	m i n uː t eː s
nebūšu	n e b uː ʃ u
niks	n i k s
nonācis	n o n ɑː t͡s i s
oktobris	o k t o b r i s
piekļūt	p i e k ʎ uː t
rīko	r iː k o
rūpīgi	r uː p iː ɡ i
spēlēju	s p eː l eː j u
uldis	u l d i s
viegls	v i eˀ ɡ l s
wi	w i
būve	b uː v e
cerēt	t͡s e r eː t
esošie	e s o ʃ i e
itin	i t i n
jūnijs	j uː n i j s
kūku	k uː k u
noslēpumu	n o s l eː p u m u
novērstu	n o v eː r s t u
os	o s
piezīmes	p i e z iː m e s
pēdu	p eː d u
reinis	r e i n i s
rūp	r uː p
spēlējot	s p eː l eː j o t
tikšu	t i k ʃ u
trūkumu	t r uː k u m u
turpinām	t u r p i n ɑː m
virkne	v i r k n e
vēsts	v eː s t s
we	w e
zīmē	z iː m eː
zīmēm	z iː m eː m
būvēt	b uː v eː t
ernests	e r n e s t s
home	h o m e
ietu	i e t u
klusē	k l u s eː
krekls	k r e k l s
krūtīm	k r uː t iː m
lietuvu	l i e t u v u
likteni	l i k t e n i
lūpu	l uː p u
neņem	n e ɲ e m
puisim	p u i s i m
pērk	p eː r k
rīkojumu	r iː k o j u m u
sekmīgi	s e k m iː ɡ i
si	s i
termiņu	t e r m i ɲ u
tiku	t i k u
vilku	v i l k u
vīns	v iː n s
zinātnisko	z i n ɑː t n i s k o
dotu	d o t u
dzemdību	d͡z e m d iː b u
grozījumi	ɡ r o z iː j u m i
house	h o u s e
likme	l i k m e
nvo	n v o
peldēt	p e l d eː t
publicēt	p u b l i t͡s eː t
redzēji	r e d͡z eː j i
rindu	r i n d u
sekundēm	s e k u n d eː m
so	s o
sēde	s eː d e
uzbrūk	u z b r uː k
uzturēt	u z t u r eː t
uzņēmējs	u z ɲ eː m eː j s
veiksmīgu	v e i k s m iː ɡ u
virtuvi	v i r t u v i
zivīm	z i v iː m
iegūs	i e ɡ uː s
info	i n f o
izpēti	i z p eː t i
lēti	l eː t i
mirušo	m i r u ʃ o
neticu	n e t i t͡s u
nometni	n o m e t n i
noņemt	n o ɲ e m t
sekundē	s e k u n d eː
siltums	s i l t u m s
sāksim	s ɑː k s i m
tek	t e k
tumšs	t u m ʃ s
uzvedību	u z v e d iː b u
uzņēmēju	u z ɲ eː m eː j u
vilkt	v i l k t
virkni	v i r k n i
zinātniski	z i n ɑː t n i s k i
šoferis	ʃ o f e r i s
būvē	b uː v eː
efekts	e f e k t s
grīdu	ɡ r iː d u
hokejisti	h o k e j i s t i
iegūto	i e ɡ uː t o
ip	i p
komisiju	k o m i s i j u
komponists	k o m p o n i s t s
komunistu	k o m u n i s t u
leo	l e o
lietoti	l i e t o t i
misiju	m i s i j u
porno	p o r n o
protu	p r o t u
rit	r i t
spējīgi	s p eː j iː ɡ i
spēlei	s p eː l e i
stresu	s t r e s u
vīrietim	v iː r i e t i m
zīmju	z iː m j u
džo	d͡ʒ o
kokus	k o k u s
peļņu	p e ʎ ɲ u
tēmām	t eː m ɑː m
upuru	u p u r u
šovā	ʃ o v ɑː
deviņi	d e v i ɲ i
emocijām	e m o t͡s i j ɑː m
emīls	e m iː l s
ieguvējs	i e ɡ u v eː j s
kokneses	k o k n e s e s
koncentrēties	k o n t͡s e n t r eː t i e s
krēslu	k r eː s l u
ku	k u
kļuvuši	k ʎ u v u ʃ i
kļūsti	k ʎ uː s t i
li	l i
līgo	l iː ɡ o
lūgumu	l uː ɡ u m u
mēslu	m eː s l u
nomirst	n o m i r s t
pudele	p u d e l e
pulkstenis	p u l k s t e n i s
riskēt	r i s k eː t
romu	r o m u
rēzekne	r eː z e k n e
segumu	s e ɡ u m u
septiņu	s e p t i ɲ u
septiņus	s e p t i ɲ u s
simt	s i m t
slepeni	s l e p e n i
tipu	t i p u
bišu	b i ʃ u
došu	d o ʃ u
ilgst	i l k s t
izjūtu	i z j uː t u
lejup	l e j u p
leļļu	l e ʎː u
lielumu	l i e l u m u
metodēm	m e t o d eː m
motoru	m o t o r u
muļķis	m u ʎː i s
mīļo	m iː ʎ o
nenotiks	n e n o t i k s
piepildīt	p i e p i l d iː t
pirksti	p i r k s t i
slikto	s l i k t o
tests	t e s t s
turku	t u r k u
veiksmīgs	v e i k s m iː ɡ s
vistu	v i s t u
vējā	v eː j ɑː
cītīgi	t͡s iː t iː ɡ i
derēs	d e r eː s
ekskursiju	e k s k u r s i j u
ieroči	i e r o t͡ʃ i
komplektu	k o m p l e k t u
lepnumu	l e p n u m u
melnu	m e l n u
mutē	m u t eː
mākslā	m ɑː k s l ɑː
neies	n e i e s
nemīl	n e m iː l
ostu	o s t u
policists	p o l i t͡s i s t s
pēdām	p eː d ɑː m
resursus	r e s u r s u s
sekoju	s e k o j u
siltu	s i l t u
soļus	s o ʎ u s
uzbrukt	u z b r u k t
uztur	u z t u r
vienīgie	v i e n iː ɡ i e
īres	iː r e s
cīnīsies	t͡s iː n iː s i e s
dūmu	d uː m u
gints	ɡ i n t s
klusums	k l u s u m s
llu	lː u
netiku	n e t i k u
nežēlīgi	n e ʒ eː l iː ɡ i
nolēmu	n o l eː m u
notikumus	n o t i k u m u s
ogrē	o ɡ r eː
ogu	o ɡ u
olām	o l ɑː m
operu	o p e r u
piemineklis	p i e m i n e k l i s
pētnieku	p eː t n i e k u
skolēnus	s k o l eː n u s
svinēt	s v i n eː t
tīkli	t iː k l i
uzvilkt	u z v i l k t
vip	v i p
vēstnesis	v eː s t n e s i s
ekspertu	e k s p e r t u
grūts	ɡ r uː t s
kolektīvu	k o l e k t iː v u
kristiešu	k r i s t i e ʃ u
nolikt	n o l i k t
noņem	n o ɲ e m
piezīme	p i e z iː m e
plūst	p l uː s t
po	p o
pop	p o p
publicējis	p u b l i t͡s eː j i s
slēgt	s l eː k t
topā	t o p ɑː
tukšu	t u k ʃ u
tērēt	t eː r eː t
upē	u p eː
velk	v e l k
zupu	z u p u
būtne	b uː t n e
devos	d e v o s
eko	e k o
elektrību	e l e k t r iː b u
elites	e l i t e s
elpo	e l p o
eļļu	e ʎː u
iegūti	i e ɡ uː t i
izmēru	i z m eː r u
līgu	l iː ɡ u
mūžīgi	m uː ʒ iː ɡ i
