ra	r ɑ
into	i n t o
iris	i r i s
iron	i r o n
kai	k ɑ i̯
lít	l iː t
made	m ɑ d e
never	n e v e r
point	p o i̯ n t
ralph	r ɑ l f
antonio	ɑ n t o n i o
eugene	e u̯ ɡ e n e
gram	ɡ r ɑ m
hit	h i t
kansas	k ɑ n s ɑ s
las	l ɑ s
lim	l i m
miles	m i l e s
roma	r o m ɑ
samurai	s ɑ m u r ɑ i̯
trăn	t r ə n
aaron	ɑː r o n
diana	d i ɑ n ɑ
dog	d o ɡ
eva	e v ɑ
gán	ɡ ɑː n
hoi	h o i̯
japan	j ɑ p ɑ n
jesus	j e s u s
nato	n ɑ t o
phone	f o n e
toan	t o ɑ̯ n
ak	ɑ k
christ	k r i s t
fa	f ɑ
gregory	ɡ r e ɡ o r i
hunt	h u n t
mo	m o
pakistan	p ɑ k i s t ɑ n
rob	r o b
sub	s u b
tennis	t e nː i s
woman	w o m ɑ n
felix	f e l i k s
jerusalem	j e r u s ɑ l e m
joan	j o ɑ̯ n
lìa	l i ɑ̯
main	m ɑ i̯ n
os	o s
putin	p u t i n
sara	s ɑ r ɑ
suôn	s u o̯ n
ttg	t eː t eː ɡ eː
val	v ɑ l
april	ɑ p r i l
art	ɑ r t
bô	b oː
dĩa	d e ɑ̯
got	ɡ o t
hon	h o n
honda	h o n d ɑ
lynch	l y n t͡ʃ
mason	m ɑ s o n
mitsubishi	m i t͡s u b i ʃ i
neil	n e i̯ l
yi	j i
bai	b ɑ i̯
butler	b u t l e r
chun	t͡ʃ u n
deep	d eː p
del	d e l
idol	i d o l
karen	k ɑ r e n
keith	k e i̯ θ
kent	k e n t
laptop	l ɑ p t o p
map	m ɑ p
mân	m ɑː n
naruto	n ɑ r u t o
pablo	p ɑ b l o
saudi	s ɑ u̯ d i
valentine	v ɑ l e n t i n e
var	v ɑ r
hall	h ɑ lː
hope	h o p e
hun	h u n
inter	i n t e r
kén	k eː n
list	l i s t
mâm	m ɑː m
natri	n ɑ t r i
oa	o ɑ̯
radar	r ɑ d ɑ r
susan	s u s ɑ n
film	f i l m
hót	h oː t
let	l e t
pan	p ɑ n
ren	r e n
sakura	s ɑ k u r ɑ
ya	j ɑ
yo	j o
bịch	b ɪ t͡ʃ
festival	f e s t i v ɑ l
fire	f i r e
grey	ɡ r e i̯
him	h i m
hop	h o p
part	p ɑ r t
rap	r ɑ p
ronaldo	r o n ɑ l d o
sim	s i m
stefan	s t e f ɑ n
elena	e l e n ɑ
erik	e r i k
fu	f u
hugo	h u ɡ o
level	l e v e l
mart	m ɑ r t
sum	s u m
et	e t
helena	h e l e n ɑ
hen	h e n
huyên	h u j eː n
julie	j u l i e̯
linux	l i n u k s
oda	o d ɑ
osaka	o s ɑ k ɑ
rao	r ɑ o̯
soda	s o d ɑ
yu	j u
abe	ɑ b e
doi	d o i̯
formosa	f o r m o s ɑ
hotel	h o t e l
jun	j u n
nobel	n o b e l
nom	n o m
ohio	o h i o
qatar	k ɑ t ɑ r
vẹt	v ɛ t
zeus	z e u̯ s
hí	h iː
ja	j ɑ
jules	j u l e s
kìa	k i ɑ̯
mol	m o l
omar	o m ɑ r
philip	f i l i p
sharp	ʃ ɑ r p
tel	t e l
toi	t o i̯
tru	t r u
vii	v iː
archives	ɑ r t͡ʃ i v e s
been	b eː n
bolton	b o l t o n
die	d i e̯
dutch	d u t͡ʃ
gam	ɡ ɑ m
kid	k i d
madison	m ɑ d i s o n
mon	m o n
băm	b ə m
gene	ɡ e n e
kara	k ɑ r ɑ
ku	k u
les	l e s
luis	l u i̯ s
manila	m ɑ n i l ɑ
mario	m ɑ r i o
net	n e t
reed	r eː d
sán	s ɑː n
tyler	t y l e r
vo	v o
yoga	j o ɡ ɑ
asian	ɑ s i ɑ n
estrogen	e s t r o ɡ e n
hu	h u
jet	j e t
korea	k o r e ɑ̯
lin	l i n
lotus	l o t u s
noi	n o i̯
piper	p i p e r
profile	p r o f i l e
road	r o ɑ̯ d
roberto	r o b e r t o
solo	s o l o
alabama	ɑ l ɑ b ɑ m ɑ
avatar	ɑ v ɑ t ɑ r
bot	b o t
demo	d e m o
fi	f i
hood	h oː d
hê	h eː
leonardo	l e o n ɑ r d o
mega	m e ɡ ɑ
minas	m i n ɑ s
need	n eː d
nova	n o v ɑ
shin	ʃ i n
stevens	s t e v e n s
sắn	s ɛ n
test	t e s t
tien	t i e̯ n
vera	v e r ɑ
đít	d͡ʒ iː t
bird	b i r d
hùm	h uː m
hăm	h ə m
insulin	i n s u l i n
ipad	i p ɑ d
jamie	j ɑ m i e̯
láo	l ɑː o
mind	m i n d
nín	n iː n
pete	p e t e
plaza	p l ɑ z ɑ
porter	p o r t e r
râm	r ɑː m
răn	r ə n
viktor	v i k t o r
auto	ɑ u̯ t o
engine	e n ɡ i n e
forbes	f o r b e s
ia	i ɑ̯
ix	i k s
mafia	m ɑ f i ɑ̯
mị	m ɪ̃
rita	r i t ɑ
rosa	r o s ɑ
stan	s t ɑ n
stark	s t ɑ r k
stop	s t o p
teo	t e o
winston	w i n s t o n
hú	h uː
last	l ɑ s t
môt	m oː t
pat	p ɑ t
solomon	s o l o m o n
vip	v i p
alaska	ɑ l ɑ s k ɑ
amanda	ɑ m ɑ n d ɑ
dép	d e p
dí	d iː
eyes	e j e s
forum	f o r u m
gara	ɡ ɑ r ɑ
lún	l uː n
nhút	n h uː t
oxi	o k s i
port	p o r t
rom	r o m
sin	s i n
vít	v iː t
anti	ɑ n t i
chôm	t͡ʃ oː m
evil	e v i l
find	f i n d
graham	ɡ r ɑ h ɑ m
host	h o s t
kit	k i t
marina	m ɑ r i n ɑ
moore	m oː r e
nathan	n ɑ t h ɑ n
nina	n i n ɑ
nít	n iː t
pi	p i
teresa	t e r e s ɑ
trade	t r ɑ d e
bee	b eː
dana	d ɑ n ɑ
edit	e d i t
il	i l
joshua	j o ʃ u ɑ̯
kun	k u n
ky	k y
luna	l u n ɑ
messi	m e sː i
module	m o d u l e
motor	m o t o r
nu	n u
palestine	p ɑ l e s t i n e
pixel	p i k s e l
sám	s ɑː m
vol	v o l
des	d e s
je	j e
ka	k ɑ
lem	l e m
lumpur	l u m p u r
peru	p e r u
rê	r eː
bân	b ɑː n
desktop	d e s k t o p
europa	e u̯ r o p ɑ
lipid	l i p i d
mia	m i ɑ̯
mui	m u i̯
oz	o z
palm	p ɑ l m
paula	p ɑ u̯ l ɑ
sullivan	s u lː i v ɑ n
sá	s ɑː
tab	t ɑ b
too	t oː
toyota	t o j o t ɑ
ap	ɑ p
apache	ɑ p ɑ t͡ʃ e
bush	b u ʃ
fast	f ɑ s t
moses	m o s e s
plasma	p l ɑ s m ɑ
pope	p o p e
pu	p u
rai	r ɑ i̯
soon	s oː n
state	s t ɑ t e
tw	t uː
arena	ɑ r e n ɑ
bali	b ɑ l i
band	b ɑ n d
banks	b ɑ ŋ k s
derek	d e r e k
eun	e u̯ n
five	f i v e
hara	h ɑ r ɑ
héo	h e o
indiana	i n d i ɑ n ɑ
lara	l ɑ r ɑ
lost	l o s t
menu	m e n u
mun	m u n
nat	n ɑ t
nem	n e m
nê	n eː
poker	p o k e r
robinson	r o b i n s o n
sol	s o l
spider	s p i d e r
tara	t ɑ r ɑ
ukraina	u k r ɑ i̯ n ɑ
christmas	k r i s t m ɑ s
far	f ɑ r
gun	ɡ u n
hard	h ɑ r d
kw	k uː
left	l e f t
napoli	n ɑ p o l i
oi	o i̯
sasha	s ɑ ʃ ɑ
ship	ʃ i p
silver	s i l v æ r
speed	s p eː d
stalin	s t ɑ l i n
sushi	s u ʃ i
testosterone	t e s t o s t e r o n e
travel	t r ɑ v e l
uss	u sː
viettel	v i e̯ tː e l
visa	v i s ɑ
win	w i n
wu	w u
dom	d o m
federer	f e d e r e r
goku	ɡ o k u
junior	j u n i o r
oklahoma	o k l ɑ h o m ɑ
panama	p ɑ n ɑ m ɑ
rain	r ɑ i̯ n
rít	r iː t
yun	j u n
brand	b r ɑ n d
chíp	t͡ʃ iː p
mine	m i n e
montana	m o n t ɑ n ɑ
nakamura	n ɑ k ɑ m u r ɑ
oil	o i̯ l
pleiku	p l e i̯ k u
preston	p r e s t o n
pô	p oː
smart	s m ɑ r t
sẳn	s ɛ n
um	u m
bôn	b oː n
dark	d ɑ r k
elsa	e l s ɑ
genesis	ɡ e n e s i s
kirk	k i r k
lot	l o t
martha	m ɑ r t h ɑ
mõm	m ɤ m
nhún	n h uː n
nòi	n ɔ i̯
silicon	s i l i t͡s o n
ui	u i̯
éo	e o
diane	d i ɑ n e
gala	ɡ ɑ l ɑ
give	ɡ i v e
irish	i r i ʃ
joker	j o k e r
judith	j u d i θ
limited	l i m i t e d
moskva	m o s k v ɑ
nature	n ɑ t u r e
organ	o r ɡ ɑ n
pen	p e n
rossi	r o sː i
title	t i t l e
ghost	ɡ o s t
lopez	l o p e z
nhoi	n h o i̯
toronto	t o r o n t o
fury	f u r i
kan	k ɑ n
links	l i ŋ k s
mad	m ɑ d
nháp	n h ɑː p
piece	p i e̯ t͡s e
salt	s ɑ l t
db	d eː b eː
elvis	e l v i s
empire	e m p i r e
gio	ɡ i o
gone	ɡ o n e
itunes	i t u n e s
jedi	j e d i
om	o m
pg	p eː ɡ eː
răm	r ə m
save	s ɑ v e
timor	t i m o r
total	t o t ɑ l
ass	ɑ sː
chĩa	t͡ʃ e ɑ̯
darius	d ɑ r i u s
elite	e l i t e
feel	f eː l
gôn	ɡ oː n
jakarta	j ɑ k ɑ r t ɑ
lonely	l o n e l y
lucius	l u t͡s i u s
mama	m ɑ m ɑ
meta	m e t ɑ
mí	m iː
nhím	n h iː m
private	p r i v ɑ t e
sales	s ɑ l e s
sugar	s u ɡ ɑ r
visual	v i s u ɑ l
boat	b o ɑ̯ t
drama	d r ɑ m ɑ
er	e r
every	e v e r i
gaza	ɡ ɑ z ɑ
lena	l e n ɑ
ló	l oː
swan	s w ɑ n
sylvia	s y l v i ɑ̯
tina	t i n ɑ
viet	v i e̯ t
vinci	v i n t͡s i
đát	d͡ʒ ɑː t
api	ɑ p i
crom	k r o m
dam	d ɑ m
future	f u t u r e
gel	ɡ e l
jeju	j e j u
joel	j o e l
koi	k o i̯
mit	m i t
must	m u s t
nepal	n e p ɑ l
nua	n u ɑ̯
piston	p i s t o n
ria	r i ɑ̯
rôma	r oː m ɑ
uk	u k
bravo	b r ɑ v o
doris	d o r i s
files	f i l e s
goes	ɡ o e s
halogen	h ɑ l o ɡ e n
horus	h o r u s
kiev	k i e̯ v
lori	l o r i
nash	n ɑ ʃ
norton	n o r t o n
pedro	p e d r o
salad	s ɑ l ɑ d
status	s t ɑ t u s
yuki	j u k i
alone	ɑ l o n e
av	ɑ v
cật	t͡ʃ ɛ t
did	d i d
donna	d o nː ɑ
editor	e d i t o r
font	f o n t
futsal	f u t͡s ɑ l
hip	h i p
igor	i ɡ o r
iu	i u̯
julio	j u l i o
jupiter	j u p i t e r
law	l ɑ u̯
maximus	m ɑ k s i m u s
natalie	n ɑ t ɑ l i e̯
nikon	n i k o n
seri	s e r i
size	s i z e
tót	t oː t
đên	d͡ʒ eː n
đóm	d͡ʒ oː m
ash	ɑ ʃ
budapest	b u d ɑ p e s t
driver	d r i v e r
es	e s
hold	h o l d
info	i n f o
irene	i r e n e
jan	j ɑ n
lives	l i v e s
screen	s k r eː n
seal	s e ɑ̯ l
spa	s p ɑ
yen	j e n
ag	ɑ ɡ
alo	ɑ l o
amen	ɑ m e n
benedict	b e n e d i k t
boa	b o ɑ̯
dd	d eː d eː
der	d e r
gaston	ɡ ɑ s t o n
heroin	h e r o i̯ n
hopkins	h o p k i n s
joo	j oː
lars	l ɑ r s
marius	m ɑ r i u s
metal	m e t ɑ l
nadal	n ɑ d ɑ l
natasha	n ɑ t ɑ ʃ ɑ
telecom	t e l e t͡s o m
tiberius	t i b e r i u s
aa	ɑː
ar	ɑ r
bat	b ɑ t
dó	d oː
haiti	h ɑ i̯ t i
nigel	n i ɡ e l
nikita	n i k i t ɑ
nin	n i n
root	r oː t
trevor	t r e v o r
vic	v i t͡ʃ
ark	ɑ r k
atlas	ɑ t l ɑ s
both	b o θ
elias	e l i ɑ s
event	e v e n t
jolie	j o l i e̯
luc	l u k
mall	m ɑ lː
orchid	o r t͡ʃ i d
poster	p o s t e r
severus	s e v e r u s
sofa	s o f ɑ
stars	s t ɑ r s
tales	t ɑ l e s
tank	t ɑ ŋ k
uh	u h
yes	j e s
alma	ɑ l m ɑ
base	b ɑ s e
bp	b eː p eː
dee	d eː
dora	d o r ɑ
holt	h o l t
hù	h uː
ipod	i p o d
jai	j ɑ i̯
katherine	k ɑ t h e r i n e
koh	k o h
malik	m ɑ l i k
maps	m ɑ p s
motors	m o t o r s
mozart	m o z ɑ r t
ná	n ɑː
phnom	f n o m
salon	s ɑ l o n
slovakia	s l o v ɑ k i ɑ̯
ton	t o n
tuôn	t u o̯ n
unit	u n i t
alt	ɑ l t
bikini	b i k i n i
british	b r i t i ʃ
chòi	t͡ʃ ɔ i̯
fidel	f i d e l
gap	ɡ ɑ p
honor	h o n o r
iot	i o t
keep	k eː p
luca	l u t͡s ɑ
mat	m ɑ t
melanie	m e l ɑ n i e̯
met	m e t
mona	m o n ɑ
op	o p
pet	p e t
puerto	p u e̯ r t o
regina	r e ɡ i n ɑ
satan	s ɑ t ɑ n
tùm	t uː m
zen	z e n
aspirin	ɑ s p i r i n
aston	ɑ s t o n
beirut	b e i̯ r u t
door	d oː r
gin	ɡ i n
hanoi	h ɑ n o i̯
julius	j u l i u s
jump	j u m p
kira	k i r ɑ
lăk	l ə k
mig	m i ɡ
natural	n ɑ t u r ɑ l
nolan	n o l ɑ n
pe	p e
perez	p e r e z
polo	p o l o
shark	ʃ ɑ r k
soft	s o f t
talbot	t ɑ l b o t
toro	t o r o
wat	w ɑ t
ada	ɑ d ɑ
arms	ɑ r m s
hasan	h ɑ s ɑ n
jonas	j o n ɑ s
lip	l i p
maui	m ɑ u̯ i
mid	m i d
montreal	m o n t r e ɑ̯ l
mùn	m uː n
nana	n ɑ n ɑ
ramos	r ɑ m o s
safari	s ɑ f ɑ r i
simpson	s i m p s o n
soviet	s o v i e̯ t
videos	v i d e o s
abel	ɑ b e l
chít	t͡ʃ iː t
everest	e v e r e s t
finn	f i nː
hut	h u t
kat	k ɑ t
mesa	m e s ɑ
nv	ɛ n v eː
ny	n y
product	p r o d u k t
rufus	r u f u s
shinichi	ʃ i n i t͡ʃ i
siemens	s i e̯ m e n s
silva	s i l v ɑ
amino	ɑ m i n o
citizen	t͡s i t i z e n
evelyn	e v e l y n
farm	f ɑ r m
frost	f r o s t
găm	ɡ ə m
hana	h ɑ n ɑ
katie	k ɑ t i e̯
kremlin	k r e m l i n
lego	l e ɡ o
pamela	p ɑ m e l ɑ
sofia	s o f i ɑ̯
steel	s t eː l
task	t ɑ s k
tata	t ɑ t ɑ
tb	t eː b eː
thom	t o m
tree	t r eː
vietsub	v i e̯ t͡s u b
anita	ɑ n i t ɑ
atlantis	ɑ t l ɑ n t i s
bd	b eː d eː
bio	b i o
bolero	b o l e r o
final	f i n ɑ l
hari	h ɑ r i
isil	i s i l
jade	j ɑ d e
kaoru	k ɑ o̯ r u
liam	l i ɑ̯ m
mack	m ɑ k
mask	m ɑ s k
memory	m e m o r i
milk	m i l k
mira	m i r ɑ
salem	s ɑ l e m
sirius	s i r i u s
tone	t o n e
tịt	t ɪ t
yoko	j o k o
aha	ɑ h ɑ
bum	b u m
dear	d e ɑ̯ r
fatima	f ɑ t i m ɑ
gil	ɡ i l
gon	ɡ o n
himalaya	h i m ɑ l ɑ j ɑ
hên	h eː n
jamaica	j ɑ m ɑ i̯ t͡s ɑ
ké	k eː
leeds	l eː d s
lupus	l u p u s
lynn	l y nː
mangan	m ɑ ŋ ɡ ɑ n
marvin	m ɑ r v i n
mika	m i k ɑ
mom	m o m
mánh	m ɑː n
original	o r i ɡ i n ɑ l
otto	o tː o
ser	s e r
tahiti	t ɑ h i t i
tito	t i t o
travis	t r ɑ v i s
twin	t w i n
virut	v i r u t
while	w i l e
af	ɑ f
edison	e d i s o n
fun	f u n
gomez	ɡ o m e z
hám	h ɑː m
kylie	k y l i e̯
momo	m o m o
motorola	m o t o r o l ɑ
oleg	o l e ɡ
olsen	o l s e n
olympus	o l y m p u s
per	p e r
sala	s ɑ l ɑ
selena	s e l e n ɑ
taiwan	t ɑ i̯ w ɑ n
tip	t i p
upon	u p o n
braga	b r ɑ ɡ ɑ
cdc	s eː d eː s eː
dòm	d ɔː m
forest	f o r e s t
gardner	ɡ ɑ r d n e r
josephine	j o s e f i n e
maritime	m ɑ r i t i m e
marvel	m ɑ r v e l
match	m ɑ t͡ʃ
mina	m i n ɑ
multi	m u l t i
rum	r u m
saw	s ɑ u̯
tunisia	t u n i s i ɑ̯
voa	v o ɑ̯
atp	ɑ t eː p eː
