на	n a
чего	t͡ɕ ɛ ɡ o
ведь	ʋ ɛ d ɪ
будут	b u d u t
дома	d ɔ m a
эта	e t a
могут	m ɔ ɡ u t
никогда	n i k ɔ ɡ d a
сам	s a m
своих	s ʋ ɔ j i x
тех	tʲ ɛ x
деньги	d ɛ n ɪ ɡ i
других	d r u ɡ i x
почти	p ɔ t͡ɕ tʲ i
эту	e t u
могу	m ɔ ɡ u
знаю	z n a j u
часть	t͡ɕ a s tʲ
кроме	k r ɔ mʲ ɛ
этих	e tʲ i x
россия	r ɔ s i j a
этим	e tʲ i m
другие	d r u ɡ i j ɛ
ним	n i m
сколько	s k ɔ lʲ k ɔ
буду	b u d u
дня	d nʲ a
таким	t a kʲ i m
части	t͡ɕ a s tʲ i
назад	n a z a d
сказать	s k a z a tʲ
друг	d r u ɡ
например	n a p r i mʲ ɛ r
затем	z a tʲ ɛ m
моя	m ɔ j a
про	p r ɔ
см	s m
сразу	s r a z u
какие	k a kʲ i j ɛ
нельзя	n ɛ l ɪ z j ɑ
собой	s ɔ b ɔ j
the	tʰ e
куда	k u d a
те	tʲ ɛ
войны	ʋ ɔ j n i
группы	ɡ r u p p i
нее	n ɛ j ɛ
весь	ʋ ɛ s ɪ
годы	ɡ ɔ d i
думаю	d u m a j u
числе	t͡ɕ i s lʲ ɛ
такая	t a k a j a
мир	m i r
нашей	n a ɕ ɛ j
слишком	s l i ɕ k ɔ m
участие	u t͡ɕ a s tʲ i j ɛ
месте	m ɛ s tʲ ɛ
наши	n a ɕ i
сентября	s ɛ n tʲ a b rʲ a
системы	s i s tʲ ɛ m i
возможно	ʋ ɔ z m ɔ ʑ n o
го	ɡ ɔ
свое	s ʋ ɔ j ɛ
тому	t ɔ m u
этому	e t ɔ m u
город	ɡ ɔ r o d
конце	k ɔ n t͡sʲ ɛ
раньше	r a nʲ ɕ ɛ
самое	s a m ɔ j ɛ
самом	s a m ɔ m
точно	t ɔ t͡ɕ n o
мая	m a j a
многие	m n ɔ ɡ i j ɛ
пор	p ɔ r
деле	d ɛ lʲ ɛ
мог	m ɔ ɡ
хочет	x ɔ t͡ɕ ɛ t
впервые	ʋ p ɛ r ʋ i j ɛ
какая	k a k a j a
пусть	p u s tʲ
руки	r u kʲ
внимание	ʋ n i m ɑ n i j ɛ
ночь	n ɔ t͡ɕ
согласно	s ɔ ɡ l a s n o
стать	s t a tʲ
хоть	x ɔ tʲ
компании	k ɔ m p a n i j
минут	m i n u t
пять	pʲ a tʲ
тыс	t i s
возможность	ʋ ɔ z m ɔ ʑ n o s tʲ
наш	n a ɕ
роль	r ɔ lʲ
история	j i s t ɔ r i j a
ноября	n ɔ j a b rʲ a
находится	n a x ɔ d i tʲ sʲ a
опять	ɔ pʲ a tʲ
работать	r a b ɔ t a tʲ
данным	d a n n i m
денег	d ɛ n ɛ ɡ
поскольку	p ɔ s k ɔ lʲ k u
происходит	p r ɔ j i s x ɔ d i t
кому	k ɔ m u
могли	m ɔ ɡ l i
наших	n a ɕ i x
особенно	ɔ s ɔ b ɛ n n o
четыре	t͡ɕ ɛ t i rʲ ɛ
число	t͡ɕ i s l o
меньше	m ɛ n ɪ ɕ ɛ
последний	p ɔ s lʲ ɛ d n i j
самых	s a m i x
сын	s i n
всей	ʋ s ɛ j
мало	m a l o
июня	j u nʲ a
нем	n ɛ m
ними	n i m i
прямо	p rʲ a m ɔ
пути	p u tʲ i
сил	s i l
виде	ʋ i dʲ ɛ
группа	ɡ r u p p a
данные	d a n n i j ɛ
имени	j i m ɛ n i
последние	p ɔ s lʲ ɛ d n i j ɛ
прежде	p rʲ ɛ ʑ d͡ʑ ɛ
сказала	s k a z a ɮ a
вокруг	ʋ ɔ k r u ɡ
культуры	k u ɮʲ tʰ u r i
многих	m n ɔ ɡ i x
система	s i s tʲ ɛ m ɑ
команды	k ɔ m a n d i
мать	m a tʲ
доме	d ɔ mʲ ɛ
лицо	l i t͡sʰ ɔ
понимаю	p ɔ n i m a j u
ранее	r a nʲ ɛ j ɛ
ряд	rʲ a d
та	t a
воды	ʋ ɔ d i
помощи	p ɔ m ɔ ɕ t͡ɕ i
самым	s a m i m
сергей	s ɛ r ɡ ɛ j
станет	s t a nʲ ɛ t
хотел	x ɔ tʲ ɛ l
какое	k a k ɔ j ɛ
компания	k ɔ m p a n i j a
понять	p ɔ nʲ a tʲ
сих	s i x
счет	s t͡ɕ ɛ t
тобой	t ɔ b ɔ j
туда	t u d a
час	t͡ɕ a s
вид	ʋ i d
земли	z ɛ m l i
играть	i ɡ r a tʲ
мое	m ɔ j ɛ
путь	p u tʲ
своем	s ʋ ɔ j ɛ m
утром	u t r ɔ m
наша	n a ɕ a
прав	p r a w
раза	r a z a
вдруг	ʋ d r u ɡ
нью	n j u
программы	p r ɔ ɡ r a m m i
возможности	ʋ ɔ z m ɔ ʑ n o s tʲ i
кино	k i n o
мере	m ɛ rʲ ɛ
сможет	s m ɔ ʑ ɛ t
выше	ʋ i ɕ ɛ
победы	p ɔ b ɛ d i
поле	p ɔ lʲ ɛ
путин	p u tʲ i n
разных	r a z n i x
суд	s u d
труда	t r u d a
ходе	x ɔ dʲ ɛ
хотят	x ɔ tʲ a t
хочешь	x ɔ t͡ɕ ɛ ɕ ɪ
другим	d r u ɡ i m
идти	j i d tʲ i
машины	m a ɕ i n i
ночи	n ɔ t͡ɕ i
ночью	n ɔ t͡ɕ j u
область	ɔ b l a s tʲ
первое	p ɛ r ʋ ɔ j ɛ
рождения	r ɔ ʑ d͡ʑ ɛ n i j a
союза	s ɔ j u z a
часа	t͡ɕ a s a
вещи	ʋ ɛ ɕ t͡ɕ i
данных	d a n n i x
дел	d ɛ l
знать	z n a tʲ
клуб	k l u b
команда	k ɔ m a n d a
новое	n ɔ ʋ ɔ j ɛ
последнее	p ɔ s lʲ ɛ d n ɛ j ɛ
речь	rʲ ɛ t͡ɕ
серии	s ɛ r i j
сторону	s t ɔ r o n u
дать	d a tʲ
дни	d n i
недели	n ɛ d ɛ l i
неделю	n ɛ d ɛ l j u
совет	s ɔ ʋ ɛ t
трудно	t r u d n o
внутри	ʋ n u t rʲ i
каким	k a kʲ i m
класса	k l a s a
сми	s m i
наук	n a u k
пару	p a r u
проблема	p r ɔ b lʲ ɛ m ɑ
самые	s a m i j ɛ
семья	s ɛ m ɪ j ɑ
силу	s i ɮ u
ст	s t
узнать	u z n a tʲ
украина	u k r a j i n a
линии	l i n i j
могла	m ɔ ɡ l a
свет	s ʋ ɛ t
вышел	ʋ i ɕ ɛ l
михаил	m i x a j i l
понял	p ɔ nʲ a l
порядке	p ɔ rʲ a d kʲ ɛ
рода	r ɔ d a
андрей	a n d rʲ ɛ j
клуба	k l u b a
нему	n ɛ m u
оба	ɔ b a
отца	ɔ t t͡sʰ a
положение	p ɔ l ɔ ʑ ɛ n i j ɛ
помочь	p ɔ m ɔ t͡ɕʲ
руку	r u k u
вечер	ʋ ɛ t͡ɕ ɛ r
всему	ʋ s ɛ m u
зрения	z rʲ ɛ n i j a
края	k r a j a
море	m ɔ rʲ ɛ
мысли	m i s l i
такую	t a k u j u
трех	t rʲ ɛ x
знал	z n a l
насколько	n a s k ɔ lʲ k ɔ
нужны	n u ʑ n i
пора	p ɔ r a
крым	k r i m
настолько	n a s t ɔ lʲ k ɔ
ноги	n ɔ ɡ i
пишет	p i ɕ ɛ t
помню	p ɔ m nʲ u
пост	p ɔ s t
принять	p r i nʲ a tʲ
программа	p r ɔ ɡ r a m m a
работал	r a b ɔ t a l
суда	s u d a
сына	s i n a
ту	t u
ясно	j a s n o
военных	ʋ ɔ j ɛ n n i x
война	ʋ ɔ j n a
выбор	ʋ i b ɔ r
другое	d r u ɡ ɔ j ɛ
какую	k a k u j u
причем	p r i t͡ɕ ɛ m
создание	s ɔ z d a n i j ɛ
of	o f
версии	ʋ ɛ r s i j
земле	z ɛ m lʲ ɛ
каких	k a kʲ ə x
курс	k u r s
можем	m ɔ ʑ ɛ m
нормально	n ɔ r m a lʲ n o
памяти	p a mʲ a tʲ i
память	p a mʲ a tʲ
предприятия	p rʲ ɛ d p r i j a tʲ i j a
принял	p r i nʲ a l
смог	s m ɔ ɡ
языке	j a z i kʲ ɛ
виду	ʋ i d u
десять	d ɛ s j a tʲ
дороги	d ɔ r ɔ ɡ i
название	n a z ʋ a n i j ɛ
проходит	p r ɔ x ɔ d i t
рост	r ɔ s t
своему	s ʋ ɔ j ɛ m u
создания	s ɔ z d a n i j a
человеком	t͡ɕ ɛ l ɔ ʋ ɛ k ɔ m
пол	p ɔ l
председатель	p rʲ ɛ d s ɛ d a tʲ ɛ lʲ ɪ
пришел	p r i ɕ ɛ l
самая	s a m a j a
сложно	s l ɔ ʑ n o
создать	s ɔ z d a tʲ
весьма	ʋ ɛ s ɪ m ɑ
двое	d ʋ ɔ j ɛ
лиги	l i ɡ i
моих	m ɔ j i x
разные	r a z n i j ɛ
вскоре	ʋ s k ɔ rʲ ɛ
ладно	l a d n o
лиц	l i t͡sʰ
мест	m ɛ s t
можешь	m ɔ ʑ ɛ ɕ ɪ
мою	m ɔ j u
неё	n ɛ j ɔ
обороны	ɔ b ɔ r o n i
остальные	ɔ s t a lʲ n i j ɛ
роста	r ɔ s t a
руках	r u k a x
сан	s a n
семь	s ɛ m ɪ
странах	s t r a n a x
фото	f ɔ t ɔ
всеми	ʋ s ɛ m i
комиссии	k ɔ m i s s i j
огонь	ɔ ɡ ɔ nʲ
письмо	p i s ɪ m ɔ
систему	s i s tʲ ɛ m u
абсолютно	a p s ɔ lʲ u t n o
будешь	b u dʲ ɛ ɕ ɪ
ваши	ʋ a ɕ i
друзей	d r u z ɛ j
знают	z n a j u t
можете	m ɔ ʑ ɛ tʲ ɛ
народа	n a r ɔ d a
означает	ɔ z n a t͡ɕ a j ɛ t
победу	p ɔ b ɛ d u
помимо	p ɔ m i m ɔ
утра	u t r a
хотите	x ɔ tʲ i tʲ ɛ
будущее	b u d u ɕ t͡ɕ ɛ j ɛ
видно	ʋ i d n o
здание	z d a n i j ɛ
книгу	k n i ɡ u
кофе	k ɔ fʲ ɛ
научно	n a u t͡ɕ n o
союз	s ɔ j u z
хотела	x ɔ tʲ ɛ l a
великой	ʋ ɛ l i k ɔ j
генерал	ɡ ɛ n ɛ r a l
глаз	ɡ l a z
лично	l i t͡ɕ n o
мастер	m a s tʲ ɛ r
оон	oː n
порядка	p ɔ rʲ a d k a
похоже	p ɔ x ɔ ʑ ɛ
пройти	p r ɔ j tʲ i
выборы	ʋ i b ɔ r i
дверь	d ʋ ɛ r ɪ
никому	n i k ɔ m u
партия	p a r tʲ i j a
политика	p ɔ l i tʲ i k a
пошел	p ɔ ɕ ɛ l
рано	r a n o
тип	t i p
форме	f ɔ r mʲ ɛ
вернуть	ʋ ɛ r n u tʲ
выход	ʋ i x ɔ d
команду	k ɔ m a n d u
кубка	k u b k a
погиб	p ɔ ɡ i b
своё	s ʋ ɔ j ɔ
чему	t͡ɕ ɛ m u
будь	b u dʲ
воду	ʋ ɔ d u
крупных	k r u p n i x
моря	m ɔ rʲ a
нашем	n a ɕ ɛ m
ок	ɔ k
попал	p ɔ p a l
внимания	ʋ n i m a n i j a
возле	ʋ ɔ z lʲ ɛ
метро	m ɛ t r ɔ
моему	m ɔ j ɛ m u
нашел	n a ɕ ɛ l
нашу	n a ɕ u
папа	p a p a
ряда	rʲ a d a
семье	s ɛ m ɪ j ɛ
честно	t͡ɕ ɛ s t n o
боюсь	b ɔ j u s ɪ
вода	ʋ ɔ d a
военные	ʋ ɔ j ɛ n n i j ɛ
временем	ʋ rʲ ɛ m ɛ n ɛ m
доброе	d ɔ b r ɔ j ɛ
молодой	m ɔ l ɔ d ɔ j
поняла	p ɔ nʲ a l a
хотели	x ɔ tʲ ɛ l i
войну	ʋ ɔ j n u
вопросам	ʋ ɔ p r ɔ s a m
думала	d u m a ɮ a
машина	m a ɕ i n a
планы	p l a n i
площадь	p l ɔ ɕ t͡ɕ a dʲ
показать	p ɔ k a z a tʲ
причины	p r i t͡ɕ i n i
проведения	p r ɔ ʋ ɛ d ɛ n i j a
пяти	pʲ a tʲ i
советской	s ɔ ʋ ɛ t s k ɔ j
считаю	s t͡ɕ i t a j u
хорошая	x ɔ r ɔ ɕ a j a
хорошие	x ɔ r ɔ ɕ i j ɛ
to	t o
адрес	a d rʲ ɛ s
ан	a n
войска	ʋ ɔ j s k a
выходит	ʋ i x ɔ d i t
газа	ɡ a z a
городской	ɡ ɔ r ɔ d s k ɔ j
другу	d r u ɣ u
ес	j ɛ s
заместитель	z a mʲ ɛ s tʲ i tʲ ɛ lʲ ɪ
класс	k l a s
красной	k r a s n ɔ j
парня	p a r nʲ a
погибли	p ɔ ɡ i b l i
поздно	p ɔ z d n o
поможет	p ɔ m ɔ ʑ ɛ t
рада	r a d a
русском	r u s k ɔ m
столь	s t ɔ lʲ
технологии	tʲ ɛ x n ɔ l ɔ ɡ i j
военного	ʋ ɔ j ɛ n n o ɡ o
впрочем	ʋ p r ɔ t͡ɕ ɛ m
выборах	ʋ i b ɔ r a x
выхода	ʋ i x ɔ d a
годах	ɡ ɔ d a x
образ	ɔ b r a z
систем	s i s tʲ ɛ m
увеличение	u ʋ ɛ l i t͡ɕ ɛ n i j ɛ
формы	f ɔ r m i
восемь	ʋ ɔ s ɛ m ɪ
звезды	z ʋ ɛ z d i
минуты	m i n u t i
многое	m n ɔ ɡ ɔ j ɛ
последних	p ɔ s lʲ ɛ d n i x
профессор	p r ɔ fʲ ɛ s s ɔ r
сборная	s b ɔ r n a j a
сеть	s ɛ t ɪ
ума	u m a
базе	b a zʲ ɛ
банк	b a ŋ k
вице	ʋ i t͡sʲ ɛ
вне	ʋ nʲ ɛ
возрасте	ʋ ɔ z r a s tʲ ɛ
зоне	z ɔ nʲ ɛ
зоны	z ɔ n i
машин	m a ɕ i n
прошу	p r ɔ ɕ u
стол	s t ɔ l
групп	ɡ r u p p
двери	d ʋ ɛ r i
крыму	k r i m u
никакой	n i k a k ɔ j
пара	p a r a
удар	u d a r
часы	t͡ɕ a s i
внутренних	ʋ n u t rʲ ɛ n n i x
выборов	ʋ i b ɔ r o ʋ
выиграл	ʋ i j i ɡ r a ɮ
дорогу	d ɔ r ɔ ɡ u
другая	d r u ɣ a j a
ка	k a
комитет	k ɔ m i tʲ ɛ t
контроля	k ɔ n t r ɔ lʲ a
меры	m ɛ r i
нечего	n ɛ t͡ɕ ɛ ɡ ɔ
получения	p ɔ l u t͡ɕ ɛ n i j a
статья	s t a tʲ j a
in	i n
анна	a n n a
вида	ʋ i d a
вряд	ʋ rʲ a d
имели	j i m ɛ l i
китая	k i t a j a
нашим	n a ɕ i m
показал	p ɔ k a z a l
сельского	s ɛ l ɪ s k ɔ ɡ ɔ
среднем	s rʲ ɛ d n ɛ m
стихи	s tʲ i xʲ
сто	s t ɔ
считать	s t͡ɕ i t a tʲ
считают	s t͡ɕ i t a j u t
украину	u k r a j i n u
вечера	ʋ ɛ t͡ɕ ɛ r ɑ
другому	d r u ɡ ɔ m u
знаем	z n a j ɛ m
международных	m ɛ ʑ d u n a r ɔ d n i x
минуту	m i n u t u
некоторое	n ɛ k ɔ t ɔ r ɔ j ɛ
поля	p ɔ lʲ a
попасть	p ɔ p a s tʲ
преступления	p rʲ ɛ s t u p lʲ ɛ n i j a
рук	r u k
сентябре	s ɛ n tʲ a b rʲ ɛ
великий	ʋ ɛ l i k i j
видит	ʋ i d i t
виды	ʋ i d i
дорогой	d ɔ r ɔ ɡ ɔ j
ими	j i m i
кое	k ɔ j ɛ
прямой	p rʲ a m ɔ j
свыше	s ʋ i ɕ ɛ
сирии	s i r i j
судя	s u dʲ a
турнира	t u r n i r a
участия	u t͡ɕ a s tʲ i j a
форму	f ɔ r m u
едва	j ɛ d ʋ ɑ
казалось	k a z a ɮ ɔ sʲ
карты	k a r tʰ i
круто	k r u t ɔ
мид	m i d
миру	m i r u
народной	n a r ɔ d n ɔ j
обоих	ɔ b ɔ j i x
рады	r a d i
улицы	u ɮ i t͡sʰ i
вашей	ʋ a ɕ ɛ j
ведет	ʋ ɛ d ɛ t
вещей	ʋ ɛ ɕ t͡ɕ ɛ j
дорога	d ɔ r ɔ ɡ a
думы	d u m i
мае	m a j
местного	m ɛ s t n o ɡ o
парк	p a r k
питер	p i tʲ ɛ r
победа	p ɔ b ɛ d a
смогли	s m ɔ ɡ l i
форма	f ɔ r m a
ходить	x ɔ d i tʲ
and	a n d
выйдет	ʋ i j dʲ ɛ t
дочери	d ɔ t͡ɕ ɛ r i
еду	j ɛ d u
ехать	j ɛ x a tʲ
начиная	n a t͡ɕ i n a j a
объяснить	ɔ b j a s n i tʲ
олег	ɔ lʲ ɛ ɡ
письма	p i s ɪ m ɑ
причин	p r i t͡ɕ i n
причина	p r i t͡ɕ i n a
рад	r a d
сити	s i tʲ i
фонд	f ɔ n d
ход	x ɔ d
хорошее	x ɔ r ɔ ɕ ɛ j ɛ
газ	ɡ a z
гости	ɡ ɔ s tʲ i
дают	d a j u t
оказалась	ɔ k a z a ɮ a sʲ
окна	ɔ k n a
ох	ɔ x
подряд	p ɔ d rʲ a d
последней	p ɔ s lʲ ɛ d n ɛ j
потери	p ɔ tʲ ɛ r i
путина	p u tʲ i n a
создании	s ɔ z d a n i j
сторон	s t ɔ r o n
украинской	u k r a j i n s k ɔ j
фонда	f ɔ n d a
врач	ʋ r a t͡ɕʰ
высокой	ʋ i s ɔ k ɔ j
запад	z a p a d
крупные	k r u p n i j ɛ
литература	l i tʲ ɛ r a tʰ u r a
помогите	p ɔ m ɔ ɡ i tʲ ɛ
рот	r ɔ t
сможешь	s m ɔ ʑ ɛ ɕ ɪ
услуги	u s ɮ u ɡʲ
хотим	x ɔ tʲ i m
этап	e t a p
авторы	a w̜ tʰ ɔ r i
белоруссии	b ɛ l ɔ r u s s i j
воздуха	ʋ ɔ z d u x a
воскресенье	ʋ ɔ s k rʲ ɛ s ɛ n ɪ j ɛ
добрый	d ɔ b r i j
звезда	z ʋ ɛ z d ɑ
знала	z n a l a
комнате	k ɔ m n a tʲ ɛ
моё	m ɔ j ɔ
органы	ɔ r ɡ a n i
приходит	p r i x ɔ d i t
ред	rʲ ɛ d
снять	s nʲ a tʲ
тема	tʲ ɛ m ɑ
угодно	u ɡ ɔ d n o
услуг	u s ɮ u ɡ
этапе	e t a pʲ ɛ
брать	b r a tʲ
городах	ɡ ɔ r ɔ d a x
горы	ɡ ɔ r i
зал	z a l
крыма	k r i m a
лучшее	l u t͡ɕ ɕ ɛ j ɛ
моем	m ɔ j ɛ m
объем	ɔ b j ɛ m
окно	ɔ k n o
понимать	p ɔ n i m a tʲ
премии	p rʲ ɛ m i j
приказ	p r i k a z
сочи	s ɔ t͡ɕ i
будете	b u dʲ ɛ tʲ ɛ
вверх	ʋ ʋ ɛ r x
воздух	ʋ ɔ z d u x
канал	k a n a ɮ
лицом	l i t͡sʰ ɔ m
музей	m u z ɛ j
подумал	p ɔ d u m a l
сообщил	s oː b ɕ i l
стоят	s t ɔ j a t
ах	a x
базы	b a z i
героя	ɡ ɛ r ɔ j a
голоса	ɡ ɔ l ɔ s a
грузии	ɡ r u z i j
дождь	d ɔ ʑ dʲ
конкурс	k ɔ n k u r s
короля	k ɔ r ɔ lʲ a
охраны	ɔ x r a n i
понятия	p ɔ nʲ a tʲ i j a
прибыли	p r i b i ɮ i
рассказала	r a s k a z a ɮ a
узнал	u z n a l
учетом	u t͡ɕ ɛ t ɔ m
чисто	t͡ɕ i s t ɔ
вес	ʋ ɛ s
водой	ʋ ɔ d ɔ j
возраст	ʋ ɔ z r a s t
забыл	z a b i ɮ
июне	j u nʲ ɛ
круг	k r u ɡ
названием	n a z ʋ a n i j ɛ m
наука	n a u k a
недель	n ɛ d ɛ l ɪ
огромное	ɔ ɡ r ɔ m n ɔ j ɛ
плана	p l a n a
сказано	s k a z a n o
смогла	s m ɔ ɡ l a
смысла	s m i s ɮ a
старые	s t a r i j ɛ
суть	s u tʲ
тур	t u r
финал	f i n a l
фронта	f r ɔ n t a
цк	t͡sʰ k
военный	ʋ ɔ j ɛ n n i j
забыть	z a b i tʲ
иду	j i d u
лечение	l ɛ t͡ɕ ɛ n i j ɛ
николая	n i k ɔ l a j a
окончания	ɔ k ɔ n t͡ɕ a n i j a
решать	rʲ ɛ ɕ a tʲ
сборную	s b ɔ r n u j u
сотни	s ɔ t n i
степень	s tʲ ɛ p ɛ n ɪ
топ	t ɔ p
убить	u b i tʲ
украинских	u k r a j i n s kʲ i x
участием	u t͡ɕ a s tʲ i j ɛ m
iv	i v
блин	b l i n
богу	b ɔ ɡ u
вещь	ʋ ɛ ɕ t͡ɕ
вопросу	ʋ ɔ p r ɔ s u
играх	i ɡ r a x
июле	j u lʲ ɛ
клубе	k l u bʲ ɛ
ми	m i
мин	m i n
минимум	m i n i m u m
номера	n ɔ mʲ ɛ r a
пр	p r
рок	r ɔ k
соглашение	s ɔ ɡ l a ɕ ɛ n i j ɛ
трое	t r ɔ j ɛ
храм	x r a m
частей	t͡ɕ a s tʲ ɛ j
верю	ʋ ɛ r j u
вечно	ʋ ɛ t͡ɕ n o
данной	d a n n ɔ j
команд	k ɔ m a n d
компаний	k ɔ m p a n i j
мини	m i n i
пары	p a r i
подходит	p ɔ d x ɔ d i t
попросил	p ɔ p r ɔ s i l
признать	p r i z n a tʲ
собрание	s ɔ b r a n i j ɛ
спросил	s p r ɔ s i l
беларуси	b ɛ l a r u s i
близко	b l i z k ɔ
верно	ʋ ɛ r n o
выбрать	ʋ i b r a tʲ
выиграть	ʋ i j i ɡ r a tʲ
компанию	k ɔ m p a n i j u
марк	m a r k
морской	m ɔ r s k ɔ j
ничто	n i t͡ɕ t ɔ
оборудование	ɔ b ɔ r u d ɔ ʋ a n i j ɛ
полное	p ɔ l n ɔ j ɛ
рассказать	r a s k a z a tʲ
романа	r ɔ m a n a
совершил	s ɔ ʋ ɛ r ɕ i l
среды	s rʲ ɛ d i
вина	ʋ i n a
выходные	ʋ i x ɔ d n i j ɛ
даст	d a s t
думают	d u m a j u t
изначально	i z n a t͡ɕ a lʲ n o
конкурса	k ɔ n k u r s a
начинают	n a t͡ɕ i n a j u t
ноябре	n ɔ j a b rʲ ɛ
обучение	ɔ b u t͡ɕ ɛ n i j ɛ
прием	p r i j ɛ m
программ	p r ɔ ɡ r a m
продать	p r ɔ d a tʲ
смогут	s m ɔ ɡ u t
учитель	u t͡ɕ i tʲ ɛ lʲ ɪ
ваших	ʋ a ɕ i x
высшей	ʋ i s ɕ ɛ j
га	ɡ a
доля	d ɔ lʲ a
известных	i z ʋ ɛ s t n i x
ла	l a
неплохо	n ɛ p l ɔ x ɔ
поведение	p ɔ ʋ ɛ d ɛ n i j ɛ
подобные	p ɔ d ɔ b n i j ɛ
работала	r a b ɔ t a ɮ a
страх	s t r a x
уходит	u x ɔ d i t
флота	f l ɔ t a
белые	b ɛ l i j ɛ
мероприятия	m ɛ r ɔ p r i j a tʲ i j a
молодые	m ɔ l ɔ d i j ɛ
народных	n a r ɔ d n i x
наряду	n a rʲ a d u
норм	n ɔ r m
огромный	ɔ ɡ r ɔ m n i j
планеты	p l a nʲ ɛ t i
подумать	p ɔ d u m a tʲ
собрать	s ɔ b r a tʲ
средний	s rʲ ɛ d n i j
читал	t͡ɕ i t a l
apple	a p l e
блок	b l ɔ k
запах	z a p a x
ким	k i m
командир	k ɔ m a n d i r
компанией	k ɔ m p a n i j ɛ j
курса	k u r s a
ног	n ɔ ɡ
отрасли	ɔ t r a s l i
попытка	p ɔ p i t k a
сад	s a d
свобода	s ʋ ɔ b ɔ d a
срочно	s r ɔ t͡ɕ n o
сумму	s u m m u
улицу	u ɮ i t͡sʰ u
химии	x i m i j
no	n o
гибели	ɡ i b ɛ l i
ди	d i
зале	z a lʲ ɛ
заранее	z a r a nʲ ɛ j ɛ
красная	k r a s n a j a
кризис	k r i z i s
лос	l ɔ s
мер	m ɛ r
мозг	m ɔ z ɡ
подобных	p ɔ d ɔ b n i x
поезд	p ɔ j ɛ z d
получать	p ɔ l u t͡ɕ a tʲ
попала	p ɔ p a l a
прости	p r ɔ s tʲ i
разу	r a z u
расходы	r a s x ɔ d i
слухи	s ɮ u xʲ
тура	t u r a
якобы	j a k ɔ b i
ад	a d
белых	b ɛ l i x
газете	ɡ a z ɛ tʲ ɛ
городу	ɡ ɔ r o d u
дворе	d ʋ ɔ rʲ ɛ
делаешь	d ɛ l ɑ j ɛ ɕ ɪ
десяти	d ɛ s j a tʲ i
доказать	d ɔ k a z a tʲ
дому	d ɔ m u
зданий	z d a n iː
карт	k a r tʰ
мамы	m a m i
мост	m ɔ s t
полную	p ɔ l n u j u
поняли	p ɔ nʲ a lʲ i
последним	p ɔ s lʲ ɛ d n i m
простите	p r ɔ s tʲ i tʲ ɛ
растет	r a s tʲ ɛ t
сидит	s i d i t
смогу	s m ɔ ɡ u
снег	s n ɛ ɡ
су	s u
сути	s u tʲ i
тел	tʲ ɛ l
фирмы	f i r m i
штаба	ɕ t a b a
it	i t
америке	a mʲ ɛ r i kʲ ɛ
важным	ʋ a ʑ n i m
видим	ʋ i d i m
вопроса	ʋ ɔ p r ɔ s a
выбора	ʋ i b ɔ r a
выиграла	ʋ i j i ɡ r a ɮ a
группой	ɡ r u p p ɔ j
днр	d ə n r
комиссия	k ɔ m i s s i j a
многом	m n ɔ ɡ ɔ m
поднять	p ɔ d nʲ a tʲ
поезда	p ɔ j ɛ z d a
просит	p r ɔ s i t
рыбы	r i b i
серию	s ɛ r i j u
соглашения	s ɔ ɡ l a ɕ ɛ n i j a
создал	s ɔ z d a l
